# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.240 --> 00:00:01.040]  It's the vaccine.
[00:01:03.440 --> 00:01:06.079]  Take the vaccine, essentially, and it gets national attention.
[00:01:06.480 --> 00:01:06.879]  Start it over, guys.
[00:01:07.040 --> 00:01:08.400]  Alex Jones went on a rant about me.
[00:01:09.040 --> 00:01:09.840]  I want to start it over.
[00:01:10.320 --> 00:01:10.719]  Start over.
[00:01:10.799 --> 00:01:11.359]  Go ahead.
[00:01:12.159 --> 00:01:19.040]  I make a comment, really a mundane comment that everyone should take the vaccine, essentially, and it gets national attention.
[00:01:19.359 --> 00:01:21.200]  Alex Jones went on a rant about me.
[00:01:21.840 --> 00:01:24.960]  I don't even know how you hear his show anymore, but he called me a Nazi.
[00:01:25.760 --> 00:01:26.960]  He plays it up big time.
[00:01:27.200 --> 00:01:28.480]  Let me open this door and see who it is.
[00:01:28.640 --> 00:01:29.680]  Oh my God, look who it is.
[00:01:30.799 --> 00:01:32.879]  Infowars.com.
[00:01:33.519 --> 00:01:35.200]  Infowars.com.
[00:01:35.359 --> 00:01:36.480]  Prisonplanet.tv.
[00:01:36.960 --> 00:01:40.079]  Why are you so angry about the vaccine?
[00:01:40.240 --> 00:01:41.200]  I mean, just take it.
[00:01:41.359 --> 00:01:42.159]  Tell your listeners.
[00:01:42.719 --> 00:01:44.480]  If you have any tale, tell them to take it.
[00:01:44.719 --> 00:01:47.920]  Just take it and save their lives for God's sakes.
[00:01:48.000 --> 00:01:48.719]  What's wrong with you?
[00:01:48.960 --> 00:01:49.439]  I mean, come on.
[00:01:49.840 --> 00:01:50.799]  Worship Lord Fauci.
[00:01:51.040 --> 00:01:52.799]  Wear a muzzle like Hannibal Lecter.
[00:01:52.879 --> 00:01:56.159]  Well, Howard, I didn't think you'd become a damn Nazi, did you, Howard?
[00:01:56.320 --> 00:01:57.280]  Do you ever think that?
[00:01:57.359 --> 00:01:59.920]  Do you ever think you'd be worshiping the mangled eugenicism?
[00:02:00.079 --> 00:02:00.320]  Huh?
[00:02:01.920 --> 00:02:05.200]  I think you guys are the Nazis telling people they can't get abortions.
[00:02:05.519 --> 00:02:07.200]  I rebuke you, you monster.
[00:02:07.519 --> 00:02:10.719]  And I tell you, you will see the power of God.
[00:02:11.039 --> 00:02:12.400]  Jesus will bring judgment.
[00:02:12.800 --> 00:02:13.759]  When is that going to happen?
[00:02:13.920 --> 00:02:14.240]  Oh, Alex.
[00:02:15.759 --> 00:02:16.800]  When is going to happen?
[00:02:16.879 --> 00:02:18.159]  Because I'm tired of waiting.
[00:02:18.719 --> 00:02:20.080]  Did you have a relaxing right after?
[00:02:20.479 --> 00:02:23.920]  I pray for you in the name of Jesus.
[00:02:37.699 --> 00:02:42.159]  jesus Deliver the judgment of Jesus.
[00:02:42.640 --> 00:02:45.920]  Why can you sell those products of yours, but vaccines are bad?
[00:02:46.080 --> 00:02:46.560]  I mean, come on.
[00:02:46.879 --> 00:02:48.640]  With no FDA approval.
[00:02:49.200 --> 00:02:53.840]  If you want to cure COVID, you need Ultramectin X2.
[00:02:54.080 --> 00:02:56.719]  It's the finest D-wormer supplement on the market right now.
[00:02:57.039 --> 00:02:59.360]  It was designed for squirrels, but works great on humans.
[00:02:59.520 --> 00:03:00.879]  You got high action herbs.
[00:03:00.960 --> 00:03:05.599]  You got T3 oil, manure, vitamin I. Cures COVID, boosts your natural defenses.
[00:03:05.840 --> 00:03:08.560]  Also works as a rabies medication for sheep.
[00:03:08.800 --> 00:03:11.920]  Get it a half off at info.com.
[00:03:12.560 --> 00:03:13.120]  Oh, hold on.
[00:03:13.200 --> 00:03:14.480]  I'm getting a knock at the door here.
[00:03:14.640 --> 00:03:16.240]  Let me see who's at my door.
[00:03:17.120 --> 00:03:20.000]  Oh, look, it's fun George Soros.
[00:03:20.159 --> 00:03:21.680]  What are you up to, Fun George?
[00:03:22.000 --> 00:03:26.159]  Soros is quenching his thirst for human blood.
[00:03:27.439 --> 00:03:31.200]  Bill Gates, bring me my baby feast.
[00:03:33.680 --> 00:03:35.759]  Wow, an entire baby feast.
[00:03:36.480 --> 00:03:37.439]  Well, fun George.
[00:03:38.159 --> 00:03:40.000]  You know, shut your bell and get a baby feast.
[00:03:40.159 --> 00:03:43.120]  Listen, go eat before your babies get called fun george figure.
[00:03:43.439 --> 00:03:44.879]  Special Soros.
[00:03:46.000 --> 00:03:47.439]  All right, enough out of you.
[00:03:48.000 --> 00:03:48.400]  All right.
[00:03:48.560 --> 00:03:50.800]  Well, your show is entertaining as hell.
[00:03:50.960 --> 00:03:54.240]  I always say that because I see George Soros stops by and baby.
[00:03:54.879 --> 00:03:56.640]  People you don't see everywhere else.
[00:03:57.759 --> 00:04:14.080]  I must make an announcement here that we will be doing a special afternoon show next Thursday with Eric Clapton, who will be doing performing his hit anti-vaxx single, This Has Gotta Stop.
[00:04:14.240 --> 00:04:16.079]  And it's just a fabulous song.
[00:04:16.399 --> 00:04:17.120]  We're very excited.
[00:04:17.280 --> 00:04:22.240]  There are a few people I'd move the Infowars.com show for, but Clapton denounced the pedophiles.
[00:04:23.040 --> 00:04:23.759]  And it's a no-brainer.
[00:04:24.800 --> 00:04:24.959]  All right.
[00:04:25.040 --> 00:04:25.600]  Well, there you go.
[00:04:25.759 --> 00:04:26.160]  There he is.
[00:04:26.800 --> 00:04:31.199]  Infowars, Alex Jones, stopping by our show to give his point of view.
[00:04:31.439 --> 00:04:34.079]  He says, you know, he wants his freedom.
[00:04:34.240 --> 00:04:34.959]  He wants his freedom.
[00:04:35.120 --> 00:04:36.319]  No one can tell him to take it.
[00:04:36.959 --> 00:04:37.360]  Good luck to you.
[00:04:37.519 --> 00:04:38.800]  Infowars.com.
[00:04:40.160 --> 00:04:41.199]  There he goes.com.
[00:04:41.439 --> 00:04:41.840]  InfoWars.
[00:04:42.000 --> 00:04:43.199]  Tomorrow's news today.
[00:04:44.400 --> 00:04:45.759]  Infowars.com.
[00:04:46.079 --> 00:04:47.759]  Info's news today.
[00:04:48.160 --> 00:04:48.959]  Tomorrow's it today.
[00:04:49.280 --> 00:04:50.000]  Tomorrow today.
[00:04:50.400 --> 00:04:51.120]  Tomorrow's it today.
[00:04:53.360 --> 00:04:53.600]  Today.
[00:04:54.800 --> 00:04:56.160]  So, you know, that's fun, ha ha ha.
[00:04:56.720 --> 00:05:02.880]  But If you go through and decipher everything he says, he says it's a joke, but it's actually very serious.
[00:05:02.960 --> 00:05:04.240]  It's very political.
[00:05:04.560 --> 00:05:08.480]  They want us to have a world ID tied to whatever shots big pharma wants to give us.
[00:05:08.560 --> 00:05:14.000]  The orders come down from the UN and all these people are dead and dying and it destroys your immune system and it doesn't work.
[00:05:14.320 --> 00:05:15.360]  And it's all admitted.
[00:05:15.600 --> 00:05:17.680]  And he's up there saying last week, it's the cure.
[00:05:17.920 --> 00:05:19.760]  Everybody needs to just get with it and take it.
[00:05:20.080 --> 00:05:22.080]  Why is a choice?
[00:05:22.240 --> 00:05:23.280]  Why is medical choice?
[00:05:23.360 --> 00:05:28.160]  Why is medical freedom such a bastardized thing by the establishment?
[00:05:29.040 --> 00:05:32.480]  The idea is you're going to get me sick if you don't take it, but I thought the vaccine protects you.
[00:05:32.640 --> 00:05:33.840]  It's none of it's true.
[00:05:34.160 --> 00:05:34.960]  And I just don't understand.
[00:05:35.120 --> 00:05:36.960]  It's all a trap because they don't understand medical stuff.
[00:05:37.120 --> 00:05:38.400]  Look, Stern understands it.
[00:05:38.720 --> 00:05:39.760]  Stern understands it.
[00:05:40.000 --> 00:05:42.080]  Stern's paid a big fat check to do what he did.
[00:05:42.480 --> 00:05:45.280]  And that's why he kind of made this little friendly thing back as a joke.
[00:05:45.520 --> 00:05:46.560]  He's just following a script.
[00:05:46.640 --> 00:05:49.280]  He saw Schwarzenegger get attention for the exact same thing.
[00:05:49.440 --> 00:05:50.640]  F your freedom, F you.
[00:05:50.960 --> 00:05:52.480]  You know, I'm glad they're dying, all this stuff.
[00:05:52.640 --> 00:05:54.160]  He just repeated that Nazi.
[00:05:55.040 --> 00:05:58.400]  I mean, that joke, that egomaniac demon.
[00:05:58.720 --> 00:05:59.360]  And I'll say it.
[00:05:59.440 --> 00:06:00.560]  I hate Schwarzenegger a lot.
[00:06:00.800 --> 00:06:02.640]  I mean, I hate him and his dad and all of them.
[00:06:02.879 --> 00:06:04.879]  He said, I want to be like, you know, Hitler.
[00:06:05.200 --> 00:06:06.240]  I want to control the world.
[00:06:06.400 --> 00:06:07.680]  Little people need to be told what to do.
[00:06:07.920 --> 00:06:09.440]  Burn in hell, Schwarzenegger.
[00:06:09.760 --> 00:06:11.040]  I mean, just burn in hell.
[00:06:11.360 --> 00:06:17.520]  And to sit here and say that people should be forced to take this medication, forced to take an experimental medication.
[00:06:17.680 --> 00:06:19.680]  Again, it's like, that's not mundane.
[00:06:20.000 --> 00:06:23.280]  Even if you say it really politely and calmly, that is not mundane.
[00:06:23.600 --> 00:06:28.080]  By the way, I'm going to come back and respond to her saying, our supplements are not FDA approved.
[00:06:28.160 --> 00:06:29.360]  They don't have a jurisdiction.
[00:06:29.600 --> 00:06:30.640]  It's a food product.
[00:06:30.879 --> 00:06:32.800]  Coffee's not approved by the FDA.
[00:06:33.120 --> 00:06:34.320]  It's all a lie.
