[00:00:00.000 --> 00:00:01.320]  Or the negative incentive.
[00:03:20.039 --> 00:03:26.740]  His signature is going to be devoted to what he does, which is one of the most important businesses in the world.
[00:03:26.840 --> 00:03:28.259]  That's an unbelievable thing.
[00:03:28.539 --> 00:03:35.960]  When Apple now is going to start building all of their plants here, all because of what we've done in terms of...
[00:03:35.960 --> 00:03:38.360]  It's not because he likes me or they like me.
[00:03:38.460 --> 00:03:40.139]  They don't probably like me at all.
[00:03:40.240 --> 00:03:40.500]  I don't know.
[00:03:40.539 --> 00:03:42.039]  I think he likes me a little bit, at least.
[00:03:42.460 --> 00:03:43.539]  But you know what?
[00:03:44.000 --> 00:03:47.159]  It's the incentive we've created.
[00:03:47.840 --> 00:03:49.139]  Or the negative incentive.
[00:03:49.340 --> 00:03:53.780]  I mean, it's going to be very costly for people to take advantage of this country.
[00:03:53.979 --> 00:04:02.919]  They can't come in and steal our money and steal our jobs and take our factories and take our businesses and expect not to be punished.
[00:04:03.060 --> 00:04:04.520]  And they're being punished by tariffs.
[00:04:04.919 --> 00:04:15.439]  It's a very powerful weapon that politicians haven't used because they were either dishonest, stupid, or paid off in some other form.
[00:04:16.019 --> 00:04:17.540]  And now we're using them.
[00:04:17.819 --> 00:04:29.839]  And then, of course, finally today, President Trump raised the tariffs on China from 10% to 20% because they've done nothing to stop shipping the fentanyl that kills over 140,000 people a year in the United States.
[00:04:30.100 --> 00:04:32.060]  They've done nothing on any of these issues.
[00:04:32.199 --> 00:04:34.160]  So Trump's saying, hey, we're done.
[00:04:34.339 --> 00:04:39.180]  And again, China is almost completely dependent on the United States.
[00:04:39.420 --> 00:04:44.980]  The United States was dependent on China because they control the chip makers and because they control rare earth minerals.
[00:04:45.399 --> 00:04:54.360]  But in just 42 days in office, Trump has already gotten massive amounts of earth mineral deals here and major chip deals back to the United States.
[00:04:54.360 --> 00:04:57.079]  So he is moving at lightning speed.
[00:04:57.279 --> 00:04:59.300]  He is truly a populist president.
[00:04:59.439 --> 00:05:06.319]  He is truly bringing back the American system that made us the most successful, dynamic, safest, freest country in the world.
[00:05:06.680 --> 00:05:08.620]  And we salute President Trump and his administration.
[00:05:08.860 --> 00:05:19.819]  I salute Elon Musk for his incredible work at Doge and all of you out there for keeping InfoWars on the air so that we could light the way with tomorrow's news today to have the incredible victories we're having right now.
[00:05:19.920 --> 00:05:21.600]  So I salute you all, my friends.
[00:05:21.779 --> 00:05:23.100]  We're bringing in world peace.
[00:05:23.199 --> 00:05:24.060]  We're bringing in prosperity.
[00:05:24.220 --> 00:05:26.100]  We're getting rid of the globalist carbon taxes.
[00:05:26.300 --> 00:05:28.720]  We're going after the big medical tyranny at Big Pharma.
[00:05:28.939 --> 00:05:30.180]  It's really happening.
[00:05:31.050 --> 00:05:37.129]  The globalist anti-human revolution is now burning down and collapsing in front of us.
[00:05:37.550 --> 00:05:40.850]  Our counter-revolution against them has been an incredible success.
[00:05:41.110 --> 00:05:48.189]  But now, we have to continue the greatest revolution in modern history, the Renaissance, into the future.
[00:05:48.350 --> 00:05:50.629]  And that's why InfoWars is more important than ever.
[00:05:50.910 --> 00:05:54.089]  Ladies and gentlemen, we could not have done any of this without you.
[00:05:54.230 --> 00:06:02.329]  And bad guys and good guys recognize that we would not see this populist revolution succeeding in America and around the world without InfoWars.
[00:06:02.430 --> 00:06:03.589]  And that means without you.
[00:06:03.810 --> 00:06:21.110]  So I want to thank you all for your past support and encourage you to go Go to our sponsor, realalexjones.com, where you can get exclusive fundraiser coins like this tip of the spear coin that's already sold out at thealexjonesstore.com, but we have backup at realalexjones.com.
[00:06:21.350 --> 00:06:26.750]  Also, discounts on great products like this incredible super nutrient, Shilogy.
[00:06:26.970 --> 00:06:31.069]  It's all available right now at realalexjones.com.
[00:06:31.519 --> 00:06:35.319]  The widest selection of Patriot apparel, the very best supplements, and more.
[00:06:35.439 --> 00:06:39.720]  Just like our information is hardcore and accurate and the best, these products are the best.
[00:06:39.879 --> 00:06:41.319]  I want to thank you all for your past support.
[00:06:41.319 --> 00:06:48.259]  I want to encourage you now to stand with us as we accelerate this revolution against tyranny at realalexjones.com.
[00:06:48.399 --> 00:06:49.459]  You are backing this.
[00:06:49.579 --> 00:06:50.600]  You are the Paul Revere's.
