# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:02.080 --> 00:00:02.720]  See that?
[00:01:43.920 --> 00:01:44.320]  What do you think?
[00:01:44.400 --> 00:01:52.480]  All the Tesla dealerships getting blown up and Board Patrol getting, facilities getting shot, Board Patrol being killed, and ICE getting killed, and Antifa just shooting people all the time.
[00:01:53.840 --> 00:01:55.439]  Just because they're white and they're driving a pickup truck.
[00:01:55.519 --> 00:01:58.400]  I mean, it's like, it's total bonker town.
[00:02:00.320 --> 00:02:07.840]  So, and then you've got a couple Israelis shot out front, a Jewish center, and they say it immediately, oh, it's a false flag.
[00:02:08.159 --> 00:02:10.080]  I'm the guy that put false flags on the map, okay?
[00:02:10.319 --> 00:02:12.479]  Nobody was talking about false flags 30 years ago.
[00:02:12.800 --> 00:02:14.400]  There are real ones, there are real cases of it.
[00:02:14.640 --> 00:02:16.640]  Governments do it, people do it, Israel's done it.
[00:02:16.960 --> 00:02:17.759]  Our government's done it.
[00:02:17.920 --> 00:02:18.719]  Russians have done it.
[00:02:18.879 --> 00:02:20.159]  The Tsars did it.
[00:02:20.479 --> 00:02:21.520]  The British are big on it.
[00:02:21.599 --> 00:02:22.719]  It's in history books, okay?
[00:02:22.960 --> 00:02:23.599]  Look it up.
[00:02:23.840 --> 00:02:25.599]  But everything is not a false flag.
[00:02:25.840 --> 00:02:33.439]  When the left calls for violence and pushes uprisings, and Alexander Soros is funding, you know, crush fascism stuff and say, rise up, get violent.
[00:02:33.520 --> 00:02:37.840]  And Democrats are saying, you know, punch him in the face, Gavin Newsome, and, you know, hit him hard.
[00:02:38.000 --> 00:02:38.400]  All of them.
[00:02:38.479 --> 00:02:39.360]  We got to get aggressive.
[00:02:39.439 --> 00:02:40.400]  We got to get violent.
[00:02:40.719 --> 00:02:41.360]  They know what you're doing.
[00:02:41.439 --> 00:02:43.280]  They're trying to get their minions to go out and do this.
[00:02:43.599 --> 00:02:45.759]  They were chanting, kill Charlie Kirk, in the crowd.
[00:02:45.920 --> 00:02:46.640]  And then he got shot.
[00:02:46.719 --> 00:02:48.159]  And he went, woo, that'll happen.
[00:02:48.960 --> 00:02:51.360]  Was Netanyahu mind controlling them?
[00:02:51.680 --> 00:02:52.800]  So the footage is pretty amazing.
[00:02:52.879 --> 00:02:58.479]  When I got off his flight in five hours, I'm going to shoot some reports on it.
[00:02:58.800 --> 00:03:02.080]  But it is just crazy to see this going on.
[00:03:02.400 --> 00:03:11.280]  And, oh, because Nick Fuentes criticized Charlie Kirk sometimes, and his people must have killed him.
[00:03:11.599 --> 00:03:16.879]  Or because Charlie Kirk criticized Israel some, Israel must have killed him.
[00:03:17.200 --> 00:03:21.920]  I mean, this is the mindlessness of this ladies and the liberals are out saying murder everyone.
[00:03:22.000 --> 00:03:23.680]  They're going to have uprisings November 5th.
[00:03:23.759 --> 00:03:24.960]  They already had no kings.
[00:03:25.200 --> 00:03:26.719]  They're running around killing people.
[00:03:28.800 --> 00:03:30.159]  This is what they say they want.
[00:03:30.319 --> 00:03:31.360]  This is what they're doing.
[00:03:31.680 --> 00:03:33.759]  So no, Nick Fuentes didn't have to go kill him.
[00:03:33.840 --> 00:03:35.039]  The Groipers didn't kill him.
[00:03:35.599 --> 00:03:36.800]  Charlie Kirk.
[00:03:37.439 --> 00:03:39.680]  There's no evidence Israel did it, okay?
[00:03:40.240 --> 00:03:47.759]  It's the left openly saying kill Charlie Kirk and publishing books about it and publishing songs, Charlie Kirk dead at 31 out of the same town.
[00:03:48.640 --> 00:03:50.960]  And again, this is the reality.
[00:03:51.120 --> 00:03:55.039]  And it was his parents that turned him in and he's confessed to it.
[00:03:55.360 --> 00:03:58.319]  And there's video of him on the roof and jumping off and running off.
[00:03:58.640 --> 00:04:01.280]  And people go, well, why was there a box in the woods with a gun?
[00:04:01.439 --> 00:04:03.680]  That's the evidence box the FBI put it in.
[00:04:03.920 --> 00:04:07.439]  That's how they do it when they photograph it, as Kyle Seraphin exposed yesterday.
[00:04:07.680 --> 00:04:09.520]  And he's a big critic of things and exposes it.
[00:04:09.680 --> 00:04:12.480]  He says he sees no evidence that it was a stage event or false flag.
[00:04:13.120 --> 00:04:14.960]  People go, but it's a lone gunman again.
[00:04:15.599 --> 00:04:22.879]  Yeah, well, sometimes you get the lone gumman where it wasn't a lone government with Kennedy, which we've covered who they were, and I got the deathbed confessions, the guys that ran it, and all that.
[00:04:23.519 --> 00:04:29.120]  But then the guy that shot Reagan, he was wound up and controlled, but it was a lone guy.
[00:04:29.439 --> 00:04:31.199]  Yeah, that stuff goes on.
[00:04:32.079 --> 00:04:33.680]  John Lennon, that was the CIA thing.
[00:04:35.600 --> 00:04:39.120]  But with Charlie Kirk, it's the left everywhere saying kill everybody.
[00:04:39.280 --> 00:04:42.160]  We had a training on one of those mono-bele things.
[00:04:42.959 --> 00:04:44.400]  I heard him like, yeah, scary Charlie Kirk.
[00:04:44.639 --> 00:04:45.840]  And all of a sudden he comes back around.
[00:04:46.000 --> 00:04:47.600]  He goes, oh, you care about that dead guy.
[00:04:48.400 --> 00:04:50.480]  And he had like a bottle in his hand like this.
[00:04:50.959 --> 00:04:52.000]  And you see the craze face.
[00:04:52.079 --> 00:04:52.720]  It doesn't even look real.
[00:04:52.879 --> 00:04:53.840]  It was a gremlin.
[00:04:54.160 --> 00:04:56.319]  People are like, oh, yeah, I want to blew it up and took photos.
[00:04:56.480 --> 00:05:10.399]  I mean, Almost everybody NDC loves me, except a few times I saw that guy's that looked like I thought they're girls through restaurant windows and some filth college to say, look at their girl, but they think they are, they're just like, I mean, it's crazy.
[00:05:10.719 --> 00:05:23.360]  They're brainwashed, they get in this cold, they can put on hormones, they can put on chemicals, they go crazy, told anybody that's Christians, evil, so I feel like they need to go to a Christian school and shoot five-year-olds, or they need to go to a Catholic school and shoot a bunch of kids at mass.
[00:05:23.680 --> 00:05:25.039]  This is what they do.
[00:05:25.919 --> 00:05:27.039]  This is what they're into.
[00:05:27.360 --> 00:05:29.519]  They have serial killers and trans cults.
[00:05:29.680 --> 00:05:31.680]  And Antithon, all of it's interchangeable.
[00:05:32.240 --> 00:05:33.439]  Shelby went, well, you were wrong.
[00:05:33.519 --> 00:05:34.719]  I reported what the ATF said.
[00:05:34.879 --> 00:05:37.360]  It looked like trans writings and stuff, which is all the same thing.
[00:05:37.599 --> 00:05:38.399]  You're not into it.
[00:05:38.479 --> 00:05:39.599]  You don't even know it.
[00:05:40.240 --> 00:05:41.039]  It's a leftist.
[00:05:41.360 --> 00:05:44.240]  He said, you know, catch this bullet, fascist.
[00:05:44.879 --> 00:05:48.479]  And it's all about the Mangioni stuff and all this other stuff.
[00:05:48.560 --> 00:05:49.279]  They're into violence.
[00:05:49.599 --> 00:05:54.079]  80-plus percent of Democrats say that they love the killing of the healthcare executive.
[00:05:54.399 --> 00:05:56.959]  They have Democrats naming bills in California after him.
[00:05:57.199 --> 00:06:06.399]  But then when more Democrats kill more health executives, or they walk in and just shoot innocent people at Walgreens, thinking they're a pharmacist, is that that's the drug companies?
[00:06:07.039 --> 00:06:09.360]  Is that Netanyahu too, or is that the Groupers?
[00:06:10.159 --> 00:06:16.879]  And again, right after that guy with Tim Walls, that operative later said, no, I'm working for Tim Walls.
[00:06:16.959 --> 00:06:17.599]  That's a false flag.
[00:06:17.680 --> 00:06:19.680]  We're going to take out Democrats so he's going to be senator.
[00:06:20.799 --> 00:06:22.799]  And their whole plan kind of broke up.
[00:06:23.439 --> 00:06:29.519]  If you believe what he said, my point was within one hour of it, his roommate comes out and goes, oh, I really like Alex Jones.
[00:06:29.599 --> 00:06:31.759]  So does the shooter, and so he likes Trump.
[00:06:31.919 --> 00:06:34.959]  And I'm not an accomplice or anything.
[00:06:35.599 --> 00:06:39.439]  And days before, I'm saying, I bet Democrats shoot some of their own people this weekend and blame me.
[00:06:39.599 --> 00:06:40.959]  Because it always happens.
[00:06:41.839 --> 00:06:47.360]  It's just like literally, you don't know what it's like if you're not at the level of Alex Jones or Charlie Kirk.
[00:06:48.159 --> 00:06:49.439]  And I mean, now Nick Fuentez.
[00:06:49.599 --> 00:06:57.839]  I mean, obviously, the system is super, whether you love Nick or hate him or think he has a right to free speech and think he's smart like I do, disagree with some things.
[00:06:58.480 --> 00:07:04.159]  I mean, I told Nick on Wednesday, I said, man, listen, they're coming for you, they're coming for me, they're coming to everybody.
[00:07:04.480 --> 00:07:12.240]  And I said, you know, I was like, sure, it could be Israel, but regardless, the left has put out all these orders, Wednesday, to get everybody.
[00:07:12.399 --> 00:07:17.039]  And I mean, they talk about getting him, and they talk about getting Kirk.
[00:07:17.279 --> 00:07:19.759]  And he already had somebody try to come to his house earlier this year and try to kill him.
[00:07:20.159 --> 00:07:21.360]  And people say, that's made up.
[00:07:21.439 --> 00:07:22.159]  That's not real.
[00:07:22.480 --> 00:07:25.279]  The guy died in a gunfight with police like 20 minutes after.
[00:07:25.439 --> 00:07:27.120]  He was an hour after he was at Nick's house.
[00:07:27.360 --> 00:07:28.799]  It's a gun battle.
[00:07:30.079 --> 00:07:31.120]  Down the street from his house.
[00:07:31.279 --> 00:07:35.600]  The guy comes with a gun while he's on there on camera and says, I'm killing you, bang, bang, bang.
[00:07:36.159 --> 00:07:37.919]  And he has other leftists coming to his door.
[00:07:38.240 --> 00:07:39.360]  This is real, folks.
[00:07:39.519 --> 00:07:43.919]  You see, when you're watching stuff online, I know most people's shows, but for other people, they're maybe a little autistic.
[00:07:44.959 --> 00:07:46.000]  This isn't a Netflix show.
[00:07:46.159 --> 00:07:47.039]  This is entertainment.
[00:07:47.199 --> 00:07:48.559]  Like, I'm a real person.
[00:07:49.600 --> 00:07:50.959]  Charlie Kirk was a real person.
[00:07:51.279 --> 00:07:52.799]  Nick Fuentez is a real person.
[00:07:53.439 --> 00:07:56.000]  And Bill Maher acts like he's trying to wake up.
[00:07:56.079 --> 00:07:59.439]  He says people who woke him, but he's always slipping stuff in like that.
[00:08:00.399 --> 00:08:05.600]  And it's pretty defamatory to say the Groupers will do that.
[00:08:05.919 --> 00:08:18.560]  If you know anything about the Groipers, they would probably just be walking around in three-piece suits and stuff and making jokes and trolling.
[00:08:18.639 --> 00:08:24.959]  I mean, it's absolutely the last group that we're going to see violence out of.
[00:08:26.879 --> 00:08:34.559]  And Fuentes has been decrying violence before this and after, and so am I. So let's just get that straight.
[00:08:34.720 --> 00:08:38.720]  We're getting ready to stage false flags on traditionally black colleges, churches.
[00:08:38.879 --> 00:08:39.759]  They've already pre-programmed that.
[00:08:39.839 --> 00:08:40.559]  I won't repeat it.
[00:08:40.720 --> 00:08:41.120]  You know why?
[00:08:42.079 --> 00:08:43.839]  Getting ready to hit a migrant demonstration.
[00:08:44.240 --> 00:08:46.079]  They're going to say it's for Charlie Kirk to remember him.
[00:08:46.319 --> 00:08:49.759]  Even though everything he was about was about not being violent and turning temperature down.
[00:08:50.319 --> 00:08:55.919]  I mean, I've seen people putting out placards, you know, like Stephen Crowder does, saying, we need to end political violence.
[00:08:56.000 --> 00:08:56.559]  We need to come together.
[00:08:56.720 --> 00:08:58.079]  It's not right to kill anybody for their ideas.
[00:08:58.240 --> 00:08:59.200]  People come up and attack him.
[00:08:59.279 --> 00:09:00.720]  Those videos are on X right now.
[00:09:01.279 --> 00:09:05.919]  And then X, however, Brock or the algorithm works, has this top thing.
[00:09:06.480 --> 00:09:11.360]  And I know there's glitches and things, but it says, well, his family was conservative.
[00:09:12.240 --> 00:09:14.960]  And he didn't like him and said he was fascist, but he's still conservative.
[00:09:15.039 --> 00:09:16.319]  So his fellow conservative killed him.
[00:09:17.680 --> 00:09:19.200]  His family said he was the liberal.
[00:09:19.279 --> 00:09:20.000]  He was the leftist.
[00:09:20.240 --> 00:09:20.960]  He's told them that.
[00:09:21.279 --> 00:09:23.759]  Started going to college and going to school getting brainwashed.
[00:09:24.480 --> 00:09:25.920]  So, so, so, hi, how you doing?
[00:09:27.039 --> 00:09:28.480]  We have three common friends.
[00:09:29.680 --> 00:09:30.240]  Well, God bless you.
[00:09:30.319 --> 00:09:30.720]  What's your name?
[00:09:30.960 --> 00:09:31.759]  Sharon Archer.
[00:09:32.799 --> 00:09:33.839]  Do you know Ralph Hadley?
[00:09:35.120 --> 00:09:37.599]  Yeah, PA, but also my dad's Congressman.
[00:09:38.000 --> 00:09:38.720]  Chairman News.
[00:09:39.200 --> 00:09:39.839]  Bill Archer.
[00:09:39.920 --> 00:09:40.639]  Do you know Bill Archer?
[00:09:40.720 --> 00:09:41.440]  I do know Bill Archer.
[00:09:42.559 --> 00:09:43.200]  Oh, awesome, awesome.
[00:09:43.440 --> 00:09:44.879]  I just saw him 97 New Year.
[00:09:45.279 --> 00:09:45.759]  That's awesome.
[00:09:46.000 --> 00:09:47.920]  Hey, we're lying right now.
[00:09:49.120 --> 00:09:51.519]  Got any comments on since your dad's Bill Archer?
[00:09:51.599 --> 00:09:52.000]  That's great.
[00:09:53.279 --> 00:09:55.680]  What's your comment on Charlie Kirk?
[00:09:57.360 --> 00:09:59.759]  A lot of misinformation out there.
[00:10:00.000 --> 00:10:01.679]  A lot of stuff that's been added out.
[00:10:01.839 --> 00:10:06.240]  So you kind of give a disseminate two-hour rule and then take your emotions out of it.
[00:10:06.480 --> 00:10:08.559]  They tried to blame Israel and they tried to blame Nick Fuentez.
[00:10:09.039 --> 00:10:09.679]  No, he's a liberal.
[00:10:09.759 --> 00:10:10.240]  He's a leftist.
[00:10:11.120 --> 00:10:15.279]  It's just, I mean, the whole thing with the shooter and everything is just brother.
[00:10:15.360 --> 00:10:15.919]  You want to go come on?
[00:10:16.240 --> 00:10:16.719]  Well, God bless you.
[00:10:16.799 --> 00:10:17.439]  Say hi to your dad.
[00:10:17.839 --> 00:10:18.319]  Come on over.
[00:10:18.639 --> 00:10:19.439]  Hoping to get a picture.
[00:10:19.519 --> 00:10:20.079]  What's your name, brother?
[00:10:20.159 --> 00:10:20.399]  What do you got?
[00:10:21.360 --> 00:10:21.839]  Man, the show?
[00:10:22.399 --> 00:10:22.559]  Yes.
[00:10:22.799 --> 00:10:23.199]  We got one.
[00:10:23.679 --> 00:10:24.480]  Well, here, let's get a picture.
[00:10:24.639 --> 00:10:25.360]  Hey, let me ask you a question.
[00:10:25.439 --> 00:10:26.399]  What do you think, Charlie Kirk?
[00:10:27.120 --> 00:10:27.599]  It was sad.
[00:10:27.759 --> 00:10:28.639]  I mean, it was sad.
[00:10:28.799 --> 00:10:30.879]  I mean, I think, yeah, come in.
[00:10:31.439 --> 00:10:33.519]  Some politicians call for unity.
[00:10:33.839 --> 00:10:35.120]  What's that guy from Kentucky?
[00:10:36.799 --> 00:10:37.919]  Val shall not be named.
[00:10:38.240 --> 00:10:38.480]  Oh, yeah.
[00:10:38.559 --> 00:10:39.439]  Oh, yeah, yeah.
[00:10:40.079 --> 00:10:41.120]  Is this your wife over here?
[00:10:41.279 --> 00:10:41.439]  Yeah.
[00:10:41.599 --> 00:10:43.360]  Well, Kirk, come get a picture.
[00:10:43.679 --> 00:10:45.199]  Well, yeah, this cutie over here.
[00:10:45.519 --> 00:10:46.240]  Hey, your daughter's too.
[00:10:46.319 --> 00:10:46.879]  Hi, how are you dirty?
[00:10:48.399 --> 00:10:48.879]  I'm jealous.
[00:10:49.599 --> 00:10:50.399]  I got three daughters.
[00:10:50.959 --> 00:10:51.519]  Would you be able to help?
[00:10:55.438 --> 00:10:56.139]  I'm really good at selfies.
[00:11:11.307 --> 00:11:12.149]  God bless you guys.
[00:11:12.879 --> 00:11:13.519]  Nice to meet you again.
[00:11:14.000 --> 00:11:14.559]  I know you're in the town.
[00:11:15.199 --> 00:11:16.240]  We say, brother, we say.
[00:11:17.199 --> 00:11:32.159]  So, again, the globalists, the big money, the Black Rocks, if they admit that they're using destabilization in crises and clashing populations, it's a pretext to bring in a real police thing, a really man speech.
[00:11:32.240 --> 00:11:47.839]  And as Dr. Carlson said when I was last on the show, six months ago or five months ago, he said he really fears before the end of the year massive attacks on all different types of groups, but particularly Jews, it's being built up.
[00:11:48.159 --> 00:11:50.399]  And then they're going to use that to come to get rid of free speech.
[00:11:50.879 --> 00:11:55.279]  So they're going to hit conservatives, they're going to hit populists, or they're going to hit blacks.
[00:11:55.439 --> 00:11:58.480]  They're going to hit everybody trying to get us all fighting with each other.
[00:11:58.959 --> 00:12:02.720]  And some of it will be crazy as it gets wind up, and some of it will could be state false flags.
[00:12:02.799 --> 00:12:05.679]  And we'll be watching very, very carefully if things don't add up.
[00:12:05.759 --> 00:12:07.039]  And we'll be able to track it.
[00:12:07.359 --> 00:12:12.879]  But because the globalists aren't full control anymore, they know there's so many good people inside the systems, government and corporations, and watching.
[00:12:13.039 --> 00:12:14.319]  People are wary now.
[00:12:15.279 --> 00:12:19.439]  They're trying to just operate through wind-up toys and insane groups and insane people.
[00:12:19.759 --> 00:12:26.799]  And because Trump's gotten basic control over the FBI, it's hard for the units that did the Whitmer fake kidnapping and stage J6, who are now in trouble.
[00:12:26.960 --> 00:12:28.559]  I can take it out there, honing in on who.
[00:12:29.519 --> 00:12:30.159]  Stop there.
[00:12:30.480 --> 00:12:30.960]  Stop there.
[00:12:32.000 --> 00:12:34.159]  And I learned some family.
[00:12:34.720 --> 00:12:35.359]  So, so.
[00:12:37.519 --> 00:12:38.480]  They're badly coordinated.
[00:12:38.559 --> 00:12:39.359]  They got big problems.
[00:12:39.839 --> 00:12:41.679]  But X needs to fix that.
[00:12:42.319 --> 00:12:43.519]  Because his family was conservative.
[00:12:43.599 --> 00:12:44.639]  He's not a felt conservative.
[00:12:44.720 --> 00:12:46.079]  He's not identified as that.
[00:12:46.399 --> 00:12:51.120]  And he identified as somebody that hated Kirk and thought he was a fascist, hateful right-winger.
[00:12:51.519 --> 00:12:53.599]  And, you know, catch a bullet and all that kind of crap.
[00:12:53.919 --> 00:12:55.120]  So, God bless you all.
[00:12:55.439 --> 00:12:57.120]  Thanks for your support of the broadcast.
[00:12:57.439 --> 00:13:06.159]  I appreciate everybody's been great being here in D.C. I mean, literally just amazing how many listeners and people there are, how many thumbs up, people honking and waving.
[00:13:06.480 --> 00:13:11.759]  And then one person threatened us and said he was glad Charlie Kirk was gone and kind of laughed at me.
[00:13:11.839 --> 00:13:13.039]  I didn't care that guy died.
[00:13:13.359 --> 00:13:16.079]  And it was, you could see him dressed like a trainee.
[00:13:16.960 --> 00:13:19.279]  The weird zombie type.
[00:13:20.159 --> 00:13:28.480]  And it's, it's, and then the eyes are like, I mean, we first swung by because I heard him saying stuff, we're able to zoom in.
[00:13:28.639 --> 00:13:30.000]  I remember telling me the mouth was really weird.
[00:13:30.079 --> 00:13:31.519]  Like, it looks like interdimensional or something.
[00:13:31.599 --> 00:13:32.399]  It's like a gremlin.
[00:13:32.480 --> 00:13:36.559]  And it's going like, you said that man got shot at that dead neckline.
[00:13:36.799 --> 00:13:37.759]  Some kind of like demon stuff.
[00:13:37.919 --> 00:13:40.879]  This is just like the one in Minnesota when he's caressing the guns.
[00:13:41.279 --> 00:13:44.720]  He's like, oh, that press murder the faith of the old God.
[00:13:44.960 --> 00:13:46.240]  Ooh, I'm going to kill them.
[00:13:46.559 --> 00:13:46.720]  Yeah.
[00:13:48.079 --> 00:13:50.240]  And I mean, you just have to go out and you have to go out.
[00:13:50.399 --> 00:13:50.639]  Look at this.
[00:13:50.799 --> 00:13:53.599]  These people are like, my weapons.
[00:13:54.559 --> 00:13:55.199]  That's what we have.
[00:13:55.359 --> 00:13:56.559]  Weapons that defend ourselves from these.
[00:13:58.159 --> 00:13:59.279]  But that's it.
[00:13:59.679 --> 00:14:01.199]  Infowars.com forward slash show.
[00:14:01.279 --> 00:14:02.559]  Band.video for all the videos.
[00:14:02.879 --> 00:14:05.919]  Right there on the X, Rolls Jones, on Rumble, the Ox Shows Network.
[00:14:06.079 --> 00:14:06.720]  God bless you all.
[00:14:06.960 --> 00:14:12.543]  More reports coming as we go on the next leg of our mission and more exciting adventures as we awaken Awaken to humanity.
