# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:05.040 --> 00:00:18.320]  Over the weekend, the Trump DOJ knocked another ball for teen tyranny out of the park.
[00:04:00.960 --> 00:04:04.319]  And we are the most drugged up, most unhealthy people in the world.
[00:04:04.960 --> 00:04:10.240]  Rather than ban glyphosates, they just got approval for one that's 45 times stronger to be sold over the counter.
[00:04:10.800 --> 00:04:18.879]  Hey, if you want breast cancer or testosterone cancer or you want to, you know, get pancreatic cancer, this is the way to go.
[00:04:19.519 --> 00:04:24.160]  So when it comes to the chemical companies, Trump is really and his people are really doing some bad stuff.
[00:04:24.319 --> 00:04:32.079]  And I've held my tongue on Susie Wiles and Pam Bondi being part of those big legal consultancies that work for the big chemical companies and Pfizer and others.
[00:04:32.399 --> 00:04:39.199]  But now it's clear, I'll do a whole separate report on this tomorrow when I'm back in studio in Austin.
[00:04:39.439 --> 00:04:58.079]  But they've now been blocking a bunch of court cases that Kennedy and Del Bigtree and a bunch of other people supported and brought in the last four or five years against Pfizer, Moderna, and others with all the proof of how deadly those shots are, the mRNA mutagenic shots.
[00:04:58.720 --> 00:05:07.519]  So across the board, these lobbyists, lawyers, and others are absolutely going against Maja and what we elected Trump for.
[00:05:07.840 --> 00:05:10.000]  And I'm just going to call Balls' tracks on Trump.
[00:05:10.160 --> 00:05:13.040]  I'm glad it wasn't Kamala Harris in there.
[00:05:13.600 --> 00:05:18.720]  I like what's happening on the border and trying to stop war with Russia and all the rest of it and getting our jobs back and the trade deals.
[00:05:18.800 --> 00:05:19.840]  That's all great.
[00:05:20.160 --> 00:05:21.759]  And shutting down the border 96%.
[00:05:22.400 --> 00:05:23.759]  And they have found a lot of the missing kids.
[00:05:23.840 --> 00:05:24.480]  That's great.
[00:05:24.800 --> 00:05:26.400]  Tom Homis did a great job.
[00:05:26.720 --> 00:05:31.920]  But for people out there that say, hey, trust the plan and you're against Trump, you're criticizing any of this.
[00:05:32.240 --> 00:05:33.600]  You're mentally ill.
[00:05:34.879 --> 00:05:51.600]  We have to put pressure on the Trump administration because there's a tug of war with insiders and lobbyists and others who go make recommendations to Trump who are really starting to make the administration go from doing a really great job to starting to shift into some really bad territory.
[00:05:51.920 --> 00:05:58.079]  And so the Israel lobby and all these other neocon lobbies want us to just shut up about war and do whatever Trump says.
[00:05:58.240 --> 00:05:59.920]  Well, that's what people are recommending to Trump.
[00:06:00.079 --> 00:06:01.120]  We are his constituents.
[00:06:01.199 --> 00:06:02.240]  We're putting pressure on him.
[00:06:02.319 --> 00:06:10.000]  So anybody that tells you not to criticize Trump or you're not a supporter thinks you're stupid and is trying to get you into a Democrat Party style cult.
[00:06:10.480 --> 00:06:13.360]  And it's extremely, extremely, extremely dangerous.
[00:06:14.000 --> 00:06:21.439]  So really, I've always called balls and strikes, but more and more, I'm going to try to actually come up with some report card systems on the major issues.
[00:06:22.079 --> 00:06:25.680]  And I'm going to start putting out like a monthly basic report card on the big issues.
[00:06:26.000 --> 00:06:36.720]  You know, the guy who's really an expert on this and already does it is the folks over at The John Birds Society and the president of the John Bird Society, we need to get William F. Jasper on, actually, because they already do a report card.
[00:06:36.959 --> 00:06:38.399]  I know they've got one coming out on Trump.
[00:06:38.560 --> 00:06:47.439]  In fact, we'll try to get him on the next few days because that's the only way I can really do this: is okay, Trump's good here, A plus here, B minus here, C minus here, F here.
[00:06:47.759 --> 00:06:53.920]  And then, hey, let's put pressure on so that they don't do this because it's our pressure getting them to dial back to war with Iran.
[00:06:54.000 --> 00:06:56.800]  It's our pressure getting them to do so many of these things.
[00:06:56.959 --> 00:06:59.040]  And fluoride's very unpopular.
[00:06:59.120 --> 00:07:00.800]  It's on record bad for you.
[00:07:01.120 --> 00:07:07.600]  And this is outrageous that you have HHS head going around, the state's banning it, the Fed's moving to ban it.
[00:07:07.920 --> 00:07:11.199]  And then they have a court ruling signaling, yeah, we understand this is right.
[00:07:11.759 --> 00:07:15.920]  And it's a class action, and that's the proper way for the courts to do it.
[00:07:16.079 --> 00:07:18.079]  And then the DOJ comes in and says, we're appealing this.
[00:07:18.240 --> 00:07:21.759]  And while that's being appealed for the next few years, the fluoride's going to stay in your damn water.
[00:07:22.079 --> 00:07:22.399]  Okay?
[00:07:23.040 --> 00:07:25.680]  And if you want bone cancer, you want brain cancer, this is the way to go.
[00:07:25.920 --> 00:07:26.720]  You want lower fertility?
[00:07:26.800 --> 00:07:27.279]  This is the way to go.
[00:07:27.360 --> 00:07:28.399]  You want accelerated aging?
[00:07:28.480 --> 00:07:29.040]  This is the way to go.
[00:07:29.199 --> 00:07:30.079]  You want lower IQs?
[00:07:30.160 --> 00:07:31.199]  This is the way to go.
[00:07:31.519 --> 00:07:35.199]  So I am just very upset about this.
[00:07:35.759 --> 00:07:43.120]  And I'm more and more, again, seeing Trump go from doing a 95% good job to like a 90% or 85%.
[00:07:43.840 --> 00:07:45.840]  I mean, it's really ticking down here.
[00:07:46.159 --> 00:07:48.079]  And we need to put major pressure on this administration.
[00:07:48.159 --> 00:07:49.759]  We need to support the good people.
[00:07:50.079 --> 00:07:51.279]  We need to expose the bad people.
[00:07:51.439 --> 00:07:52.800]  I'm an enemy of Pam Bombies.
[00:07:53.199 --> 00:07:54.399]  Seems like a nice lady.
[00:07:54.879 --> 00:07:56.639]  You know, I know Dan Bongina and those people.
[00:07:56.720 --> 00:07:59.199]  I don't think they're bad people, but I think they're in over their heads.
[00:08:00.000 --> 00:08:06.159]  And just everything we've been seeing is absolutely not what we voted for more and more.
[00:08:06.800 --> 00:08:09.360]  And so what do you think about Trump administration?
[00:08:09.600 --> 00:08:10.319]  This is high level.
[00:08:10.399 --> 00:08:15.439]  This is a decision by the Solicitor General and the Attorney General.
[00:08:15.519 --> 00:08:23.279]  It's all on record to appeal this and try to keep deadly bug poison is basically what it is, fluoride in your water.
[00:08:23.840 --> 00:08:29.199]  You have the American Chemical Council that's just an open group for the big chemical companies that want all this done.
[00:08:29.519 --> 00:08:35.840]  We got the Paraquad, all these other deadly chemicals sprayed in our lakes and rivers to, quote, kill hydrilla because it's invasive.
[00:08:36.159 --> 00:08:40.799]  And then it kills all the turtles and fish that gets into our drinking water and makes our cancer explode.
[00:08:41.759 --> 00:08:45.759]  The atrazine, the bisphenol A. I mean, we're really moving to get all this out.
[00:08:46.080 --> 00:08:52.080]  But these corrupt chemical companies are doing all this stuff that's not even needed for agriculture or anything.
[00:08:52.720 --> 00:08:53.759]  It's all about control.
[00:08:54.000 --> 00:08:58.960]  They have all these chemicals that are a lot safer, but they choose the ones that are the most toxic and they bomb our environment with it.
[00:08:59.120 --> 00:09:02.319]  And we are the most unhealthy people on earth by far and getting more and more so every day.
[00:09:02.480 --> 00:09:05.279]  Our standard of life is down.
[00:09:05.440 --> 00:09:06.480]  We're not living as long.
[00:09:06.799 --> 00:09:08.960]  All the different disorders are off the charts.
[00:09:09.279 --> 00:09:10.879]  We are very, very sickly people.
[00:09:11.200 --> 00:09:15.279]  And our children now, one in three has diabetes or is pre-diabetic.
[00:09:15.519 --> 00:09:18.080]  It's trending towards half soon.
[00:09:18.399 --> 00:09:23.279]  Autism rates from 1 in 50,000, 50-something years ago, like 1 in 33 now.
[00:09:23.600 --> 00:09:24.720]  I mean, this is serious.
[00:09:24.960 --> 00:09:26.480]  You go out in public, you see the public.
[00:09:26.799 --> 00:09:30.480]  We look like we've been poisoned to death because we are.
[00:09:30.799 --> 00:09:32.960]  So I am extremely upset about this.
[00:09:33.120 --> 00:09:35.519]  I am extremely disgusted.
[00:09:35.840 --> 00:09:37.279]  And I need Trump to succeed.
[00:09:37.519 --> 00:09:38.879]  I know the Democrats are pure evil.
[00:09:38.960 --> 00:09:39.759]  I know they're out of control.
[00:09:39.840 --> 00:09:40.799]  They want to put me in prison.
[00:09:40.960 --> 00:09:45.519]  They want to just take our children away from us culturally and literally mutilate them.
[00:09:45.759 --> 00:09:45.920]  Okay.
[00:09:46.080 --> 00:09:48.639]  I mean, we know they're pure evil turned over to the globalist.
[00:09:49.279 --> 00:09:50.559]  And Trump's the guy we brought in.
[00:09:50.639 --> 00:09:52.399]  There's other poplists being elected all over the world.
[00:09:52.639 --> 00:09:54.480]  So there's a very good trend there.
[00:09:54.639 --> 00:09:59.039]  But we have to fight each time we get these people in that they don't get taken off course or get co-opted.
[00:09:59.200 --> 00:10:07.360]  We have to use our energy as constituency as the grassroots politics is downstream from the grassroots to fight the globalist corporate astro turf.
[00:10:07.600 --> 00:10:10.559]  So getting Trump back in, the fight just begun.
[00:10:11.200 --> 00:10:13.920]  And again, I do not apologize for holding his feet to the fire.
[00:10:14.000 --> 00:10:16.399]  And I'm going to be doing it a lot more and a lot more intensely.
[00:10:16.720 --> 00:10:19.200]  People, you know, six months goes, God, you're only cheerlead.
[00:10:19.279 --> 00:10:21.360]  Well, I mean, it was, the course was basically perfect.
[00:10:21.680 --> 00:10:22.879]  And now we're going off course here.
[00:10:22.960 --> 00:10:25.440]  And I'm like, whoa, whoa, whoa, whoa, whoa.
[00:10:26.720 --> 00:10:28.319]  So Trump belongs to us.
[00:10:28.480 --> 00:10:29.600]  This is our administration.
[00:10:29.920 --> 00:10:31.200]  Doesn't belong to Netanyahu.
[00:10:31.360 --> 00:10:32.319]  Doesn't belong to the chemical company.
[00:10:32.399 --> 00:10:33.600]  It doesn't belong to Pfizer.
[00:10:33.680 --> 00:10:34.559]  It doesn't belong to Fauci.
[00:10:35.360 --> 00:10:38.879]  And, you know, they tried to float out new mRNA shots and all the rest of it.
[00:10:39.039 --> 00:10:39.920]  They're trying to get approval of that.
[00:10:40.000 --> 00:10:40.879]  Kennedy's fighting it.
[00:10:41.120 --> 00:10:42.559]  And we've got to help him fight it.
[00:10:42.879 --> 00:10:43.279]  All right.
[00:10:43.360 --> 00:10:44.319]  It's that simple.
[00:10:44.559 --> 00:10:52.399]  So what do you think in the comments below about Trump coming out and his administration saying, nope, we want to keep the fluoride in the water.
[00:10:52.480 --> 00:10:55.120]  It's great for you, despite all the evidence, despite all the facts.
[00:10:55.360 --> 00:10:56.399]  More reports coming up.
[00:10:56.559 --> 00:10:58.879]  Owen Schroeder's Live right now, 11 a.m. to 3 p.m.
[00:10:58.960 --> 00:10:59.759]  Central, doing my show.
[00:10:59.840 --> 00:11:01.600]  I'll be back later today and tomorrow.
[00:11:01.840 --> 00:11:02.559]  God bless you all.
[00:11:02.639 --> 00:11:27.680]  Now get this report out because you're the polar reveers or listen to the globalist and just shut up because that's what an American does is you sit down and you shut up and you drink the glyphosate and you drink the fluoride and you take the Pfizer shots and you give your kids the serotonin reuptake inhibitors and the Adderall and you just roll over and you die and you let the schools brainwash your kids into transgenderism and you just roll over.
[00:11:28.000 --> 00:11:30.799]  Now the good news is Trump's battling all that, which is great.
[00:11:31.279 --> 00:11:38.639]  We'll go after the states, pull in federal funds to put women in the position of having men in their sports and all the rest of it.
[00:11:38.799 --> 00:11:40.240]  It all needs to stop.
[00:11:40.559 --> 00:11:44.000]  We need to turbocharge the good things Trump's doing and support him.
[00:11:44.240 --> 00:11:47.920]  And we need to screen body murder the things we don't agree with because we're the American people.
[00:11:48.240 --> 00:11:49.039]  It's we the people.
[00:11:49.200 --> 00:11:51.039]  It's our country and it's our voices.
[00:11:51.279 --> 00:11:52.960]  And you should not be ashamed to use your voices.
[00:11:53.120 --> 00:11:56.160]  You should be proud and you should use them more intensely than ever right now.
[00:11:56.400 --> 00:12:00.079]  There's a battle for the heart and soul of Maha and MAGA right now.
[00:12:00.400 --> 00:12:00.960]  Thank you so much.
[00:12:01.039 --> 00:12:06.079]  Be sure to follow me on the next at RealAlex Jones and watch the live streams at Real Alex Jones right now on Infowars.com forward slash show.
