[00:00:00.000 --> 00:00:04.139]  Big Jeffrey Epstein cover-up case news coming out.
[00:02:20.389 --> 00:02:34.289]  Stockholm Syndrome out, and about half of the studies end up becoming pedophiles themselves, like Ghislaine Maxwell, whose father reportedly, I mean, we know he ran pedophile rings for Israel, MI6, in the work of the CIA, and word is he named his boat after her, and she was quite a sex operative.
[00:02:34.430 --> 00:02:40.169]  We know that she was the sex operative team member with Epstein, and they kind of took over the family business.
[00:02:40.330 --> 00:02:41.669]  So, here's this guy.
[00:02:41.930 --> 00:02:46.430]  They are literally trying to get out ahead of all of this right now.
[00:02:46.509 --> 00:02:48.969]  The gateway public's got some good articles on it, so does Infowars.
[00:02:49.439 --> 00:02:56.219]  There's even some New York Post, ex Barclays exec, Jess Stanley, Jeffrey Epstein emails revealed, say hi to Snow White.
[00:02:56.939 --> 00:03:03.219]  And there's also a lot of Disney code words that we know that pedophiles use there as well.
[00:03:03.560 --> 00:03:04.919]  I mean, this is sick.
[00:03:05.080 --> 00:03:15.240]  So they always, when they get caught, just like when he first got caught in Florida, recruiting hundreds of girls at trailer parks, 14, 15 years old, he talked in his diaries and documents about how exhausted.
[00:03:15.710 --> 00:03:21.689]  Or notes how exhausted he was because he was having to get so many of them for this giant industrial operation.
[00:03:22.509 --> 00:03:32.550]  So Jeffrey Epstein, former confidant, ex-JP Morgan Banker, claims Jeffrey Epstein knew more about upper levels of bank than he did.
[00:03:32.990 --> 00:03:35.490]  Yeah, because that's what they were working on.
[00:03:36.370 --> 00:03:42.930]  Jess Stanley accused of aggressively raping Jeffrey Epstein's victims with his permission.
[00:03:42.930 --> 00:03:44.590]  But he's saying, no, no, no, no, no, no.
[00:03:44.960 --> 00:03:52.620]  It was all just a quid pro quo and they weren't under 18. Former Barclays CEO Jeff Stanley admits he had sex with Jeffrey Epstein's assistant.
[00:03:52.939 --> 00:03:55.560]  So this is all coming out.
[00:03:55.860 --> 00:03:58.379]  It's a lot of Democrats, a lot of globalists.
[00:03:58.460 --> 00:03:59.840]  Bill Gates heavily involved, obviously.
[00:04:00.080 --> 00:04:02.120]  But he was not being blackmailed by Epstein.
[00:04:02.259 --> 00:04:07.139]  It's clear that he was hiring Epstein to blackmail scientists for him and indeed didn't do that.
[00:04:07.460 --> 00:04:08.960]  And then you've got this breaker.
[00:04:09.719 --> 00:04:11.500]  Broke yesterday, more is broken now.
[00:04:11.639 --> 00:04:12.240]  Remember this guy?
[00:04:12.419 --> 00:04:12.719]  Help.
[00:04:13.500 --> 00:04:24.959]  Cover up the main incident, individual investigation over the Islamic terror attack that got covered up in the Vegas, biggest massacre with guns ever, but you never hear about it because they can't blame on an American citizen.
[00:04:25.620 --> 00:04:30.720]  Well, then he became the Maui police chief that locked it down and wouldn't let them flee and help cover it up.
[00:04:30.839 --> 00:04:34.620]  It still keeps people out today so they can force them off their property like we're already seeing in California.
[00:04:34.920 --> 00:04:40.199]  When Governor Newsom declaring the emergency for a 15-minute city, Lahaina was declared that in Maui a year before.
[00:04:40.459 --> 00:04:41.319]  They wouldn't sell.
[00:04:41.769 --> 00:04:42.649]  So they burned him out.
[00:04:42.829 --> 00:04:51.550]  Well, he's involved with P. Diddy and reportedly named these lawsuits now helping basically run the parties.
[00:04:52.189 --> 00:04:55.230]  So notice it is a big sick club.
[00:04:55.370 --> 00:05:02.569]  Of course, he's alleged and it's civil, but they're now calling for him to resign as the Maui police chief there.
[00:05:02.949 --> 00:05:07.970]  So it's a sick club and that's why it's about the P. Diddy and a bunch of Epstein connections as well.
[00:05:08.560 --> 00:05:11.660]  But P. Diddy and Epstein are just the high-level managers.
[00:05:12.240 --> 00:05:14.379]  There's the big boys up above it.
[00:05:14.779 --> 00:05:16.639]  And, of course, where did Epstein come from?
[00:05:16.740 --> 00:05:33.040]  His first job, really, in America as a professional with no degree, being a top teacher and counselor at a special girls' school that former attorney general and CIA operative Barr's dad ran.
[00:05:33.259 --> 00:05:41.459]  And his dad also wrote a book about a Prison planet of sex slave children raped by elites.
[00:05:42.660 --> 00:05:44.959]  Can't make that up either.
[00:05:46.079 --> 00:05:48.800]  So, this is how they control people.
[00:05:48.959 --> 00:05:50.660]  This is the gateway into their cult.
[00:05:50.839 --> 00:05:51.819]  It's their initiation.
[00:05:52.240 --> 00:05:53.939]  Is sex with underage girls.
[00:05:54.120 --> 00:05:58.279]  And then it goes further from that, from our intel and what's come out over and over again.
[00:05:58.500 --> 00:06:02.300]  It includes ritually murdering children that are selling their organs.
[00:06:02.399 --> 00:06:04.160]  I had a member of the UK Parliament just a month ago.
[00:06:04.600 --> 00:06:18.980]  It was documented this, and the fact that they are flying children out of Ukraine into the UK, and that they are then being raped, used up, and then killed in a snuff film, and they recycled the organs.
[00:06:20.399 --> 00:06:23.459]  All right, that is your Jeffrey Epstein update today.
[00:06:23.740 --> 00:06:24.660]  This has been breaking.
[00:06:24.759 --> 00:06:28.620]  It hasn't gotten a lot of attention, but hopefully now people will look into this.
[00:06:28.720 --> 00:06:29.639]  This is only the tip of the iceberg.
[00:06:30.160 --> 00:06:31.180]  Thank you so much for watching.
[00:06:31.420 --> 00:06:32.720]  The good news is...
[00:06:32.939 --> 00:06:39.019]  Team humanity has awakened, and the globalists are being exposed, and their empire of lies and pure evil is coming down.
[00:06:39.300 --> 00:06:44.699]  Please follow me on X at Rollox Jones, and if that ever goes down in these hack attacks, we got attacked this week with EDOS Tech as well.
[00:06:45.259 --> 00:06:52.660]  You can go to infowars.com forward slash show for our feeds, or may not video, but if we go down, which happens under attack, we go back to X. It's a rumble.
[00:06:52.899 --> 00:06:53.500]  We're also on Rumble.
[00:06:54.339 --> 00:06:56.139]  More diversity, more channels.
[00:06:56.560 --> 00:06:58.620]  More freedom, so we can't be easily shut down.
[00:06:58.740 --> 00:07:00.779]  But VEX is the big, mighty one, and we love it.
[00:07:00.899 --> 00:07:04.199]  We're very, very appreciative for all the great work that's happening there with all of you out there.
[00:07:04.319 --> 00:07:07.100]  So thank you so much to the viewers, the listeners.
[00:07:07.240 --> 00:07:12.519]  We are a family of humans looking for freedom and justice for not just ourselves, for our children and our future.
