# Transcription model: large-v3-turbo
[00:00:00.000 --> 00:00:01.260]  It's really, really bad.
[00:06:08.839 --> 00:06:11.560]  I live on the edge of the city, right on the city line.
[00:06:12.780 --> 00:06:14.660]  About a half mile away, it's Austin Police.
[00:06:15.620 --> 00:06:16.759]  And where I'm at, it's Travis County.
[00:06:16.860 --> 00:06:17.660]  Sometimes they both come.
[00:06:18.060 --> 00:06:19.060]  And Westlake's right there.
[00:06:19.120 --> 00:06:19.639]  Sometimes they come.
[00:06:20.019 --> 00:06:23.720]  I've been swatted so many times during the day, at night.
[00:06:23.980 --> 00:06:25.980]  I see the police where they gas up near my house.
[00:06:27.120 --> 00:06:28.519]  That's where the other gas contracts in the place.
[00:06:28.560 --> 00:06:30.040]  I tend to get my gas at a Chevron.
[00:06:30.720 --> 00:06:31.819]  And I see them.
[00:06:31.879 --> 00:06:34.079]  They go, yeah, we got about 10 more calls the last month.
[00:06:34.600 --> 00:06:38.519]  So last Wednesday night, I get up, go to the bathroom, get a glass of water.
[00:06:38.639 --> 00:06:41.060]  I see right at the end of my driveway, Sheriff's Department.
[00:06:41.300 --> 00:06:41.879]  I wave at them.
[00:06:42.399 --> 00:06:45.180]  They turn their lights on, barely see them wave, they drive off.
[00:06:45.420 --> 00:06:47.199]  Get a glass of water, walk back five minutes later.
[00:06:47.639 --> 00:06:48.680]  I'll be honest, I'm stressed.
[00:06:49.079 --> 00:06:49.819]  Smoking a cigarette.
[00:06:50.100 --> 00:06:51.839]  Didn't do that for 14 years, started back from stress.
[00:06:52.000 --> 00:06:52.519]  Not drinking, though.
[00:06:52.939 --> 00:06:55.019]  Smoking a cigarette, looking out the window, they drive back by.
[00:06:55.240 --> 00:06:56.819]  I just go out, wave, they drive off.
[00:06:57.240 --> 00:07:02.560]  They know, okay, because they've been, I mean, literally, the swatting started when I moved to that house nine years ago.
[00:07:03.360 --> 00:07:07.879]  And they came five or six times, but they would just come and knock and talk, and they'd see me.
[00:07:07.959 --> 00:07:09.199]  I mean, they know it's Alex Jones.
[00:07:09.839 --> 00:07:10.560]  Travis County.
[00:07:10.839 --> 00:07:12.199]  Seems to have it more on the ball than Austin.
[00:07:12.379 --> 00:07:16.839]  They went to Chase's house during the day and did all this.
[00:07:17.000 --> 00:07:17.779]  He went out and met with them.
[00:07:17.980 --> 00:07:18.839]  Most of them were listeners.
[00:07:19.180 --> 00:07:20.120]  And I said, watch out.
[00:07:20.180 --> 00:07:20.720]  Get out of your house.
[00:07:20.860 --> 00:07:21.920]  They're going to hit the nighttime group.
[00:07:22.560 --> 00:07:27.920]  They'd done it digitally with text messages saying that somebody was in the house killing them and the family and the dog.
[00:07:28.579 --> 00:07:30.879]  But the person then called at night with a spoof number.
[00:07:31.000 --> 00:07:31.540]  That's the problem.
[00:07:31.620 --> 00:07:35.560]  That's why the cops get fooled and said, yeah, I've tied up my wife and daughters.
[00:07:35.560 --> 00:07:36.220]  I'm going to kill them.
[00:07:36.569 --> 00:07:40.709]  And that hits me even more at home because my middle daughter babysits over there some.
[00:07:40.829 --> 00:07:42.069]  So we're all family here.
[00:07:42.889 --> 00:07:44.850]  And you've got a wife and children.
[00:07:45.350 --> 00:07:48.189]  So these people are the ultimate scum.
[00:07:48.430 --> 00:07:50.230]  It's like Nick Sordor's sister's a liberal.
[00:07:50.350 --> 00:07:50.769]  Not anymore.
[00:07:51.069 --> 00:07:52.230]  Environmental studies major.
[00:07:52.410 --> 00:07:53.189]  Swatted her.
[00:07:53.449 --> 00:07:54.470]  Swatted his dad.
[00:07:54.569 --> 00:07:55.529]  Because they have the name Sordor.
[00:07:55.930 --> 00:08:01.610]  So it is over 60 people that I, Daria, Scott, Owen, you.
[00:08:01.790 --> 00:08:02.470]  I've added it up.
[00:08:02.839 --> 00:08:11.079]  And I got two more contacts this morning, one in Texas, one in Florida, that also got swatted, but they don't want to go public, you know, for reasons.
[00:08:11.879 --> 00:08:16.000]  They don't want people to know that it was successful or that it wasn't successful.
[00:08:16.019 --> 00:08:19.660]  In the other case, they, it's crazy, like a cousin of theirs in Florida.
[00:08:20.180 --> 00:08:23.220]  So, especially these names that are, you're lucky your name's Smith.
[00:08:23.420 --> 00:08:23.579]  Yeah.
[00:08:23.759 --> 00:08:29.860]  When it's a name like Sordor, I mean, I'm sure other Sordors are getting hit that aren't even closely related, probably 10th Cousins.
[00:08:30.480 --> 00:08:32.139]  So it's really, really bad.
[00:08:32.320 --> 00:08:32.860]  It's terrorism.
[00:08:32.860 --> 00:08:33.980]  It's because they're cowards.
[00:08:34.100 --> 00:08:35.279]  It's because they're desperate.
[00:08:35.539 --> 00:08:39.320]  And the next move is that Trump's going to kill migrants.
[00:08:39.500 --> 00:08:43.519]  And I said three, four months ago, I said, they're starting this even before he got in, even before he was president-elect.
[00:08:43.980 --> 00:08:46.240]  Last month of the election, I said, they keep saying.
[00:08:46.679 --> 00:08:47.539]  All of the talking heads.
[00:08:47.679 --> 00:08:50.019]  He's going to kill Tom Homan, the Border Patrol.
[00:08:50.340 --> 00:08:51.600]  ICE is going to kill a bunch of migrants.
[00:08:51.779 --> 00:08:55.559]  So they're at the border or at a detention facility or at a demonstration is what I think.
[00:08:55.860 --> 00:08:58.220]  Somebody in a parking garage or something is going to mow them down or truck bomb them.
[00:08:58.340 --> 00:09:00.740]  And then they're going to go, oh my God, they killed a Trump supporter.
[00:09:00.840 --> 00:09:01.580]  He got a MAGA hat.
[00:09:01.679 --> 00:09:02.539]  It all starts there.
[00:09:02.799 --> 00:09:05.659]  They also keep saying blacks are going to get killed.
[00:09:05.759 --> 00:09:09.460]  Well, we're only blacks, a black church, a black college, or traditionally black college.
[00:09:09.899 --> 00:09:10.840]  Something like that.
[00:09:11.600 --> 00:09:12.460]  That's the next move.
[00:09:12.600 --> 00:09:14.480]  It's very easy to telegraph, but we're out ahead of it.
[00:09:15.279 --> 00:09:16.580]  This is extremely dangerous.
[00:09:17.100 --> 00:09:21.259]  We've said they want to also do a nuclear false flag, even before the Russians set it against a reactor.
[00:09:21.460 --> 00:09:22.539]  I said that in the last three years.
[00:09:22.639 --> 00:09:24.879]  Now they've done that several times with drone attacks, trying to blame Russia.
[00:09:25.360 --> 00:09:26.860]  They built the Nord Stream, blamed it on Russia.
[00:09:27.220 --> 00:09:27.940]  Nobody's buying it.
[00:09:28.419 --> 00:09:31.559]  So, escalation of war, economic collapse.
[00:09:31.700 --> 00:09:34.340]  They're trying to crash Social Security internally, blaming it on Doge and Musk and Trump.
[00:09:34.500 --> 00:09:35.379]  They pre-programmed that.
[00:09:35.519 --> 00:09:36.500]  Now they're saying it's imminent.
[00:09:37.279 --> 00:09:38.559]  And false flag attacks.
[00:09:39.080 --> 00:09:48.259]  Meanwhile, this is an intimidation campaign to ramp this up and to take police resources and to take FBI resources, which, away from the prosecutions and investigations.
[00:09:48.259 --> 00:09:49.519]  We're doing this due process.
[00:09:49.679 --> 00:09:52.580]  So 59 days in, Trump is moving very quickly.
[00:09:52.799 --> 00:09:54.279]  And people are like, we want to see more.
[00:09:54.419 --> 00:10:02.039]  Well, if they keep pushing and bring the war here, and the Democrats caused a civil war, they said they want Trump to declare the Insurrection Act so they can say he's a dictator.
[00:10:03.049 --> 00:10:07.370]  Enough of the public's awake in supporting Trump, all-time highs, Democrats, all-time lows in polls.
[00:10:07.710 --> 00:10:09.570]  They're going to get the war they want, Harrison.
[00:10:09.769 --> 00:10:13.009]  So I've seen you ask, and reasonably, hey, are we being teased?
[00:10:13.429 --> 00:10:13.789]  No.
[00:10:14.009 --> 00:10:16.490]  Trump ordered them to release the documents five years ago.
[00:10:16.970 --> 00:10:19.370]  Pompeo convinced him not to release 20% because he has a CIA in it.
[00:10:19.429 --> 00:10:20.850]  He's told Roger Stone that, Trump has.
[00:10:21.269 --> 00:10:22.509]  He said they're all being released.
[00:10:23.149 --> 00:10:29.049]  Of the 20% that were left, that are the meaty ones, a third were not released, according to the big JFK society's organizations.
[00:10:29.429 --> 00:10:31.090]  Nor the FBI files, or any of that.
[00:10:31.399 --> 00:10:33.799]  So you think Trump liked to be chumped by them?
[00:10:34.039 --> 00:10:35.120]  No, he's going to go ape.
[00:10:35.240 --> 00:10:35.980]  He's going to go in there again.
[00:10:36.100 --> 00:10:40.080]  But imagine, I have a great crew of 40-something people that put up with me because they know it's a good mission.
[00:10:40.899 --> 00:10:44.139]  Imagine having 2 million employees and you don't know where everything's at.
[00:10:44.240 --> 00:10:46.720]  If I need a clip, I don't know where it is if the crew didn't help me.
[00:10:47.019 --> 00:10:49.679]  So imagine if these guys weren't behind us and these ladies.
[00:10:50.320 --> 00:10:51.240]  We would be powerless.
[00:10:51.820 --> 00:10:56.860]  So, as Musk said, Trump was voted in as the captain, but half the ship.
[00:10:56.940 --> 00:10:58.480]  Remember, half the ship is mutinous.
[00:10:58.639 --> 00:11:07.659]  He asked, I mean, Elon, five weeks ago, sent out an email and said, what are five things you did last week and who's your supervisor?
[00:11:08.940 --> 00:11:12.340]  Over half, 1,100,000 did not respond.
[00:11:12.580 --> 00:11:13.740]  Now, how do you respond to that?
[00:11:14.220 --> 00:11:15.600]  I mean, they go in and fire the heads.
[00:11:15.940 --> 00:11:22.980]  They went to the Treasury and they had to go through six layers of people from the top person down saying, I'm not going to show you the computer to the Secretary of the Treasury.
[00:11:23.659 --> 00:11:23.980]  Okay?
[00:11:24.139 --> 00:11:26.320]  I mean, these are criminals that have nothing to lose.
[00:11:26.860 --> 00:11:28.460]  So, believe me, Trump's been shot.
[00:11:29.399 --> 00:11:30.399]  I've talked to the Trumps.
[00:11:30.480 --> 00:11:32.019]  For everything you hear about with him, it's ten times worse.
[00:11:32.139 --> 00:11:32.559]  That's their quote.
[00:11:32.659 --> 00:11:34.860]  Eric said that on national TV on Fox last year.
[00:11:35.700 --> 00:11:40.879]  Just like other people get harassed and attacked, sometimes you don't want to give the enemy info to know if their targeting's accurate.
[00:11:41.360 --> 00:11:43.879]  Believe me, Trump's for real, folks.
[00:11:44.059 --> 00:11:46.379]  They've come after him, destroyed most of his wealth.
[00:11:46.620 --> 00:11:47.659]  He's on our side.
[00:11:47.860 --> 00:11:50.519]  Does he have some double agents in there that people have dirt on?
[00:11:50.620 --> 00:11:51.379]  You bet your boots.
[00:11:51.940 --> 00:11:54.460]  Is his new administration 90% better than the last one?
[00:11:54.519 --> 00:11:56.740]  We only had a few people like Flynn and Bannon?
[00:11:56.899 --> 00:11:57.240]  Yes.
[00:11:57.679 --> 00:12:04.259]  So I'm just telling people, focus on the enemy, focus on the globalist, and for God's sakes, on my children.
[00:12:05.320 --> 00:12:08.639]  We had just gotten into the black substantively.
[00:12:09.019 --> 00:12:14.559]  We had about, for me, we're always so close to the red, we had about 200,000 extra for all the projections for the month.
[00:12:15.080 --> 00:12:16.820]  I'm going to ask my law enforcement not to get into it.
[00:12:16.899 --> 00:12:21.039]  We got hit really bad last week with a bunch of cyber stuff and a bunch of things.
[00:12:21.200 --> 00:12:22.019]  Just terrible.
[00:12:22.500 --> 00:12:24.580]  Okay, now I've got to make that up again.
[00:12:24.759 --> 00:12:25.559]  This is a war.
[00:12:25.759 --> 00:12:27.159]  This is a long...
[00:12:27.160 --> 00:12:31.880]  Trench war, this is a protracted war, like any real struggle.
[00:12:31.881 --> 00:12:35.241]  Why do we call our revolution the long, you know, six-year struggle?
[00:12:35.580 --> 00:12:41.940]  Washington lost every battle until Trenton, and then you start winning the last six months, okay?
[00:12:42.340 --> 00:12:44.120]  It is about perseverance.
[00:12:44.539 --> 00:12:45.519]  Listen to me.
[00:12:45.659 --> 00:12:47.120]  You are the info war.
[00:12:47.299 --> 00:12:48.659]  That's not patting you on the back.
[00:12:48.980 --> 00:12:50.240]  You're Paul Revere.
[00:12:50.639 --> 00:12:59.120]  When you buy the products at thealexshownstore.com, when you buy the products at m4store.com, the very best supplements, the widest likes of paid apparel, when you support us, you get great products.
[00:12:59.139 --> 00:12:59.940]  That's a side issue.
[00:13:00.379 --> 00:13:07.179]  You're supporting yourself with people that have proven track records of accuracy who are bold and fearless on our mission.
[00:13:07.320 --> 00:13:10.120]  Because the reason I come off as fearless is I don't even have fear.
[00:13:11.259 --> 00:13:11.879]  What they'll do to me.
[00:13:12.000 --> 00:13:13.059]  I understand history.
[00:13:13.259 --> 00:13:18.240]  I understand these are the worst tyrants possible that literally want to cut our son's penises off and our daughter's breasts off.
[00:13:18.460 --> 00:13:20.100]  There is no capitulation of pure evil.
[00:13:20.159 --> 00:13:21.100]  I've said this a hundred times.
[00:13:21.460 --> 00:13:29.460]  If this was Boss Hogg that just wanted to be in charge and, you know, skim off the top, I'd oppose him and I'd try to get somebody to run against Boss Hogg and I'd expose election fraud.
[00:13:30.990 --> 00:13:36.870]  You know, in the county, the county they're in, in the fictitious thing in Georgia or whatever.
[00:13:37.330 --> 00:13:40.769]  But the point is, is that we're not in Hazard County here, okay?
[00:13:41.029 --> 00:13:45.529]  It ain't Boss Hog in a white suit and a Cadillac, okay?
[00:13:46.029 --> 00:13:50.029]  Because I'd fight Boss Hog and speak, but I'd go have a beer with him, try to get him to not be corrupt.
[00:13:50.129 --> 00:13:51.210]  Hey, why don't you step down, Boss Hog?
[00:13:51.350 --> 00:13:52.649]  Because Boss Hog just want to steal money.
[00:13:53.070 --> 00:13:54.450]  These people are satanic.
[00:13:54.570 --> 00:13:55.610]  They want control of our free will.
[00:13:55.769 --> 00:13:57.370]  You cannot capitulate.
[00:13:57.370 --> 00:13:59.389]  I would not risk my life fighting Boss Hog.
[00:13:59.549 --> 00:14:00.350]  I'd move out of the county.
[00:14:00.700 --> 00:14:02.500]  Or I'd run somebody against him.
[00:14:03.360 --> 00:14:05.700]  Ladies and gentlemen, you're not up against Boss Hogg.
[00:14:05.759 --> 00:14:07.860]  There's no surrender to people that give no quarter.
[00:14:08.399 --> 00:14:09.759]  Boss Hogg is a sweetie.
[00:14:10.740 --> 00:14:13.360]  And Trump is awesome compared to Boss Hogg.
[00:14:13.759 --> 00:14:15.200]  He actually is so confident.
[00:14:15.220 --> 00:14:18.100]  He just wants prosperity for everybody because he's a hospitality man.
[00:14:18.340 --> 00:14:21.500]  And people who come from hospitality love everybody having a good time.
[00:14:22.039 --> 00:14:27.940]  You're good at golf courses and casinos and hotels when you get into it, when you like it.
[00:14:28.039 --> 00:14:29.480]  Trump is a sweetheart.
[00:14:29.840 --> 00:14:30.960]  And he's born again hard.
[00:14:31.000 --> 00:14:31.779]  He's woken up.
[00:14:32.039 --> 00:14:33.500]  He's Trump 10.0.
[00:14:34.100 --> 00:14:34.799]  Pray for him.
[00:14:34.899 --> 00:14:38.240]  You can wake up any morning and they've shot down his plane or he's died of a heart attack from poison.
[00:14:38.399 --> 00:14:40.799]  But please pray for InfoWars and pray for the crew.
[00:14:41.480 --> 00:14:45.080]  Because I was already up here this morning and we were crushed down to nothing.
[00:14:45.240 --> 00:14:45.840]  People get sick.
[00:14:46.039 --> 00:14:46.799]  They deserve vacation.
[00:14:47.100 --> 00:14:49.620]  We have even less crew right now from all the attrition we've had.
[00:14:49.820 --> 00:14:50.679]  We have the best crew we've ever had.
[00:14:50.879 --> 00:14:53.299]  And I'm sitting there and I see the show go live and I go, look at this.
[00:14:53.399 --> 00:14:54.399]  It's about deep state attacking Trump.
[00:14:54.580 --> 00:14:55.539]  I run over here.
[00:14:56.289 --> 00:14:57.389]  And everybody's just scrambling.
[00:14:57.509 --> 00:14:58.250]  They all knew about Owen.
[00:14:58.330 --> 00:14:59.070]  They all knew about other stuff.
[00:14:59.250 --> 00:15:00.029]  And I called the rider.
[00:15:00.110 --> 00:15:01.490]  He said, yeah, I just didn't see it.
[00:15:01.649 --> 00:15:02.169]  I go, it's okay.
[00:15:02.169 --> 00:15:09.509]  But I have to control myself in my high-octane, you know, 1,000-horsepower engine, you know, wanting to beat these people.
[00:15:10.289 --> 00:15:12.950]  So I'm on one end of extreme, you know, 20 hours a day.
[00:15:13.009 --> 00:15:13.789]  I worked 20 hours a day.
[00:15:14.450 --> 00:15:21.169]  Other people, if you'll just go from 5% fighting tyranny because you're awake but it's kind of a hobby to 10%, we're going to win.
[00:15:21.450 --> 00:15:25.389]  Less than 1% of the voters, the Republican voters, gave Trump money.
[00:15:25.490 --> 00:15:27.309]  And it was record-setting, and that's why we won.
[00:15:27.750 --> 00:15:30.429]  Okay, because he had hundreds of millions alone to go expose election fraud.
[00:15:30.610 --> 00:15:32.470]  It takes money to win a war.
[00:15:33.009 --> 00:15:40.710]  I don't know how I convince people that the 99.9% that never buy any products, that if you'll just buy the products, we will expand and explode, not just survive.
[00:15:40.870 --> 00:15:42.570]  Even if they shut this down, we've got the backup.
[00:15:42.690 --> 00:15:43.990]  But I had to divide forces to do that.
[00:15:44.250 --> 00:15:45.490]  So please pray for Owen.
[00:15:45.730 --> 00:15:46.509]  Pray for his family.
[00:15:46.710 --> 00:15:47.990]  I told Owen, get out.
[00:15:50.509 --> 00:15:51.429]  Chase didn't even ask.
[00:15:51.730 --> 00:15:53.629]  Obviously, I told him that day, get your family out.
[00:15:53.690 --> 00:15:54.289]  They're coming again.
[00:15:54.529 --> 00:15:56.429]  And they came again and again and again.
[00:15:56.570 --> 00:15:57.409]  We're not going to get into it.
[00:15:57.769 --> 00:15:59.090]  Again and again and again and again.
[00:15:59.230 --> 00:16:01.610]  Until the police finally, you know, get it through their heads.
[00:16:02.429 --> 00:16:04.990]  Because they get a report, and it's somebody saying, I'm Chase Geiser.
[00:16:04.990 --> 00:16:06.110]  My wife and daughters are tied up.
[00:16:06.190 --> 00:16:07.289]  I'm going to blow their heads off right now.
[00:16:07.690 --> 00:16:08.710]  They have to go out.
[00:16:08.789 --> 00:16:09.649]  They have to respond.
[00:16:11.029 --> 00:16:13.850]  We're going to have to create some system for people that are on the swatting list.
[00:16:14.309 --> 00:16:15.509]  You know, they put it in the file.
[00:16:15.690 --> 00:16:19.850]  But, again, I had Tucker Carlson, supposedly, when I was in a CPA meeting a year ago.
[00:16:20.350 --> 00:16:21.070]  A year and a half ago.
[00:16:21.389 --> 00:16:22.070]  Like 5, 3 in the afternoon.
