# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.240 --> 00:00:02.240]  It's Saturday morning.
[00:06:32.000 --> 00:06:39.279]  You should have been talking about the tyranny and the danger of these people, like Trump's been doing, instead of literally having a dick-sucking contest up there.
[00:06:39.519 --> 00:06:51.279]  It took the Democrat governor, basically, actually, you know, like a Democrat, to come out and say, okay, yeah, he said, you know, catch this fascist, and, you know, he hated Trump, all stuff.
[00:06:53.439 --> 00:06:58.959]  And I agree we should turn the temperature down, but it's, but, but it's, it's not the right wing that's doing this.
[00:06:59.120 --> 00:06:59.839]  Everybody knows it.
[00:07:00.079 --> 00:07:01.599]  We're not, we're winning politically.
[00:07:01.839 --> 00:07:02.000]  Okay.
[00:07:02.240 --> 00:07:04.799]  We're winning at a populist level all over the world.
[00:07:05.360 --> 00:07:06.000]  It's rising.
[00:07:06.079 --> 00:07:09.360]  People are sick of neoliberalism and the globalist and black rock and all of it.
[00:07:09.519 --> 00:07:18.799]  So when Israel does real stuff, like stand out on October 7th and fund Hamas and do all this stuff and try to control our foreign policy, I completely expose it.
[00:07:18.959 --> 00:07:22.559]  I mean, Netanyahu was a top neocon, heavily involved in 9-11.
[00:07:22.799 --> 00:07:28.559]  All that stuff you see out there now, we covered back at the time, urban moving systems, all that stuff.
[00:07:28.879 --> 00:07:30.799]  So we cover it when it's real.
[00:07:31.120 --> 00:07:36.480]  But if I slip on a banana peel over here walking in the airport, I'm not going to go, oh my God, Netanyahu, you did it.
[00:07:36.799 --> 00:07:37.120]  Okay.
[00:07:38.639 --> 00:07:47.919]  And just the idea that there aren't the communist Chinese infiltrating this, or the fact that Venezuela is manipulating our elections and flooding us with fentanyl.
[00:07:48.000 --> 00:07:52.079]  And all of a sudden, there's all these other things in the world, all these other power blocks.
[00:07:52.399 --> 00:08:02.399]  But as people begin to wake up that there's a globalist system, there's groups out there that try to bully everyone into saying we don't cover anything but Israel.
[00:08:02.720 --> 00:08:05.919]  I mean, my God, if I talk about an asteroid coming by the planet, this is interesting.
[00:08:06.000 --> 00:08:07.439]  They go, why aren't you covering the Jews?
[00:08:07.600 --> 00:08:08.559]  It's mental illness.
[00:08:10.079 --> 00:08:11.919]  It's like Tourette's syndrome or something.
[00:08:12.240 --> 00:08:14.799]  And that's what's so insane about this.
[00:08:15.039 --> 00:08:16.560]  I just want to know the truth.
[00:08:16.879 --> 00:08:18.560]  I want to be able to predict the future accurately.
[00:08:18.720 --> 00:08:21.600]  I want to be tomorrow's news today, and I will go wherever it is.
[00:08:21.759 --> 00:08:24.560]  And that's why I have one of the best accuracy rates out there.
[00:08:24.879 --> 00:08:26.959]  And I don't even come here to like defend myself.
[00:08:27.199 --> 00:08:30.639]  I'm trying to defend your mental sanity out there, folks.
[00:08:30.959 --> 00:08:38.720]  That Harrison was that next day with guests and people and others saying, hey, could it be Israel?
[00:08:38.879 --> 00:08:39.759]  Looking at the clips of him.
[00:08:39.919 --> 00:08:41.200]  And I'm like, yeah, it might be.
[00:08:41.519 --> 00:08:44.559]  Looks like it's probably a crazy leftist to me, but we'll see.
[00:08:44.879 --> 00:08:46.799]  And then people saw me post, me.
[00:08:46.960 --> 00:08:49.919]  I said, watching his show that morning, I said, I want all those clips about Israel.
[00:08:50.079 --> 00:08:50.720]  It's just interesting.
[00:08:50.799 --> 00:08:51.519]  We should look into it.
[00:08:51.759 --> 00:08:53.200]  Post it on Real Alex Chunks.
[00:08:53.519 --> 00:08:57.120]  Then as more came out for the day, I said, no, pretty much sure it's this.
[00:08:57.360 --> 00:08:59.519]  Talk about FBI sources and others.
[00:08:59.919 --> 00:09:01.679]  Then we learned about the casings and things.
[00:09:02.000 --> 00:09:04.799]  And I said, no, I'm 95% sure it's this.
[00:09:04.960 --> 00:09:06.799]  And people went, well, what is this stuff?
[00:09:07.279 --> 00:09:08.240]  Gets your lives together.
[00:09:08.399 --> 00:09:10.639]  Why is Harrison on your feed doing this?
[00:09:10.799 --> 00:09:13.679]  And I'm like, it's my network, mental patients.
[00:09:14.240 --> 00:09:15.360]  He's a host for me.
[00:09:15.680 --> 00:09:16.879]  He's taking over the war room.
[00:09:17.039 --> 00:09:20.159]  I've got some big announcements who's taking over American Journal on Monday.
[00:09:20.399 --> 00:09:20.960]  Great lady.
[00:09:21.120 --> 00:09:21.680]  Very excited.
[00:09:21.759 --> 00:09:22.960]  I'll do a video on that later.
[00:09:23.279 --> 00:09:25.519]  This is the mental illness that we talked about.
[00:09:26.480 --> 00:09:29.200]  I mean, I'm debating Owen about, he shouldn't be so black, Bill.
[00:09:29.360 --> 00:09:31.200]  We should cover the good stuff Trump does, defend that.
[00:09:31.440 --> 00:09:33.120]  Also, hold his feet to fire bad things.
[00:09:33.440 --> 00:09:34.319]  Don't be so depressed.
[00:09:34.480 --> 00:09:40.240]  And people are like, oh my God, Alex is censoring because he's on his own show debating one of his other people.
[00:09:40.799 --> 00:09:42.639]  And I had that with David Knight.
[00:09:42.799 --> 00:09:45.360]  Like, I was in something on my show that he disagreed with.
[00:09:45.440 --> 00:09:46.720]  I wasn't even watching his show most of the time.
[00:09:46.879 --> 00:09:48.399]  And he would get mad and say, you're censoring me.
[00:09:48.480 --> 00:09:49.039]  You're censoring me.
[00:09:49.120 --> 00:09:50.399]  No, no, you're censoring me.
[00:09:50.639 --> 00:09:51.519]  Me, me.
[00:09:52.159 --> 00:09:53.440]  I am allowed to have my opinions.
[00:09:53.519 --> 00:09:54.480]  I'm allowed to be right.
[00:09:54.960 --> 00:10:04.400]  And I will continue to be right over and over and over and over again because all I do is try to get the truth.
[00:10:04.720 --> 00:10:08.560]  Now, I got to tell you this, Kyle Serafin is batting a thousand.
[00:10:08.879 --> 00:10:13.680]  I was having that with Ed Martin a lot yesterday and on a lot of issues.
[00:10:14.320 --> 00:10:15.600]  So much we talked about.
[00:10:16.240 --> 00:10:20.480]  I was telling him, he goes, oh my God, don't say you got that from me because you didn't.
[00:10:20.800 --> 00:10:21.600]  So let's just be clear.
[00:10:21.680 --> 00:10:26.160]  A lot of the stuff I've gotten while I was in D.C., and I've gotten over the phone with people.
[00:10:27.040 --> 00:10:30.240]  And when I saw Seraphin's area yesterday, it did not come from Ed Martin.
[00:10:30.320 --> 00:10:37.840]  So I'm going to do some more videos revealing what's going on in the White House, what's going on with Pam Bondi and others that I'd not get from Ed Martin.
[00:10:38.080 --> 00:10:42.240]  So I was telling him, hey, the moment this one about that, he goes, let's see, look, no comment.
[00:10:42.400 --> 00:10:44.320]  And now when you talk about that, they're going to say it's me.
[00:10:44.400 --> 00:10:48.800]  So make sure, you know, because Ed Martin's not my own source.
[00:10:49.840 --> 00:10:52.800]  I got other DOJ sources, other FBI sources other than just Seraphim.
[00:10:53.040 --> 00:10:55.120]  I'm telling you, that guy is just freaking dead on.
[00:10:55.280 --> 00:10:56.160]  I mean, just everything.
[00:10:56.639 --> 00:11:02.400]  And Seraphin is always the one to come out and say if he sees something wrong.
[00:11:02.720 --> 00:11:07.920]  They went and enhanced all the videos, blew it up from the college, and you see the whole thing happen.
[00:11:08.000 --> 00:11:08.960]  You see the whole thing go down.
[00:11:09.280 --> 00:11:12.560]  The father recognized his picture from the shot that was in the hallway.
[00:11:13.120 --> 00:11:13.840]  And he turned him in.
[00:11:13.920 --> 00:11:16.240]  I feel so sorry for the family who are Trump supporters.
[00:11:16.560 --> 00:11:22.640]  And then he just rebelled against that and got more and more pissed off and got radicalized, you know, in these chat rooms and things.
[00:11:22.720 --> 00:11:28.640]  And listen, now a lot of the right wing is, some of the congresspeople are like, we need to censor now.
[00:11:28.720 --> 00:11:30.240]  We need to take all the trans people's rights.
[00:11:30.400 --> 00:11:31.440]  You can't do that as a group.
[00:11:31.519 --> 00:11:32.480]  It's unconstitutional.
[00:11:32.800 --> 00:11:34.720]  And it's what the left's always been trying to do.
[00:11:35.040 --> 00:11:38.480]  We have to understand that they are brainwashing these people.
[00:11:38.800 --> 00:11:39.120]  They are.
[00:11:39.280 --> 00:11:40.560]  They are creating a culture of hate.
[00:11:40.640 --> 00:11:43.120]  It's virtuous to come kill us because we're Nazis.
[00:11:43.440 --> 00:11:45.280]  It's totally man-evident insane.
[00:11:45.600 --> 00:11:48.480]  And that's why we have a second to defend ourselves against these people.
[00:11:48.720 --> 00:11:50.879]  But they are planning larger uprisings.
[00:11:51.200 --> 00:11:59.600]  The left and Soros are creating this atmosphere and funding the culture and then supporting it and putting it out there and then blaming right-wing rhetoric when we get killed.
[00:11:59.759 --> 00:12:00.720]  No, it's your fault.
[00:12:00.960 --> 00:12:01.920]  And you're the violent ones.
[00:12:02.000 --> 00:12:04.720]  You're the ones that are losing power.
[00:12:05.040 --> 00:12:07.840]  But I can tell you, you can see it on TV.
[00:12:08.000 --> 00:12:10.320]  I talked to other people at the White House.
[00:12:10.640 --> 00:12:13.680]  And I'd heard about this.
[00:12:13.840 --> 00:12:16.240]  And I said, how's Trump doing overall health-wise?
[00:12:16.320 --> 00:12:17.440]  I said, no, he works at what he already said.
[00:12:17.600 --> 00:12:18.960]  He goes, no, he's been great.
[00:12:19.279 --> 00:12:19.600]  He's good.
[00:12:20.240 --> 00:12:20.480]  He does.
[00:12:20.560 --> 00:12:22.240]  Sometimes, like, all of us work too much.
[00:12:22.560 --> 00:12:25.840]  And I said, well, he looks really, like the Charlie Herkin thing got to him.
[00:12:25.920 --> 00:12:27.360]  And he said, yeah, I can tell you.
[00:12:27.440 --> 00:12:32.000]  He basically stayed up the whole night in the situation room, didn't basically sleep the next day.
[00:12:32.320 --> 00:12:40.160]  And he just said, he said, I've never seen, I've never seen, you know, Trump's acting tough on TV, but, you know, Trump really is the real deal.
[00:12:40.320 --> 00:12:41.200]  He loved Charlie Kirk.
[00:12:41.279 --> 00:12:44.960]  And Trump also himself got shot and raised.
[00:12:45.040 --> 00:12:47.920]  And he really came home again like PTSD.
[00:12:48.640 --> 00:12:51.920]  And so I talk to people, they say Trump is just absolutely.
[00:12:54.000 --> 00:12:57.759]  I talked to another person that said that they've never seen Trump cry.
[00:12:58.320 --> 00:12:59.920]  And I'm just going to stop right there.
[00:13:00.080 --> 00:13:01.360]  So no one's ever seen Trump cry.
[00:13:01.920 --> 00:13:03.279]  People finally saw him.
[00:13:04.000 --> 00:13:08.160]  So, because he wants to say, it made me just realize Trump is so real.
[00:13:08.480 --> 00:13:09.600]  My instincts tell me that.
[00:13:09.759 --> 00:13:20.640]  My gut tells me supporting all he's been through, all I've been through supporting him, and all the weirdness that goes on and all the craziness and how the left can't attack us as the open left now.
[00:13:20.880 --> 00:13:22.720]  They have to attack from a right-wing angle.
[00:13:22.960 --> 00:13:27.279]  And a lot of people doing that mean well, but it just becomes this black pilling where it's all people do.
[00:13:27.600 --> 00:13:35.120]  Look, spend 30% of your time attacking Trump on things he's wrong about, but spend the rest of time on RFK and all the things they're cleaning up and all the good things they're doing.
[00:13:35.279 --> 00:13:39.360]  I mean, we need to thank God for these incredibly exciting things that are happening.
[00:13:40.720 --> 00:13:43.120]  So again, I'm vindicated.
[00:13:43.440 --> 00:13:44.160]  I was right.
[00:13:44.400 --> 00:13:45.200]  It's his family.
[00:13:45.360 --> 00:13:46.080]  They have the gut.
[00:13:46.160 --> 00:13:46.880]  They have the casings.
[00:13:47.120 --> 00:13:47.759]  He's confessed.
[00:13:48.080 --> 00:13:49.920]  Confessed to the pastor.
[00:13:50.160 --> 00:13:50.960]  They brought it to the house.
[00:13:51.120 --> 00:13:51.759]  Got him to go do it.
[00:13:51.840 --> 00:13:53.200]  He's going to kill himself.
[00:13:53.840 --> 00:13:55.920]  And now there it is.
[00:13:57.040 --> 00:13:59.360]  And so I'm sorry it wasn't Israel.
[00:14:00.000 --> 00:14:00.320]  Okay?
[00:14:00.960 --> 00:14:02.000]  I'm sorry.
[00:14:02.960 --> 00:14:04.480]  The bolt of lightning strikes me right here.
[00:14:05.279 --> 00:14:12.720]  It has to be reality-based on all of this stuff and call it like you see it and go with the balls and strikes, man.
[00:14:12.800 --> 00:14:14.640]  But that is what this is all about.
[00:14:15.200 --> 00:14:20.160]  So, but we are fighting to take this country back.
[00:14:20.320 --> 00:14:22.000]  Ed Martin is fighting with the grand juries.
[00:14:22.080 --> 00:14:22.800]  They're actually open.
[00:14:22.880 --> 00:14:26.960]  This is a cue rumors that they never opened grand juries in the first administration.
[00:14:27.279 --> 00:14:28.720]  They got a whole bunch going right now.
[00:14:29.120 --> 00:14:30.240]  I'm not going to say any more.
[00:14:31.279 --> 00:14:32.000]  They won't tell me.
[00:14:32.080 --> 00:14:33.680]  It's all secret, but they're open.
[00:14:33.840 --> 00:14:34.400]  It's in the news.
[00:14:34.480 --> 00:14:36.000]  They're open where they are.
[00:14:36.320 --> 00:14:40.080]  I'm obviously just there for data on other things that are going on.
[00:14:40.400 --> 00:14:45.920]  You're going to start hearing about they really screwed up with the stuff that they got real sloppy with me.
[00:14:46.480 --> 00:14:48.000]  I mean, we're talking clear-cut.
[00:14:48.800 --> 00:14:49.920]  That's what they're looking for.
[00:14:50.240 --> 00:14:51.519]  Just boom, boom, boom.
[00:14:53.360 --> 00:15:00.160]  The depositions we got, emails we got, stuff, the whole chain because they're particularly focused on DOJ corruption.
[00:15:00.800 --> 00:15:03.520]  And so just enjoy yourselves on that.
[00:15:04.240 --> 00:15:08.960]  All you globalists think you're invincible, you rats, and you know who you are that they're attacking my family and everything else.
[00:15:09.280 --> 00:15:10.640]  So we got real fighters here.
[00:15:10.800 --> 00:15:16.720]  And I can tell you the people around Trump, he had 90% cowards and globalists before.
[00:15:17.360 --> 00:15:18.320]  Most of them just cowards.
[00:15:18.480 --> 00:15:26.000]  Now he's got at the higher levels, 60, 70% really good people and some super hardcore, awesome people.
[00:15:26.320 --> 00:15:29.360]  And then there's just also much of lazy cowards and people as usual.
[00:15:30.320 --> 00:15:34.480]  But this is a whole better upgrade than what we got before.
[00:15:34.560 --> 00:15:36.160]  So pray for Trump, pray for his health.
[00:15:37.120 --> 00:15:39.040]  I said he's pushing himself into collapse.
[00:15:39.120 --> 00:15:40.400]  That's because I want him to take on more time.
[00:15:40.560 --> 00:15:44.480]  He's actually been doing that recently and was doing great playing golf.
[00:15:46.000 --> 00:15:48.640]  They've been sleeping five, six hours, so three hours.
[00:15:48.960 --> 00:15:52.000]  So I love Trump.
[00:15:52.320 --> 00:16:04.560]  And this is a unifying moment for all of us to just really thank God for the success we've had, regroup, and hold feet to the fires, target bad folks with the truth inside the administration and government.
[00:16:04.800 --> 00:16:06.080]  They can be spotlighted and removed.
[00:16:06.400 --> 00:16:08.480]  That's happening in a peaceful manner.
[00:16:08.720 --> 00:16:15.120]  And just don't respond with violence because they're getting ready to stage false flags and say that it was in response to Charlie Kirk.
[00:16:15.280 --> 00:16:16.400]  They're going to say it's white supremacists.
[00:16:16.480 --> 00:16:17.600]  We're mad that Charlie Kirk got killed.
[00:16:17.759 --> 00:16:20.080]  They're going to attack migrants, attack a black college or church.
[00:16:20.400 --> 00:16:20.960]  And it's all set up.
[00:16:21.120 --> 00:16:22.480]  I'm telling you this for six, seven months.
[00:16:22.640 --> 00:16:23.600]  Now they're pre-programming it.
[00:16:23.680 --> 00:16:24.960]  It's all coming out as I predicted.
[00:16:25.600 --> 00:16:29.680]  And so this is a time to not be violent because they're trying to kick this off because they've lost.
[00:16:30.240 --> 00:16:35.680]  I understand it's hard for people to sit there and be restrained, but that's what they're trying to do: lure us into this.
[00:16:35.759 --> 00:16:36.480]  So God bless you all.
[00:16:36.560 --> 00:16:39.600]  Be sure to follow me on X. It's so important here at Rillox Jones.
[00:16:39.920 --> 00:16:46.320]  Also in the Alex Jones and Alexis Network on Rumble and infowars.com forward slash show.
[00:16:46.880 --> 00:16:48.080]  I'm in court next Tuesday.
[00:16:48.160 --> 00:16:50.880]  They're trying to shut us down again in the crazy rig court in Austin.
[00:16:51.040 --> 00:16:52.160]  We're fighting that.
[00:16:52.480 --> 00:16:54.080]  We're having some big successes.
[00:16:54.800 --> 00:16:56.080]  And it's all because of your support.
[00:16:56.240 --> 00:17:00.000]  So please spread the word, spread this video, take the clips.
[00:17:00.080 --> 00:17:00.640]  This belongs to you.
[00:17:00.720 --> 00:17:01.120]  Do whatever.
[00:17:01.360 --> 00:17:02.640]  People send me constant messages.
[00:17:02.960 --> 00:17:04.720]  I upload your thing and I take clips out.
[00:17:04.799 --> 00:17:05.360]  It all belongs to you.
[00:17:05.440 --> 00:17:06.480]  It's all free to air.
[00:17:07.120 --> 00:17:10.880]  And please support us at thealixonstore.com with the best methylene blue.
[00:17:10.960 --> 00:17:17.279]  We have the best medical grade, the best chili, the best IRS you must, the best cardiovascular detox.
[00:17:17.360 --> 00:17:23.440]  I mean, the best took the two top-certified brands, merge them together to one super horsepill that detoxes your whole cardiovascular.
[00:17:23.519 --> 00:17:25.440]  Even if you didn't take the shots, everybody's got spike protein.
[00:17:25.680 --> 00:17:30.000]  Comes back scientists say, doctors, you probably do a detox twice a year.
[00:17:30.240 --> 00:17:30.640]  I've done it.
[00:17:30.720 --> 00:17:31.200]  My dad did it.
[00:17:31.279 --> 00:17:31.759]  It's so great.
[00:17:31.920 --> 00:17:32.960]  My family did it.
[00:17:33.600 --> 00:17:36.320]  That's Ultimate Life Force at theAlexShowstore.com.
[00:17:36.400 --> 00:17:38.880]  I need support to continue this fight.
[00:17:38.960 --> 00:17:42.960]  That's the only variable is you financially supporting bring and spreading the word.
[00:17:43.120 --> 00:17:45.200]  You're the Paul Revere's, the Alexhimstore.com.
[00:17:45.279 --> 00:17:48.240]  Why does selection of badass Patriots shirt ball caps?
[00:17:48.400 --> 00:17:48.720]  Everything.
[00:17:49.039 --> 00:17:50.640]  Spread the word in the third dimension.
[00:17:51.279 --> 00:17:53.120]  ThealokShowstore.com.
[00:17:53.440 --> 00:17:56.880]  InfoWars is still up and chugging the info, the Infowars store.
[00:17:57.440 --> 00:18:00.960]  But that's almost all other products because the bankruptcy were not allowed to really buy new products.
[00:18:01.279 --> 00:18:04.559]  So we're right on E. We are just battling through this.
[00:18:04.799 --> 00:18:07.840]  As long as you realize the urgency of what this is, I'm willing to risk my life for this.
[00:18:08.079 --> 00:18:10.000]  My name, my family, my treasure.
[00:18:10.480 --> 00:18:11.519]  We got swatted Wednesday.
[00:18:12.320 --> 00:18:13.840]  But it happens all the time.
[00:18:14.000 --> 00:18:15.519]  But the cops show up.
[00:18:15.600 --> 00:18:15.920]  They're nice.
[00:18:17.120 --> 00:18:18.880]  They understand that we're the victim of it.
