# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.320 --> 00:00:02.399]  Write this term down.
[00:01:33.120 --> 00:01:34.239]  Don't believe me.
[00:01:34.560 --> 00:01:35.439]  Don't believe any of this.
[00:01:35.680 --> 00:01:36.960]  Look it up for yourself.
[00:01:37.280 --> 00:01:41.760]  Now, people are forgetting about China and, you know, decades ago with fake eggs, flooding the US marketplace.
[00:01:41.920 --> 00:01:42.719]  Let's get in a moment.
[00:01:43.040 --> 00:01:44.480]  But that's old school, folks.
[00:01:44.799 --> 00:01:45.040]  Okay.
[00:01:45.600 --> 00:01:50.560]  Taking all the innards of animals and grinding together and making fake steaks, at least it's still meat.
[00:01:50.719 --> 00:01:52.240]  It's just not what you're being told it is.
[00:01:52.400 --> 00:01:54.000]  That's red slime as a stone.
[00:01:54.320 --> 00:01:55.519]  This is beyond that.
[00:01:55.840 --> 00:01:57.840]  But we can simply reject it and say no to it.
[00:01:58.000 --> 00:02:00.719]  And if we organize and get involved and say no, it will happen.
[00:02:00.960 --> 00:02:03.600]  30-plus states have passed laws against geoengineering.
[00:02:04.159 --> 00:02:07.840]  Now five states just the last few months have passed laws against fluoride in the water.
[00:02:08.000 --> 00:02:09.680]  Kennedy is banning all the poison shots.
[00:02:09.840 --> 00:02:12.240]  It is an amazing time, a huge awakening.
[00:02:12.560 --> 00:02:17.840]  And even though they don't pass the laws we want, which they're starting to do, we can educate people about all this online.
[00:02:18.080 --> 00:02:19.599]  So take this report and share it.
[00:02:19.920 --> 00:02:21.680]  Great job to Texas and to other states.
[00:02:22.000 --> 00:02:25.439]  Great job to everybody that's investigating because the human revolution is live right now.
[00:02:25.599 --> 00:02:26.640]  We are team humanity.
[00:02:26.800 --> 00:02:28.240]  We're standing up against the globalists.
[00:02:28.319 --> 00:02:32.960]  Just last year, the climate czar, Kerry said, we've got to ban half the farm here, quote, people starve.
[00:02:33.200 --> 00:02:34.879]  Ban the farming or people will starve.
[00:02:35.200 --> 00:02:37.120]  They're creating a collapse of civilization.
[00:02:37.360 --> 00:02:38.080]  That's the reality.
[00:02:38.319 --> 00:02:39.120]  Let's ban it all.
[00:02:39.280 --> 00:02:40.400]  Let's control our future.
[00:02:40.560 --> 00:02:41.200]  Let's win.
[00:02:41.439 --> 00:02:44.159]  Let's put Bill Gates and Fauci Doners in prison.
[00:02:44.319 --> 00:02:45.360]  We're getting very close.
[00:02:45.680 --> 00:02:53.439]  If you've ever thought about trying to eat more real food, more organic, I'm going to show you something that is going to blow your mind.
[00:02:53.680 --> 00:02:54.879]  And take it as a sign.
[00:02:55.200 --> 00:03:02.400]  A video yesterday went viral and it was a guy showing a dozen eggs that he had bought in Queens, New York.
[00:03:02.719 --> 00:03:04.080]  This is what the eggs look like.
[00:03:04.240 --> 00:03:08.719]  If you can see, there's round circles like rings around the egg.
[00:03:08.960 --> 00:03:10.159]  Here, here's a better picture.
[00:03:10.400 --> 00:03:13.520]  There's a white discoloration on the brown eggs.
[00:03:13.840 --> 00:03:20.080]  So obviously I go down a rabbit hole and I start to find videos on fake eggs.
[00:03:20.400 --> 00:03:22.879]  And I came across this video that was terrifying.
[00:03:23.520 --> 00:03:27.200]  Counterfeiters in China use plastic byproducts to make fake eggs.
[00:03:27.439 --> 00:03:31.920]  Fake eggs first appeared in China in the mid 90s and have since spread around the country.
[00:03:32.240 --> 00:03:39.920]  To make a fake egg, counterfeiters prepare a mixture of resin and pigment, squeeze it into a mold, and then release it in cold water to form the yolk.
[00:03:40.240 --> 00:03:46.240]  They then take the yolk and drop it into a mold, which is filled with a mixture of resin, starch, coagulant, and pigment.
[00:03:46.560 --> 00:03:50.000]  Sodium algonate gives the egg white the desired viscosity.
[00:03:50.319 --> 00:03:57.280]  Once the proper shape has been achieved, a mixture of paraffin wax, gypsum powder, and calcium carbonate is used to make a credible shell.
[00:03:57.759 --> 00:04:02.879]  And then those eggs are packaged and distributed from China into the United States.
[00:04:03.200 --> 00:04:10.480]  So if you've ever thought about just eating organic eggs from your local farmer's market or your Amish stores, do it.
[00:04:10.800 --> 00:04:13.760]  I have been eating organic eggs for over a year now.
[00:04:14.080 --> 00:04:17.280]  Just because they say brown eggs on them doesn't mean anything.
[00:04:17.519 --> 00:04:26.800]  You have to buy your eggs from a local vendor, your farmer's market, anywhere that says it comes right out of the chicken's ass.
[00:04:27.120 --> 00:04:31.959]  Can't wait to find out what else they're doing with natural foods to duplicate it.
[00:04:39.280 --> 00:04:46.220]  Alpha lipoic acid, or ALA, is so central to every cellular function in the body.
[00:04:47.199 --> 00:04:52.480]  And when you add in with medical grade, methylene blue, it takes it to the next level.
[00:04:52.800 --> 00:05:02.960]  So everyone knows who's tried our award-winning supplements that we take things that are the best selling, the best certified, the strongest, we private label them, and then we make them even better.
[00:05:03.280 --> 00:05:07.199]  Well, we can exclusively offer you in capsules magic bullet.
[00:05:07.439 --> 00:05:12.639]  If you love our ultra methylene blue available at thealxroomstore.com, you're going to really love this product.
[00:05:12.960 --> 00:05:16.319]  Exclusively available at bluevitality.com.
[00:05:16.560 --> 00:05:19.840]  Bluevitality.com, magic bullet, methylene blue.
[00:05:20.160 --> 00:05:22.240]  Most methylene blue stops at energy support.
[00:05:22.319 --> 00:05:23.759]  Magic Bullet takes it further.
[00:05:23.920 --> 00:05:28.560]  It's built around the nootropic edge, supporting choline for cleaner signaling.
[00:05:28.720 --> 00:05:30.400]  And that's what the alpha pollic acid does.
[00:05:30.560 --> 00:05:32.400]  Sharper focus and faster thinking.
[00:05:32.560 --> 00:05:38.400]  Backed by research, this is methylene blue refined into a tool for modern performance, cellular firepower, and mind and body.
[00:05:38.720 --> 00:05:42.960]  Choline support, backed by research for sharper signaling and methyl drive.
[00:05:43.120 --> 00:05:46.400]  Focus mode, keep attention steady and dialed in when it counts.
[00:05:46.720 --> 00:05:51.120]  Clean cellular energy powers long stretches of clarity without the crash.
[00:05:51.360 --> 00:05:55.439]  Trust and nootropic, studied for decades and now refined or pure performance.
[00:05:55.680 --> 00:05:58.160]  Ladies and gentlemen, we're always trying to innovate.
[00:05:58.480 --> 00:05:59.600]  This is so powerful.
[00:05:59.759 --> 00:06:07.360]  Now, I'm going to warn you, some people can't handle our normal medical grade methylene blue, but you add this to it.
[00:06:07.680 --> 00:06:08.560]  It is next level.
[00:06:08.879 --> 00:06:20.080]  Get yours now at our incredible sponsor and support the broadcast and experience the next level of the very best methylene blue exclusively right now at bluevitality.com.
[00:06:20.240 --> 00:06:23.120]  That's bluevitality.com right now.
[00:06:23.360 --> 00:06:25.600]  It supports the broadcast, but that is a side issue.
[00:06:25.680 --> 00:06:26.720]  You want to experience this product.
[00:06:26.879 --> 00:06:28.160]  Go now to bluevitality.com.
[00:06:28.240 --> 00:06:30.960]  Use promo code blue for an additional 20% off at checkout.
