# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.000 --> 00:00:01.040]  He's like, yeah, kid.
[00:06:45.280 --> 00:06:47.680]  Then she adds on another thing to bust the caps.
[00:06:48.320 --> 00:06:49.680]  So that's moving forward.
[00:06:49.920 --> 00:06:54.800]  But the $1.4 billion judgment now has $400 million of interest.
[00:06:55.680 --> 00:07:00.960]  That's why I laughed when I saw the Burnington, Connecticut.
[00:07:01.840 --> 00:07:02.880]  This person gets $90 million.
[00:07:02.960 --> 00:07:04.480]  This person gets $130 million.
[00:07:04.800 --> 00:07:06.800]  Never said their names, didn't know who they were.
[00:07:08.000 --> 00:07:09.200]  The internet didn't believe it happened.
[00:07:09.280 --> 00:07:13.760]  I just had a few guests on and had a few debates actually with the newspaper writers debating, did it happen?
[00:07:13.920 --> 00:07:14.480]  Did it not happen?
[00:07:15.200 --> 00:07:16.400]  I barely ever covered it.
[00:07:16.720 --> 00:07:27.520]  They never, in fact, my name was never associated with Sandy Hook until Hillary, the last month of the campaign, 2016, ran $25 million of ads, $24 million of ads, saying Alex Jones is Trump's brain.
[00:07:27.600 --> 00:07:28.160]  And Trump loves him.
[00:07:28.240 --> 00:07:30.000]  And the clip of Trump saying, Alex Jones is absolutely amazing.
[00:07:30.160 --> 00:07:30.800]  The best reputation.
[00:07:30.960 --> 00:07:31.520]  Oh, my God.
[00:07:31.760 --> 00:07:32.720]  He's so great.
[00:07:33.040 --> 00:07:37.200]  And then they would take a five-second clip of me with a caller calling in saying, I don't believe any of this stuff.
[00:07:37.280 --> 00:07:38.800]  I said, yeah, I can see how it's all fake.
[00:07:39.040 --> 00:07:39.360]  That's it.
[00:07:39.440 --> 00:07:42.080]  Well, even if I said that, that's out of context.
[00:07:42.400 --> 00:07:43.840]  I have a right to say it under the First Amendment.
[00:07:43.920 --> 00:07:44.800]  That didn't harass people.
[00:07:44.879 --> 00:07:46.160]  That didn't do anything.
[00:07:46.480 --> 00:07:54.400]  So, you know, we, we, we, so, so they're raising money off me, 300 million directly correlated to it.
[00:07:54.640 --> 00:08:03.120]  And the DOJ got caught secretly funding the PR campaign, the lawsuit, and then more money to them during the show trials.
[00:08:03.360 --> 00:08:08.080]  And the DOJ donates to their gun control foundations run by the plaintiffs.
[00:08:08.400 --> 00:08:15.680]  And then the law firm suing me a week or two later in each case bills the exact amount that the DOJ pays to the foundation.
[00:08:16.480 --> 00:08:18.160]  So you have the DOJ funding it.
[00:08:18.640 --> 00:08:20.160]  And so here's the big wrinkle.
[00:08:22.400 --> 00:08:33.840]  Months and months and months ago, Ed Martin is tasked with the government task force on government weaponization to go out where government's been persecuting people and the FBI and other agencies and to get it to stop and investigate what the agencies are doing.
[00:08:33.920 --> 00:08:40.400]  That's why he sees these indictments now of Comey and Letitia James and all these people.
[00:08:40.720 --> 00:08:43.840]  And so he says, hey, we're looking into this.
[00:08:44.160 --> 00:08:45.120]  We've seen the documents.
[00:08:45.200 --> 00:08:46.800]  We've seen the stuff where the DOJ funded it.
[00:08:47.040 --> 00:08:47.759]  We've checked it.
[00:08:48.080 --> 00:08:50.160]  We'd like you to come in and give us the information and talk about it.
[00:08:50.400 --> 00:08:59.519]  So he just sends a letter out, and there's a few more people don't know about, and he sends it to the law firm of the FBI agent who admits he went and started it and organized the families.
[00:08:59.840 --> 00:09:05.200]  There's a U.S. code that if you're a U.S. federal agent, you can't use your office to then go make money.
[00:09:06.000 --> 00:09:07.840]  And it's an emollient clause.
[00:09:08.160 --> 00:09:12.000]  And they just say, hey, we want to talk to you and discuss this.
[00:09:12.560 --> 00:09:20.960]  They flip out a month ago, three weeks ago, go to the deputy AG, Todd Blanche, that really runs things under Pam Bondi.
[00:09:21.360 --> 00:09:24.160]  We've been getting really bad info on for a while.
[00:09:24.480 --> 00:09:29.840]  I mean, people that expose election fraud, they're heroes.
[00:09:30.160 --> 00:09:32.080]  He tries to make sure they stay in jail.
[00:09:32.560 --> 00:09:34.400]  He's a big Democrat, Southern District of New York.
[00:09:34.480 --> 00:09:39.920]  The reason Trump put him in there is he was his criminal lawyer, and I guess Trump likes him, though Jack Smith lost those criminal cases for Trump.
[00:09:40.880 --> 00:09:48.320]  And so the Democrat Party law firm doing all this, they squeal and yell and go to Blanche.
[00:09:48.400 --> 00:09:51.680]  Blanche calls up Ed Martin and says, withdraw your letter.
[00:09:52.000 --> 00:09:53.440]  There's no investigation.
[00:09:54.480 --> 00:10:02.240]  And I wait about a week to see what I want to say because I was already looking at Blanche and already talking to a lot of people and was already very concerned.
[00:10:02.560 --> 00:10:05.759]  And then he goes all over the news and says, Alex Jones is fringe.
[00:10:05.840 --> 00:10:07.759]  We shouldn't be supporting him.
[00:10:08.080 --> 00:10:10.399]  And, you know, he's just basically a bad person.
[00:10:10.560 --> 00:10:16.000]  Well, even if I'm a bad person, like the Democrat Todd Blanche says, oh, I'm a fringe person.
[00:10:16.639 --> 00:10:25.120]  So they can find me guilty without a jury, have HBO produce the show trial, literally with cameras and lights and powdering the judges' faces with scripts.
[00:10:26.480 --> 00:10:28.159]  The DOJ can fund it.
[00:10:28.720 --> 00:10:32.159]  They had the DOJ can get involved in a bankruptcy.
[00:10:32.240 --> 00:10:34.560]  They came into my bankruptcy, had a fake auction.
[00:10:34.639 --> 00:10:37.920]  The judge ordered an auction, but good guys wanted to buy it, keep us on air at InfoWars.
[00:10:38.320 --> 00:10:48.960]  We sued them and got the documents and depositions and emails where they said with the U.S. Trustee of the Justice Department, we're never, Democrat, we're never going to let anybody buy this that'll keep Jones on the air at InfoWars.
[00:10:49.279 --> 00:10:57.440]  And so they have a, as the judge orders an auction, turns out it's not an auction, they give it basically the onion and the Michael Bloomberg's financing.
[00:10:57.759 --> 00:11:00.320]  The judge goes, whoa, this looks basically illegal.
[00:11:00.639 --> 00:11:02.080]  I'm not doing this.
[00:11:02.399 --> 00:11:08.320]  Orders another sale, but they would never, the Justice Department had come in and taken over the case with the plaintiffs because they can do that.
[00:11:10.639 --> 00:11:19.360]  But in May of last year, before the new trustee came in, there was another one that on May 31st sent in armed security to the MFOS headquarters.
[00:11:19.680 --> 00:11:23.680]  No court order, no warrants, and said, we're told to kick you out of the building.
[00:11:24.000 --> 00:11:27.200]  And I called the head of the security company and I go, have you ever done something like this without a court order?
[00:11:27.279 --> 00:11:27.680]  He goes, no.
[00:11:27.759 --> 00:11:30.639]  In fact, I'm on the phone with a woman saying she's with the DOJ.
[00:11:31.039 --> 00:11:32.000]  She doesn't need paperwork.
[00:11:32.160 --> 00:11:32.639]  Do what she says.
[00:11:32.800 --> 00:11:34.240]  He says, we're not doing it.
[00:11:34.879 --> 00:11:51.200]  So Judge Lopez at Houston, federal judge, he fires that U.S. trustee, which you can do, and the CRO that did it, that was over the bankruptcy, and then brings in this Chris Murray guy who was the new U.S. trustee and says, I want this sold.
[00:11:51.279 --> 00:11:52.480]  So they then have a fake auction.
[00:11:52.720 --> 00:11:54.399]  So this is the stuff we've gone through.
[00:11:54.560 --> 00:11:56.320]  So that's all what you're supposed to investigate.
[00:11:56.399 --> 00:12:06.960]  But according to Todd Blanche, if somebody's fringe, which no, DOJ Democrat lawyers posing as Patriot Trump supporters, that's what's French.
[00:12:07.120 --> 00:12:08.560]  The world's awake.
[00:12:08.879 --> 00:12:11.840]  That's why corporate media has tiny audiences now.
[00:12:12.160 --> 00:12:15.759]  And my show, other shows dwarf them 50 to 1.
[00:12:17.039 --> 00:12:20.480]  That's why Joe Rogan really has an audience 30, 40, 50 times bigger than CNN.
[00:12:20.639 --> 00:12:21.920]  They are legends in their own mind.
[00:12:22.400 --> 00:12:23.920]  But let's just say I'm French.
[00:12:24.560 --> 00:12:28.320]  The Constitution, the Bill of Rights, all of this applies to everyone.
[00:12:28.639 --> 00:12:29.840]  And even unpopular speech.
[00:12:29.920 --> 00:12:31.039]  The truth is my speech is popular.
[00:12:31.120 --> 00:12:32.639]  So I have to misrepresent it.
[00:12:32.960 --> 00:12:35.519]  So this is law affair.
[00:12:35.680 --> 00:12:36.879]  This is the raping of the Constitution.
[00:12:37.200 --> 00:12:46.240]  But more importantly, Trump had big problems his first administration bringing in people that were from the swamp that lied to his face and they sabotaged him.
[00:12:46.320 --> 00:12:49.600]  Turned out his AG, Bill Barr, was working behind the scenes trying to get him indicted.
[00:12:49.759 --> 00:12:50.960]  That's been released, the documents.
[00:12:51.200 --> 00:12:52.400]  Same thing's going on this time, right?
[00:12:52.720 --> 00:12:54.799]  So yes, it's going on this time.
[00:12:55.440 --> 00:12:59.680]  And there's a lot of brown-nosers and people that are scared of somebody like Todd Blanche.
[00:12:59.759 --> 00:13:02.400]  But behind the scenes, everybody says he's the worst.
[00:13:02.720 --> 00:13:04.320]  He's absolutely terrible.
[00:13:04.879 --> 00:13:09.120]  And that he's sabotaging indictments that grand juries have handed down.
[00:13:09.759 --> 00:13:12.639]  They then discovered that they're not being executed.
[00:13:12.960 --> 00:13:21.680]  And so now Trump has to go in and put in new U.S. attorneys and prosecutors in each place in Virginia and New York and Pennsylvania and Missouri and all these other places.
[00:13:22.000 --> 00:13:29.920]  He has to do that, not to get them to do what he wants, just to do what the grand juries did because they have them cut and dry on all the incredible crimes.
[00:13:30.240 --> 00:13:34.400]  And now the documents were released last few months that Obama directed the fake Russian gate with Hillary.
[00:13:34.560 --> 00:13:35.680]  They created it all.
[00:13:35.920 --> 00:13:37.039]  They knew it wasn't true.
[00:13:37.279 --> 00:13:38.240]  That's election meddling.
[00:13:38.320 --> 00:13:39.600]  That's espionage.
[00:13:40.639 --> 00:13:51.920]  So I was Sheriff Arpaio, who's the head of the DEA, famously back in the 80s and stuff in Mexico, and he became the sheriff of Maricopa County there where Phoenix is.
[00:13:52.240 --> 00:13:57.200]  In 2017, early 2017, he comes to me and he says, hey, we've already given this to Trump admin.
[00:13:57.279 --> 00:13:59.680]  He knew Trump, but Trump was so busy, he didn't look at it.
[00:13:59.840 --> 00:14:01.920]  He said, I want to come on the air and show this.
[00:14:02.560 --> 00:14:10.720]  He was given NSA files from the DEA because they have access to it with myself, Trump, and a bunch of others listed.
[00:14:10.799 --> 00:14:13.039]  And it had our home numbers, our fax numbers, all of it.
[00:14:13.120 --> 00:14:18.640]  And it was the whole FISA deal going back years before Trump even ran.
[00:14:18.960 --> 00:14:21.840]  So we reported to Trump first he was being legally surveilled on.
[00:14:22.160 --> 00:14:26.240]  Then it expanded when he got the nomination in 2016 in Cleveland, Ohio with the RNC.
[00:14:26.559 --> 00:14:28.960]  So my point is, I'm patient zero in this.
[00:14:29.840 --> 00:14:34.720]  And to the credit of the DOJ, a month after Trump got in, they sent me the secret files.
[00:14:35.039 --> 00:14:39.039]  And then I had to have other FBI agents and lawyers on to explain what all the codes meant because mainly blacked out.
[00:14:39.279 --> 00:14:46.960]  National Security Investigation, Dragnet, where you're not just looking for crimes, you're trying to sabotage and frustrate somebody like I'm a foreign government.
[00:14:47.439 --> 00:14:54.559]  And that's why they claim Trump was a Russian and other people, because then they can trigger the national security apparatus on you, even though you have nothing to do with the Russians.
[00:14:54.879 --> 00:14:58.319]  And now the documents released last few weeks that they 100% knew.
[00:14:58.959 --> 00:15:03.839]  And they even had high-level CIA and DOJ cover their ass and write memos saying, we know this is 100% false.
[00:15:04.079 --> 00:15:06.799]  We know what Trump didn't get peed on in Moscow by hookers.
[00:15:06.959 --> 00:15:08.639]  We know Trump has no connection to Russians.
[00:15:08.879 --> 00:15:09.839]  In fact, it's Hillary.
[00:15:09.919 --> 00:15:11.279]  It's literally on their payroll.
[00:15:11.600 --> 00:15:14.639]  But they said, but we're going to cover this up at the request of Obama.
[00:15:15.679 --> 00:15:22.319]  So it's like Letitia James, this master of mortgage fraud all over the country.
[00:15:22.879 --> 00:15:25.759]  And then she accuses Trump of it, and he's totally clean.
[00:15:26.639 --> 00:15:40.720]  And so there's a million points to this, but I sat there while I got all this bad information about Todd Blanche, which was never from Ed Martin.
[00:15:40.799 --> 00:15:44.480]  He was literally very professional asking about my cases, my stuff.
[00:15:44.639 --> 00:15:49.120]  He goes, that's my mandate to go after government, targeting people unconstitutionally with persecution.
[00:15:49.439 --> 00:15:50.879]  But I got this from everybody else.
[00:15:51.199 --> 00:15:59.120]  But they're all scared and don't want to get, you know, make Susie Wiles upset all these people.
[00:15:59.439 --> 00:16:01.519]  And I'm not going to say Susie Wilson the other day is a bad person.
[00:16:01.679 --> 00:16:02.720]  She got things organized.
[00:16:02.960 --> 00:16:05.360]  She helped Trump have a better organization to get in.
[00:16:05.600 --> 00:16:07.279]  They have a lot better people overall this time.
[00:16:07.519 --> 00:16:09.919]  RFK Jr., Tulsi Gabbard, Tom Holman.
[00:16:10.000 --> 00:16:11.039]  The list goes on and on.
[00:16:11.360 --> 00:16:16.159]  But there's no doubt that Todd Blanch, the deputy AG, runs things.
[00:16:16.480 --> 00:16:17.439]  That's normal, by the way.
[00:16:17.839 --> 00:16:21.439]  The attorney general is more political and more for your TV and testimony.
[00:16:21.759 --> 00:16:22.799]  He runs things.
[00:16:23.439 --> 00:16:27.759]  And so you could ask, oh, everybody's telling me he's the one sabotaging cases and the evidence keeps coming out.
[00:16:27.919 --> 00:16:34.799]  Well, then I experience him doing the tour so proud on ABC News, you name it, Alex Jones' friends.
[00:16:34.960 --> 00:16:37.679]  We shouldn't be defending someone like him.
[00:16:38.480 --> 00:16:42.879]  Ed Martin shouldn't be carrying out revenge for Jones and harassing these families.
[00:16:43.199 --> 00:16:46.480]  They're really Democrat PR firms that raise hundreds of millions of dollars.
[00:16:46.639 --> 00:16:49.120]  I didn't know who they are, have done nothing to them.
[00:16:49.439 --> 00:17:01.679]  They've had these rig trials, done all this, and then I'm just trying to stand up for myself and talking to federal prosecutors and giving them all the proof and all the documents because it's all hidden in plain view.
[00:17:02.000 --> 00:17:04.480]  Undercover videos, testimony on the stand.
[00:17:05.119 --> 00:17:08.079]  And that's, oh, he's harassing us again.
[00:17:08.319 --> 00:17:09.519]  No, they've stalked me.
[00:17:10.159 --> 00:17:11.119]  They've used my name.
[00:17:11.680 --> 00:17:17.839]  They have helped censor me because once they take you off the air in many places, then they can misrepresent you.
[00:17:18.400 --> 00:17:19.759]  That's the next level of censorship.
[00:17:19.839 --> 00:17:21.599]  It's not just that you don't get to talk.
[00:17:21.839 --> 00:17:26.000]  It's that these people can then say whatever they want about you.
[00:17:26.480 --> 00:17:29.200]  It's like they've said Charlie Kirk said Stone Gaze, never said it.
[00:17:29.359 --> 00:17:31.599]  Charlie Kirk said black women can't fly airplanes.
[00:17:31.920 --> 00:17:32.960]  You actually watch the videos.
[00:17:33.039 --> 00:17:35.359]  He said black women are just as good as anybody flying airplanes.
[00:17:35.599 --> 00:17:40.720]  The problem is not enough of them are going and getting fed into the flight schools and into that culture.
[00:17:41.039 --> 00:17:43.440]  It's mainly a military culture that pilots.
[00:17:43.759 --> 00:17:54.400]  And so you have to get a bigger pool of whether it's black men or white women or whoever, you've got to get a bigger pool, but you can't lower standards just because your pool is smaller.
[00:17:54.639 --> 00:17:55.759]  That's completely true.
[00:17:58.079 --> 00:17:59.119]  Used to be common sense.
[00:18:00.000 --> 00:18:00.879]  It's called meritocracy.
[00:18:01.039 --> 00:18:07.279]  So if you want to get more blacks or women into whatever, well, I mean, sorry, they're not trying to go get flight school.
[00:18:07.759 --> 00:18:12.879]  So you need to have an outreach to people to do that.
[00:18:13.200 --> 00:18:14.720]  And then it's like, look at all these white men.
[00:18:14.879 --> 00:18:20.799]  Well, that's who on average goes and is in the Air Force on average seven years because it's so expensive to get that much flight time.
[00:18:21.440 --> 00:18:26.240]  And then they go out and have to start with a small little airplane with a few passengers for a few years.
[00:18:26.400 --> 00:18:31.759]  And they got to get used to get like 10,000 flight hours, even out of the military to get to fly big planes.
[00:18:32.159 --> 00:18:34.879]  They lowered it down to 1,000 hours.
[00:18:35.519 --> 00:18:40.879]  So, so it's, I mean, you know, the Army got to where you'd have to do one pull-up.
[00:18:41.279 --> 00:18:44.079]  And Heng says, like, sorry, we're going back to the 1990s rules.
[00:18:44.240 --> 00:18:48.960]  I mean, it has nothing to do with, but the point is that turns into, you know, we will good.
[00:18:49.200 --> 00:18:51.039]  I will thank God Charlie Kirk got killed.
[00:18:51.200 --> 00:18:52.480]  He said black women are stupid.
[00:18:53.200 --> 00:18:54.559]  And then you watch the reels of what he said.
[00:18:54.639 --> 00:18:55.359]  He said the opposite.
[00:18:55.519 --> 00:18:57.359]  I mean, it's just, it's, it's lies.
[00:18:57.920 --> 00:18:59.839]  And lies that are getting people killed.
[00:19:00.159 --> 00:19:01.279]  Lies that are getting people killed.
[00:19:01.440 --> 00:19:02.559]  That's fucking dangerous, man.
[00:19:03.039 --> 00:19:03.759]  Absolutely.
[00:19:04.079 --> 00:19:05.679]  There's a new assassination every week.
[00:19:05.920 --> 00:19:08.799]  How much money do you think these guys have spent coming after you?
[00:19:09.519 --> 00:19:23.759]  The Paul Weiss law firm last June, when the judge kicked out that group of feds and everything, and that's the big law firm that's been sanctioned $40 million for admitting that they illegally targeted Trump with lawfare and promise not to do it anymore.
[00:19:24.079 --> 00:19:27.759]  They said they've spent $324 million suing me.
[00:19:28.000 --> 00:19:29.440]  $324 million.
[00:19:30.000 --> 00:19:30.159]  Yeah.
[00:19:31.599 --> 00:19:33.440]  And they raised that money from where they were.
[00:19:33.519 --> 00:19:39.279]  But what they do is they go and write it off for their charity on tax write-offs.
[00:19:39.920 --> 00:19:46.240]  And so the $40 million that they were going to pay in restitution, part of it as a sick joke, was the suing me.
[00:19:46.720 --> 00:19:47.279]  They wrote that off.
[00:19:47.919 --> 00:19:49.359]  But it's worse than that.
[00:19:50.240 --> 00:19:56.720]  Then those big law firms get given all the government contracts and stuff for doing the attacks on Trump and all his supporters.
[00:19:56.960 --> 00:19:59.200]  So they ran things at the top.
