# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.050 --> 00:00:15.509]  Alright, everybody.
[00:08:13.120 --> 00:08:14.620]  Hey, you want to be slaves?
[00:08:14.720 --> 00:08:15.259]  Don't worry.
[00:08:15.560 --> 00:08:17.439]  There's seven million of you in prisons now.
[00:08:17.639 --> 00:08:18.439]  They're building more.
[00:08:18.639 --> 00:08:20.939]  And when you're in it, crying for somebody to help you?
[00:08:21.420 --> 00:08:21.699]  Why?
[00:08:21.839 --> 00:08:22.420]  Why am I?
[00:08:23.060 --> 00:08:24.379]  Yeah, no, no, no.
[00:08:24.579 --> 00:08:36.278]  You'll be asking why the five-bed guys got you bent over the table, and you'll be wishing you weren't a slave, punk, because you weren't man enough to face the new world order.
[00:08:36.278 --> 00:08:37.639]  That's right.
[00:08:37.639 --> 00:08:38.399]  You're a punk.
[00:08:38.399 --> 00:08:40.418]  Don't stand up, ladies and gentlemen.
[00:08:40.418 --> 00:08:42.178]  I'll be sitting right there, punk.
[00:08:42.178 --> 00:08:45.057]  You can swing first and see what happens.
[00:08:45.057 --> 00:08:46.197]  It'll be on video.
[00:08:46.197 --> 00:08:47.398]  Right.
[00:08:47.398 --> 00:08:47.918]  Yeah.
[00:08:47.918 --> 00:08:53.759]  Alex Jones, ladies and gentlemen.
[00:08:53.759 --> 00:08:53.898]  Thank you.
[00:08:53.898 --> 00:08:59.938]  We'll be part of the new world order.
[00:08:59.938 --> 00:09:01.938]  We'll be building the present.
[00:09:01.938 --> 00:09:11.009]  If you want to...
[00:09:11.019 --> 00:09:16.480]  Watch some Alex Jones Sober with a lot less bombast, and you can actually think.
[00:09:16.720 --> 00:09:23.179]  Watch it on 9-11 Road to Tyranny, or just see the remake, Fahrenheit 9-11.
[00:09:23.940 --> 00:09:29.120]  That was bullshit!
[00:09:29.500 --> 00:09:31.200]  That was five minutes of my life!
[00:09:31.440 --> 00:09:32.019]  You know what?
[00:09:32.058 --> 00:09:39.698]  I worked at Home Depot 60 hours and I had an hour and a half to make up for all of it and he took five minutes a day.
[00:09:39.698 --> 00:09:44.259]  So I'm going to get angry and start a fight in the comedy club.
[00:09:44.259 --> 00:09:48.658]  Maybe you shouldn't be working at Home Depot all week.
[00:09:48.658 --> 00:09:50.499]  Maybe five minutes.
[00:09:50.509 --> 00:09:51.830]  And it shouldn't really be that.
[00:09:51.950 --> 00:09:53.009]  I didn't like that.
[00:09:53.190 --> 00:09:53.389]  What?
[00:09:53.509 --> 00:09:54.230]  What didn't you like?
[00:09:54.309 --> 00:09:55.029]  I didn't get it.
[00:09:55.129 --> 00:09:56.029]  He was just loud.
[00:09:56.289 --> 00:09:57.129]  I don't understand.
[00:09:58.330 --> 00:10:05.389]  None of that really fucking fed into the headline from the USA Today that I read that kept me up on the news.
[00:10:08.129 --> 00:10:09.629]  Are you angry at me, Hardy?
[00:10:09.830 --> 00:10:10.190]  Come on.
[00:10:10.769 --> 00:10:13.568]  I got 15 minutes I can do up here.
[00:10:13.568 --> 00:10:20.889]  I'm not an agent.
[00:10:20.899 --> 00:10:21.299]  Atheist?
[00:10:21.460 --> 00:10:23.019]  I just admit I don't know, Alex.
[00:10:23.340 --> 00:10:24.980]  You don't have any fucking idea.
[00:10:25.220 --> 00:10:33.879]  I mean, you might go into the Bohemian Grove with a hidden camera to find out about skull and bones and all that shit, but you don't have any fucking insight on Jesus.
[00:10:34.080 --> 00:10:35.799]  There's no hidden papers out there, Alex.
[00:10:36.019 --> 00:10:37.600]  I know the real deal on Jesus.
[00:10:38.860 --> 00:10:39.860]  You're still talking.
[00:10:39.980 --> 00:10:41.120]  What are you angry about?
[00:10:42.620 --> 00:10:44.559]  Wait, so is there two people fighting?
[00:10:44.700 --> 00:10:45.240]  I can't see.
[00:10:49.039 --> 00:10:49.820]  Be friendly.
[00:10:51.389 --> 00:10:53.149]  Oh, we are saved.
[00:10:53.730 --> 00:10:54.029]  What?
[00:10:54.190 --> 00:10:57.169]  Hold on.
[00:10:57.330 --> 00:10:57.570]  Hang on.
[00:10:57.690 --> 00:10:58.350]  Let her talk.
[00:10:58.509 --> 00:10:59.230]  Okay, ma 'am.
[00:10:59.289 --> 00:10:59.590]  Go ahead.
[00:10:59.929 --> 00:11:00.690]  What about Iraq?
[00:11:01.250 --> 00:11:01.830]  Come on.
[00:11:01.889 --> 00:11:03.190]  A little chaos is fun.
[00:11:03.330 --> 00:11:04.129]  Everybody does it?
[00:11:04.929 --> 00:11:05.990]  Chaos is good.
[00:11:06.470 --> 00:11:12.970]  I mean, I have some bits, and I'll do material out for you, but no one ever needs a fist fight to watch the band.
[00:11:14.889 --> 00:11:17.309]  Ma 'am, your voice is important.
[00:11:17.509 --> 00:11:19.490]  That's why you are allowed to log on.
[00:11:19.490 --> 00:11:20.990]  Go on to CNN.com.
[00:11:21.190 --> 00:11:22.950]  So let's hear your voice.
[00:11:23.309 --> 00:11:23.950]  Go ahead.
[00:11:24.950 --> 00:11:25.990]  What about Iraq?
[00:11:26.570 --> 00:11:28.789]  How about our boys are over there fighting?
[00:11:29.090 --> 00:11:30.169]  Our boys are over there.
[00:11:30.350 --> 00:11:31.370]  No, no, no, no.
[00:11:31.769 --> 00:11:32.549]  Let her finish.
[00:11:32.769 --> 00:11:33.029]  Come on.
[00:11:33.090 --> 00:11:36.480]  She's not a radio personality that can be succinct in sound bites.
[00:11:36.489 --> 00:11:38.019]  She's a person that...
[00:11:41.210 --> 00:11:41.830]  What about them?
[00:11:42.549 --> 00:11:43.809]  I have a son in there.
[00:11:43.909 --> 00:11:45.110]  You have a son in Iraq?
[00:11:45.958 --> 00:11:46.288]  Okay.
[00:11:46.288 --> 00:11:49.269]  So what about him?
[00:11:49.611 --> 00:11:50.331]  Why is he there?
[00:11:50.350 --> 00:11:51.429]  Why did he join the military?
[00:11:55.049 --> 00:11:56.570]  What made him join the military?
[00:11:56.769 --> 00:11:58.509]  How old was he when he joined the military?
[00:11:59.570 --> 00:12:09.990]  Well, maybe you should have said, "Hey honey, why don't you wait till you're smart enough to make this decision?" I'm not saying it's a bad thing.
[00:12:10.129 --> 00:12:11.230]  I support the troops.
[00:12:11.330 --> 00:12:11.929]  Listen to me.
[00:12:12.129 --> 00:12:17.848]  I support the troops on an individual basis, and everyone's in there for a different reason.
[00:12:17.848 --> 00:12:27.028]  If I met your son, and he's a cool troop, and he's not a douchebag at the end of the night, just wants to fight because he didn't understand something, and someone yelled, and just can't...
[00:12:29.600 --> 00:12:30.399]  I don't know your son.
[00:12:30.500 --> 00:12:33.480]  We'll talk after the show and maybe you can give me more insight.
[00:12:33.700 --> 00:12:35.000]  Some troops are shitheads.
[00:12:35.039 --> 00:12:36.139]  Let's get that out of the way.
[00:12:36.659 --> 00:12:38.419]  If I meet your son, he's cool.
[00:12:38.539 --> 00:12:40.340]  I'll put his name on the yellow ribbon.
[00:12:40.519 --> 00:12:46.759]  Fucking PFC fucking Juan Suarez or whatever, I'm assuming.
[00:12:48.180 --> 00:12:48.740]  Whatever.
[00:12:49.279 --> 00:12:51.539]  If he's cool, I'll support him no matter what he does.
[00:12:51.639 --> 00:12:53.120]  You can go fucking AWOL.
[00:12:53.779 --> 00:12:58.700]  There is something you can do that will make my son in the world.
[00:12:59.179 --> 00:13:00.679]  He's the best there is.
[00:13:00.799 --> 00:13:02.259]  And he's breathing depleted uranium.
[00:13:06.320 --> 00:13:07.259]  Do you see?
[00:13:07.500 --> 00:13:14.679]  This is the problem with trying to communicate from different ends of the spectrum.
[00:13:17.320 --> 00:13:23.000]  I'm sure your son is fighting for our freedom over there.
[00:13:23.419 --> 00:13:26.779]  Because if it weren't for him, we'd all be speaking Iraqi right now.
[00:13:26.879 --> 00:13:29.879]  But I think we should take a moment and reflect.
[00:13:29.879 --> 00:13:42.249]  All right, Alex.
[00:13:42.259 --> 00:13:46.738]  Alex, what are you?
[00:13:46.738 --> 00:13:49.098]  Alex is starting to play in the front row.
[00:13:49.098 --> 00:13:51.119]  Oh.
[00:13:51.129 --> 00:13:52.798]  This could be great.
[00:13:53.009 --> 00:13:59.219]  All right, let me finish my...
[00:13:59.370 --> 00:14:06.350]  Alright, let's get back to the troops, alright?
[00:14:06.350 --> 00:14:09.350]  Alex, let me handle this!
[00:14:09.350 --> 00:14:10.350]  Come on now!
[00:14:10.350 --> 00:14:16.350]  I don't even know what the fights are bringing to the audience.
[00:14:16.350 --> 00:14:20.129]  I would deal with each and every one of them.
[00:14:20.139 --> 00:14:21.460]  Private discussion groups.
[00:14:21.759 --> 00:14:25.879]  The point is, yeah, some troops join the military because they get fucked.
[00:14:26.019 --> 00:14:26.679]  This is the deal.
[00:14:26.879 --> 00:14:28.220]  I like war.
[00:14:28.480 --> 00:14:31.220]  War is good because it clears out some assholes.
[00:14:31.379 --> 00:14:32.399]  Some troops are assholes.
[00:14:32.559 --> 00:14:33.419]  Would you agree, sir?
[00:14:33.700 --> 00:14:34.179]  Yes.
[00:14:34.379 --> 00:14:35.678]  I'm in Killeen, Texas.
[00:14:35.678 --> 00:14:49.548]  I'm working at fucking Ernie's Pub in 1994, and I come out of the fucking restroom, and this is just one example, and I knock over some shithead troop's fucking piss-worn beer, and it was an accident, and he wanted to fucking...
[00:14:51.210 --> 00:14:55.389]  They get fucking the arms swinging on the forearms forward.
[00:14:55.690 --> 00:14:56.230]  I'll sit in.
[00:14:56.409 --> 00:14:58.289]  You want to fucking go, faggy?
[00:14:58.450 --> 00:14:59.509]  You want to fucking go?
[00:15:00.389 --> 00:15:03.769]  I did not support that troop during the war, ma 'am.
[00:15:03.870 --> 00:15:07.629]  I hope he's not stationed with your son because that guy's a fucking asshole.
[00:15:07.750 --> 00:15:09.110]  He's not fighting for your freedom.
[00:15:09.330 --> 00:15:12.809]  He's fighting because he's a psychopath that can't wait to kill people.
[00:15:13.029 --> 00:15:15.129]  And that's good, but that's your instinct.
[00:15:15.389 --> 00:15:17.809]  Your instinct is your only true God.
[00:15:18.129 --> 00:15:19.690]  Follow it and go kill people.
[00:15:19.690 --> 00:15:21.250]  That's why I'm pro-war.
[00:15:21.470 --> 00:15:22.590]  As long as there's no draft.
[00:15:23.070 --> 00:15:24.509]  As long as it's voluntary.
[00:15:24.789 --> 00:15:27.929]  They're not yanking kids out of the inner city and making them fight a war.
[00:15:28.230 --> 00:15:31.029]  What choice do they have?
[00:15:31.590 --> 00:15:32.350]  What choice?
[00:15:32.509 --> 00:15:36.389]  Oh, they fucking joined the military because they need college money.
[00:15:36.590 --> 00:15:36.990]  You know what?
[00:15:37.049 --> 00:15:38.809]  There's other ways to get college money.
[00:15:40.090 --> 00:15:42.830]  That kid's an idiot and college wasn't going to help.
[00:15:43.110 --> 00:15:44.710]  You can suck a dick.
[00:15:44.710 --> 00:15:46.610]  You can steal some car radios.
[00:15:46.940 --> 00:15:50.840]  Rob a pallet of shit off that frickin' fork truck at Home Depot.
[00:15:51.200 --> 00:15:54.600]  Sell it out of a van on a highway off-ramp.
[00:15:54.899 --> 00:15:58.860]  Swing around the brass pole a few times, Jessica Lynch.
[00:15:58.879 --> 00:16:03.279]  You'll have plenty of college money and never leave West Virginia.
[00:16:04.059 --> 00:16:09.759]  Lindy England, you're doing all those frickin' Abu Ghraib frickin' atrocities.
[00:16:09.980 --> 00:16:11.470]  Shut up!
[00:16:11.480 --> 00:16:13.539]  What?
[00:16:13.539 --> 00:16:18.060]  Yes!
[00:16:18.060 --> 00:16:20.440]  No, no, get it out!
[00:16:20.440 --> 00:16:21.120]  Get it out!
[00:16:21.120 --> 00:16:23.769]  Yes, get angry and fucking...
[00:16:23.779 --> 00:16:24.379]  What?
[00:16:24.379 --> 00:16:27.639]  I'm not angry either.
[00:16:27.639 --> 00:16:28.730]  I'm having a great time.
[00:16:28.740 --> 00:16:29.800]  I'm saying you're angry.
[00:16:29.800 --> 00:16:31.499]  Everyone's yelling at everyone.
[00:16:31.499 --> 00:16:33.080]  For what?
[00:16:33.080 --> 00:16:33.678]  For what?
[00:16:33.678 --> 00:16:34.699]  Because you have opinions?
[00:16:34.699 --> 00:16:37.279]  Go ahead.
[00:16:37.279 --> 00:16:37.639]  Hang on.
[00:16:37.639 --> 00:16:38.970]  And this is it.
[00:16:39.039 --> 00:16:40.560]  Then I'm going to have to go on to the show.
[00:16:40.560 --> 00:16:42.918]  Okay, go ahead.
[00:16:42.918 --> 00:16:43.839]  Quick, quick, quick.
[00:16:44.730 --> 00:16:47.409]  It was racist?
[00:16:47.690 --> 00:16:48.470]  No, she's Mexican.
[00:16:48.730 --> 00:16:50.149]  Squares is a regular last name.
[00:16:50.269 --> 00:16:52.429]  Usually I say Johnson if it's a white guy.
[00:16:53.309 --> 00:16:54.350]  I'm implying?
[00:16:57.230 --> 00:17:02.950]  No, I was talking about her son, which would be Mexican, so I used a Mexican last name.
[00:17:03.250 --> 00:17:04.269]  Is that racist?
[00:17:11.789 --> 00:17:14.009]  Ma 'am, you're anti-comic.
[00:17:14.150 --> 00:17:15.029]  Please sit down.
[00:17:16.750 --> 00:17:18.329]  Please take your seat.
[00:17:19.069 --> 00:17:20.569]  We're asking nicely.
[00:17:21.049 --> 00:17:25.009]  Not everybody can be a brilliant stand-up comic, including yourself.
[00:17:27.329 --> 00:17:35.309]  This isn't crossfire!
[00:17:35.319 --> 00:17:37.180]  This is the problem.
[00:17:37.480 --> 00:17:40.160]  Everyone wants to be angry about shit.
[00:17:40.160 --> 00:17:41.358]  This country is...
[00:17:41.358 --> 00:17:45.809]  That's why people log on to CNN.com and they have a fucking...
[00:17:47.740 --> 00:17:48.480]  Blah, blah, blah, blah, blah.
[00:17:48.859 --> 00:17:50.039]  They answer polls.
[00:17:50.220 --> 00:17:53.559]  Every day in the fucking USA Today you can find a poll about something.
[00:17:53.759 --> 00:17:54.859]  There was one yesterday.
[00:17:55.450 --> 00:18:03.549]  This was on if you're a fucking lowlife like me who's got nothing to do with your day but sit around hungover and watch eight hours of Fox News and CNN.
[00:18:03.890 --> 00:18:05.130]  CNN did yesterday.
[00:18:05.910 --> 00:18:07.230]  What is your opinion?
[00:18:08.089 --> 00:18:13.009]  What do you think the likelihood is of a terrorist attack at the Olympic Games in Greece?
[00:18:13.289 --> 00:18:16.029]  There was 6% said it was very likely.
[00:18:16.369 --> 00:18:18.769]  44% said somewhat likely.
[00:18:19.009 --> 00:18:21.190]  33% not very likely.
[00:18:21.710 --> 00:18:25.140]  13% Said not likely at all.
[00:18:26.559 --> 00:18:28.460]  That's 99%.
[00:18:28.460 --> 00:18:32.299]  It's a fucking pie chart.
[00:18:32.480 --> 00:18:33.000]  Pie chart.
[00:18:33.500 --> 00:18:36.480]  99% of the people had an opinion.
[00:18:37.359 --> 00:18:41.339]  The only answer to that question is, I don't fucking know.
[00:18:41.539 --> 00:18:42.220]  Why would I know?
[00:18:42.480 --> 00:18:48.039]  But everyone's got a very strong opinion with no fucking actual knowledge to go with it.
[00:18:48.319 --> 00:18:51.839]  99% should be a whole pizza pie chart of I don't fucking know.
[00:18:52.220 --> 00:18:58.599]  That shows you 99% of Americans will give you a strong opinion even though they have no fucking clue whatsoever.
[00:18:59.019 --> 00:19:05.980]  They just want to be mad, and they want to fill out comment cards, and that's a racist thing.
[00:19:06.240 --> 00:19:07.099]  No, it's what I'm talking about.
[00:19:07.460 --> 00:19:08.859]  They're letting you finish.
[00:19:11.240 --> 00:19:13.339]  Or as long as there's no draft.
[00:19:14.899 --> 00:19:22.180]  War isn't bad because it clears out some of the assholes like that peanut head in fucking Killeen, Texas that wanted to hammer my head in.
[00:19:22.359 --> 00:19:23.839]  He's not fighting for your freedom.
[00:19:24.059 --> 00:19:28.500]  He's fighting because he found a way he could go kill people without getting any jail time.
[00:19:28.660 --> 00:19:29.740]  He could get a pat on the back.
[00:19:30.079 --> 00:19:33.759]  Some people join the military for that reason because they just want to fucking kill.
[00:19:34.180 --> 00:19:36.000]  Fuck yeah, I want an enemy.
[00:19:36.119 --> 00:19:36.940]  I want to fucking kill.
[00:19:37.079 --> 00:19:37.880]  I want my opinion.
[00:19:39.180 --> 00:19:40.799]  And war is good for that reason.
[00:19:40.920 --> 00:19:46.740]  As long as we can make it voluntary, military should be voluntary like any other job where you can quit at any time.
