[00:00:00.000 --> 00:00:01.199]  I'm Sally Hernandez.
[00:05:28.939 --> 00:05:29.720]  We'll get to that in a moment.
[00:05:30.439 --> 00:05:33.959]  We have one even worse than Alvin Bragg here in Austin, if you can believe that.
[00:05:34.959 --> 00:05:37.519]  Recognized is probably the worst in the country, an actual communist.
[00:05:38.040 --> 00:05:39.279]  They love the chaos.
[00:05:39.500 --> 00:05:40.399]  It's their Cloward and Piven.
[00:05:40.620 --> 00:05:41.180]  We'll get to that in a moment.
[00:05:42.060 --> 00:05:43.620]  Jamie would want us to talk about this.
[00:05:44.060 --> 00:05:54.060]  And I'm going to talk to the family again a little bit later and see if we can help out, hopefully, with any of the expenses and maybe do a give, send, go or something.
[00:05:55.519 --> 00:06:00.759]  Austin Police Department officers responded to a high-priority emergency call at approximately 11.57 p.m.
[00:06:01.439 --> 00:06:02.079]  Sunday night.
[00:06:02.639 --> 00:06:04.259]  The call was shoot, stab.
[00:06:04.680 --> 00:06:11.040]  Hot shot, which refers to a high-priority potential life-threatening call involving possibility of an active shooter or stabbings.
[00:06:11.500 --> 00:06:20.060]  Officers arrived about two minutes later and found a male victim obvious signs of trauma, according to APD Public Information Officer Leah Ratliff.
[00:06:20.439 --> 00:06:30.240]  Officers attempted life-saving measures before the victim was transported to a local hospital where he was pronounced dead at approximately 12.19 a.m.
[00:06:30.319 --> 00:06:31.120]  Monday morning.
[00:06:32.040 --> 00:06:36.660]  Homicide detectives are actively investigating the incident, which marks Austin's eighth homicide of the year.
[00:06:37.379 --> 00:06:41.300]  Authorities have not released information about potential suspects or specific nature of the victim's injuries.
[00:06:41.819 --> 00:06:49.600]  This is pretty early on in the investigation, and the homicide unit will be releasing more information as they're able, Ratliff said during a media briefing.
[00:06:49.779 --> 00:06:51.800]  Well, we've talked to police off-record.
[00:06:52.000 --> 00:06:52.899]  We know more.
[00:06:54.019 --> 00:06:55.519]  I'm going to reveal that right now.
[00:06:57.579 --> 00:07:08.199]  Multiple police officers we've talked to, detectives, They said off record that we're really sick of this, we're tired of this, and they said, we are too.
[00:07:08.660 --> 00:07:15.300]  We have had in the last few years our funding for crime scene people and responders cut back massively.
[00:07:15.779 --> 00:07:28.879]  They made the biggest cuts in areas that deal with violent crime, as we know from the news, but this was them telling us, and that they will bust really hard on people with huge rap sheets committing serious crimes, robberies, armed robberies.
[00:07:29.240 --> 00:07:42.540]  And that the Austin DA, who, despite all the pressure and everything, is very proud of himself, Soros put him in on record, financed his run, does nothing.
[00:07:42.740 --> 00:07:49.920]  In fact, they just intensify it to the point the governors had to put the state police in to Austin just to try to deal with it.
[00:07:50.019 --> 00:07:53.240]  And then the state police really don't know anything but writing tickets, so they just write tickets.
[00:07:53.620 --> 00:07:56.879]  And I've been really talking about that being a very, very sad thing.
[00:07:59.350 --> 00:08:01.209]  Everybody's homes and cars are being broken into.
[00:08:01.449 --> 00:08:05.470]  I was talking to Rob Dew, who got home Saturday night at about 11.30.
[00:08:05.689 --> 00:08:08.069]  I said, you're lucky you live out in the country, a nice area.
[00:08:08.209 --> 00:08:09.750]  He said, actually, we pulled up.
[00:08:09.850 --> 00:08:11.529]  There was a truck parked in the street with lights on.
[00:08:12.509 --> 00:08:15.509]  He said to his wife, Trish, they're probably going to break into cars.
[00:08:15.670 --> 00:08:17.290]  And they did break into cars that night.
[00:08:17.790 --> 00:08:18.850]  They learned from the neighbors.
[00:08:19.269 --> 00:08:20.730]  They parked their car in the garage.
[00:08:21.649 --> 00:08:25.189]  So this is what's going on in this country.
[00:08:27.610 --> 00:08:30.970]  Almost everyone I know has had family that have died or been brain damaged from fentanyl.
[00:08:31.089 --> 00:08:32.610]  I mean, this is all the open border.
[00:08:32.769 --> 00:08:34.909]  This is all releasing the hardened criminals.
[00:08:36.169 --> 00:08:52.830]  And to read it in the news and have it happen to your friends and things is really just the tip of the iceberg when you start experiencing the left persecuting people that actually protect.
[00:08:53.539 --> 00:08:54.700]  They're fellow humans.
[00:08:54.899 --> 00:09:21.620]  And when you see the Soros DAs in control of over 800 jurisdictions protecting serious narcotics gangs and human trafficking gangs, and when you see different feds in ICE calling and warning some of those violent gangs in the world that there's ICE raids coming, Pam Bondi and others are reporting that they are preparing to indict some of these people, but there's so many communist traitors in the government that they're having to do polygraphs now to find out who's doing it.
[00:09:22.239 --> 00:09:23.220]  This is a crisis.
[00:09:23.700 --> 00:09:27.639]  And again, defunding the police, all of this is meant to destabilize and collapse society, Cloward and Piven.
[00:09:28.480 --> 00:09:31.419]  So here's one of the headlines about Jamie's murder.
[00:09:32.480 --> 00:09:37.000]  Austin Police Investigating Southeast Austin Homicide.
[00:09:38.179 --> 00:09:45.120]  Austin City Council cuts police department budget by one-third, mainly through reorganizing some duties out from law enforcement oversight.
[00:09:45.740 --> 00:09:49.340]  So they didn't just cut the police by a third, they turned them into social workers, the other ones.
[00:09:51.269 --> 00:09:55.330]  Austin mayor caught lying about police defunding after it happened and a bunch of murders happened.
[00:09:55.470 --> 00:09:56.669]  He said they didn't do it when they did.
[00:09:57.629 --> 00:09:58.889]  I mean, the press conference is bragging.
[00:09:59.470 --> 00:10:07.309]  Inside district attorney's campaign tort reform, the Austin police department, he just wants people to sue the department when they actually defend people.
[00:10:07.610 --> 00:10:18.929]  He goes after police, throws the book at him, or when a veteran driving a lift gets armed, you know, has somebody point a gun at him, he shoots and kills him, they throw him in prison, had to be pardoned.
[00:10:19.340 --> 00:10:29.080]  But this is Jose Garza, who literally in Zoom meetings calls other city employees comrades.
[00:10:29.179 --> 00:10:30.600]  So just look at this guy.
[00:10:31.419 --> 00:10:34.220]  He's doing exactly what he was put in by Soros to do.
[00:10:34.720 --> 00:10:42.200]  And I lay all of this squarely at the feet of these DAs and of the Soros crime syndicate and of the Democratic Party.
[00:10:42.620 --> 00:11:02.850]  They are the ones that administratively cut the police, Prosecute the police in even cases that are 100% clear to be lawful legal activities and then you wonder why we can't get enough police and there's giant shortages and you wonder why the quality goes down.
[00:11:03.509 --> 00:11:12.409]  But despite that, despite Austin being a war zone at night in many areas, the police were there in two minutes and got him to the hospital in just 15, 20 and then he was pronounced dead there.
[00:11:12.830 --> 00:11:14.830]  So that's service.
[00:11:16.710 --> 00:11:20.429]  But you can't Do your job when you don't have enough people.
[00:11:21.610 --> 00:11:28.269]  And as President Trump pointed out, and as Tom Homan pointed out and others, they gutted the Border Patrol, ICE, all of it.
[00:11:28.289 --> 00:11:38.669]  I don't know if any legal did this, but you have so many illegals committing crimes that that takes away the resources, and you've got the other gangbangers that know that a very small percentage of murders are now even being solved.
[00:11:39.929 --> 00:11:45.870]  Now, the police did tell us that they have some suspects, and I'm going to leave it at that.
[00:11:46.429 --> 00:11:48.590]  They didn't want to tell us whether it was a stabbing or a shooting.
[00:11:48.710 --> 00:11:52.870]  I can just tell you that from the amount of blood I heard, it was serious.
[00:11:54.710 --> 00:11:58.250]  They were there scrubbing his blood off the ground when our folks got there.
[00:11:59.590 --> 00:12:04.309]  And if any listeners asked us why we didn't get any video of it, we're not going to at that point use.
[00:12:04.470 --> 00:12:05.350]  It's too emotional.
[00:12:06.450 --> 00:12:10.070]  The Infowars crew is really torn up right now.
[00:12:10.909 --> 00:12:13.570]  And most of the reporters didn't even ask, but we sent them home.
[00:12:14.750 --> 00:12:17.610]  But I appreciate the crew that stayed here so we can get this information out.
[00:12:17.750 --> 00:12:20.769]  My condolences go to the family.
[00:12:21.610 --> 00:12:25.169]  Your son was and is an amazing person.
[00:12:26.230 --> 00:12:28.929]  And we're so proud of the work that Jamie did.
[00:12:29.970 --> 00:12:39.549]  And we are so proud of the work he did continuing on as we try to stabilize the country and cut the crime and stop world war.
[00:12:40.490 --> 00:12:43.490]  And we really appreciate your son.
[00:12:44.029 --> 00:12:45.330]  We really appreciate your brother.
[00:12:46.450 --> 00:12:50.250]  And I don't want to say he'll be missed because he's always going to be with us.
[00:12:50.330 --> 00:12:51.110]  He's a good man.
[00:12:52.129 --> 00:13:03.330]  And it's just a reminder of us how serious the stakes are and that the individuals that are running our society administratively are engaged in just vicious, vicious policies.
[00:13:03.850 --> 00:13:09.909]  I mean, you could say Soros and these DAs defunding the police four years ago didn't know what they were doing, but of course they did.
[00:13:10.029 --> 00:13:11.029]  And then same thing in Europe.
[00:13:11.169 --> 00:13:16.019]  But now that it gets worse and worse and worse, They know exactly what they're doing.
[00:13:16.799 --> 00:13:18.320]  And they're trying to make life miserable.
[00:13:18.480 --> 00:13:19.559]  They're trying to break our morale and will.
[00:13:19.720 --> 00:13:21.019]  But Jamie was such an upbeat guy.
[00:13:21.159 --> 00:13:21.720]  So positive.
[00:13:22.639 --> 00:13:23.759]  Such a beautiful soul.
[00:13:23.879 --> 00:13:24.960]  And his soul lives on forever.
[00:13:25.059 --> 00:13:26.039]  And we know it's in God's hands.
[00:13:26.940 --> 00:13:32.179]  So for myself and the entire M4Wars crew, we'll put Jamie's X account back up.
[00:13:34.299 --> 00:13:35.840]  Hopefully we can get the codes to it.
[00:13:37.679 --> 00:13:39.360]  And give it to his family.
[00:13:41.399 --> 00:13:59.120]  I know Elon doesn't let people, and it makes sense, continue on an X account when somebody's deceased because it's a personal account, but maybe if the family gets involved, we can make a memorial for crime victims and use the fact of his advocacy for crime victims, which was a big thing he did, and exposing just the incredible...
[00:13:59.120 --> 00:14:08.600]  I mean, I remember just a few months ago talking to Jamie about an article he'd written about crime exploding under Biden and just him shaking his head and just saying it's terrible.
[00:14:09.590 --> 00:14:14.649]  And just yesterday, I was telling my family and everybody, everybody needs to start carrying guns.
[00:14:15.370 --> 00:14:17.990]  If you don't know how to use a gun, everybody needs to get a gun.
[00:14:18.929 --> 00:14:23.950]  And you're not going to be protected in 800-plus cities and jurisdictions the Democrats run.
[00:14:24.429 --> 00:14:25.210]  They're monsters.
[00:14:25.429 --> 00:14:31.789]  And so to the globalist, and the same thing's happening in Europe and other areas, you murdered Jamie White.
[00:14:33.250 --> 00:14:34.250]  You opened the door.
[00:14:34.350 --> 00:14:35.149]  You created the climate.
[00:14:35.149 --> 00:14:36.549]  You created the conditions on purpose.
[00:14:37.039 --> 00:14:40.360]  George Soros, Alexander Soros, you murdered Jamie White.
[00:14:40.820 --> 00:14:42.799]  Joe Biden, you murdered Jamie White.
[00:14:43.200 --> 00:14:44.980]  Democratic Party, Hakeem Jeffries.
[00:14:46.320 --> 00:14:49.080]  Al Green, you murdered Jamie White.
[00:14:50.039 --> 00:14:51.700]  And we're not going to forget him.
[00:14:51.799 --> 00:15:01.480]  And we're not going to forget last Tuesday during Trump's address to Congress how you wouldn't stand for the little black boy who's been battling cancer for five years and had 13 brain surgeries.
[00:15:01.480 --> 00:15:04.340]  You wouldn't stand for Lake and Riley's family when she got kidnapped.
[00:15:05.180 --> 00:15:05.919]  Tortured and murdered.
[00:15:06.059 --> 00:15:07.000]  You wouldn't stand for her.
[00:15:07.759 --> 00:15:10.320]  You sat there like a bunch of demons because that's what you are.
[00:15:10.779 --> 00:15:12.120]  And you know exactly what you're doing.
[00:15:12.240 --> 00:15:13.419]  You're at war with this country.
[00:15:13.600 --> 00:15:17.379]  Ilhan Omar, all of you, you're the ones that support this.
[00:15:18.259 --> 00:15:21.399]  Governor Tim Walz defunding the police.
[00:15:22.179 --> 00:15:23.139]  Cities burned down.
[00:15:23.279 --> 00:15:25.179]  His wife's saying, I love the smell of burning tires.
[00:15:25.259 --> 00:15:26.759]  Open the windows up while people are getting killed.
[00:15:27.059 --> 00:15:31.519]  These are sick, degenerate, evil people that know what they're doing.
[00:15:31.940 --> 00:15:33.100]  And they...
[00:15:33.389 --> 00:15:44.690]  Aided and abetted, they are accomplices to the murder of a great American and Infowars, longtime veteran reporter, Jamie White.
[00:15:45.070 --> 00:15:46.690]  And I know what Jamie would want.
[00:15:47.429 --> 00:15:57.169]  I'm going to talk to the family, but we should not just drop this and dust ourselves off and forget about Jamie or all the other victims.
[00:15:59.750 --> 00:16:00.870]  It needs to be...
[00:16:01.679 --> 00:16:05.159]  Jamie White's dad or sister at the State of the Union.
[00:16:05.940 --> 00:16:17.860]  And President Trump needs to point his finger at the Austin scumbag DA and say, you, you, you little monster, you are responsible.
[00:16:19.120 --> 00:16:25.080]  Jose Garza just as much as the person or people that murdered our reporter.
[00:16:26.419 --> 00:16:28.620]  He won't be coming home to his family again.
[00:16:28.879 --> 00:16:30.960]  He won't get to live out the rest of his life.
[00:16:31.929 --> 00:16:38.730]  Now, cut short a young man because of you communist globalist scum.
[00:16:39.750 --> 00:16:44.870]  And I promise this to Jose Garza and the rest of the occupational government we've got here in Austin, Texas.
[00:16:45.889 --> 00:16:56.289]  We're going to take our country back peacefully and you're going to be held responsible civilly and criminally if I have anything to do with it.
[00:16:58.009 --> 00:17:04.640]  And I'm asking President Trump and Elon Musk to Look at this case because it's so important.
[00:17:05.079 --> 00:17:14.519]  A journalist, a patriot, murdered, literally murdered by the Soros government and the Democratic Party right here in Austin, Texas.
