[00:00:19.710 --> 00:00:21.730]  Welcome to tonight's InfoWars Nightly News.
[00:06:22.444 --> 00:06:23.624]  Will it be a false flag attack?
[00:06:23.664 --> 00:06:24.665]  Will it be a real attack?
[00:06:25.345 --> 00:06:28.385]  Either way, an attack will be used to take away our liberties.
[00:06:28.605 --> 00:06:39.467]  That is for certain, as we've seen time and time again from the underwear bomber on through all the other FBI informant bomb, fake bomb plots that have gone on in the United States.
[00:06:39.487 --> 00:06:40.287]  That's one thing for sure.
[00:06:40.347 --> 00:06:43.368]  It will be used to take away our liberties.
[00:06:43.988 --> 00:06:49.431]  One of the things also he mentioned in there were the 28 pages missing out of the 9-11 Commission report that have been classified.
[00:06:50.132 --> 00:06:53.394]  And momentum has been gathering, gathering big time.
[00:06:53.494 --> 00:06:59.918]  And on September 1st, we published an article from Washington's blog, Movement Today Classified 9-11 Information Gathers Momentum.
[00:07:00.358 --> 00:07:09.084]  Lee Hamilton and Thomas Kean, who are the 9-11 Commission co-chairs, have said that 60 to 70 percent of what was classified shouldn't have been classified in the first place.
[00:07:09.744 --> 00:07:13.226]  We've also had Representative Thomas Massey come out and give a speech.
[00:07:13.266 --> 00:07:18.609]  He actually went down into the secret room where you weren't allowed to take an iPhone or take notes or anything.
[00:07:18.629 --> 00:07:19.810]  You had an FBI agent present.
[00:07:19.830 --> 00:07:21.871]  He was actually able to read the 28 pages.
[00:07:22.471 --> 00:07:26.234]  And he came out and said he immediately called for them to be released to the public.
[00:07:26.774 --> 00:07:30.276]  And even Congressman Ron Paul has come out and said this needs to go.
[00:07:30.316 --> 00:07:36.419]  And he's even trying to make a hashtag promotion out of it, a Twitter promotion, to get people to ask.
[00:07:37.660 --> 00:07:42.643]  Release the information, the whitewash information that you have, so we can make our own decisions.
[00:07:42.903 --> 00:07:44.563]  And here's a collection of those clips right now.
[00:07:45.524 --> 00:07:46.925]  Yes, they should be.
[00:07:47.825 --> 00:07:51.147]  I am embarrassed that they're not declassified.
[00:07:52.487 --> 00:07:55.269]  We emphasize throughout transparency.
[00:07:56.189 --> 00:08:03.833]  And when I assumed, incorrectly, that our records would be public, all of them, everything,
[00:08:05.328 --> 00:08:16.013]  And then when I learned that a number of the documents were classified or even redacted, I was surprised and disappointed.
[00:08:17.513 --> 00:08:19.874]  I want those documents declassified.
[00:08:19.955 --> 00:08:27.778]  I'm embarrassed to be associated with a work product that is secret.
[00:08:29.229 --> 00:08:34.172]  This is something that the families deserve to know, this information.
[00:08:34.452 --> 00:08:39.114]  It's been a decade, over a decade, 13 years since this event happened.
[00:08:39.915 --> 00:08:53.582]  And we've had a narrative in the media and in the press and in the collective American conscience of what happened that day, but I don't think it's fully informed and it won't be fully informed until everybody gets to see these 28 pages.
[00:08:54.082 --> 00:08:56.083]  And just to echo what Congressman Lynch said,
[00:08:56.724 --> 00:09:00.468]  I'm here for the families, but I'm also here for our country to look forward.
[00:09:00.828 --> 00:09:05.913]  We have to decide how to prevent another 9-11 type event from happening.
[00:09:06.273 --> 00:09:13.800]  Until you have the full picture of what actually happened, the intelligence picture, how can you participate in that debate?
[00:09:13.880 --> 00:09:17.504]  How can we know that what we do will prevent another 9-11 from happening?
[00:09:17.984 --> 00:09:21.987]  I deserve to know the truth hidden in the 9-11 report and so do you.
[00:09:22.648 --> 00:09:27.972]  Join me in the hashtag declassify campaign and make your voice heard.
[00:09:29.092 --> 00:09:36.238]  So it's not just nut job tinfoil hat wearing crazy conspiracy theorists that are asking that the government release what it considers the full story.
[00:09:36.638 --> 00:09:38.900]  It's actually people who are on the commission
[00:09:39.640 --> 00:09:44.745]  Uh, current representatives and former representatives that are asking for this information to be released.
[00:09:44.825 --> 00:09:50.610]  And you can join in on by, by just asking your congressman and your representative and your senator.
[00:09:50.870 --> 00:09:51.771]  Release the information.
[00:09:52.211 --> 00:09:54.613]  Now let's move on to the other big thing that's trending in the news.
[00:09:54.794 --> 00:10:00.258]  The iPhone, or as we like to say, the Apple of Sauron's eye here at InfoWars.
[00:10:00.799 --> 00:10:06.384]  Uh, but I want to start off with this story first because this iPhone and these, and these smartphones and these tablets.
[00:10:07.588 --> 00:10:12.210]  This Castle Society that's coming in, we're not going to be the ones that are going to be fully enveloped into it.
[00:10:12.250 --> 00:10:15.792]  We're the ones that are going to have to be whipped into it, because we're not going to go quickly.
[00:10:15.852 --> 00:10:16.833]  We still like cash.
[00:10:17.773 --> 00:10:19.234]  We still like credit cards.
[00:10:19.254 --> 00:10:22.336]  We still like things that just aren't one thing holds all.
[00:10:22.436 --> 00:10:23.416]  We don't like that.
[00:10:23.837 --> 00:10:25.497]  We don't like the one ring of power.
[00:10:25.978 --> 00:10:27.478]  We like to have our assets spread out.
[00:10:27.739 --> 00:10:29.940]  But the children out there, my children included,
[00:10:30.820 --> 00:10:32.921]  ...are literally addicted to these new objects.
[00:10:33.161 --> 00:10:40.345]  My little baby understands how you can move your finger across a phone and look at pictures, because I've showed him pictures of it before.
[00:10:41.586 --> 00:10:43.567]  My four-year-old loves the tablet.
[00:10:43.627 --> 00:10:45.348]  My nine-year-old loves the tablet.
[00:10:45.448 --> 00:10:47.169]  I mean, it is scary stuff out there.
[00:10:47.369 --> 00:10:48.970]  And here's an article from the MailOnline.
[00:10:49.430 --> 00:10:50.611]  Generation helpless.
[00:10:51.091 --> 00:10:56.214]  Children are now better at using smartphones than swimming, tying their shoelaces, and even telling time.
[00:10:56.254 --> 00:10:58.275]  Now, before we go any further, I just want to say this.
[00:10:59.468 --> 00:11:03.711]  My two oldest know how to tie their shoes, and they're great swimmers, and they know how to tell time.
[00:11:04.392 --> 00:11:09.035]  But I feel really bad for children out there that do not know how to do those things, but know how to activate a tablet.
[00:11:09.055 --> 00:11:09.756]  Let's go into the article.
[00:11:10.236 --> 00:11:13.839]  Findings revealed more children could use a tablet than tie their shoelaces.
[00:11:13.859 --> 00:11:15.340]  This is true for swimming and telling time.
[00:11:15.981 --> 00:11:24.227]  And a third of two- to four-year-olds own a tablet and spend an average of two hours and 35 minutes a day on these devices.
[00:11:24.988 --> 00:11:26.289]  And then they have a chart here.
[00:11:26.909 --> 00:11:29.471]  In this article, what can your child do confidently?
[00:11:46.642 --> 00:11:48.843]  Very scary stats, indeed.
[00:11:49.263 --> 00:11:51.484]  And it goes on even scarier.
[00:11:51.504 --> 00:11:57.946]  Ages 5 to 7, these kids spend an average of 3 hours a day on these tablets.
[00:11:57.966 --> 00:11:58.547]  And it gets worse.
[00:11:58.587 --> 00:12:06.049]  As you get older, 8 to 10, they're spending nearly an average of nearly 4 hours, if you combine video games, phones, and computers.
[00:12:06.409 --> 00:12:12.372]  4 hours a day looking at a screen, not running around, not breathing fresh air, not having a good time with their friends.
[00:12:12.792 --> 00:12:15.173]  But isolated, one-on-one with that computer,
[00:12:16.041 --> 00:12:17.663]  Which is teaching you a lot of things.
[00:12:18.183 --> 00:12:19.324]  Believe me, it's teaching you a lot.
[00:12:19.384 --> 00:12:21.466]  More than you should know at that age.
[00:12:21.706 --> 00:12:22.907]  Pretty scary stuff.
[00:12:23.348 --> 00:12:27.372]  Which leads us back to the iPhone and this video yesterday that Paul Joseph Watson released.
[00:12:27.912 --> 00:12:31.235]  iPhone 6, is Apple pay the mark of the beast?
[00:12:31.275 --> 00:12:32.016]  We go to that report.
[00:12:33.183 --> 00:12:51.366]  Today saw the launch of the new Apple iPhone 6, but what flew under the radar amidst the hype surrounding the release of the new device is the fact that the Apple Pay system, which is being supported by Visa, Mastercard and American Express, will mandate users scan their fingerprints in order to make a purchase.
[00:12:51.846 --> 00:12:55.629]  Does this represent the Mark of the Beast system mentioned in the Bible?
[00:12:55.990 --> 00:13:04.637]  Well, yes, according to many people on Twitter who exploded with concerns about how Apple was becoming a little too, quote, anti-Christ-y.
[00:13:04.957 --> 00:13:06.178]  What's the Mark of the Beast?
[00:13:06.278 --> 00:13:08.761]  Well, it's a passage out of Revelations,
[00:13:09.301 --> 00:13:16.384]  Which states, quote, So for many decades, Christians have been warning about the fact that this mark of the beast was going to come in the form of either a microchip, a digital tattoo,
[00:13:39.373 --> 00:13:44.016]  Or the fingerprint itself and that it would be mandated for all purchases.
[00:13:44.276 --> 00:13:51.621]  Obviously there are already numerous different versions of payment systems which use either the fingerprint scan or the palm scan already in existence.
[00:13:51.961 --> 00:13:56.504]  But Apple pays the first one to have the direct backing of all the big boys.
[00:13:56.584 --> 00:13:59.206]  Visa, MasterCard and American Express.
[00:13:59.586 --> 00:14:05.010]  As well as major stores like Macy's, McDonald's, Bloomingdale's and Whole Foods.
[00:14:05.550 --> 00:14:11.931]  They're already going to have this technology in place, ready to use when the Apple iPhone 6 rolls out.
[00:14:12.171 --> 00:14:25.995]  The International Business Times reports, with Apple Pay, iPhone users hold their phones up to near-field communication NFC terminals, hold their finger onto the device's fingerprint sensor, and the transaction is completed wirelessly.
[00:14:26.295 --> 00:14:32.416]  Apple promises that it won't sell your private purchase data to other companies or to the government.
[00:14:32.916 --> 00:14:42.828]  Just like it didn't provide, quote, direct access, according to Edward Snowden, to Apple's backdoor database to the National Security Agency.
[00:14:43.048 --> 00:14:51.939]  Oh, and let's not concern ourselves either about the fact that an NSA slide referred to iPhone users as, quote, zombies, and to Steve Jobs as Big Brother.
[00:14:52.179 --> 00:14:53.280]  But wait, there's more!
[00:14:53.440 --> 00:14:54.760]  The Apple iWatch.
[00:14:55.000 --> 00:15:03.984]  As if you're not looking at your cell phone enough while avoiding humanity and the nagging voice of conscience, here's a new product to keep you distracted from reality.
[00:15:04.184 --> 00:15:05.265]  So what's coming next?
[00:15:05.365 --> 00:15:07.546]  The Apple Ankle Bracelet?
[00:15:08.246 --> 00:15:11.128]  Well, we better not go there because I don't want to give them ideas.
[00:15:11.488 --> 00:15:13.629]  Check out the other videos, subscribe to the channel.
[00:15:13.769 --> 00:15:16.410]  I'm Paul Joseph Watson reporting for InfoWars.com.
[00:15:27.233 --> 00:15:28.936]  So the biometric Mark II buy and sell.
[00:15:29.096 --> 00:15:30.178]  Is it the Mark of the Beast?
[00:15:30.238 --> 00:15:31.259]  Is it coming from Apple?
[00:15:31.400 --> 00:15:35.326]  Apple, whose logo happens to be the apple that Eve took a bite out of.
[00:15:35.386 --> 00:15:36.848]  The original sin.
[00:15:37.650 --> 00:15:38.571]  Very interesting.
[00:15:40.394 --> 00:15:44.036]  Also, you could say there's a lot of money riding on this technology.
[00:15:44.416 --> 00:15:45.257]  Go to Bloomberg here.
[00:15:45.397 --> 00:15:49.159]  Apple said to reap fees from banks in new payment system.
[00:15:49.479 --> 00:15:50.719]  And this is what I think is interesting.
[00:15:50.799 --> 00:15:58.483]  Currently, the tech company get a share of more than $40 billion that the banks generate annually from so-called swipe fees.
[00:15:59.024 --> 00:16:03.046]  Now, in just three years, this is expected to more than double.
[00:16:03.925 --> 00:16:11.649]  If you look at the growing market section, the mobile payments market will probably more than quadruple to about 90 billion by the year 2014.
[00:16:13.230 --> 00:16:15.571]  I mean, it is going to be out of sight, out of mind.
[00:16:15.611 --> 00:16:17.112]  That is why Apple is doing this.
[00:16:17.692 --> 00:16:18.793]  Is it the mark on the beast?
[00:16:19.153 --> 00:16:20.814]  Well, they have yet to eject
[00:16:21.454 --> 00:16:21.834]  The next phase
[00:16:51.914 --> 00:16:59.616]  Really interesting stuff, but the rest of us are going to have these chips, and they're going to be to buy and sell, and if you don't have them, you're not going to be able to get a job, you're not going to be able to travel, and you won't be able to do anything.
[00:16:59.996 --> 00:17:01.036]  Wait, it's coming.
[00:17:01.376 --> 00:17:02.156]  Don't you worry.
[00:17:03.336 --> 00:17:12.118]  Now we move on to our favorite Eric Holder, and this is James Woods took to Twitter yesterday, and he's on a mission.
[00:17:12.578 --> 00:17:13.578]  James Woods on a mission.
[00:17:13.698 --> 00:17:16.399]  Issues hashtag Holder challenge.
[00:17:16.979 --> 00:17:18.039]  Ask followers for help.
[00:17:18.780 --> 00:17:20.640]  Hollywood actor James Woods has thrown down the gauntlet.
[00:17:21.300 --> 00:17:30.167]  To America's Attorney General Eric Holder and dared him to condemn the brutal beating of three white men by a group of black hooligans as a racist assault and hate crime.
[00:17:30.467 --> 00:17:32.029]  You might have seen the video yesterday.
[00:17:32.229 --> 00:17:37.853]  One of the victims in, I think it was a Kroger parking lot, was hit with pumpkins.
[00:17:37.933 --> 00:17:39.575]  Actually, he was actually attacked by pumpkins.
[00:17:40.295 --> 00:17:43.778]  And Alex had the comment there, the guy just literally laid down and took it.
[00:17:43.818 --> 00:17:45.720]  Didn't even go down with a fight.
[00:17:47.605 --> 00:17:55.509]  These kids going out there doing these attacks better watch it because one day they're going to pick on the guy who's carrying that concealed carry gun and it could be anybody.
[00:17:55.869 --> 00:17:58.751]  And it's probably going to be the old man that you think will be the easy target.
[00:17:59.791 --> 00:18:04.774]  My grandparents, one time they had a timeshare condo in Florida and some guys were messing with them at the beach.
[00:18:05.134 --> 00:18:06.314]  They went back up to their room.
[00:18:06.635 --> 00:18:10.497]  The guys followed them up to the room, started beating on their door and it was getting dark.
[00:18:11.037 --> 00:18:11.557]  And guess what?
[00:18:11.797 --> 00:18:14.819]  They pulled out the revolver and fired a shot through the door.
[00:18:15.882 --> 00:18:16.202]  Guess what?
[00:18:16.222 --> 00:18:16.963]  The hooligans left.
[00:18:17.003 --> 00:18:17.824]  Didn't bother them anymore.
[00:18:17.844 --> 00:18:19.225]  And that's how you have to handle these kids.
[00:18:19.366 --> 00:18:20.767]  You cannot show any mercy.
[00:18:20.787 --> 00:18:21.748]  You cannot show any fear.
[00:18:21.808 --> 00:18:24.951]  Because you will get picked apart like a prey animal.
[00:18:25.973 --> 00:18:29.354]  Let's go into some of Woods' quotes here, some of his tweets.
[00:18:29.774 --> 00:18:31.755]  This is a direct challenge to Eric Holder.
[00:18:32.295 --> 00:18:38.997]  Are you, sir, going to Memphis, Tennessee to address the Kroger racial hate crime hashtag KrogerChallenge?
[00:18:39.637 --> 00:18:40.417]  Now here's another one.
[00:18:40.838 --> 00:18:43.538]  I've never asked my followers to do anything on my behalf before.
[00:18:43.999 --> 00:18:48.040]  Please retweet my hashtag HolderChallenge to Eric Holder in previous tweet.
[00:18:49.120 --> 00:18:50.501]  Uh, where are you, Mr. Holder?
[00:18:50.881 --> 00:18:53.142]  Racial hate crime of any kind is an abomination.
[00:18:53.202 --> 00:18:54.503]  Hashtag Holder Challenge.
[00:18:54.883 --> 00:18:56.644]  There is no black in America.
[00:18:56.684 --> 00:18:57.484]  There is no white.
[00:18:57.504 --> 00:18:58.925]  There is only right or wrong.
[00:18:59.005 --> 00:19:00.386]  Racial hatred is wrong.
[00:19:00.446 --> 00:19:00.826]  Period.
[00:19:01.346 --> 00:19:02.687]  Hashtag Holder Challenge.
[00:19:02.787 --> 00:19:05.928]  And you could read the article for the rest of the article's title.
[00:19:06.128 --> 00:19:08.069]  Uh, it was in today's featured section.
[00:19:08.550 --> 00:19:09.770]  James Woods on a mission.
[00:19:10.170 --> 00:19:10.491]  Issues.
[00:19:10.671 --> 00:19:11.811]  Hashtag Holder Challenge.
[00:19:11.971 --> 00:19:12.872]  Ask followers for help.
[00:19:13.852 --> 00:19:19.214]  And while this is noble, I think we should be calling out Eric Holder on a whole host of other crimes.
[00:19:20.974 --> 00:19:33.077]  But going back to the racial issue, we have a clip from Alex Jones, this is a few months ago, talking about how Eric Holder thought everybody was against him and they're all racist because they actually want him to account for some of the things he was doing wrong.
[00:19:33.337 --> 00:19:33.978]  Here's that clip.
[00:19:34.698 --> 00:19:42.940]  Insanely, Eric Holder has come out and said it's basically racism that people are treating him with quote disrespect when he's ignored congressional subpoenas for four years.
[00:19:45.478 --> 00:19:47.699]  And he says no Attorney General's ever been treated like this.
[00:19:48.379 --> 00:19:55.081]  I could dig up three today when I saw this clip in a few minutes online in the last hundred years that served prison time.
[00:19:56.282 --> 00:20:02.904]  The last one was John N. Menschel, served 19 months and died in prison due to his involvement in the Watergate affair.
[00:20:03.244 --> 00:20:06.665]  He was sentenced to prison in 1977, serving 19 months.
[00:20:06.685 --> 00:20:09.566]  I've got the Attorney General saying that never happened.
[00:20:09.886 --> 00:20:11.407]  Of course, this guy's as wide as a snowflake.
[00:20:12.537 --> 00:20:16.961]  As bald as a cue ball and as goofy looking as a rattlesnake.
[00:20:17.281 --> 00:20:22.726]  The point is that that's all they've got now is race card.
[00:20:22.966 --> 00:20:25.128]  You don't like Obamacare raping the daylights out of you?
[00:20:25.188 --> 00:20:25.708]  You're racist.
[00:20:26.309 --> 00:20:27.210]  Don't want to turn your guns in?
[00:20:27.230 --> 00:20:28.951]  You're KKK, Hank Aaron says.
[00:20:29.011 --> 00:20:31.693]  If you don't like Obamacare, you're racist, Hank Aaron says.
[00:20:32.554 --> 00:20:33.235]  Hank Aaron?
[00:20:33.795 --> 00:20:39.060]  So not only is Eric Holder a professional race baiter, as you've seen in his trips going up to Ferguson.
[00:20:39.667 --> 00:20:42.780]  I'm also going to tell you about how he likes to waste your taxpayer money.
[00:20:43.162 --> 00:20:43.784]  So he's a bilker.
[00:20:45.684 --> 00:20:46.625]  He's also a gun runner.
[00:20:47.425 --> 00:20:49.365]  He's also a cover-up crime artist.
[00:20:49.746 --> 00:20:51.546]  I'm going to explain all these right now.
[00:20:51.806 --> 00:20:52.566]  First article here.
[00:20:53.167 --> 00:20:56.768]  This is from March 25, 2014 from Liberty Blitzkrieg.
[00:20:57.108 --> 00:21:01.749]  Eric Holder and the DOJ have spent millions of taxpayers' dollars on unreported personal travel.
[00:21:01.989 --> 00:21:02.369]  Yeah, yeah.
[00:21:02.389 --> 00:21:03.370]  There he goes.
[00:21:03.410 --> 00:21:04.910]  He's doing that on your dime, people.
[00:21:05.430 --> 00:21:13.533]  Despite his unique role, Eric Holder has spent the past five years taking absolutely zero action on any matter of national significance, except for race baiting.
[00:21:14.274 --> 00:21:21.390]  In fact, his major claim to fame appears to be that he has solidified the creation of a group of untouchable criminals known as the too-big-to-jail class.
[00:21:22.383 --> 00:21:23.323]  He's looking out for the bankers.
[00:21:23.963 --> 00:21:26.104]  So what does Eric Holder do in his spare time?
[00:21:26.324 --> 00:21:29.425]  You know, when he isn't cuddling financial oligarchs or running firearms into Mexico.
[00:21:29.865 --> 00:21:37.966]  Apparently, according to a recent study from the Nonpartisan Government Accountability Office, he likes to hop on government planes for personal trips at cash-spare expense.
[00:21:38.567 --> 00:21:39.567]  Surf's up, suckers!
[00:21:39.607 --> 00:21:42.007]  And you could read all about that in the article.
[00:21:42.568 --> 00:21:45.628]  Of course, he doesn't know anything that's going on in his administration.
[00:21:46.148 --> 00:21:47.109]  And back in 2011, CBS News reported,
[00:21:49.531 --> 00:21:49.891]  I think so.
[00:22:14.719 --> 00:22:17.481]  Oh, almost a year to when he was told about this.
[00:22:17.501 --> 00:22:24.466]  Eric Holder told the Judiciary Committee he's not sure the exact date, but I probably heard about Fast and Furious for the first time over the last few weeks.
[00:22:25.427 --> 00:22:25.747]  Wow.
[00:22:26.028 --> 00:22:28.990]  He doesn't know what's going on, but he's sure not stopping those guns.
[00:22:29.010 --> 00:22:35.195]  And then later, more memos came out that they were doing this to demonize the Second Amendment and go after your Second Amendment.
[00:22:35.615 --> 00:22:36.415]  But we're not done.
[00:22:37.372 --> 00:22:40.475]  Back in the 90s, there was this little thing called the Oklahoma City Bombing.
[00:22:41.275 --> 00:22:53.846]  And at one point, Jesse Trinity's brother, Michael, was arrested, and they thought this guy looked like one of the people Timothy McVeigh was hanging out with, so they basically killed him in jail, even though he had nothing to do with the Oklahoma City Bombing.
[00:22:54.386 --> 00:23:01.917]  Well, Eric Holder actually turns out was running a cover-up of that murder because if people started probing into that murder, they were going to see what really happened.
[00:23:02.197 --> 00:23:04.941]  Here it is from 2008, Paul Joseph Watson and Alec Jones.
[00:23:05.542 --> 00:23:09.767]  Obama's Attorney General nominee had a role in OKC murder cover-up.
[00:23:10.328 --> 00:23:25.619]  Leaked DOJ memos shed new light on the role of Barack Obama's Attorney General nominee Eric Holder in the cover up of the death of Kenneth Michael Trinidou, who was tortured to death by FBI agents after they confused him with one of Timothy McVeigh's accomplices in the Oklahoma City bombing.
[00:23:28.519 --> 00:23:36.928]  And the new twist in the story revolves around Trinidou obtaining leaked DOJ memos that indicate a flurry of activity around how to handle the cover-up of his brother's death.
[00:23:37.909 --> 00:23:42.374]  A key player in the cover-up was Eric Holder, who earlier in the week was named to be the nominee of the Attorney General.
[00:23:42.774 --> 00:23:50.722]  The Department of Justice memos, well they're actually emails, and they're talking about Deputy Attorney General Eric Holder and what he was going to do to keep a lid on the story, said Trinidou.
[00:23:51.383 --> 00:23:59.525]  Adding that the memos make it clear that an attempt to deflect press attention is the goal, along with claiming the investigation is ongoing in order to keep everything secret.
[00:24:00.005 --> 00:24:05.827]  So their goal was to just push out this investigation, just say it was ongoing so they can't talk about it, keep it classified.
[00:24:06.027 --> 00:24:08.427]  That is the MO of what we're seeing now.
[00:24:08.507 --> 00:24:15.549]  Basically every agency in the government now wants to just hold everything secret, pretend like we're dumb children so they can operate with impunity.
[00:24:16.069 --> 00:24:19.830]  And that is what Eric Holder was doing in the case of Kenneth Michael Trinidad's death.
[00:24:20.845 --> 00:24:21.806]  Oh, I also forgot.
[00:24:21.906 --> 00:24:23.107]  He likes to brainwash people.
[00:24:23.147 --> 00:24:26.670]  In fact, we have a clip of him saying, hey, we're going to brainwash people about guns.
[00:24:26.690 --> 00:24:28.231]  And we'll go to that clip as we go to break.
