[00:00:05.131 --> 00:00:05.551]  That's right.
[00:03:47.458 --> 00:03:48.758]  And so that's now in the news.
[00:03:49.479 --> 00:03:54.760]  It's a £50,000 to charity for Piers Morgan and Jeremy Clarkson boxing fight.
[00:04:01.322 --> 00:04:02.402]  I think Clarkson will win.
[00:04:02.422 --> 00:04:06.003]  You can just look at the look in that guy's eyes and the size of his neck compared to Piers Morgan.
[00:04:06.563 --> 00:04:07.984]  Piers Morgan is a complete ninny.
[00:04:08.684 --> 00:04:12.525]  And unless the thing's staged, I think Morgan's going to get his butt handed to him.
[00:04:14.932 --> 00:04:31.510]  So V12 Shots, LTD, a company that recently launched a protein drink, the V12 Protein Shot, has offered to donate £50,000, or about $80,000, to help for Heroes Charity, and Piers Morgan and Jeremy Clarkson's agreed to fight.
[00:04:31.530 --> 00:04:32.431]  They've now agreed to fight.
[00:04:34.093 --> 00:04:39.317]  Listen, $50 million is what a Piers Morgan-Alex Jones fight would raise.
[00:04:39.917 --> 00:04:40.378]  Seriously.
[00:04:40.778 --> 00:04:48.464]  That was voted in LA Times, Time Magazine, you name it by voters, multiple times, the number one political story of 2013.
[00:04:48.864 --> 00:04:50.606]  Can you believe that?
[00:04:51.026 --> 00:04:54.369]  The number one viral
[00:04:55.581 --> 00:05:00.242]  Media event, multiple places, thousands of newspapers, every show out there.
[00:05:00.262 --> 00:05:02.563]  Here's Morgan vs. Alex Jones.
[00:05:02.983 --> 00:05:05.024]  I challenged him to a boxing match right then.
[00:05:05.044 --> 00:05:05.024]  $80,000?
[00:05:05.064 --> 00:05:08.505]  Really?
[00:05:08.845 --> 00:05:10.466]  I guarantee you, I've got the connections.
[00:05:10.586 --> 00:05:11.326]  I know Dana White.
[00:05:12.246 --> 00:05:12.986]  I know Joe Rogan.
[00:05:13.427 --> 00:05:14.867]  I've hung out with Dana White repeatedly.
[00:05:15.227 --> 00:05:17.508]  I'll guarantee you I could make phone calls.
[00:05:18.559 --> 00:05:28.861]  And I guarantee you, they, they're businessmen, I guarantee you, they could get the Vegas match on and it would be on television and pay-per-view and dominate.
[00:05:29.541 --> 00:05:32.522]  It would air on television the next day and be on channels all over the country.
[00:05:33.202 --> 00:05:40.323]  But no, Piers Morgan will not allow his career to be destroyed, because he knows, I will go in that ring and I will beat the living hell out of him.
[00:05:42.083 --> 00:05:43.764]  Oh man, I would love to get in there with him, just...
[00:05:47.332 --> 00:05:48.213]  Man, I would love it!
[00:05:49.033 --> 00:05:50.654]  So I know you're a coward, Morgan.
[00:05:52.054 --> 00:05:54.435]  You, the woman, and the other woman.
[00:05:54.635 --> 00:05:56.015]  I'll take on you and the two women.
[00:05:56.956 --> 00:05:58.476]  You and Buzz Bissinger and the other woman.
[00:05:59.737 --> 00:06:00.817]  That would add to it.
[00:06:01.077 --> 00:06:02.618]  Maybe we'd make a hundred mil.
[00:06:03.858 --> 00:06:04.538]  Give it to charity.
[00:06:05.379 --> 00:06:09.480]  We could give it to Salvation Army.
[00:06:09.520 --> 00:06:10.140]  How's that sound?
[00:06:10.160 --> 00:06:11.001]  You probably don't like that.
[00:06:11.021 --> 00:06:11.761]  That's a Christian group.
[00:06:12.748 --> 00:06:15.309]  In fact, you know what, you're a coward, but let me say this.
[00:06:15.630 --> 00:06:16.770]  They'll want to pay for it in Vegas.
[00:06:16.790 --> 00:06:26.075]  Let's say a third of it goes to the promoters, everybody, and then what's left, 90% goes to charity.
[00:06:26.716 --> 00:06:28.136]  You can have the money.
[00:06:28.917 --> 00:06:36.621]  You and the cowards that get in the ring, you can have 6, 7, 8%, whatever it comes out to, because you're not going to have a career anyways.
[00:06:36.641 --> 00:06:37.321]  You've already failed.
[00:06:37.621 --> 00:06:38.042]  So what?
[00:06:38.082 --> 00:06:40.303]  I'm going to beat you to pieces in the ring.
[00:06:42.446 --> 00:06:42.806]  So what?
[00:06:42.826 --> 00:06:44.087]  I'm going to totally dominate you.
[00:06:44.207 --> 00:06:45.307]  You're already washed up.
[00:06:46.988 --> 00:06:48.088]  Get in the ring.
[00:06:48.128 --> 00:06:49.069]  Folks, this is real.
[00:06:49.229 --> 00:06:49.869]  I'm serious.
[00:06:51.890 --> 00:06:53.110]  This is your last hurrah.
[00:06:53.170 --> 00:06:54.111]  Morgan, don't be scared.
[00:06:54.171 --> 00:06:55.051]  Get in the ring with me.
[00:06:55.611 --> 00:06:56.612]  You know it's all talk.
[00:06:56.932 --> 00:06:58.152]  Some redneck Texan.
[00:06:58.172 --> 00:07:00.573]  You're going to punch me one time.
[00:07:00.593 --> 00:07:03.034]  I'm going to fall over in a fetal position, bud.
[00:07:03.535 --> 00:07:04.295]  You know that.
[00:07:05.035 --> 00:07:06.056]  You know this is all talk.
[00:07:06.076 --> 00:07:09.117]  You know I'm actually deep down scared of getting in the ring with you.
[00:07:10.396 --> 00:07:13.777]  So I think the answer is Morgan, you need to get in the ring with me.
[00:07:14.177 --> 00:07:15.478]  Oh man, I wish he'd get in the ring with me.
[00:07:17.079 --> 00:07:19.900]  Oh man, I would just, I guarantee you.
[00:07:21.180 --> 00:07:23.421]  First shot, man, I'd have him half knocked out.
[00:07:23.461 --> 00:07:26.982]  I'd get him up against the ropes and just undercut full power, breaking that jaw.
[00:07:27.362 --> 00:07:28.563]  Just full hate power.
[00:07:28.743 --> 00:07:29.903]  Just full hate.
[00:07:30.524 --> 00:07:30.944]  Excuse me.
[00:07:31.164 --> 00:07:31.504]  Anyways.
[00:07:37.361 --> 00:07:41.483]  All right, I'm now kind of engaged in mental you-know-what on the air.
[00:07:43.684 --> 00:07:47.266]  And it is kind of like hatred porn, and I apologize, God, that I'm being like that.
[00:07:47.306 --> 00:07:54.269]  I shouldn't have moments of exquisite hatred for the coward, the filth, the enemy red coat who we've defeated.
[00:07:54.289 --> 00:08:02.313]  I just have such a, quite frankly, an unholy lust to defeat the enemy that I shouldn't be like that, and I apologize and repent.
[00:08:02.633 --> 00:08:04.334]  But I still will get in the ring with him.
[00:08:07.827 --> 00:08:09.408]  We're going to send this video to Piers Morgan.
[00:08:09.428 --> 00:08:12.809]  We're going to do a special report tonight on this, showing him saying he wants to kill me.
[00:08:13.209 --> 00:08:14.389]  Look, you want to kill me?
[00:08:14.969 --> 00:08:16.270]  There's your chance, buddy.
[00:08:16.890 --> 00:08:18.170]  Get in the ring with me.
[00:08:18.270 --> 00:08:19.151]  Get in the ring.
[00:08:19.251 --> 00:08:20.131]  Get in the ring.
[00:08:20.451 --> 00:08:22.092]  Get in the ring, coward!
[00:08:24.092 --> 00:08:26.013]  You and Buzz Bissinger.
[00:08:27.653 --> 00:08:28.794]  I was joking about the woman.
[00:08:31.234 --> 00:08:32.715]  Fighting one man and one woman is enough.
[00:08:33.632 --> 00:08:35.735]  And I want to say this right here, you think you're a tough guy?
[00:08:36.577 --> 00:08:41.644]  Have me back with a boxing ring in here, and I'll wear red, white, and blue, and you can wear your Jolly Roger.
[00:08:50.168 --> 00:08:58.010]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:08:58.290 --> 00:09:00.370]  All the major networks are state-run.
[00:09:00.510 --> 00:09:03.151]  We are partnering this year with the NFL.
[00:09:03.211 --> 00:09:07.312]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[00:09:07.632 --> 00:09:10.792]  MSNBC tells us that our children belong to the state.
[00:09:10.812 --> 00:09:18.054]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:09:18.234 --> 00:09:29.317]  The brainwashing media machine has been turned up on high and it's time for humanity to double down on the true people's media and strike back against the tyrants that are destroying our civilization with their lies and fraud.
[00:09:29.497 --> 00:09:30.877]  We are the resistance.
[00:09:31.158 --> 00:09:32.518]  You are the resistance.
[00:09:32.878 --> 00:09:34.438]  You are the info war.
[00:09:34.619 --> 00:09:38.740]  It is more important than ever to realize that we are not the alternative media.
[00:09:38.920 --> 00:09:40.580]  We are the true media.
[00:09:40.720 --> 00:09:43.321]  The establishment dinosaur press is dying.
[00:09:43.421 --> 00:09:47.002]  We are in an information war and we are losing that war.
[00:09:47.162 --> 00:09:51.284]  Join us at Infowarsnews.com and PrisonPlanet.tv.
[00:09:51.504 --> 00:09:54.366]  Members can share their memberships with up to 11 people.
[00:09:54.466 --> 00:10:02.050]  By subscribing, you will literally be buying war bonds in the Info War to expand our operation in the face of the tyrants.
[00:10:02.350 --> 00:10:04.071]  Join us at PrisonPlanet.tv.
[00:10:29.608 --> 00:10:31.009]  My friends, we have done it.
[00:10:31.649 --> 00:10:37.752]  With Dr. Group's help, we have developed the ultimate male vitality supplement with eight concentrated super herbs.
[00:10:38.392 --> 00:10:43.894]  This is the answer to the globalist war on male vitality with the estrogen mimickers they've added to the food and the water supply.
[00:10:44.194 --> 00:10:50.437]  And now our test pilot, our Chuck Yeager, Dr. Edward Group, is here to test his greatest invention.
[00:10:50.637 --> 00:10:50.997]  Doctor?
[00:10:51.918 --> 00:10:52.578]  Thank you, Alex.
[00:10:52.958 --> 00:10:57.420]  I will now take two droppers to test this ultimate male vitality formula.
[00:11:00.336 --> 00:11:03.563]  Ladies and gentlemen, this is a momentous moment.
[00:11:03.583 --> 00:11:05.407]  Thank you, Dr. Group.
[00:11:06.309 --> 00:11:08.594]  I will activate my muscles by doing push-ups.
[00:11:09.309 --> 00:11:10.430]  Ladies and gentlemen, this is it.
[00:11:11.151 --> 00:11:11.891]  This is the move.
[00:11:11.931 --> 00:11:13.373]  This is unprecedented.
[00:11:13.393 --> 00:11:16.175]  Ladies and gentlemen, we're going to see what happens right now.
[00:11:16.195 --> 00:11:17.096]  Oh my God!
[00:11:17.116 --> 00:11:17.957]  What the hell!
[00:11:18.137 --> 00:11:18.918]  Wait, wait, wait, wait!
[00:11:19.118 --> 00:11:19.799]  Get out of here!
[00:11:19.819 --> 00:11:20.339]  Shut this down!
[00:11:20.359 --> 00:11:21.140]  This is not safe!
[00:11:21.420 --> 00:11:21.620]  Hold on!
[00:11:21.640 --> 00:11:23.502]  Settle down!
[00:11:23.682 --> 00:11:24.423]  Get another doctor!
[00:11:24.483 --> 00:11:25.023]  Something's wrong!
[00:11:25.284 --> 00:11:25.944]  Something's wrong with him!
[00:11:25.964 --> 00:11:26.485]  Help him!
[00:11:26.505 --> 00:11:28.547]  Ladies and gentlemen, we did not intend for that to happen.
[00:11:28.627 --> 00:11:29.487]  I take it personally.
[00:11:29.708 --> 00:11:30.849]  Do not have those problems.
[00:11:31.489 --> 00:11:35.271]  Again, these are authorized herbs, well known to be safe.
[00:11:36.091 --> 00:11:37.652]  And please, doctor!
[00:11:38.072 --> 00:11:38.933]  Doctor, wait a minute!
[00:11:39.113 --> 00:11:41.794]  Ladies and gentlemen, we're just going to cut to commercial for just a moment.
[00:11:42.014 --> 00:11:42.515]  Cut, cut, cut!
[00:11:42.575 --> 00:11:47.337]  Get everybody out of here!
[00:11:48.057 --> 00:11:49.278]  Super male vitality.
[00:11:49.838 --> 00:11:50.439]  It's awesome.
[00:11:50.899 --> 00:11:52.700]  Just not this awesome.
[00:11:55.120 --> 00:11:57.842]  Ladies and gentlemen, the dramatization you've just seen is just that.
[00:11:58.422 --> 00:12:04.405]  It is satire to illustrate in a satirical way the incredible power of super male vitality.
[00:12:05.563 --> 00:12:13.589]  It will not turn you into Conan the Barbarian, but it will help block some of the estrogen mimickers and reportedly let your glands produce the natural hormones your body needs.
[00:12:14.090 --> 00:12:18.073]  It also does have some other side effects in the human testing that we discovered, ladies and gentlemen.
[00:12:18.093 --> 00:12:21.495]  I'm about to illustrate right now what that is.
[00:12:22.116 --> 00:12:22.976]  Let's see if I can do it again.
[00:12:23.036 --> 00:12:23.957]  It takes some focus.
[00:12:24.758 --> 00:12:26.019]  Up, up, and away!
[00:12:33.648 --> 00:12:38.125]  Start your journey to super male vitality today at InfoWarsLife.com
