[00:00:01.672 --> 00:00:02.834]  Coast to coast.
[00:06:11.112 --> 00:06:12.173]  In the near future.
[00:06:12.453 --> 00:06:16.596]  When you realize how fake it all is, the football, the basketball.
[00:06:16.956 --> 00:06:17.977]  Security alert.
[00:06:18.177 --> 00:06:19.919]  This is Homeland Security.
[00:06:20.179 --> 00:06:20.819]  Analysis.
[00:06:21.079 --> 00:06:21.720]  InfoWars.
[00:06:21.800 --> 00:06:23.741]  Building independent media operations.
[00:06:23.781 --> 00:06:28.745]  You let the worst people get controlled and tell us that we are the ones responsible.
[00:06:28.785 --> 00:06:29.746]  Prime Directive.
[00:06:29.806 --> 00:06:31.227]  Discredit Alex Jones.
[00:06:31.347 --> 00:06:34.149]  Jones is the wildly popular conspiracy theorist.
[00:06:34.209 --> 00:06:37.271]  A popular conspiracy theory talk show called InfoWars.
[00:06:37.452 --> 00:06:39.693]  Alex Jones is now in an Austin jail.
[00:06:39.753 --> 00:06:40.474]  These people are a
[00:06:40.694 --> 00:06:42.675]  They're never going to stop.
[00:06:42.875 --> 00:06:48.117]  They're never going to deviate from their program until we stop them.
[00:06:48.237 --> 00:06:56.339]  You've got to set your eye on the enemy, not worry about what propaganda they put out.
[00:06:57.040 --> 00:07:03.302]  Intellectually, it's begun and you can feel it.
[00:07:10.302 --> 00:07:11.402]  Open your eyes.
[00:07:11.823 --> 00:07:14.744]  It's time to give your eyes a powerful nutritional boost.
[00:07:15.244 --> 00:07:21.406]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
[00:07:21.726 --> 00:07:29.669]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[00:07:30.069 --> 00:07:31.190]  Open your eyes!
[00:07:31.470 --> 00:07:46.461]  Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more, Occupower by InfoWars Life is the new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[00:07:47.061 --> 00:07:54.566]  Optimize the natural power of your eyes with the latest addition to the super high quality InfoWars live formulations, Occupower.
[00:07:54.806 --> 00:08:00.050]  Go to InfoWarsLife.com or InfoWarsStore.com to order Occupower.
[00:08:00.330 --> 00:08:02.692]  Or call 1-888-253-3139.
[00:08:02.832 --> 00:08:04.813]  Occupower.
[00:08:05.253 --> 00:08:06.734]  Open your eyes.
[00:08:09.916 --> 00:08:15.440]  Last night on my orders, America's armed forces began strikes against ISIL targets in Syria.
[00:08:16.857 --> 00:08:19.899]  America!
[00:08:20.139 --> 00:08:22.000]  America!
[00:08:22.161 --> 00:08:24.402]  America!
[00:08:24.642 --> 00:08:27.124]  America!
[00:08:55.945 --> 00:08:58.586]  The people we are fighting today, we funded.
[00:08:59.146 --> 00:09:01.266]  Waging war on corruption.
[00:09:01.806 --> 00:09:06.868]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:09:09.628 --> 00:09:16.890]  ISIS has grabbed up from the US, from the Saudis, from the Qataris, weapons by the truckload.
[00:09:17.770 --> 00:09:23.972]  And we are now forced to fight against our own weapons, and this body wants to throw more weapons into the mix.
[00:09:35.165 --> 00:09:35.386]  Yeah.
[00:09:42.247 --> 00:09:44.609]  We're live, ladies and gentlemen, locked and loaded.
[00:09:44.669 --> 00:10:01.863]  It is Wednesday, the 24th day of September, 2014, and our news director and great graphics designer, Rob Dew, if you're a TV viewer, just put out that little video intro promo that we just premiered to kick off the official transmission here today.
[00:10:02.323 --> 00:10:05.525]  We had some guests lined up, but I went ahead and had the decks cleared.
[00:10:06.351 --> 00:10:08.612]  Because I want to cover news in depth.
[00:10:08.632 --> 00:10:34.483]  I want to play big pieces of Obama's UN speech today and analyze it from invoking Ferguson, that America is a horrible police state, while they push the police state, to saying that they're going to save the world from ISIS and Khorasan, and they're going to save the world with global carbon taxes and taking over your cell phones and the internet with all sorts of climate change fear-mongering alerts.
[00:10:35.478 --> 00:10:41.655]  See, I told you the Amber Alerts start with kidnapped kids and flash floods and wildfires.
[00:10:41.696 --> 00:10:42.357]  Sounds reasonable.
[00:10:42.879 --> 00:10:43.681]  But the plan...
[00:10:44.946 --> 00:11:11.703]  Since 1997, when I learned about it from the Texas Association of Broadcasters, where I was talking to one of their high-level people, he put me in touch with some engineers, and then they gave me the restricted documents that I made a film about, Police State 2000, where they were already getting them ready then, saying, government's going to take over hours of programming a day, we're going to jack into radio and TV, we're going to jack into the Internet,
[00:11:12.526 --> 00:11:16.710]  And there's going to be smartphones in the future, little handheld computers.
[00:11:18.672 --> 00:11:23.036]  And we are going to force our programming over it for the public service.
[00:11:23.116 --> 00:11:26.059]  No more will you play public service announcements.
[00:11:26.379 --> 00:11:28.581]  That'll still happen, but it won't just be that.
[00:11:28.921 --> 00:11:31.063]  We will take over when we want.
[00:11:33.365 --> 00:11:37.929]  Now, people watched Police Day 2000, about 20 minutes of the two-hour film got into that.
[00:11:38.755 --> 00:11:39.556]  I thought, this is crazy.
[00:11:39.956 --> 00:11:55.970]  Even though I showed the EAS machines, even though I showed the secret documents, even though they actually, at the time, fired, figured out who one of the engineers was, and fired him over it.
[00:11:57.131 --> 00:12:00.193]  I've never told this story, and he blew his head off.
[00:12:02.235 --> 00:12:04.017]  That's how screwed up this country is.
[00:12:06.510 --> 00:12:08.531]  This guy managed 10 stations in town.
[00:12:10.032 --> 00:12:11.973]  Blew his head off.
[00:12:12.973 --> 00:12:16.995]  So that's what people have gone through, just so we can tell you what's coming before it happens.
[00:12:17.475 --> 00:12:20.477]  So don't let this be pearls before swine here, ladies and gentlemen.
[00:12:21.297 --> 00:12:24.779]  They don't want you knowing this intel before it's rolled out, okay?
[00:12:26.860 --> 00:12:36.105]  And now they've announced, NOAA has come out, the National Oceanic Atmospheric
[00:12:37.108 --> 00:12:46.232]  Administration, I think that's what it stands for, and is saying in a press release, we're going to be giving you climate change, global warming, scare tactic, written by Al Gore, alerts.
[00:12:48.513 --> 00:13:06.380]  They already have little kids in the US and Australia, you can pull this up, counting their carbon calories and deciding when to die, and if they don't decide to commit suicide, I'm not making, this is ABC News, you can pull it up, then little animals die and blood squirts out of baby pigs and chickens.
[00:13:07.674 --> 00:13:09.756]  Dear new listener, I'm not joking.
[00:13:10.036 --> 00:13:11.598]  You can't make this up.
[00:13:12.900 --> 00:13:14.641]  You can't make up 2 plus 2 equals 5.
[00:13:18.007 --> 00:13:19.087]  Other Common Core stuff.
[00:13:19.927 --> 00:13:21.028]  7 plus 3 equals 11.
[00:13:21.508 --> 00:13:24.808]  7 plus 8 equals, you know, wrong numbers.
[00:13:25.449 --> 00:13:33.570]  This is about them getting away with committing crime out in the open to trample us underfoot and break our will.
[00:13:33.810 --> 00:13:39.251]  And that's the admitted policy of saying, I'm going to open the borders up without even an executive order.
[00:13:39.712 --> 00:13:41.632]  That would be illegal, but just forget the executive order.
[00:13:42.924 --> 00:13:48.529]  I'm going to execute carbon taxes and shut down half our power plants when Congress says no and votes it down.
[00:13:48.870 --> 00:13:49.550]  Just because I feel like it.
[00:13:49.831 --> 00:13:53.034]  I'm going to launch strikes even though Congress says they'll authorize.
[00:13:53.394 --> 00:13:55.456]  I don't need your authorization.
[00:14:02.523 --> 00:14:03.824]  That's what this is all about.
[00:14:05.472 --> 00:14:12.856]  That's what it's all about, is completely training us to accept anything and everything.
[00:14:13.096 --> 00:14:15.817]  Kind of like, oh, the NSA isn't spying on anybody without a warrant.
[00:14:16.037 --> 00:14:18.118]  Then it comes out they're spying on everything.
[00:14:18.138 --> 00:14:23.901]  And then people find secret cell phone towers up everywhere, stealing our data in live time.
[00:14:23.921 --> 00:14:29.224]  And the FBI comes out on national television and says, it must be hackers.
[00:14:29.544 --> 00:14:34.647]  And then of course it comes out in the Associated Press that they've, and the Washington Post, yesterday,
[00:14:35.672 --> 00:14:40.774]  That they've ordered the police departments to lie to the public when people say, what are these?
[00:14:41.734 --> 00:14:45.175]  That is called an organized crime conspiracy.
[00:14:45.675 --> 00:14:47.396]  A racketeering operation 101.
[00:14:49.917 --> 00:14:51.217]  A criminal state.
[00:14:53.158 --> 00:14:56.299]  And I want to be clear, this is the administration doing this and the power structure.
[00:14:58.561 --> 00:15:06.426]  The federal marshals, the FBI, the Secret Service are all completely freaked out about this, and they're the ones being spied on.
[00:15:06.726 --> 00:15:08.087]  They're the ones being set up.
[00:15:08.508 --> 00:15:14.712]  The officers at the Pentagon get called into briefings, just come out in the news and say, all 10,000 of you have been found with child porn on your computer.
[00:15:15.012 --> 00:15:15.993]  And they go, excuse me?
[00:15:16.253 --> 00:15:20.636]  We didn't, doesn't matter, it's on your computer, so you play ball or you're going to be indicted.
[00:15:24.093 --> 00:15:26.295]  See, all this hacking is two ways, folks.
[00:15:26.916 --> 00:15:34.363]  All these chips already on the computers from Intel and Microsoft has come out that are remote controlled by design.
[00:15:34.623 --> 00:15:36.985]  They don't even need to be plugged into the internet or wireless.
[00:15:37.566 --> 00:15:40.609]  They can be controlled by the cell signals.
[00:15:41.990 --> 00:15:43.672]  We told you that seven years ago.
[00:15:44.673 --> 00:15:47.796]  Because the engineers brought us the documents seven years ago.
[00:15:48.056 --> 00:15:56.284]  It was in the news in January of this year that, oh, new Intel chips can be energized from a distance under a secret NSA contract.
[00:15:56.784 --> 00:15:58.165]  It's not new.
[00:15:58.526 --> 00:16:00.467]  We're not in Kansas anymore.
[00:16:01.188 --> 00:16:03.370]  That's what I keep trying to get through to people.
[00:16:03.410 --> 00:16:03.811]  There it is.
[00:16:04.271 --> 00:16:08.315]  Secret G3 Intel chip gives Snoops backdoor PC access.
[00:16:17.369 --> 00:16:18.910]  People want me to give the name out of the engineer?
[00:16:20.411 --> 00:16:20.712]  You know what?
[00:16:21.652 --> 00:16:23.914]  The family asked me not to talk about it when he blew his head off.
[00:16:24.955 --> 00:16:25.875]  Fourteen years ago.
[00:16:26.015 --> 00:16:26.636]  Fifteen years ago.
[00:16:26.656 --> 00:16:28.097]  No, it was fifteen years ago.
[00:16:28.778 --> 00:16:29.818]  But it's been fifteen years.
[00:16:30.339 --> 00:16:31.419]  Maybe I should talk about it.
[00:16:32.280 --> 00:16:33.041]  Talk about Kevin.
[00:16:34.682 --> 00:16:36.123]  Who was in those meetings with the feds.
[00:16:37.684 --> 00:16:39.686]  And then everybody else was just so scared.
[00:16:39.766 --> 00:16:43.929]  And then he spoke out and then they fired him and then he went bankrupt a year later and he blew his head off.
[00:16:44.838 --> 00:16:53.001]  People, people, people, people basically were forced to suicide over this just basic information in America that you should know the preachers are government spies.
[00:16:53.361 --> 00:16:55.122]  You should know their government program.
[00:16:55.302 --> 00:16:56.843]  You should know about InfraGard.
[00:16:57.103 --> 00:16:58.623]  You should know about all this.
[00:16:58.683 --> 00:16:59.324]  You have a right.
[00:16:59.524 --> 00:17:01.464]  This is a scientific takeover.
[00:17:01.725 --> 00:17:02.465]  It's evil.
[00:17:02.865 --> 00:17:05.226]  People say, oh you have so much courage to fight it Alex, thank you.
[00:17:05.546 --> 00:17:06.146]  Courage?
[00:17:06.827 --> 00:17:12.570]  I'd have to be the most crazy brave person on earth not to fight this.
[00:17:13.050 --> 00:17:15.932]  That's why I don't want people calling and complimenting me ever again.
[00:17:17.573 --> 00:17:19.334]  What I'm doing is what you're supposed to do.
[00:17:21.935 --> 00:17:24.837]  I'll tell the story about raccoons in the garage multiple times.
[00:17:26.357 --> 00:17:32.461]  Usually come in your garage, you forget, leave it open, they're in there in the dog food, pull home, you know, late at night, garage door's left open.
[00:17:33.929 --> 00:17:37.053]  Walk out in the morning, and there's a whole family of raccoons in your thing.
[00:17:37.113 --> 00:17:38.675]  As long as you're nice to them, they'll run off.
[00:17:38.715 --> 00:17:42.759]  But if they feel cornered, they're completely vicious.
[00:17:44.338 --> 00:17:46.039]  It's not that they have courage.
[00:17:46.199 --> 00:17:48.861]  It's that they are alive and have their basic instincts.
[00:17:49.602 --> 00:17:50.783]  We're cornered, folks.
[00:17:51.103 --> 00:17:52.444]  I'm not looking for a fight.
[00:17:52.764 --> 00:17:54.425]  I don't want to be in these criminals' face.
[00:17:54.746 --> 00:17:55.606]  I don't have a choice.
[00:17:55.846 --> 00:17:56.587]  Have you figured that out?
[00:17:56.827 --> 00:17:58.548]  They're not going to leave anything standing.
[00:17:58.769 --> 00:18:02.371]  It's a full takeover because criminals have to destroy good.
[00:18:02.731 --> 00:18:04.693]  Criminals have to destroy checks and balances.
[00:18:04.993 --> 00:18:08.616]  Criminals have to destroy honor and dignity and good people.
[00:18:09.765 --> 00:18:12.227]  Even if you don't think you're good, you are compared to these people.
[00:18:12.487 --> 00:18:17.291]  They want a system of total oppression because they believe it's the only system they're safe in.
[00:18:19.092 --> 00:18:23.715]  Now they're really ignorant because historically, tyrannies end up destroying the people that set it up every time.
[00:18:24.135 --> 00:18:25.557]  It's the most unstable system.
[00:18:25.877 --> 00:18:27.758]  But it's their instinct that's twisted.
[00:18:27.998 --> 00:18:28.719]  It's what they do.
[00:18:30.993 --> 00:18:33.074]  And I've only covered like one article so far.
[00:18:33.954 --> 00:18:42.318]  It's the fact that now I'm going to get deadly extreme climate due to climate change and global warming from the government.
[00:18:42.939 --> 00:18:49.102]  And then you read articles about Google restricting conservatives on the web and saying, well, Microsoft already banned them.
[00:18:49.362 --> 00:18:51.543]  We won't stand for climate change denial.
[00:18:52.503 --> 00:18:55.985]  And there's a total consensus.
[00:18:56.245 --> 00:19:00.007]  No scientist disagrees that man-made global warming is happening.
[00:19:01.186 --> 00:19:02.647]  They've got international polls out.
[00:19:03.327 --> 00:19:12.253]  The vast majority say it's a complete flaming fraud, but they set up there on the news saying, no, everyone agrees.
[00:19:13.694 --> 00:19:16.095]  Not one scientist.
[00:19:18.857 --> 00:19:20.738]  The funny thing is, though, the LA Times came out.
[00:19:22.284 --> 00:19:23.185]  And said it's pure bull.
[00:19:23.825 --> 00:19:37.696]  Because now, if you look at the different studies and numbers, over 90% of real scientists, climatologists, planetologists, you could call them, astrophysicists, meteorologists, say it has nothing to do with carbon dioxide.
[00:19:37.716 --> 00:19:38.477]  And the graphs show that.
[00:19:38.777 --> 00:19:45.743]  When it heats, carbon dioxide goes up a year later, because there's more life, there's more plants, they're releasing more oxygen and carbon dioxide.
[00:19:47.944 --> 00:19:49.706]  They release more carbon dioxide, we release
[00:19:52.608 --> 00:19:56.129]  We release carbon dioxide, they release oxygen.
[00:19:56.770 --> 00:19:57.770]  And it's the carbon cycle.
[00:19:58.250 --> 00:19:59.831]  It's just so ridiculous!
[00:19:59.991 --> 00:20:05.413]  Alright, we're gonna come back, get into all the news, open the phones up, get into Obama's UN address.
[00:20:05.453 --> 00:20:06.654]  It is off the chart evil.
[00:20:07.054 --> 00:20:07.774]  I'm Alex Jones.
[00:20:07.794 --> 00:20:08.195]  Stay with us.
[00:20:10.464 --> 00:20:13.447]  You heard the discussions all over the radio.
[00:20:13.707 --> 00:20:15.770]  You couldn't believe what you were hearing.
[00:20:16.190 --> 00:20:17.131]  You trusted them.
[00:20:17.652 --> 00:20:18.833]  You felt betrayed.
[00:20:19.313 --> 00:20:21.455]  Your emotions began to consume you.
[00:20:21.956 --> 00:20:22.957]  Outrage set in.
[00:20:23.357 --> 00:20:24.679]  Then, nothing.
[00:20:25.039 --> 00:20:26.981]  Days turned to weeks and months.
[00:20:27.281 --> 00:20:27.462]  Then...
[00:20:29.043 --> 00:20:29.944]  But they haven't.
[00:20:30.144 --> 00:20:33.107]  They're still monitoring your every move.
[00:20:33.447 --> 00:20:34.107]  It's coming.
[00:20:34.187 --> 00:20:35.148]  What's coming?
[00:20:35.188 --> 00:20:37.430]  MonitorBlocketPocket.com.
[00:20:37.770 --> 00:20:39.532]  Or will you forget?
[00:20:40.012 --> 00:20:42.474]  Are you ready to surrender your right to buy body armor?
[00:20:42.734 --> 00:20:43.395]  No joke.
[00:20:43.515 --> 00:20:46.137]  Congress is now trying to outlaw civilian body armor.
[00:20:46.197 --> 00:20:53.183]  And if House Bill HR 5344 becomes law, you can kiss your right to protect yourself against rifle bullets goodbye.
[00:20:53.323 --> 00:20:55.965]  Don't put off your body armor purchase any longer.
[00:20:56.125 --> 00:20:58.347]  Go now to InfidelBodyArmor.com.
[00:20:58.607 --> 00:21:02.390]  Thousands of military veterans trust their lives to infidel body armor.
[00:21:02.511 --> 00:21:03.371]  You should too.
[00:21:03.632 --> 00:21:06.374]  Spelled I-N-F-I-D-E-L.
[00:21:06.614 --> 00:21:07.995]  Infidel body armor.
[00:21:08.056 --> 00:21:09.217]  Just won't quit.
[00:21:09.657 --> 00:21:12.379]  Americans, prepare for financial ruin.
[00:21:12.840 --> 00:21:16.723]  That is what one of the world's richest men, Donald Trump, said just a few weeks ago.
[00:21:17.004 --> 00:21:18.285]  What are you doing to prepare?
[00:21:18.305 --> 00:21:21.688]  The problems that caused the last financial crisis were never fixed.
[00:21:22.148 --> 00:21:23.508]  In fact, they're even worse now.
[00:21:23.708 --> 00:21:25.129]  The total amount of debt in the U.S.
[00:21:25.149 --> 00:21:28.330]  has grown by more than 57% since September 2008.
[00:21:28.710 --> 00:21:40.753]  The too-big-to-fail banks are much larger, and the massive derivatives bubble is spiraling so far out of control that the only thing left to do is watch the spectacular crash landing that is inevitably coming.
[00:21:41.073 --> 00:21:49.216]  If you're a baby boomer with retirement funds, it's time you consider exiting the Wall Street casino and start a cash-flowing international business of your own.
[00:21:49.456 --> 00:21:55.679]  There may be ways to preserve your wealth, but history has shown that few things can grow your wealth like having your own business.
[00:21:55.899 --> 00:21:56.859]  The crash is coming.
[00:21:57.159 --> 00:21:59.440]  Take measures now to soften the landing.
[00:21:59.741 --> 00:22:02.462]  Go to BabyBoomerBackupPlan.com or call 888-507-8789.
[00:22:02.522 --> 00:22:04.082]  That's BabyBoomerBackupPlan.com.
[00:22:13.516 --> 00:22:15.157]  Curious about what comes next?
[00:22:15.937 --> 00:22:22.159]  Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[00:22:22.640 --> 00:22:25.661]  Fool the bad guys with a new improved fake TV.
[00:22:26.001 --> 00:22:32.263]  You asked for it, we listened, and we made our new fake TV three times brighter than our previous model.
[00:22:32.483 --> 00:22:35.825]  The brightness of our new fake TV is equivalent to a 40-inch TV.
[00:22:36.565 --> 00:22:41.366]  It simulates the color and motion of a real TV while you're away from home.
[00:22:41.886 --> 00:22:48.007]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[00:22:48.347 --> 00:22:52.768]  The new, brighter fake TV is only $39.95 and includes free shipping.
[00:22:53.148 --> 00:22:55.828]  Go to faketv.com or call 1-877-5-FAKE-TV.
[00:22:55.888 --> 00:22:56.188]  That's 877-532-5388.
[00:22:56.248 --> 00:22:57.609]  Or go to faketv.com.
[00:23:05.391 --> 00:23:06.258]  Fake TV.
[00:23:06.661 --> 00:23:07.849]  The Burglar Deterrent.
[00:23:08.908 --> 00:23:09.288]  Question.
[00:23:09.669 --> 00:23:13.892]  Could too many GMO foods and toxins be overloading your digestive and immune systems?
[00:23:14.452 --> 00:23:15.293]  Answer, yes.
[00:23:15.713 --> 00:23:21.478]  If you're searching for a powerful detox that's gentle enough to use every day, use Pro-EM-1 from Teriganics.
[00:23:21.958 --> 00:23:29.183]  Pro-EM-1 is a powerful liquid probiotic that uses good bacteria to suppress pathogens and gently eliminate toxins from your body.
[00:23:29.524 --> 00:23:37.550]  A healthy digestive system will cleanse and remove toxins, support weight loss, improve absorption of food nutrients, and aid in controlling yeast and other infections.
[00:23:37.850 --> 00:23:45.534]  Pro-EM1 is made with only non-GMO and certified organic ingredients, has no preservatives, and is dairy, soy, wheat, and gluten-free.
[00:23:45.794 --> 00:23:48.155]  Pro-EM1 is the key to your digestive health.
[00:23:48.535 --> 00:23:52.397]  Order Pro-EM1 Daily Probiotic Cleanse at Terragonics.com.
[00:23:52.437 --> 00:23:55.519]  Spelled T-E-R-A-G-A-N-I-X dot com.
[00:23:55.779 --> 00:23:56.640]  Or call toll free 866-369-3678.
[00:23:56.720 --> 00:23:57.000]  That's 866-369-3678.
[00:23:57.020 --> 00:23:58.260]  Also available through Amazon Prime.
[00:23:58.280 --> 00:23:58.841]  Pro-EM1 from Terragonics.
[00:23:58.861 --> 00:23:59.841]  Life's getting better.
[00:24:16.784 --> 00:24:18.245]  Alex Jones here back live.
[00:24:18.505 --> 00:24:22.027]  If I'm getting a little bit hysterical, it's because we should be hysterical.
[00:24:23.307 --> 00:24:26.669]  We won't get out of this by laying down and going along with the system anymore.
[00:24:28.250 --> 00:24:37.675]  If you study human activity, human populations, we know the cycles that countries, people, civilizations go through.
[00:24:39.596 --> 00:24:45.199]  You look at the cycle we're in, every major historian, every major analyst now concurs
[00:24:46.038 --> 00:25:03.994]  With what Ron Paul and myself and Bob Chapman and Gerald Salente and John Williams and Mark Faber and Jim Rogers and so many other people were saying 30 years ago, 20 years ago, 15 years ago.
[00:25:07.625 --> 00:25:20.009]  It's not hard to know that if you start deficit spending and you start accelerating fiat currency printing, that it may be 20 years, it may be 50 years, you will go Weimar Republic hyperinflation.
[00:25:20.929 --> 00:25:22.710]  You will go Zimbabwe inflation.
[00:25:27.728 --> 00:25:37.414]  And the system has been doing this on purpose, gearing up the police state, gearing up the apparatus of state control, gearing up a system of oppression.
[00:25:39.235 --> 00:25:46.140]  And it'd be bad enough if they'd done this on purpose to consolidate control, and then were just getting ready for all the poor people they had to corral.
[00:25:46.400 --> 00:25:46.840]  Uh-uh.
[00:25:48.742 --> 00:25:57.027]  They're getting ready to use the collapse to bring in total totalitarianism to target the intelligentsia.
[00:26:00.731 --> 00:26:05.475]  Because the elite want everything for themselves, the life extension technologies.
