[00:00:08.120 --> 00:00:12.582]  Well, with flu season in full effect, the push for vaccination is really intense.
[00:04:45.711 --> 00:04:53.295]  Yeah, the pregnant women have to avoid all the live viruses, but the inactivated ones, which most of them do contain mercury, are safe.
[00:04:55.768 --> 00:05:02.252]  And while the increase in vaccinations is wiping out some viruses, new superbugs are popping up to replace them.
[00:05:02.652 --> 00:05:04.453]  You know, you can't fool Mother Nature.
[00:05:04.613 --> 00:05:10.977]  And as you start to eliminate certain bacteria by the vaccines, other bacteria and viruses fill in the gap.
[00:05:11.397 --> 00:05:19.822]  So what do you have to say about this thing where it says, like, if I get the flu shot, it can increase my chance of getting a different kind of flu?
[00:05:22.235 --> 00:05:35.633]  For example, they have now shown and discovered in research articles that the pertussis vaccine, which has been eliminating the pertussis bacteria, and we've been seeing the increased rates of pertussis going up.
[00:05:36.033 --> 00:05:37.574]  They've been trying to figure out why that is.
[00:05:37.634 --> 00:05:52.999]  Well, there was an article that came out a couple of weeks ago that said that because the pertussis vaccine eliminates the Bordetella pertussis bacteria, it has created a gap in which another bacteria called Bordetella parapertussis is filling in the gap.
[00:05:53.519 --> 00:06:05.788]  And now that they're finding that that bacteria may have, that Bordetella parapertussis, may have increased more than 40 times in these children that have had a pertussis vaccine.
[00:06:06.168 --> 00:06:12.152]  So now they are developing whooping cough or symptoms that look like whooping cough, but maybe not quite as severe as whooping cough.
[00:06:12.552 --> 00:06:16.455]  And they're finding that it's being caused by this new bacteria called parapertussis.
[00:06:16.875 --> 00:06:21.160]  And I think that's happening with all of the Prevnar vaccines for strep.
[00:06:21.260 --> 00:06:31.151]  It certainly happened for Hib that as we eliminated Haemophilus influenzae B, there are more strains of that bacteria falling in the gap that are more stronger and more virulent.
[00:06:31.732 --> 00:06:41.900]  So why on earth are they pushing these untested vaccines that are at best 70% effective against some viruses and at worst are creating new superbugs?
[00:06:42.381 --> 00:06:49.086]  When I started into this back in September of 2000, the vaccine industry was about a $10 billion of your industry.
[00:06:49.506 --> 00:06:51.688]  Now it's in the $30 to $60 billion.
[00:06:51.748 --> 00:06:54.851]  Some of the vaccines are making $5 to $10 billion on their own.
[00:06:55.291 --> 00:06:57.673]  The point is, all vaccines come with risks.
[00:06:57.893 --> 00:07:05.158]  So, unless you want to be a paying beta tester for Big Pharma's failed experiments, research the dangers for yourself.
[00:07:05.318 --> 00:07:11.182]  Decide if it's right for you, because even well-meaning healthcare practitioners might not have all the facts.
