[00:00:00.069 --> 00:00:00.450]  Free!
[00:06:18.891 --> 00:06:19.872]  You want answers?
[00:06:20.472 --> 00:06:21.493]  Well, so does he.
[00:06:21.773 --> 00:06:26.236]  Live from the Infowars.com studios, it's Alex Jones.
[00:06:49.810 --> 00:06:51.030]  Welcome to the Alex Jones Show.
[00:06:51.090 --> 00:06:52.711]  I'm David Knight on this Sunday, June 8, 2014.
[00:06:52.871 --> 00:07:01.753]  I'm going to be joined by Alex in a special report about what's really going on with this overwhelming immigration.
[00:07:01.773 --> 00:07:06.274]  Of course, there's a lot of information in the news about people just bringing their children to the United States.
[00:07:06.314 --> 00:07:07.675]  They say, take them to the United States.
[00:07:07.715 --> 00:07:08.735]  They will not be refused.
[00:07:09.395 --> 00:07:12.096]  They think that their children are going to be educated here.
[00:07:12.156 --> 00:07:13.476]  They think they're going to be safe here.
[00:07:13.536 --> 00:07:16.397]  They need to think again, as I just mentioned in the first segment.
[00:07:16.417 --> 00:07:23.579]  I've seen this before in Hong Kong, where when Disneyland opened up in Hong Kong, people just took their children to Disneyland.
[00:07:23.599 --> 00:07:25.600]  If they couldn't get in, they just dropped them over the gate.
[00:07:26.400 --> 00:07:29.321]  That's not going to work in the United States.
[00:07:29.361 --> 00:07:38.324]  We've got information about child pedophile rings that's breaking in Virginia, as well as the overall plan of the globalists, and how they're going to not only
[00:07:39.224 --> 00:07:44.647]  Replace American workers, but they're going to replace any service workers with robots.
[00:07:44.767 --> 00:07:47.228]  This is something that they've planned for a long time.
[00:07:47.308 --> 00:07:48.729]  Alex is going to break that down for us.
[00:07:48.749 --> 00:07:54.271]  But first I want to go into the story that just broke this last Friday after our show.
[00:07:54.871 --> 00:07:55.812]  Paul Joseph Watson.
[00:07:56.052 --> 00:07:56.412]  We're good to go.
[00:08:15.410 --> 00:08:23.254]  Now, of course, if they're going to do that to the banks, you know that the banks are going to push that along, plus add additional fees to that for their own customers.
[00:08:23.314 --> 00:08:24.455]  It's just a matter of time.
[00:08:25.015 --> 00:08:32.259]  But Paul, in the article, quoted a couple of economists here in the United States that point out that, of course, it's inevitable that's going to come to the United States as well.
[00:08:32.499 --> 00:08:34.460]  Question is, when and in what form?
[00:08:35.020 --> 00:08:39.944]  In the article he says, banks in the EU have not indicated whether or not the costs will be passed on to consumers.
[00:08:40.385 --> 00:08:43.567]  But the New York Times' Neil Irwin says it's inevitable.
[00:08:43.608 --> 00:08:47.371]  He says they're going to pass on these negative interest rates to consumers, or at least try to.
[00:08:47.871 --> 00:08:51.534]  They may do so, probably not by explicitly charging them interest rates.
[00:08:51.554 --> 00:08:55.798]  In other words, they're not going to put an item, they're not going to say that they're going to give you a negative interest rate.
[00:08:55.858 --> 00:08:57.420]  That would just annoy people, of course.
[00:08:57.440 --> 00:08:58.901]  They're going to be much more subtle about it.
[00:08:59.301 --> 00:09:03.385]  They're going to add new fees, or they're going to increase the amount of account maintenance fees.
[00:09:03.425 --> 00:09:05.247]  That's always been the case in the past.
[00:09:05.967 --> 00:09:08.129]  Just look at how your bank fees have escalated.
[00:09:08.149 --> 00:09:09.430]  We ought to do an article about that.
[00:09:09.490 --> 00:09:15.015]  We ought to go in and look at the escalating charges for every service that the banks provide.
[00:09:15.456 --> 00:09:19.740]  But then he also quotes another economist, Martin Armstrong, and he points out in the article that Armstrong
[00:09:20.240 --> 00:09:23.823]  Call the 1987 economic crash to the very day.
[00:09:23.843 --> 00:09:27.345]  And he says that banks are preparing for a raft of new account fees.
[00:09:27.385 --> 00:09:28.125]  He said in the U.S.
[00:09:28.486 --> 00:09:38.452]  we're more than likely, more likely than not, we're going to get negative interest rates directly passed on to consumers by the banks who will now claim that it's the feds that are making them do it.
[00:09:38.612 --> 00:09:42.815]  Because the feds will raise it on the banks and then they'll say we've got to pass those rates along to you.
[00:09:42.855 --> 00:09:43.876]  So you want to get your money out?
[00:09:44.276 --> 00:09:46.738]  You want to get your money out of the bank and put it in a mattress?
[00:09:47.538 --> 00:09:48.419]  Well, guess again.
[00:09:48.579 --> 00:09:49.840]  Because we got another article up.
[00:09:50.560 --> 00:09:52.541]  Secret European cash limits are in place.
[00:09:52.901 --> 00:09:54.421]  Again, starting in Europe.
[00:09:54.461 --> 00:09:56.342]  They love to start these things in Europe.
[00:09:56.382 --> 00:09:59.183]  That's where the consolidation with the European Union started.
[00:09:59.203 --> 00:10:00.503]  That's where they started the Euro.
[00:10:00.563 --> 00:10:06.685]  They used the collapse of the Euro to take out elected representatives in places like Italy and Greece.
[00:10:07.285 --> 00:10:09.786]  And replace them with Goldman Sachs bankers?
[00:10:10.147 --> 00:10:11.487]  They call them technocrats?
[00:10:11.727 --> 00:10:14.209]  And so now we see that they're going the next step.
[00:10:14.549 --> 00:10:21.432]  As he points out, some of you remember the recent scandal where HSBC tried to impose cash withdrawal limits on their accounts.
[00:10:21.552 --> 00:10:29.096]  And this person, Mark Kempton from the BBC, says it turns out that was just a trial balloon to see if the public
[00:10:29.676 --> 00:10:30.577]  Would object to it.
[00:10:31.197 --> 00:10:35.460]  These limits are already in place and they're going to limit your cash withdrawals.
[00:10:35.480 --> 00:10:37.462]  They're going to say you can't take your money out.
[00:10:37.602 --> 00:10:40.824]  You got to keep it in there and we're going to of course charge you higher fees on that.
[00:10:40.864 --> 00:10:42.606]  That's the way this thing is going to go down.
[00:10:43.286 --> 00:10:51.492]  This has been something that, and again we're going to go to the immigration system, but before I do that I also want to point out
[00:10:52.449 --> 00:10:56.872]  That this last week, of course, was the one-year anniversary of the Snowden leaks.
[00:10:57.432 --> 00:11:00.874]  We have an article up on Infowars today from Washington's blog.
[00:11:01.475 --> 00:11:06.498]  An NSA whistleblower says that Snowden never had access to the juiciest documents.
[00:11:06.558 --> 00:11:09.260]  Now, this isn't just any NSA whistleblower.
[00:11:09.720 --> 00:11:12.062]  This was the first of the NSA whistleblowers.
[00:11:12.822 --> 00:11:20.028]  We've talked to William Binney here at Infowars, and of course he was the technical head with global responsibilities, a global technical head of the NSA.
[00:11:20.408 --> 00:11:22.109]  We talked to him about their capabilities.
[00:11:22.169 --> 00:11:23.150]  He's very concerned.
[00:11:23.490 --> 00:11:28.594]  For a while he was saying, we're this close to a police state, holding his two fingers very close like a pinch.
[00:11:29.195 --> 00:11:32.757]  But now, a few months ago, he said we are in a police state.
[00:11:32.797 --> 00:11:38.422]  He said for years, and he worked for the NSA for over 30 years, he said he'd monitored during his career
[00:11:39.142 --> 00:11:42.706]  East Germany, as well as Russia, he knows what a police state looks like.
[00:11:42.746 --> 00:11:49.993]  He knows when they're monitoring their own system, their own citizens, to the extent that they are in this system, what that brings about.
[00:11:50.594 --> 00:11:52.616]  And he said, that's what we're doing here.
[00:11:53.076 --> 00:12:01.085]  We've had several NSA whistleblowers prior to Snowden that were very, very concerned when they saw the surveillance turn inward.
[00:12:01.585 --> 00:12:16.938]  Now in this article that's up on InfoWars, what Tice was saying was one of the very first things that people would be told when they started to work for the NSA was the number one rule is that because of FISA you do not ever spy on American citizens.
[00:12:16.998 --> 00:12:19.060]  That's the Foreign Intelligence Surveillance Act.
[00:12:19.381 --> 00:12:24.025]  You had to get special court permissions from a secretive court, the FISA court.
[00:12:24.645 --> 00:12:33.008]  That of course was created in response to the revelations that came out of the Frank Church Committee hearings in the 1970s talking about CIA abuses.
[00:12:33.088 --> 00:12:42.591]  People were very concerned about the CIA and other intelligence organizations turning on the American people and creating a police state domestically.
[00:12:43.091 --> 00:12:47.072]  These organizations that were created to protect us from foreign enemies.
[00:12:47.172 --> 00:12:48.453]  Remember what
[00:12:49.213 --> 00:12:58.443]  Madison said, he said, if tyranny ever comes to America, it will come, tyranny and oppression, it will come in the guise of fighting a foreign enemy.
[00:12:59.264 --> 00:13:00.886]  That is what the NSA is doing.
[00:13:00.926 --> 00:13:07.453]  We've talked about that in conjunction with the asymmetric warfare groups and their training for takeover American cities.
[00:13:07.953 --> 00:13:12.840]  We've talked about the militarization of the police and using the military as police.
[00:13:13.340 --> 00:13:18.327]  Well, that is especially true of these NSA-type documents.
[00:13:18.747 --> 00:13:19.949]  That is where we're going.
[00:13:20.449 --> 00:13:24.214]  Now, this is an article where Tice is talking about
[00:13:25.777 --> 00:13:28.019]  What Snowden did not have access to.
[00:13:28.680 --> 00:13:45.495]  And he, quite frankly, says that he believes that the NSA is spying on and blackmailing top government officials and military officers, including Supreme Court justices, highly ranked generals, Colin Powell, other State Department personnel, and many other top officials.
[00:13:45.535 --> 00:13:51.660]  And of course, we've said, I've said many times, I firmly believe that when you look at the bizarre decision
[00:13:52.441 --> 00:14:00.986]  That Justice Roberts came out with, the Chief Justice of the Supreme Court, writing both the dissenting and agreeing opinion, enabling Obamacare.
[00:14:01.707 --> 00:14:10.172]  That dramatic 180 degree turnaround, and writing both sides of the opinion, first disagreeing with it, and then all of a sudden agreeing with it.
[00:14:10.812 --> 00:14:14.374]  I believe, and many other people have also believed, that he was blackmailed.
[00:14:14.514 --> 00:14:18.997]  This is a fellow, Robert Tice, was the very first of the NSA whistleblowers.
[00:14:19.815 --> 00:14:24.597]  He was even before William Binney and Thomas Drake and others who came after him.
[00:14:25.337 --> 00:14:36.021]  And when he came out, he was part of a group, and he was not a technical head as William Binney was in terms of looking at the programs, but what he was concerned about
[00:14:36.641 --> 00:14:39.004]  was still domestic espionage.
[00:14:39.145 --> 00:14:53.504]  He was concerned about the fact that there was a separate higher group within the NSA that had access to documents that the rest of the NSA did not have and he says in this article, it is very compartmentalized.
[00:14:54.125 --> 00:15:01.954]  Even with the stuff they had, you might have something at the NSA where there's literally only 40 people that know that it's going on in the entire agency.
[00:15:02.455 --> 00:15:13.907]  He's saying that when they're doing these criminal actions, it's very similar to the types of things that J. Edgar Hoover was pulling on officials that we now know for many, many decades, controlling them, blackmailing them.
[00:15:15.506 --> 00:15:18.970]  Hoover had nothing like the NSA's capabilities.
[00:15:19.230 --> 00:15:23.314]  It would be very frightening to think what he would have done, and yet, human nature is human nature.
[00:15:23.674 --> 00:15:26.457]  There's nothing that unique about J. Edgar Hoover.
[00:15:26.818 --> 00:15:33.344]  To think that there aren't many J. Edgar Hoovers within the NSA, whenever you give the government that kind of capability,
[00:15:33.925 --> 00:15:35.246]  They will use it.
[00:15:35.686 --> 00:15:37.467]  And he points that out here in his article.
[00:15:37.967 --> 00:15:46.352]  He says the information that they got about the fact that they, even at the time of the church hearings, the NSA was wiretapping Frank Church and other senators.
[00:15:46.692 --> 00:15:49.173]  And they got those documents by accident.
[00:15:49.734 --> 00:15:51.875]  And he says when they're covering that stuff up,
[00:15:52.515 --> 00:15:57.737]  They are not going to put it on PowerPoint displays, which is the kind of stuff that Snowden has got.
[00:15:57.757 --> 00:16:04.000]  So even though Snowden has top-secret clearance, there's another level above that, and we should be very concerned about that.
[00:16:04.540 --> 00:16:05.080]  We'll be right back.
[00:16:05.100 --> 00:16:09.702]  We're going to talk about the overflowing of immigration, what it means for the breakdown of our society.
[00:16:09.782 --> 00:16:10.162]  Stay tuned.
[00:16:10.222 --> 00:16:11.002]  I don't know what it is.
[00:16:11.242 --> 00:16:12.983]  Ralph just won't pay any attention to me.
[00:16:13.103 --> 00:16:17.044]  When he comes home from work, all he ever does is play video games and go to sleep.
[00:16:17.224 --> 00:16:18.444]  It's like I don't even exist.
[00:16:18.804 --> 00:16:20.645]  Oh Betty, that's just awful.
[00:16:20.765 --> 00:16:21.965]  Does this seem familiar?
[00:16:22.125 --> 00:16:24.746]  If the answer to this question is yes, then listen carefully.
[00:16:24.866 --> 00:16:30.107]  Toxic pesticides, GMO foods and additives, BPA plastics, contaminated water supplies.
[00:16:30.307 --> 00:16:35.188]  Many of these toxic additives are deliberately engineered to attack and weaken human masculinity.
[00:16:35.328 --> 00:16:37.809]  It's part of the eugenics population control movement.
[00:16:38.029 --> 00:16:38.489]  Look it up.
[00:16:38.729 --> 00:16:45.417]  If men are more interested in online gaming than they are in their wives, a serious population crisis is soon to follow.
[00:16:45.597 --> 00:16:50.723]  Energize the man in your life with Super Male Vitality from InfoWarsLife.com.
[00:16:50.863 --> 00:16:54.587]  It's designed to aid the body in ways that help invigorate your natural systems.
[00:16:54.747 --> 00:17:01.717]  Without artificial testosterone, completely free of GMOs, harmful additives, gluten, and is made right here in the USA.
[00:17:01.857 --> 00:17:06.504]  Get your super male vitality right now at infowarslife.com or call 1-888-253-3139.
[00:17:10.049 --> 00:17:14.053]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:17:14.093 --> 00:17:18.217]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:17:18.457 --> 00:17:21.920]  What are the health effects of having these drugs in our drinking water?
[00:17:22.120 --> 00:17:25.003]  It's forced medical treatment without the consent of residents.
[00:17:25.163 --> 00:17:32.509]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:17:32.730 --> 00:17:36.373]  On average, the county says it sprays with the glyphosate at least once a week.
[00:17:36.633 --> 00:17:40.895]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[00:17:41.055 --> 00:17:46.977]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:17:47.017 --> 00:17:50.798]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:17:50.958 --> 00:17:53.499]  It is our responsibility to protect our families.
[00:17:53.699 --> 00:17:55.059]  The establishment's not going to do it.
[00:17:55.199 --> 00:17:56.440]  It's time to take action.
[00:17:56.580 --> 00:17:58.280]  It's time to filter our water.
[00:17:58.401 --> 00:18:05.523]  Visit Infowarsstore.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:18:05.884 --> 00:18:06.669]  Call toll free 888-253-3139.
[00:18:10.953 --> 00:18:12.714]  Hi, I'm Dr. Edward Group.
[00:18:13.235 --> 00:18:20.199]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:18:20.659 --> 00:18:31.086]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:18:31.507 --> 00:18:40.713]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:18:41.453 --> 00:18:44.875]  It's the strongest nascent iodine on the market today.
[00:18:45.515 --> 00:18:48.936]  It delivers 650 micrograms per drop.
[00:18:49.276 --> 00:18:50.837]  Experience the new formula.
[00:18:51.337 --> 00:18:53.298]  Experience the ancient purity.
[00:18:53.898 --> 00:18:54.879]  Shield your family.
[00:18:55.239 --> 00:18:56.639]  Survival Shield X2.
[00:18:57.060 --> 00:18:59.661]  Available now at InfoWarsLife.com.
[00:19:00.221 --> 00:19:04.203]  X2 from InfoWarsLife.com or call toll free 888-253-3139.
[00:19:09.286 --> 00:19:12.129]  This is Leanne McAdoo for InfoWarsLife.com.
[00:19:12.410 --> 00:19:18.317]  I'm here with Dr. Edward Group, Master Herbologist and Chief Formulator behind the InfoWarsLife products.
[00:19:18.517 --> 00:19:22.942]  Dr. Group, what have you been hearing from women who've started taking Super Female Vitality?
[00:19:23.042 --> 00:19:29.590]  You know, we've heard the reviews and feedback from Super Male Vitality from emails to even excited callers on the radio.
[00:19:29.890 --> 00:19:31.791]  Now, the answer for women is here.
[00:19:31.931 --> 00:19:43.457]  A new formulation specifically designed for the female body, Super Female Vitality, delivers 10 key herbs that work synergistically to revitalize the unique biology of women.
[00:19:43.597 --> 00:19:45.558]  I'm so glad that you guys made this for women.
[00:19:45.598 --> 00:19:51.141]  When he brought me home the bottle of Super Female, I had tons of energy, tons of motivation, a lot of drive.
[00:19:51.181 --> 00:19:52.522]  My husband thinks I've been in a better mood.
[00:19:52.542 --> 00:19:54.963]  Our relationship, all I can say is this is a lot better now.
[00:19:55.303 --> 00:19:59.446]  I've just started taking Super Female Vitality from InfoWarsLife.com.
[00:19:59.646 --> 00:20:08.473]  Supplies are limited, so secure yours today at InfoWarsLife.com, InfoWarsStore.com, or dial 1-888-253-3139.
[00:20:11.135 --> 00:20:12.316]  Coast to Coast.
[00:20:12.676 --> 00:20:14.137]  Direct from Austin.
[00:20:14.738 --> 00:20:17.940]  You're listening to the Alex Jones Broadcasting Network.
[00:20:24.193 --> 00:20:31.675]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:32.555 --> 00:20:33.735]  Welcome to the Alex Jones Show.
[00:20:33.815 --> 00:20:37.476]  I'm David Knight, your host today, but Alex is going to be joining us in the second hour.
[00:20:37.496 --> 00:20:43.798]  We're going to be talking about the massive immigration that's being allowed, actually encouraged by our government.
[00:20:43.838 --> 00:20:45.158]  What does it mean for our society?
[00:20:45.698 --> 00:20:47.459]  Is it part of a larger plan?
[00:20:47.519 --> 00:20:49.439]  Alex is going to break that down for you in the second hour.
[00:20:49.459 --> 00:20:51.860]  In the last segment, we were talking about
[00:20:52.700 --> 00:20:55.002]  A new revelation from an NSA whistleblower.
[00:20:55.062 --> 00:20:58.264]  Actually, he's been talking about various aspects of this for quite some time.
[00:20:58.324 --> 00:21:02.868]  Russell Tice, someone who was actually one of the first of the NSA whistleblowers.
[00:21:02.888 --> 00:21:07.271]  Many people don't realize that before Ed Snowden there were
[00:21:07.871 --> 00:21:10.892]  I believe there was five, maybe six, NSA whistleblowers.
[00:21:10.952 --> 00:21:12.212]  There were four that were together.
[00:21:12.612 --> 00:21:13.993]  Tice was the very first one.
[00:21:14.933 --> 00:21:24.716]  They were talking about the fact that the American government was, for the first time after 9-11, spying on Americans in dragnet methods.
[00:21:25.396 --> 00:21:28.777]  People that were not suspected of any crime.
[00:21:29.537 --> 00:21:33.781]  And not going before a FISA judge as they were required to do.
[00:21:33.801 --> 00:21:44.832]  And of course FISA was something that was a provision that came after the church committee hearings to try to rein in the intelligence community to keep them from doing this very thing.
[00:21:44.872 --> 00:21:50.838]  And yet the FISA quote-unquote court has become this secretive court with one judge
[00:21:51.893 --> 00:21:55.476]  One lawyer from the administration who wants that judge to do something.
[00:21:56.116 --> 00:22:02.221]  Nobody in an adversarial relationship, nobody, no judge on the other side saying that's not a good idea.
[00:22:02.521 --> 00:22:06.564]  Nobody advocating for the Bill of Rights or the Constitution or the American people.
[00:22:06.924 --> 00:22:08.525]  There is no adversarial hearing.
[00:22:08.986 --> 00:22:14.249]  It is a closed door, star chamber type of hearing and when they create these
[00:22:15.350 --> 00:22:17.391]  They say precedent-setting decisions.
[00:22:18.071 --> 00:22:27.054]  They pretend as if they are modifying the Constitution, and doing so with a court decision that the American public is never allowed to see.
[00:22:27.154 --> 00:22:36.038]  So, it's an amazing world, but I tell you what, Stephen Fry had a video that was up on The Guardian.
[00:22:37.202 --> 00:22:45.510]  And I don't know if you guys can get a little bit of this queued up here, but he said there is something squalid and rancid about being spied on.
[00:22:46.191 --> 00:22:55.139]  He did that as part of the one-year anniversary of the Snowden documents coming out, but as Russell Tice was pointing out, Snowden never had access to the juiciest documents.
[00:22:55.159 --> 00:22:57.041]  In other words, there were things that they didn't put on
[00:22:58.542 --> 00:23:20.033]  PowerPoint displays, and there's some pretty bad stuff that we've seen on PowerPoint displays, but some of the worst stuff, some of the stuff that is similar to what we know J. Edgar Hoover was doing in terms of blackmailing senators, blackmailing Supreme Court justices, destroying military personnel or generals, as we've seen with Petraeus, and I don't know what was going on
[00:23:20.413 --> 00:23:31.801]  With Petraeus, of course, he has now subsequently allied himself with Hillary Clinton, and perhaps it had something to do with the Benghazi affair, is why they took him out.
[00:23:31.861 --> 00:23:35.924]  Nevertheless, the fact that they're able to do this should concern all of us.
[00:23:36.544 --> 00:23:40.927]  It should concern all of us that they're looking at our own stuff, and that's what Stephen Fry was talking about.
[00:23:40.967 --> 00:23:43.949]  He said there's something squalid and rancid about being spied on.
[00:23:43.969 --> 00:23:44.870]  Can you play that clip?
[00:23:44.890 --> 00:23:48.132]  There's something squalid and rancid about being spied on.
[00:23:48.812 --> 00:23:49.533]  Nobody likes it.
[00:23:51.553 --> 00:24:00.941]  The fear of terrorism that we all have, the fear of the unknown that we all share, the fear of enemies who hate us, is a duplicitous and a deeply wrong
[00:24:22.296 --> 00:24:30.798]  means of excusing something as base as spying on the citizens of your own country.
[00:24:32.219 --> 00:24:44.742]  GCHQ, the NSA in America, cooperate together through PRISM and other systems to listen in on, to read and intercept everything we send.
[00:24:45.785 --> 00:24:46.045]  Yes.
[00:24:46.065 --> 00:24:47.826]  It's enough that corporations... It is amazing.
[00:24:48.126 --> 00:24:51.508]  It truly is amazing, and I appreciate him speaking out on that.
[00:24:51.548 --> 00:24:53.009]  Of course, that's Stephen Fry.
[00:24:53.069 --> 00:24:58.452]  He's a writer, he's a comedian, he was one of the actors in V for Vendetta, if you recognize his voice.
[00:24:59.973 --> 00:25:01.254]  He has it exactly.
