[00:00:00.069 --> 00:00:01.609]  Threat to America.
[00:04:20.194 --> 00:04:29.917]  There's ISIS supposedly in Juarez right now wanting to, you know, incite violence and, you know, take out targets on American soil.
[00:04:30.277 --> 00:04:31.397]  That's a pretty legitimate threat.
[00:04:31.517 --> 00:04:34.858]  Even if it doesn't happen, that's still something that you should take seriously.
[00:04:35.038 --> 00:04:47.142]  And if there was an actual attack that really happened on our American soil right here in a border town like El Paso, you know only a matter of time they will use that to take away our liberties.
[00:04:47.562 --> 00:04:48.662]  There will be martial law
[00:04:49.102 --> 00:04:50.244]  That's Joe Biggs in El Paso.
[00:04:50.304 --> 00:04:51.105]  He's coming up live.
[00:04:51.125 --> 00:04:51.746]  Stay with us.
[00:05:01.775 --> 00:05:08.659]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American-made jeans.
[00:05:09.039 --> 00:05:16.382]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[00:05:16.963 --> 00:05:21.465]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[00:05:22.465 --> 00:05:27.269]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[00:05:27.850 --> 00:05:30.812]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[00:05:30.892 --> 00:05:35.276]  Tell folks how you got introduced to super male, and then when super female came out, tell us what happened.
[00:05:35.556 --> 00:05:40.180]  After I saw such a huge positive change in my husband, I had to try it for myself.
[00:05:40.300 --> 00:05:41.301]  Talk about the effects.
[00:05:41.621 --> 00:05:43.143]  I feel great when I wake up in the morning.
[00:05:43.163 --> 00:05:44.805]  I have drive to go to the gym.
[00:05:45.065 --> 00:05:46.127]  I feel like I look better.
[00:05:46.167 --> 00:05:46.828]  I feel better.
[00:05:46.888 --> 00:05:47.929]  I feel sexier.
[00:05:47.949 --> 00:05:48.690]  I love it.
[00:05:48.930 --> 00:05:51.834]  Even if you don't believe in supplements, take the challenge.
[00:05:51.894 --> 00:05:54.637]  Get a bottle of Super Male, a bottle of Super Female.
[00:05:54.838 --> 00:05:55.879]  Check it out for yourself.
[00:05:55.919 --> 00:05:56.960]  Consult your physician.
[00:05:57.100 --> 00:05:59.303]  Visit Infowarslife.com today.
[00:05:59.323 --> 00:06:00.405]  This is life changing.
[00:06:01.903 --> 00:06:02.964]  In the near future.
[00:06:03.224 --> 00:06:07.387]  When you realize how fake it all is, the football, the basketball.
[00:06:07.728 --> 00:06:08.748]  Security alert.
[00:06:08.968 --> 00:06:10.690]  This is Homeland Security.
[00:06:10.970 --> 00:06:11.590]  Analysis.
[00:06:11.851 --> 00:06:12.491]  InfoWars.
[00:06:12.571 --> 00:06:14.513]  Building independent media operations.
[00:06:14.533 --> 00:06:19.516]  You let the worst people get controlled and tell us that we are the ones responsible.
[00:06:19.557 --> 00:06:20.477]  Crime Directive.
[00:06:20.577 --> 00:06:22.038]  Discredit Alex Jones.
[00:06:22.138 --> 00:06:24.921]  Jones is the wildly popular conspiracy theorist.
[00:06:25.001 --> 00:06:28.063]  A popular conspiracy theory talk show called InfoWars.
[00:06:28.223 --> 00:06:30.405]  Alex Jones is now in an Austin jail.
[00:06:30.845 --> 00:06:32.005]  People are assaulting us!
[00:06:32.025 --> 00:06:34.366]  Targeting of patriots engaged.
[00:06:34.886 --> 00:06:36.527]  They are never going to stop.
[00:06:36.807 --> 00:06:40.708]  They're never going to deviate from their program until we stop them.
[00:06:40.888 --> 00:06:44.049]  Block free iPhone ads at InfoWars.com.
[00:06:44.489 --> 00:06:47.090]  Block free podcast and video feed.
[00:06:47.810 --> 00:06:48.550]  Imperative.
[00:06:48.810 --> 00:06:50.811]  Destroy Britain's Minute TV.
[00:06:50.831 --> 00:06:55.252]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[00:06:55.372 --> 00:06:57.653]  Intellectually, it's begun and you can feel it!
[00:07:00.822 --> 00:07:02.043]  Another major health threat.
[00:07:02.063 --> 00:07:06.965]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:07:07.045 --> 00:07:09.686]  Ohio's governor declaring a state of emergency.
[00:07:09.726 --> 00:07:16.489]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:07:16.769 --> 00:07:19.630]  If there's a water emergency, will you be prepared?
[00:07:19.770 --> 00:07:22.692]  Panicked residents forming long lines throughout the day.
[00:07:22.712 --> 00:07:24.693]  We're here at a supermarket in Toledo.
[00:07:24.733 --> 00:07:27.574]  You can see the shelves empty where water once was.
[00:07:27.654 --> 00:07:33.156]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:07:33.376 --> 00:07:36.857]  Water which will not be available at your local grocery store.
[00:07:36.877 --> 00:07:39.878]  There's a mad dash on right now to stock up on supplies.
[00:07:39.978 --> 00:07:47.080]  The ProPure ProOne G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:07:47.300 --> 00:07:50.341]  Protect your family's safety during an emergency.
[00:07:50.501 --> 00:07:56.783]  Go to infowarsstore.com today to purchase your ProPure ProOne G2.0 Water Filtration System.
[00:07:56.923 --> 00:07:57.444]  Or call 1-888-253-3139.
[00:07:57.464 --> 00:07:58.505]  You got a business.
[00:07:58.525 --> 00:07:59.446]  You didn't build that.
[00:07:59.487 --> 00:08:02.531]  Somebody else made that happen.
[00:08:21.132 --> 00:08:25.313]  Defending the Republic from enemies foreign and domestic.
[00:08:26.013 --> 00:08:27.414]  It's Alex Jones.
[00:08:30.375 --> 00:08:37.357]  Thank you for joining us.
[00:08:37.477 --> 00:08:43.999]  It is already the third day of September 2014 on this Wednesday Worldwide edition.
[00:08:44.739 --> 00:08:48.400]  We're going to be joined coming up at the bottom
[00:08:50.868 --> 00:09:12.678]  of the next hour by Joe Biggs and some of our other reporters that are on the ground in El Paso, Texas where Homeland Security last Friday and again on Monday said that a terror attack is imminent and that it is specific targets like Fort Bliss.
[00:09:13.999 --> 00:09:16.620]  Now whether this is real or more hyped
[00:09:17.762 --> 00:09:21.343]  So that Homeland Security can grab more of our civil liberties and freedoms.
[00:09:23.663 --> 00:09:26.984]  Isn't even an issue because the border is wide open.
[00:09:27.404 --> 00:09:32.206]  We have video of the border fences a month ago, two weeks ago, and last night.
[00:09:32.846 --> 00:09:33.846]  Wide open.
[00:09:34.286 --> 00:09:36.287]  They actually open the gates at night.
[00:09:36.807 --> 00:09:39.227]  People just pour back and forth through whatever they want.
[00:09:39.627 --> 00:09:40.828]  It's a giant facade.
[00:09:40.868 --> 00:09:41.788]  It's a giant joke.
[00:09:44.721 --> 00:09:46.202]  We noticed this about a year ago.
[00:09:46.222 --> 00:09:48.743]  We pointed it out in news reports about six months ago.
[00:09:49.403 --> 00:10:01.508]  Two weeks ago, the actual training manual for TSA came out admitting in the memo that they have been told for years to let illegals fly with no ID.
[00:10:05.865 --> 00:10:24.100]  But citizens get their brassieres grubbed, naked body scans, your genitals grubbed, your children grubbed, your shoes off, jackets off, shoes off, all to train you that the state is God and that you're a prisoner.
[00:10:25.461 --> 00:10:26.882]  It's beyond security theater.
[00:10:29.119 --> 00:10:39.290]  And as much as I bash the individual TSA minions, most of them just want a job, some of them are on power trips, obviously, that's come out over and over again, and a lot of them want to rob the bags and the rest of it.
[00:10:41.132 --> 00:10:42.394]  The people that are behind it...
[00:10:48.672 --> 00:10:51.373]  ...are our Congress and the special interests that control them.
[00:10:51.393 --> 00:10:59.176]  And all over the world this type of thing is going on in an attempt to train law-abiding citizens that they are basically prisoners.
[00:11:00.096 --> 00:11:02.357]  This is an induction into tyranny.
[00:11:04.638 --> 00:11:09.479]  So, Joe Big's coming up in an hour, about 20 minutes from now, from El Paso.
[00:11:09.539 --> 00:11:10.820]  He was stationed there for a while.
[00:11:11.280 --> 00:11:13.881]  He has a lot of sources there at the military base.
[00:11:15.871 --> 00:11:38.618]  And we have ICE and Border Patrol sources obviously high up in the Border Patrol, they've been on the show, but since they've been given gag orders, basically threatened with arrest if they speak out about the admitted treason and how the Border Patrol is there now to complete the cycle of human smuggling, close quote.
[00:11:40.159 --> 00:11:43.320]  Think about how epically over the top that is.
[00:11:44.428 --> 00:11:58.277]  That Obama is in the news saying, I'm not doing immigration reform right now, and Boehner is in the news saying he's not going to do immigration reform right now until next year, and that it's a great idea, and that this is a wonderful reform.
[00:12:01.999 --> 00:12:04.441]  Republican and Democratic leadership working together.
[00:12:06.317 --> 00:12:17.842]  Meanwhile, they've already basically legalized all of the illegals by fiat between three and five years before any of these illegals even get an immigration hearing.
[00:12:20.744 --> 00:12:24.685]  In fact, that is in the news today.
[00:12:27.467 --> 00:12:32.089]  Judge sets hearings for illegal alien minors four years from now.
[00:12:33.389 --> 00:12:34.470]  The average is four years.
[00:12:41.420 --> 00:12:43.581]  And welfare is automatically extended.
[00:12:43.661 --> 00:12:45.542]  Tax refunds are automatically extended.
[00:12:45.862 --> 00:12:46.222]  You can get $3, $4, $5, $6, $7, $8, $9, $10.
[00:12:49.023 --> 00:12:56.026]  Some households get over $80 million a year in tax refunds in Austin, Texas.
[00:12:58.607 --> 00:13:00.708]  That's come out in the news and no one gets in trouble.
[00:13:01.008 --> 00:13:03.409]  There's over $100 million at one house in Atlanta.
[00:13:04.861 --> 00:13:07.922]  Now the Democratic Party fences this money through.
[00:13:08.582 --> 00:13:10.543]  The people at these houses are just cutouts.
[00:13:10.563 --> 00:13:11.503]  They're not getting the money.
[00:13:11.523 --> 00:13:23.528]  I mean, do you think Akron on video was ready to run child sex slaves and help the Veritas Project, posing as pimps, run sex slaves?
[00:13:25.089 --> 00:13:26.590]  An Akron after Akron facility?
[00:13:27.271 --> 00:13:29.852]  Do you think that's just where they stop, ladies and gentlemen?
[00:13:30.193 --> 00:13:35.316]  This is an organized crime takeover that will implode the country.
[00:13:38.078 --> 00:13:42.221]  Miami schools flooded with 1,400 new immigrants from Central America.
[00:13:45.223 --> 00:13:48.986]  Father of man killed by illegal immigrant demands president visits son's grave.
[00:13:50.316 --> 00:13:50.856]  That's another thing.
[00:13:51.057 --> 00:14:00.525]  The world is emptying out its prisons and giving them plane tickets and ship passage or bus passage to the United States.
[00:14:02.867 --> 00:14:08.913]  As Latin America collapses, as other areas of the world go into global meltdown, the Caribbean is in meltdown.
[00:14:09.974 --> 00:14:10.654]  Look up the numbers.
[00:14:10.814 --> 00:14:14.077]  Double the crime from what the Caribbean had just five years ago.
[00:14:14.958 --> 00:14:16.420]  Even places that had low crime.
[00:14:17.338 --> 00:14:18.999]  Like Grand Cayman are seeing an increase.
[00:14:19.359 --> 00:14:21.121]  The Bahamas is overrun.
[00:14:21.141 --> 00:14:23.682]  One of the most dangerous places in the world now.
[00:14:27.265 --> 00:14:29.586]  Society is breaking down all over the planet.
[00:14:30.487 --> 00:14:34.189]  Every military think tank metric shows that.
[00:14:35.570 --> 00:14:37.432]  Secretary of Defense Hagel admits that.
[00:14:38.252 --> 00:14:43.476]  And what is Obama doing and his controllers but accelerating this?
[00:14:45.694 --> 00:14:47.274]  Problem, reaction, solution.
[00:14:47.695 --> 00:14:51.436]  Now, I covered immigration first because that's coming up at the bottom of the next hour.
[00:14:52.976 --> 00:14:55.877]  And that is clearly the end of our country that's happening right now.
[00:14:56.997 --> 00:15:03.539]  The bait is set to now bring unlimited numbers in as the word gets out that, hey, you get there, you get free welfare, everything is taken care of.
[00:15:04.440 --> 00:15:09.281]  You become a new political ward of the state as long as you vote for whatever the globalists want.
[00:15:10.562 --> 00:15:11.822]  This is the takedown plan.
[00:15:17.537 --> 00:15:22.960]  Geopolitically, internationally, today, the top story is this.
[00:15:27.842 --> 00:15:28.302]  Reuters.
[00:15:28.703 --> 00:15:35.346]  US allies to stage exercises in West Ukraine as battles rage in the East.
[00:15:39.648 --> 00:15:42.469]  This is exactly what all the experts have said would start to happen.
[00:15:42.489 --> 00:15:43.170]  It's what I've said.
[00:15:45.606 --> 00:15:53.011]  Six months ago, the Ukrainians vote to not join the EU and be sucked dry by that tyranny.
[00:15:55.553 --> 00:16:03.138]  Soros activates neo-Nazi paramilitary groups that overthrow the government, the elected government, which certainly wasn't perfect.
[00:16:03.218 --> 00:16:04.478]  I'm not saying that, but it was elected.
[00:16:05.019 --> 00:16:06.420]  No one disputed it was freely elected.
[00:16:07.401 --> 00:16:14.786]  They overthrow it, run all the way into the Russian pipelines, refineries, and oil fields that have been owned, leased, and run by Russia for 100 years.
[00:16:15.426 --> 00:16:17.587]  Russia's been there for 500, basically.
[00:16:21.590 --> 00:16:26.333]  And they try to take the Russian port, their only Black Sea port, and other strategic areas.
[00:16:26.713 --> 00:16:29.475]  Russia sends in forces to protect them for their interests.
[00:16:31.276 --> 00:16:34.378]  The issue is the West initiated this.
[00:16:35.592 --> 00:16:42.315]  Just like they initiated ISIS, which is really Al-Qaeda in Iraq, that went into Syria.
[00:16:44.175 --> 00:16:45.996]  Just like our government backs the Muslim Brotherhood.
[00:16:46.256 --> 00:16:48.497]  Just like they backed the jihadis taking down Gaddafi.
[00:16:48.797 --> 00:16:52.238]  Just like they're backing trying to... Al-Qaeda's been attacking Jordan.
[00:16:53.299 --> 00:16:59.001]  And Soros came out and admitted responsibility in the New York Times for the coup and mass murder in Ukraine.
[00:17:04.375 --> 00:17:11.982]  And so as things escalate, notice you heard yesterday, oh, NATO's going to send a rapid reaction force in the next few months in case Russia invades.
[00:17:12.823 --> 00:17:17.928]  NATO is already in Ukraine, already in Poland, already has advisors, it's come out.
[00:17:17.948 --> 00:17:19.749]  There's already mercenaries.
[00:17:20.970 --> 00:17:25.935]  A lot of people that don't want war with Russia are trying to de-escalate it, saying, oh, Russia doesn't really have troops in eastern Ukraine.
[00:17:26.255 --> 00:17:26.776]  Yes, they do.
[00:17:28.154 --> 00:17:33.697]  And there's battles going on, a proxy war, directly with Russia right now.
[00:17:34.017 --> 00:17:36.598]  It's not like we're having a proxy war with Russia through Vietnam.
[00:17:37.999 --> 00:17:40.420]  Or a proxy war with Russia in Angola.
[00:17:42.541 --> 00:17:43.342]  Or Rhodesia.
[00:17:47.944 --> 00:17:51.506]  The United States of America and NATO is now in a proxy war
[00:17:53.226 --> 00:17:57.887]  Directly with mercenaries and CIA advisors with Russian troops.
[00:18:00.028 --> 00:18:05.330]  There's a steady stream of body bags going back to Russia of Russian troops and funerals all over the country.
[00:18:05.870 --> 00:18:06.670]  I've gone and checked.
[00:18:07.790 --> 00:18:10.971]  And yes, ladies and gentlemen, there are dead mercs and others coming back here.
[00:18:10.991 --> 00:18:12.852]  So I'm going to explain this again.
[00:18:13.752 --> 00:18:16.693]  From all the intel we have, the United States
[00:18:18.337 --> 00:18:21.301]  Run by George Soros and others, a known Nazi collaborator.
[00:18:21.321 --> 00:18:22.982]  This is like a Twilight Zone episode.
[00:18:23.403 --> 00:18:26.546]  Has gone in, overthrown Ukraine, run over Russian interests.
[00:18:26.927 --> 00:18:28.509]  The Russians have inserted troops.
[00:18:31.873 --> 00:18:33.755]  The CIA director was over there running it.
[00:18:33.795 --> 00:18:35.457]  Senator Mendez has been over there running it.
[00:18:35.917 --> 00:18:36.398]  It's on.
[00:18:38.795 --> 00:19:06.161]  And if they start running airstrikes, NATO does, as they've said they will, against Russians, then Russia will start responding, shooting down those aircraft, and then it escalates to the point of where General Jackson was during the Kosovo War, when the Russians controlled that airfield that they've controlled since the end of World War II in Pristina, and they ordered NATO to attack the Russians on the airfield, and the head
[00:19:09.582 --> 00:19:12.245]  of NATO overruled the U.S.
[00:19:12.285 --> 00:19:16.629]  NATO commanders, the British head, and said, I will not start World War III.
[00:19:20.272 --> 00:19:24.756]  We literally... People just think we can't have a war with Russia.
[00:19:24.977 --> 00:19:26.878]  People just think we're not going to have a nuclear war.
[00:19:27.059 --> 00:19:30.021]  People just expect everything's going to go on forever like it's always.
[00:19:30.482 --> 00:19:34.786]  This is what's going to end up destroying our society, ladies and gentlemen.
[00:19:36.769 --> 00:19:39.111]  This is what's going to end up really causing a problem.
[00:19:39.511 --> 00:19:39.791]  U.S.
[00:19:39.851 --> 00:19:42.954]  allies sustain exercises in West Ukraine as battle rages in the East.
[00:19:43.354 --> 00:19:44.735]  Reuters, we'll come back and tell you about that.
[00:19:45.155 --> 00:19:48.818]  Russia's strategic nuclear forces to hold major exercise this month.
[00:19:48.838 --> 00:19:49.358]  Reuters.
[00:19:51.500 --> 00:19:53.982]  NATO weighs rapid reaction response from Eastern Europe.
[00:19:54.002 --> 00:19:55.082]  It's already going on.
[00:19:56.023 --> 00:19:56.984]  Putin orders building
[00:19:58.618 --> 00:20:00.379]  Hastened at New Russian Spaceport.
[00:20:00.459 --> 00:20:01.239]  It's all coming up.
[00:20:01.799 --> 00:20:07.601]  Virtually anyone can hack your cell phone and track your calls, your texts, your emails, your every movement.
[00:20:07.862 --> 00:20:09.602]  But only if they can detect a signal.
[00:20:09.922 --> 00:20:13.564]  Stay one step ahead of hackers and Big Brother with a Blockett Pocket.
[00:20:13.864 --> 00:20:19.106]  A custom-made pocket infused with pure silver that creates a complete Faraday enclosure for your cell phone.
[00:20:19.386 --> 00:20:23.110]  For free shipping to the lower 48, visit BlockItPocket.com or call 888-315-9618.
[00:20:23.210 --> 00:20:23.751]  BlockItPocket.com.
[00:20:23.791 --> 00:20:25.072]  Enhancing health and privacy.
[00:20:31.152 --> 00:20:34.154]  In today's unstable environment, self-protection is critical.
[00:20:34.235 --> 00:20:35.856]  Civil unrest, riots, looting.
[00:20:36.016 --> 00:20:38.158]  It's happening now, right here in the United States.
[00:20:38.478 --> 00:20:39.839]  And your rights are at risk.
[00:20:40.079 --> 00:20:44.162]  If passed, HR 5344 would ban Level 3 and above body armor.
[00:20:44.442 --> 00:20:46.384]  KD Armor is standing up for you.
[00:20:46.604 --> 00:20:49.667]  We offer the most affordable Level 3 body armor on the market.
[00:20:49.727 --> 00:20:54.070]  KD Level 3 armor withstands pistol and rifle hits up to 7.62 NATO.
[00:20:54.170 --> 00:20:55.972]  Get yours at KDArmor.com.
[00:20:56.012 --> 00:20:57.953]  That's KDArmor.com.
[00:20:58.313 --> 00:20:58.994]  KD Armor.
[00:20:59.094 --> 00:20:59.955]  Come and take it.
[00:21:00.999 --> 00:21:05.802]  Global warming purports rising CO2 levels, while evolution describes mutated DNA.
[00:21:06.042 --> 00:21:10.044]  The fraudulent sciences describe effects of iron poisoning and copper depletion.
[00:21:10.425 --> 00:21:21.191]  As generations are iron-poisoned and copper-deprived, the DNA has mutated and weakened, as blood types A, B, and O. These blood types and rhesus factor are falsely used as evidence of evolution.
[00:21:21.651 --> 00:21:24.333]  Humans were created solely with blood type AB negative.
[00:21:24.794 --> 00:21:31.059]  Fraudulent science reports mutated DNA coupled with rising CO2 levels in blood are causing humans to go into extinction.
[00:21:31.519 --> 00:21:36.383]  In truth, humans are being methodically exterminated by iron poisoning and copper depletion.
[00:21:36.804 --> 00:21:40.827]  Blood type AB is on the shroud of Turin and matches the healthy population.
[00:21:41.267 --> 00:21:42.388]  They claim this is evidence.
[00:21:42.628 --> 00:21:45.171]  They are from the line of Christ, and thus are His Christ.
[00:21:45.631 --> 00:21:50.176]  They are from the lines that were disinherited 2,000 years ago, and now they claim to be His Christ.
[00:21:50.616 --> 00:21:53.479]  For further information, go to unveilingthem.com.
[00:21:53.719 --> 00:21:57.302]  That is U-N-V-E-I-L-I-N-G them dot com.
[00:21:57.663 --> 00:21:58.924]  unveilingthem.com
[00:22:00.106 --> 00:22:03.751]  We all have our own idea about what being safe and secure means.
[00:22:04.091 --> 00:22:09.317]  The doors lock, bills are paid, you've got a job that keeps the lights on, and a home to call your own.
[00:22:09.598 --> 00:22:12.001]  But what happens when Mother Nature throws a curveball?
[00:22:14.824 --> 00:22:18.726]  Are you prepared to live without electricity or passable roads for weeks at a time?
[00:22:19.106 --> 00:22:20.587]  Do you even have a plan B?
[00:22:21.207 --> 00:22:24.209]  If you do, are you willing to bet your life on it?
[00:22:24.489 --> 00:22:25.710]  Children left with no home.
[00:22:25.730 --> 00:22:27.070]  And no one's coming to help them.
[00:22:27.570 --> 00:22:30.412]  The first step towards self-reliance in the face of disaster.
[00:22:30.612 --> 00:22:32.833]  It's a visit to mypatriotsupply.com.
[00:22:33.033 --> 00:22:40.695]  There you'll find the absolute best prices on storable foods, non-GMO seeds, emergency water filtration devices, and so much more.
[00:22:40.876 --> 00:22:45.017]  All orders over $49 qualify for free shipping in the lower 48 states.
[00:22:45.157 --> 00:22:46.758]  Call 866-229-0927.
[00:22:47.238 --> 00:22:49.378]  That's 866-229-0927.
[00:22:49.499 --> 00:22:52.880]  And speak to one of our preparedness advisors today.
[00:22:53.140 --> 00:22:55.841]  Or visit us at mypatriotsupply.com.
[00:22:55.981 --> 00:22:59.202]  Remember, before it's time to survive, it's time to prepare.
[00:22:59.642 --> 00:23:06.707]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:23:06.787 --> 00:23:08.949]  But it's not just the air outside that's toxic.
[00:23:09.149 --> 00:23:14.233]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:23:14.413 --> 00:23:19.437]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:23:19.597 --> 00:23:22.619]  There are more than 42 million smokers in the United States.
[00:23:22.899 --> 00:23:26.762]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:23:26.962 --> 00:23:31.206]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[00:23:31.266 --> 00:23:41.294]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:23:41.534 --> 00:23:45.817]  Made with organic and wild cultivated herbs and manufactured in the USA.
[00:23:45.917 --> 00:23:46.478]  The new info
[00:23:46.578 --> 00:23:52.244]  InfoWarsLife Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:23:52.424 --> 00:23:56.388]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:24:14.512 --> 00:24:38.841]  I hurt myself today To see if I still feel I focus on the pain The only thing that's real The needle tears a hole
[00:24:40.407 --> 00:24:45.351]  Well, General McHenry has come out and said, we helped build ISIS.
[00:24:47.153 --> 00:24:50.556]  Weapons from Benghazi ended up in the hands of Islamic State radicals.
[00:24:51.057 --> 00:24:54.039]  We told you several years ago that was coming.
[00:24:54.079 --> 00:25:05.149]  And oh gee, Al-Qaeda now named ISIS, now named IS to confuse the public, why they're going to attack America now, why the attack is imminent in Texas or on the Texas border.
[00:25:06.050 --> 00:25:16.204]  The Department of Homeland Security says by or on September 11th, we've got our reporters down there on the ground, why is that border wide open?
[00:25:16.885 --> 00:25:18.247]  That clip is coming up.
[00:25:19.994 --> 00:25:22.295]  But back to the top story, geopolitically.
[00:25:23.175 --> 00:25:23.495]  U.S.
[00:25:23.615 --> 00:25:28.877]  allies to stage exercise in West Ukraine as battles rage in the east.
[00:25:29.697 --> 00:25:43.521]  As fighting between the army and Russian-backed rebels rage in eastern Ukraine, preparations are underway near the western border for a joint military exercise this month with more than 1,000 troops from the United States and its allies.
[00:25:44.202 --> 00:25:48.023]  The decision to go ahead with the rapid, trident exercise
