[00:00:11.206 --> 00:00:15.089]  The Army is very proud of the new American city they've built to practice martial law.
[00:03:12.643 --> 00:03:20.832]  With the internment, resettlement, indoctrination, and re-education of political dissidents using their social security number.
[00:03:21.312 --> 00:03:23.575]  Clearly, it's not for foreign operations.
[00:03:24.055 --> 00:03:27.599]  And finally, I think it's significant how detailed these buildings are.
[00:03:28.140 --> 00:03:34.683]  They could easily train for foreign urban warfare using concrete shells of buildings which are cheaper and that's what they've done in the past.
[00:03:35.083 --> 00:03:38.405]  But here they have a completely intact American town.
[00:03:39.065 --> 00:03:43.807]  Down to the Washington DC subway logos and a small church building.
[00:03:44.227 --> 00:03:47.149]  Looks like they're training for a different kind of conflict.
[00:03:48.149 --> 00:03:56.253]  President James Madison wrote, the means of defense against foreign danger have always been the instruments of tyranny at home.
[00:03:57.145 --> 00:04:08.576]  But as Alex Jones pointed out in his documentary, 9-11, The Road to Tyranny, way back in 2001, FEMA was telling firefighters and other emergency personnel in Kansas that the Founding Fathers were terrorists.
[00:04:09.757 --> 00:04:15.342]  When people are passionate about what they believe in, they become a very difficult enemy to defeat.
[00:04:15.763 --> 00:04:18.045]  Who was the first terrorist organization in the United States?
[00:04:25.879 --> 00:04:28.321]  You mean, uh, George Washington?
[00:04:28.361 --> 00:04:28.521]  Yeah.
[00:04:28.721 --> 00:04:29.301]  Paul Revere?
[00:04:30.402 --> 00:04:30.562]  Yeah.
[00:04:30.602 --> 00:04:34.224]  These guys right here, let me ask you something.
[00:04:34.264 --> 00:04:35.405]  Did they try to scare people?
[00:04:35.705 --> 00:04:36.946]  Well, yeah.
[00:04:37.566 --> 00:04:39.968]  They tried to intimidate the British.
[00:04:40.028 --> 00:04:41.449]  Did they use acts of violence?
[00:04:41.769 --> 00:04:46.112]  Your founding fathers, my founding fathers, were involved in acts of terrorism.
[00:04:46.432 --> 00:04:47.392]  Posse Comitatus?
[00:04:47.873 --> 00:04:48.613]  Constitution?
[00:04:49.394 --> 00:04:51.315]  That's just yesterday's red tape.
[00:05:02.304 --> 00:05:07.890]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:05:08.091 --> 00:05:15.319]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:05:15.479 --> 00:05:18.683]  Radioactive contamination is now in most of the food supply.
[00:05:18.803 --> 00:05:20.586]  There's only two ways to avoid this.
[00:05:20.826 --> 00:05:25.414]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:05:25.555 --> 00:05:27.558]  Survival Shield Nascent Iodine.
[00:05:27.658 --> 00:05:32.887]  Secure your super high quality nascent iodine today at InfoWarsLive.com.
