[00:00:00.109 --> 00:00:00.550]  Big Brother!
[00:06:07.744 --> 00:06:10.746]  The facts are in.
[00:06:10.906 --> 00:06:12.047]  The studies are legion.
[00:06:12.327 --> 00:06:19.692]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:06:19.832 --> 00:06:23.294]  So why are the social engineers adding it to the water?
[00:06:23.654 --> 00:06:24.054]  Simple.
[00:06:24.234 --> 00:06:28.517]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:06:28.937 --> 00:06:34.400]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:06:34.660 --> 00:06:50.650]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:06:50.970 --> 00:06:55.215]  Let's take a stand against the Globalist by blocking their poisons with Fluoride Shield.
[00:06:55.555 --> 00:06:57.397]  I use Fluoride Shield every day.
[00:06:57.717 --> 00:07:03.023]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[00:07:03.283 --> 00:07:07.528]  Let's start cleansing our bodies now and support the InfoWar at the same time.
[00:07:07.688 --> 00:07:08.969]  That's InfoWarsLife.com.
[00:07:09.830 --> 00:07:18.856]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:07:18.916 --> 00:07:27.042]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:27.322 --> 00:07:32.024]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:07:32.184 --> 00:07:38.907]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:38.987 --> 00:07:46.071]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:46.171 --> 00:07:53.014]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:53.174 --> 00:07:57.537]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:57.657 --> 00:08:00.919]  Available in original or with our immune support infusion blend.
[00:08:01.059 --> 00:08:07.182]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:07.343 --> 00:08:09.024]  Available at InfoWarsLife.com
[00:08:38.976 --> 00:08:45.060]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:45.500 --> 00:08:47.521]  You're listening to Alex Jones.
[00:08:48.582 --> 00:08:53.905]  Ladies and gentlemen,
[00:09:09.045 --> 00:09:18.628]  Thank you so much for joining us on this worldwide Tuesday, January 7th, 2014 worldwide broadcast.
[00:09:19.989 --> 00:09:36.375]  Nuclear and chemical physicist Dr. Busby will be joining us coming up later in the next hour for about 30 minutes to give us an update on the increased radiation levels slamming into California.
[00:09:37.990 --> 00:09:49.993]  And the rest of the West Coast, all the way up into Canada and Alaska, I am launching a team of reporters, Jakari Jackson, Adan Salazar, and others to the West Coast.
[00:09:50.013 --> 00:10:00.756]  They're going to go to San Diego, Los Angeles, San Francisco, and all the way up the coast of Seattle, getting measurements every 50 to 100 miles.
[00:10:03.103 --> 00:10:09.347]  There are obviously citizen journalists everywhere going out and getting readings, some of which are ten times normal levels.
[00:10:09.767 --> 00:10:13.470]  On average, in areas of San Francisco, they found levels five times higher.
[00:10:13.970 --> 00:10:19.514]  The County Health Department went out with their own Geiger counters and found exactly the same numbers.
[00:10:20.214 --> 00:10:22.516]  We're going to send our reporters to near the same spot.
[00:10:22.536 --> 00:10:28.239]  We're trying to find the same spots they mentioned and list in the news reports.
[00:10:28.780 --> 00:10:31.061]  But then we're going to survey other areas.
[00:10:31.101 --> 00:10:31.822]  First, they're going to go to
[00:10:33.757 --> 00:10:50.832]  San Francisco, then they're going to go up the coast, north through Northern California, Oregon, Seattle, then they're going to fly back down to Southern California and survey San Diego, Los Angeles, Long Beach, right down to the border, then they're going to come back to Austin.
[00:10:50.852 --> 00:10:51.793]  So they're going to be gone a week.
[00:10:52.810 --> 00:11:01.300]  They're going to be popping in daily with reports and on the nightly news giving us their findings with four different Geiger counters.
[00:11:01.380 --> 00:11:02.601]  I bought five Geiger counters.
[00:11:02.621 --> 00:11:05.584]  We're going to keep one here in Austin and do our own test of seafood.
[00:11:06.305 --> 00:11:11.351]  It's really time to plunge into this and expose what's going on.
[00:11:11.391 --> 00:11:12.872]  So Dr. Christopher Busby
[00:11:13.891 --> 00:11:15.672]  We'll be joining us at the start of the next hour.
[00:11:15.692 --> 00:11:31.181]  And then William F. Jasper, he was on with us about a month ago and he promised to come back in the new year to cover the convergence of global governance and how they transfer local and national and individual sovereignty to these unelected globalist corporate boards.
[00:11:31.741 --> 00:11:34.162]  So that is coming up as well today.
[00:11:36.124 --> 00:11:39.986]  We are going to have Leanne McAdoo pop in at the bottom of the hour for about 10 minutes.
[00:11:41.419 --> 00:11:51.439]  In downtown Austin at the corner of Cesar Chavez and La Vaca in front of the globalist Agenda 21 command base known as the City Hall.
[00:11:54.005 --> 00:12:14.096]  Right out in front of the Willie Nelson statue, we're going to have Leon McAdoo out there with the group that is hunger striking into day nine now to draw attention to the deadly hydrofluorosilicic acid or sodium fluoride that's being added to the water supply illegally under the Geneva Convention against forced medication.
[00:12:15.020 --> 00:12:18.462]  And of course it causes lowered IQs in Harvard studies, you name it.
[00:12:18.822 --> 00:12:23.305]  Gives people pancreatic cancer, bladder cancer, kidney cancer, bone cancer.
[00:12:23.345 --> 00:12:24.285]  All the studies are on record.
[00:12:24.605 --> 00:12:25.406]  It's incontrovertible.
[00:12:26.086 --> 00:12:31.989]  All the EPA and FDA scientists, literally the vast majority of them have gone public and tried to get the government to change this.
[00:12:32.670 --> 00:12:36.732]  They had new regulations two years ago ordering it to not be used in pesticides anymore.
[00:12:37.533 --> 00:12:38.153]  It's so deadly.
[00:12:40.120 --> 00:12:45.161]  And it bioaccumulates in the plants, so it is truly amazing that this continues.
[00:12:45.181 --> 00:12:46.881]  It is a eugenics program.
[00:12:48.582 --> 00:12:55.883]  Now, that said, ladies and gentlemen, Chicago has smashed its all-time record cold temperature numbers.
[00:12:56.984 --> 00:13:00.444]  That is being reported on by NBC Chicago.
[00:13:01.745 --> 00:13:05.065]  Also, New York City breaks a 118-year low.
[00:13:06.065 --> 00:13:08.186]  Al Gore says it's caused by global warming.
[00:13:09.418 --> 00:13:17.408]  Average temp in the USA is 19.4 Fahrenheit or quite a few degrees below freezing.
[00:13:17.488 --> 00:13:21.312]  It's freezing 32 on the Fahrenheit scale.
[00:13:22.013 --> 00:13:24.196]  So that's a good 14 degrees under there.
[00:13:25.277 --> 00:13:27.219]  Coldest air in many areas of the country in 20 years.
[00:13:28.909 --> 00:13:32.352]  A hundred stranded overnight on snowbound Amtrak trains.
[00:13:32.873 --> 00:13:34.094]  Power demand soars.
[00:13:34.174 --> 00:13:44.904]  Texas grid pushes to the edge because about a third of our power plants have been shut down by not even executive orders, just global treaties circumventing Congress illegally.
[00:13:47.147 --> 00:13:52.432]  So the dirty plants right over the border are having to turn up their production in Mexico to all-time highs.
[00:13:53.766 --> 00:13:56.807]  The Indianapolis mayor says you could die outside in 10 minutes.
[00:13:57.247 --> 00:13:58.307]  You could, quote, be dead.
[00:13:58.927 --> 00:14:01.068]  Escaped inmate from the cold turns himself in.
[00:14:01.528 --> 00:14:05.108]  Climate change groups seek new leadership as movement loses steam.
[00:14:05.128 --> 00:14:07.169]  It doesn't matter if it loses steam.
[00:14:08.329 --> 00:14:17.771]  In Europe, in the United States, and in England, they're shutting down the clean coal power plants, even new plants that were built in Texas and in Wisconsin.
[00:14:19.218 --> 00:14:23.019]  Brand new plants, some of them costing a billion dollars apiece.
[00:14:23.079 --> 00:14:26.240]  The one in South Texas cost three billion dollars.
[00:14:26.601 --> 00:14:31.022]  Took seven years to build and it's been closed before it opened on completion.
[00:14:33.943 --> 00:14:41.446]  There was a plant built up by Green Bay that cost close to a billion dollars to be owned by the state and the cities.
[00:14:42.226 --> 00:14:45.027]  Totally clean burning coal plant with the scrubbing systems.
[00:14:46.860 --> 00:14:50.963]  You drive by a new coal plant, you notice it's got like four or five buildings attached to it, that's the scrubbers.
[00:14:51.343 --> 00:14:54.906]  Nothing comes out of it but water and carbon dioxide, nothing.
[00:14:55.386 --> 00:15:04.253]  So they list carbon dioxide as a pollutant, the EPA does, and you now cannot have that plant.
[00:15:04.853 --> 00:15:10.938]  And so your electric cars get their power from coal, 50 plus percent, and your homes get it, and so what's gonna happen?
[00:15:10.958 --> 00:15:13.920]  Your power prices are going to what?
[00:15:14.140 --> 00:15:15.141]  Explode.
[00:15:17.680 --> 00:15:19.322]  And it doesn't matter if it's discredited.
[00:15:19.362 --> 00:15:21.944]  Now, I told you they were already doing this in Europe.
[00:15:23.005 --> 00:15:26.267]  They banned the new production of space eaters three years ago.
[00:15:26.628 --> 00:15:34.454]  They've banned the new construction in Germany and other countries under EU rules of single-parent or single-family dwelling homes.
[00:15:34.955 --> 00:15:36.036]  Daddy, Mommy, and the kids.
[00:15:36.096 --> 00:15:36.877]  That is illegal.
[00:15:37.377 --> 00:15:38.038]  To build new ones.
[00:15:39.333 --> 00:15:46.136]  You can only live in basically new coffin buildings, new coffin size, 250 square foot systems.
[00:15:46.557 --> 00:15:49.718]  San Francisco's doing it, New York's doing it.
[00:15:49.938 --> 00:15:55.101]  You can pay exorbitant prices and a special tax and get out of that bracket, but only the elite can do it.
[00:15:55.461 --> 00:15:58.122]  Then they can take almost all your disposable income and tax.
[00:15:58.563 --> 00:16:01.244]  So this is the bureaucrats have brought in austerity.
[00:16:03.425 --> 00:16:07.627]  That's to make you so poor that they can siphon off 90% of what you make.
[00:16:07.747 --> 00:16:09.167]  France is now doing this as well.
[00:16:10.348 --> 00:16:19.551]  Then they can take your tax money and build the robots to replace you in the factories, the robots in the fields, the robots to do the fighting, the robots to do the flying, and then you get it.
[00:16:19.651 --> 00:16:28.635]  Once we're fully locked down in coffin cities, in coffin buildings, in coffin apartments, then the loving bioweapons are released.
[00:16:29.355 --> 00:16:34.922]  And they're only building up the attacks right now, testing their new viruses.
[00:16:34.962 --> 00:16:41.750]  They admitted in the H1N1 shots they added the year before, the H1N1 itself as a quote, tracer.
[00:16:44.301 --> 00:16:44.721]  Virus.
[00:16:45.102 --> 00:16:48.865]  And it wasn't a big scandal that, oh, secret testing in the flu vaccine.
[00:16:49.125 --> 00:16:59.334]  It was a minor academic footnote that they put H1N1 out a year before and then designed it as a basic viral form of biological nanotech.
[00:17:00.015 --> 00:17:03.057]  It's what they call it, to mutate into H1N1 the next year.
[00:17:03.077 --> 00:17:08.442]  I mean, you're living in Buck Rogersville with total eugenics criminals doing whatever they want.
[00:17:08.882 --> 00:17:10.804]  Speaking of that, here's a CBS News report.
[00:17:12.363 --> 00:17:16.445]  You hear about a little girl who goes in to get her tonsils out and flesh-eating bacteria eat her brain?
[00:17:16.886 --> 00:17:20.728]  Report, girl falls asleep up to 30 times a day after getting flu shot.
[00:17:21.288 --> 00:17:23.830]  And the insert says it can give you narcolepsy.
[00:17:25.484 --> 00:17:38.834]  I know about, I don't know, seven or eight people, some acquaintances, some friends, who didn't listen to me over the years and got the flu shot in Austin, who now have narcolepsy and can't drive, and epilepsy, or Guillain-Barré's are all three.
[00:17:39.475 --> 00:17:41.096]  Two of the people I know have Guillain-Barré.
[00:17:41.677 --> 00:17:44.799]  They still have, years later, their hands are numb, their feet are numb.
[00:17:46.140 --> 00:17:47.801]  It's not the really bad type where you stop breathing.
[00:17:48.642 --> 00:17:50.023]  And then they fall asleep in traffic.
[00:17:51.684 --> 00:17:53.426]  And they have seizures now.
[00:17:54.673 --> 00:17:56.394]  Just a wondrous new system.
[00:17:56.754 --> 00:17:59.476]  I know a talk show host who had Guillain-Barré real bad for about a year.
[00:17:59.496 --> 00:18:00.257]  He still has a little bit of it.
[00:18:00.777 --> 00:18:01.597]  His toes are numb.
[00:18:02.158 --> 00:18:04.079]  And he still thinks I'm wrong, though, about it.
[00:18:04.179 --> 00:18:07.721]  It's good to take the shot and have your feet, your toes paralyzed.
[00:18:09.142 --> 00:18:09.543]  It's good.
[00:18:10.683 --> 00:18:11.724]  It's a good thing.
[00:18:12.505 --> 00:18:13.785]  And I'm wrong, you understand.
[00:18:14.926 --> 00:18:17.728]  Just like we're wrong about radiation increase levels being bad.
[00:18:18.168 --> 00:18:19.289]  But I told you this was coming.
[00:18:19.669 --> 00:18:22.271]  EPA proposes restrictions for new wood stoves.
[00:18:24.187 --> 00:18:25.328]  They say they're above the law.
[00:18:25.348 --> 00:18:27.651]  The Supreme Court's ruled that Congress can't affect them.
[00:18:27.671 --> 00:18:28.652]  They can do whatever they want.
[00:18:28.712 --> 00:18:29.873]  So they're dictators.
[00:18:31.255 --> 00:18:34.339]  Just as MSNBC pundit has now called Obama to govern by decree.
[00:18:34.699 --> 00:18:36.341]  That video clip's coming up in the next segment.
[00:18:37.572 --> 00:18:42.056]  And they said they're going to cut the emissions you're allowed to put out of a fireplace or wood stove by 80%.
[00:18:42.857 --> 00:18:45.719]  And this has already begun all over California.
[00:18:45.759 --> 00:18:53.566]  We've gotten the calls and seen the little blurbs in the news where code enforcers come and give you tickets for your fireplace.
[00:18:54.627 --> 00:18:58.850]  And they're sending armored vehicles out to rural areas all over California as the test.
[00:18:59.871 --> 00:19:03.635]  And they show up with SWAT teams with no warrant and raid your house
[00:19:04.793 --> 00:19:08.878]  When they see smoke coming out, to put a detector on it and say too much smoke's coming out.
[00:19:09.659 --> 00:19:10.541]  There's not even a law.
[00:19:10.581 --> 00:19:17.830]  They just... It's kind of like... We caught Austin giving mainly old people and then taking their property with $2,000 a day fines back in 1997.
[00:19:17.990 --> 00:19:21.435]  There's a video of it on YouTube that we re-uploaded.
[00:19:23.140 --> 00:19:23.540]  I don't know.
[00:19:45.285 --> 00:19:46.466]  And they still gave him tickets.
[00:19:46.486 --> 00:19:51.051]  They said, well, we just find that dead grass under that tree unacceptable.
[00:19:51.311 --> 00:19:58.459]  Because the city ordinance said weeds, debris, or anything that they find objectionable, they are God.
[00:19:58.819 --> 00:20:01.001]  Your garden in the backyard is unacceptable.
[00:20:01.402 --> 00:20:03.003]  Your stoves are unacceptable.
[00:20:03.244 --> 00:20:04.725]  They're going to ban everything.
[00:20:04.985 --> 00:20:06.207]  They're coming for you.
[00:20:06.567 --> 00:20:07.608]  They're not going to stop.
[00:20:07.848 --> 00:20:08.489]  They're criminals.
[00:20:10.345 --> 00:20:12.927]  Hi folks, Alex Jones here with some important information.
[00:20:13.187 --> 00:20:18.050]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:20:18.310 --> 00:20:26.195]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:20:26.436 --> 00:20:30.738]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:20:30.978 --> 00:20:34.781]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:20:34.921 --> 00:20:40.624]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:20:40.864 --> 00:20:43.646]  It is rare to find companies who practice what they preach.
[00:20:44.046 --> 00:20:49.249]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:20:49.409 --> 00:20:57.434]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:21:01.876 --> 00:21:03.957]  That's 866-229-0927.
[00:21:04.137 --> 00:21:06.478]  Do business with someone who shares your values.
[00:21:06.758 --> 00:21:09.499]  Buypatriotsupply.com slash Alex.
[00:21:11.279 --> 00:21:16.381]  There's no reason to be sick this season with Supernatural Silver's incredible technology.
[00:21:16.661 --> 00:21:25.803]  You can give your immune system the support it needs to help fight off colds, flus, and other nasty pathogens that can ruin the holidays for you and those you love.
[00:21:26.243 --> 00:21:27.624]  Used internally or topically,
[00:21:27.944 --> 00:21:35.447]  Supernatural Silver is a great defense against sore throats, runny noses, sinus or ear infections, and a whole host of other illnesses.
[00:21:35.868 --> 00:21:40.930]  Supernatural Silver is extremely safe, and a great way to protect yourself and the ones you love.
[00:21:41.290 --> 00:21:45.392]  No one knows what the future may bring, so be smart and plan ahead.
[00:21:45.712 --> 00:21:51.675]  Have Supernatural Silver in your emergency preparedness arsenal, and give someone a gift that's meaningful.
[00:21:52.095 --> 00:21:53.956]  A gift that can change lives.
[00:21:54.356 --> 00:21:56.057]  Give the gift of good health this year.
[00:21:56.357 --> 00:22:03.519]  Go to SupernaturalSilver.com and use the promo code SILVER2013 for 20% off your entire order.
[00:22:03.979 --> 00:22:07.600]  That's SupernaturalSilver.com and like us on Facebook.
[00:22:09.481 --> 00:22:10.241]  My name's Bruno.
[00:22:10.381 --> 00:22:11.462]  I'm 52 years old.
[00:22:11.722 --> 00:22:15.263]  I've tried different protein powders over the years and they've all tasted pretty bad.
[00:22:15.363 --> 00:22:17.404]  I tried One World Way and found it to be delicious.
[00:22:17.624 --> 00:22:23.185]  After 10 weeks on One World Way, my wife commented, you have more muscles and you're leaner than when you were 20 years old.
[00:22:23.605 --> 00:22:25.166]  My body has changed dramatically.
[00:22:25.706 --> 00:22:26.387]  I'm a cyclist.
[00:22:26.627 --> 00:22:29.148]  Normally I'll ride two days on and take two days off.
[00:22:29.629 --> 00:22:39.415]  After being on One World Way, I rode 10 days in a row in over 100 degree heat and then I take another two servings of One World Way and then work out at the gym for another hour and a half.
[00:22:39.775 --> 00:22:41.476]  I just couldn't believe these results.
[00:22:41.956 --> 00:22:45.499]  My normal muscle tightness and soreness after working out are virtually gone.
[00:22:46.159 --> 00:22:47.280]  Don't take my word for it.
[00:22:47.660 --> 00:22:49.281]  One World Way comes in single servings.
[00:22:49.681 --> 00:22:50.562]  Just give it a try.
[00:22:51.172 --> 00:22:54.216]  For a health and taste sensation you'll love, call 888-988-3325.
[00:22:54.316 --> 00:22:54.696]  That's 888-988-3325.
[00:22:55.237 --> 00:22:55.597]  That's 888-988-3325.
[00:22:55.737 --> 00:22:56.859]  Or visit OneWorldWay.com.
[00:22:56.919 --> 00:22:57.820]  That's OneWorld, W-H-E-Y.com.
[00:23:09.253 --> 00:23:14.394]  Did you know that organic sulfur can cleanse and defend your body against the poisons we're exposed to each day?
[00:23:14.834 --> 00:23:24.336]  Organic sulfur crystals from SulfurDefense.com help by forcing oxygen and nutrition into your cells while eliminating heavy metals, contaminants, and damaging radiation.
[00:23:24.836 --> 00:23:30.057]  Defend yourself and family from toxic assault with one of the most critical and essential minerals available today.
[00:23:30.357 --> 00:23:32.538]  Order online at SulfurDefense.com.
[00:23:32.858 --> 00:23:33.958]  That's SulfurDefense.com.
[00:23:34.078 --> 00:23:34.518]  Or call 800-593-6273.
[00:23:39.539 --> 00:23:41.821]  Is the Second Amendment your line in the sand?
[00:23:42.161 --> 00:23:44.902]  Is the United States Constitution important to you?
[00:23:45.202 --> 00:23:47.283]  Are you worried about gun confiscation?
[00:23:47.504 --> 00:23:50.765]  You need to join us for free at gunconfiscation.com.
[00:23:51.005 --> 00:24:00.390]  At gunconfiscation.com, you will meet like-minded patriots, get the latest Second Amendment news, and find anything you need to prepare for gun confiscation.
[00:24:00.651 --> 00:24:03.052]  Visit gunconfiscation.com today.
[00:24:03.292 --> 00:24:05.273]  That's gunconfiscation.com.
[00:24:05.633 --> 00:24:06.774]  Which side are you on?
[00:24:13.484 --> 00:24:28.016]  We reported on this last year.
[00:24:28.096 --> 00:24:35.502]  David Knight, before he moved down here from North Carolina, was working with a free market group in investigations and it ended up being national news.
[00:24:36.403 --> 00:24:53.814]  When they discovered that universities under EPA grants were pumping massive levels of particulates secretly in onto students in the test to make them ill to then claim that an incredibly low level of particulate is bad for you.
[00:24:54.054 --> 00:24:56.516]  Well obviously particulates aren't great for you.
[00:24:56.956 --> 00:25:01.118]  Obviously if you go out camping for a week and sit around a campfire you might cough some.
[00:25:01.739 --> 00:25:03.580]  All secondhand smoke isn't good for you.
[00:25:05.427 --> 00:25:12.489]  But they're going to use this to shut down people being able to have their own wood stoves and be self-sufficient.
[00:25:13.309 --> 00:25:22.052]  And there's massive studies about how potash going into the atmosphere helps create rain, helps fertilize, how the carbon dioxide is good for the atmosphere, it's what plants breathe.
[00:25:22.332 --> 00:25:26.313]  But obviously it's not good for you to sit there and huff it and breathe it at point-blank range.
[00:25:26.773 --> 00:25:27.853]  Living is dangerous.
[00:25:28.233 --> 00:25:29.834]  Too much sun is bad for you.
[00:25:30.254 --> 00:25:32.094]  And they want to make it illegal to suntan.
[00:25:32.154 --> 00:25:34.435]  Cass Sunstein, the White House regulations are.
[00:25:34.915 --> 00:25:36.836]  If you don't get sun, you'll die even faster.
[00:25:38.718 --> 00:25:40.659]  Can't live with it, can't live without it.
[00:25:41.079 --> 00:25:45.302]  Look at this, EPA proposes restrictions for new wood stoves, Fox News.
[00:25:45.762 --> 00:25:54.669]  And the issue is, they propose it, have a public comment, and then they just go, oh, we're not going to implement the 80% reduction, it'll only be 50.
[00:25:55.309 --> 00:25:57.651]  And then the bureaucrats, and it's already begun!
[00:25:59.093 --> 00:26:04.035]  Come after you, they're going to ban the space heaters you see outside that have natural gas in them.
[00:26:04.255 --> 00:26:04.996]  Totally clean.
