[00:00:00.029 --> 00:00:01.410]  Direct from Austin.
[00:05:50.641 --> 00:05:51.981]  The establishment's not going to do it.
[00:05:52.141 --> 00:05:53.362]  It's time to take action.
[00:05:53.502 --> 00:05:55.162]  It's time to filter our water.
[00:05:55.342 --> 00:06:02.487]  Visit InfoWarsThor.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:06:02.727 --> 00:06:06.270]  Our call toll free, 888-253-3139.
[00:06:07.150 --> 00:06:14.155]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:06:14.295 --> 00:06:16.476]  But it's not just the air outside that's toxic.
[00:06:16.636 --> 00:06:21.760]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:06:21.940 --> 00:06:26.963]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:06:27.103 --> 00:06:30.125]  There are more than 42 million smokers in the United States.
[00:06:30.425 --> 00:06:34.267]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:06:34.488 --> 00:06:38.730]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[00:06:38.810 --> 00:06:48.856]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:06:49.056 --> 00:06:51.558]  Made with organic and wild cultivated herbs
[00:06:51.758 --> 00:06:59.808]  And manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:06:59.968 --> 00:07:03.933]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:07:07.216 --> 00:07:13.163]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:07:13.363 --> 00:07:17.568]  Most people know that iodine deficiency has been a crisis around the world.
[00:07:17.929 --> 00:07:22.494]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:07:22.894 --> 00:07:25.515]  I discovered a product being developed by Dr. Group.
[00:07:25.815 --> 00:07:31.017]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:07:31.278 --> 00:07:38.140]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:07:38.661 --> 00:07:42.422]  And the results that I personally have had have been life-changing.
[00:07:42.782 --> 00:07:47.584]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:07:47.905 --> 00:07:48.765]  This is innovating.
[00:07:49.045 --> 00:07:56.327]  And the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[00:07:56.507 --> 00:08:00.588]  For a limited time, experience the ancient power of Survival Shield X2.
[00:08:00.788 --> 00:08:06.230]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[00:08:19.318 --> 00:08:19.881]  We're good.
[00:09:01.545 --> 00:09:03.287]  The Alex Jones Show.
[00:09:03.688 --> 00:09:06.552]  Because there is a war on for your mind.
[00:09:19.679 --> 00:09:24.144]  Ladies and gentlemen, thank you for joining us on this worldwide transmission.
[00:09:24.204 --> 00:09:30.110]  Thursday, the 19th day already of June 2014.
[00:09:30.270 --> 00:09:32.192]  I am your host, Alex Jones.
[00:09:32.212 --> 00:09:39.179]  The news websites are PrisonPlanet.com and of course InfoWars.com.
[00:09:40.700 --> 00:09:41.540]  The U.S.
[00:09:41.640 --> 00:09:53.245]  military officially throughout the Pentagon, and the letters are flooding us by the hundreds with photocopies and digital photos that the military personnel are taking for us, are stamping for us.
[00:09:54.025 --> 00:10:06.370]  We've been hit by a tsunami of documentation that at military terminals and computers across the world, InfoWars.com and PrisonPlanet.com are being blocked.
[00:10:07.915 --> 00:10:21.304]  That's why we have Facebook, that's why we have Twitter, that's why we have YouTube and a bunch of other platforms because it's a whack-a-mole type situation for years where we get censored at libraries, at colleges, you name it.
[00:10:22.785 --> 00:10:36.775]  We are listed as hate and violence as well as racism and we're seeing censorship happen to InfoWars not just on the internet but concerted efforts
[00:10:38.018 --> 00:10:45.940]  They do absolutely nothing, by the way, of calling up our AM and FM affiliates with Democratic Party seminar callers.
[00:10:46.660 --> 00:10:52.261]  They're trained in seminars to call up and threaten them that they better take my show off the air.
[00:10:53.641 --> 00:11:01.343]  And several affiliates, I'm going to get some of them on as guests to talk about it, have just said, you know what, we have him on at night rebroadcast, we're just going to go ahead and put him on live.
[00:11:01.643 --> 00:11:02.243]  How's that sound?
[00:11:03.612 --> 00:11:08.216]  Because we listen to Alex and we know he's not preaching hate or racism or violence.
[00:11:08.276 --> 00:11:12.420]  On the opposite, it's you people trying to destroy free speech in this country.
[00:11:13.881 --> 00:11:17.804]  And if you can shut Alex Jones off the air, you can shut everybody off the air.
[00:11:18.265 --> 00:11:22.648]  So, we're getting a lot of new affiliates all over the United States right now.
[00:11:23.209 --> 00:11:25.691]  The system is upset by that and they don't like it.
[00:11:27.152 --> 00:11:30.215]  And by the way, the biggest boost we ever got
[00:11:33.291 --> 00:11:49.346]  On the roadmap to Infowars growing and reaching more and more people was when I put out Police State 2000 in 1999 and authorized folks to make copies of the VHS and the DVD.
[00:11:50.127 --> 00:11:51.588]  It was a bestseller for me at the time.
[00:11:51.608 --> 00:11:54.811]  It allowed me to hire some crew members, build a better studio and a lot of stuff.
[00:11:55.152 --> 00:11:56.233]  That film became a hit.
[00:11:57.904 --> 00:12:09.254]  That the Marines, who featured largely in the film, running checkpoints, preparing for urban warfare, gun confiscation, the Marines were upset by the fact that they were being trained for gun confiscation.
[00:12:09.634 --> 00:12:10.695]  They watched the film.
[00:12:12.837 --> 00:12:24.987]  It caused a huge debate and the Marines were told, in briefings all over the United States, came down from Clinton, came down from the high brass, do not watch Alex Jones, do not listen to him.
[00:12:25.885 --> 00:12:39.977]  Well, most of them didn't know who I was, so it made that film a super, hot, cause-celeb documentary that was passed out on military basis.
[00:12:40.418 --> 00:12:41.959]  Then it became popular in the Army.
[00:12:43.420 --> 00:12:49.626]  They would run the Marines, run the Army, give them PT duty, write them up, you name it, chew them out.
[00:12:51.678 --> 00:12:55.502]  Some commanders would call them in and say, you know, I trust you guys.
[00:12:56.503 --> 00:12:57.083]  This is America.
[00:12:57.103 --> 00:12:57.924]  It's the First Amendment.
[00:12:58.184 --> 00:12:59.826]  We shouldn't be training to confiscate guns.
[00:13:00.146 --> 00:13:01.508]  I want you to watch this film.
[00:13:03.750 --> 00:13:06.673]  So their attempt to do that totally backfired.
[00:13:07.914 --> 00:13:08.995]  And that's what's happening here.
[00:13:09.175 --> 00:13:13.960]  And I saw some of the comments on Infowars.com by the hired paid trolls on record.
[00:13:15.339 --> 00:13:28.242]  It's on record they have literally sock puppets is what they call these computer programs that a person loads in the responses but then the sock puppets go out and auto post with bots to the comment sections.
[00:13:29.540 --> 00:13:35.145]  And they basically caused the Streisand Effect before the Streisand Effect was even known to exist in 2003.
[00:13:35.205 --> 00:13:46.456]  The Streisand Effect is a phenomenon whereby an attempt to hide, remove, or censor a piece of information has the unintended consequence of publicizing the information more widely, using... facilitated by the Internet.
[00:13:46.836 --> 00:13:47.577]  ...usually facilitated.
[00:13:47.957 --> 00:13:58.527]  It's named after American entertainer Barbra Streisand, who attempted in 2003, four years after this happened to me, to suppress photographs of her residence in Malibu, California, inadvertently generating further publicity.
[00:13:58.988 --> 00:14:02.871]  Similar attempts have been made, for example, in cease and desist letters to suppress...
[00:14:04.012 --> 00:14:05.312]  Numbers, files and websites.
[00:14:05.352 --> 00:14:18.855]  Instead of being suppressed, the information receives extensive publicity and media extensions such as videos and spoof songs often being widely mirrored across the internet or distributed on file sharing networks.
[00:14:22.076 --> 00:14:24.237]  Now the system is not stupid up at the top.
[00:14:25.077 --> 00:14:29.458]  But they have an authoritarian streak to want to just shut me up.
[00:14:30.549 --> 00:14:31.349]  And shut you up.
[00:14:31.429 --> 00:14:37.952]  The problem is, we're so prolific, and we're on so many platforms, growing under the censorship.
[00:14:38.012 --> 00:14:42.233]  See, when they would hack and attack one website or ban it, I would just start four or five.
[00:14:42.253 --> 00:14:43.654]  Remember, I used to have all those other websites.
[00:14:44.034 --> 00:14:45.395]  Infowars.net, still up.
[00:14:45.435 --> 00:14:46.415]  Jonesreport.com.
[00:14:46.735 --> 00:14:47.475]  We don't really update.
[00:14:47.495 --> 00:14:48.716]  We're going to do something big with it soon.
[00:14:49.336 --> 00:14:54.558]  Because they were always hitting my sites and attacking them, every time we were attacked or censored, we would launch a new website.
[00:14:55.818 --> 00:14:59.740]  That was a primitive form of social network, or a primitive form of distributing yourself.
[00:15:01.119 --> 00:15:05.681]  As the MySpace and Facebooks came along, we multi-distributed over to those.
[00:15:05.721 --> 00:15:07.522]  But we're going to launch more shopping carts.
[00:15:07.902 --> 00:15:09.263]  We're going to launch more websites.
[00:15:09.283 --> 00:15:12.804]  We're going to subscribe into more podcast services for you.
[00:15:13.144 --> 00:15:15.325]  Roku, Boxee, we're already on that for years.
[00:15:15.906 --> 00:15:20.468]  PrisonPlanet.tv is our own video audio platform to fight censorship.
[00:15:21.088 --> 00:15:23.129]  Just like in studies, if a plant
[00:15:23.809 --> 00:15:27.211]  Doesn't get wind, doesn't get rain, just gets barely watered, it's weak.
[00:15:27.651 --> 00:15:34.696]  But if it grows under rain and under sleet and under wind, if it survives, it's stronger.
[00:15:37.117 --> 00:15:39.199]  And that's the same thing happening here today.
[00:15:40.099 --> 00:15:41.800]  We expect to be attacked.
[00:15:42.601 --> 00:15:49.225]  We expect to then each time analyze what the establishment's doing and then grow stronger against that.
[00:15:51.004 --> 00:16:10.099]  To use an alien analogy, like the new movie that I think is pretty good and I should do a review of, Edge of Tomorrow, where the aliens that invade control time, and so they just continue to reset the day over and over again, so that the humans can't defeat them.
[00:16:12.267 --> 00:16:16.610]  But as soon as the humans discover that, well, they start time-traveling as well.
[00:16:16.630 --> 00:16:17.431]  I'm just going to leave it at that.
[00:16:17.751 --> 00:16:21.034]  I'm not going to give the plot completely away.
[00:16:21.814 --> 00:16:28.820]  But the globalists use supercomputers and their systems of control to not reset the day, but always relaunch.
[00:16:28.840 --> 00:16:34.204]  It's kind of like every major city votes down light rail boondoggle scams 5, 10, 15 times.
[00:16:34.464 --> 00:16:37.066]  They just keep coming back, keep coming back till they finally get it.
[00:16:37.987 --> 00:16:38.848]  Or just do it without a vote.
[00:16:39.597 --> 00:16:43.319]  See, we win victories all the time, but then think, oh, I'm not going to go fight it again.
[00:16:43.700 --> 00:16:54.807]  The whole war is about realizing that you've got to continue to engage over and over and over and over again, and that's what makes you stronger each time.
[00:16:55.487 --> 00:17:00.110]  It's called the animating contest of liberty, aka, to quote Thomas Jefferson.
[00:17:02.256 --> 00:17:08.480]  So, you're not animated when you don't care about anybody or yourself or geopolitics or the world.
[00:17:08.980 --> 00:17:21.329]  You're one of these statistically in studies, totally unhappy, self-centered, narcissistic bots that isn't even human, that just runs around regurgitating what mainstream media dumped into their head.
[00:17:21.349 --> 00:17:25.211]  I mean, we all know these people that are fad-driven.
[00:17:25.231 --> 00:17:26.952]  They literally aren't real people.
[00:17:27.273 --> 00:17:28.974]  They just regurgitate television.
[00:17:29.794 --> 00:17:30.675]  Mainstream garbage.
[00:17:32.213 --> 00:17:34.275]  They're unsuccessful, pathetic people.
[00:17:35.436 --> 00:17:42.862]  No one wants to be around them, except other trendies who all just sit around insecurely, bleeding like parrots.
[00:17:45.043 --> 00:17:56.973]  So, you can go see the letters issued to the military, access denied, NetWarCom policy, Department of Defense, issued yesterday, InfoWars.com banned, and you are not to visit it.
[00:17:59.335 --> 00:18:11.539]  Now, the only way this will work is if they censor us and others and no one comes to our aid and there isn't a Streisand effect, and then it sets the precedent they'll start censoring everybody.
[00:18:11.599 --> 00:18:13.340]  So we hang together or we hang separate.
[00:18:15.781 --> 00:18:17.461]  But people are getting upset about this.
[00:18:17.561 --> 00:18:27.105]  Blue Coat, this is separate from Blue Coat, big billion dollar private NSA tech firm that sells spy technology to companies basically to spy on their employees and others.
[00:18:29.119 --> 00:18:36.804]  They have limitedly removed us from most of the public databases, but still have us in the governmental databases.
[00:18:40.486 --> 00:18:45.950]  But this is separately a Pentagon directive that you can't get to InfoWars.com.
[00:18:46.270 --> 00:18:52.214]  But the machines and the people that set this up are so lazy and so dumb, they haven't hit our mirror, PrisonPlanet.com.
[00:18:52.794 --> 00:18:55.276]  And the fact is, literally, no exaggeration,
[00:18:56.493 --> 00:18:57.254]  Let's not exaggerate.
[00:18:57.354 --> 00:19:02.157]  Tens of thousands of websites and blogs a day repost our articles.
[00:19:03.217 --> 00:19:04.398]  In fact, that's not even accurate.
[00:19:04.798 --> 00:19:08.601]  We have articles on Facebook alone that get reposted probably 50,000 times a day.
[00:19:08.681 --> 00:19:13.624]  So, I guess it is hundreds of thousands of times a day each article gets redistributed.
[00:19:13.664 --> 00:19:20.008]  So, we're kind of ahead of the curve from your enemy operations hitting us so long ago.
[00:19:20.469 --> 00:19:23.331]  We kind of already made the jumps and are at another level.
[00:19:24.278 --> 00:19:27.059]  And we know you'll get more sophisticated, but that's the whole point.
[00:19:27.079 --> 00:19:28.140]  We're aware of the attack.
[00:19:28.460 --> 00:19:29.600]  You're human just like us.
[00:19:29.921 --> 00:19:31.922]  We're human just like you, but we love liberty.
[00:19:32.542 --> 00:19:33.442]  Liberty's sexy.
[00:19:33.462 --> 00:19:34.062]  People want it.
[00:19:34.363 --> 00:19:34.743]  I want it.
[00:19:35.283 --> 00:19:36.624]  We're selling snow cones in hell.
[00:19:37.444 --> 00:19:40.365]  You're selling, you know, Tabasco to be shot up people's noses.
[00:19:40.705 --> 00:19:41.626]  Nobody wants your tyranny.
[00:19:42.602 --> 00:19:42.822]  Okay?
[00:19:43.102 --> 00:19:46.543]  We're selling Marilyn Monroe, you're selling Janet Reno.
[00:19:46.923 --> 00:19:47.783]  Who do the guys want?
[00:19:48.123 --> 00:19:48.763]  Marilyn Monroe.
[00:19:49.243 --> 00:19:49.683]  Sexy.
[00:19:50.124 --> 00:19:50.624]  Amazing.
[00:19:51.044 --> 00:19:51.824]  Bedtime eyes.
[00:19:52.084 --> 00:19:52.744]  Whole nine yards.
[00:19:52.764 --> 00:19:53.364]  What are you selling?
[00:19:53.864 --> 00:19:57.365]  A giant, child-molesting, ugly, goblin-like demon.
[00:19:58.145 --> 00:20:01.346]  People are going to choose Marilyn Monroe, not the child-molesting goblin demon.
[00:20:01.386 --> 00:20:03.306]  Oh, you didn't know Janet Reno was a child-molester?
[00:20:03.526 --> 00:20:04.387]  She got caught with kids.
[00:20:04.767 --> 00:20:05.747]  She was a prostitute.
[00:20:07.472 --> 00:20:09.293]  The human body is extraordinary.
[00:20:09.613 --> 00:20:13.595]  Despite all the stresses we inflict upon it, it still works hard to stay in balance.
[00:20:13.795 --> 00:20:18.797]  Thousands upon thousands of people rely upon hardened body extract to help their body stay balanced.
[00:20:19.097 --> 00:20:28.301]  This excellent 100% natural herbal formula helps maintain healthy blood pressure levels, cleans arteries, promotes good circulation, balances cholesterol and more.
[00:20:28.801 --> 00:20:36.286]  HB Extract, paired with healthy lifestyle choices like good nutrition and exercise, can give you a life free of pain, sickness and fear.
[00:20:36.566 --> 00:20:42.329]  Recapture your youthful vitality and experience your body healing itself with the aid of HB Extract.
[00:20:42.589 --> 00:20:45.451]  It's extremely effective and it starts working in just days.
[00:20:45.911 --> 00:20:51.194]  Visit HBExtract.com to learn more and to read scores of testimonials from satisfied customers.
[00:20:51.474 --> 00:20:53.816]  And we've never increased our price in over 10 years.
[00:20:54.176 --> 00:20:58.860]  That makes Heart and Body Extract as great a value now as it was the first day we sold it.
[00:20:59.160 --> 00:21:00.761]  A healthy heart is a happy heart.
[00:21:01.001 --> 00:21:05.945]  Call 866-295-5305 or go to HBextract.com.
[00:21:07.106 --> 00:21:13.070]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:21:13.270 --> 00:21:17.433]  Most people know that iodine deficiency has been a crisis around the world.
[00:21:17.834 --> 00:21:22.357]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:21:22.757 --> 00:21:25.378]  I discovered a product being developed by Dr. Group.
[00:21:25.678 --> 00:21:30.899]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:21:31.139 --> 00:21:37.981]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:21:38.502 --> 00:21:42.263]  And the results that I personally have had have been life changing.
[00:21:42.623 --> 00:21:43.323]  Nobody else.
[00:21:43.763 --> 00:21:47.404]  ...has got iodine based on these pure crystals, ladies and gentlemen.
[00:21:47.724 --> 00:21:56.127]  This is innovating, and the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[00:21:56.307 --> 00:22:00.408]  For a limited time, experience the ancient power of Survival Shield X2.
[00:22:00.588 --> 00:22:06.109]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[00:22:06.369 --> 00:22:09.150]  If you owe the IRS back taxes, listen carefully.
[00:22:09.570 --> 00:22:11.771]  Sweeping changes to IRS policies
[00:22:12.111 --> 00:22:16.414]  We'll help more people than ever eliminate their tax debts once and for all.
[00:22:16.595 --> 00:22:22.199]  And now, thanks to Dan Pilla, you can get the tax help you need to end your tax nightmare.
[00:22:22.599 --> 00:22:23.560]  Hi, I'm Dan Pilla.
[00:22:23.880 --> 00:22:27.003]  I've helped thousands of people reduce or eliminate tax debts they couldn't pay.
[00:22:27.023 --> 00:22:32.907]  And after more than 30 years of experience dealing with the IRS, I can tell you there's no such thing as a hopeless tax case.
[00:22:33.328 --> 00:22:38.171]  With the IRS's new policies, it's easier than ever to put your tax debt behind you once and for all.
[00:22:38.372 --> 00:22:38.932]  Call now at 800-346-8000.
[00:22:40.573 --> 00:22:42.373]  Call 800-346-6829 to learn how I can help you.
[00:22:42.593 --> 00:22:46.334]  You know your IRS debt will not go away by itself, but you don't have to live in fear anymore.
[00:22:46.534 --> 00:22:47.174]  Call 800-346-6829.
[00:22:49.315 --> 00:22:56.916]  Learn how I can help you eliminate wage and bank levies, release tax liens, and negotiate a settlement with the IRS that will put your tax nightmare behind you forever.
[00:22:57.116 --> 00:23:02.438]  Call 800-34-NO-TAX or go to my website, TaxHelpOnline.com.
[00:23:02.718 --> 00:23:04.598]  That's TaxHelpOnline.com.
[00:23:05.948 --> 00:23:06.989]  Hi, this is Ted Anderson.
[00:23:07.069 --> 00:23:11.412]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:23:11.572 --> 00:23:17.196]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:23:17.277 --> 00:23:20.639]  Gold has outperformed paper investments, yet no word about IRAs.
[00:23:20.859 --> 00:23:23.701]  If you would like to have gold for your retirement, call 800-686-2237.
[00:23:25.643 --> 00:23:28.345]  Don't get left behind by rising inflation and low returns.
[00:23:28.505 --> 00:23:28.725]  Call 800-686-2237.
[00:23:28.745 --> 00:23:30.106]  Secure your future and call 1-800-686-2237.
[00:23:35.658 --> 00:23:40.581]  Gentlemen, in search of a million-dollar smile that'll make them take notice, I mean really get their attention?
[00:23:40.961 --> 00:23:41.861]  Then get the mud!
[00:23:42.322 --> 00:23:43.302]  My Magic Mud.
[00:23:43.723 --> 00:23:48.265]  The fluoride-free whitener with no chemicals, additives, GMOs, or bad taste.
[00:23:48.665 --> 00:23:49.626]  And safe to swallow.
[00:23:50.086 --> 00:23:55.669]  My Magic Mud detoxifies, reduces sensitivity, cleans and strengthens your teeth while it whitens.
[00:23:56.089 --> 00:23:58.511]  Comes as a powder for pure whitening power.
[00:23:58.891 --> 00:24:00.892]  Start looking good for that special someone.
[00:24:01.292 --> 00:24:02.313]  Get the mud now.
[00:24:02.693 --> 00:24:03.854]  MyMagicMud.com
[00:24:30.314 --> 00:24:32.556]  Alright, I mentioned how we're being censored.
[00:24:34.037 --> 00:24:39.982]  And folks who try to argue, well, let the military censor, you know, do experiments on the troops, they have no rights.
[00:24:40.783 --> 00:24:47.128]  Anybody that says the military has no rights hasn't read the law, doesn't understand the precedent.
[00:24:47.268 --> 00:24:50.170]  They can't give you experimental drugs in the military without your consent.
[00:24:50.751 --> 00:24:51.952]  They can't order you to do it.
[00:24:51.992 --> 00:24:53.973]  They can't make you take experimental vaccines.
[00:24:54.614 --> 00:24:59.238]  They cannot keep you when you're off duty from being able to visit.
[00:25:00.327 --> 00:25:03.408]  American news websites by listing them as terrorists.
[00:25:04.809 --> 00:25:05.149]  Okay?
[00:25:05.649 --> 00:25:15.654]  Just like public schools now, we have another article or blocking NRA websites, Infowars.com, you name it, but letting you go to Democratic Party websites and communist websites.
[00:25:16.134 --> 00:25:21.996]  High school blocks access to conservative pro-gun, but not liberal websites, Infowars.com.
[00:25:23.537 --> 00:25:29.480]  This is the truest form of tyranny when they try to censor people like this.
[00:25:30.712 --> 00:25:32.714]  And if they're successful, it's all over.
[00:25:33.674 --> 00:25:42.041]  The good news is Gallup poll now shows the lowest approval rating ever recorded, with a 7% approval rating.
[00:25:42.101 --> 00:25:46.424]  I've actually seen one as low as 6 in Gallup, but before the previous low they claimed was 9.
[00:25:47.325 --> 00:25:48.426]  It's now a 7.
[00:25:49.407 --> 00:25:51.608]  He's absolutely ignoring the Constitution.
[00:25:51.648 --> 00:25:58.494]  Republican representative says there's probably enough votes in the House to impeach Obama.
[00:25:59.889 --> 00:26:01.191]  We're going to be breaking that down.
[00:26:03.633 --> 00:26:05.295]  Also, shock photos.
[00:26:06.730 --> 00:26:11.994]  Media gets a disappointing look at Texas and Arizona illegal immigrant detention centers.
[00:26:12.034 --> 00:26:15.977]  We've been trying to get in, but finally the mainstream media has gotten in.
