[00:00:00.009 --> 00:00:02.093]  Host, direct from Austin.
[00:11:48.101 --> 00:11:53.344]  America spent $7.45 billion fighting global warming in other countries.
[00:11:54.064 --> 00:11:56.966]  MSNBC host complains of snow trolling.
[00:11:57.566 --> 00:12:01.068]  North Arctic rescue ship stuck in ice.
[00:12:05.140 --> 00:12:08.723]  Or now, Antarctic rescue ship is stuck in ice.
[00:12:08.803 --> 00:12:22.116]  So it's continuing a very, very serious situation, obviously, with temperatures below zero all over areas of North America into the north of the United States.
[00:12:23.922 --> 00:12:24.622]  United States.
[00:12:25.723 --> 00:12:28.664]  So that's just some of the news on that front.
[00:12:28.724 --> 00:12:33.825]  So they've responded by coming out and saying that it's a record high temperatures.
[00:12:33.885 --> 00:12:35.286]  I'm going to be getting into that article.
[00:12:36.146 --> 00:12:42.768]  Also the full horror that is Obamacare is now now setting in for the minions of it.
[00:12:43.368 --> 00:12:47.349]  We have a lot of these articles up on PrisonPlanet.com and InfoWars.com right now.
[00:12:47.730 --> 00:12:48.350]  Daily Mail
[00:12:49.210 --> 00:12:51.892]  They had no idea if my insurance was active or not.
[00:12:51.972 --> 00:12:58.657]  Obamacare confusion reigns as frustrated patients walk out of hospitals without treatment.
[00:12:58.677 --> 00:13:02.199]  See, you thought you went and signed up for Obamacare, but then it's for two months.
[00:13:02.699 --> 00:13:04.160]  You didn't sign up for it.
[00:13:05.241 --> 00:13:05.602]  Okay?
[00:13:06.002 --> 00:13:13.247]  The only way you quote sign up for it is when the insurance company increases your current plan or kicks you off and makes you buy more.
[00:13:15.026 --> 00:13:15.486]  Here's another one.
[00:13:15.586 --> 00:13:19.587]  Obamacare's use expected to spike beginning next week.
[00:13:20.207 --> 00:13:23.768]  And of course, the prices are set to go up, The Hill reports.
[00:13:24.788 --> 00:13:25.828]  Data goldmine.
[00:13:26.208 --> 00:13:33.970]  Walgreens, Walmart offer free prescriptions to Obamacare customers for their data.
[00:13:33.990 --> 00:13:38.931]  Because when you enroll in Obamacare, you waive all your rights to privacy and that's extremely valuable.
[00:13:39.611 --> 00:13:43.072]  But only the first round to the insurance companies and others.
[00:13:43.772 --> 00:13:51.655]  A doctor's office, CBS News reports, spends two hours on hold with health insurer for patient surgery authorization.
[00:13:51.675 --> 00:13:52.095]  That's right.
[00:13:52.555 --> 00:13:54.796]  If you're an illegal alien, you immediately go to the head of the line.
[00:13:54.816 --> 00:14:01.038]  But if you have insurance now, this happened to my friend who took his daughter with the sinus infection to the hospital.
[00:14:01.818 --> 00:14:09.242]  I would just go to a clinic, less killer bugs, and he shot video of it, just nothing but illegal aliens, all being put to the front of the line.
[00:14:09.503 --> 00:14:11.124]  He had insurance, had to wait three hours.
[00:14:11.604 --> 00:14:14.085]  It was double the cost it had been previously.
[00:14:14.405 --> 00:14:20.389]  One of our crew members went to his regular medical doctor, his general practitioner yesterday, more than double the price.
[00:14:21.009 --> 00:14:26.553]  Couldn't see his doctor, saw an assistant, what he's never done, and basically didn't get any care.
[00:14:27.600 --> 00:14:28.603]  So hope you enjoy that.
[00:14:29.346 --> 00:14:34.541]  Continuing, Oregon mother, I can't afford Obamacare for myself or my one-year-old son.
[00:14:36.729 --> 00:14:39.331]  She could afford it before, her insurance, but now she can't.
[00:14:39.671 --> 00:14:41.332]  Well, that's part of the good deal.
[00:14:41.452 --> 00:14:43.774]  I mean, the wolf of the White House.
[00:14:44.794 --> 00:14:47.396]  Obama and the globalists make the wolf of Wall Street.
[00:14:48.036 --> 00:14:49.337]  And I did see the movie last night.
[00:14:49.357 --> 00:14:52.019]  It was very well done, but pornographic to the max.
[00:14:52.059 --> 00:14:55.221]  The most pornographic film in a movie theater I've ever seen.
[00:14:55.241 --> 00:15:04.927]  And I went to analyze it, and I saw the audience laughing profusely when he was conning and ripping people off and getting off on it.
[00:15:05.918 --> 00:15:09.079]  And I realize America loves get-rich-schemes.
[00:15:09.119 --> 00:15:10.119]  They love to be conned.
[00:15:10.560 --> 00:15:14.021]  When people get conned by lottery tickets or penny stocks, they never stop.
[00:15:14.421 --> 00:15:16.241]  They only get more into it.
[00:15:17.442 --> 00:15:19.963]  And, you know, it's all part of this imaginary.
[00:15:20.003 --> 00:15:21.263]  Everybody's going to be a rock star.
[00:15:21.583 --> 00:15:23.004]  Everybody's going to be a movie star.
[00:15:23.404 --> 00:15:25.324]  Everybody's going to be a sports star.
[00:15:25.424 --> 00:15:28.045]  Everybody's going to be... But nobody's going to be a good father.
[00:15:28.365 --> 00:15:29.506]  Nobody's going to be a good mother.
[00:15:30.276 --> 00:15:31.657]  Nobody's going to go plant a garden.
[00:15:31.717 --> 00:15:33.119]  Nobody's going to go hike in the woods.
[00:15:33.459 --> 00:15:36.242]  Nobody's going to enjoy the stars and the moon at night and all the beauty around us.
[00:15:36.662 --> 00:15:45.830]  Everyone is going to just believe in Obama and believe in the con game, and then they'll just bring you a new kind of, oh, he's going to act as a dictator and take those restrictions off he put in.
[00:15:45.850 --> 00:15:47.051]  And then, of course, he doesn't do that.
[00:15:47.092 --> 00:15:48.633]  It's part of roping a dope.
[00:15:49.213 --> 00:15:53.838]  It's part of just keeping it going and going and going and going.
[00:15:54.919 --> 00:15:55.880]  So continuing here.
[00:15:57.438 --> 00:16:00.799]  Harvard study, Medicare actually increases ER visits, yeah.
[00:16:01.039 --> 00:16:15.545]  Instead of going to clinics that have even better medical care in most cases, private clinics that Obamacare basically is designed to shut down, that have the chest x-rays and have the doctors and the nurse practitioners and all the good people, that's where I go, and are nice, clean, newer facilities.
[00:16:16.706 --> 00:16:24.769]  Instead of doing that, people literally, in fact everyone I know, people that have insurance, they end up going to the hospital.
[00:16:27.236 --> 00:16:29.518]  And I mean, if your finger's cut off, you gotta go to the hospital.
[00:16:30.498 --> 00:16:37.063]  Last time I went to the hospital, again, I just don't like being a second-class citizen, the illegal aliens were sitting there for an hour just not even being checked.
[00:16:37.623 --> 00:16:42.987]  It was just, you know, no speak English, nothing, you know, here's my consular matricula, boom, you're right in.
[00:16:43.287 --> 00:16:50.513]  I had insurance, it was like, whoa, let's figure this out, let's verify it for an hour, let's jack it up, let's, and I was like, I'm gonna lose my finger.
[00:16:52.294 --> 00:16:56.697]  I had to threaten to sue them to get, okay, well, the doctor's been here, they'll attach your finger.
[00:17:00.984 --> 00:17:02.725]  And that's the type of stuff that's going on.
[00:17:02.745 --> 00:17:03.566]  This finger right here.
[00:17:03.586 --> 00:17:08.130]  That's the type of stuff that's going on in this country.
[00:17:09.724 --> 00:17:14.748]  Thousands of illegal immigrants show up at DMV offices to obtain driver's authorization cards.
[00:17:14.768 --> 00:17:15.128]  That's right.
[00:17:15.508 --> 00:17:26.777]  All over the country, California, you name it, the illegals are all being given driver's licenses and they're allowed to use that to vote because no one checks if you're a citizen.
[00:17:27.137 --> 00:17:28.518]  Just with an address you can vote.
[00:17:28.838 --> 00:17:30.460]  So that's how they're going to get our guns.
[00:17:30.500 --> 00:17:31.781]  The guns are banned in Mexico.
[00:17:32.765 --> 00:17:37.688]  And the client group coming in out of Mexico, predominantly, will vote for the Democrats, or the Republicans.
[00:17:37.708 --> 00:17:39.549]  Look at Schwarzenegger, his anti-gun.
[00:17:42.451 --> 00:17:47.275]  When he was governor, and pro-open border, and pro-carbon taxes, and everything else horrible.
[00:17:47.675 --> 00:17:48.836]  And the Republicans all loved him.
[00:17:48.856 --> 00:17:49.416]  They didn't care.
[00:17:49.676 --> 00:17:53.359]  As long as they could feel good, and feel like they were in charge, it was alright.
[00:17:53.379 --> 00:17:56.481]  And they're talking about the governor running for president.
[00:17:56.901 --> 00:17:58.262]  The country will probably vote him in.
[00:17:58.782 --> 00:17:59.603]  Somewhere down the line.
[00:17:59.923 --> 00:18:00.303]  Brown.
[00:18:00.703 --> 00:18:01.164]  Moonbeam.
[00:18:02.655 --> 00:18:04.135]  And this is our lot in life.
[00:18:04.575 --> 00:18:18.258]  The global elite, exempt from taxes, exempt from regulations, living in armored, guarded compounds, offshore and inside major cities, and in rural redoubts, like Whitefish and other areas.
[00:18:18.778 --> 00:18:27.219]  They're all exempt from everything, just like Rockefeller told Aaron Russo, you know, we're all going to have an ID card, or a chip that says kiss my patoot.
[00:18:27.919 --> 00:18:28.720]  We're above the law.
[00:18:29.160 --> 00:18:30.780]  And by the way, that's how this really works.
[00:18:31.656 --> 00:18:33.117]  And so they're exempt from the taxes.
[00:18:33.137 --> 00:18:33.657]  What are they going to do?
[00:18:33.837 --> 00:18:43.741]  They're going to jack them up on everybody else, bankrupt everyone, bring in a giant bankrupted third world population to politically vote as long as they get food stamps and welfare and free goodies.
[00:18:45.379 --> 00:18:51.042]  Along with the disenfranchised domestic population, they're going to vote to take everything we've got.
[00:18:51.363 --> 00:19:03.670]  Our children, our guns, our property, our security, our privacy, everything is being sucked dry by scientific criminals by design who make P.T.
[00:19:03.710 --> 00:19:11.595]  Barnum, the Wolf of Wall Street, Joseph Mingala, Bernie Madoff,
[00:19:12.591 --> 00:19:15.492]  The Keating Five look like angels.
[00:19:17.012 --> 00:19:19.553]  You're like, they make the Angel of Death look like an angel?
[00:19:20.653 --> 00:19:24.374]  Yes, the Angel of Death only killed thousands, personally, in his medical lab.
[00:19:24.974 --> 00:19:35.296]  The globalists, I mean, all the time I see about kids that go and have their tonsils out, and they, you know, they die because flesh-eating bacteria get into their brain, through their throat, into their sinus.
[00:19:35.957 --> 00:19:36.977]  I mean, it's a death sentence.
[00:19:37.657 --> 00:19:41.998]  I've had friends, family, you name it, every year, go in to have a minor procedure.
[00:19:43.208 --> 00:19:43.648]  And they're dead.
[00:19:46.049 --> 00:19:51.350]  Some numbers are up to a million die of hospital infections, but nobody's worried about that.
[00:19:52.110 --> 00:19:53.311]  You know, you think the flu kills 35,000?
[00:19:53.351 --> 00:19:58.052]  No, you go to the hospital for the flu, and then you die of everything else that's in there.
[00:19:58.932 --> 00:20:00.613]  We'll be right back, ladies and gentlemen.
[00:20:01.033 --> 00:20:01.613]  Stay with us.
[00:20:01.673 --> 00:20:06.134]  These are the plagues that are coming upon our judged country with the children we've killed.
[00:20:09.941 --> 00:20:12.524]  Hi folks, Alex Jones here with some important information.
[00:20:12.784 --> 00:20:17.649]  I want to tell you about Matt Redhawk and his team of patriots over at MyPatriotSupply.
[00:20:17.929 --> 00:20:25.797]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the charlatans willing to sell us out for a quick buck.
[00:20:26.037 --> 00:20:30.361]  Deciding to take action, a company run by patriots for patriots was born.
[00:20:30.561 --> 00:20:34.385]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:20:34.525 --> 00:20:40.227]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:20:40.467 --> 00:20:43.248]  It is rare to find companies who practice what they preach.
[00:20:43.628 --> 00:20:48.869]  And that's why I stock my pantry with high-quality, storable foods from My Patriot Supply.
[00:20:49.009 --> 00:20:57.132]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:20:57.192 --> 00:20:57.372]  That's 866-229-0927.
[00:20:57.472 --> 00:20:57.992]  Do business
[00:21:09.815 --> 00:21:14.676]  How well and how fast does heart and body extract work to improve blood circulation?
[00:21:15.036 --> 00:21:15.377]  Listen!
[00:21:15.757 --> 00:21:19.758]  My name is Ellis and I'm 66 years old and I live in Jacksonville, Florida.
[00:21:19.998 --> 00:21:23.018]  Two years ago, I was diagnosed as having clogged arteries.
[00:21:23.398 --> 00:21:26.239]  I had 70% blockage in one artery leading to my heart.
[00:21:26.439 --> 00:21:29.820]  They wanted me to go on Plavix, but I refused knowing the negative side effects.
[00:21:30.231 --> 00:21:38.458]  Heart and Body Extract is a unique balance, synergy and proportion of herbs reaching from head to toe at maximum absorption around 95% at the cellular level.
[00:21:38.639 --> 00:21:41.041]  Within the first month I felt a dramatic difference.
[00:21:41.061 --> 00:21:45.565]  The heaviness in my legs was reduced and within two months I felt completely normal.
[00:21:45.785 --> 00:21:49.646]  Your natural organic herbal formula for heart health is Heart and Body Extract.
[00:21:50.006 --> 00:21:53.827]  Heart and Body Extract comes with a 100% ironclad money-back guarantee.
[00:21:54.207 --> 00:21:58.608]  Details at hbextract.com or call 866-295-5305 for Heart and Body Extract.
[00:21:58.628 --> 00:21:59.088]  Call 866-295-5305.
[00:21:59.108 --> 00:22:00.508]  866-295-5305 for Heart and Body Extract.
[00:22:09.546 --> 00:22:15.727]  Ladies and gentlemen, America is more dangerous than ever with nine million property crimes last year.
[00:22:16.167 --> 00:22:18.128]  Crimes are happening every day.
[00:22:18.628 --> 00:22:21.288]  Be proactive and protect your home and family.
[00:22:21.648 --> 00:22:26.349]  SimpliSafe home security system helps guard against criminals, thugs and thieves.
[00:22:26.749 --> 00:22:32.110]  Listen, SimpliSafe is the absolute best alarm system and company in America today.
[00:22:32.430 --> 00:22:33.210]  Here's why.
[00:22:33.490 --> 00:22:35.771]  We offer a 60-day money-back guarantee.
[00:22:36.091 --> 00:22:36.731]  It's affordable.
[00:22:37.131 --> 00:22:41.294]  No contracts to sign and is built with the latest wireless technology.
[00:22:41.614 --> 00:22:44.376]  SimpliSafe protects the ones you love the most.
[00:22:44.756 --> 00:22:47.378]  Even if a criminal cuts your power and phone lines.
[00:22:47.658 --> 00:22:52.341]  When you order today, you'll receive a 10% discount along with a free keychain remote.
[00:22:52.561 --> 00:22:53.022]  Don't wait!
[00:22:53.202 --> 00:22:55.764]  This offer is only valid through January 31st.
[00:22:55.784 --> 00:23:00.227]  Take advantage of this special discount offer at GetSimpliSafe.com.
[00:23:00.507 --> 00:23:02.528]  That's GetSimpliSafe.com.
[00:23:02.768 --> 00:23:06.791]  Protect your home and family now at GetSimpliSafe.com.
[00:23:08.909 --> 00:23:13.592]  The challenge, creating delicious GMO-free foods with a 25-year shelf life.
[00:23:14.193 --> 00:23:18.415]  The solution, Numana Foods, a pioneer in healthy, storable foods.
[00:23:18.796 --> 00:23:26.020]  Our meals are GMO and gluten-free, contain no MSG, aspartame, or high fructose corn syrup, and we never use chemicals or preservatives.
[00:23:26.380 --> 00:23:28.562]  Just good, healthy food at great prices.
[00:23:28.822 --> 00:23:32.885]  Call us today at 888-597-0775 or visit GMOFreeFoodStorage.com.
[00:23:32.905 --> 00:23:35.446]  That's GMOFreeFoodStorage.com.
[00:23:38.642 --> 00:23:41.223]  Silver has always been nature's very own antibiotic.
[00:23:41.343 --> 00:23:45.364]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:23:45.644 --> 00:23:46.885]  Silverlungs.com.
[00:23:47.065 --> 00:23:49.525]  You'll find no wild claims or pseudoscience.
[00:23:49.725 --> 00:23:52.526]  Just a lifetime of nano-sized pure silver solutions.
[00:23:52.726 --> 00:23:54.847]  The Silverlungs generator allows you to make your own.
[00:23:55.067 --> 00:23:56.828]  So stop paying for silver solutions.
[00:23:56.968 --> 00:24:02.309]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:24:02.549 --> 00:24:06.210]  See the Silverlungs generator and lung delivery system at Silverlungs.com.
[00:24:06.350 --> 00:24:07.851]  That's Silverlungs.com.
[00:24:27.098 --> 00:24:29.620]  A lot of people wonder where my bumper music comes from.
[00:24:29.640 --> 00:24:32.662]  And I'd say about 90% of it is music I like.
[00:24:36.604 --> 00:24:39.067]  Another 5% is stuff that listeners tend to recommend.
[00:24:39.087 --> 00:24:52.340]  But another 5%, maybe even more, was my uncle, William Forrest Hammond, who died at 3.30am this morning in Tyler, Texas, where he was at a really nice hospital with good people.
[00:24:53.281 --> 00:24:55.603]  And I'm not going to talk about this anymore after this segment.
[00:24:55.623 --> 00:24:58.526]  I'm going to get into all the drone news, the Justice Department.
[00:25:00.666 --> 00:25:06.131]  Trying to block the Supreme Court's contraceptive mandate stay.
[00:25:07.092 --> 00:25:14.278]  IMF paper warms of savings tax and mass write-offs as West debt hits 200-year high.
[00:25:14.978 --> 00:25:17.481]  That's just some of what we're going to be breaking down here today.
[00:25:19.382 --> 00:25:20.643]  But just getting back to my uncle.
[00:25:21.815 --> 00:25:28.691]  It ties into so many things that my cousin, his son, got sick for a couple days and died of
[00:25:32.216 --> 00:25:38.680]  What they at first thought was flu, but then said they believe was some type of bacterial infection in his lungs.
[00:25:39.560 --> 00:25:43.022]  We've been talking for about a month about the mystery illness before it was even in the media.
[00:25:43.923 --> 00:25:51.888]  Now the former first lady, Barbara Bush, is in critical condition in a hospital with pneumonia.
[00:25:52.828 --> 00:25:57.491]  And it's a cocktail of viruses and drug-resistant bacteria.
