[00:00:11.576 --> 00:00:17.704]  I'm Joe Biggs with InfoWars.com here at the Presbyterian Hospital in Dallas, Texas.
[00:05:28.192 --> 00:05:30.873]  We know in Georgia there's this huge thing of
[00:05:31.713 --> 00:05:34.854]  Plastic coffins that have been stored there for quite some time.
[00:05:35.334 --> 00:05:36.454]  This is all crazy.
[00:05:36.534 --> 00:05:37.894]  Our borders are wide open.
[00:05:38.134 --> 00:05:39.295]  We're allowing this to happen.
[00:05:39.475 --> 00:05:45.276]  The TSA attacks American citizens and lets illegals roam freely through without identification.
[00:05:45.556 --> 00:05:47.036]  There's no way to screen for this stuff.
[00:05:47.296 --> 00:05:47.997]  This is crazy.
[00:05:48.057 --> 00:05:50.597]  Keep your eyes open and stay tuned for more reports.
[00:05:50.697 --> 00:05:54.418]  I'm Joe Biggs with Infowars.com here in Ebola, USA.
[00:05:58.254 --> 00:06:02.737]  I want to say this, just a couple of things though, that I think is important.
[00:06:02.837 --> 00:06:05.359]  Because you are all intelligent, okay?
[00:06:06.419 --> 00:06:07.860]  Alright?
[00:06:07.960 --> 00:06:20.409]  Science says that if you are not exhibiting symptoms of this, there is zero chance that you can transmit this.
[00:06:22.050 --> 00:06:24.691]  Not minuscule, zero chance.
[00:06:25.792 --> 00:06:27.053]  I asked that question earlier.
[00:06:28.092 --> 00:06:33.908]  If you want to do what's good by your viewers, you will tell them it's zero chance.
[00:06:46.462 --> 00:06:49.363]  This is Alex Jones for InfoWarsLife.com.
[00:06:49.523 --> 00:06:51.484]  The latest in preparedness is now here.
[00:06:51.684 --> 00:06:57.666]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:06:57.846 --> 00:07:02.848]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:07:02.928 --> 00:07:07.689]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[00:07:07.829 --> 00:07:12.331]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:07:12.631 --> 00:07:21.019]  The Infowars LifeSilver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:07:21.240 --> 00:07:23.242]  This is not a low-grade formula.
[00:07:23.382 --> 00:07:30.529]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver.
[00:07:30.709 --> 00:07:37.281]  Using electrical processes within a base of deionized water for your preparedness storage or your home kitchen.
[00:07:37.381 --> 00:07:45.596]  Purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today and find other amazing supplements at InfoWarsLife.com
