[00:00:00.069 --> 00:00:00.509]  3-9.
[00:02:49.835 --> 00:02:52.077]  And I imitate anything that's successful.
[00:02:52.517 --> 00:03:09.850]  That's why we sent Joe Biggs down to the border last week to show that he could simulate a beheading right outside downtown El Paso, dressed as an ISIS fighter, and then come across with an ISIS flag and declare America for ISIS, basically.
[00:03:12.332 --> 00:03:17.376]  It is stunts like these that illustrate how ridiculous
[00:03:20.683 --> 00:03:27.927]  In fact, we ought to simulate, you can go to an Army-Navy store or buy them online, a used rocket launcher.
[00:03:27.947 --> 00:03:30.388]  I've got to think about this, though.
[00:03:31.029 --> 00:03:33.250]  There could be some legal issues, but anybody could do it.
[00:03:33.590 --> 00:03:35.351]  I don't recommend you do, folks, before you think it out.
[00:03:35.391 --> 00:03:36.212]  I'm just brainstorming.
[00:03:36.812 --> 00:03:44.937]  And go sit out on the edge of an airfield, where planes are at 5,000 feet, dressed as a jihadi, and simulate shooting it down.
[00:03:46.055 --> 00:03:58.677]  To illustrate that 15,000 MPADs have been given to Al-Qaeda in Iraq and Syria, now known as ISIS or IS.
[00:03:59.217 --> 00:04:04.078]  And that leads us to the next story here.
[00:04:05.578 --> 00:04:14.400]  By the way, that's something Navy SEALs famously have done a lot to show that embassy securities wide open are not being followed properly by the Marines that guard them.
[00:04:15.376 --> 00:04:29.527]  The Navy will run its other naval commandos, that's just another branch basically, up against the Marines and try to have them get into the base and simulate blowing it up or killing people.
[00:04:32.390 --> 00:04:39.756]  Again, we're just here illustrating, James O'Keefe is here illustrating, that it's all security theater and a giant joke.
[00:04:40.734 --> 00:04:48.100]  Now, that said, coming up in the next segment, Obama has come out and said the ISIS war will take years.
[00:04:49.161 --> 00:04:52.063]  Obama's long ISIS war will take years and kill thousands.
[00:04:52.844 --> 00:05:01.411]  Of course, then AFP, French news agency, confirms that ISIS is primarily armed with U.S.
[00:05:01.491 --> 00:05:01.872]  weapons.
[00:05:02.892 --> 00:05:03.653]  You heard me right.
[00:05:04.294 --> 00:05:08.697]  And we told you this, of course, back when Benghazi took place, but now it's all confirmed.
[00:05:10.660 --> 00:05:20.808]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[00:05:21.228 --> 00:05:27.272]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:05:27.693 --> 00:05:29.934]  I jump out of bed ready to fight these criminals every day.
[00:05:30.034 --> 00:05:33.097]  I look forward to waking up and taking my super male vitality.
[00:05:33.137 --> 00:05:40.002]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:05:40.563 --> 00:05:44.064]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:44.224 --> 00:05:48.185]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:48.505 --> 00:05:49.965]  Can you put two and two together?
[00:05:50.285 --> 00:05:57.867]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:05:58.147 --> 00:05:58.988]  But for how long?
[00:05:59.288 --> 00:06:05.549]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:06:05.929 --> 00:06:08.730]  Infidel Body Armor just won't quit.
[00:06:10.839 --> 00:06:16.944]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forfeiture situation?
[00:06:16.964 --> 00:06:20.326]  The police are shoving people, shoving Alex, shoving the crowd.
[00:06:20.406 --> 00:06:22.008]  Here we go, folks, I'm being a sergeant!
[00:06:22.068 --> 00:06:28.312]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:06:28.412 --> 00:06:34.297]  Is this another false flag stage attack to take our civil liberties and put more homeless security by sticking their hands down on the streets?
[00:06:34.457 --> 00:06:38.219]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:06:38.419 --> 00:06:41.301]  And that's what PrisonPlanet.TV is designed to do.
[00:06:41.481 --> 00:06:49.506]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:06:49.766 --> 00:06:51.807]  What we see now is a war against reality.
[00:06:51.867 --> 00:06:52.908]  It's a war against the truth.
[00:06:53.268 --> 00:07:02.040]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:07:02.241 --> 00:07:04.664]  Visit InfoWarsNews.com today.
[00:07:04.884 --> 00:07:09.191]  Become a member, share your membership, and help take the info war to the next level.
[00:07:10.765 --> 00:07:17.828]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:07:17.928 --> 00:07:20.088]  But it's not just the air outside that's toxic.
[00:07:20.268 --> 00:07:25.370]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:07:25.550 --> 00:07:30.512]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:07:30.712 --> 00:07:33.775]  There are more than 42 million smokers in the United States.
[00:07:34.035 --> 00:07:37.899]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:07:38.119 --> 00:07:42.363]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:07:42.444 --> 00:07:52.493]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:07:52.673 --> 00:07:55.196]  Made with organic and wild cultivated herbs,
[00:07:55.376 --> 00:07:55.916]  I think so.
[00:08:22.851 --> 00:08:25.433]  Waging war on corruption.
[00:08:25.493 --> 00:08:27.174]  It's Alex Jones.
[00:08:37.739 --> 00:08:42.262]  Ladies and gentlemen, thank you so much for joining us on this live worldwide edition.
[00:08:43.202 --> 00:08:44.763]  I am your host, Alex Jones.
[00:08:44.823 --> 00:08:47.405]  It is the eighth day already.
[00:08:48.715 --> 00:08:49.396]  of September 2014.
[00:08:50.176 --> 00:08:53.639]  We'll be here for the next three hours live.
[00:08:54.619 --> 00:09:15.215]  We have Lew Rockwell of LewRockwell.com, Ron Paul's former chief of staff, one of the top libertarians in the world, joining us to give his perspective on military strikes on ISIS and what his breakdown is on Rand Paul endorsing military action.
[00:09:16.369 --> 00:09:33.104]  I rarely have mixed feelings on an issue like this, but it's very complex and at the bottom of my gut, I want to see a massive air campaign against Al Qaeda.
[00:09:34.505 --> 00:09:35.266]  That's who they are.
[00:09:39.281 --> 00:09:55.475]  But there's the rest of the story that I'm going to break down that's public information and that is so sensationally evil that if the public could ever grasp it, and the public's close to grasping it, it will bring down the entire power structure.
[00:09:58.678 --> 00:10:04.163]  Just like the pedophile scandal in England could bring down the royal family, the entire government, the whole system as well.
[00:10:09.002 --> 00:10:30.730]  The globalists, these different dynasties are not invincible, but if we are invincibly ignorant, and invincibly passive, and invincibly stupid, and are in comas, and basically in trances, then we don't have any hope of ever changing anything.
[00:10:30.770 --> 00:10:34.691]  In fact, the only change you're going to see is things degrading,
[00:10:37.020 --> 00:10:42.203]  Situations deteriorating and rotting very, very quickly.
[00:10:44.704 --> 00:10:50.867]  Let me give you a bottom line summation without going into a long history lesson for new people that just tuned in of what's happening.
[00:10:52.407 --> 00:11:03.713]  There have been radical, jihadi, expansionist, imperial Muslims since the time after Muhammad's death.
[00:11:05.916 --> 00:11:07.277]  The founder of Islam.
[00:11:10.599 --> 00:11:12.501]  They're in what is Saudi Arabia today.
[00:11:14.242 --> 00:11:16.423]  But there have been moderate versions of Islam.
[00:11:16.884 --> 00:11:20.346]  There have been many different configurations of that.
[00:11:22.648 --> 00:11:31.774]  The Ottoman Empire that was able to take over Constantinople and the headquarters of the Byzantine Empire in what is Turkey today.
[00:11:32.175 --> 00:11:33.836]  There's a long history there.
[00:11:38.109 --> 00:11:46.215]  But in World War I, you saw different power structures fighting on different sides.
[00:11:47.395 --> 00:11:52.639]  The world witnessed the Turks allied with the Germans.
[00:11:55.741 --> 00:12:07.129]  So there was a battle over who could control the Arabs, and who could control the Muslims, and who would snap up the pieces that were left at the end of World War I.
[00:12:08.308 --> 00:12:12.830]  British intelligence goes in and creates what is Saudi Arabia today.
[00:12:12.870 --> 00:12:13.531]  That's on record.
[00:12:15.972 --> 00:12:22.436]  By arming Bedouin tribes, who could only be described as bandits.
[00:12:26.358 --> 00:12:30.360]  As desert and hill people.
[00:12:32.281 --> 00:12:36.782]  Who lived in basically 3,000-year-old style dwellings.
[00:12:37.542 --> 00:12:38.442]  Open air tents.
[00:12:39.402 --> 00:12:41.703]  These are the people British intelligence set up.
[00:12:42.423 --> 00:12:46.444]  These are the people that now dominate Islam worldwide.
[00:12:48.444 --> 00:12:50.745]  And they were undoubtedly involved in 9-11.
[00:12:51.405 --> 00:12:57.366]  They were undoubtedly involved in the ISIS takeover of Syria, and now Iraq and Libya.
[00:12:58.506 --> 00:13:00.767]  They are publicly giving the weapons to them.
[00:13:07.341 --> 00:13:19.988]  Now, when Hitler took over the Middle East and North Africa in World War II, he got the keys for about three, four years to the Muslim Brotherhood and the Caliphate and all these different groups.
[00:13:21.408 --> 00:13:24.210]  And then as soon as Hitler was defeated, the keys
[00:13:25.745 --> 00:13:33.091]  to the city of Islamic extremism were given again into the hands of British intelligence.
[00:13:33.691 --> 00:13:38.075]  They used radical Islam to overthrow the secular government of Iran.
[00:13:38.455 --> 00:13:42.798]  Then they double-crossed the Muslim extremist and put the Shah in.
[00:13:43.239 --> 00:13:45.721]  Then they double-crossed him and put the Ayatollahs in.
[00:13:46.161 --> 00:13:47.102]  Yes, they put them in.
[00:13:48.092 --> 00:13:49.512]  Iran-Contra deal, all of it.
[00:13:49.953 --> 00:13:52.093]  But it's lots of double and triple crossing.
[00:13:52.493 --> 00:13:53.694]  And here's the bottom line.
[00:13:54.154 --> 00:14:04.897]  That type of culture creates squalor and creates pain and creates unstable civilizations.
[00:14:06.597 --> 00:14:12.879]  So the enemy of my enemy is my friend is not the way to live Machiavellian politics.
[00:14:13.851 --> 00:14:24.715]  We're similar in what is Italy today with the different city-states constantly fighting with each other and changing alliances and everyone having to live in armored fortresses because they might be killed any minute.
[00:14:25.055 --> 00:14:27.756]  It's a very unstable way to run your society.
[00:14:28.897 --> 00:14:36.719]  And the black nobility, the Venetian black nobility that basically ran to Scotland and to England about 700-800 years ago
[00:14:38.939 --> 00:14:48.142]  When people weren't sure if the Arabs weren't going to be able to successfully take over Italy, like they'd done Constantinople, and what is Turkey today.
[00:14:49.723 --> 00:14:57.986]  So a bunch of those rich people ran out of Italy, and they all ran to basically England and France, and Scotland.
[00:14:58.646 --> 00:15:07.289]  And so the system we live under is cutthroat, manipulative, triple-dealing, triple-crossing, no honor, incredibly corrupt.
[00:15:11.584 --> 00:15:21.154]  It's a system that Italy was under, and I'm just giving you basic gestalts here, after the fall of Rome in 410, when it was Byzantine.
[00:15:25.638 --> 00:15:30.323]  Again, Italy was Italy today, not run out of Italy, but run out of what is Turkey.
[00:15:32.125 --> 00:15:32.686]  It was Christian.
[00:15:33.829 --> 00:15:39.613]  It's not the Roman system they had before that was based on honor and family and tradition.
[00:15:40.153 --> 00:15:42.355]  That then again was corrupted in the decline of the Roman Empire.
[00:15:42.655 --> 00:15:55.243]  The point I'm getting at here is this mindset of being cutthroat and backstabbing and dishonorable, that's what I call it, is not only centered in and around Saudi Arabia.
[00:15:56.584 --> 00:16:02.728]  Those forms of thinking also have been going on in Europe for a very long time.
[00:16:04.099 --> 00:16:23.008]  And you have the Machiavellian school that is in direct competition with what you would call the school of Western chivalry, which is based on being honorable and stable and truthful and everything being your family name and never double dealing.
[00:16:24.787 --> 00:16:28.530]  But there was plenty of treachery went on as well in Western Europe.
[00:16:28.990 --> 00:16:31.392]  There's just different schools and different systems.
[00:16:32.133 --> 00:16:48.506]  Our government has a Machiavellian or almost Arabian, you could also call it, system of looting and betrayal and dishonor and double and triple dealing.
[00:16:50.151 --> 00:16:56.554]  See, I said I'd get into a short history lesson, and then it starts turning into a long one because these issues are so deep and so complex.
[00:16:58.816 --> 00:16:59.936]  But also so simple.
[00:17:00.556 --> 00:17:01.377]  Here's what I'm getting at.
[00:17:04.378 --> 00:17:11.362]  The West didn't want stable, secular, upright, prosperous Middle Eastern countries.
[00:17:11.662 --> 00:17:16.805]  There was a major school of that there, going back to the time of Egypt and before.
[00:17:18.444 --> 00:17:21.766]  Mathematics, so many of the sciences developed and invented there.
[00:17:22.226 --> 00:17:23.267]  Very high IQs.
[00:17:23.607 --> 00:17:24.248]  Smart people.
[00:17:26.069 --> 00:17:33.273]  But that has all been removed and turned over to the Saudi Arabian extremists.
[00:17:35.274 --> 00:17:40.838]  And that's what the West wants, is a bunch of backwards, barbarous, suppressed people
[00:17:43.646 --> 00:17:49.227]  That they can then use to menace the West, so the establishment can then take our basic liberties here.
[00:17:54.868 --> 00:18:02.770]  So, when you hear about Ronald Reagan or Jimmy Carter, quote, creating Al-Qaeda and having them attack the Russians, they didn't create them.
[00:18:03.990 --> 00:18:10.952]  There was a relationship going back to British intelligence before that, again, specifically in Afghanistan, not just in Saudi Arabia.
[00:18:13.908 --> 00:18:30.310]  And so when we then see Obama caught with Benghazi giving 15,000 surface-to-air MPAD missiles that can shoot down aircraft all day long and all these other weapons to the
[00:18:32.262 --> 00:18:51.836]  Al Qaeda rebels in Syria and the whole thing that's happened in Iraq, all of it has been orchestrated by the globalists in DC, in London, in Tel Aviv, in Istanbul, formerly Constantinople.
[00:18:52.996 --> 00:18:55.178]  And so there is no debating
[00:18:57.597 --> 00:19:04.202]  That the people running our government planned this whole deal, this war against ISIS is totally staged.
[00:19:04.642 --> 00:19:13.368]  The only reason it's happening is that there's such public education now about who really runs this and that it's Al-Qaeda, they changed the name two or three times.
[00:19:13.768 --> 00:19:23.355]  To IS, to ISIS, back to IS, now to the caliphate, back to the caliphate, to confuse you.
[00:19:25.185 --> 00:19:31.893]  And they'll show a truck getting blown up every few days with nobody running away from it, with no big explosions around it.
[00:19:32.273 --> 00:19:33.574]  Clearly, this is all staged.
[00:19:33.895 --> 00:19:36.418]  And they did this when they invaded Afghanistan in 2001.
[00:19:36.618 --> 00:19:44.387]  That's why we quote, one in a week, because they would just have 14-year-old conscripts up front in grids that our troops could bomb.
[00:19:45.694 --> 00:19:52.819]  When the real Taliban and Al-Qaeda was then paid in gold, put on USC-130s, flown out to safety in Pakistan, it was called the airlift of evil.
[00:19:52.879 --> 00:19:55.461]  So, they just repeat all this over and over again.
[00:19:56.061 --> 00:20:07.889]  So when Obama says the war will take years, they mean that when the jihadi nuts get out of line and go into a place they're not supposed to and loot it, they'll be bombed there just to keep them in line.
[00:20:07.929 --> 00:20:08.850]  It's like herding them.
[00:20:11.084 --> 00:20:12.746]  The human body is extraordinary.
[00:20:13.066 --> 00:20:17.051]  Despite all the stresses we inflict upon it, it still works hard to stay in balance.
[00:20:17.251 --> 00:20:22.257]  Thousands upon thousands of people rely upon hardened body extract to help their body stay balanced.
[00:20:22.557 --> 00:20:31.768]  This excellent 100% natural herbal formula helps maintain healthy blood pressure levels, cleans arteries, promotes good circulation, balances cholesterol and more.
[00:20:32.248 --> 00:20:39.753]  HB Extract, paired with healthy lifestyle choices like good nutrition and exercise, can give you a life free of pain, sickness and fear.
[00:20:40.013 --> 00:20:45.796]  Recapture your youthful vitality and experience your body healing itself with the aid of HB Extract.
[00:20:46.036 --> 00:20:48.898]  It's extremely effective and it starts working in just days.
[00:20:49.378 --> 00:20:54.641]  Visit HBExtract.com to learn more and to read scores of testimonials from satisfied customers.
[00:20:54.922 --> 00:20:57.303]  And we've never increased our price in over 10 years.
[00:20:57.643 --> 00:21:00.525]  That makes heart and body extract as great a value now
[00:21:00.805 --> 00:21:04.194]  As it was the first day we sold it, a healthy heart is a happy heart.
[00:21:04.454 --> 00:21:05.637]  Call 866-295-5305 or go to hbextract.com.
[00:21:11.585 --> 00:21:18.029]  Big business has discovered the preparedness market, and that makes it difficult to know where to go and who to trust.
[00:21:18.390 --> 00:21:22.853]  MyPatriotSupply.com is owned and operated by Patriots just like you.
[00:21:23.133 --> 00:21:32.359]  Has the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more.
[00:21:32.659 --> 00:21:38.583]  MyPatriotSupply.com has old-fashioned values and the absolute best customer service in the industry.
[00:21:38.823 --> 00:21:40.124]  Look for the deal of the day.
[00:21:40.404 --> 00:21:43.647]  Unique, affordable survival supplies that fit anyone's budget.
[00:21:43.808 --> 00:21:47.391]  Get same-day shipping on all orders and free shipping on orders over $49.
[00:21:47.651 --> 00:21:50.974]  Call 866-229-0927.
[00:21:50.994 --> 00:21:53.376]  866-229-0927.
[00:21:55.118 --> 00:22:01.083]  Or visit MyPatriotSupply.com for emergency preparedness, self-reliance, and food independence.
[00:22:01.503 --> 00:22:04.166]  Shop with a name you know and a name you can trust.
[00:22:04.406 --> 00:22:07.128]  Before it's time to survive, it's time to prepare.
[00:22:07.428 --> 00:22:10.310]  MyPatriotsSupply.com Question.
[00:22:10.670 --> 00:22:14.913]  Could too many GMO foods and toxins be overloading your digestive and immune systems?
[00:22:15.453 --> 00:22:16.294]  Answer, yes.
[00:22:16.714 --> 00:22:22.398]  If you're searching for a powerful detox that's gentle enough to use every day, use Pro-EM-1 from Terragonix.
[00:22:22.958 --> 00:22:30.207]  Pro-EM1 is a powerful liquid probiotic that uses good bacteria to suppress pathogens and gently eliminate toxins from your body.
[00:22:30.507 --> 00:22:38.557]  A healthy digestive system will cleanse and remove toxins, support weight loss, improve absorption of food nutrients, and aid in controlling yeast and other infections.
[00:22:38.857 --> 00:22:46.543]  Pro-EM-1 is made with only non-GMO and certified organic ingredients, has no preservatives, and is dairy, soy, wheat, and gluten-free.
[00:22:46.803 --> 00:22:49.185]  Pro-EM-1 is the key to your digestive health.
[00:22:49.545 --> 00:22:53.428]  Order Pro-EM-1 Daily Probiotic Cleanse at taraganix.com.
[00:22:53.448 --> 00:22:56.551]  Spelled T-E-R-A-G-A-N-I-X dot com.
[00:22:56.791 --> 00:22:57.592]  Or call toll free 866-369-3678.
[00:22:57.732 --> 00:22:58.012]  That's 866-369-3678.
[00:22:58.032 --> 00:22:59.253]  Also available through Amazon Prime.
[00:22:59.273 --> 00:22:59.853]  Pro-EM-1 from Taraganix.
[00:22:59.873 --> 00:23:00.854]  Life's getting better.
[00:23:09.343 --> 00:23:11.924]  Do you ever feel like you live in an alternate universe?
[00:23:12.404 --> 00:23:15.946]  As the stock market hits new highs, the middle class are dying.
[00:23:16.526 --> 00:23:19.307]  Manipulated financial markets and economic figures.
[00:23:19.567 --> 00:23:20.748]  Chaos on our border.
[00:23:21.188 --> 00:23:23.229]  China and Russia bypassing the dollar.
[00:23:23.709 --> 00:23:25.269]  Life is getting ready to change.
[00:23:25.630 --> 00:23:28.251]  You need to prepare to thrive in the new economy.
[00:23:28.671 --> 00:23:31.832]  Go to babyboomerbackupplan.com or call 888-507-8789.
[00:23:31.852 --> 00:23:32.072]  That's 888-507-8789.
[00:23:39.355 --> 00:23:40.236]  Clean water at home.
[00:23:40.536 --> 00:23:41.637]  Clean water at the office.
[00:23:41.957 --> 00:23:42.998]  Clean water on the go.
[00:23:43.278 --> 00:23:49.222]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[00:23:49.523 --> 00:23:52.325]  Thousands of satisfied customers can't be wrong.
[00:23:52.685 --> 00:23:56.728]  For free shipping within the US, go to GoBerkey.com or call 877-886-3653.
[00:23:56.848 --> 00:23:57.048]  That's 877-886-3653.
[00:23:57.088 --> 00:23:58.609]  Helping thousands prepare since 2005.
[00:23:58.790 --> 00:23:59.030]  GoBerkey.com.
[00:24:34.228 --> 00:24:35.629]  Alex Jones here, back live.
[00:24:35.709 --> 00:24:57.638]  Coming up, every day or two, I see new reports that are incredibly politically correct, where groups of black teens play the knockout game inside grocery stores, inside malls, and even on video, you know, say, get that white person, get them, get them, for no reason, and it's not decried as racial.
[00:24:58.138 --> 00:24:59.719]  No one says it's wrong or bad.
[00:25:00.459 --> 00:25:02.740]  So these young teenagers actually think it's okay.
[00:25:03.783 --> 00:25:12.545]  I mean, if a group of 100 white people ran around beating up 100 black people or something, I would totally be blown away by it.
[00:25:13.985 --> 00:25:15.345]  And would speak out against it.
[00:25:16.646 --> 00:25:17.146]  And have.
[00:25:18.606 --> 00:25:27.968]  But it's not the case when black folks do it because of political correctness, which is meant to shut down people's normal instincts.
[00:25:30.017 --> 00:25:31.218]  I gotta say something, though.
[00:25:31.618 --> 00:25:40.823]  You always see this type of stuff happen at night, and that's the time I carry a gun.
[00:25:40.843 --> 00:25:43.644]  Like, I'm just gonna start carrying a gun at all times.
[00:25:44.525 --> 00:25:51.168]  I mean, if a hundred people wanted to beat me down like Reginald Denny and beat my head in, I don't care if it's a group of black people or white people, I'm gonna start shooting.
[00:25:52.669 --> 00:25:56.011]  Of course, you wouldn't have to shoot anybody if somebody just pulled a gun out.
[00:25:57.418 --> 00:25:59.680]  I mean, do you see a hundred people attacking a cop?
[00:26:00.020 --> 00:26:01.121]  No, because the cop's got a gun!
[00:26:02.722 --> 00:26:05.965]  And imagine living in Chicago, where... See, I'm already going there.
[00:26:05.985 --> 00:26:07.766]  I'm going to cover this in the next segment.
[00:26:09.267 --> 00:26:12.269]  Getting back to the big enchilada issue.
[00:26:13.770 --> 00:26:14.291]  Al-Qaeda.
[00:26:17.133 --> 00:26:21.456]  Al-Qaeda is just the CIA... This has been declassified back in the mid-90s.
[00:26:22.297 --> 00:26:23.358]  Database name.
[00:26:24.279 --> 00:26:25.800]  In Arabic, it means the base.
[00:26:27.250 --> 00:26:31.033]  The database of Wahhabist Jihadis worldwide.
[00:26:32.373 --> 00:26:41.379]  In the Caucuses, in Chechnya, in Pakistan, in Afghanistan, in Uzbekistan, Tajikistan, Saudi Arabia, Qatar.
[00:26:41.399 --> 00:26:43.961]  I mean, this is congressional hearings.
[00:26:44.461 --> 00:26:47.884]  The name Al-Qaeda is from the CIA.
[00:26:49.653 --> 00:27:02.542]  And by the way, Al-Qaeda operates as the globalists, Spectre, Chaos, the Illuminati, whatever you want to call it, as their destabilization secret army force, as their Cobra base.
[00:27:04.224 --> 00:27:07.046]  Jacari Jackson made that Cobra intro.
[00:27:07.406 --> 00:27:08.967]  We ought to play that, coming back.
[00:27:12.850 --> 00:27:17.273]  They are the destabilizers within the system, so the system can come in and take over.
[00:27:17.793 --> 00:27:18.634]  And here's the issue.
[00:27:20.253 --> 00:27:24.454]  I know most of you know that better than I. What do we do about it now?
[00:27:24.534 --> 00:27:45.039]  Because last year, this time, they were going to back Al-Qaeda with air raids on the main military bases of the Syrian government, who attack nobody, who's in a defensive posture, with a secular military, who are angels compared to Muammar Gaddafi, and that he's an angel compared to Al-Qaeda.
[00:27:46.138 --> 00:27:48.861]  Then on a scale of 1 to 10, Qaddafi's like a 3.
[00:27:49.481 --> 00:27:50.382]  Al-Qaeda's a 10.
[00:27:50.883 --> 00:27:51.784]  Assad's a 1.
[00:27:54.947 --> 00:27:56.389]  Literally, you could go there, be a terrorist.
[00:27:56.649 --> 00:27:57.690]  They were letting everybody in.
[00:27:57.710 --> 00:27:58.811]  They were starting to work with the West.
[00:27:59.071 --> 00:27:59.652]  What's the answer?
[00:27:59.812 --> 00:28:03.095]  Here comes 200,000 Al-Qaeda people to chop your heads off.
[00:28:03.776 --> 00:28:05.098]  60 plus percent of the main force.
[00:28:06.377 --> 00:28:07.858]  Now you talk about immoral.
[00:28:08.179 --> 00:28:11.062]  Our military finally got upset.
[00:28:11.362 --> 00:28:13.704]  This got decompartmentalized because our military knew.
[00:28:13.964 --> 00:28:16.147]  And I've had Tosh Plumley, CIA on.
[00:28:16.667 --> 00:28:17.648]  Congress has confirmed it.
[00:28:17.708 --> 00:28:18.148]  Look it up.
[00:28:19.830 --> 00:28:20.951]  And I've got other sources.
[00:28:20.991 --> 00:28:22.072]  Colonel Schaefer's coming on.
[00:28:22.473 --> 00:28:24.034]  Schaefer was on three days after.
[00:28:24.054 --> 00:28:24.735]  He's coming on this week.
[00:28:25.055 --> 00:28:26.657]  He was on three days after Benghazi.
[00:28:28.533 --> 00:28:32.854]  And said it was basically an assassination of the ambassador to cover up the arms transfer.
[00:28:33.655 --> 00:28:37.436]  And he basically started naming Turkey and turned out Turkish ambassador was there.
[00:28:38.916 --> 00:28:42.157]  And then he got called in and chewed out so bad he had to walk it back a little bit on air.
[00:28:45.759 --> 00:28:49.780]  But we told you exactly what really happened at the time.
[00:28:51.209 --> 00:28:53.270]  Now generals go on Fox News and admit it.
[00:28:53.630 --> 00:28:58.453]  Now it's in AP and AFP today in a government report.
[00:28:58.913 --> 00:29:01.315]  So I'm not saying, oh I'm great, toot my horn.
[00:29:01.595 --> 00:29:02.755]  I'm saying we were right.
[00:29:03.055 --> 00:29:04.596]  Now what are we going to do about this?
[00:29:05.857 --> 00:29:15.662]  Because Al-Qaeda, renamed ISIS, they'll name it something else next week, the caliphate, IS, they'll flip it to confuse you because it's so embarrassing.
[00:29:15.702 --> 00:29:16.523]  So Obama
[00:29:17.833 --> 00:29:22.475]  Is being forced to bomb some of these ISIS forces who are all fighting with each other as well.
[00:29:22.535 --> 00:29:26.336]  It isn't that our government runs them, it's they've armed them, protected them, and opened the door.
