[00:00:00.349 --> 00:00:07.595]  Bill Moyers with his show NOW, which is more of an intellectual pursuit program.
[00:09:50.755 --> 00:10:00.266]  I have not heard anything back directly from them beyond what we heard Friday afternoon after we initially released it.
[00:10:00.486 --> 00:10:02.288]  I suspect they're not very happy with us.
[00:10:03.230 --> 00:10:06.774]  Well, absolutely, and at first I tried to deny it and then had to admit it.
[00:10:07.114 --> 00:10:11.359]  What about Section 501, expatriation of terrorists?
[00:10:12.003 --> 00:10:28.708]  And it just says that if they can infer from conduct, thus stripping of your citizenship, which is an enemy combatant designation you've written for engaging, and it says this in the legislation, engaging in lawful activities can end up getting you stripped.
[00:10:28.788 --> 00:10:33.149]  And then there's another section about not letting anyone know who's been grabbed by the government.
[00:10:33.429 --> 00:10:37.631]  I mean, that's right out of the internal GRU or Stasi of East Germany.
[00:10:37.971 --> 00:10:38.271]  Right.
[00:10:38.331 --> 00:10:40.952]  And these are taken together.
[00:10:42.051 --> 00:10:43.692]  By themselves I think they're frightening.
[00:10:44.513 --> 00:11:06.689]  Taken together it's really, you know, the idea that you could be taken off the street and because you signed a petition or because you, you know, gave money to a group that was, you know, that you thought was perfectly legitimate was, you know, or say the charitable arm of a group that has some ties to terrorism, you know, directly or indirectly.
[00:11:07.740 --> 00:11:14.085]  Uh, but you know, but your intentions were certainly noble and had nothing to do with, uh, you know, killing people.
[00:11:14.105 --> 00:11:23.914]  Yeah, the idea that you could be considered a non-citizen and held, uh, without, you know, the government releasing where you are and holding you indefinitely.
[00:11:23.974 --> 00:11:26.736]  Well, this says that they won't even tell anybody they've grabbed you.
[00:11:26.876 --> 00:11:27.797]  And also,
[00:11:29.296 --> 00:11:35.257]  You know, looking at these definitions, they don't even have to grab you for giving money to a terrorist group.
[00:11:35.297 --> 00:11:38.838]  It's that they think you might have, or you've done things that might support.
[00:11:39.758 --> 00:11:44.419]  You know, let's say you've spoken out for Palestinians, and that's considered a terrorist group.
[00:11:44.659 --> 00:11:45.799]  Hamas, or whatever.
[00:11:45.819 --> 00:11:47.660]  I mean, this is insane.
[00:11:48.400 --> 00:11:51.580]  Because I've read the whole thing, I'm sure you have too, and you're right.
[00:11:51.640 --> 00:11:53.601]  Taken in its whole body, it's even worse.
[00:11:54.904 --> 00:12:15.923]  I mean, it's giving a tremendous amount of power to the executive branch and to, you know, and the flip side is, you know, whether you're right-wing or left-wing, I mean, if you're, you know, there are any number of people who might be considering, for example, you know, we all heard about the militias and law-abiding people who
[00:12:17.256 --> 00:12:23.158]  Let's say that they're strong proponents of the Second Amendment, you know, could they be considered belonging to a terrorist organization?
[00:12:23.178 --> 00:12:25.999]  You know, I was about to get into that, and that's an incredible point, Bill Allison.
[00:12:26.780 --> 00:12:29.961]  I can send you, or you can do a LexisNexis search, I know you have that.
[00:12:31.961 --> 00:12:37.903]  Washington Times had a headline, Constitutional Terrorist, and I have the training manual that FEMA and FBI use.
[00:12:37.963 --> 00:12:42.565]  I have video of them in Kansas City, teaching a group of police that, quote, quote,
[00:12:43.419 --> 00:12:45.280]  The Founding Fathers were terrorists.
[00:12:45.781 --> 00:12:47.182]  They're enemies of the federal government.
[00:12:47.222 --> 00:12:50.244]  This mindset and their training manual says U.S.
[00:12:50.284 --> 00:12:53.065]  defenders of the Constitution are terrorists.
[00:12:53.566 --> 00:12:55.507]  It lists gun owners as terrorists.
[00:12:55.627 --> 00:13:00.951]  It lists homeschooling in Megiddo, the belief in a New World Order conspiracy theory, as a terrorist.
[00:13:01.171 --> 00:13:05.053]  So they're now setting up these definitions and protocols.
[00:13:05.073 --> 00:13:05.854]  Were you aware of that?
[00:13:07.115 --> 00:13:10.317]  I do remember hearing something about if you
[00:13:12.645 --> 00:13:18.087]  Federal agents being told that somebody who's carrying around a copy of the Declaration of Independence... It says that, yes.
[00:13:18.107 --> 00:13:18.747]  ...should sign.
[00:13:19.767 --> 00:13:21.968]  And, you know, and again, obviously it's atrocious.
[00:13:22.028 --> 00:13:28.549]  I mean, you know, if you think about the important documents in the history of humanity, certainly the Declaration of Independence is up there.
[00:13:28.889 --> 00:13:34.991]  It says, if you pull somebody over and they make, quote, frequent references to the U.S.
[00:13:35.031 --> 00:13:38.131]  Constitution, call the anti-terrorism hotline immediately.
[00:13:38.311 --> 00:13:40.252]  The police have sworn an oath to it!
[00:13:42.996 --> 00:13:51.861]  It's, I mean, again, it's a fairly frightening thing and you wonder, you know, we all know we have this government.
[00:13:51.901 --> 00:14:00.045]  We would like to believe that the government is, you know, lives by the principles under which it was founded and you have to ask whether that's the case.
[00:14:01.405 --> 00:14:11.187]  Well, Bill Allison, Managing Editor for the Center for Public Integrity, dropped a bombshell, information bombshell, that really is shaking the foundations of the police state.
[00:14:11.967 --> 00:14:15.368]  Bill Moyers, Friday night, and their website is publicintegrity.org.
[00:14:16.568 --> 00:14:20.489]  Bill, all I can say is, you know, last few questions, where is this going?
[00:14:20.529 --> 00:14:28.071]  Will this stop them from being able to pass it, or will they just say, see, we told you so, when the next terror attack takes place, they're doing nothing to stop?
[00:14:28.931 --> 00:14:50.474]  Well, you know, God forbid there should be another terrorist attack, but I would like to think that having gotten this out there, and you know, there are people on the Hill who will hopefully study this document, and if they do try to propose anything like this, the opponents of this kind of legislation and the people who care about civil liberties will stand up and be counted, and that's, you know, the best we can hope for.
[00:14:51.940 --> 00:14:58.004]  And to get a big grassroots movement going to take some time out to find out exactly what's happening because... Well, that too.
[00:14:58.304 --> 00:14:59.605]  Nothing's as important as that.
[00:15:00.106 --> 00:15:01.046]  Anything else, Bill?
[00:15:03.648 --> 00:15:16.697]  No, I can't think of anything else to add except that, again, regarding the grassroots movement, if our web traffic is any indication of this, and now it's all over the web,
[00:15:17.392 --> 00:15:20.233]  Which, you know, we're certainly happy for to put the information out there.
[00:15:20.293 --> 00:15:23.194]  But, you know, I think that people are really concerned about this.
[00:15:23.854 --> 00:15:30.076]  And, you know, the feedback we've been getting has been nearly crashing our servers, so... Well, if they read the bill, they're going to have a heart attack.
[00:15:30.216 --> 00:15:32.637]  Bill Allison, thank you for joining us, and God bless you.
[00:15:32.677 --> 00:15:33.398]  Keep the good work up.
[00:15:33.518 --> 00:15:34.458]  Oh, well, thank you so much.
[00:15:34.498 --> 00:15:35.218]  Thanks for having me on.
[00:15:35.438 --> 00:15:35.878]  Take care.
[00:15:35.978 --> 00:15:41.920]  I'm going to come back and read some of the subsections to you, and then analysis in the third hour, and more calls.
[00:15:41.960 --> 00:15:42.881]  Everybody stay right there.
[00:15:42.901 --> 00:15:43.281]  We'll be back.
