[00:00:00.149 --> 00:00:01.469]  Okay, he just got to the phone.
[00:10:39.079 --> 00:10:53.464]  That's right, and we found out, we had some very good police officer friends of mine, who had been getting our police and military publication for a number of years, right there in the LA riots that told us the same thing.
[00:10:53.464 --> 00:11:00.807]  The mayor, of course, was a Marxist, and it was all set up, the riots were all set up on purpose,
[00:11:01.400 --> 00:11:22.368]  And our LA and Sheriff's Department superiors told us here at Aid in the Bed, and actually we put a section in Vampire Killer 2000 on that from one of our detective friends, where he said that this was all set up to test to see if the American people, after the riots broke out and the law enforcement stood down,
[00:11:23.007 --> 00:11:27.009]  How many hours it would take for the American people in L.A.
[00:11:27.009 --> 00:11:31.011]  to beg for martial law and military troops?
[00:11:31.011 --> 00:11:36.594]  And it was two hours where the American people started begging for martial law.
[00:11:36.594 --> 00:11:47.300]  And then about a year after that at Evian, France, Henry Kissinger gave a speech where he said, we will create these crises and the people will beg for U.N.
[00:11:47.300 --> 00:11:47.880]  peacekeepers.
[00:11:48.655 --> 00:11:49.716]  That's correct, brother.
[00:12:18.735 --> 00:12:19.556]  That's right, brother.
[00:12:19.556 --> 00:12:22.478]  It's been going on a long time, this plan.
[00:12:22.478 --> 00:12:36.811]  I've watched it for 22 years and written about it for 22 years, and Alex, you have been doing a masterful job for many years at informing the people that do have ears to hear and eyes to see.
[00:12:36.811 --> 00:12:40.674]  It's just a shame that so many of our people, even in our own families,
[00:12:41.314 --> 00:12:41.754]  I think so.
[00:12:57.167 --> 00:13:14.077]  By the way, BBC two days ago, they have flying drones with microwave guns that can zap whole cities and they're going to deploy them.
[00:13:14.077 --> 00:13:24.283]  Yes, in other words, folks, what Alex is saying is that if you don't have an old vehicle that does not have electronics in it and can run even if they have an EMP strike,
[00:13:24.761 --> 00:13:26.362]  Your vehicles will not go.
[00:13:26.362 --> 00:13:29.684]  They will not go down the road and that's part of the plan.
[00:13:29.684 --> 00:13:37.350]  So you better think about getting ready because your relatives and your neighbors think you're nuts.
[00:13:37.350 --> 00:13:41.953]  Some of you will listen and you'll read your Bible and the Bible tells you about things that are coming.
[00:13:42.623 --> 00:13:45.165]  And you will know what's going to happen and be prepared.
[00:13:45.165 --> 00:13:46.226]  Jack McClam, we've got a break.
[00:13:46.226 --> 00:13:46.826]  Stay right there.
[00:13:46.826 --> 00:13:47.607]  Thank you for joining us.
[00:13:47.607 --> 00:13:49.368]  We'll be right back with Jack McClam.
[00:13:49.368 --> 00:13:56.674]  By the way, in my film, Police Day 2000, we have the Marines training with foreign troops to take our guns, emitting it on tape, and they brag.
[00:13:56.674 --> 00:14:00.757]  We've got sound wave rifles and knockdown rioters.
[00:14:00.757 --> 00:14:05.021]  They're deploying the Humvees with the microwave guns.
[00:14:05.021 --> 00:14:06.882]  This has been going on for decades.
[00:14:06.882 --> 00:14:08.103]  The big setup for this.
[00:14:08.103 --> 00:14:10.185]  We hope they don't pull it, but it looks like they might do it.
[00:14:10.185 --> 00:14:10.565]  We'll be back.
[00:14:13.073 --> 00:14:15.275]  A fairy tip!
[00:14:15.275 --> 00:14:18.398]  On the air, toll free at 1-800-259-9231.
[00:14:18.398 --> 00:14:22.782]  Or email the Info Warrior at alex.infowars.com.
[00:14:22.782 --> 00:14:27.306]  Welcome back, we're talking to Jack McClann.
[00:14:27.306 --> 00:14:29.568]  This is very serious information.
[00:14:29.568 --> 00:14:35.474]  He is the founder of Aid in the Bat newsletter for 22 years, police and military against the New World Order.
[00:14:37.245 --> 00:14:39.586]  And Jack, I get those same military calls you get.
[00:14:39.586 --> 00:14:44.549]  I mean, I've talked to former generals, admirals, colonels in the military.
[00:14:44.549 --> 00:14:45.650]  They're very upset.
[00:14:45.650 --> 00:14:53.374]  The Washington Times reported the morale the lowest it's ever been at the Pentagon because folks are starting to find out what this is really all about.
[00:14:53.374 --> 00:14:55.315]  This is the takeover.
[00:14:55.315 --> 00:15:00.138]  And do you think they've got the nerve to institute this because we've been out there now exposing them
[00:15:01.013 --> 00:15:02.795]  I don't... Our assessment here at our Police and Military Association
[00:15:21.997 --> 00:15:24.599]  is that we do not at this time.
[00:15:24.599 --> 00:15:47.271]  The vast majority of the American people still proclaim to be Christians, and as you know, because of the Rapture Doctrine that started in 1835, right around there, and also the misinterpretations of Romans 13, where Christians are told that they have to obey everything evil government tells them to do, because all evil governments of God
[00:15:48.132 --> 00:15:49.633]  We're good to go.
[00:16:08.792 --> 00:16:10.413]  We're good to go.
[00:16:31.641 --> 00:16:34.482]  Forty-five million, isn't it, children have been killed?
[00:16:34.482 --> 00:16:36.222]  I think it's about fifty million now.
[00:16:36.222 --> 00:16:37.282]  Fifty million now?
[00:16:37.282 --> 00:16:49.305]  Well, James Madison, the Constitution doesn't work because John Adams said our Constitution was made only for religious and moral people, totally inadequate for the government of any other.
[00:16:49.305 --> 00:16:57.047]  I think James Madison it was that says we stake the whole future of American civilization, not upon the power of government, far from it.
[00:16:57.047 --> 00:17:01.268]  We stake the future upon the capacity for each and all of us to govern ourselves,
[00:17:02.103 --> 00:17:04.025]  Uh, by the Ten Commandments of God.
[00:17:04.025 --> 00:17:18.256]  Now, we're no longer doing that, and if you read in the Scriptures, 2 Chronicles 7, 14, you know America is coming down because God's people fail to qualify under 2 Chronicles 7, 14 today.
[00:17:18.256 --> 00:17:26.463]  So brother, if God is bringing this nation down, there's nothing you and I can do to stop it, but we must prepare to get out of those areas
[00:17:27.023 --> 00:17:34.466]  In which God is going to speak to it that the people are punished in just a colossal way before he returns.
[00:17:34.466 --> 00:17:39.848]  What would you say to the FBI and military people and others driving around in their cars listening to this show?
[00:17:39.848 --> 00:17:45.250]  They know we've been telling the truth all along, calling it precisely because we know the globalist playbook.
[00:17:45.250 --> 00:17:46.531]  What would you say to them?
[00:17:46.531 --> 00:17:48.591]  What's your advice to them, Jack McClam?
[00:17:48.591 --> 00:17:50.912]  Are brothers and sisters in uniform, you say?
[00:17:50.912 --> 00:17:51.652]  Yes.
[00:17:51.652 --> 00:17:52.393]  Okay.
[00:17:52.393 --> 00:17:54.614]  Well, we've said this.
[00:17:56.258 --> 00:17:59.321]  It is our duty to do our duty.
[00:17:59.321 --> 00:18:10.670]  And if you read your oath, the best thing they could do is take out their oath and read their oath of allegiance and realize that they have a higher duty than this commander-in-chief.
[00:18:10.670 --> 00:18:18.097]  And law enforcement out there, you have a higher duty than to the Supreme, those men and women running around in black dresses.
[00:18:18.097 --> 00:18:19.478]  There is a higher authority.
[00:18:20.052 --> 00:18:24.573]  And it's spelled out right in your Oath of Allegiance, and you better stick by that.
[00:18:24.573 --> 00:18:31.415]  To protect, defend... The Constitution of the United States, the people, their rights and their liberties and property.
[00:18:31.415 --> 00:18:40.297]  And that is their whole duty, and we keep telling our brothers and sisters in uniform that duty is ours, consequences are God's.
[00:18:40.297 --> 00:18:43.038]  We just have to be in the field doing our duty.
[00:18:43.038 --> 00:18:45.458]  Jack McClam, stay with us about 15 more minutes.
[00:18:45.458 --> 00:18:48.299]  I want to tell folks how to get your finance letter and get in touch with you.
[00:18:49.818 --> 00:18:51.420]  We'll also take some calls.
[00:18:51.420 --> 00:18:52.722]  We want to talk to Jack McClam.
[00:18:52.722 --> 00:18:52.782]  800-259-9231.
[00:18:52.782 --> 00:18:55.526]  Second hour coming up in 70 seconds.
[00:19:06.016 --> 00:19:07.317]  Big Brother.
[00:19:07.317 --> 00:19:09.098]  Mainstream media.
[00:19:09.098 --> 00:19:10.879]  Government cover-ups.
[00:19:10.879 --> 00:19:11.740]  You want answers?
[00:19:11.740 --> 00:19:14.001]  Well, so does he.
[00:19:14.001 --> 00:19:18.184]  He's Alex Jones on the GCN Radio Network.
[00:19:18.184 --> 00:19:22.226]  And now, live from Austin, Texas, Alex Jones.
[00:19:23.397 --> 00:19:24.939]  Welcome back, ladies and gentlemen.
[00:19:24.939 --> 00:19:28.322]  We've got Jack McClam with us for about 15 more minutes.
[00:19:28.322 --> 00:19:29.924]  We've only got time to take a few calls.
[00:19:29.924 --> 00:19:38.131]  If you'd like to get involved and talk to Jack McClam, 1-800-259-9231 on this live Wednesday edition.
[00:19:38.131 --> 00:19:42.956]  I'm Alex Jones, your host, and we've got Tex Marge coming up a little bit later in the hour.
[00:19:42.956 --> 00:19:44.638]  Professor Tex Marge, you don't want to miss that.
[00:19:45.948 --> 00:19:55.755]  In the next segment, I'm going to air this little clip of Gary Hart at a CFR meeting on C-SPAN saying, we need to use 9-1-1 attacks, use the disaster, to get the New World Order.
[00:19:55.755 --> 00:19:57.996]  Jack McClam, what is the New World Order?
[00:19:57.996 --> 00:20:03.840]  You know, now we see more and more people admitting we're in a world government, whereas they would still deny it just a few years ago.
[00:20:03.840 --> 00:20:05.441]  What is the New World Order?
[00:20:05.441 --> 00:20:09.544]  Well, basically, it's every
[00:20:10.561 --> 00:20:11.822]  Yes, we're good to go.
[00:20:32.249 --> 00:20:39.776]  It will be the takeover of the political, the monetary, the intellectual, and the ecclesiastical into one world.
[00:20:39.776 --> 00:20:40.777]  One world government.
[00:20:40.777 --> 00:20:46.743]  And of course we know today very well that the political in America is actually one party.
[00:20:47.219 --> 00:20:53.123]  Two socialist arms of one party, the Republican Socialist Party and Democratic Socialist Party.
[00:20:53.123 --> 00:20:56.405]  And we know the monetary system has been taken over.
[00:20:56.405 --> 00:21:02.369]  We know the intellectual, the school and educational systems have been taken over.
[00:21:02.369 --> 00:21:08.653]  But what we fail to understand in America today is that the ecclesiastical has been taken over too.
[00:21:08.653 --> 00:21:14.217]  And these are all going to go together as one head in this world government rule under the United Nations.
[00:21:14.807 --> 00:21:25.872]  Of course, the United Nations, these clowns, these world dictators, these third world nation dictators are not running the world under the UN.
[00:21:25.872 --> 00:21:31.134]  It is the internationalists that control the United Nations that control the central banks.
[00:21:31.134 --> 00:21:32.274]  Listen to this clip.
[00:21:32.274 --> 00:21:37.917]  This is George Bush saying, don't talk about conspiracy theories involving 9-1-1, and then Gary Hart.
[00:21:37.917 --> 00:21:38.477]  Listen, folks.
[00:21:39.418 --> 00:21:46.925]  Let us never tolerate outrageous conspiracy theories concerning the attacks of September the 11th.
[00:21:46.925 --> 00:21:52.790]  Malicious lies that attempt to shift the blame away from the terrorists themselves, away from the guilty.
[00:21:52.790 --> 00:22:06.062]  There is a chance for the President of the United States to use this disaster to carry out what his father, a phrase his father used I think only once, and hasn't been used since, and that is a New World Order.
[00:22:07.409 --> 00:22:15.112]  Well, they use that term all the time, and what does that mean when Gary Hart is out fear-mongering again, saying we will be hit by smallpox?
[00:22:15.112 --> 00:22:16.493]  What does that mean?
[00:22:16.493 --> 00:22:24.677]  Well, he's exposing more than probably what they want him to expose, because he is telling us exactly what's going to happen.
[00:22:24.677 --> 00:22:30.019]  They're going to use the Hegelian dialectic, and that is creating a problem on purpose
[00:22:30.598 --> 00:22:31.038]  It's incredible.
[00:22:54.723 --> 00:22:58.046]  And this global government controls all the different political parties.
[00:22:58.046 --> 00:22:59.688]  I mean, you look at George Bush, Jack.
[00:22:59.688 --> 00:23:02.591]  His entire agenda is Bill Clinton on steroids.
[00:23:02.591 --> 00:23:06.634]  But these phony conservative hosts tell us how good and conservative Bush is.
[00:23:06.634 --> 00:23:14.482]  Well, all they have to do is go back to 1992, where George Bush Sr.
[00:23:14.482 --> 00:23:20.087]  was standing in the UN building and made the absolutely treasonous statement
[00:23:20.600 --> 00:23:29.545]  That it is the sacred principles enshrined in the UN Charter to which we will henceforth pledge our allegiance, February 1st, 1992.
[00:23:29.545 --> 00:23:35.709]  That was absolute treason by a president, and he meant it, and that's exactly what's happening.
[00:23:35.709 --> 00:23:42.132]  We're going to worship the United Nations system, or you will not live!
[00:23:42.132 --> 00:23:42.913]  It's incredible.
[00:23:42.913 --> 00:23:44.174]  Jack McClam, stay right there.
[00:23:44.174 --> 00:23:46.395]  We'll come back with our final segment with you.
[00:23:47.461 --> 00:23:52.086]  I'm Alex Jones, and we'll try to get some of your calls in here at 800-259-9231.
[00:23:52.086 --> 00:23:55.549]  But we're just talking to Jack McClam right now.
[00:23:55.549 --> 00:23:57.030]  And we got Tex-Mars coming up.
[00:23:57.030 --> 00:24:01.134]  Don't forget my website, InfoWars.com.
[00:24:01.134 --> 00:24:07.761]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:24:07.761 --> 00:24:10.764]  It's Alex Jones and the GCN Radio Network.
[00:24:16.328 --> 00:24:25.015]  Alright, I got loaded phones here in just a few minutes left with Jack McClam, founder of Police and Military Against the New World Order.
[00:24:25.015 --> 00:24:33.201]  Jack, if folks want to get your newsletter or want to get a copy of it, how do they do that?
[00:24:33.201 --> 00:24:36.464]  Here, we're coming down to a critical time.
[00:24:37.196 --> 00:24:44.118]  In America, I mean, very critical, and there's no one that shows that and tells it better than you and points that out to people.
[00:24:44.118 --> 00:24:47.459]  But I would ask the people to call my number here.
[00:24:47.459 --> 00:24:53.220]  If they do not have a plan where to go, do not be alone when these days come.
[00:24:53.220 --> 00:25:00.703]  You may have hours or weeks or months to prepare, but call us here at our Police and Military Association.
[00:25:00.703 --> 00:25:05.784]  Ask to speak to me about a plan, what you should do if you don't have a plan.
[00:25:06.320 --> 00:25:07.341]  And call us here at 208-935-7852.
[00:25:07.341 --> 00:25:07.981]  That's 208-935-7852.
[00:25:07.981 --> 00:25:17.008]  And then secondly, get our publications into the hands of law enforcement and military as fast as you can.
[00:25:25.080 --> 00:25:29.984]  Even hard-headed relatives are a good idea to give them our police and military publication.
[00:25:29.984 --> 00:25:36.068]  They've got to know what's coming, and they may laugh at it now, but when they see it actually happen, they'll remember.
[00:25:36.068 --> 00:25:37.429]  Tell folks how they get that.
[00:25:37.429 --> 00:25:48.338]  Okay, they write to us here in our headquarters, World Headquarters, in Idaho County, Idaho, and that's that Aid and Abet Police Military Newsletter.
[00:25:48.338 --> 00:25:51.020]  Aid and Abet Police Military Newsletter.
[00:25:51.020 --> 00:25:53.722]  Or they just put Jack McClamb on there, it'll get here.
[00:25:54.426 --> 00:25:57.087]  And that's at, uh, HC.
[00:25:57.087 --> 00:26:04.510]  That's like Henry Charles 11, Box 357, like the Magnum gun.
[00:26:04.510 --> 00:26:13.253]  And that's Kamii K-A-M-I-A-H, Idaho, 83536.
[00:26:13.253 --> 00:26:19.195]  Once again, Aidan Abetz Police Military Newsletter, HC, 11, Box 357, Kamii K-A-M-I-A-H,
[00:26:24.352 --> 00:26:25.253]  Idaho 83536.
[00:26:25.253 --> 00:26:30.876]  Alright, let's... Send us $3 donation so we can reprint.
[00:26:30.876 --> 00:26:32.377]  We're all volunteers here, Alex.
[00:26:32.850 --> 00:26:36.673]  We need to pay postage and all, so send us $3 donation.
[00:26:36.673 --> 00:26:50.146]  We'll send you out the latest copy of Aid in a Bit that has four letters in here from military people, active military people, about how they feel about us destroying nations and going to war with nations today that haven't done anything to America.
[00:26:50.146 --> 00:26:53.168]  To build a world government, let's take as many calls as we can.
[00:26:53.168 --> 00:26:55.130]  Let's do a quick question or comment.
[00:26:55.130 --> 00:26:56.451]  Warren in Colorado.
[00:26:56.451 --> 00:26:57.332]  Go ahead, you're on the air.
[00:26:58.653 --> 00:27:01.156]  What about people that live way out in the country?
[00:27:01.156 --> 00:27:12.368]  We live out in the country in Colorado, and when things do go to lockdown, what's the police, what's their role going to be for people who live out in the country that do own guns?
[00:27:13.095 --> 00:27:14.596]  In our pretty kind of, uh, aggressive part.
[00:27:14.596 --> 00:27:16.097]  Well, there'll be hysteria first.
[00:27:16.097 --> 00:27:17.297]  They'll allow the breakdown.
[00:27:17.297 --> 00:27:22.300]  They'll bring in the foreign assets along with our troops and the troops that took the test that said they'd fire on us.
[00:27:22.300 --> 00:27:23.720]  They're staying here.
[00:27:23.720 --> 00:27:27.702]  Then, a few months into it, they'll start fanning out, going after the guns.
[00:27:27.702 --> 00:27:30.203]  But there'll already be physical resistance at that time.
[00:27:30.203 --> 00:27:38.027]  They'll probably be barricaded in their own armored strongholds in the major city and it's going to be a long-term siege operation against the American people.
[00:27:38.027 --> 00:27:39.188]  Jack, do you agree with that analysis?
[00:27:39.508 --> 00:27:50.050]  Yes, pretty much, but I'd like to have this brother call me, because those that think they're going to be out in the boonies by themselves, it's a very, very bad plan.
[00:27:50.050 --> 00:28:09.134]  As we said at the beginning of the program, the government's plan is to allow those that escape when the gates close on the population centers to go out and just ravage those that are by themselves with their families in the outback, because they're going to be coming your way by the thousands, those that escape,
[00:28:09.634 --> 00:28:12.596]  And they're going to clean you out, and so it's a very bad plan.
[00:28:12.596 --> 00:28:13.276]  Give me a call.
[00:28:13.276 --> 00:28:17.099]  Well, you should be in a community with folks that you know and can trust.
[00:28:17.099 --> 00:28:18.039]  So get some friends quick.
[00:28:18.039 --> 00:28:18.620]  Hundreds.
[00:28:18.620 --> 00:28:27.285]  Hundreds of people that can be your backup, and they can provide such a force that these ravaging crowds will not even come near the area.
[00:28:27.285 --> 00:28:27.605]  All right.
[00:28:27.605 --> 00:28:28.706]  So give me a call.
[00:28:28.706 --> 00:28:30.027]  Thank you for the call, Warren.
[00:28:30.027 --> 00:28:31.047]  Good question.
[00:28:31.047 --> 00:28:32.468]  Michael in Washington State.
[00:28:32.468 --> 00:28:33.169]  Go ahead, Michael.
[00:28:33.169 --> 00:28:34.249]  You're on the air.
[00:28:34.249 --> 00:28:36.771]  I noticed that on the other day,
[00:28:37.835 --> 00:28:47.061]  Our president, Boyd George Bush, didn't take his oath of affirmation to protect the country from enemies, foreign and domestic.
[00:28:47.061 --> 00:28:57.068]  And I was thinking about your guest, and I was thinking what police officers, if they're listening, they have to be outraged because if you don't take your oath of office, you're a fraud.
[00:28:57.068 --> 00:28:58.489]  What are you talking about?
[00:28:58.489 --> 00:29:02.691]  Bush took an oath of office in front of millions of people on television.
[00:29:02.691 --> 00:29:05.153]  But he did not mention, I promise to protect
[00:29:05.856 --> 00:29:08.037]  The country from enemies born in domestic.
[00:29:08.037 --> 00:29:09.779]  That part was omitted from his oath.
[00:29:09.779 --> 00:29:10.779]  Oh, I'd like to see that.
[00:29:10.779 --> 00:29:11.300]  That's interesting.
[00:29:11.300 --> 00:29:12.921]  I heard it on the Power Hour yesterday morning.
[00:29:12.921 --> 00:29:13.521]  They played it.
[00:29:13.521 --> 00:29:15.142]  A guy called in and played it.
[00:29:15.142 --> 00:29:17.063]  Wow, I'd like somebody to send me a copy of that.
[00:29:17.063 --> 00:29:18.524]  Jack, any comments to what he just said?
[00:29:18.524 --> 00:29:20.325]  No, I wasn't aware of that either.
