[00:00:00.429 --> 00:00:06.254]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:03:18.749 --> 00:03:24.852]  And the plan detailed how to blow out economies, cause riots, take over the government, and install a new government.
[00:03:24.852 --> 00:03:31.195]  And I have to say that our interview ran on the front page of papers in Turkey, Argentina.
[00:03:31.195 --> 00:03:35.217]  In fact, it's been translated in something like 40 languages.
[00:03:35.217 --> 00:03:44.882]  And I have to tell you that finally the mainstream press is catching up because it's been a year since that broadcast, but this month's Harper's Magazine, which is of course one of the great voices
[00:03:45.582 --> 00:03:47.364]  Of New York establishments.
[00:03:47.364 --> 00:03:49.185]  It's a terrific journal.
[00:03:49.185 --> 00:03:52.268]  They are running that story now with copies of some of the documents.
[00:03:52.268 --> 00:03:53.529]  And I have brand new stuff.
[00:03:53.529 --> 00:03:56.311]  So Alex, you're a year ahead of the pack.
[00:03:56.311 --> 00:03:58.133]  It's going to be all over the place now.
[00:03:58.133 --> 00:03:59.914]  But you were the guy who was ahead.
[00:03:59.914 --> 00:04:01.456]  It's in the book, by the way.
[00:04:01.456 --> 00:04:05.199]  My discussions with you and the newest information.
[00:04:05.199 --> 00:04:07.301]  Your files keep coming out.
[00:04:07.301 --> 00:04:13.366]  You put, because I have your hardback, you're saying the new edition coming out in how many languages has our interview?
[00:04:14.426 --> 00:04:20.648]  Well, I have your interview in something in 12 languages in the book.
[00:04:20.648 --> 00:04:21.148]  In the U.S.
[00:04:21.148 --> 00:04:22.849]  edition, I make mention of it.
[00:04:22.849 --> 00:04:26.470]  You're acknowledged in the back for the stand-up work that you have done.
[00:04:26.470 --> 00:04:27.150]  Wow, I didn't know that.
[00:04:27.150 --> 00:04:27.990]  Well, thank you, Greg.
[00:04:27.990 --> 00:04:32.192]  That just shows the alternative media can't have an effect.
[00:04:32.192 --> 00:04:33.792]  Well, maybe it's not the alternative.
[00:04:33.792 --> 00:04:35.733]  You've got some new bombshells today.
[00:04:35.733 --> 00:04:36.353]  Yeah, that's right.
[00:04:36.353 --> 00:04:37.333]  Well, there's a few.
[00:04:37.333 --> 00:04:42.215]  One of the stories I broke on BBC television was that before September 11th,
[00:04:44.117 --> 00:05:01.572]  FBI agents and CIA agents told BBC television that they were blocked from investigating certain members of the Bin Laden family in America who were tied to suspect terrorist organizations and that they could not investigate
[00:05:02.312 --> 00:05:02.592]  We're good.
[00:05:16.545 --> 00:05:18.467]  September 13, 2001.
[00:05:18.467 --> 00:05:33.721]  And I have to say, you know, I'm not saying, I don't know whether George Bush had any knowledge or pre-knowledge of September 11th or any of that, but what I was investigating, though, was why was, why were the intelligence agencies told to stay away?
[00:05:33.721 --> 00:05:40.727]  And I want to give you a piece of information, Alex, which some of it's in the new book and some is just, will be on your show for the first time today.
[00:05:41.705 --> 00:05:58.720]  One of the things I was very concerned about, BBC learned about from two completely separate sources about a meeting in June of 1996 in Paris between Saudi Arabian billionaires, international arms dealers, and the finance arm of Al-Qaeda.
[00:05:58.720 --> 00:06:03.705]  And there was a discussion about how much the Saudis would pay to Al-Qaeda and these other so-called charities.
[00:06:04.309 --> 00:06:06.450]  that were really fronts for terrorist organizations.
[00:06:06.450 --> 00:06:11.513]  The idea was that the Saudis were going to pay off these guys to get out of Saudi Arabia.
[00:06:11.513 --> 00:06:19.437]  That was the month that 19 American servicemen were killed in Saudi Arabia when Al-Qaeda blew up the Khobar Towers.
[00:06:19.437 --> 00:06:21.217]  So 19 American servicemen were dead.
[00:06:21.217 --> 00:06:27.461]  So the Saudis, rather than go after these guys, said, well we'll write them a big check and tell them to go play in Afghanistan.
[00:06:27.461 --> 00:06:32.023]  And I was wondering why the intelligence agents were not free
[00:06:32.918 --> 00:06:36.142]  We're not free by the Bush administration to really go after that source of funding.
[00:06:36.142 --> 00:06:38.745]  You know, the old rule of investigation is follow the money.
[00:06:38.745 --> 00:06:46.275]  If you can't look at Osama Bin Laden's piggy bank, and you can't check out his checking account, you're not going to know what he's up to.
[00:06:46.275 --> 00:06:49.138]  So I found out who was at the meeting.
[00:06:49.138 --> 00:06:51.842]  And one guy at the meeting, according to two separate sources,
[00:06:52.797 --> 00:06:56.380]  He's a rich Saudi named Sheikh Abdullah Baksh.
[00:06:56.380 --> 00:06:59.983]  B-A-K-S-H is usually how it's spelled in English.
[00:06:59.983 --> 00:07:02.645]  And he was involved in Harkin in the 70s.
[00:07:02.645 --> 00:07:04.927]  Boy, you've got a good memory.
[00:07:04.927 --> 00:07:06.568]  You know exactly where it comes from.
[00:07:06.568 --> 00:07:10.931]  This guy was supposedly in this meeting about funding Al-Qaeda.
[00:07:10.931 --> 00:07:15.355]  And what we also know is that when George W. Bush
[00:07:16.072 --> 00:07:17.333]  He was in the oil business.
[00:07:17.333 --> 00:07:23.578]  He made millions in the oil business, though he never struck oil, but he seemed to strike the pockets of several Saudi sheikhs.
[00:07:23.578 --> 00:07:28.861]  Every time he had an oil venture going south, he had one called Arbusto, then another called Spectrum.
[00:07:28.861 --> 00:07:32.524]  Finally, those were bought up by Harkin Oil.
[00:07:32.524 --> 00:07:39.109]  A Gulf sheikh would come in and put up the money to pull George W. out of the financial fire.
[00:07:40.151 --> 00:07:52.714]  And it was Abdullah Sheikh, Sheikh Abdullah Bakhsh, who was the big money helping to refinance Harken Oil and save George W. from basically from bankruptcy in the oil business.
[00:07:52.714 --> 00:08:02.836]  And so this is the guy, this is George, you know when our president says there are thousands of people out there trying to kill us and people supporting terror, he might want to look at some of his own business partners.
[00:08:02.836 --> 00:08:08.878]  Now isn't he one of the richest people in Saudi Arabia and also Bin Laden's older brother was involved in it too right here in Texas.
[00:08:09.458 --> 00:08:14.284]  Well, you know, we did have... I haven't been able to get the information on the Texas story.
[00:08:14.284 --> 00:08:15.685]  You may have more information on that.
[00:08:15.685 --> 00:08:26.117]  What I was concerned about is that there are two members of the Bin Laden family in Washington, D.C., in Virginia Falls, which overlooks the Pentagon.
[00:08:29.338 --> 00:08:30.799]  Abdullah and Omar Bin Laden.
[00:08:30.799 --> 00:08:33.882]  Now, we have to be careful, there's lots of Abdullahs and there's lots of Omar Bin Ladens.
[00:08:33.882 --> 00:08:39.486]  The guy had 52... Osama had 52 brothers and sisters, so, you know, it's quite a family.
[00:08:39.486 --> 00:08:43.969]  So not all of them, just because they're named Bin Laden or even Abdullah, are suspects.
[00:08:43.969 --> 00:08:54.277]  But these two guys, and you had this on your program, because this was from the FBI document 199-I, which is a national security secret document, which agents basically dropped off for us.
[00:08:54.923 --> 00:08:58.246]  Because they were upset that they couldn't investigate these guys.
[00:08:58.246 --> 00:09:00.728]  And they were fronting an organization called Whammy.
[00:09:01.853 --> 00:09:03.454]  And which sounds very nice.
[00:09:03.454 --> 00:09:09.959]  The World Assembly of Muslim Youth, you know, and they do actually support like little baseball teams and basketball teams and that type of thing.
[00:09:09.959 --> 00:09:14.022]  But I saw some of their films of their training camp for kids.
[00:09:14.022 --> 00:09:20.808]  It was basically recruitment for for suicide bombings, recruitment for jihad.
[00:09:20.808 --> 00:09:22.909]  This is going on in Florida, by the way.
[00:09:22.909 --> 00:09:29.314]  And now it turns out that a member of this organization headed by at one point by the bin Laden's
[00:09:30.097 --> 00:09:32.700]  And by the Saudi Royal Family.
[00:09:32.700 --> 00:09:37.985]  Turns out to be the conduit for the tapes from Osama Bin Laden to Al Jazeera television.
[00:09:37.985 --> 00:09:42.590]  The guy was just arrested in Somalia from Whammy.
[00:09:42.590 --> 00:09:47.135]  This is the organization that the FBI wanted to investigate and they were told, back off.
[00:09:47.896 --> 00:10:01.752]  And what we have to be concerned about is whether... I'm very concerned whether the Bush family's finances are prejudicing their view of how to conduct foreign policy and how to handle the intelligence.
[00:10:01.752 --> 00:10:06.237]  Well, in early 2001, Wall Street Journal called for the Bushes to get out of the Carlisle Group.
[00:10:07.623 --> 00:10:15.726]  Yes, for those who don't know, and if you've been listening to Alex, I'm sure you do know, the Bin Laden family is one of the funders of the Carlisle Group.
[00:10:15.726 --> 00:10:18.167]  This is one of the problems you run into with many things.
[00:10:18.167 --> 00:10:22.949]  You were talking about the Homeland Security and USA Patriot Act.
[00:10:22.949 --> 00:10:31.153]  One other thing that's coming out in the book, and by the way, if you don't mind me mentioning the book out today, it's the best democracy money can buy, acknowledging the great work of Alex Jones.
[00:10:31.913 --> 00:10:34.375]  And to get this word into the U.S.A.
[00:10:34.375 --> 00:10:43.081]  Like I say, it's mainstream stuff in the rest of the world, but you know, I'm kind of put out as a pariah on U.S.
[00:10:43.081 --> 00:10:43.921]  television.
[00:10:43.921 --> 00:10:49.465]  They now admit universal censorship.
[00:10:49.465 --> 00:10:55.469]  They're actually telling them, from the nightly newsrooms to the Grammys, no criticism of the Fuhrer.
[00:10:55.469 --> 00:10:58.531]  Well, you know, I've got to tell you, I had Dan Rather on my show in Britain.
[00:10:59.513 --> 00:11:04.825]  Another reporter was questioning him, and he said, look, we can't ask the tough questions about September 11th.
[00:11:04.825 --> 00:11:07.792]  We can't ask the tough questions about the war in Iraq.
[00:11:07.792 --> 00:11:08.614]  I know we should.
[00:11:09.358 --> 00:11:13.240]  But we just can't do it because I'll be lynched as unpatriotic.
[00:11:13.240 --> 00:11:16.322]  And when does questioning become unpatriotic, Alex?
[00:11:16.322 --> 00:11:17.922]  It really gets me a bit concerned.
[00:11:17.922 --> 00:11:21.124]  Well, Teddy Roosevelt said that was the definition of being patriotic.
[00:11:21.124 --> 00:11:34.291]  Well, you know, when you talk about Homeland Security and keeping track of your private finances, whether you own a legal weapon, etc., who is the company making the money off this?
[00:11:34.870 --> 00:11:40.192]  Forbes Magazine says that we don't know who's lost the war on terror, but we sure know who's won.
[00:11:40.192 --> 00:11:42.232]  It's a company called Choice Point.
[00:11:42.232 --> 00:11:46.334]  And you'll find this in the book, which is the best democracy money can buy.
[00:11:46.334 --> 00:12:01.899]  And what's interesting about Choice Point, if you remember, I broke a story in BBC, which Alex, you also mentioned, that before the Florida election of 2000, before the presidential election, Catherine Harris and Jeb Bush knocked off 57,000 legal voters off the voter rolls.
[00:12:03.357 --> 00:12:05.239]  Um, and it turns out that most of them were black.
[00:12:05.239 --> 00:12:06.660]  It's not that they had prejudice against black.
[00:12:06.660 --> 00:12:12.164]  They didn't like the fact that they were the color of black votes, which is generally vote Democratic.
[00:12:12.164 --> 00:12:15.106]  And, um, who gave them this list of voters?
[00:12:15.106 --> 00:12:19.590]  Supposedly they were knocked off because they were felons and evildoers who were not allowed to vote in Florida.
[00:12:20.310 --> 00:12:24.154]  Well, it turns out all those people, 90.2% of the people on that list were innocent.
[00:12:24.154 --> 00:12:25.576]  And that swung the election.
[00:12:25.576 --> 00:12:27.638]  Who came up with that rotten little list?
[00:12:27.638 --> 00:12:30.120]  It was a company called Choice Point.
[00:12:30.120 --> 00:12:35.846]  Who is the biggest contractor for the war on terror and homeland security for spying on Americans?
[00:12:35.846 --> 00:12:36.747]  Choice Point.
[00:12:36.747 --> 00:12:38.109]  They picked the President.
[00:12:38.109 --> 00:12:42.994]  The President has picked them for the total information awareness business.
[00:12:43.775 --> 00:12:46.362]  These guys are, and now they want your blood, Alex.
[00:12:46.362 --> 00:12:48.327]  You'll find this in the book, too.
[00:12:48.327 --> 00:12:50.733]  There's a company called Bode Technologies.
[00:12:51.596 --> 00:12:58.918]  Which has been getting a lot of good airplay because they supposedly find all the kiddies who you see their pictures on the milk cartons, missing children.
[00:12:58.918 --> 00:13:02.819]  They try to use DNA samples to find the missing kids.
[00:13:02.819 --> 00:13:04.359]  It's a very heartwarming story.
[00:13:04.359 --> 00:13:09.721]  And they encourage you to send them, you know, your blood and your DNA and your hair and all that in case your kid gets lost.
[00:13:09.721 --> 00:13:17.943]  What they should tell you is that this company, Bode Technologies, is also the biggest contractor to the FBI for supplying their DNA CODIS.
[00:13:18.923 --> 00:13:36.389]  Well, that even said, I had one of these individuals connected to the group on the show who had pushed back in the early 90s for a federal law that we all have to give DNA at birth and now it's come out that a lot of those healed blood tests they've been doing, most of the states have now been caught, but they keep doing it.
[00:13:36.389 --> 00:13:38.210]  They go, oh, it's a blood test for your baby.
[00:13:38.610 --> 00:13:45.332]  They take three ampoules, one goes to the health department, which is for the blood test, one goes to the state, and one to the feds.
[00:13:45.332 --> 00:13:56.036]  They've got illegal DNA databases, and again, this is just being done, and it's always shadowy, you know, slash CIA front companies involved in it, as you just mentioned.
[00:13:56.036 --> 00:14:03.559]  Well, in fact, this company, Bode Technologies, is 100% owned subsidiary of the company that made Bush president, Choice Point, the same
[00:14:04.419 --> 00:14:08.383]  I mean, for picking our president, they've done very well for themselves.
[00:14:08.383 --> 00:14:12.267]  While the rest of the stock market's going down the tubes, this company is rising.
[00:14:12.267 --> 00:14:13.048]  Well, yeah, look at it.
[00:14:13.048 --> 00:14:17.592]  The oil's up, the bank's up, the security, the police state, stocks are all up.
[00:14:17.592 --> 00:14:20.415]  This is our new economy as a gulag.
[00:14:20.415 --> 00:14:26.060]  Well, you know, so I have some chapters of who's really winning the war on terror in the book.
[00:14:26.698 --> 00:14:26.978]  I don't know.
[00:14:47.148 --> 00:14:49.349]  What's really going on here?
[00:14:49.349 --> 00:15:07.574]  I'm very concerned, and I have to tell you, I spoke to agents, FBI agents, CIA agents, and you know, some of them, you know, those are agencies which have done some pretty strange things that we wish they hadn't done, but there's a lot of guys in there who are really trying to protect America, and not one of them... That's why we're getting all these leaks now.
[00:15:07.574 --> 00:15:12.775]  That's right, they're leaking it out, because you know, and not one of them said, Alex, if we didn't have the Bill of Rights,
[00:15:13.645 --> 00:15:14.626]  We could have gotten these guys.
[00:15:14.626 --> 00:15:18.428]  If we didn't have personal freedoms, we could have gotten these guys.
[00:15:43.985 --> 00:15:44.146]  U.S.
[00:15:44.146 --> 00:15:58.175]  government aircraft with ISI flown out to safety, and we know that the Republican Senate report in 1999 said that Al-Qaeda was being funded by Clinton, that means the CIA, to attack the Serbs to start that war.
[00:15:58.175 --> 00:16:07.140]  And so here we have the government flying them out, and Bill Moyers, I read part of his transcript yesterday, well they did fly them out, it's just an accident.
[00:16:07.140 --> 00:16:11.003]  You start connecting all this together, we know they were CIA asses in the past,
[00:16:11.443 --> 00:16:16.845]  You start connecting it all together, Greg, I've got to tell you, you're a BBC reporter, you can't go out on a limb here.
[00:16:16.845 --> 00:16:19.947]  I do, because I have the facts and all of it together.
[00:16:19.947 --> 00:16:24.489]  This thing is a giant operation, and we were kooks to say prior knowledge.
[00:16:24.489 --> 00:16:26.089]  That's now admitted fact.
[00:16:26.089 --> 00:16:27.590]  I think you've got more than prior knowledge.
[00:16:27.590 --> 00:16:28.790]  You've got funding and training.
[00:16:28.790 --> 00:16:34.133]  The LA Times reported tens of millions of dollars in early 2001 being sent to the Taliban.
[00:16:34.133 --> 00:16:39.515]  The only Taliban leader to be held by our government was the one guy who blew the whistle about 9-1-1.
[00:16:39.855 --> 00:16:41.937]  Well, you know, that's what I'm hunting down, the pieces.
[00:16:41.937 --> 00:16:43.338]  I'll let you put it together, Alex.
[00:16:43.338 --> 00:16:44.298]  I just provide the dots.
[00:16:44.298 --> 00:16:45.459]  You can make the connection.
[00:16:45.459 --> 00:16:50.963]  One of the reasons why I believe that the bin Laden connection to this terrorist organization was not hunted down before September 11th.
[00:17:08.716 --> 00:17:19.403]  Our terrorist front organization, or recruiting organization, however you want to call it, is that, as you said, it started really with the Daddy Bush administration and carried through the Clinton administration.
[00:17:19.403 --> 00:17:33.133]  Well, what about Larry Klayman got up on national TV and said, we can't tell you what we know, here's a letter threatening to arrest us, he had Robert Wright, the FBI agent, and then he added to all of this, so the Bushes, by the way, vacation with the Bin Laden, that's all I can say.
[00:17:33.133 --> 00:17:36.455]  It's amazing, Greg.
[00:17:37.270 --> 00:17:41.651]  Yeah, well, there's, you know, the backing of the Chechens, that's all blowback.
[00:17:41.651 --> 00:17:44.692]  I mean, these guys were created by the Bush family.
[00:17:44.692 --> 00:17:46.192]  Tell you what, stay there, Greg Palast.
[00:17:46.192 --> 00:17:46.472]  Quick break.
[00:17:46.472 --> 00:17:48.373]  We've got the IMF stuff, too.
[00:17:48.373 --> 00:17:55.874]  Yeah, we've got more new IMF revelations, a bunch of stuff about the election, the CIA military industrial complex takeover.
[00:17:55.874 --> 00:17:57.595]  We're joined by Greg Palast.
[00:17:57.595 --> 00:17:58.295]  I'm Alex Jones.
[00:18:02.097 --> 00:18:04.238]  Alright, the second hour is coming up.
[00:18:04.238 --> 00:18:07.720]  And Greg Pallast will be with us for another 35 minutes.
[00:18:07.720 --> 00:18:08.740]  We open the phones up.
[00:18:08.740 --> 00:18:11.861]  A little bit later, the toll-free number to talk to Greg Pallast is 1-800-259-9231.
[00:18:11.861 --> 00:18:17.164]  If you'd like to get my documentary films about September 11th or my book, Descent into Tyranny, just go to Infowars.com or net.
[00:18:32.083 --> 00:18:38.687]  Or call toll-free 1-888-253-3139.
[00:18:38.687 --> 00:18:44.050]  That's 888-253-3139 or infowars.com.
[00:18:44.050 --> 00:18:47.672]  Greg Pallas' website that we have a link to is gregpallas.com.
[00:18:47.672 --> 00:18:54.036]  He has a best-selling book, The Best Democracy Money Can Buy, and all this talk about the loving world government, the democracy.
[00:18:55.155 --> 00:19:03.540]  It's bad enough we need a constitutional republic, but they're just calling pure tyranny their loving world democracy.
[00:19:03.540 --> 00:19:12.125]  And Greg's got a bunch of other bombshell news stories, latest developments to drop on us, and we're honored to have him here with us today.
[00:19:12.125 --> 00:19:14.947]  Greg Palast, continuing with the information.
[00:19:15.927 --> 00:19:17.769]  Any other key points you want to add?
[00:19:17.769 --> 00:19:19.550]  There's several.
[00:19:19.550 --> 00:19:22.892]  Like you say, the book just came out today, The Best Democracy Money Can Buy.
[00:19:22.892 --> 00:19:28.496]  The hardbound, I think, hit the New York Times Best Seller list because of Alex Jones.
[00:19:28.496 --> 00:19:31.578]  Because so many of the listeners decided that they needed this information.
[00:19:31.578 --> 00:19:32.779]  It shocked everyone.
[00:19:32.779 --> 00:19:34.680]  The Times said, where did this book come from?
[00:19:35.340 --> 00:19:37.121]  Well, Alex, we know.
[00:19:37.121 --> 00:19:38.961]  But the new book is a special U.S.
[00:19:38.961 --> 00:19:39.282]  edition.
[00:19:39.282 --> 00:19:41.462]  It's double in size of what it was.
[00:19:41.462 --> 00:19:45.224]  And one of the new things in there is we're about to go into Iraq.
[00:19:45.224 --> 00:19:51.446]  Part of the reason is that Saddam has a bomb, or he has at least a rector set to make one.
[00:19:51.446 --> 00:19:53.027]  And who gave him those components?
[00:19:53.027 --> 00:19:54.967]  Yeah, read it right in the book.
[00:19:54.967 --> 00:19:56.848]  What you have is we had a defector.
[00:19:57.634 --> 00:20:04.257]  That came from Saudi Arabia with 14,000 documents in his possession from the Saudi Arabians.
[00:20:04.257 --> 00:20:06.198]  The FBI was offered these documents.
[00:20:06.198 --> 00:20:08.018]  This is when Bill Clinton was president.
[00:20:08.018 --> 00:20:10.559]  The FBI was offered these documents.
[00:20:10.559 --> 00:20:13.341]  They said, no thanks, we're not allowed to look.
[00:20:13.341 --> 00:20:15.762]  But I could tell you what was in those documents.
[00:20:15.762 --> 00:20:19.203]  And one of the things was information that the Saudi Arabian government
[00:20:20.071 --> 00:20:21.591]  We're good to go.
[00:20:42.898 --> 00:20:57.362]  Well, by the way, Rumsfeld just wasn't the bag man for the Sarin, the VX, the West Nile, the Anthrax, the botulism for six months over there.
[00:20:57.362 --> 00:21:07.204]  He also was involved on the board of ABB, transferring nuclear reactors that can produce 100 warheads a year, that we now learn, to North Korea.
[00:21:07.944 --> 00:21:12.867]  Well, yeah, it's kind of all war all the time, economy, hoping that that will save our economy.
[00:21:12.867 --> 00:21:18.090]  Some of the goofy things that they're doing, for example, one of the big projects
[00:21:35.700 --> 00:21:42.343]  Our government is now busting the budget to order three dozen Virginia-class nuclear submarines.
[00:21:42.343 --> 00:21:44.784]  These were supposed to attack Soviet subs.
[00:21:44.784 --> 00:21:46.745]  Well, there aren't any Soviet subs.
[00:21:46.745 --> 00:21:48.006]  There's no Soviet Union.
[00:21:48.006 --> 00:21:52.948]  So what they're doing is they're making them War on Terror machines to fight the War on Terror.
[00:21:52.948 --> 00:21:57.650]  And what they're loading these billion-dollar babies with are torpedoes.
[00:21:57.650 --> 00:21:58.571]  Listen to this one, Alex.
[00:21:58.571 --> 00:21:59.411]  You'll love this one.
[00:21:59.411 --> 00:22:03.173]  Torpedoes, which will be filled with nine Marines.
[00:22:04.070 --> 00:22:06.590]  I don't know where they're going to get the volunteers to go into the torpedo.
[00:22:06.590 --> 00:22:08.651]  But this is how they said, here's how you land.
[00:22:08.651 --> 00:22:12.511]  We're going to fight the war on terror by landing Marines, Navy SEALs and Marines on the beaches.
[00:22:12.511 --> 00:22:15.492]  The Israelis do this type of commando operation.
[00:22:15.492 --> 00:22:16.252]  They use canoes.
[00:22:16.252 --> 00:22:21.293]  We're going to use a $1.6 billion submarine to fire torpedoes filled with Navy SEALs.
[00:22:21.293 --> 00:22:22.693]  Stay right there, Greg Palast.
[00:22:22.693 --> 00:22:32.575]  I want to get back into the World Bank, the IMF, because when you were on this show March 4th, you said there's going to be a coup in the next month, and there was an attempted coup two weeks later, actually a week and a half later.
[00:22:33.275 --> 00:22:41.644]  I want to talk about the World Bank, IMF, how they brag of how they're going to destroy all these economies, how they institute the police state, who's really behind all this.
[00:22:41.644 --> 00:22:44.808]  It's all coming up and your calls, second hour.
[00:22:44.808 --> 00:22:47.190]  I'm Alex Jones talking to Greg Palast at fullwars.com.
[00:22:53.039 --> 00:22:54.340]  Big Brother.
[00:22:54.340 --> 00:22:56.101]  Mainstream media.
[00:22:56.101 --> 00:22:57.883]  Government cover-ups.
[00:22:57.883 --> 00:22:58.903]  You want answers?
[00:22:58.903 --> 00:23:01.025]  Well, so does he.
[00:23:01.025 --> 00:23:05.188]  He's Alex Jones on the GCN Radio Network.
[00:23:05.188 --> 00:23:13.313]  And now, live from Austin, Texas, Alex Jones.
[00:23:13.313 --> 00:23:20.178]  In this email Rick Palos sent me, he said, you're allowing me to speak about the sinister and secretive plans of the IMF World Bank.
[00:23:21.132 --> 00:23:23.313]  Have now become mainstream approval.
[00:23:23.313 --> 00:23:25.795]  This is my exposure.
[00:23:25.795 --> 00:23:32.459]  This is his exposure of Inside Documents from Inside the New World Order will be featured in this month's Harper's Magazine.
[00:23:32.459 --> 00:23:39.743]  And then we have the New York Times last week, Richard Bernstein, Nations Seek World Order centered on UN, not US.
[00:23:39.743 --> 00:23:44.226]  And it says the meeting was saturated by the World Bank with the heads of Europe.
[00:23:44.972 --> 00:23:53.234]  The meeting was saturated with a commitment to what may be viewed as a form of world government, the supervision of countries by international civil service bureaucracy.
[00:23:53.234 --> 00:23:59.476]  And this is all run by the World Bank and the IMF, and it's not freedom-loving, it's tyranny-loving.
[00:23:59.476 --> 00:24:04.657]  It's the new empire, it's not about left or right, it's about organized crime syndicates.
[00:24:05.097 --> 00:24:34.837]  Ladies and gentlemen, and joining us is Greg Hallast, who was just talking about confirmed connections with the Bin Laden family and the Bushes, with the WAMY group being protected in these meetings in the late 1990s, and then Bush protecting these people as well as Clinton doing it, and how all this ties together, and now how the military-industrial complex is winning the war on terror, that is, winning the profits.
[00:24:35.598 --> 00:24:39.024]  Uh, the hundreds of millions of dollars of profits, they say it'll be a 1.7 to 1.9 trillion dollars!
[00:24:42.472 --> 00:24:44.093]  This is very important.
[00:24:44.093 --> 00:24:48.977]  1.7 to 1.9 trillion dollar, five-year occupation and war cost in Iraq.
[00:24:48.977 --> 00:24:56.803]  Greg Powell, getting back into the latest revelations on the IMF World Bank documents, they never deny that you got those from a secret source.
[00:24:56.803 --> 00:25:00.285]  They just tried to spin it, but it has caused a firestorm.
[00:25:00.285 --> 00:25:05.309]  How are they dealing with this now that the evidence came out that they were orchestrating the implosion of economies?
[00:25:05.862 --> 00:25:11.225]  Well, what they're doing is once again saying that I'm a conspiracy.
[00:25:11.225 --> 00:25:18.370]  I always think that gives the conspirators a good laugh.
[00:25:18.370 --> 00:25:24.254]  What's happened is they have a problem in that they vilified me and they vilified the guy who interpreted the documents.
[00:25:24.254 --> 00:25:26.915]  He didn't hand me the documents, but he interpreted them.
[00:25:26.915 --> 00:25:32.479]  The former chief economist of the World Bank, he knew that these documents were authentic.
