[00:00:00.249 --> 00:00:00.910]  It protects your family.
[00:06:36.525 --> 00:06:44.651]  I've been gunned down on the street by, by, um, um, hit teams that are, they're running around with hoods over their heads.
[00:06:44.651 --> 00:06:47.554]  These people are being murdered in, in plain sight.
[00:06:47.554 --> 00:07:03.586]  Sometimes they're knocked on the door at midnight and they're being dragged off and never seen again, but there is no... All these murders that are being committed in, in Iran, whether they're against Ba'ath people or somebody that somebody didn't like or whatever,
[00:07:05.036 --> 00:07:09.101]  There is nobody being tried or arrested.
[00:07:09.101 --> 00:07:15.387]  It's just a free-for-all with people killing people and without any order at all.
[00:07:15.387 --> 00:07:16.849]  It's a total chaos.
[00:07:16.849 --> 00:07:23.376]  Well, they're saying that in some areas of Iraq, take Baghdad, every week there's 300 murders.
[00:07:25.163 --> 00:07:41.147]  And of course many of those are political assassinations and you have the governing council which is appointed a puppet dictatorship by the globalists and now they're going to be, Bush is saying, running the trial of Saddam, their former business partner.
[00:07:41.147 --> 00:07:41.868]  I mean, even through 2002,
[00:07:44.224 --> 00:07:50.087]  The only oil company that was allowed to sell equipment to Saddam was Halliburton.
[00:07:50.087 --> 00:07:57.650]  It's a private cash machine and now they've taken it over themselves but Congressman Ron Paul
[00:07:59.053 --> 00:08:04.774]  He's quoted as saying, let's talk about domestically, then we'll go to some calls here, Douglas Valentine.
[00:08:04.774 --> 00:08:10.896]  Domestically, Ron Paul was quoted as saying, by the Associated Press, that H.R.
[00:08:10.896 --> 00:08:25.138]  2417, Intelligence Authorization Agreement of 04, is the stealth enactment under a new label of the Patriot Act II, and the Associated Press reports it allows any U.S.
[00:08:25.138 --> 00:08:27.239]  authority, FBI, CIA,
[00:08:28.214 --> 00:08:36.921]  To conduct, without a warrant, a search of any business or home record.
[00:08:36.921 --> 00:08:42.245]  And much of the bill is classified, but they say it's much of what was in Patriot Act 2.
[00:08:42.245 --> 00:08:43.406]  Ron Paul has been able to see a
[00:08:44.359 --> 00:09:07.453]  A classified copy of it, but just what we know, the Associated Press says, uh, allows all records to be searched without seeking court approval, and it allows the CIA to domestically get involved in our lives, which they've quietly been doing, taking over police departments for the last almost 40 years, but now they're going public, and as you said, Hollywood and the TV is promoting this as a wonderful new thing.
[00:09:08.513 --> 00:09:11.415]  Your comments on H.R.
[00:09:11.415 --> 00:09:19.660]  2417 or Patriot Act 2 under a new name being signed by Bush on Saturday and almost no one is aware of this.
[00:09:19.660 --> 00:09:28.766]  Right after 9-11, I realized what was going to happen and I wrote my first article on October 1st.
[00:09:29.870 --> 00:09:34.875]  And I predicted that, you know, the Patriot Act was signed overwhelmingly.
[00:09:34.875 --> 00:09:37.057]  A hundred people, everybody in the Senate signed it.
[00:09:37.057 --> 00:09:40.720]  Only one person objected in the House.
[00:09:40.720 --> 00:09:48.747]  And I said right there and then that the war on terror is a two-sided coin.
[00:09:48.747 --> 00:09:54.072]  The one side is conquering countries like Iran and taking over their oil.
[00:09:55.052 --> 00:09:56.053]  We're good to go.
[00:10:15.327 --> 00:10:24.351]  You deny them due process if they don't have a right to a fair trial, they don't have a right to know who their accuser is.
[00:10:24.351 --> 00:10:27.473]  That is what the Patriot Act is doing.
[00:10:27.473 --> 00:10:32.155]  It's taking away our constitutional guarantee to due process.
[00:10:32.155 --> 00:10:34.736]  Soviet-style snatch and grabs.
[00:10:34.736 --> 00:10:35.917]  Absolutely.
[00:10:35.917 --> 00:10:41.780]  And everybody thinks it's great that it happens overseas because it's protected us, but what they don't realize
[00:10:42.435 --> 00:10:57.287]  Is that Bush and his clique, the Halliburton people, and the people they've teamed up with in Great Britain and Israel, those people don't care at all about what happens to Americans, average Americans.
[00:10:57.287 --> 00:11:10.878]  They know that there's dwindling resources in this world, and what they're doing is putting in place an organizational structure in which they're going to be able to apply the same methods that they're applying overseas against terrorists,
[00:11:11.303 --> 00:11:13.785]  A political dissident here in the United States.
[00:11:13.785 --> 00:11:19.430]  I know it's a serious issue and has bad emotional responses, but thanks for not using the Lord's name in vain here.
[00:11:19.430 --> 00:11:22.172]  No, I'm sorry.
[00:11:22.172 --> 00:11:22.592]  You didn't.
[00:11:22.592 --> 00:11:32.561]  You stopped yourself, and that's good, but I understand how upset you are, because when you see this horrifying system developing and expanding right out in front of us, it is horrible.
[00:11:33.161 --> 00:11:35.962]  And Americans are, quote, celebrating the capture of Saddam.
[00:11:35.962 --> 00:11:39.344]  Bush says no more secret police, no more torture chambers.
[00:11:39.344 --> 00:11:44.387]  Chalibi is accelerating it past levels Saddam ever dreamed of.
[00:11:44.387 --> 00:11:45.627]  They're speaking out.
[00:11:45.627 --> 00:11:47.908]  Bush is speaking out of both sides of his mouth.
[00:11:47.908 --> 00:11:54.271]  I mean, yesterday I read in the paper his comments.
[00:11:54.271 --> 00:11:58.273]  He said, he called Saddam someone whose words could not be trusted.
[00:11:58.273 --> 00:11:59.594]  Tell you what, stay there.
[00:12:13.126 --> 00:12:26.944]  Alright, we're about to go to these loaded phone lines talking about the police state, the control grid they're building over our lives.
[00:12:26.944 --> 00:12:29.407]  We have writer, researcher, lecturer.
[00:12:30.567 --> 00:12:33.069]  On the air with us, he is Douglas Valentine.
[00:12:33.069 --> 00:12:35.831]  The website is DouglasValentine.com.
[00:12:35.831 --> 00:12:40.214]  Talking about this, again, this control grid they're building around us.
[00:12:40.214 --> 00:12:47.620]  And understand, the globalists don't care about your pocketbook or your 401k or your future.
[00:12:47.620 --> 00:12:49.261]  They care about control.
[00:12:49.261 --> 00:12:53.644]  Monolithic, pyramidal power structures.
[00:12:53.644 --> 00:12:58.628]  And they own the prisons, they own the surveillance grids, they own the new economy.
[00:12:59.889 --> 00:13:03.572]  The 1984 Brave New World type system.
[00:13:03.572 --> 00:13:06.475]  Morgan, you're on the air.
[00:13:06.475 --> 00:13:07.396]  Where are you calling us from?
[00:13:07.396 --> 00:13:09.938]  I'm calling from Deer Park, Washington.
[00:13:09.938 --> 00:13:10.578]  Good to talk to you.
[00:13:10.578 --> 00:13:11.179]  You're on the air.
[00:13:11.179 --> 00:13:11.819]  Go ahead.
[00:13:11.819 --> 00:13:14.381]  Yeah, there's a couple things real quickly.
[00:13:14.381 --> 00:13:20.486]  That HR 2417, one thing I haven't heard anyone touch on yet.
[00:13:20.486 --> 00:13:22.388]  I spent a lot of part of last week
[00:13:23.092 --> 00:13:28.634]  My, um, favorite precious metals broker and I sat down and we spent hours on this thing.
[00:13:28.634 --> 00:13:35.135]  It's so convoluted it's really difficult, but one thing... Well, it creates a Treasury Department office to work with intelligence agencies on plotting terrorism.
[00:13:35.135 --> 00:13:42.317]  Well, one thing... But that's any, that's... Remember, a terrorist in Section 802 of the First Patriot Act is any misdemeanor.
[00:13:42.317 --> 00:13:42.897]  Go ahead.
[00:13:42.897 --> 00:13:48.019]  Well, one thing that really jumped out at us and, um, was the redefinition of
[00:13:48.679 --> 00:13:49.640]  No, I don't think so.
[00:14:06.878 --> 00:14:23.045]  So they're technically, I mean, what this speaks to me is that there's a good chance that the jackboots are going to come in and identify people who are holding, you know, appreciable amounts of bullion and, you know, do a seizure again, do another confiscation.
[00:14:23.505 --> 00:14:25.607]  Um, it's just, it's scaring us to death.
[00:14:25.607 --> 00:14:27.509]  I converted mostly to numismatics.
[00:14:27.509 --> 00:14:38.860]  Okay, for folks that don't know what you're talking about, four separate times the government confiscates your gold with public executive orders, martial law declarations, did it in 33 First,
[00:14:39.981 --> 00:14:42.805]  They give you paper money for your gold.
[00:14:42.805 --> 00:14:49.092]  But again, let's see them try to get away with that and claim that's terrorism to have gold.
[00:14:49.092 --> 00:14:52.796]  But understand, the bill doesn't even specifically mention gold.
[00:14:52.796 --> 00:14:54.157]  It mentions every business,
[00:14:54.718 --> 00:14:58.500]  Every company, everything is now a financial transaction.
[00:14:58.500 --> 00:15:08.747]  Now if you have a business selling lemonade, you're listed as a bank and they need no warrants to comment against you and then to tell you to keep your mouth shut after they've done it.
[00:15:08.747 --> 00:15:10.088]  Thanks for the call Morgan.
[00:15:10.088 --> 00:15:14.411]  Let's get a call, a comment on that call from our guest.
[00:15:14.411 --> 00:15:14.891]  Go ahead sir.
[00:15:15.658 --> 00:15:39.208]  I don't know a whole lot about the financial aspects of 24-17, but I do know that all the pieces are being put in place, and that as it's working, as it's shaking out, certain businesses are going to get privileged treatment, and those are the businesses that are going to be involved in Homeland Security.
[00:15:39.208 --> 00:15:41.508]  Yeah, it's always selective enforcement.
[00:15:41.508 --> 00:15:44.950]  Right, and the people that are involved in Homeland Security are going to be
[00:15:45.643 --> 00:15:45.803]  I think?
[00:16:08.492 --> 00:16:09.893]  It's a new way to discriminate.
[00:16:09.893 --> 00:16:22.624]  I watched Reg a year and a half ago on C-SPAN for two hours at one of these roundtable meetings with Fortune 500, and he said, companies will have to have a special security card clearance for employees, everybody, to have jobs.
[00:16:23.104 --> 00:16:27.145]  Now, if you have bad credit, you can't have a job with any of this.
[00:16:27.145 --> 00:16:32.967]  So, yes, it's a way of putting the entire government treasury into the hands of the Fortune 500.
[00:16:32.967 --> 00:16:34.888]  One other point.
[00:16:34.888 --> 00:16:39.310]  Before you get cleared, you have to be screened.
[00:16:39.310 --> 00:16:40.730]  That means a background check.
[00:16:40.730 --> 00:16:48.793]  So, if they want to pin something on you and you don't have to do anything wrong to get trouble,
[00:16:50.019 --> 00:17:00.582]  Everybody who's going to want to become part of the system, part of Homeland Security, is going to have to go through a complete background check, and then in order to become part of it, you're going to have to sign
[00:17:01.286 --> 00:17:02.866]  A contract with the devil.
[00:17:02.866 --> 00:17:07.968]  And exactly, and it's just like the Caps 2 system to fly.
[00:17:07.968 --> 00:17:14.690]  Again, your divorce records, your financial records, your bank statements, all of it is in there.
[00:17:14.690 --> 00:17:21.092]  A nexus point now to travel on buses, to have a car, to have a driver's license, to work in a factory.
[00:17:21.092 --> 00:17:27.614]  They have said, and if you have one bad credit score, suddenly you're brought down the line on your color coding.
[00:17:27.614 --> 00:17:28.714]  You don't have as many rights.
[00:17:29.034 --> 00:17:35.617]  And if there's a corrupt official involved, he can say, well, you know, this little thing can disappear from your record for a cool thousand dollars.
[00:17:35.617 --> 00:17:39.058]  You know, so now it opens up the whole system to corruption, too.
[00:17:39.058 --> 00:17:45.541]  Corrupt officials are now going to be able to blackmail average citizens just so they can have a business.
[00:17:45.541 --> 00:17:46.701]  And folks, he's not kidding.
[00:17:46.701 --> 00:17:48.382]  I saw Ridge say all this.
[00:17:48.382 --> 00:17:50.263]  They're very proud of it.
[00:17:50.263 --> 00:17:55.005]  Farms, food service, taxi drivers, uh, 18-wheeler drivers, everybody.
[00:17:55.828 --> 00:17:58.770]  You're all going to be under federal control.
[00:17:58.770 --> 00:18:03.474]  A wonderful new bureaucracy.
[00:18:03.474 --> 00:18:04.855]  We're on the march.
[00:18:04.855 --> 00:18:07.377]  The empire's on the run.
[00:18:07.377 --> 00:18:16.364]  Alex Jones and the GCN Radio... Health test kit and audio tape.
[00:18:19.070 --> 00:18:21.671]  Crashing through the lies and disinformation.
[00:18:21.671 --> 00:18:26.492]  It's Alex Jones, only on the GCN Radio Network.
[00:18:26.492 --> 00:18:33.473]  Yeah, I've been jumping in on my guests and the callers because they're bringing up so many good points.
[00:18:33.473 --> 00:18:42.295]  In the Soviet Union, the tyranny was all about the state and a few strong men controlling the economy.
[00:18:42.295 --> 00:18:47.496]  In Nazi Germany, the Nazis would go after you if you were a business competitor or they wanted your wife or
[00:18:48.192 --> 00:18:49.029]  By your property!
[00:18:50.408 --> 00:18:54.531]  And it's the same thing that we saw in Vietnam.
[00:18:54.531 --> 00:19:07.178]  Southern Vietnam is why we couldn't win the war in many cases, because of the corruption with the CIA and their little buddies in South Vietnam killing their business partners, arresting, shooting people.
[00:19:07.178 --> 00:19:17.845]  The entire economy had to go through the hands, the coffers of a few strong men and back into companies like Halliburton and all the, Brown and Root, all the same players we see today.
[00:19:18.665 --> 00:19:19.726]  And I saw Ridge.
[00:19:19.726 --> 00:19:21.007]  I have it on tape.
[00:19:21.007 --> 00:19:22.307]  In horror.
[00:19:22.307 --> 00:19:33.614]  Years ago, before they even funded Homeland Security in late 2002 and early 2002, I saw Ridge at a meeting with dozens and dozens, about 25 of them.
[00:19:33.614 --> 00:19:36.115]  They had all these big tables together in a big square.
[00:19:36.115 --> 00:19:38.437]  And Ridge was there.
[00:19:39.696 --> 00:19:45.705]  He was saying you're going to have a card to have a job, four levels of security clearance to have a job anywhere.
[00:19:45.705 --> 00:19:47.527]  You'll have to go through Homeland Security.
[00:19:47.527 --> 00:19:49.510]  It's going to be great for corporations.
[00:19:49.510 --> 00:19:53.095]  This is going to be a great business opportunity for you to keep America safe.
[00:19:54.520 --> 00:19:55.821]  This will be the system.
[00:19:55.821 --> 00:20:00.904]  And see, then all the Fortune 500 and lower-level minions will pile on to be part of this.
[00:20:00.904 --> 00:20:10.551]  So it's engineering the entire economy to expand the police state that is already the biggest part of our economy.
[00:20:10.551 --> 00:20:17.435]  And so you've got all these energetic private prisons and security apparatus and the computer makers and all of them piling on.
[00:20:17.435 --> 00:20:19.877]  And if you type in Patriot Act Compliance,
[00:20:20.748 --> 00:20:21.268]  We're good to go.
[00:20:39.784 --> 00:20:50.471]  And you hit upon this with this bill, this Patriot Act 2 stealth thing they just passed over the weekend, HR 2417, no more warrants of any type.
[00:20:50.471 --> 00:20:54.874]  I mean, before it was just no warrants in some cases, now it's no warrants of any type.
[00:20:54.874 --> 00:20:57.636]  And that's just what is declassified in the bill.
[00:20:57.636 --> 00:21:06.302]  I mean, this really is the classical fascist model that we're talking about, Doug Valentine.
[00:21:07.308 --> 00:21:10.869]  Yes, in fact, they are creating a fascist state.
[00:21:10.869 --> 00:21:22.094]  We haven't gotten there yet, and obviously the majority of the American people aren't feeling the heat yet, but the pieces are being put in place.
[00:21:22.094 --> 00:21:33.878]  The war on terror overseas is creating the pretext, and quietly at home, the homeland security infrastructure is being put in place with all its different elements, one of which
[00:21:35.857 --> 00:21:49.584]  Under the general heading of what they call the Citizen Corps, is a whole group of people who are going to be spying on their fellow citizens for the Homeland Security apparatus.
[00:21:49.584 --> 00:21:58.848]  They're setting up all sorts of front organizations that, in effect, are going to be a political cadre.
[00:21:58.848 --> 00:22:03.910]  And what it's creating in the United States is a culture of fear.
[00:22:04.730 --> 00:22:15.180]  People being really afraid of doing the wrong thing, of stepping out of line, of aggravating somebody in authority.
[00:22:15.180 --> 00:22:20.246]  For the first 200 years of our history, we were the anti-authoritarians.
[00:22:20.246 --> 00:22:23.949]  We were the freedom-loving people who did what we felt like doing.
[00:22:23.949 --> 00:22:27.573]  And now we're turning into a nation of people
[00:22:29.756 --> 00:22:36.782]  Well, Doug, again, you hit the nail right on the head and brought up a whole new subject area.
[00:22:36.782 --> 00:22:39.004]  We have AmeriCorps.
[00:22:39.004 --> 00:22:43.728]  And then they say, well, to graduate from high school, we want to make you serve two years in this.
[00:22:43.728 --> 00:22:47.772]  Then, the Clinton program gets a boost in Bush's first State of the Union.
[00:22:47.772 --> 00:22:49.834]  He announces Securicorps.
[00:22:50.598 --> 00:22:54.802]  SecureCore sits beneath that and is directed by FEMA.
[00:22:54.802 --> 00:23:07.693]  And I've read the articles out of the Philadelphia Inquirer, the Associated Press, where they're already training kids here in Austin how to run checkpoints, how to search cars, how to clear buildings, how to help tattle on the terrorists.
[00:23:07.693 --> 00:23:09.034]  A part of that was the T.I.P.S.
[00:23:09.034 --> 00:23:12.497]  program, where one in ten people would be a spy for the government.
[00:23:12.497 --> 00:23:17.322]  The cable man, the plumber, the telephone company person.
[00:23:17.962 --> 00:23:19.564]  All of this, and then we heard about it.
[00:23:19.564 --> 00:23:20.465]  There was a backlash.
[00:23:20.465 --> 00:23:22.027]  They said, okay, we're cancelling it.
[00:23:22.027 --> 00:23:24.190]  No, they just cancelled that name.
[00:23:24.190 --> 00:23:27.894]  Like they cancelled the name Total Information Awareness Network.
[00:23:27.894 --> 00:23:29.717]  A week after 9-11, they took over.
[00:23:30.524 --> 00:23:32.285]  Was already federally funded.
[00:23:32.285 --> 00:23:33.445]  The Neighborhood Watch.
[00:23:33.445 --> 00:23:39.408]  And there was a New Jersey AP article where FEMA was out teaching the local neighborhood watch.
[00:23:39.408 --> 00:23:42.629]  Now we look out for the gun dealers.
[00:23:42.629 --> 00:23:45.251]  Now we look out for the woman with the baby carriage.
[00:23:45.251 --> 00:23:46.951]  You know, people you'd never suspect.
[00:23:46.951 --> 00:23:47.892]  Watch everyone.
[00:23:47.892 --> 00:23:49.132]  Trust no one.
[00:23:49.132 --> 00:23:50.373]  Report to us.
[00:23:50.373 --> 00:23:51.013]  So you're right.
[00:23:51.013 --> 00:23:52.374]  It's the Sovietization
[00:23:52.894 --> 00:24:06.637]  of America while our youth are being trained with cameras in the bathrooms and cameras in the halls and putting their hands up and being frisked and thumb scanning to get school lunches and face scanning in the school halls and they're training them for this prison grid.
[00:24:06.637 --> 00:24:07.258]  Go ahead.
[00:24:07.258 --> 00:24:11.679]  It's unlike what we knew when we were growing up.
[00:24:11.679 --> 00:24:15.360]  When I was a kid growing up, a stick was our gun.
[00:24:15.360 --> 00:24:20.921]  You know, our fathers had been in World War II and we were little kids and we played guns, you know.
[00:24:21.957 --> 00:24:26.219]  One guy would be the German or the Japanese and we'd be the G.I.
[00:24:26.219 --> 00:24:33.142]  And for... We didn't have... Our parents didn't have money to buy us toys and stuff, so we just used a stick and that was the gun.
[00:24:33.142 --> 00:24:36.683]  But now, kids nowadays are playing video games.
[00:24:36.683 --> 00:24:41.926]  And in these video games, if you see them on TV, it's horrendous.
[00:24:41.926 --> 00:24:47.548]  They're violent, terrible, horrible things in which the kid who's playing the video game
[00:24:48.587 --> 00:24:50.710]  That's part of the conditioning.
[00:24:58.294 --> 00:25:00.796]  That these children are growing up with nowadays.
[00:25:00.796 --> 00:25:05.740]  They really think it's okay to act in this brutal, violent fashion.
[00:25:05.740 --> 00:25:14.767]  Well Doug, I've seen dozens of games where you ask troops and you kill the people you've captured or you torture them.
[00:25:14.767 --> 00:25:23.193]  Right, and so now the children that we're raising, and lots of times parents who are working two or three jobs don't have time,
[00:25:24.161 --> 00:25:24.762]  We're good to go.
[00:25:44.125 --> 00:25:48.688]  mentality that is going to be imposed upon the country very soon.
[00:25:48.688 --> 00:25:54.291]  Doug, I want to go back to these loaded phone lines, but how do we get our constitutional republic back?
[00:25:54.291 --> 00:26:12.862]  Because we turn on 24 on Fox, we turn on Threat Matrix on ABC, every episode is torture, the drug dealer's a terrorist, he has to be tortured, his children are taken, the secret police are good, torture's wonderful, and then there's the double think of, torture's good when we do it, but it's bad when Saddam does it.
[00:26:12.862 --> 00:26:13.242]  How do we
[00:26:13.302 --> 00:26:15.964]  We've encountered this wall of mind control.
[00:26:15.964 --> 00:26:17.846]  We've got to take back the airwaves.
[00:26:17.846 --> 00:26:20.988]  We've got to take back the press.
[00:26:20.988 --> 00:26:26.833]  We have to be the people in charge of disseminating information.
[00:26:26.833 --> 00:26:41.945]  We have to speak from our hearts and talk to each other and try to reach out to each other in whatever way we can just to support each other and let each other know that there's nothing to fear from.
[00:26:44.070 --> 00:26:51.935]  Well, I agree.
[00:26:51.935 --> 00:26:58.059]  And this tiny elite is trying to buffalo us, intimidate us, into going along with them.
[00:26:58.059 --> 00:27:04.824]  And the good news is, 400 plus cities, four states have thrown out the Patriot Act, people all over are waking up, Doug.
[00:27:04.824 --> 00:27:08.446]  I've never seen such an awakening in the thousands of radio interviews.
[00:27:08.446 --> 00:27:09.347]  Thousands, folks.
[00:27:09.347 --> 00:27:11.709]  Over 1,300 that I've done in the last 26 months.
[00:27:13.087 --> 00:27:26.975]  I have never seen such an awakening, but the illusion from Dan Rather and Rush Limbaugh and the other globalist handlers on the phony left and right are that we're all going along with this and we all love the propaganda and we're all buying into it, but we're not.
[00:27:26.975 --> 00:27:31.177]  What Doug is talking about is the millions of listeners to this show.
[00:27:32.305 --> 00:27:47.892]  If you go out and tell friends and family about the show, or about other alternative media, or about Doug Valentine, DouglasValentine.com, if you support alternative media, it will grow the size and the quality of it, so it's up to you.
[00:27:47.892 --> 00:27:48.893]  Let's take some calls.
[00:27:48.893 --> 00:27:50.513]  Really amazing points, Doug.
[00:27:50.513 --> 00:27:51.214]  Let's talk to...
[00:27:52.194 --> 00:27:57.498]  Michael in New York, and then we'll go to Leslie and John and Warren and others.
[00:27:57.498 --> 00:27:58.658]  Michael, you're on the air.
[00:27:58.658 --> 00:27:59.679]  Hi Alex, how are you?
[00:27:59.679 --> 00:28:00.239]  Good.
[00:28:00.239 --> 00:28:01.440]  Good to talk to you.
[00:28:01.440 --> 00:28:04.482]  Your guests made some comments on some things that I was even going to talk about.
[00:28:04.482 --> 00:28:11.426]  The video games are absolutely horrific, and what they're teaching small children how to go out there and butcher their fellow citizens is just incredible.
[00:28:11.426 --> 00:28:13.508]  But it's a mindset, like you said, conditioning that's just
[00:28:14.048 --> 00:28:15.489]  They're desensitized to murder.
[00:28:15.489 --> 00:28:21.611]  Well, the military first came out with those games 15, 20 years ago to train troops to not hesitate.
[00:28:21.611 --> 00:28:22.072]  Right.
[00:28:22.072 --> 00:28:27.074]  But getting back to Madeleine Albright, you were talking about an hour ago in the show, my best friend works for the State Department.
[00:28:27.074 --> 00:28:29.295]  And when he was in the State Department, he was her shadow.
[00:28:29.295 --> 00:28:30.595]  He was her security guard.
[00:28:30.595 --> 00:28:32.476]  He spent a lot of time in the U.N.
[00:28:32.476 --> 00:28:34.137]  And the story that he's told me about
[00:28:34.717 --> 00:28:39.721]  What these international groups are going to do to dismantle this country is very terrifying.
[00:28:39.721 --> 00:28:49.830]  I mean, they intend to just, and they talk about it openly in these meetings at the UN, how they're going to suck this nation dry until it's nothing but a shell of what it used to be and then manipulate everybody and it's going to be a slave state.
