[00:00:00.605 --> 00:00:10.650]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:05:51.263 --> 00:05:52.544]  Well, Nietzsche was insane.
[00:05:52.544 --> 00:05:54.125]  He said God was dead.
[00:05:54.125 --> 00:05:55.206]  He hated Christians.
[00:05:55.206 --> 00:05:57.667]  I mean, you've got all these unsundry characters.
[00:05:57.667 --> 00:05:59.408]  This is all they seem to talk about.
[00:05:59.728 --> 00:06:06.053]  Well, I depict a scene in which one very intelligent young guy and I had a discussion about Nietzsche.
[00:06:06.053 --> 00:06:08.155]  And I should say, look, I think Nietzsche's a philosopher.
[00:06:08.155 --> 00:06:10.176]  We should all study whether or not we agree with him.
[00:06:10.176 --> 00:06:11.277]  I don't think that's out of line.
[00:06:11.277 --> 00:06:12.758]  I don't think that's crazy.
[00:06:12.758 --> 00:06:19.843]  I think what's crazy is not making the distinction between the Hitler method, so-called, or the Mao method.
[00:06:19.843 --> 00:06:20.904]  You know, that was another one.
[00:06:20.904 --> 00:06:24.947]  Imagine if you could take what Mao did and put that to work for Christ.
[00:06:24.947 --> 00:06:27.129]  Well, you can't, because that's not a Christian goal.
[00:06:28.036 --> 00:06:29.879]  And I think they don't make that distinction.
[00:06:29.879 --> 00:06:31.721]  I have nothing against Christianity.
[00:06:31.721 --> 00:06:34.664]  I'm not an anti-Christian writer by any means.
[00:06:34.664 --> 00:06:35.926]  I want to see them.
[00:06:35.926 --> 00:06:39.791]  And I think there are actually a lot of people with good hearts and good integrity within the group.
[00:06:40.793 --> 00:06:45.214]  And they are not paying close enough attention to what they as a group are doing.
[00:06:45.214 --> 00:06:51.615]  I mean, that's how the masons work, is you've got the low-level useful idiots that mean well that are being used by the higher-level people.
[00:06:51.615 --> 00:07:04.518]  And I'm just telling you, sir, from my study, the people that are involved, this fits the model that I have seen over and over again, and these so-called Christian leaders, a lot of them are members of this group, and they put the spin out that basically
[00:07:04.818 --> 00:07:11.825]  You're not going to heaven unless you worship George Bush and he's this ordained great Christian man, this great leader.
[00:07:11.825 --> 00:07:22.555]  All the guys remember of Skull and Bones of Bohemian Grove and I've been on talk shows with these so-called big Christian leaders and they will rebuke me on air for criticizing Bush about Skull and Bones.
[00:07:23.183 --> 00:07:23.844]  Yeah, yeah.
[00:07:23.844 --> 00:07:26.165]  Well, I tell you, it gets even more complicated than that.
[00:07:26.165 --> 00:07:28.167]  You can find this online.
[00:07:28.167 --> 00:07:34.311]  Al Gore once referred to Doug Coe, who is the leader of the family, this group, as one of his personal heroes.
[00:07:34.311 --> 00:07:36.053]  So they cut across political lines.
[00:07:36.053 --> 00:07:38.154]  What they're most interested in is power.
[00:07:38.154 --> 00:07:40.236]  It's not even so much a particular agenda.
[00:07:40.236 --> 00:07:48.722]  I mean, they like George Bush and John Ashcroft, as you mentioned, have been involved with them since 1981, when he began corresponding with the leader and meeting with him.
[00:07:49.524 --> 00:07:54.950]  But they also have democratic allies, too.
[00:07:54.950 --> 00:08:04.299]  If you look at some of these leaders that have allied themselves around the world, despite their fierce anti-communism, they'll even ally themselves occasionally with a communist leader.
[00:08:04.299 --> 00:08:07.382]  That's the double speak of, we're against communism, but we fund it.
[00:08:08.702 --> 00:08:12.364]  We're for it, because it centralizes things, and Jesus wants centralization.
[00:08:12.364 --> 00:08:16.225]  Now, Jesus Christ fought against centralized government of man.
[00:08:16.225 --> 00:08:17.445]  He stood up against Rome.
[00:08:17.445 --> 00:08:20.386]  He stood up against the Pharisees and Sadducees.
[00:08:20.386 --> 00:08:21.667]  This is a joke!
[00:08:21.667 --> 00:08:24.648]  And they talk about Christ being the spirit guide.
[00:08:24.648 --> 00:08:28.869]  They say that they're not really against abortion, that other religions can do a good job.
[00:08:28.869 --> 00:08:30.070]  That's what your article says.
[00:08:30.070 --> 00:08:31.070]  Is that accurate?
[00:08:31.070 --> 00:08:31.710]  Yeah, they do.
[00:08:31.710 --> 00:08:32.951]  They definitely maintain a bit...
[00:08:33.451 --> 00:08:39.076]  In as much as they have a public face, which is not very much, they're dedicated to being, in their own words, an invisible organization.
[00:08:39.076 --> 00:08:40.538]  And that's not me charging them with that.
[00:08:40.538 --> 00:08:41.979]  That's what they call themselves.
[00:08:41.979 --> 00:08:46.403]  But in as much as they sometimes surface in the public, they have a fairly ecumenical approach.
[00:08:46.403 --> 00:08:49.846]  So, for instance, you know, Juharto was in Indonesia.
[00:08:49.846 --> 00:08:50.787]  He was a Muslim, you know.
[00:08:51.347 --> 00:08:52.668]  And they're happy to work with him.
[00:08:52.668 --> 00:09:02.033]  Or I just discovered some correspondence with Guy Debar, the former dictator of Somalia, who was meeting with Charles Grassley, still a senator today, Republican senator.
[00:09:02.033 --> 00:09:12.558]  And Guy Debar was a Muslim, of course, but he would say, yes, sure, I'll pray to Jesus, because he knows that's getting him an entree into American government.
[00:09:12.558 --> 00:09:13.819]  Now, what is the Cedars?
[00:09:13.819 --> 00:09:15.980]  You talk about how they bring world leaders in.
[00:09:16.640 --> 00:09:23.850]  And how you even saw a congressman meeting with him who was basically being interrogated to be a member, he was there presenting himself.
[00:09:23.850 --> 00:09:33.304]  Let's talk about that, who the core is, the core group, it's all secret, and then some of the members of this and some of the so-called Christian leaders today.
[00:09:33.764 --> 00:09:34.384]  Sure, sure.
[00:09:34.384 --> 00:09:36.706]  Well, there's a bunch of locations.
[00:09:36.706 --> 00:09:48.952]  Ivanwald is the house for young men at which I live, and that's down in a sort of a cul-de-sac with a bunch of houses all belong to this, the chief one of which is called the Cedars, this beautiful old mansion built by the son of the George Mason.
[00:09:49.612 --> 00:09:54.736]  Uh, famous from American history, and they use that to host diplomatic events.
[00:09:54.736 --> 00:10:10.648]  I was there, for instance, one day, Ed Meese, former Attorney General, very corrupt guy, was presiding over a diplomatic breakfast with an ambassador from Rwanda, and one of the biggest wars on the planet right now it's involved in.
[00:10:11.355 --> 00:10:14.318]  And then they also have a house in Washington, D.C.
[00:10:14.318 --> 00:10:17.041]  proper, where these congressmen live.
[00:10:17.041 --> 00:10:24.107]  And that's where I saw Republican Congressman Todd Teahart of Kansas meeting with Doug Coe.
[00:10:24.107 --> 00:10:33.796]  And Congressman Teahart was very eager to prove his credentials by showing how fiercely opposed he was to abortion and to Islam.
[00:10:33.796 --> 00:10:35.118]  And that was kind of a no-no.
[00:10:35.118 --> 00:10:36.239]  They got upset about that.
[00:10:36.753 --> 00:10:37.973]  Yeah, yeah, yeah.
[00:10:37.973 --> 00:10:41.734]  And Doug Coe, the leader, said that's not what we're really about.
[00:10:41.734 --> 00:10:44.375]  We're just about building what he called the Covenant.
[00:10:44.375 --> 00:10:45.315]  This bond, this bond.
[00:10:45.315 --> 00:10:51.057]  What about just saying we're Christian and taking over Christian organizations and having key personnel in positions of power?
[00:10:51.057 --> 00:10:51.657]  Yeah, yeah.
[00:10:51.657 --> 00:11:01.299]  I mean, in the document, they refer to the long-term goal as a worldwide network of 200 world-rate leaders committed to thinking like Christ, talking like Christ, and acting like Christ.
[00:11:01.299 --> 00:11:04.280]  And of course, you've got to remember their idea of how Christ acts and thinks and talks.
[00:11:04.800 --> 00:11:08.184]  It's not necessarily the same as that of most Christians.
[00:11:25.340 --> 00:11:25.861]  We're good to go.
[00:11:41.497 --> 00:11:43.718]  And it's the same group, folks.
[00:11:43.718 --> 00:11:44.199]  Stay there.
[00:11:44.199 --> 00:11:45.759]  This is riveting, Jeffrey Charlotte.
[00:11:45.759 --> 00:11:47.740]  We really appreciate you joining us.
[00:11:47.740 --> 00:11:50.762]  And I want you to continue telling us the story and breaking it down.
[00:11:50.762 --> 00:11:52.143]  There's so much more.
[00:11:52.143 --> 00:11:53.443]  And I want to take some calls.
[00:11:53.443 --> 00:11:56.385]  This website is killingthebuddha.com.
[00:11:56.385 --> 00:11:57.606]  He also writes for Harper's.
[00:12:03.703 --> 00:12:04.823]  Thanks for watching.
[00:12:04.823 --> 00:12:12.805]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:12:12.805 --> 00:12:18.526]  It's Alex Jones and the GCN Radio Network.
[00:12:18.526 --> 00:12:22.948]  The big money of the so-called neocon Christians.
[00:12:22.948 --> 00:12:26.948]  They attack those that expose Bohemian Grove and Skull and Bones.
[00:12:26.948 --> 00:12:33.110]  And I was talking to Jeffrey Charlotte, the writer for Harper's Magazine, who spent a month inside the organization in DC.
[00:12:35.566 --> 00:12:37.767]  I was talking about Bohemian Grove during the last segment.
[00:12:37.767 --> 00:12:40.408]  During the break I was talking to him and learned something.
[00:12:40.408 --> 00:12:48.691]  And I told you folks it was a connection to this because I've done my study on the different names, the Brotherhood, the family, all these different names.
[00:12:50.049 --> 00:12:58.134]  That the founder or the prime mover of this organization in modern times does a lot of his recruiting at the Bohemian Grove.
[00:12:58.134 --> 00:13:00.755]  Why don't you tell us about that, Jeffrey?
[00:13:00.755 --> 00:13:03.077]  That's something I learned about recently.
[00:13:03.077 --> 00:13:05.658]  A man named Doug Coe, the leader of this group.
[00:13:05.658 --> 00:13:08.740]  He's not the founder, but he's essentially the prime mover.
[00:13:08.740 --> 00:13:10.801]  He has attended
[00:13:11.754 --> 00:13:13.435]  The Bohemian Grove, apparently.
[00:13:13.435 --> 00:13:14.856]  And that's how he works.
[00:13:14.856 --> 00:13:15.836]  He goes around the world.
[00:13:15.836 --> 00:13:17.897]  He's visited every country in the world.
[00:13:17.897 --> 00:13:19.958]  And he does what he calls making friends.
[00:13:19.958 --> 00:13:23.439]  Oftentimes, he'll travel with a couple of U.S.
[00:13:23.439 --> 00:13:24.640]  Congressmen abroad.
[00:13:24.640 --> 00:13:25.901]  That's very effective.
[00:13:25.901 --> 00:13:27.961]  And I'm sure the Bohemian Grove is very effective, too.
[00:13:27.961 --> 00:13:30.623]  This is one of the best connected guys on the planet.
[00:13:30.623 --> 00:13:33.064]  And this is not me accusing him of this again.
[00:13:33.064 --> 00:13:35.565]  This is people within his own group talking about it.
[00:13:35.565 --> 00:13:38.946]  I've seen his correspondence with you name the political figure.
[00:13:38.946 --> 00:13:40.127]  He knows him and talks to him.
[00:13:40.672 --> 00:13:54.542]  And he goes in and he says, hey, look, you know, why don't you just come in and pray with my friends and I, and it'll be totally non-political, and we'll just exchange views, and you bring a person closer and closer into this covenant, this tight relationship.
[00:13:54.542 --> 00:13:59.746]  Now, this is just the level they allowed you into, the documents they allowed you to see.
[00:13:59.746 --> 00:14:03.929]  You were saying there was a lot of documents that you were not allowed to see, a quote about the Corps.
[00:14:04.677 --> 00:14:16.263]  Well, there are a lot of... One of the things, again, and I say that these guys are not as well organized as one might fear, because the fact of the matter is they put a lot of their documents in public places.
[00:14:16.263 --> 00:14:24.606]  I think they don't think they're doing anything wrong, so they're not really afraid... So, sir, the practice is now to hide everything in plain view?
[00:14:24.606 --> 00:14:29.529]  That could be it, that could be it, but whatever the case may be, the documents are there and you can read them, and
[00:14:30.350 --> 00:14:34.651]  You know, when I say that anyone doesn't believe what I'm saying, go ahead, look at the document.
[00:14:34.651 --> 00:14:42.353]  Now, you were saying this congressman from Kansas is there, and he's saying, hey, I'm pro-life, I'm a real Christian, I want your support.
[00:14:42.353 --> 00:14:55.577]  They've got all these big Christian leaders and other senators and congressmen and women as members, and they say, hey, don't bring up this abortion thing, we're not really concerned with that, we're not really after the Muslims, we're, you know, Jesus is everything.
[00:14:57.168 --> 00:14:59.009]  I mean, it's so obvious what's going on.
[00:14:59.009 --> 00:15:03.091]  Now, who are some of the big Christian leaders that are supported and involved?
[00:15:03.091 --> 00:15:04.571]  You mentioned Billy Graham.
[00:15:04.571 --> 00:15:11.655]  Billy Graham, yeah, Billy Graham has been referred to in the documents as a core member, uh, for going back many years.
[00:15:11.655 --> 00:15:23.160]  Um, Chuck Colson, who is now a big Christian leader, as it was at one point, Nixon's, you know, Chief Dirty Tricks guy actually went to jail for that, um, for, I think, three years and came out on something called Prison Fellowship.
[00:15:23.160 --> 00:15:24.580]  But he's a Christian now!
[00:15:24.580 --> 00:15:25.841]  We can't criticize him!
[00:15:26.730 --> 00:15:27.911]  He's a Christian.
[00:15:27.911 --> 00:15:28.932]  He's an interesting Christian.
[00:15:28.932 --> 00:15:36.758]  I mean, I actually came across a letter from Chuck Colson to Doug Coe saying, uh, hey, our German brothers are really doing a great job, you know.
[00:15:36.758 --> 00:15:39.200]  Uh, they've got, essentially saying something effective.
[00:15:39.200 --> 00:15:41.481]  They've got the Nazi technique.
[00:15:41.481 --> 00:15:44.584]  Now, again, I want to emphasize Chuck Colson is not a Nazi.
[00:15:44.584 --> 00:15:46.585]  He's not an anti-Semite.
[00:15:46.585 --> 00:15:51.409]  What these guys admire, though, is the organizing principles, and they don't make the distinction that people have.
[00:15:51.409 --> 00:15:52.970]  Well, this is what they admit to you.
[00:15:52.970 --> 00:15:55.112]  This is what they admit to you on the surface.
[00:15:55.907 --> 00:15:56.589]  I believe that.
[00:15:56.589 --> 00:15:57.051]  I believe that.
[00:15:57.051 --> 00:16:00.943]  I've researched them pretty deeply and I don't think that makes them any less dangerous or worrisome.
[00:16:04.892 --> 00:16:05.932]  I've heard of skull and bones.
[00:16:05.932 --> 00:16:07.713]  Well, go read the MSNBC article.
[00:16:07.713 --> 00:16:16.295]  It was founded by a secret German cult in the United States for the purpose of taking over the United States.
[00:16:16.295 --> 00:16:18.556]  It is a fool society.
[00:16:18.556 --> 00:16:20.156]  Their symbol is the swastika.
[00:16:20.156 --> 00:16:21.196]  This is admitted.
[00:16:21.196 --> 00:16:22.837]  It's inside the tomb.
[00:16:22.837 --> 00:16:25.578]  Hitler was a member of the same brotherhood, okay?
[00:16:25.578 --> 00:16:26.418]  Just want you to know that.
[00:16:27.880 --> 00:16:30.121]  I will check it out when we get off the phone today.
[00:16:30.121 --> 00:16:32.183]  I will check it out and do some research.
[00:16:32.183 --> 00:16:39.629]  I think this group probably then might even stay clear of that, because the fact of the matter is they're not committed to Nazi principles.
[00:16:39.629 --> 00:16:49.096]  No, what I'm saying is that they're recruiting at the Grove, they've got skull and bone people in the higher echelons, and I'm telling you... Well, skull and bones aren't in any powerful group in the country.
[00:16:49.096 --> 00:16:55.741]  It's an association of powerful men, and you can say, oh, we're just having fun, but powerful men hanging out together and helping each other.
[00:16:56.141 --> 00:17:00.604]  But then they threatened you, two of them said, you better watch it, you're a traitor?
[00:17:00.604 --> 00:17:08.789]  Yeah, yeah, and a bunch of them, you know, I talked to a bunch of them, and they were quite decent, and they said, look, you know, I'm really upset that you did this, this is really wrong.
[00:17:08.789 --> 00:17:10.630]  It's called good cop, bad cop.
[00:17:10.630 --> 00:17:11.911]  I'm real sorry for what you did.
[00:17:11.911 --> 00:17:13.712]  It is a good cop, bad cop routine.
[00:17:13.712 --> 00:17:18.755]  I believe the good cops, and you know, I would say to the bad cops, just what the
[00:17:19.560 --> 00:17:21.761]  Well, what they would say to me is, I'm praying for them.
[00:17:21.761 --> 00:17:25.522]  I hope that, you know, they want to follow Christ, and I hope they learn to do that.
[00:17:25.522 --> 00:17:30.683]  And that involves not threatening people to say things you don't like.
[00:17:30.683 --> 00:17:32.684]  Well, Lionel Chetwin threatened me.
[00:17:32.684 --> 00:17:33.624]  You know who he is?
[00:17:33.624 --> 00:17:34.885]  No, I'm not familiar with him.
[00:17:34.885 --> 00:17:42.467]  Well, big guy making this major TV movie about Bush being a hero on 9-1-1, and top guy taking over the media for Bush.
[00:17:43.127 --> 00:17:49.410]  And I'm there in the dressing room in Los Angeles and the guy walks over and says, you're Alex Jones.
[00:17:49.410 --> 00:17:51.571]  We're gonna get you!
[00:17:51.571 --> 00:17:54.352]  You're a real Christian.
[00:17:54.352 --> 00:17:55.733]  We're on the march.
[00:17:55.733 --> 00:17:58.254]  The Empire's on the run.
[00:17:58.254 --> 00:18:00.955]  Alex Jones and the GCN Radio Network.
[00:18:14.926 --> 00:18:19.947]  Alright, we've already got a lot of callers that want to talk to our guest, Jeffrey Charlotte.
[00:18:19.947 --> 00:18:21.267]  We'll go to your calls here in a few minutes.
[00:18:21.267 --> 00:18:23.808]  I know he's got more he'd like to add.
[00:18:23.808 --> 00:18:31.169]  The total free number to join us on air is 800-259-9231.
[00:18:31.169 --> 00:18:31.409]  800-259-9231.
[00:18:31.409 --> 00:18:36.970]  Before we go back to my guest, whose website is killingthebuddha.com, an upcoming book he's got coming out.
[00:18:36.970 --> 00:18:38.550]  He's a Harper's writer.
[00:18:38.550 --> 00:18:42.071]  We talk about the brotherhood, the family, this prime moving
[00:18:43.277 --> 00:18:47.758]  CIA-connected organization of so-called neocon Christians.
[00:18:47.758 --> 00:18:49.839]  You want to find out what these guys are really up to.
[00:18:49.839 --> 00:19:04.863]  What goes on at the Bohemian Grove where they recruit for German chancellors and British prime ministers and members of the Dutch and British royal family go and the Bushes back into the 30s and presidents at the turn of the last century.
[00:19:04.863 --> 00:19:06.103]  It goes on and on.
[00:19:06.103 --> 00:19:11.485]  If you want to know the truth about Bohemian Grove, and they admit I snuck in and got this footage.
[00:19:11.485 --> 00:19:12.405]  That's mainstream news.
[00:19:13.382 --> 00:19:15.365]  You want to see the rituals they do.
[00:19:15.365 --> 00:19:16.827]  Worshipping Molech.
[00:19:16.827 --> 00:19:20.552]  Last time I checked, that's not a god Christians are supposed to worship.
[00:19:20.552 --> 00:19:22.415]  You want to see the mock human sacrifice.
[00:19:22.415 --> 00:19:23.476]  The video I got.
[00:19:23.476 --> 00:19:24.718]  It was aired on Trio Network.
[00:19:25.772 --> 00:19:31.716]  Go to InfoWars.com or PrisonPlanet.com and get Dark Secrets Inside Bohemian Grove.
[00:19:31.716 --> 00:19:41.424]  And the film starts with Washington Times, AP, Reuters, articles about the Grove, admitting the orgies, admitting the satanic rituals, but it's all just fun.
[00:19:41.424 --> 00:19:47.028]  You know, the Christian leaders go and they truck in the male prostitutes, but oh, they're just having fun.
[00:19:47.028 --> 00:19:49.569]  So you need to go to InfoWars.com
[00:19:50.828 --> 00:19:52.330]  You need to get this video.
[00:19:52.330 --> 00:19:55.533]  You need to call toll free to get it at 1-888-253-3139.
[00:19:55.533 --> 00:20:09.467]  You also need to get Police State 3 total enslavement about government sponsored terror, Patriot Act 1 and 2, Homeland Security, the FEMA camps, all mainstream news.
[00:20:10.934 --> 00:20:14.515]  Executive orders, gun grabbing, it's all in police state, three total enslavement.
[00:20:14.515 --> 00:20:23.919]  Then I have, frankly, my best film, 9-1-1, The Road to Tyranny, and part two of that, The Masters of Terror, covering what really happened on September 11th and how the globalists carried that out.
[00:20:23.919 --> 00:20:28.961]  So go to Infowars.com or PrisonPlanet.com to get the videos, or call toll-free 1-888-253-3139.
[00:20:28.961 --> 00:20:30.601]  Or just write to me, Alex Jones,
[00:20:38.844 --> 00:20:46.087]  At 3001 South Lamar, Suite 100, Austin, TX 78704.
[00:20:46.087 --> 00:20:47.087]  Please take action.
[00:20:47.087 --> 00:20:48.427]  Get my videos.
[00:20:48.427 --> 00:20:52.229]  Make copies for non-profit educational, not-for-sale purposes.
[00:20:52.229 --> 00:20:52.909]  Get them.
[00:20:52.909 --> 00:20:54.289]  Make a hundred copies.
[00:20:54.289 --> 00:20:56.090]  Force multiply the information.
[00:20:56.090 --> 00:20:59.811]  Give it to your church so they know who these neocon leaders really are.
[00:21:00.532 --> 00:21:05.817]  Now back to our guest, Jeffrey Charlotte, again with Harper's Magazine.
[00:21:05.817 --> 00:21:07.459]  Incredible articles.
[00:21:07.459 --> 00:21:11.483]  A lot of them are very tame, though, just analysis of different religious groups.
[00:21:11.483 --> 00:21:15.727]  This one is one of the more bizarre, about the brotherhood of the family.
[00:21:15.727 --> 00:21:20.212]  You say that some Christian organizations believe this is an anti-Christ organization.
[00:21:20.212 --> 00:21:21.413]  Can you tell us about that, sir?
[00:21:22.108 --> 00:21:22.588]  Yeah, sure.
[00:21:22.588 --> 00:21:24.690]  Although, I have to say, I think they're even crazier.
[00:21:24.690 --> 00:21:34.256]  There is a group online that has been tracking this guy, Doug Coe, for some years on the theory that he is the Antichrist.
[00:21:34.256 --> 00:21:41.361]  And if you believe in that particular kind of literalist and unsophisticated reading of Revelation,
[00:21:42.429 --> 00:21:44.910]  Yeah, then I suppose he could fit your profile.
[00:21:44.910 --> 00:21:46.010]  Do I think he's an Antichrist?
[00:21:46.010 --> 00:21:46.471]  No.
[00:21:46.471 --> 00:21:48.692]  But there are these groups that are out there.
[00:21:48.692 --> 00:21:55.434]  Well, regardless, saying that the Hitler and Stalin are mal-model, I mean, that's sick enough.
[00:21:55.434 --> 00:21:56.435]  That's sick enough.
[00:21:56.435 --> 00:21:58.315]  That's my point exactly.
[00:21:58.315 --> 00:22:01.597]  We don't need to even go any further than that.
[00:22:01.597 --> 00:22:06.259]  As soon as you say, hey, let's use the Hitler model for Christ, well, you've gone off the tracks right there.
[00:22:06.259 --> 00:22:07.799]  Well, look at Homeland Security.
[00:22:07.799 --> 00:22:09.400]  That was called Reich Security.
[00:22:09.400 --> 00:22:12.001]  Reich meaning land, land security.
[00:22:12.879 --> 00:22:14.721]  And the police are wearing black uniforms?
[00:22:14.721 --> 00:22:15.601]  I mean, it's really happening.
[00:22:15.601 --> 00:22:18.423]  Let me read you a quote here, and then I'll let you continue and we'll take calls.
[00:22:18.423 --> 00:22:28.951]  Whatever the price of the Chinese revolution, it has obviously succeeded not only in producing more efficient and dedicated administration, but also in fostering high morale and community of purpose.
[00:22:28.951 --> 00:22:34.895]  The social experiment in China under Chairman Mao's leadership is one of the most important and successful in human history.
[00:22:34.895 --> 00:22:40.039]  David Rockefeller's statement in 1973 about Mao Zedong in the New York Times, August 10th, 1973.
[00:22:43.094 --> 00:22:48.821]  The neocons followed this Professor Strauss, Chicago University.
[00:22:48.821 --> 00:22:50.262]  Someone who fled Germany.
[00:22:50.262 --> 00:22:54.567]  He wrote papers, Reuters has reported, saying that dictatorship is good.
[00:22:54.567 --> 00:22:58.331]  So we have this same theme popping up over and over again.
[00:22:58.331 --> 00:22:58.872]  Yeah.
[00:22:58.872 --> 00:22:59.473]  Yeah, exactly.
[00:23:00.053 --> 00:23:00.894]  I think that's it.
