[00:00:00.029 --> 00:00:00.629]  It's your family.
[00:02:42.009 --> 00:02:46.572]  And he brags that, hey, I predicted a bunch of stuff last year.
[00:02:46.592 --> 00:02:48.252]  Yeah, we know you can predict it.
[00:02:48.312 --> 00:02:51.634]  It's like a bank robber predicting what bank's going to be robbed.
[00:02:52.335 --> 00:02:52.675]  Okay?
[00:02:53.455 --> 00:02:56.297]  It's like Hitler predicting that he's going to kill a bunch of Jews.
[00:02:57.837 --> 00:03:08.023]  It's not very hard for you, is it, Mr. Well, you have the birthright, according to mainstream news and Congressman Ron Paul, of the Communist Fourth International.
[00:03:10.974 --> 00:03:16.058]  But again, you call yourself a conservative when you publicly aren't admitted head of the Communist Fourth International.
[00:03:17.319 --> 00:03:18.420]  I know that sounds insane.
[00:03:18.460 --> 00:03:19.361]  It's mainstream news.
[00:03:21.003 --> 00:03:24.466]  I couldn't believe it when I discovered it three years ago, and now it's been all over the news.
[00:03:24.866 --> 00:03:25.807]  We'll get into that.
[00:03:27.128 --> 00:03:37.937]  Richard Perle, chief neocon, one of his other chief neocons, William Sapphire, amazing statements, disgusting activities, big time.
[00:03:38.991 --> 00:03:42.593]  So, that's coming up here on the show.
[00:03:42.613 --> 00:03:47.976]  There's a lot of new terror alerts, and other terror alerts have turned out to be false as usual.
[00:03:48.716 --> 00:03:50.517]  We'll get to that.
[00:03:51.578 --> 00:03:52.638]  There is just so much here.
[00:03:52.658 --> 00:04:01.463]  I have an article about illegal aerosol vaccines, and it says Maxigen,
[00:04:02.381 --> 00:04:09.946]  Our GN announces 6.5 million grant from DARPA to develop aerosol vaccines to spray from aircraft on you.
[00:04:09.966 --> 00:04:17.331]  If they can't force you to take their poisons, they'll just spray them on you, and I admit that's what this is all for.
[00:04:18.352 --> 00:04:24.156]  They're now saying that, ooh, Syria sold weapons to Saddam, so that invasion needs to begin.
[00:04:24.176 --> 00:04:28.039]  A lot of key info.
[00:04:29.153 --> 00:04:32.076]  Coming up here on the show today.
[00:04:32.196 --> 00:04:35.639]  So you do not want to miss the broadcast when we get back.
[00:04:36.780 --> 00:04:37.981]  I'll go straight into the news.
[00:04:38.862 --> 00:04:42.385]  The New American's finally reporting about the stealth enactment of Patriot Act II.
[00:04:43.126 --> 00:04:43.226]  U.S.
[00:04:43.266 --> 00:04:51.794]  population rises to 292 plus million with an illegal alien coming into the country every 25 seconds, according to the Associated Press.
[00:04:52.606 --> 00:04:57.211]  And Bush wants total amnesty to legalize anybody who can get their feet on our shores.
[00:04:57.231 --> 00:05:01.134]  The USDA calls for implantable microchips in all farm animals.
[00:05:01.535 --> 00:05:02.716]  We told you that was coming.
[00:05:04.177 --> 00:05:05.158]  It's all coming up.
[00:05:05.258 --> 00:05:05.879]  Big show.
[00:05:05.979 --> 00:05:08.001]  Infowars.com.
[00:05:08.121 --> 00:05:09.362]  PrisonPlanet.com.
[00:05:09.382 --> 00:05:09.823]  Stay with us.
[00:05:11.840 --> 00:05:16.165]  Alex Jones here announcing the release of my new film, Police State 3 Total Enslavement.
[00:05:16.366 --> 00:05:20.771]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:05:20.951 --> 00:05:25.317]  There is a chance to use this disaster for the New World Order.
[00:05:25.357 --> 00:05:26.678]  The New World Order.
[00:05:28.501 --> 00:05:32.728]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[00:05:32.788 --> 00:05:39.719]  We rip the sinister Patriot Act legislation 1 and 2 apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[00:05:39.860 --> 00:05:41.843]  You will lose your liberty.
[00:05:42.233 --> 00:05:52.561]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:05:52.841 --> 00:05:58.205]  If you want to understand what the New World Order really is, then my new two-and-a-half-hour video, Police State 3, is for you.
[00:05:58.725 --> 00:06:02.648]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[00:06:02.668 --> 00:06:03.188]  That's 888-253-3139.
[00:06:03.208 --> 00:06:04.930]  Order today and spread the word.
[00:06:12.625 --> 00:06:17.128]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:06:17.488 --> 00:06:21.571]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:06:21.871 --> 00:06:22.412]  We listened.
[00:06:22.732 --> 00:06:27.715]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:06:27.975 --> 00:06:28.476]  We listened.
[00:06:28.856 --> 00:06:31.898]  You asked us to develop a filter that was made in the USA.
[00:06:32.318 --> 00:06:32.858]  We listened.
[00:06:33.319 --> 00:06:36.461]  You asked us to include an emergency light for camping and during
[00:06:36.701 --> 00:06:37.021]  I don't know.
[00:07:03.942 --> 00:07:04.202]  Free 888-803-4438.
[00:07:04.222 --> 00:07:05.845]  Not yet available in Iowa.
[00:07:11.260 --> 00:07:15.921]  Hey folks, Michael Trudeau here to tell you about the first-ever half-price package sale at the Ark Institute.
[00:07:16.021 --> 00:07:22.902]  You'll get 25 big packets of Ark's most popular non-hybrid heirloom vegetable seeds, plus four of their most popular self-reliance books.
[00:07:23.122 --> 00:07:25.643]  Learn how to grow your own delicious veggies and build your Ark.
[00:07:25.863 --> 00:07:31.024]  Imagine green beans, carrots, peas, and cucumbers, tomatoes, cabbage, squash, herbs, and more.
[00:07:31.224 --> 00:07:35.224]  Then, harvest your seeds to grow year after year for old-time self-reliance.
[00:07:35.544 --> 00:07:39.205]  In Living Well on Wheat, learn how to cook, eat, and survive on the golden grain.
[00:07:39.565 --> 00:07:42.526]  Preserve your good food for years with the USDA Canning Guide.
[00:07:42.767 --> 00:07:48.830]  In surviving a bioterrorist attack, you'll learn how to protect yourself and your family now from the attacks our government says are coming.
[00:07:48.910 --> 00:07:49.950]  Not if, but when.
[00:07:50.210 --> 00:07:56.713]  Normally selling for $140 plus shipping, get this whole package now for only $69 and shipping is free.
[00:07:56.974 --> 00:07:58.214]  At half price, supplies are limited.
[00:07:58.374 --> 00:07:59.755]  For credit card orders, call today 1-800-255-1912.
[00:08:02.116 --> 00:08:07.079]  That's 800-255-1912, or send a money order for $69 to the Ark Institute.
[00:08:07.219 --> 00:08:07.459]  P.O.
[00:08:07.479 --> 00:08:09.720]  Box 1227, Jacksonville, Oregon, 97530.
[00:08:16.583 --> 00:08:17.224]  Big Brother.
[00:08:17.884 --> 00:08:18.925]  Mainstream media.
[00:08:19.645 --> 00:08:20.746]  Government cover-ups.
[00:08:21.406 --> 00:08:22.226]  You want answers?
[00:08:22.987 --> 00:08:23.927]  Well, so does he.
[00:08:24.568 --> 00:08:28.289]  He's Alex Jones, on the GCN Radio Network.
[00:08:28.730 --> 00:08:31.071]  And now, live from Austin, Texas,
[00:08:31.977 --> 00:08:32.817]  Alex Jones.
[00:08:38.759 --> 00:08:55.523]  Before I dive into all the news and our four guests that we have coming up today, this final broadcast of 2003 for yours truly,
[00:09:00.052 --> 00:09:10.580]  I was talking to one of my friends who I've known for several years who works in a mid-level management capacity for one of the major airlines here in Austin, Texas.
[00:09:12.301 --> 00:09:18.505]  And he said that he sat there for an hour watching local News 8.
[00:09:20.826 --> 00:09:23.067]  And by the way, News 8 is Time Warner Cable.
[00:09:23.087 --> 00:09:23.748]  That's what they have.
[00:09:23.808 --> 00:09:26.569]  It's a local Time Warner 24-hour news channel.
[00:09:26.589 --> 00:09:32.552]  That's what they have on in the airport here in Austin at the Bergstrom International Airport.
[00:09:33.252 --> 00:09:41.636]  He sat there and watched a reporter with a cameraman for an hour interview over 40 people.
[00:09:41.676 --> 00:09:42.977]  They sat there counting them.
[00:09:44.225 --> 00:09:53.532]  Every person was against the heightened security, against being harassed, against taking their shoes off, having some illegal alien reach in their bags.
[00:09:56.114 --> 00:10:00.237]  And by the way, the majority of people in the airports are not even citizens and that's been in the news.
[00:10:01.398 --> 00:10:07.062]  And there was finally one old lady after 40 plus people who said, I love it, I think it's great.
[00:10:07.963 --> 00:10:13.287]  Then they turned on the news a few hours later and there she was all weekend long
[00:10:13.993 --> 00:10:18.135]  Through the holiday, saying, I love the added security.
[00:10:18.816 --> 00:10:19.656]  I think it's great.
[00:10:19.756 --> 00:10:22.238]  And they said on the news that everybody loves it.
[00:10:23.718 --> 00:10:30.242]  Now is that not an example of the crafting, the twisting of public perception?
[00:10:30.262 --> 00:10:35.985]  80 plus percent of the American people, including Hispanics, are against the open borders and all these illegals.
[00:10:37.726 --> 00:10:42.149]  But Bush comes out and says, I'm going to legalize anybody that can get here because I want votes.
[00:10:42.836 --> 00:10:43.416]  They said that.
[00:10:43.497 --> 00:10:49.281]  Oh, it's politically positive in the Washington Post with Bush's advisor's quotes in there.
[00:10:51.402 --> 00:10:58.627]  The vast majority of us want the borders shut, illegals expelled, but the government says, oh no, you want it open!
[00:11:01.069 --> 00:11:03.031]  And it's like this across the board.
[00:11:05.412 --> 00:11:08.815]  So, think about that long and hard, folks.
[00:11:11.075 --> 00:11:13.716]  Think about that long and hard.
[00:11:14.836 --> 00:11:34.100]  That I have a friend who works at the airport and he watches 40 plus people get interviewed who are all against the phony baloney security in the police state making comments along those lines and then they get one old lady who loves it and she's on the news over and over again for three days.
[00:11:38.669 --> 00:11:48.799]  She was the first person who agreed with it, the last person, because they had to go through 40 plus people until they found her, and as soon as she was done, they shut the camera off and left the airport.
[00:11:51.201 --> 00:11:54.044]  And it's going on all over the country.
[00:11:55.245 --> 00:12:00.730]  That's the type of propaganda and news crafting locally.
[00:12:00.811 --> 00:12:03.333]  It's even worse nationally.
[00:12:07.037 --> 00:12:20.646]  It's clear that they were sent out there to find someone who agreed with it and thought it was great to put a positive light on it.
[00:12:22.747 --> 00:12:26.229]  So that's deception by selective reporting.
[00:12:27.510 --> 00:12:34.594]  Alright, coming up today we have a doctor, professor, who is against the
[00:12:37.160 --> 00:12:41.465]  Way the Food and Drug Administration handles downer cows.
[00:12:41.506 --> 00:12:44.309]  We'll talk about mad cow disease for about 15 minutes.
[00:12:44.629 --> 00:12:47.773]  That's coming up here in about 15-20 minutes.
[00:12:48.354 --> 00:12:56.944]  Then we've got Frank Morales, police state expert, about the public announcements of the martial law system we're going into that he's been warning people about for years.
[00:12:58.608 --> 00:13:05.150]  Then we have Colonel Craig Roberts and Jack McClam coming on the third hour because we ran out of time with them last week.
[00:13:05.270 --> 00:13:06.791]  And we're going to have open phones, of course.
[00:13:08.011 --> 00:13:12.752]  The total free number to join us on air is 1-800-259-9231 and the website is www.infowars.com.
[00:13:24.505 --> 00:13:26.847]  Let's jump right in to the news.
[00:13:27.147 --> 00:13:27.507]  U.S.
[00:13:27.567 --> 00:13:30.489]  has new concerns about anthrax readiness.
[00:13:30.549 --> 00:13:33.812]  And they go into how Al-Qaeda is about to attack us with anthrax any minute.
[00:13:34.632 --> 00:13:40.716]  Why was Bush on Cipro, the anthrax-fighting antibiotic, on September 10th with his cabinet?
[00:13:40.756 --> 00:13:41.397]  That's admitted.
[00:13:41.737 --> 00:13:44.299]  And then it turns out it's the most weaponized anthrax ever seen.
[00:13:44.899 --> 00:13:45.180]  U.S.
[00:13:45.260 --> 00:13:47.161]  patented, coded in bentonite.
[00:13:49.082 --> 00:13:50.784]  And that story has just left the headlines.
[00:13:52.485 --> 00:13:53.986]  Then we have an article here.
[00:13:55.425 --> 00:14:06.312]  By a Maxigen announcement by the company, a $6.7 million grant from DARPA to develop aerosolized vaccines.
[00:14:06.472 --> 00:14:07.833]  Redwood City, California.
[00:14:09.494 --> 00:14:22.482]  Maxigen announced today that it has received a $6.7 million three-year grant from the Defense Advanced Research Agency, or DARPA, to use its proprietary molecular breeding
[00:14:23.868 --> 00:14:33.350]  Directed Evolution Technology, also known as DNA Shuffling, to develop aerosol-based vaccines to protect against a broad spectrum of pathogens.
[00:14:34.330 --> 00:14:46.473]  They've also been given a $7.7 million fund from DARPA in the past, along with another $5.6 million DARPA funding years ago.
[00:14:46.593 --> 00:14:48.273]  So, it's a long-term program.
[00:14:50.098 --> 00:14:53.883]  And it is studying the genomes and creating all of this.
[00:14:53.923 --> 00:14:57.208]  That really should concern you.
[00:15:00.472 --> 00:15:08.042]  DARPA's the folks that had the betting scheme, betting, betting on
[00:15:09.921 --> 00:15:14.103]  How many troops would die or where we'll have terror attacks where you could go bet on the stock.
[00:15:14.143 --> 00:15:17.784]  Of course, then those with inside knowledge could reap huge insider trading benefits.
[00:15:18.184 --> 00:15:21.646]  Oh, like the CIA did on 9-11 that no one wants to talk about.
[00:15:21.666 --> 00:15:22.206]  Oh, okay.
[00:15:22.686 --> 00:15:26.668]  The same folks that have the Total Information Awareness Network under new names like Matrix.
[00:15:28.629 --> 00:15:33.591]  They are funding folks for the aerosolized sprays, which they already have, folks.
[00:15:34.071 --> 00:15:36.572]  Congressman urges avoiding Times Square.
[00:15:38.157 --> 00:15:47.584]  Concerned about terrorism, Representative Christopher Shays urged revelers not to attend New Year's Eve celebrations like the one at Times Square this year.
[00:15:48.045 --> 00:15:53.029]  New York's mayor countered that Shays could use an infusion of courage.
[00:15:53.089 --> 00:15:55.651]  Well, I don't want to be shoved around by people in black ski masks.
[00:15:56.443 --> 00:15:57.565]  So I'm not going to go anywhere.
[00:15:58.026 --> 00:16:09.066]  A member of the House Select Committee on Homeland Security and Chairman of the Terrorism Subcommittee, the Connecticut Republican told WVIT-TV on Tuesday that he wouldn't go to Times Square for anything.
[00:16:10.166 --> 00:16:22.075]  New York Mayor Michael Bloomberg said nobody should stay home because of the nation's hyphen terror alert and Homeland Security Secretary Tom Ridge of the nation's security was unprecedented.
[00:16:22.695 --> 00:16:34.684]  Yeah, there's a CNN photo out of one of the black Blackhawk helicopters with a guy in a black ski mask, black helmet, pointing an automatic machine gun mounted out the door over the Statue of Liberty.
[00:16:35.433 --> 00:16:37.174]  Has nothing to do with stopping terrorists.
[00:16:37.234 --> 00:16:44.257]  It's training you, cameras, police, riot gear, machine guns, helicopters, drones, surveillance blimps.
[00:16:46.538 --> 00:16:49.820]  Like something out of a police state science fiction movie, The Running Man.
[00:16:51.340 --> 00:16:53.241]  With Mad Dog Ben Richards up there.
[00:16:54.542 --> 00:17:04.987]  And then there's these chilling statements here by William Sapphire, whose father was publicly the head of the 4th Communist International, the heir to Trotsky,
[00:17:06.187 --> 00:17:12.588]  And this is Ron Paul, this is the, uh, major newspapers admitting, quote, the ghost of Trotsky walks the halls of the White House.
[00:17:13.268 --> 00:17:14.789]  They believe in command and control.
[00:17:15.649 --> 00:17:21.670]  And he makes his predictions, uh, to, uh, what's gonna happen, the next tyranny to feel the force of the U.S.
[00:17:21.710 --> 00:17:25.271]  liberation, North Korea, Iran, Syria, Venezuela.
[00:17:26.131 --> 00:17:27.471]  Oh, Venezuela needs to be invaded.
[00:17:28.832 --> 00:17:32.672]  Uh, and, um, Iraq will split up like gold.
[00:17:33.553 --> 00:17:34.433]  Ah, you're Caesar.
[00:17:34.513 --> 00:17:35.733]  You know, most people won't know that.
[00:17:36.425 --> 00:17:37.405]  Into three parts.
[00:17:37.605 --> 00:17:39.366]  Defeat the insurgents that emerge.
[00:17:39.986 --> 00:17:41.707]  A rudimentary democracy.
[00:17:43.167 --> 00:17:46.609]  And then he says, succumb to a Sunni coup.
[00:17:47.089 --> 00:17:50.010]  You ought to read this New York Times predictions by Sapphire.
[00:17:50.310 --> 00:17:51.470]  It's got the inside travel.
[00:17:51.490 --> 00:17:52.891]  They predicted lots of stuff.
[00:17:53.871 --> 00:17:57.012]  And down here, number 13 is the most chilling prediction.
[00:17:57.433 --> 00:17:58.493]  Set of predictions.
[00:17:59.033 --> 00:18:03.915]  The October surprise affecting our election will be the capture of Bin Laden in Yemen.
[00:18:05.370 --> 00:18:07.131]  And now they're all starting to say that.
[00:18:07.491 --> 00:18:15.676]  The daring escape of Saddam, a major terror attack in the U.S., finding a buried bag of anthrax in Tikrit.
[00:18:18.717 --> 00:18:29.103]  And, uh, it says debating Cheney on TV will be Democratic running mate Wesley Clark, Bob Graham, Bill Richardson, Dianne Feinstein, John Edwards, R-11, whatever that means.
[00:18:30.284 --> 00:18:34.746]  The next Secretary of State will be Richard Holbrook, Paul Bremer, Donald Rumsfeld, John Kerry.
[00:18:35.683 --> 00:18:39.405]  And it says, uh, Israel, staunchly supported during the U.S.
[00:18:39.465 --> 00:18:46.349]  election year, will build its security barrier, including an aerial, uh, salient in the Jordan Valley.
[00:18:46.569 --> 00:18:55.374]  And, uh, undermine Arafat will be negotiating territory with Syria after Assad squads, uh, quiet Hezbollah in occupied Lebanon.
[00:18:55.394 --> 00:18:58.276]  It goes on and on, folks.
[00:18:58.456 --> 00:18:59.537]  Really bizarre stuff.
[00:19:00.097 --> 00:19:02.899]  And then we've got, uh, Richard Perle's new book.
[00:19:03.499 --> 00:19:04.840]  Another chief neocon.
[00:19:06.042 --> 00:19:09.026]  And Hawks tell Bush how to win war on terror.
[00:19:10.148 --> 00:19:12.311]  France may need to be attacked.
[00:19:12.371 --> 00:19:13.312]  They may be an enemy.
[00:19:15.916 --> 00:19:16.777]  Okay.
[00:19:17.198 --> 00:19:18.460]  Alrighty then.
[00:19:18.960 --> 00:19:21.544]  So, World War III on this front.
[00:19:21.584 --> 00:19:22.906]  We'll cover that when we get back.
[00:19:23.689 --> 00:19:25.350]  Both Korea fears surprise attack.
[00:19:25.710 --> 00:19:27.171]  Syria sold weapons to Saddam.
[00:19:27.211 --> 00:19:28.411]  Now they've got their pretext.
[00:19:28.931 --> 00:19:30.892]  Stealth implementation of Patriot Act 2.
[00:19:31.332 --> 00:19:33.033]  The John Birchers are now reporting on this.
[00:19:33.573 --> 00:19:33.773]  U.S.
[00:19:33.833 --> 00:19:36.735]  population rises to 292 plus mil.
[00:19:37.235 --> 00:19:40.396]  USDA calls for implanted chips to prevent mad cow outbreaks.
[00:19:40.716 --> 00:19:44.818]  Supreme Court takes another look at prison labor or new economy.
[00:19:45.479 --> 00:19:50.481]  Russian Secret Service seizes copies of book linking it to 99 bombings.
[00:19:52.782 --> 00:19:52.842]  Oh!
[00:19:54.236 --> 00:19:57.979]  Seizing books that expose Putin for carrying out bombings to get control.
[00:19:58.339 --> 00:20:01.641]  Ex-general to oversee Guantanamo trials, if you can call them that.
[00:20:02.542 --> 00:20:04.524]  False TNT alarm hits airport.
[00:20:05.704 --> 00:20:06.605]  It's all coming up.
[00:20:06.765 --> 00:20:09.067]  Gigantic final year show.
[00:20:09.127 --> 00:20:09.767]  We'll be back.
[00:20:09.827 --> 00:20:10.528]  Final day of the year.
[00:20:12.216 --> 00:20:16.098]  The United States seems to be celebrating over its triumph of reducing government debt.
[00:20:16.338 --> 00:20:28.603]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[00:20:29.043 --> 00:20:29.443]  The U.S.
[00:20:29.483 --> 00:20:35.045]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[00:20:35.466 --> 00:20:37.666]  In the year 2000, debt growth collapsed to only 4.5%.
[00:20:39.542 --> 00:20:40.602]  It's bad enough that the U.S.
[00:20:40.642 --> 00:20:43.463]  citizens is bound by debt in order to have commerce.
[00:20:43.583 --> 00:20:49.604]  However, shocking the economy with a reduction of this magnitude could wipe out years of growth in a stock portfolio.
[00:20:50.044 --> 00:20:53.385]  Before you make your next investment decision, get the cold hard facts.
[00:20:53.465 --> 00:20:59.846]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[00:21:00.387 --> 00:21:04.387]  You must understand how recession and depression are driven by outstanding debt.
[00:21:04.507 --> 00:21:04.767]  Call 1-800-686-2237.
[00:21:07.458 --> 00:21:07.741]  That's 1-800-686-2237.
[00:21:12.847 --> 00:21:15.068]  Hello, Ted Anderson here with Midas Resources.
[00:21:15.488 --> 00:21:19.849]  Lately, I've been hearing people tell me that gold is so low now that it would be a perfect time to buy.
[00:21:20.129 --> 00:21:25.930]  With over 20 years of personal experience in the gold business, I can tell you that opportunities like this can be counted on one hand.
[00:21:26.170 --> 00:21:30.211]  The truth is, very few people have the fortitude to actually act on a market like this.
[00:21:30.511 --> 00:21:36.133]  However, they have become the elite group, more than doubling their investment over a moderate time span.
[00:21:36.253 --> 00:21:38.874]  In 1982, gold was trading in a range of $275 per ounce.
[00:21:40.990 --> 00:21:44.513]  By mid 1983, it was close to $500 an ounce.
[00:21:44.613 --> 00:21:47.295]  In 1986, gold collector coins had quadrupled.
[00:21:47.635 --> 00:21:49.937]  Don't procrastinate this opportunity away.
[00:21:50.337 --> 00:21:53.960]  All the bottom line fundamentals still support a strong future for gold.
[00:21:54.440 --> 00:22:00.624]  Call 1-800-686-2237 for a free evaluation of your gold portfolio.
[00:22:01.085 --> 00:22:02.046]  You'll be glad you did.
[00:22:02.066 --> 00:22:02.726]  That's 1-800-686-2237.
[00:22:02.746 --> 00:22:02.926]  Again, 1-800-686-2237.
[00:22:11.627 --> 00:22:16.851]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:22:16.991 --> 00:22:25.097]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:22:25.358 --> 00:22:32.403]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:22:32.583 --> 00:22:39.825]  Radioactive Poisoning Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[00:22:40.025 --> 00:22:45.106]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[00:22:45.226 --> 00:22:51.768]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children
[00:22:52.068 --> 00:22:57.869]  Have you found your business isn't quite as profitable as it was before the economy went south?
[00:22:57.889 --> 00:23:00.250]  Are new clients a little harder to come by lately?
[00:23:00.350 --> 00:23:01.230]  Well, maybe we can help!
[00:23:20.538 --> 00:23:27.783]  Advertise your business on the GCN Radio Network and you'll soon find out why companies all across the country are experiencing a steady flow of new customers.
[00:23:28.223 --> 00:23:30.044]  It's not by coincidence, it's by design.
[00:23:30.504 --> 00:23:35.788]  At GCN, we can increase your business with an ad package that's built specifically for your particular product or service.
[00:23:36.208 --> 00:23:41.712]  Join the many satisfied advertisers on the GCN Radio Network who found out that the economy isn't so bad after all.
[00:23:42.012 --> 00:23:45.474]  Call toll-free 877-996-4327 extension 106 for quotes or more information.
[00:23:48.683 --> 00:23:53.028]  That number again is 877-996-4327 extension 106.
[00:23:53.729 --> 00:23:54.910]  Everyone listens to radio.
[00:23:55.210 --> 00:23:57.713]  It's the most cost-effective way to increase business available.
[00:23:58.054 --> 00:23:59.976]  Don't wait around hoping for a stronger economy.
[00:24:00.176 --> 00:24:03.280]  The country might be slipping into recession, but your business doesn't have to.
[00:24:03.660 --> 00:24:06.043]  Call GCN today and get more customers tomorrow.
[00:24:16.920 --> 00:24:18.840]  Waging war on corruption.
[00:24:19.321 --> 00:24:22.141]  Alex Jones on the GCN Radio Network.
[00:24:26.302 --> 00:24:29.083]  Monday through Friday from 11 to 2 Central.
[00:24:29.163 --> 00:24:30.303]  Back from 9 to midnight.
[00:24:30.323 --> 00:24:31.163]  I'm here live.
[00:24:31.943 --> 00:24:33.064]  Central Standard Time.
[00:24:33.624 --> 00:24:34.824]  Wow!
[00:24:35.224 --> 00:24:36.404]  2003 almost over.
[00:24:38.885 --> 00:24:42.846]  About to be eclipsed by 04, which we start tomorrow.
[00:24:45.060 --> 00:24:46.461]  And boys, it's been quite a year.
[00:24:46.481 --> 00:24:47.902]  One of the worst years in U.S.
[00:24:47.922 --> 00:24:56.747]  history for freedom and liberty and our families and our sovereignty and the borders and trade deals destroying our economic base.
[00:24:56.787 --> 00:25:02.290]  But at the same time, a lot of people are waking up to the cold, hard facts of the New World Order.
[00:25:03.731 --> 00:25:08.493]  But in the new year, William Shafir says they're going to find the anthrax and pin it on Iraq.
[00:25:08.874 --> 00:25:10.835]  They're going to capture Bin Laden.
[00:25:12.887 --> 00:25:14.489]  What a nice little neocon.
[00:25:14.609 --> 00:25:16.270]  Here's another chief neocon.
[00:25:16.591 --> 00:25:20.114]  Hawks tell Bush how to win war on terror.
[00:25:20.915 --> 00:25:37.891]  President George W. Bush was sent a public manifesto yesterday by Washington's Hawks, just like PENAC did, written by the same people, demanding regime change in Syria and Iran and Cuba-style military blockade of North Korea.
[00:25:39.068 --> 00:25:42.692]  Backed by planning for a preemptive strike on its nuclear sites.
[00:25:43.773 --> 00:25:58.749]  The manifesto, presented as a manual for victory is what it's called, or the title, is the war on terror also calls for Saudi Arabia and France to be treated not as allies but as rivals and possibly enemies.
[00:25:59.610 --> 00:26:00.471]  The manifesto
[00:26:02.757 --> 00:26:15.680]  ...is contained in a new book by Richard Perle, a Pentagon advisor and intellectual guru of the hardline neoconservative movement, which believes in taxation, regulation, gun control, open borders, out-Clinton and Clinton.
[00:26:16.400 --> 00:26:24.721]  And debuted from a former Bush speechwriter, they give warning of a faltering of will to win in Washington.
[00:26:26.602 --> 00:26:28.302]  To win, that means destroying your freedom.
