[00:00:00.009 --> 00:00:00.770]  We're good to go.
[00:04:58.429 --> 00:05:05.152]  If neither foes nor loving friends can hurt you, if all men count with you, but a nun too much.
[00:05:06.333 --> 00:05:14.997]  If you can fill the unforgiving minute with sixty seconds worth of distance run, yours is the earth and everything that's in it.
[00:05:16.258 --> 00:05:19.119]  And, which is more, you'll be a man, my son.
[00:05:28.592 --> 00:05:31.376]  There are, of course, those who do not want us to speak.
[00:05:31.637 --> 00:05:32.378]  Let me think, just let me think!
[00:05:32.398 --> 00:05:38.086]  I suspect even now, orders are being shouted into telephones and men with guns will soon be on their way.
[00:05:38.146 --> 00:05:38.927]  It's Chancellor Sutler.
[00:05:39.508 --> 00:05:40.029]  Damn it!
[00:05:40.189 --> 00:05:40.550]  Why?
[00:05:41.271 --> 00:05:44.155]  Because while the truncheon may be used in lieu of conversation,
[00:05:44.916 --> 00:05:47.318]  Words will always retain their power.
[00:05:47.839 --> 00:05:53.704]  Words are for the means to meaning, and for those who will listen, the enunciation of truth.
[00:05:53.824 --> 00:05:58.628]  The truth is, there is something terribly wrong with this country, isn't there?
[00:05:58.648 --> 00:05:59.609]  You designed it, sir.
[00:05:59.669 --> 00:06:00.590]  You wanted it foolproof.
[00:06:00.610 --> 00:06:02.131]  You taught me every television in London!
[00:06:02.271 --> 00:06:03.693]  Cruelty and injustice.
[00:06:04.313 --> 00:06:04.793]  Cameras.
[00:06:04.813 --> 00:06:05.513]  We need cameras.
[00:06:31.855 --> 00:06:33.256]  I know why you did it.
[00:06:33.816 --> 00:06:34.896]  I know you were afraid.
[00:06:34.916 --> 00:06:37.077]  Who wouldn't be?
[00:06:37.097 --> 00:06:37.157]  War?
[00:06:37.317 --> 00:06:37.877]  Terror?
[00:06:37.957 --> 00:06:38.638]  Disease?
[00:06:39.258 --> 00:06:45.620]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[00:06:45.720 --> 00:06:51.483]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[00:06:52.083 --> 00:06:58.205]  He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[00:07:04.980 --> 00:07:06.241]  There is a war.
[00:07:06.661 --> 00:07:07.642]  It's happening now.
[00:07:08.542 --> 00:07:10.344]  It will decide the fate of humanity.
[00:07:10.904 --> 00:07:12.705]  The time to choose sides has come.
[00:07:13.466 --> 00:07:14.947]  We are the resistance.
[00:07:15.387 --> 00:07:28.015]  We are the InfoWars.
[00:07:30.517 --> 00:07:34.620]  You are listening to an InfoWars.com frontline report.
[00:07:35.626 --> 00:07:39.569]  If you are receiving this transmission, you are the resistance.
[00:07:40.869 --> 00:07:52.156]  Well, I went off air about an hour and a half ago and I said this could be InfoWars last show because I learned yesterday that they were going to padlock the doors and kick us out last night.
[00:07:55.257 --> 00:08:00.278]  And again, I'm not blaming the security companies, private security company I hired like eight years ago for other work, six, seven years ago for here.
[00:08:01.138 --> 00:08:02.778]  There's a CRO, there's a bankruptcy.
[00:08:03.619 --> 00:08:06.339]  And I saw the guard kind of acting weird, looking at me weird.
[00:08:06.639 --> 00:08:07.319]  He looked really conflicted.
[00:08:07.339 --> 00:08:09.780]  I knew the guy well, and I could tell that just came to me.
[00:08:09.800 --> 00:08:11.020]  I'm like, oh, there's something going on.
[00:08:11.040 --> 00:08:11.940]  They're going to shut us down tonight.
[00:08:11.960 --> 00:08:15.401]  So I went, oh, hey, so what's happening tonight with more guards coming in?
[00:08:15.421 --> 00:08:16.501]  They're like, well, how do you know about that?
[00:08:16.881 --> 00:08:20.262]  So I literally just go with my instincts now, because I always ignored my whole life.
[00:08:21.022 --> 00:08:22.844]  And now I'm just religiously following.
[00:08:22.864 --> 00:08:24.345]  I was talking about that on Friday's show.
[00:08:24.626 --> 00:08:25.507]  It's the Holy Spirit, folks.
[00:08:25.847 --> 00:08:26.327]  It's not me.
[00:08:27.188 --> 00:08:29.971]  And discovered this whole plan to shut us down.
[00:08:30.852 --> 00:08:39.360]  And so today I went on an emergency broadcast at 10 a.m., had Daniel Esselstyn on for a few hours, covered some of the stuff that was going on, aired a recording.
[00:08:40.602 --> 00:08:42.283]  I've recorded like five people before.
[00:08:42.804 --> 00:08:43.845]  One was Megan Kelly.
[00:08:45.046 --> 00:08:46.828]  A few other people, and they're just saying outrageous shit.
[00:08:47.949 --> 00:08:49.430]  And so I recorded this.
[00:08:49.470 --> 00:08:51.451]  I recorded some other stuff that I haven't released yet.
[00:08:52.232 --> 00:08:59.678]  And when I went off air, I said, in about one hour, we're going to get a call.
[00:08:59.698 --> 00:09:02.260]  They're going to tell the security to shut this place down.
[00:09:03.361 --> 00:09:06.164]  And sure enough, the CRO was appointed by the court
[00:09:07.647 --> 00:09:13.230]  He told them to do it, and the people were smart enough to not do it, because you gotta have a court order, you gotta have a reason.
[00:09:13.350 --> 00:09:21.855]  So it's a soluble company that is solvent, not soluble, but solvent.
[00:09:22.615 --> 00:09:24.576]  And so I went, okay, well, we're gonna go back on air.
[00:09:24.796 --> 00:09:29.219]  And then everybody batted around, and there was consensus, and all these lawyers and people.
[00:09:29.239 --> 00:09:32.700]  Oh, actually, there is no law to shut down InfoWars.
[00:09:33.741 --> 00:09:35.442]  But again, these people don't care.
[00:09:36.971 --> 00:09:40.473]  There's also a one-dimensional view, and it's not the judge himself, he's been very fair.
[00:09:40.893 --> 00:09:48.878]  There's a one-dimensional view that the person I exposed, Pat McGill, who's watching right now, thinks he shuts this building down and he stops it.
[00:09:48.918 --> 00:09:50.759]  It's called... I know, McGill, you don't know this stuff.
[00:09:50.979 --> 00:09:52.400]  It's called the Streisand Effect.
[00:09:52.420 --> 00:09:55.181]  You might want to do a little research on the Streisand Effect, just for yourself.
[00:09:56.202 --> 00:10:01.645]  See, because I don't set up Machiavelli and stuff, but when somebody tries it on me, I'll have Machiavelli, Machiavelli.
[00:10:02.306 --> 00:10:02.486]  So...
[00:10:05.467 --> 00:10:06.348]  This is what's going on.
[00:10:07.108 --> 00:10:19.034]  And I put up a year ago with him filing a thing in the court that I was stealing money with no proof that I already filed in the court of the sponsors we had we were trying to bring over out of bankruptcy because I wasn't bankruptcy when Free Speech was trying to bring it over and I had to deal with the last CRO.
[00:10:20.882 --> 00:10:33.050]  And then he filed, three months ago in March, another secret filing with the court saying Alex Jones stole money, Alex Jones is incompetent, Alex Jones is a horrible person, I need to be able to fire him.
[00:10:33.731 --> 00:10:39.855]  And then when I got this from the court, because the judge sent it to my lawyers, I called him, he called me back, and I said, what is this?
[00:10:40.455 --> 00:10:42.517]  He started saying, I never did that, it's not real, it didn't happen.
[00:10:42.757 --> 00:10:44.358]  A week later in court, he admitted he did it.
[00:10:44.478 --> 00:10:49.762]  And the judge slapped him down and said, Mr. Jones is the head of the company, you're just the manager that reports back to the court.
[00:10:50.987 --> 00:10:52.707]  So there's this gaslighting going on.
[00:10:52.948 --> 00:10:54.368]  Oh, why are you being mean?
[00:10:54.428 --> 00:10:54.808]  Why are you?
[00:10:54.988 --> 00:11:06.751]  Listen, when he first did that, when I had sponsors that I had personally, and John Harmon's been here 21 years, was the manager of just actually one sponsor, a satellite phone company.
[00:11:07.391 --> 00:11:09.512]  And I was in meetings with my lawyers and filed the court.
[00:11:09.532 --> 00:11:10.872]  Hey, I have this money from a satellite phone.
[00:11:10.992 --> 00:11:12.012]  I have now declared bankruptcy.
[00:11:12.353 --> 00:11:13.693]  I was already putting part of it into the deal.
[00:11:13.713 --> 00:11:14.853]  That was my agreement with the last CRO.
[00:11:15.173 --> 00:11:15.953]  I'd like to bring this money in.
[00:11:15.973 --> 00:11:17.654]  He killed the other $12 million of advertising.
[00:11:18.669 --> 00:11:21.451]  I said, let's bring back the advertising and John Harmon should be the manager.
[00:11:21.711 --> 00:11:23.232]  Oh yeah, we'll talk about that later.
[00:11:23.352 --> 00:11:32.598]  And then went and filed in the court that he discovered money with the Justice Department already involved in the case with the U.S.
[00:11:32.618 --> 00:11:32.898]  trustee.
[00:11:32.918 --> 00:11:34.979]  I mean, I've been interrogated and deposed.
[00:11:35.039 --> 00:11:41.243]  At my depositions, the Justice Department lawyers are there as if I would like engage in a crooked toenail during this.
[00:11:42.123 --> 00:11:43.604]  So everybody's like, oh, just take it.
[00:11:43.664 --> 00:11:45.686]  You know, you're really being a troublemaker.
[00:11:45.726 --> 00:11:47.527]  You know, you didn't like I did this.
[00:11:48.855 --> 00:11:49.675]  He follows it again.
[00:11:49.895 --> 00:11:51.276]  He does it again secretly.
[00:11:51.336 --> 00:11:58.398]  The judge gets pissed off at him because the great top lawyer they have for free speech systems wasn't my lawyer, but he was here previously for the bankruptcy.
[00:11:58.899 --> 00:12:00.179]  They fired the first CRO.
[00:12:00.879 --> 00:12:01.520]  He wasn't a bad guy.
[00:12:01.540 --> 00:12:02.200]  I just knew what he was doing.
[00:12:02.220 --> 00:12:02.800]  The judge did that.
[00:12:02.820 --> 00:12:03.480]  I didn't even ask for that.
[00:12:04.601 --> 00:12:07.962]  Then he didn't like Ray Battaglia because he's like a top guy and flies straight.
[00:12:09.298 --> 00:12:14.640]  And so they get rid of him, and the judge gets really pissed at Pat McGill, who's watching right now.
[00:12:15.440 --> 00:12:27.544]  I mean, Pat, dude, you can't attack people and say they're taking money illegally, and they're doing all this, and then call them up and say, I didn't file that, when I had the goddamn file with your name on it, and later in court you admitted you did it.
[00:12:27.944 --> 00:12:31.745]  And the judge said, no, you're not taking over M4s, you're not firing Alex Jones, you're not in control of the company.
[00:12:33.018 --> 00:12:34.860]  So this is even about keeping InfoWars going.
[00:12:34.980 --> 00:12:36.481]  I'm not, whatever happens, happens.
[00:12:36.501 --> 00:12:37.682]  This is about my integrity.
[00:12:37.843 --> 00:12:39.744]  I don't take stuff lying down, okay?
[00:12:40.165 --> 00:12:46.911]  So, so, I mean, I don't know because I was so nice and put up with a bunch of bullshit that you thought you had some candy ass that was just here to take the stuff.
[00:12:47.171 --> 00:12:49.534]  And so, hey, if you can convince somebody
[00:12:51.425 --> 00:12:54.086]  Because I explained this, and I told the lawyers the law, and I showed it to them.
[00:12:54.347 --> 00:13:02.791]  Like, when the lockdowns were happening four years ago, my crew's great, they're smart, but I read the federal law, the media exempted itself as essential.
[00:13:03.772 --> 00:13:10.075]  And I said, we're a media company, or any food company, we're both, because they call supplements food, and we sell food, that's what they call us, food.
[00:13:11.556 --> 00:13:13.237]  You cannot shut that down, it's essential.
[00:13:13.257 --> 00:13:17.179]  And the crew wasn't believing that, and a bunch of people didn't want to come to work, and they're like, no, no, we're not going to violate the law and leave our house.
[00:13:17.199 --> 00:13:20.601]  And I got mad at folks, called them into a meeting, and I said, here's the damn federal law.
[00:13:21.638 --> 00:13:22.779]  And of course it came out it was right.
[00:13:24.039 --> 00:13:26.181]  So I know how to read a law.
[00:13:26.481 --> 00:13:27.441]  I know how to do stuff.
[00:13:27.461 --> 00:13:28.862]  So I start calling the lawyers there, Stan.
[00:13:28.882 --> 00:13:33.785]  I said, listen, you got to have an order by a court to close the doors and fire people.
[00:13:34.846 --> 00:13:41.129]  You can't, and by the way, McGill's like, well, I'm just going to get rid of the talk show host and cut the feed off and end the show.
[00:13:41.589 --> 00:13:43.270]  But just two weeks, like flatten the curve.
[00:13:44.091 --> 00:13:44.831]  First, it was a few days.
[00:13:44.971 --> 00:13:45.692]  Well, it's actually two weeks.
[00:13:48.254 --> 00:13:53.539]  But I'm going to keep the security and all of his people that are in the few people that are in the administrative end.
[00:13:53.960 --> 00:13:55.241]  So he can continue to run things.
[00:13:55.301 --> 00:13:57.263]  I said, oh wait, Howard to his lawyers.
[00:13:57.543 --> 00:14:07.673]  How are you going to say the people you want to stay on, but the talk show host that are the essential thing for this operation and for this quote estate for the creditors, how are you going to do that?
[00:14:07.753 --> 00:14:09.796]  And they don't say, so then I explained to him today.
[00:14:10.676 --> 00:14:11.858]  Again, I said, go check the law.
[00:14:12.955 --> 00:14:15.156]  You can't do that without a court order.
[00:14:15.676 --> 00:14:18.478]  And if Judge Lopez on Monday says, shut this down, then I'll abide by it.
[00:14:18.498 --> 00:14:19.138]  And that's the way it is.
[00:14:19.518 --> 00:14:21.459]  I think it's a stupid move, but I think it's going to happen.
[00:14:22.559 --> 00:14:26.941]  I think Pat McGill is going to get removed on Monday, the emergency hearing in Houston.
[00:14:27.082 --> 00:14:30.303]  But whatever happens, I'm not worried about it because I'm not going to sit here and take this.
[00:14:30.323 --> 00:14:31.844]  And it's not because I want to fight with people.
[00:14:32.424 --> 00:14:35.325]  It's because I'm not bending over and taking a bunch of bullshit.
[00:14:36.086 --> 00:14:36.246]  So,
[00:14:37.489 --> 00:14:47.033]  The reason he panicked, McGill panicked, watching the live show and ran around and said, get him off the air, turn him off right now, throw him out of the building.
[00:14:48.274 --> 00:14:50.255]  And finally people talked to lawyers and said, we can't do that.
[00:14:50.955 --> 00:14:55.257]  It's because he heard me say, I've got other information.
[00:14:56.298 --> 00:14:58.739]  So I'm gonna explain it real slow for you, Pat.
[00:15:00.472 --> 00:15:02.093]  I'll be on Tucker Carlson in three days if I want to.
[00:15:02.653 --> 00:15:03.594]  I'll be on Joe Rogan if I want to.
[00:15:04.094 --> 00:15:05.495]  I can put this out a thousand places.
[00:15:05.595 --> 00:15:06.135]  You're a fool.
[00:15:06.335 --> 00:15:09.397]  The internet's meant to take a nuclear strike to keep information going.
[00:15:10.097 --> 00:15:13.079]  So this building, I'm sentimental about it.
[00:15:13.779 --> 00:15:14.620]  I care about the crew.
[00:15:14.660 --> 00:15:15.500]  We've got a great team.
[00:15:15.640 --> 00:15:16.481]  I don't want that to happen.
[00:15:17.481 --> 00:15:22.324]  But you have to understand that you've crossed the Rubicon here, buddy boy.
[00:15:23.764 --> 00:15:26.246]  And so now you're in a real world situation.
[00:15:27.182 --> 00:15:29.945]  So this is all about, oh, you're going to creep around in the background.
[00:15:29.985 --> 00:15:31.007]  You're going to do all this stuff.
[00:15:31.067 --> 00:15:31.487]  No, you're not.
[00:15:31.507 --> 00:15:34.251]  Where's my phone?
[00:15:35.623 --> 00:15:37.183]  I'll pull up the other stuff right now.
[00:15:37.203 --> 00:15:38.284]  Okay?
[00:15:38.804 --> 00:15:40.164]  That ain't a threat.
[00:15:40.224 --> 00:15:44.666]  I'm telling you that you're the one starting a fight with me.
[00:15:44.906 --> 00:15:52.348]  You're the one with your screwball leftist friends that thinks I'm here as a fucking goddamn doormat.
[00:15:52.908 --> 00:15:54.148]  Get it straight, son.
[00:15:55.168 --> 00:15:56.189]  I'm not a doormat.
[00:15:56.469 --> 00:15:57.629]  You think you're smarter than me?
[00:15:57.829 --> 00:15:58.889]  You think you're better than me?
[00:15:59.089 --> 00:16:00.070]  You think you know more than me?
[00:16:00.090 --> 00:16:00.950]  You're full of shit.
[00:16:01.610 --> 00:16:03.171]  He went around two weeks ago when he was here.
[00:16:03.191 --> 00:16:03.991]  He's here like every two weeks.
[00:16:05.003 --> 00:16:13.648]  Sitting on his ass getting $50,000 a month, and he went around to the crew members and told them that I deserve to be in jail, that I'm killing people because I'm not promoting the vaccine.
[00:16:13.808 --> 00:16:14.629]  Hey, dumbass!
[00:16:15.449 --> 00:16:17.030]  4% of people are taking the new shot!
[00:16:17.270 --> 00:16:18.311]  There's lawsuits everywhere!
[00:16:18.451 --> 00:16:19.491]  They admit it's killing people!
[00:16:22.333 --> 00:16:22.753]  I'm right!
[00:16:23.054 --> 00:16:23.574]  You're wrong!
[00:16:25.046 --> 00:16:26.907]  But even if I was wrong, this is my company.
[00:16:27.187 --> 00:16:28.187]  I have a right to say it.
[00:16:28.847 --> 00:16:31.028]  You think going around to my crew undermines me?
[00:16:31.248 --> 00:16:33.349]  Or maybe you wanted to piss me off and have me go off half-cocked?
[00:16:33.629 --> 00:16:34.069]  Well, guess what?
[00:16:34.089 --> 00:16:34.969]  I ain't going off half-cocked.
[00:16:35.730 --> 00:16:39.951]  So, I don't, at the end of the day, care about my life, or anything, or my treasure.
[00:16:40.251 --> 00:16:41.311]  I care about my sacred honor.
[00:16:41.631 --> 00:16:46.453]  I will pledge my life, my treasure, on my sacred honor, because you just dealt with 1776, the real McCoy.
[00:16:46.473 --> 00:16:46.733]  Okay?
[00:16:46.773 --> 00:16:46.813]  So...
[00:16:50.236 --> 00:16:54.981]  Keep trying to cupcake this around the sides and keep trying to run around like a chicken with your head cut off.
[00:16:55.302 --> 00:16:57.985]  You got Godzilla coming out of the ocean in Tokyo, okay?
[00:16:58.565 --> 00:17:05.153]  I will not sit here and be pushed around and lied about and screwed over anymore.
[00:17:06.134 --> 00:17:06.574]  Comprende?
[00:17:07.654 --> 00:17:09.475]  So, that's how this works.
[00:17:09.835 --> 00:17:11.016]  That's how this goes down.
[00:17:11.036 --> 00:17:16.819]  I don't expect anything except making sure you get exposed no matter what happens to me.
[00:17:17.039 --> 00:17:21.522]  Because my integrity is absolutely 110% paramount.
[00:17:23.243 --> 00:17:24.624]  So, that's where this is.
[00:17:24.844 --> 00:17:30.147]  And I'm sitting here with the crap you pulled and the things you did that I told my lawyers about.
[00:17:31.783 --> 00:17:36.364]  Like he came in my office and he said, listen Alex, for three months, we're friends.
[00:17:36.384 --> 00:17:37.864]  Why don't you just keep money as side bills?
[00:17:37.924 --> 00:17:38.344]  I don't care.
[00:17:39.004 --> 00:17:40.465]  I'm like, hey, I gotta go to the bathroom real quick.
[00:17:40.605 --> 00:17:42.105]  Cause I, you know, I'm not sitting there like recording.
[00:17:42.145 --> 00:17:42.465]  I'll come back.
[00:17:42.545 --> 00:17:43.485]  Oh, oh, tell me that again.
[00:17:43.565 --> 00:17:43.805]  Yeah.
[00:17:44.445 --> 00:17:45.805]  You're, it's over.
[00:17:45.825 --> 00:17:47.226]  Okay.
[00:17:47.406 --> 00:17:47.846]  It's over.
[00:17:48.246 --> 00:17:49.346]  Game over.
[00:17:49.666 --> 00:17:50.826]  Game over.
[00:17:51.126 --> 00:17:51.787]  Game over.
[00:17:52.207 --> 00:17:53.927]  I think by the end of this show, we'll just play it for you.
[00:17:54.827 --> 00:17:57.608]  So keep playing your fucking games with me.
[00:17:57.628 --> 00:17:58.648]  Okay.
[00:17:59.048 --> 00:17:59.648]  Game's over.
[00:18:00.848 --> 00:18:01.588]  Games are over.
[00:18:02.129 --> 00:18:03.089]  You want the real Alex Jones?
[00:18:03.109 --> 00:18:03.669]  You got one right now.
[00:18:03.849 --> 00:18:12.172]  Because I was focused on the New World Order, on George Soros, on King Charles, on Tedros, on Bill Gates, on big enemies of the people.
[00:18:12.613 --> 00:18:18.375]  My job wasn't sitting here running around while I'm getting stabbed in the side by a Lilliputian worrying about what's happening to me.
[00:18:19.015 --> 00:18:26.238]  But now at the end of this operation, I will not sit here and comply with lies.
[00:18:27.631 --> 00:18:29.032]  So, that's where we are.
[00:18:29.152 --> 00:18:30.893]  And I know Owen and others wanted to come on.
[00:18:30.913 --> 00:18:31.653]  I'm glad they're here.
[00:18:31.693 --> 00:18:33.734]  Harrison and Chase Geyser.
[00:18:34.635 --> 00:18:35.235]  Harrison Smith.
[00:18:35.795 --> 00:18:37.056]  We're not here to attack anybody.
[00:18:37.416 --> 00:18:38.317]  I've been under attack.
[00:18:39.497 --> 00:18:40.338]  I've been gaslit.
[00:18:41.058 --> 00:18:43.780]  I've had secret federal filings filed on me that I'm committing crimes.
[00:18:44.060 --> 00:18:45.040]  Referred to the Justice Department.
[00:18:45.601 --> 00:18:47.942]  Which of course wasn't true, because we'd already filed it in federal court months before.
[00:18:48.102 --> 00:18:49.063]  They don't even check this shit!
[00:18:49.083 --> 00:18:55.746]  If you're gonna fucking frame somebody and fucking lie about them to goddamn federal court, for the fucking know it's already filed in goddamn court!
[00:18:56.006 --> 00:18:56.587]  You bastard!
[00:18:57.509 --> 00:18:58.230]  So fuck you!
[00:18:58.790 --> 00:19:00.811]  And fuck anybody else that tries to go on your shit!
[00:19:01.172 --> 00:19:02.412]  You want fucking war?
[00:19:02.713 --> 00:19:03.893]  You fucking got it!
[00:19:04.154 --> 00:19:07.356]  I told you one more fucking lie and I was gonna do this, alright?
[00:19:08.317 --> 00:19:09.778]  I tried to sustain this place.
[00:19:09.938 --> 00:19:11.539]  I didn't believe America was as corrupt as this.
[00:19:11.919 --> 00:19:14.421]  I didn't believe we were this fucked and we are this fucked.
[00:19:14.861 --> 00:19:18.364]  This country is administratively got a bunch of scum in charge of it.
[00:19:18.884 --> 00:19:22.847]  That's why it's going down the tubes and America and the whole world sees it.
[00:19:23.507 --> 00:19:28.990]  So you misjudged who I am and in a year of millions misjudged who I am and you have no idea!
[00:19:30.370 --> 00:19:31.071]  No idea!
[00:19:31.591 --> 00:19:32.211]  So go ahead!
[00:19:32.552 --> 00:19:36.634]  Try to jerk off some operation to shut the doors here and do that and prove everything I said.
[00:19:36.954 --> 00:19:38.074]  It doesn't matter!
[00:19:38.895 --> 00:19:40.315]  And I don't sit there and make threats.
[00:19:40.415 --> 00:19:41.136]  I make promises.
[00:19:43.097 --> 00:19:44.838]  I haven't had time yet to dig it out of my phone.
[00:19:46.078 --> 00:19:46.559]  But I will.
[00:19:47.899 --> 00:19:51.021]  And you will at the end of the day know
[00:19:52.148 --> 00:19:57.291]  That Alex Jones, the American patriot, defeated your evil ass.
[00:19:58.291 --> 00:19:58.951]  You guys want to comment?
[00:19:59.992 --> 00:20:16.080]  Well, I'll just say I had to come up here because I've put a lot of my blood, sweat, and tears into Info Wars, and I think we all knew that the Obi-Wan Kenobi fate would probably be the reality of the situation here, but
[00:20:16.860 --> 00:20:18.080]  We can't go silently.
[00:20:18.460 --> 00:20:19.761]  You know, we can't go silently.
[00:20:19.821 --> 00:20:26.903]  We can't not celebrate all the victories that we've had and it's... That's my biggest frustration is I thought this was coming probably soon.
[00:20:26.943 --> 00:20:27.963]  I told people I'm not playing games.
[00:20:28.243 --> 00:20:29.303]  I wanted to celebrate everybody.
[00:20:30.323 --> 00:20:30.724]  Sorry, go ahead.
[00:20:31.064 --> 00:20:32.484]  Well, that's that's the entire purpose.
[00:20:32.504 --> 00:20:34.605]  I mean, you brought up one instance, the vaccine.
[00:20:34.725 --> 00:20:36.245]  Maybe it's one of our biggest victories.
[00:20:36.781 --> 00:20:45.404]  I have people telling me all the time, they call into my show, thank you for warning us about the vaccines, thank you for showing the studies, thank you for showing the internal emails that got leaked.
[00:20:45.424 --> 00:20:46.204]  When nobody else was.
[00:20:46.584 --> 00:20:48.445]  When we were getting totally hammered for it.
[00:20:48.785 --> 00:20:53.466]  They tell their family members, they tell their friends, it might have saved their lives, they know people that had a bad side effect.
[00:20:53.787 --> 00:20:55.547]  So you know, that's kind of a big victory.
[00:20:55.567 --> 00:20:57.368]  And of course, there's different levels of this.
[00:20:57.408 --> 00:21:04.330]  The eugenicists that want to wipe out the population, they just want to be a management class on this planet that they view as a life raft.
[00:21:05.073 --> 00:21:08.815]  The kind of the scum at the bottom level, they just hate your guts.
[00:21:08.855 --> 00:21:17.139]  They just hate your guts and I guess that they think they're going to be part of this management class when it all comes down, but they're going to take the vaccines too.
[00:21:17.159 --> 00:21:21.321]  They're not going to give you a special vaccine that's not going to be deadly for you.
[00:21:21.481 --> 00:21:23.042]  Not for the general public, they do give it to themselves.
[00:21:23.382 --> 00:21:24.984]  They're not going to let you have steak dinners.
[00:21:25.004 --> 00:21:27.606]  They're not going to let you drive around in a gas-powered vehicle.
[00:21:27.646 --> 00:21:30.548]  You're going to be in a pod and be a bug man just like everybody else.
[00:21:31.429 --> 00:21:35.673]  So there's that aspect of why I felt it was imperative to come in here.
[00:21:35.693 --> 00:21:38.335]  I think that when we talk about the larger political issues,
[00:21:39.008 --> 00:21:41.450]  You know, it's crazy.
[00:21:41.470 --> 00:21:46.253]  It really is crazy that InfoWars is the test case for everything.
[00:21:46.393 --> 00:21:49.355]  I mean, it's censorship, it's lawfare, imprisonment.
[00:21:49.395 --> 00:21:49.875]  I mean, what?
[00:21:49.955 --> 00:21:50.735]  Death is next?
[00:21:51.276 --> 00:21:54.538]  So, when I look at what Trump is going through... Yeah, you are in solitary confinement for two months.
[00:21:54.958 --> 00:21:57.281]  Did that make you bow or did that make you get way more hardcore?
[00:21:57.301 --> 00:21:58.222]  You came out even stronger.
[00:21:58.582 --> 00:21:59.483]  I came out stronger.
[00:21:59.563 --> 00:22:03.608]  I came out more focused and I got, I mean, the love and support.
[00:22:03.648 --> 00:22:09.535]  I mean, imagine the love and support that InfoWars crew is going to have should this be the final day.
[00:22:10.115 --> 00:22:12.376]  But you look at now what Trump is going through.
