[00:00:00.029 --> 00:00:00.950]  Here's the progression.
[00:01:47.999 --> 00:02:07.826]  All right, I had a two and a half hour meeting with our next guest last night over some delicious Mexican food, and when he makes a lot of these predictions, it's kind of what with me, I'm saying it's not a prediction, I have the intel, I have the sources, they're not really predictions, but he, there's a lot of reasons he can't tell you everything, and I'm gonna leave it at that, okay?
[00:02:09.247 --> 00:02:12.828]  But Dr. Kirk Elliott is
[00:02:14.206 --> 00:02:17.929]  You're here to talk about finances, the government, the economy, the world.
[00:02:18.890 --> 00:02:20.411]  But he's a big fish in all this.
[00:02:20.431 --> 00:02:22.653]  He doesn't toot his horn for a lot of reasons.
[00:02:23.594 --> 00:02:34.924]  But he was giving me intel last night, and then obviously we were arguing whether he should even release this information because, let's just be completely honest, they'll come after him.
[00:02:34.944 --> 00:02:37.486]  But they also know this is coming out, so in a way we've got to.
[00:02:37.526 --> 00:02:41.870]  So whether it's today or whether it's in a month or whatever, there's big stuff happening.
[00:02:42.657 --> 00:02:43.077]  There is.
[00:02:43.157 --> 00:02:49.703]  I think we're on the precipice, Alex, of kind of like tectonic changes in the economy.
[00:02:50.063 --> 00:02:59.632]  As banks continue to fail, as what we've talked about numerous times, this movement towards central bank digital currency, you've got people who are
[00:03:00.871 --> 00:03:04.294]  For a good reason, wanting to go into tangible assets like gold and silver.
[00:03:04.595 --> 00:03:08.278]  And there's a whole separate, the whole supply chain being attacked and robbed.
[00:03:08.839 --> 00:03:10.060]  Yes, absolutely.
[00:03:10.080 --> 00:03:13.583]  And some of the numbers we're going to go over today will absolutely blow your mind.
[00:03:13.644 --> 00:03:19.669]  I mean, folks, crime is on purpose as they defund the police and will prosecute in over a thousand jurisdictions.
[00:03:19.770 --> 00:03:20.730]  It is bunker town.
[00:03:21.908 --> 00:03:41.912]  It is, and so as this move towards people seeking truth, wanting something that's real, wanting something that's tangible, losing faith and confidence in the system, the system being the government, the system being banks, everything that we've held true and stable since, I don't know, the 1940s, you know, when
[00:03:44.773 --> 00:03:46.795]  The dollar became the world's reserve currency.
[00:03:46.835 --> 00:03:49.717]  I think all of that is about to change.
[00:03:50.137 --> 00:04:00.865]  And as gold and silver continue to move up in value, I think Alex, you said I make predictions, you make predictions, but really it's based on just reality and what we see.
[00:04:00.925 --> 00:04:02.026]  The dominoes are already falling.
[00:04:02.746 --> 00:04:05.528]  It's not a prediction that if dominoes are falling, the next domino is going to fall.
[00:04:05.968 --> 00:04:06.489]  It's a fact.
[00:04:07.069 --> 00:04:07.550]  It's a fact.
[00:04:07.590 --> 00:04:08.751]  Or like if you threw a punch at me,
[00:04:09.551 --> 00:04:11.611]  I mean, there's no doubt that if it's going to land, it's going to hurt.
[00:04:11.631 --> 00:04:12.812]  I mean, the punch is thrown.
[00:04:13.072 --> 00:04:14.032]  Yeah.
[00:04:14.252 --> 00:04:17.933]  So who is at risk when Precious Metals goes up?
[00:04:18.773 --> 00:04:20.933]  I think it's the big brokerage houses.
[00:04:20.993 --> 00:04:22.394]  It's the big banks.
[00:04:22.954 --> 00:04:26.074]  It's an attack against paper money.
[00:04:26.134 --> 00:04:29.595]  It's an attack against stocks, bonds, mutual funds, all of that.
[00:04:30.195 --> 00:04:36.417]  So here's where I think we're probably headed in the near to medium future.
[00:04:36.557 --> 00:04:37.657]  You predicted six months ago
[00:04:38.764 --> 00:04:43.286]  That would start regional bank failures in March and April, and now it's begun.
[00:04:43.686 --> 00:04:45.007]  But it's barely getting any attention.
[00:04:45.767 --> 00:04:47.248]  Notice what happened a few years ago was huge.
[00:04:47.828 --> 00:04:50.929]  Now, the fact that it's so quiet, crickets, woo!
[00:04:51.369 --> 00:05:00.493]  Yeah, I mean, the bank that failed in Philly, Republic First Bank, just two weeks ago, there was $3.3 billion that evaporated that wasn't insured.
[00:05:01.033 --> 00:05:02.213]  Why isn't that getting news?
[00:05:02.253 --> 00:05:03.694]  I mean, that's a big bank.
[00:05:03.714 --> 00:05:04.134]  Translate.
[00:05:04.174 --> 00:05:05.014]  People didn't get their money.
[00:05:05.254 --> 00:05:10.956]  They didn't get their money because FDIC covered $667 million.
[00:05:11.376 --> 00:05:14.537]  That's everybody that has zero to $250,000 in their banks.
[00:05:14.897 --> 00:05:17.738]  But that bank had $4 billion in deposits.
[00:05:18.198 --> 00:05:19.778]  So I'm just doing simple math.
[00:05:19.838 --> 00:05:21.119]  It's like, OK, what's $4 billion minus $667 million?
[00:05:21.139 --> 00:05:21.679]  That's $3.3 billion.
[00:05:21.699 --> 00:05:22.099]  Where did it go?
[00:05:25.240 --> 00:05:26.722]  It's just gone, Alex.
[00:05:27.162 --> 00:05:31.927]  So as people start to lose faith and confidence in the system, they are going into precious metals.
[00:05:31.947 --> 00:05:38.834]  This is an attack against the monetary system as we know it, banking as we know it, hedge funds, all of that.
[00:05:38.894 --> 00:05:41.077]  And so here's what I think is coming.
[00:05:41.397 --> 00:05:41.797]  I think
[00:05:43.279 --> 00:06:02.656]  Regulators around the country are going to start attacking the precious metals industry and attacking specifically those companies that target seniors, that overcharge for their metals, because they want to try to pretend to protect people.
[00:06:03.137 --> 00:06:06.119]  But I think that safety is of utmost concern.
[00:06:07.040 --> 00:06:14.004]  When you invest in precious metals, you should always go into something that has a market, a built-in market, which would be bullion.
[00:06:14.504 --> 00:06:16.065]  It's used for manufacturing.
[00:06:16.585 --> 00:06:23.029]  It's, you know, Sony, Samsung, Tesla, LG, the defense industry, which we're going to go over today.
[00:06:23.709 --> 00:06:24.930]  There's massive demand there.
[00:06:25.450 --> 00:06:31.994]  It's a built-in market, which is easy, but a lot of times you get overpriced stuff that goes into the hands of people.
[00:06:32.694 --> 00:06:39.900]  And if you get shady sales techniques, you, you know, overcharge, but those firms have to make a market for that.
[00:06:40.000 --> 00:06:44.564]  So when, when you own them and you say, okay, it's time for me to sell.
[00:06:45.024 --> 00:06:50.829]  And they go back and it's like, okay, we have to call some other unsuspecting clients and say, Hey, we've got a deal for you.
[00:06:50.869 --> 00:06:54.492]  We've got this inventory that just came in, but it's going to be gone pretty short order.
[00:06:55.032 --> 00:07:00.757]  Those kinds of tactics I think are going to be clamped down on and ultimately
[00:07:01.577 --> 00:07:17.385]  Those people have delivery of those things at home Alex and so so what else I see coming is is like I don't know how else to say it but like criminal crime syndicates almost where where they know what's being shipped and
[00:07:17.785 --> 00:07:26.751]  They know who's getting what, because there's probably going to be people on the inside of big shippers around the country, and there's going to be outright theft.
[00:07:26.832 --> 00:07:31.295]  So I think you're going to see... Okay, well you're going there now, and I already knew about this from other sources.
[00:07:31.935 --> 00:07:33.656]  It's not probably gonna, it's going on.
[00:07:34.117 --> 00:07:35.778]  So again, it's not like you just started saying this.
[00:07:35.838 --> 00:07:39.320]  I've been in gold and silver for 30 years, or 28 since I got sponsors.
[00:07:40.481 --> 00:07:43.644]  I have, this is key folks, this is about me jumping in to make a point because I'm smart.
[00:07:44.702 --> 00:07:55.709]  I've had a gold or silver sponsor for 10 years because I could not find one that was moral and good and wasn't gonna sell people collectible stuff that they're gonna have a big trouble getting if they're overcharged on.
[00:07:56.410 --> 00:08:01.333]  So, all the companies that came to me, and a few of them I signed deals with, and then they would immediately break the deal.
[00:08:01.353 --> 00:08:07.717]  That's why we'd have a gold sponsor for a week and be gone, because I would call and check myself and say, I want silver and gold bullion.
[00:08:07.737 --> 00:08:13.440]  And they'd say, oh, well, that's great, but we actually need this shipwrecked gold and this thing over here is the best thing ever.
[00:08:14.361 --> 00:08:21.366]  The point is the system is going to use that with regulators, they already are behind the scenes, to go after those groups to then try to roll the whole thing up.
[00:08:21.406 --> 00:08:26.549]  So people ask you when you were on about a couple weeks ago, will they do like 1933 gold confiscation?
[00:08:26.589 --> 00:08:28.210]  Well, no, that was the main currency then.
[00:08:28.510 --> 00:08:30.392]  And so they made you turn your gold in for the paper.
[00:08:30.432 --> 00:08:30.932]  That's totally different.
[00:08:31.132 --> 00:08:37.795]  When you've got like a point and a half or maybe two percent owning gold and silver, they admit they're not gonna try to get the physical stuff from you.
[00:08:38.115 --> 00:08:46.119]  They're gonna try to destroy the market before people figure it out and go into it, and they're gonna use the unscrupulous sharks out there because the people don't have knowledge.
[00:08:46.139 --> 00:08:47.260]  They perish for lack of knowledge.
[00:08:47.961 --> 00:08:50.744]  And then that will expose and hurt the good dealers like yourself.
[00:08:50.765 --> 00:08:57.834]  So what you're telling people is you better get into gold and silver while you still can because when the hyperinflation goes really crazy, I believe, then there's going to be a run on it.
[00:08:58.075 --> 00:09:03.082]  They're going to try to discredit that because gold and silver discredits their whole fractional reserve banking system.
[00:09:04.546 --> 00:09:05.147]  A hundred percent.
[00:09:05.207 --> 00:09:06.849]  I couldn't have said it better myself.
[00:09:06.929 --> 00:09:19.341]  And so as years, decades ago, Alex, when, when I was actually envisioning how my firm was going to look, you know, I think I saw this coming even, even back then, which is.
[00:09:19.401 --> 00:09:20.362]  It's 25, 30 years ago.
[00:09:20.382 --> 00:09:21.803]  You were already a top broker at a big company.
[00:09:22.584 --> 00:09:33.273]  Yeah, yeah, I mean I've been doing this for a really long time, but here's where I try to connect the dots like you do, and it's like, okay, what is it that people are always going to need?
[00:09:33.293 --> 00:09:41.521]  They're going to need stability, they're going to need value, and I would encourage everybody to start redefining how you measure your wealth.
[00:09:41.621 --> 00:09:46.885]  Don't measure it in terms of paper dollars, because that erodes with inflation and everything that we're seeing.
[00:09:47.586 --> 00:09:52.769]  Start measuring your wealth in terms of how many ounces of tangible assets do you control.
[00:09:52.909 --> 00:09:54.710]  And is it in your backyard?
[00:09:54.770 --> 00:09:56.551]  I mean, do you put your fingers on it?
[00:09:57.072 --> 00:10:00.514]  Because digital ain't jack crap now, and it's going to be nothing in the future.
[00:10:00.754 --> 00:10:02.675]  Yeah, it is going to be nothing.
[00:10:02.715 --> 00:10:06.177]  And if you have something that's digital, they're going to know everything about you.
[00:10:06.197 --> 00:10:07.778]  They're going to know your spending habits.
[00:10:07.798 --> 00:10:08.818]  They're going to know your pattern.
[00:10:08.838 --> 00:10:09.259]  Blockchain.
[00:10:09.459 --> 00:10:10.399]  Your preferences.
[00:10:10.879 --> 00:10:11.700]  All of that, Alex.
[00:10:11.760 --> 00:10:13.161]  And if it's digital,
[00:10:13.701 --> 00:10:15.622]  I don't care what people say about privacy.
[00:10:16.062 --> 00:10:17.984]  With the flip of a switch, they can cut you off.
[00:10:18.064 --> 00:10:26.629]  For example, look at the people in Russia who had Bitcoin, for example, and they had their Bitcoin owned through Coinbase.
[00:10:27.089 --> 00:10:35.253]  Well, when Russia-Ukraine conflict started, Coinbase basically determined the IP addresses of those in Russia and said, okay, you're not going to be able to access your funds.
[00:10:35.574 --> 00:10:38.916]  They cut off an entire people group because of
[00:10:39.836 --> 00:10:44.017]  Including people that had Russian surnames who were even citizens in the West, in cases.
[00:10:44.277 --> 00:10:46.277]  Well, it's just bonkers.
[00:10:46.437 --> 00:10:54.299]  And so here, say, okay, well that's okay, we're at war with Russia and Putin's evil and whatever people think, but take it one step further.
[00:10:54.699 --> 00:10:56.400]  What if you're a Christian and they don't like it?
[00:10:56.480 --> 00:11:00.881]  What if you're a conservative and non-globalist and they don't like that position?
[00:11:00.901 --> 00:11:01.901]  That's the social credit score.
[00:11:01.921 --> 00:11:02.501]  That's the admitted plan.
[00:11:02.950 --> 00:11:03.930]  That is the plan.
[00:11:04.050 --> 00:11:05.470]  In their own words, that's the plan.
[00:11:05.491 --> 00:11:06.871]  It's like you say, we're not predicting.
[00:11:06.911 --> 00:11:08.131]  We're telling you what's already happening.
[00:11:08.411 --> 00:11:08.631]  Yeah.
[00:11:09.271 --> 00:11:11.952]  And I hate to take the thunder away from us, but you do that too.
[00:11:12.012 --> 00:11:12.352]  It's true.
[00:11:12.672 --> 00:11:14.692]  It's not Dr. Kirk Elliott or Alex Jones.
[00:11:14.752 --> 00:11:16.133]  This is already happening.
[00:11:16.673 --> 00:11:16.853]  Yeah.
[00:11:17.273 --> 00:11:18.993]  We're not making predictions.
[00:11:19.053 --> 00:11:25.254]  We're connecting dots and showing where this trend is headed if we don't do something about it.
[00:11:25.314 --> 00:11:28.275]  So, you know, look at
[00:11:29.619 --> 00:11:31.100]  We're good to go.
[00:11:46.485 --> 00:11:51.429]  You know decentralized blockchain, it technically is very private and they want growth.
[00:11:51.489 --> 00:11:53.270]  Why do people invest in gold and silver?
[00:11:53.750 --> 00:11:57.233]  Because it's a private transaction and because there's growth behind it.
[00:11:57.613 --> 00:12:01.236]  So philosophically both of those two are very very similar.
[00:12:02.935 --> 00:12:07.221]  They're dissimilar in the sense of one is digital, one is tangible.
[00:12:07.621 --> 00:12:10.665]  If it's digital, it can be tracked, it can be shut off.
[00:12:11.066 --> 00:12:15.351]  If you own a tangible asset, then that's the ultimate in safety.
[00:12:15.411 --> 00:12:18.615]  So as I compare the two... I want you to go into this.
[00:12:19.296 --> 00:12:20.757]  Make your point about it, then I'll make my point.
[00:12:20.817 --> 00:12:32.342]  Yeah, so if you look at the fundamentals behind crypto and gold and silver, I think the foundational pillars of why people want them, the philosophy behind it, is exactly the same.
[00:12:32.862 --> 00:12:43.107]  Now, what's different is safety and asset preservation and having something in a worst-case scenario that you can use to barter with, for example.
[00:12:43.167 --> 00:12:48.049]  Have something that's not digital, that can't be tracked, that you own, that you can take with you.
[00:12:48.749 --> 00:12:51.214]  What if there's, you know, let's take a worst case scenario.
[00:12:51.254 --> 00:12:52.837]  We're seeing solar flares right now, right?
[00:12:52.877 --> 00:12:54.660]  What if the power grid goes out?
[00:12:54.740 --> 00:13:00.451]  What if there's communication disruption and you can't access... By the way, a bunch of satellites did go out.
[00:13:01.616 --> 00:13:02.136]  That did happen.
[00:13:02.737 --> 00:13:07.840]  Yeah, I mean, those kind of things are, who knows why all this is happening?
[00:13:07.860 --> 00:13:08.680]  I mean, God knows.
[00:13:09.161 --> 00:13:11.402]  But what about an EMP blast?
[00:13:11.422 --> 00:13:12.262]  What about anything?
[00:13:12.443 --> 00:13:13.903]  Anything digital that you have?
[00:13:13.923 --> 00:13:21.148]  Sure, gold and silver to me is like family you can trust, a relationship with God, a garden, some canned foods, and gold and silver.
[00:13:21.208 --> 00:13:25.110]  And again, I don't like the fight between crypto and precious metals.
[00:13:25.150 --> 00:13:27.472]  To me, it's another space you need to cover.
[00:13:27.532 --> 00:13:29.033]  I think gold and silver is more important.
[00:13:29.929 --> 00:13:33.774]  Because it is tangible and possession is nine-tenths of the law and you've got to hold it.
[00:13:33.834 --> 00:13:36.898]  And I'm all for new systems to communicate and Bitcoin.
[00:13:36.918 --> 00:13:44.669]  I'm not for the central bank digital currencies and their own systems, but the attacks by the Bitcoin people against gold and silver is just stupid.
[00:13:44.689 --> 00:13:47.553]  And I can tell you behind the scenes the folks that are in that are buying gold and silver.
[00:13:47.993 --> 00:13:52.334]  So, I mean, it's really just a box people need to check.
[00:13:52.554 --> 00:13:56.275]  And people say, well, how are you going to take a piece of silver or gold into a grocery store?
[00:13:56.596 --> 00:14:06.358]  No, when they're devaluing the currency, and everyone wants gold and silver, you can cash it in at that point for whatever inflation is, and gold will meet that, or silver will surpass that.
[00:14:06.658 --> 00:14:08.539]  So it's only a way to basically insure, in my view.
[00:14:08.839 --> 00:14:11.020]  I don't even see it as an investment, though it is a good one overall.
[00:14:11.340 --> 00:14:13.460]  I see it as just another emergency hedge.
[00:14:13.701 --> 00:14:14.981]  People recognize gold and silver.
[00:14:15.541 --> 00:14:21.107]  It's an insurance policy against a collapsing currency, against an inflated currency, against everything.
[00:14:21.407 --> 00:14:29.575]  To me, gold, Alex, is the perfect barometer of people distrusting the government.
[00:14:30.036 --> 00:14:32.558]  So, for example, you look back to the Reagan years.
[00:14:33.679 --> 00:14:35.181]  What happened during the Reagan years?
[00:14:35.741 --> 00:14:41.805]  Interest rates came down, jobs were created, taxes came down, the Cold War was over, the Berlin Wall came down.
[00:14:42.365 --> 00:14:49.409]  Remember Newt Gingrich had this contract with America and Democrats and Republicans were actually talking and cutting deals together.
[00:14:49.790 --> 00:14:52.031]  It was like a fat and happy time for America.
[00:14:52.071 --> 00:14:54.953]  So therefore, what did gold do during that
[00:14:55.513 --> 00:14:56.293]  Really, 20 years.
[00:14:56.333 --> 00:15:03.155]  From 1982 until about 2002, it went from $250 an ounce to $258.
[00:15:03.335 --> 00:15:06.616]  It went up $8 in 20 years.
[00:15:06.856 --> 00:15:11.157]  That's nothing, but everything else was smooth sailing in America.
[00:15:11.177 --> 00:15:13.377]  It was almost like a renaissance for America.
[00:15:13.397 --> 00:15:14.118]  It was so good.
[00:15:14.598 --> 00:15:17.938]  But now, we can't say that the same is true right now.
[00:15:18.539 --> 00:15:19.999]  Everything is falling apart.
[00:15:20.019 --> 00:15:23.900]  We've got the opposite, and now we've got something even worse.
[00:15:24.440 --> 00:15:25.900]  Which we didn't have back then.
[00:15:25.940 --> 00:15:28.581]  We haven't had this actually ever.
[00:15:29.001 --> 00:15:34.603]  And that is the BRICS nations, Alex, are taking over global monetary dominance.
[00:15:34.663 --> 00:15:37.644]  They've dismantled the petrodollar.
[00:15:38.144 --> 00:15:42.065]  And so now there's really no international demand for the US dollar.
[00:15:42.425 --> 00:15:44.966]  And therefore, every dollar that we print
[00:15:45.626 --> 00:15:45.967]  Is it?
[00:16:02.507 --> 00:16:09.390]  Martin Armstrong, an amazing forecaster, he does, you know, social forecasting, political, economic, all of that.
[00:16:09.950 --> 00:16:15.653]  He now says that we're in a wartime economy and these things don't end anytime real soon.
[00:16:16.193 --> 00:16:20.475]  And so when you're in a wartime economy, people start to act out of fear.
[00:16:20.955 --> 00:16:23.196]  People start to make different decisions.
[00:16:23.816 --> 00:16:27.357]  And this is where I look at these trends as well.
[00:16:27.918 --> 00:16:28.018]  And
[00:16:28.718 --> 00:16:44.304]  What is going to happen when central bank digital currency comes and hits the mainstream, which is probably going to happen, Alex, as soon as September of this year, because the United Nations is meeting at their UN pact for the future.
[00:16:44.344 --> 00:16:46.085]  Oh, the EU said last year it's coming out this year.
[00:16:46.505 --> 00:17:01.589]  Yeah, and so I would say just because they're announcing that they're ready, World Economic Forum has said that 98% of the world is actually ready for central bank digital currency, doesn't mean that on day one all of these countries are going to be implementing it.
[00:17:01.609 --> 00:17:03.210]  Well, I played the clip from Davos last week.
[00:17:03.470 --> 00:17:07.811]  The central bankers said, we're not going to call it CBDC, we're just rolling it out.
[00:17:09.032 --> 00:17:18.316]  They're taking the CBD part, the Central Bank Digital part out of it and just calling it currency to make it mainstream so there's going to be broader acceptance.
[00:17:18.736 --> 00:17:23.057]  But that announcement is going to be made in September with the UN and their meeting in China.
[00:17:23.478 --> 00:17:31.781]  But probably within 12 months after that, you should see, I would say, almost full adoption of Central Bank Digital.
[00:17:31.801 --> 00:17:33.021]  And won't they need a crisis?
[00:17:33.061 --> 00:17:34.822]  They've said this themselves to get this through.
[00:17:35.711 --> 00:17:35.951]  Yes.
[00:17:36.471 --> 00:17:50.477]  I mean, every time you have a public policy change in things, a change in the economy, a change in currency, you have to take either incremental steps for people to accept it, or something that's massive.
[00:17:50.897 --> 00:18:00.240]  Just in your face, things change, and people out of fear say, please- A cyber attack, a new virus, a bigger war, burning down the country.
[00:18:00.280 --> 00:18:01.981]  The Democrats said they're going to do that if Trump gets reelected.
[00:18:02.001 --> 00:18:02.981]  We're 170-something days out, folks.
[00:18:04.602 --> 00:18:05.522]  Yeah, or bank failure.
[00:18:05.542 --> 00:18:07.723]  I mean, all of those things could add into that.
[00:18:07.883 --> 00:18:09.184]  Oh, bank failure, you're right.
[00:18:09.224 --> 00:18:10.204]  That's the big one.
[00:18:10.384 --> 00:18:11.045]  You're betting on that.
[00:18:11.465 --> 00:18:14.426]  I'm betting on that, and I think, well, I wish it wouldn't happen.
[00:18:14.446 --> 00:18:15.286]  No, no, but I mean, you're betting.
[00:18:15.507 --> 00:18:17.948]  Yeah, I'm guessing that that is going to happen.
[00:18:17.968 --> 00:18:19.688]  We're going to see a lot of bank failures this year.
[00:18:19.768 --> 00:18:25.471]  I think the Republic First Bank in Philly was the first one, and there's going to be many more that follow.
[00:18:25.511 --> 00:18:26.871]  So what's going to happen, Alex, is
[00:18:29.152 --> 00:18:44.957]  The governments, the central banks of this world, in combination with the governments, are going to start demonizing all other decentralized blockchain cryptocurrencies because they are private, but they're going to want something that's centralized, that's not private.
[00:18:44.977 --> 00:18:48.078]  Sure, so they're going to go after Bitcoin, they're going to go after gold and silver, everything.
[00:18:48.098 --> 00:18:48.538]  Yeah.
[00:18:48.558 --> 00:18:53.660]  But the difference is they're going to go after the people supplying it, they're going to cut it off at the head, they're not going to try to confiscate it because it's only 2% or less.
[00:18:54.440 --> 00:19:04.950]  Yeah, if I were an evil politician, I wouldn't waste any time on trying to confiscate something that only 0.9% of the population owns like silver, or 2% of the population owns gold.
[00:19:05.430 --> 00:19:07.592]  I mean, Alex, if you were an evil politician,
[00:19:08.755 --> 00:19:10.076]  I would go after the masses.
[00:19:10.116 --> 00:19:11.476]  Oh, we're shutting down these corrupt people.
[00:19:11.857 --> 00:19:13.277]  They'll use a few bad apples to do it.
[00:19:13.477 --> 00:19:18.260]  Yeah, they'll do that to change how it's defined, to change what's legal and what's not legal.
[00:19:18.660 --> 00:19:20.241]  But they're going to go after the masses.
[00:19:20.481 --> 00:19:31.586]  If they want money because they're running out, I would go after the 98% of the population that has brokerage accounts, checking accounts, savings accounts, where it's low-lying.
[00:19:31.686 --> 00:19:32.627]  And that's called a bail-in.
[00:19:33.007 --> 00:19:36.712]  That's a bail-in and they've already legislated that Dodd-Frank bill under Obama.
[00:19:37.052 --> 00:19:38.674]  They've already legislated bail-in.
[00:19:38.694 --> 00:19:40.717]  This is not a dystopian future.
[00:19:40.757 --> 00:19:42.479]  This is not something that we're predicting.
[00:19:42.539 --> 00:19:43.580]  It's already here right now.
[00:19:44.121 --> 00:19:48.747]  All they need is the appropriate crisis, the government running out of money where they can institute a bail-in.
[00:19:49.228 --> 00:19:51.050]  So that is coming.
[00:19:52.759 --> 00:20:07.633]  Here's where I think we're on the precipice of a global tectonic shift in philosophy, in how our economy is run, how our government is run.
[00:20:08.354 --> 00:20:16.723]  And so, there was a Scottish historian from the late 1700s named Alexander Tytler.
[00:20:16.803 --> 00:20:21.267]  So, I'm going to go over his cycle of democracy.
[00:20:21.307 --> 00:20:25.752]  Now, for everybody watching, I'm not saying that we're in a democracy.
[00:20:26.233 --> 00:20:27.834]  We have a republic.
[00:20:27.974 --> 00:20:28.555]  It's different.
[00:20:28.895 --> 00:20:30.217]  But listen to this trend.
[00:20:31.704 --> 00:20:39.373]  Yes, the trend is going to hold very true, and as we go through these steps, you're going to see how this plays out.
[00:20:39.433 --> 00:20:42.457]  So again, Alexander Tytler, Scottish historian from the late 1700s, he said,
[00:20:44.781 --> 00:20:48.063]  A democracy cannot exist as a permanent form of government.
[00:20:48.543 --> 00:20:54.026]  It can only exist until the voters discover that they can vote themselves largesse from the public treasury.
[00:20:54.686 --> 00:21:07.713]  From that moment on, the majority always votes for the candidates promising the most benefits from the public treasury, with the result that a democracy always collapses over loose fiscal policy, always followed by a dictatorship.
[00:21:08.234 --> 00:21:10.635]  So, as we're thinking about this, it's like,
[00:21:11.752 --> 00:21:13.532]  Dang, that's actually true.
[00:21:13.913 --> 00:21:20.514]  We're voting for people who are going to promise the most things, whether it's free healthcare, free this, whatever.
[00:21:20.774 --> 00:21:23.035]  People vote for politicians that give them stuff.
[00:21:23.795 --> 00:21:28.957]  So, the average age of the world's greatest civilizations has been 200 years.
[00:21:29.417 --> 00:21:29.997]  That's the average.
[00:21:30.037 --> 00:21:31.858]  So, when did we start as a nation? 1776.
[00:21:34.039 --> 00:21:42.287]  1876, 1976.
[00:21:36.862 --> 00:21:42.287]  So you're looking at 250 years into this experiment called America.
[00:21:42.408 --> 00:21:43.809]  And there's a fourth turning happening.
[00:21:44.109 --> 00:21:44.770]  Fourth turning?
[00:21:44.930 --> 00:21:46.692]  I mean, Neil Howe's book was incredible.
[00:21:46.712 --> 00:21:48.514]  It's all these megatrends are coming together now.
[00:21:48.855 --> 00:21:49.335]  All of them.
[00:21:49.395 --> 00:21:51.357]  It's like the convergence of a perfect storm.
[00:21:51.718 --> 00:21:53.319]  So listen to this cycle, though.
[00:21:53.359 --> 00:21:54.521]  It's a mega realignment.
[00:21:55.499 --> 00:21:55.900]  Mega.
[00:21:56.100 --> 00:22:00.804]  And they know it is so that we're trying to make it a better future, they're trying to twist it when it's all liquid.
[00:22:00.824 --> 00:22:08.471]  They describe it, the historians do, different ways, but it's like it's hard for 60, 70, 80, 90 years, and then a liquefaction happens for maybe 4, 5, 10 years.
[00:22:09.593 --> 00:22:11.935]  But now everything's accelerated so maybe it's six months.
[00:22:13.016 --> 00:22:17.300]  As Lennon said, there are decades when nothing happens and there are weeks when decades happen.
[00:22:18.567 --> 00:22:20.150]  I mean, how true is that statement?
[00:22:20.731 --> 00:22:22.935]  With technology, everything is advancing.
[00:22:23.115 --> 00:22:25.639]  Knowledge is doubling at a very rapid clip.
[00:22:27.280 --> 00:22:31.063]  The cycle of democracy, the nations progress through a sequence.
[00:22:31.763 --> 00:22:37.307]  They go, and let's use America as the example here, because I think it'll give a great understanding to this.
