[00:00:00.229 --> 00:00:05.656]  Robert F. Kennedy gave one of the most powerful and historic speeches I've ever seen.
[00:10:38.996 --> 00:10:52.087]  Thank God for this, and thank God for working through all of you, for your support of Trump and Kennedy and Infowars, because, you know, it goes Trump, Musk, Kennedy, and then, you know, Rogan, and Tucker Carlson, and then Alex Jones.
[00:10:52.187 --> 00:11:01.575]  I mean, and I'm not trying to be at the top of this, because it's so dangerous to be there, but I'm right there at the upper echelon of the top people the globalists hate, because we understand their operation and how to stop them.
[00:11:02.336 --> 00:11:04.937]  And so that's why your support of InfoWars is so critical.
[00:11:04.977 --> 00:11:06.217]  Follow us on expertalexjones.
[00:11:06.597 --> 00:11:07.477]  But this is amazing.
[00:11:08.517 --> 00:11:10.998]  We've got so many clips posted at InfoWars, a manned up video.
[00:11:11.058 --> 00:11:11.478]  Share them.
[00:11:11.898 --> 00:11:12.938]  Share the clips of the speech.
[00:11:13.078 --> 00:11:14.198]  Post your own clips of the speech.
[00:11:14.698 --> 00:11:16.379]  And this is just an amazing time to be alive.
[00:11:16.399 --> 00:11:17.519]  There's not just evil in the universe.
[00:11:17.759 --> 00:11:18.439]  There's good as well.
[00:11:18.479 --> 00:11:20.959]  And we're going to save the children and our future together.
[00:11:21.280 --> 00:11:22.200]  God bless you all.
[00:11:22.260 --> 00:11:23.700]  And again, thank you for everything you've done.
[00:11:23.960 --> 00:11:25.100]  I love you all from the bottom of my heart.
[00:11:25.500 --> 00:11:28.721]  Robert F. Kennedy Jr., you just went from amazing in my book to just
[00:11:29.201 --> 00:11:32.203]  Top of the line, spectacular, as good as it gets.
[00:11:32.283 --> 00:11:38.527]  And I'll say the heartfeltness and the decency and everything he said, you know, top Trump's best speeches.
[00:11:38.587 --> 00:11:39.387]  It's not a competition.
[00:11:39.707 --> 00:11:44.390]  I'm just saying this was world-class, authentic, maverick, vanguard for humanity.
[00:11:44.630 --> 00:11:45.531]  This was Team Humanity.
[00:11:45.691 --> 00:11:47.092]  So we salute you, Robert F. Kennedy Jr.
[00:11:47.592 --> 00:11:55.497]  The chronic disease crisis was one of the primary reasons for my running for president, along with ending the censorship in the Ukraine war.
[00:11:56.573 --> 00:12:04.315]  It's the reason I've made the heart-wrenching decision to suspend my campaign and to support President Trump.
[00:12:04.635 --> 00:12:12.337]  This decision is agonizing for me because of the difficulties it causes my wife and my children and my friends.
[00:12:13.097 --> 00:12:16.378]  But I have the certainty that this is what I'm meant to do.
[00:12:17.318 --> 00:12:22.440]  And that certainty gives me internal peace, even in storms.
[00:12:24.514 --> 00:12:35.699]  If I'm given the chance to fix the chronic disease crisis and reform our food production, I promise that within two years, we will watch chronic disease burden lift dramatically.
[00:12:36.819 --> 00:12:38.540]  We will make Americans healthy again.
[00:12:39.360 --> 00:12:42.082]  Within four years, America will be a healthy country.
[00:12:43.082 --> 00:12:47.904]  We will be stronger, more resilient, more optimistic, and happier.
[00:12:48.724 --> 00:12:50.065]  I won't fail in doing this.
[00:12:50.625 --> 00:12:52.066]  Ultimately, the future
[00:12:52.594 --> 00:12:59.257]  However it happens is in God's hands and in the hands of the American voters and those of President Trump.
[00:13:00.598 --> 00:13:10.022]  If President Trump is elected and honors his word, the vast burden of chronic disease that now demoralizes and bankrupts the country will disappear.
[00:13:11.362 --> 00:13:13.103]  This is a spiritual journey for me.
[00:13:14.324 --> 00:13:19.846]  I reached my decision through deep prayer, through hard-nosed logic, and I asked myself
[00:13:21.004 --> 00:13:28.267]  What choices must I make to maximize my chances to save America's children and restore national health?
[00:13:29.467 --> 00:13:41.071]  I felt that if I refused this opportunity, I would not be able to look myself in the mirror, knowing that I could have saved lives of countless children and reversed this country's chronic disease epidemic.
[00:13:42.371 --> 00:13:43.492]  I'm 70 years old.
[00:13:43.512 --> 00:13:46.973]  I may have a decade to be effective.
[00:13:48.226 --> 00:13:56.872]  I can't imagine that President Harris would allow me or anyone to solve these dire problems.
[00:13:57.492 --> 00:14:04.277]  After 8 years of President Harris, any opportunity for me to fix the problem will be out of my reach forever.
[00:14:05.137 --> 00:14:08.720]  President Trump has told me that he wants this to be his legacy.
[00:14:09.820 --> 00:14:12.482]  I'm choosing to believe that this time he will follow through.
[00:14:18.968 --> 00:14:20.309]  All support this objective.
[00:14:21.390 --> 00:14:32.657]  My joining the Trump campaign will be a difficult sacrifice for my wife and children, but worthwhile if there's even a small chance of saving these kids.
[00:14:33.757 --> 00:14:44.664]  Ultimately, the only thing that will save our country and our children is if we choose to love our kids more than we hate each other.
[00:14:46.138 --> 00:14:49.940]  That's why I launched my campaign to unify America.
[00:14:50.620 --> 00:15:12.869]  My dad and uncle made such an enduring mark on the character of our nation, not so much because of any particular policies that they promoted, but because they were able to inspire profound love for our country and to fortify our sense of ourselves as a national community held together by ideals.
[00:15:13.629 --> 00:15:40.597]  They were able to put their love into the intentions and hearts of ordinary Americans and to unify a national populist movement of Americans, blacks and whites, Hispanics, urban and rural Americans, inspired affection and love and high hopes and a culture of kindness that continued to radiate among Americans from their memory.
[00:15:41.823 --> 00:15:48.049]  That's the spirit on which I ran my campaign and that I intend to bring into the campaign of President Trump.
[00:15:49.370 --> 00:15:53.794]  Instead of vitriol and polarization, I will appeal to the values that unite us.
[00:15:54.854 --> 00:15:59.058]  The goals that we could achieve if only we weren't at each other's throats.
[00:16:00.059 --> 00:16:05.864]  The most unifying theme for all Americans is that we all love our children.
[00:16:06.845 --> 00:16:08.987]  If we all unite around that issue now,
[00:16:10.086 --> 00:16:15.407]  We can finally give them the protection, the health, and the future that they deserve.
[00:16:16.287 --> 00:16:17.387]  Thank you all very much.
[00:16:30.249 --> 00:16:31.830]  Please support us at InfoWarsTore.com.
[00:16:31.850 --> 00:16:33.030]  The new Bulletproof T-shirt's out.
[00:16:33.410 --> 00:16:34.050]  We need the support.
[00:16:34.070 --> 00:16:34.810]  It's an amazing shirt.
[00:16:34.830 --> 00:16:35.410]  Support InfoWars.
[00:16:35.430 --> 00:16:36.330]  We support Trump.
[00:16:36.350 --> 00:16:39.271]  Get the new Bulletproof President Trump shirt at InfoWarsTore.com.
[00:16:39.291 --> 00:16:39.791]  We'll be back.
[00:16:42.765 --> 00:16:45.006]  And raise your hand if you know what Event 201 was.
[00:16:46.627 --> 00:17:00.252]  Okay, for those of you who don't know, Event 201 was a pandemic simulation, a coronavirus pandemic simulation, in New York City, hosted by Bill Gates.
[00:17:01.551 --> 00:17:10.315]  And Avril Haines, the former deputy director of the CIA, who did all of the Guantanamo Bay cover-up.
[00:17:10.355 --> 00:17:11.876]  She is like the cover-up queen.
[00:17:12.436 --> 00:17:20.440]  They were working on ways to use the coronavirus pandemic as a pretense for clamping down totalitarian controls globally.
[00:17:21.641 --> 00:17:25.563]  George Gao and Avril Haines from the CIA
[00:17:27.340 --> 00:17:35.023]  They have a soliloquy about how do we clamp down and stop people from saying, this came from a lab leak.
[00:17:36.264 --> 00:17:41.046]  And they say, well, we got to get the social media companies to censor them and de-platform them and all this.
[00:17:42.066 --> 00:17:44.427]  You can go on YouTube and watch this tonight.
[00:17:44.667 --> 00:17:48.049]  It's called Event 201, and this is the fourth section of it.
[00:17:48.929 --> 00:17:54.371]  But then I started doing a deep dive when I was writing the book, and I found out that was not a one-off.
[00:17:54.451 --> 00:17:56.632]  And I describe in that book, I found
[00:17:57.429 --> 00:18:01.432]  About 20 of these that they had been doing since 2001.
[00:18:03.073 --> 00:18:06.555]  And they're all scripted by the CIA.
[00:18:06.575 --> 00:18:15.381]  And all of them include top-level officials like James Woolsey, the Deputy Director of the CIA, Taro Tull.
[00:18:16.302 --> 00:18:18.824]  All of them have senior CIA officials.
[00:18:19.524 --> 00:18:24.708]  Many of them have famous people who kind of give an imprimatur of legitimacy to what they're doing.
[00:18:25.595 --> 00:18:30.316]  Like Madeleine Albright or Tom Daschle or, you know, Bill Gates and a lot of them.
[00:18:30.856 --> 00:18:34.597]  And Gro Bruntman from the, you know, from the WHO.
[00:18:35.137 --> 00:18:41.158]  They end up drilling, each one of them is drilling the imposition of totalitarian controls.
[00:18:41.198 --> 00:18:52.240]  They're collectively, they have names like Dark Winter and Crimson Contagion and all these weird names, but collectively they're called Operation Lockstep.
