[00:00:00.000 --> 00:00:04.339]  As predicted, the Democrats are bringing back mask mandates.
[00:04:53.220 --> 00:05:06.620]  They have now introduced a lawsuit against me where they literally claim they own my name, my social media, and me personally in violation of the 13th Amendment that we fought the Civil War over.
[00:05:06.800 --> 00:05:11.420]  They're actually saying I'm an indentured servant, that I am a slave.
[00:05:11.970 --> 00:05:14.350]  Ladies and gentlemen, I'm always the canary in the coal mine.
[00:05:14.529 --> 00:05:15.850]  I am the test case.
[00:05:15.970 --> 00:05:18.250]  When they get through me, they're coming after you.
[00:05:23.980 --> 00:05:25.579]  They're not just saying they own me.
[00:05:25.819 --> 00:05:42.899]  They've also filed in federal court and also in the state court saying they own the name Alex Jones and that they own real Alex Jones on X. Now, the courts have all said you can't do things like that, but they're trying it, and if I don't aggressively battle them in the state and federal court,
[00:05:43.199 --> 00:05:48.740]  they will get a win if I don't challenge it, and then they'll be able to use that tactic on you as well.
[00:05:50.370 --> 00:05:56.649]  And in the words of President Trump, when that bullet grazed his ear, defiantly rising up and saying, fight, fight, fight.
[00:05:57.230 --> 00:06:00.649]  That's how we fight in the information war, winning hearts and minds.
[00:06:00.790 --> 00:06:03.870]  And we're unstoppable if you simply decide to take action.
[00:06:04.089 --> 00:06:11.550]  So for all your word of mouth, all your prayers, and all your support over the years, I salute all of you and remind you that you are the Paul Revere's.
[00:06:11.649 --> 00:06:12.810]  You are the resistance.
[00:06:13.170 --> 00:06:14.610]  You are the people.
[00:06:14.939 --> 00:06:23.839]  And I am so proud to have been working with all of you through the years, and now the fight is entering the most intense part of the phase, so let's redouble our efforts and let's win this thing!
[00:06:24.079 --> 00:06:26.259]  Or we can roll over and be slaves to the New World Order.
[00:06:26.620 --> 00:06:28.139]  As for me, I'll quote Patrick Henry.
[00:06:28.360 --> 00:06:29.740]  Give me liberty or give me death.
[00:06:29.920 --> 00:06:31.500]  And I'll quote Colonel Travis the Alamo.
[00:06:31.879 --> 00:06:33.079]  Victory or death!
[00:06:36.459 --> 00:06:38.600]  RealAxShones.com. TheAxShonesStore.com.
[00:06:38.800 --> 00:06:40.160]  Back me and I'll never surrender.
[00:06:45.120 --> 00:06:47.160]  People should not be walking around with masks.
[00:06:47.439 --> 00:06:50.620]  Let me just state for the record that masks are not theater.
[00:06:51.339 --> 00:06:54.420]  Wearing a mask might make people feel a little bit better.
[00:06:54.579 --> 00:06:55.740]  Masks are protective.
[00:06:56.300 --> 00:07:00.199]  But it's not providing the perfect protection that people think that it is.
[00:07:00.360 --> 00:07:08.600]  There has not been any indication that putting a mask on and wearing a mask for a considerable period of time has any deleterious effects.
[00:07:08.839 --> 00:07:10.899]  There are unintended consequences.
[00:07:11.100 --> 00:07:13.759]  People keep fiddling with the mask and they keep touching their face.
[00:07:14.110 --> 00:07:17.050]  And can you get some schmutz sort of staying inside there?
[00:07:17.370 --> 00:07:22.509]  Of course. You do not need to wear a mask indoors if, in fact, you've been vaccinated.
[00:07:22.670 --> 00:07:28.829]  Good that you're vaccinated, but in a situation where you have people indoors, particularly crowded, you should wear a mask.
[00:07:29.189 --> 00:07:32.329]  So even if you are vaccinated, you should wear a mask.
[00:07:32.329 --> 00:07:39.089]  If, in fact, you are vaccinated, fully vaccinated, you are protected, and you do not need to wear a mask outdoors or indoors.
[00:07:39.370 --> 00:07:43.910]  When the children go out into the community, you want them to continue to wear masks.
[00:07:44.050 --> 00:07:52.850]  You know, if you look at children outside, particularly when they're with the family, walking down the street, playing a game or what have you, don't have to wear a mask.
[00:07:53.110 --> 00:08:01.230]  The pediatric, the Academy of Pediatrics actually makes that recommendation that children should be wearing masks from two years old.
[00:08:01.420 --> 00:08:08.939]  Onward. And you're asking now, if your child is a member of your household, can you walk outdoors with your child without a mask?
[00:08:09.220 --> 00:08:11.860]  According to that chart, the answer is yes.
[00:08:12.060 --> 00:08:14.459]  But the child can't, not to beat it to death.
[00:08:14.959 --> 00:08:19.000]  Yes, yes. Because now the CDC says, I mean, I think I've got this right.
[00:08:19.240 --> 00:08:21.319]  One mask is better than zero masks.
[00:08:21.519 --> 00:08:23.500]  Two masks is better than one mask.
[00:08:23.579 --> 00:08:25.500]  But you don't have to have double masks.
[00:08:25.800 --> 00:08:27.060]  Is that right? I mean...
[00:08:27.259 --> 00:08:34.179]  It became clear that cloth coverings that you didn't have to buy in a store that you could make yourself were adequate.
[00:08:34.700 --> 00:08:36.120]  And then you want it to fit better.
[00:08:36.340 --> 00:08:48.059]  So one of the ways you could do it if you would like to is put a cloth mask over, which actually here and here and here where you could get leakage in is much better contained.
[00:08:48.340 --> 00:08:49.700]  Are you a double masker, Dr.
[00:08:49.860 --> 00:08:51.259]  Fauci? Look like you are.
[00:08:51.559 --> 00:08:55.759]  Scientific studies before this pandemic I've shown that low-cost masks.
[00:08:55.899 --> 00:08:59.259]  So we're talking about surgical masks and the cough masks we're wearing.
[00:08:59.440 --> 00:09:05.120]  These low-cost masks have pore sizes that range between 80 and 500 microns in size.
[00:09:05.259 --> 00:09:08.460]  So a huge range, right? The diameter of the virus is one micron.
[00:09:08.860 --> 00:09:17.360]  The largest possible small droplet that provides a typical aerosol and two viral particles is 62 microns in diameter.
[00:09:17.580 --> 00:09:18.600]  So let's talk about that in perspective.
[00:09:18.820 --> 00:09:20.759]  The smallest pore size is 80.
[00:09:21.190 --> 00:09:25.570]  So that means the largest droplet coated with the virus can pass right through.
[00:09:25.850 --> 00:09:31.429]  You can find masks, you're three-ply surgical masks, so 15 layers, and you're going to seal it around the mouth.
[00:09:31.649 --> 00:09:34.549]  If this is true, the ear cells come through, then this should fog up.
[00:09:34.950 --> 00:09:36.190]  We'll see. Masks.
[00:09:36.389 --> 00:09:43.389]  They had appeared to be a thing of the past, but have you noticed more and more people are covering up as we get deeper into the holiday season?
[00:09:43.509 --> 00:09:49.389]  Coming off Thanksgiving and more people getting sick in general, masks seem to be on a comeback.
[00:09:49.950 --> 00:09:52.659]  These are fogs. Now, watch this.
[00:09:53.259 --> 00:09:55.860]  I made a cross. Can you see my eyes through that cross?
[00:09:57.299 --> 00:09:59.759]  There's so much moisture there that you can see.
[00:09:59.860 --> 00:10:02.320]  Look at that cross pattern. There's so much moisture there.
[00:10:03.159 --> 00:10:05.740]  So, I'm not going to say any more, right?
[00:10:06.139 --> 00:10:07.480]  All I'm saying, I just went with the science.
[00:10:08.730 --> 00:10:12.970]  This is crazy. With a lot of people, I try to wear a mask because it's kind of...
[00:10:12.970 --> 00:10:15.330]  I don't like it. I don't enjoy it, but I don't want to get sick.
[00:10:15.590 --> 00:10:20.889]  I was ready to stop wearing this one until that new strain came out, the one with the strange name.
[00:10:21.129 --> 00:10:24.789]  Dr. Shira Durone is the epidemiologist at Tufts Medical Center.
[00:10:25.190 --> 00:10:29.370]  She says there is an uptick in COVID and all respiratory viruses.
[00:10:29.870 --> 00:10:34.190]  Dr. Durone says masks have now become an important tool for staying healthy.
[00:10:34.529 --> 00:10:41.210]  What we have learned from the pandemic is that people can choose to protect themselves with a high quality well-fitting mask.
