[00:00:00.349 --> 00:00:03.210]  Your cell phone isn't just watching and listening to you.
[00:05:59.250 --> 00:06:09.995]  And when they roll out the next viral scare, whether it's bird flu or something else, the UN Treaty openly states they're going to lock us in our houses and turn off our cars and turn off our phones if we don't submit.
[00:06:10.335 --> 00:06:12.576]  Australia is the test case and it's happening now.
[00:06:12.976 --> 00:06:17.198]  If you want to live like the communist Chinese slaves in China, you're about to be living like them.
[00:06:17.458 --> 00:06:20.540]  I've had so many people I've talked to about, they said, I was talking to my wife
[00:06:46.641 --> 00:06:47.161]  We're good to go!
[00:07:01.178 --> 00:07:07.920]  Yeah, given what happens in healthy bedrooms, that's, I mean, what happens to those recordings?
[00:07:08.740 --> 00:07:19.824]  Well, we've been doing a study following our device, a Google mobile services phone, any Android running Google mobile services, which is all of them, or an iPhone.
[00:07:20.824 --> 00:07:25.346]  And about 3am, we're seeing a spike of data leaving the phone.
[00:07:26.650 --> 00:07:37.782]  But 50 megabytes, that is basically that phone dialing home to the mothership, exporting all of your goings on, all your pillow talk is going to pillow talk, whatever, right?
[00:07:37.802 --> 00:07:42.046]  It's so Zuckerberg paid $20 billion for WhatsApp.
[00:07:42.990 --> 00:07:43.290]  Why?
[00:07:43.951 --> 00:07:52.118]  Because every message, call, video, picture, voice note, everything that goes through there, they say, well, it's end-to-end encrypted.
[00:07:52.759 --> 00:08:04.029]  Yeah, it's end-to-end until it passes through their server where it's sliced and diced and analyzed and used to push, used to sell advertising to that customer.
[00:08:04.089 --> 00:08:08.092]  If you're not paying for something, you're not the customer, you are the product.
[00:08:09.213 --> 00:08:26.288]  So if you want to get, well, I think people, people right now are used to Mark Zuckerberg listening from their nightstand every night, because that's effectively what, what your phone... So why isn't he like the creepiest person in world history if he's listening to what's going on in your bedroom?
[00:08:26.508 --> 00:08:30.131]  Because they're able, as Big Tech, to shape that message.
[00:08:30.631 --> 00:08:43.360]  That's the frightening thing about the power of Big Tech and their ability to influence what you watch, what you think about candidates, if you search something, how they score those rankings.
[00:08:44.381 --> 00:08:45.964]  It is shocking.
[00:08:46.044 --> 00:08:54.758]  We have an antitrust problem here in America, vastly worse than in the late 1800s, early 1900s with oil and railways and steel and all the rest.
[00:08:55.039 --> 00:08:57.783]  Yeah, this is not the sugar trust.
[00:08:57.943 --> 00:08:58.845]  This is more important.
[00:09:00.430 --> 00:09:18.700]  Yeah, this is literally how we communicate, interact with other human beings in our lives, how we gather and share information about the realities of life, of food, of medicine, of vaccines, of healthcare issues, of truth.
[00:09:18.980 --> 00:09:20.961]  And so it's, and especially in an era of AI,
[00:09:22.597 --> 00:09:23.378]  It's scary stuff.
[00:09:23.438 --> 00:09:32.386]  The average kid in America by the time they reach the age of 13 has had 72 million data points collected on them by big tech.
[00:09:34.507 --> 00:09:40.693]  So it's almost like that much collection allows digital grooming.
[00:09:42.165 --> 00:09:47.970]  By big tech to to share and to shape your preferences, how you interact, etc.
[00:09:47.990 --> 00:09:49.152]  Your sexual preferences.
[00:09:49.172 --> 00:09:50.593]  I mean, if you're being honest here.
[00:09:50.633 --> 00:09:51.414]  Yeah, exactly.
[00:09:51.494 --> 00:09:54.937]  Considering that young people are introduced to sexuality through pornography.
[00:09:54.957 --> 00:09:55.798]  Yep.
[00:09:56.378 --> 00:09:57.299]  Yeah.
[00:09:58.640 --> 00:10:01.063]  Given that there's no privacy, it's probably pretty dumb to watch porn.
[00:10:02.190 --> 00:10:04.452]  Again, this has been going on for decades.
[00:10:04.552 --> 00:10:05.753]  It's getting worse by the day.
[00:10:05.913 --> 00:10:07.074]  It's all completely illegal.
[00:10:07.455 --> 00:10:08.356]  Congress must act.
[00:10:08.596 --> 00:10:09.597]  The governors must act.
[00:10:09.817 --> 00:10:10.998]  The legislatures must act.
[00:10:11.238 --> 00:10:17.424]  The Senate Attorney Generals must act now, because this is a big tech private intelligence agency takeover of the world.
[00:10:17.624 --> 00:10:20.707]  We'll be reporting more on this, edX, at Real Alex Jones.
[00:10:20.847 --> 00:10:21.547]  Please follow me there.
[00:10:23.829 --> 00:10:27.473]  HSBC and JPMorgan Chase.
[00:10:28.178 --> 00:10:30.980]  So, you look at what do they do?
[00:10:31.060 --> 00:10:33.481]  What are they the biggest banks in the world of?
[00:10:34.182 --> 00:10:40.666]  Those two are number one and number two largest short sellers of silver on the planet.
[00:10:41.106 --> 00:10:41.847]  Those two banks.
[00:10:42.407 --> 00:10:47.070]  And now we're starting to see a short squeeze happening in silver.
[00:10:47.510 --> 00:10:54.515]  But we had 568 million ounces of silver being shorted, naked shorts.
[00:10:54.915 --> 00:10:56.296]  Meaning they don't own the assets.
[00:10:56.677 --> 00:11:01.700]  They just put these futures contracts on them to shorts to drive the price down.
[00:11:02.141 --> 00:11:16.192]  Well, when you have a short position and the value of the underlying thing that you're shorting goes up, Alex, you lose money hand over fist in multiples, not dollar for dollar, but multiples.
[00:11:16.632 --> 00:11:22.016]  The day before Iran basically sent those drones into Israel,
[00:11:24.471 --> 00:11:30.017]  China made this announcement, said, hey, everybody in China, start buying silver.
[00:11:30.558 --> 00:11:31.859]  Don't just buy gold.
[00:11:32.279 --> 00:11:33.160]  Buy silver.
[00:11:33.441 --> 00:11:38.266]  You made the point that China was trying to call the naked shorts of the Western Central Banks.
[00:11:38.806 --> 00:11:41.629]  Look at what's happened to silver since that time.
[00:11:42.410 --> 00:11:43.331]  Skyrocketing!
[00:11:43.811 --> 00:12:05.287]  You've got low supply, you've got high demand, you've got a short squeeze starting where the manufacturers of the world, the defense contractors, the aerospace industry, the fuel cell technology people, the solar people, they all need silver and there's not much available because India has already committed to 66% of the world's supply this year.
[00:12:05.327 --> 00:12:08.009]  So here's where we've got this short squeeze happening.
[00:12:08.189 --> 00:12:11.011]  Physical supply coming out of inventory,
[00:12:11.471 --> 00:12:14.674]  Not available for the manufacturers to purchase.
[00:12:15.274 --> 00:12:20.458]  And what has happened to the price of silver in the last two and a half months?
[00:12:21.239 --> 00:12:27.504]  Literally, the last 75 days or so, silver's gone from 22 and a half to almost 32.
[00:12:27.764 --> 00:12:32.208]  It's up like 45% in two and a half months.
[00:12:32.948 --> 00:12:39.494]  And you've got those Western banks that have millions, hundreds of trillions of ounces of silver short.
[00:12:40.294 --> 00:12:41.554]  And the price went up 45%.
[00:12:41.834 --> 00:12:44.695]  They are losing money hand over fist.
[00:12:45.095 --> 00:12:59.659]  So part of me says this kind of being on the wrong side of a price move when it's leveraged could cause HSBC and JP Morgan Chase to have a really, really, really big financial problem.
[00:12:59.999 --> 00:13:02.700]  And their CEOs are jumping ship.
[00:13:03.300 --> 00:13:04.501]  They're getting out of Dodge.
[00:13:05.062 --> 00:13:06.323]  Our firm is just different.
[00:13:06.723 --> 00:13:10.687]  We charge 8% when you purchase, 0% when you liquidate.
[00:13:11.048 --> 00:13:17.034]  We buy directly from the depository in Shiner, Texas, the Texas Precious Metals Depository.
[00:13:17.454 --> 00:13:21.938]  So their wholesale prices, you tack on 8%, they ship it directly to you.
[00:13:22.379 --> 00:13:25.322]  When you sell it back, we take nothing
[00:13:26.022 --> 00:13:29.584]  Zero, and whatever the depository prices are, you get all of it.
[00:13:30.025 --> 00:13:43.493]  See, that's a huge difference from buying a rare coin, something that has a high commission, high premium, where even after the big move in silver that we've seen, you still haven't even broken even.
[00:13:43.853 --> 00:13:45.774]  KEPM.com forward slash gold.
[00:13:46.074 --> 00:13:46.554]  Check them out.
[00:13:46.595 --> 00:13:47.195]  Go on the site.
[00:13:47.635 --> 00:13:48.016]  Call him.
[00:13:48.076 --> 00:13:48.937]  Get a consultation.
[00:13:49.037 --> 00:13:49.457]  Email him.
[00:13:49.517 --> 00:13:50.018]  Talk to him.
[00:13:50.038 --> 00:13:50.378]  720-605-3900.
[00:13:50.438 --> 00:13:50.838]  Again, that's 720-605-3900.
[00:13:50.979 --> 00:13:52.861]  One of the most important calls you would make, obviously.
[00:13:53.261 --> 00:13:54.682]  And like he's been saying, get silver.
[00:13:54.742 --> 00:13:55.403]  It's up 40% on the year.
[00:14:03.411 --> 00:14:03.932]  What did he just say?
[00:14:03.952 --> 00:14:05.172]  He said there's a storm coming in.
[00:14:37.319 --> 00:14:37.760]  I know.
[00:14:39.461 --> 00:14:42.945]  We told you what was going to happen and it did.
[00:14:43.566 --> 00:14:45.908]  Now we're telling you what's coming.
[00:14:46.769 --> 00:14:49.371]  At Real Alex Jones on X.
