[00:00:17.825 --> 00:00:20.006]  What would you be going on in your mind if you were there?
[00:05:36.241 --> 00:05:39.562]  And they went up fairly dramatically after the ban had occurred.
[00:05:40.542 --> 00:05:42.383]  The question is, why did that happen?
[00:05:42.881 --> 00:05:45.022]  You know, despite all the predictions, guns are bad.
[00:05:45.042 --> 00:05:47.182]  If we just take guns away, it's going to reduce it.
[00:05:47.622 --> 00:05:56.484]  And it's a basic question that's going to come up when we go more into this example here of gun bans on college campuses.
[00:05:56.524 --> 00:06:00.365]  And that is the question of, who's most likely to obey these laws?
[00:06:01.305 --> 00:06:11.928]  I would argue that when you pass a ban, whether it be on a college campus or you're banning guns in a city or a country, it's basically the good, law-abiding citizens who are the ones who turn in their guns.
[00:06:12.415 --> 00:06:13.275]  Not the criminals.
[00:06:13.735 --> 00:06:21.838]  And to the extent that you disarm law-abiding good citizens and not the criminals, you can have a perverse impact and actually increase the crime rates.
[00:06:22.798 --> 00:06:34.842]  And I suppose the simplest way to think about this, before we get into a lot of the data here, and that is, let's say someone was stalking you or your family, was really stalking your wife, let's say.
[00:06:35.322 --> 00:06:41.764]  Would you feel safer putting a sign up in front of your home that said, this home is a gun-free zone?
[00:06:42.452 --> 00:06:47.154]  Would that make you feel safer to go and announce that?
[00:06:47.714 --> 00:06:50.275]  My guess is most people wouldn't feel safer doing that.
[00:06:50.696 --> 00:07:04.162]  And the reason why they wouldn't feel safer for doing that is, I think, pretty obvious, because they're essentially telling the criminals, or that person who's stalking their family, that that stalker has less to worry about.
[00:07:04.522 --> 00:07:07.323]  That they don't have to worry about the people being able to defend themselves.
[00:07:07.383 --> 00:07:09.564]  And that rather than actually deterring
[00:07:10.100 --> 00:07:12.401]  The person with the weapon from entering the house.
[00:07:12.902 --> 00:07:15.763]  What he'll actually do is make it more likely that he'll do it.
[00:07:16.144 --> 00:07:22.207]  That these types of signs actually serve as a magnet for causing these types of attacks to occur.
[00:07:22.227 --> 00:07:35.895]  And what I would argue is that for places like the UT campus, we actually have these signs almost up in neon, essentially, telling everybody that when it comes to the University of Texas campus or other schools,
[00:07:36.311 --> 00:07:40.512]  That concealed handguns that the potential victims that they face aren't going to be armed.
[00:07:42.152 --> 00:07:45.193]  Now, you know, we'll go through the data for D.C.
[00:07:45.213 --> 00:07:49.674]  and Chicago in a second, but there's some who go and argue that these aren't really fair tests.
[00:07:50.054 --> 00:07:57.476]  Gun control proponents say, okay, it didn't work exactly right, but that's because we didn't have a gun ban across the entire country.
[00:07:57.516 --> 00:08:04.618]  It was possible for criminals to go and get guns from other areas and bring them into the places where the gun ban was true.
[00:08:05.658 --> 00:08:07.120]  I would bring two points.
[00:08:07.360 --> 00:08:13.946]  One is that it would have been nice if they had shared it with everybody else, that they didn't think that these were fair tests to have.
[00:08:14.447 --> 00:08:25.918]  But the second point is that these results, these increases in murders and other violent crimes, aren't just limited to Chicago and D.C.
[00:08:26.619 --> 00:08:29.362]  Around the world, time after time, in
[00:08:30.134 --> 00:08:44.349]  Places where the entire nation adopts these bans, or even island nations where they don't have any nearby neighbor that they can go and blame for being a source of guns, also see increases in murder rates and other types of violent crime.
[00:08:45.790 --> 00:08:48.613]  You know, there are many areas of U.S.
[00:08:48.693 --> 00:08:52.257]  life where we have these types of gun bans or have had them.
[00:08:53.388 --> 00:09:01.434]  Often what I find when I talk to people is they kind of assume that whatever law is currently in place is the way the law has always been.
[00:09:01.974 --> 00:09:10.620]  So, for example, after 9-11 I consulted a lot with the airline pilots unions about being able to have pilots carry guns on planes.
[00:09:11.240 --> 00:09:20.286]  And often in the discussion you'd hear similar types of stories to what's being brought up now where they'd say, well, you know, what happens if a pilot accidentally fires a gun?
[00:09:20.306 --> 00:09:22.308]  Or what happens if a pilot, you know,
[00:09:22.998 --> 00:09:24.639]  Go berserk, or what have you.
[00:09:24.759 --> 00:09:27.560]  Other potential hypothetical things that might occur.
[00:09:28.200 --> 00:09:34.542]  Well, my response, after working with the pilots unions, there's so many things that you find out that you just never knew were true.
[00:09:34.562 --> 00:09:49.348]  So, for example, most of you probably don't know that all commercial airline pilots in the United States from 1924 up until 1963 were mandated to carry a loaded handgun with them when they flew in the United States.
[00:09:50.667 --> 00:09:53.968]  They were allowed to carry handguns with them up until 1979.
[00:09:54.008 --> 00:10:00.729]  Where, according to the pilot's unions, regularly about 10% of pilots still carry their handguns with them.
[00:10:01.429 --> 00:10:13.091]  And yet, with all that experience, over all those decades, the FAA has not one single record of anything going wrong with all those pilots carrying concealed handguns.
[00:10:13.531 --> 00:10:16.952]  You would think that there would be at least one story, but there's not.
[00:10:18.308 --> 00:10:26.453]  When people would bring up hypothetical cases about things that might happen, I thought the best argument would be to say, well, what did happen when we had this experience?
[00:10:27.093 --> 00:10:31.095]  You know, things like whether we should have guns on college campuses.
[00:10:31.795 --> 00:10:35.497]  Most people think, well, because we have bans now, wasn't that always the case?
[00:10:36.138 --> 00:10:38.659]  And in fact, this is a relatively new phenomenon.
[00:10:39.079 --> 00:10:42.842]  These types of rules and restrictions only go back about 16, 17 years or so.
[00:10:42.882 --> 00:10:43.382]  Prior to that,
[00:10:50.319 --> 00:10:53.760]  Banning people carrying concealed handguns or other guns on campus.
[00:10:54.300 --> 00:10:58.402]  And in fact, a lot of states have right to carry laws.
[00:10:58.762 --> 00:11:08.425]  And people with those permits had no restrictions, whether they were faculty or staff or students, as long as they met the requirements and were able to carry the guns on the college campuses.
[00:11:08.945 --> 00:11:19.228]  And yet, prior to that period of time, despite all that experience in all those states, again, I can't find a single example of something going wrong on one of those campuses.
[00:11:20.782 --> 00:11:30.364]  Now, since then, we still have states, Colorado and Utah, have laws on the books that say that on public campuses, people can carry permanent concealed handguns.
[00:11:30.804 --> 00:11:39.206]  There are many college campuses around the country that are able to do it, because most states leave it up to the schools to decide.
[00:11:39.786 --> 00:11:45.127]  But, you know, there are, probably most schools ban it when they have a choice for students.
[00:11:45.629 --> 00:12:02.955]  But my guess is, and we've gone through this systematically, most schools allow faculty or staff to carry concealed handguns because, at least in the samples that I've been able to go through with faculty handbooks, you don't see restrictions applying to them that apply to the students.
[00:12:03.795 --> 00:12:06.876]  And again, as we mentioned, this is other countries.
[00:12:12.800 --> 00:12:17.423]  What I thought I'd show you is just some data from D.C.
[00:12:17.544 --> 00:12:18.504]  and Chicago here.
[00:12:18.524 --> 00:12:21.927]  This is murder rates for D.C.
[00:12:22.007 --> 00:12:25.309]  relative to other cities in the top 50 cities.
[00:12:25.749 --> 00:12:29.192]  Before I go through this for a second, I just want to tell you a couple things.
[00:12:29.812 --> 00:12:30.493]  D.C.'
[00:12:30.473 --> 00:12:37.538]  's handgun ban went into effect in February 1977 after a restraining order that had been imposed by the courts were removed.
[00:12:39.539 --> 00:12:40.059]  D.C.'
[00:12:40.039 --> 00:12:42.201]  's murder rates in the year prior to the ban
[00:12:42.910 --> 00:12:47.193]  Among these top 50 cities range from about rank 20th to 15th.
[00:12:47.913 --> 00:13:00.542]  In the 30 years after the ban was imposed, DC's murder rate ranked number one or number two among the 50 largest cities half the time and ranked in the top four two-thirds of the time.
[00:13:00.582 --> 00:13:06.786]  So it was a dramatic increase, not only relative to DC's past murder rate, but also relative to other cities.
[00:13:07.326 --> 00:13:11.649]  This just compares the ratio of DC's murder rate to the average
[00:13:11.971 --> 00:13:22.839]  For the other 48 cities, Chicago's also dropped out just because it also imposes a ban, but including it because it's just one city has no real impact on these lines.
[00:13:22.919 --> 00:13:26.462]  DC's murder rate was falling relative to other cities prior to the ban.
[00:13:26.522 --> 00:13:30.885]  Basically, it goes down to about 10% above the other cities in 76.
[00:13:31.845 --> 00:13:33.607]  And then afterwards, it soars.
[00:13:33.687 --> 00:13:37.790]  I mean, it goes from about 10% above to about 45% above the murder rate in other cities.
[00:13:39.992 --> 00:13:42.194]  It basically stays there afterwards.
[00:13:43.615 --> 00:13:54.262]  I could go and show you for periods of time after 87 where the reason why I showed you just this is you have 40-50% increases here.
[00:13:54.302 --> 00:14:01.987]  They look tiny compared to how DC's murder rate soared relative to other cities after the crack cocaine epidemic hit.
[00:14:02.628 --> 00:14:06.150]  This is DC's murder rate relative to Maryland and Virginia.
[00:14:06.210 --> 00:14:07.451]  You can see it's
[00:14:08.317 --> 00:14:12.579]  Rising afterwards, there's no year after the ban where it's lower than it was before the ban.
[00:14:12.900 --> 00:14:14.400]  And again, this is continuing out.
[00:14:14.801 --> 00:14:15.481]  This is D.C.'
[00:14:15.441 --> 00:14:17.222]  's murder rate relative to the U.S.
[00:14:17.362 --> 00:14:18.443]  and again, carrying out.
[00:14:19.343 --> 00:14:25.186]  Now one thing that's gotten very little attention is while people may understand how D.C.'
[00:14:25.166 --> 00:14:32.070]  's murder rate went up after the ban, there's almost no coverage about how it's fallen after the Supreme Court struck down the ban.
[00:14:32.964 --> 00:14:38.509]  About two weeks ago, the FBI came out with its new Uniform Crime Report numbers for 2009.
[00:14:39.050 --> 00:14:43.134]  And what you can see is that last year, Washington, D.C.'
[00:14:43.114 --> 00:14:44.995]  's murder rate fell by 23 percent compared to 2008.
[00:14:49.423 --> 00:14:51.364]  Nationally, murder rates fell by about 7%.
[00:14:51.524 --> 00:14:57.526]  If you look at just cities over 500,000 population, which would be kind of D.C.'
[00:14:57.486 --> 00:14:59.147]  's class, they fell by about 8%.
[00:14:59.847 --> 00:15:00.847]  So D.C.'
[00:15:00.807 --> 00:15:07.770]  's murder rate fell by about three times faster last year than the national average, going down to a rate of about 23.5 per 100,000 people.
[00:15:07.790 --> 00:15:07.990]  That's D.C.'
[00:15:07.970 --> 00:15:08.650]  's lowest rate since 1967.
[00:15:08.690 --> 00:15:09.330]  And if you go beyond that,
[00:15:16.803 --> 00:15:21.105]  You know, we can go and look to see what's happened even this year.
[00:15:21.225 --> 00:15:22.385]  The drop has continued.
[00:15:22.885 --> 00:15:30.268]  So what I've done in this chart is just compare it for the first seven months of the year because I have all the different crime data for the first seven months.
[00:15:30.868 --> 00:15:33.049]  Crimes vary over the course of the year.
[00:15:33.069 --> 00:15:36.370]  A lot more crimes during the summer and not so much during winters.
[00:15:36.810 --> 00:15:38.731]  So you want to compare apples to apples.
[00:15:38.771 --> 00:15:40.572]  So this is the first seven months of 07, 08, 09, and 010.
[00:15:40.892 --> 00:15:41.832]  And you can see
[00:15:44.923 --> 00:15:55.972]  The first seven months of 07, 104 murders, 08, 107, and then last year fell to 82, and then this year it's gone down to 69.
[00:15:56.052 --> 00:16:01.856]  So that's a 36% drop in two years that we've seen in D.C.
[00:16:02.377 --> 00:16:04.758]  I can only guess if D.C.
[00:16:04.778 --> 00:16:11.263]  had seen a 36% increase in murders and other violent crimes after the handgun ban had been eliminated.
[00:16:11.364 --> 00:16:13.265]  That would be major news coverage.
[00:16:13.738 --> 00:16:22.084]  But the fact that we've seen this huge drop that's not seen in the rest of the United States has gotten virtually no news coverage.
[00:16:22.564 --> 00:16:25.186]  And you can also compare it to other violent crimes.
[00:16:25.687 --> 00:16:31.090]  If you look at robbery with guns that fell by over 10%, about 11%.
[00:16:31.491 --> 00:16:33.152]  Robberies without guns fell by 3%.
[00:16:33.292 --> 00:16:37.415]  Aggregate assaults with guns fell by 24%.
[00:16:39.398 --> 00:16:41.820]  Aggravated assaults without guns fell by 8%.
[00:16:42.962 --> 00:16:52.971]  So crimes with guns, despite the ban being eliminated and the gun lock rules being stopped, fell by about three times faster than crimes without guns.
[00:16:55.133 --> 00:16:56.715]  And you can look at Chicago here.
[00:16:56.875 --> 00:16:59.658]  Chicago's ban went into effect in November 1982.
[00:17:01.257 --> 00:17:06.759]  You can see Chicago's murder rate relative to other top 10 cities was falling prior to the ban.
[00:17:07.259 --> 00:17:14.442]  Basically reached a minimum right before the ban was started and then it rose and it basically continued to rise.
[00:17:17.083 --> 00:17:19.804]  You can compare it to the other 50 largest cities.
[00:17:20.144 --> 00:17:21.245]  Again, similar pattern.
[00:17:21.785 --> 00:17:27.067]  You can look at it compared to the five counties that are adjacent to Chicago.
[00:17:27.659 --> 00:17:28.079]  We're good to go.
[00:17:46.417 --> 00:17:53.141]  Murder rates were clearly falling in Chicago relative to the United States, right up until the ban was imposed, and then it increased.
[00:17:53.221 --> 00:17:57.564]  Very substantial increase, even right away after the ban was imposed.
[00:17:59.425 --> 00:18:06.470]  Now, you know, I'm not going to go and argue that any one particular country proves a lot here.
[00:18:08.063 --> 00:18:22.434]  Lots of other factors that one can talk about here, but at least, and I do try to control for the hundreds of factors that I control for my book, More Guns Less Crime, but even after controlling for them, you still see Chicago and Washington, D.C.
[00:18:22.734 --> 00:18:23.735]  showing these increases.
[00:18:23.815 --> 00:18:32.522]  I'm just trying to show you very simple comparisons by showing how their murder rates, and I can show you their violent crime rates, rose relative to other similar cities.
[00:18:33.476 --> 00:18:34.356]  Well, how about around the world?
[00:18:34.396 --> 00:18:35.497]  How about island nations?
[00:18:35.557 --> 00:18:39.158]  I'll just show you a few graphs from island nations here after they had their ban.
[00:18:39.718 --> 00:18:43.340]  Ireland's ban went into effect at the beginning of 1972.
[00:18:43.780 --> 00:18:49.963]  And you can see, prior to the ban, Ireland's murder rate was pretty much bouncing down around here.
[00:18:49.983 --> 00:18:52.363]  Just, you know, between .1 and .6 per 100,000 people.
[00:18:56.670 --> 00:19:03.776]  Right up until the ban went into effect, and then it soared up, and obviously at a much higher rate after the ban than it was before.
[00:19:04.556 --> 00:19:07.219]  You can see a similar pattern for Jamaica.
[00:19:07.239 --> 00:19:10.321]  Now, obviously, somebody can go on point, too.
[00:19:10.341 --> 00:19:17.967]  They can say, well, we have worse drug wars afterwards than before, and I'm more than happy to say that there are differences that are occurring here.
[00:19:18.408 --> 00:19:22.311]  But it surely didn't stop the problems that they were having there.
[00:19:22.731 --> 00:19:23.552]  And the fact that this
[00:19:23.959 --> 00:19:30.542]  Even if you think you can come up with a story in one or two of these places, the fact that it's so consistent should be concerning.
[00:19:31.042 --> 00:19:32.883]  And here's England and Wales.
[00:19:34.163 --> 00:19:38.965]  You can see their handgun ban went into effect in January 1997.
[00:19:39.805 --> 00:19:43.907]  Murder rates were fairly, homicides were fairly flat right up until then.
[00:19:44.307 --> 00:19:46.148]  And then they gradually started to rise.
[00:19:46.188 --> 00:19:48.729]  There's been some reduction in the last year.
[00:19:48.869 --> 00:19:51.490]  In 2009, the data just came out.
[00:19:51.889 --> 00:19:57.110]  But it's still above what it was before the ban was instituted on per capita rate.
[00:19:59.051 --> 00:20:05.613]  So, we've talked a little bit about who obeys these gun-free zones.
[00:20:06.133 --> 00:20:15.975]  So I kind of skipped that, but Bill Landis at the University of Chicago and I looked at all the multiple victim public shootings from 1977 through 1999.
[00:20:19.655 --> 00:20:23.497]  My third edition of More Guns Less Crime updates that discussion some.
[00:20:23.958 --> 00:20:27.060]  But there are a couple of interesting things I think we found.
[00:20:27.600 --> 00:20:43.151]  One of the things is that law enforcement, while law enforcement is probably the key, police in particular, are the key factor for controlling crime generally, they seem to have virtually no effect on multiple victim public shootings.
[00:20:43.532 --> 00:20:45.293]  No statistically significant effect.
[00:20:45.773 --> 00:20:46.734]  And the question is why?
[00:20:47.409 --> 00:20:50.313]  And we think we have a pretty simple answer for what's going on there.
[00:20:50.333 --> 00:21:00.686]  And that is, when you look at this, 75% of these guys who committed these multiple victim public shootings died at the crime scene.
[00:21:01.106 --> 00:21:04.931]  Either by committing suicide or being killed by somebody else who has a gun.
[00:21:05.715 --> 00:21:16.720]  And in interviews that have been done with at least a lot of the 25% who live, one of the common things that come out is even they expected to die.
[00:21:16.740 --> 00:21:23.523]  What happened was they just weren't able to go and bring themselves to commit suicide when they actually had to go and do it.
[00:21:23.623 --> 00:21:25.744]  They couldn't actually kill themselves.
[00:21:26.724 --> 00:21:30.006]  So why is this important for what impact law enforcement has?
[00:21:30.945 --> 00:21:39.712]  You know, arrest rates, conviction rates, prison sentence lengths, the death penalty, all those affect murder rates generally or other violent crimes.
[00:21:40.413 --> 00:21:48.980]  The reason why they don't affect these multiple victim load shootings is because law enforcement works by punishing people after the fact.
[00:21:49.780 --> 00:21:59.208]  And if people believe with virtual certainty that they're going to die before they engage in these attacks, the fact that you're threatening them with more
[00:21:59.784 --> 00:22:00.424]  We're good to go.
[00:22:24.412 --> 00:22:27.013]  Income, education, you name it.
[00:22:27.293 --> 00:22:28.833]  Hundreds of factors that were there.
[00:22:29.573 --> 00:22:39.736]  But of the 13 types of gun control laws that we looked at, the only one that seemed to have any statistical impact on multiple victim public shootings was the passage of Right to Carry laws.
[00:22:40.096 --> 00:22:40.836]  And it was huge.
[00:22:41.516 --> 00:22:48.918]  Basically, after states passed these laws, there's about a 60% drop in the number of multiple victim public shootings, the rate.
[00:22:49.418 --> 00:22:53.719]  And there's a 79% drop in the rate at which people were killed or injured from these attacks.
[00:22:55.636 --> 00:23:03.680]  But if you look at murders generally, there's only about a 1.5% drop in murder rates for each additional year that the laws are in effect.
[00:23:03.860 --> 00:23:07.562]  Why is it so much bigger for this particular type of crime?
[00:23:09.103 --> 00:23:12.384]  And again, it's pretty simple.
[00:23:12.404 --> 00:23:13.645]  It's just a question of deterrence.
[00:23:14.245 --> 00:23:23.930]  What I and other researchers find is that as the probability that you're going to be able to stop a criminal increases, you can see them commit less crimes.
[00:23:24.705 --> 00:23:33.608]  And so in this case, let's say I have 5% of the adult population with concealed handgun permits.
[00:23:33.728 --> 00:23:47.734]  If you're talking about a place that, you know, in a dark alley or a parking lot where there's one victim and a criminal comes up to them, that represents some risk to the criminal and you see some deterrence.
[00:23:49.192 --> 00:23:55.877]  You know, in this room, I suppose, what, we have like 120 people or 100 plus people in this room and the overflow in the back?
[00:23:56.597 --> 00:24:10.527]  Even if there was only a couple percent chance that any one individual here had a concealed handgun permit, you know, assuming the probabilities were independent, what would be the probability that at least one person would have a concealed handgun?
[00:24:11.107 --> 00:24:12.368]  Probability would be 100%, right?
[00:24:12.388 --> 00:24:15.451]  And, in fact, it'd probably be over 100% that you
[00:24:20.404 --> 00:24:21.124]  We're good to go.
[00:24:21.144 --> 00:24:22.024]  We're good to go.
[00:24:22.084 --> 00:24:23.105]  We're good to go.
[00:24:23.125 --> 00:24:23.965]  We're good to go.
[00:24:23.985 --> 00:24:25.445]  We're good to go.
[00:24:25.505 --> 00:24:26.085]  We're good to go.
[00:24:26.105 --> 00:24:26.805]  We're good to go.
[00:24:26.825 --> 00:24:27.625]  We're good to go.
[00:24:47.372 --> 00:24:53.253]  Being the mind, these warped minds, the people who go and do these attacks is, they want to commit suicide.
[00:24:54.133 --> 00:25:00.515]  And in committing suicide, they want to do it in some way that's going to go and get attention for themselves.
[00:25:01.075 --> 00:25:06.996]  So they like the fact that, you know, people will be talking about them or showing them attention after they die.
[00:25:07.896 --> 00:25:10.237]  And you see this over and over again when you read
[00:25:10.976 --> 00:25:15.098]  The notes, or diaries, or other things that these guys leave behind.
[00:25:15.559 --> 00:25:18.220]  And that is, they care about the amount of attention.
[00:25:18.280 --> 00:25:22.283]  They know how much attention other attacks have gotten in the past.
[00:25:22.743 --> 00:25:28.566]  They know that they're more likely to get more attention in the press the more people they kill or injure.
[00:25:29.947 --> 00:25:40.153]  And many of these warped minds, their goal is, if they can get more killings than past attacks have done, then they're going to be guaranteed
[00:25:40.586 --> 00:25:46.287]  More news coverage and kind of a note in the history books that they otherwise wouldn't have gotten.
[00:25:47.668 --> 00:25:54.470]  And so there are issues here about how news coverage and other things affect the rate at which these attacks occur.
[00:25:54.510 --> 00:25:57.470]  Now there's some other things we can bring up here.
[00:25:57.570 --> 00:26:01.131]  One of the things that I think is very interesting is to look at Israel.
[00:26:01.151 --> 00:26:06.033]  You know, Israel has had a long history of terrorist attacks, obviously.
[00:26:08.627 --> 00:26:14.429]  Look at the policies that they followed in the 40s, 50s, 60s, and very early 1970s.
[00:26:15.589 --> 00:26:28.853]  What they tried to do was to put more police or more military on the street with the notion that if they just flooded the area with enough uniformed people with guns, that would stop these attacks from occurring.
[00:26:29.393 --> 00:26:32.894]  But the problem that they eventually realized was that was a hopeless goal.
[00:26:33.355 --> 00:26:34.735]  And the reason why it was is because
[00:26:37.688 --> 00:26:38.228]  We're good to go.
[00:27:07.515 --> 00:27:13.857]  Or, if the terrorist doesn't want to wait, those two people would be the first people that they would kill.
[00:27:14.477 --> 00:27:19.859]  Because if they killed those, then they would know that the other people on the bus wouldn't be able to go and resist the attack.
[00:27:20.720 --> 00:27:27.782]  And so, Israel just kept on spending more and more money on trying to kind of flood the area with cops.
[00:27:27.802 --> 00:27:33.224]  But they eventually realized that there was no way that they were going to be able to cover all potential
[00:27:33.715 --> 00:27:34.815]  We're good to go.
[00:27:50.782 --> 00:27:58.928]  And so what they did was, in 72, they changed the rules and allowed Israeli citizens to go and carry concealed handguns.
[00:27:59.008 --> 00:28:07.535]  Right now, about 15% of the adult Jewish population in Israel is allowed to carry concealed handguns.
[00:28:08.095 --> 00:28:15.321]  And whenever there's an increase in terrorist attacks, the National Police Chief in Israel will go on the media and basically urge
[00:28:16.743 --> 00:28:25.629]  Those who are able to carry concealed handguns to make sure that they do so all the time when they're traveling around, because they never know when they're going to be able to use them.
[00:28:26.229 --> 00:28:28.030]  Now there is an interesting thing that happened.
[00:28:28.611 --> 00:28:40.238]  And that is, if you look at terrorist attacks over time in Israel, what you'll find is that all the time up until 72, virtually all the terrorist attacks involved machine guns.
[00:28:41.079 --> 00:28:44.601]  After 1972, virtually all of them involved bombs.
[00:28:45.247 --> 00:28:50.149]  There was no technological change that occurred right then in terms of being able to build bombs.
[00:28:50.649 --> 00:28:58.772]  But what happened was is that machine guns appeared to be their preferred method of attack because they had a choice to use both beforehand.
[00:28:59.412 --> 00:29:07.315]  But what changed was is that when you pull out a machine gun, you give the option for those around you to respond to your attack.
[00:29:07.836 --> 00:29:08.456]  There was one
[00:29:09.326 --> 00:29:20.816]  There's a newspaper story that made a big impact on me about a terrorist attack shortly after the change in the law in 1972, where four armed terrorists attacked a mall in Tel Aviv.
[00:29:21.376 --> 00:29:29.223]  They pulled out their machine guns, started firing, and people in the crowd around them pulled out their handguns and started firing back at the terrorists.
[00:29:29.323 --> 00:29:35.568]  Three of the terrorists were killed, one was severely injured, and when he was being taken to the hospital in an ambulance,
[00:29:36.209 --> 00:29:37.490]  I think we're good to go.
[00:29:56.992 --> 00:30:06.957]  These older ladies, because it was just in the afternoon, it was during work hours, they were the ones doing the shopping, were the ones who pulled out their handguns and started firing.
[00:30:08.558 --> 00:30:14.381]  Does anybody know where the two worst high school shootings in the world were?
[00:30:16.782 --> 00:30:18.323]  Yeah, there was one in England, wasn't there?
[00:30:19.924 --> 00:30:24.126]  Well, there was an elementary school shooting in England, but they were in Germany.
