[00:00:00.569 --> 00:00:05.652]  We had a chance to talk to Dr. Russell Blaylock, MD, a retired neurosurgeon and author.
[00:04:10.026 --> 00:04:11.827]  So they had these key words that meant...
[00:04:13.167 --> 00:04:21.731]  meant basically the same type idea that is redesigning man and man's behavior and controlling it through elitist ideas.
[00:04:22.492 --> 00:04:42.522]  But we would do it through new science and we would establish major institutions in the United States that would control medical education through his General Education Board, which was a very powerful foundation regulation of education in America.
[00:04:43.171 --> 00:04:48.353]  And so he would appoint professors that would be directors of these programs.
[00:04:49.093 --> 00:04:55.315]  He groomed people who believed, like he did, that, in fact, man should be redesigned.
[00:04:55.375 --> 00:04:58.636]  We need this science of man to re-engineer human beings.
[00:05:00.037 --> 00:05:05.238]  But do it in a more scientific way than this crude eugenics program that he began with.
[00:05:05.939 --> 00:05:10.040]  And what that necessitated was using what was called molecular biology.
[00:05:10.401 --> 00:05:21.633]  Well, with the discovery of DNA, this became more sophisticated in that you could manipulate certain genes and change how the brain functioned.
[00:05:22.153 --> 00:05:28.320]  And, of course, then they got into the neuroscience field itself and began to look at, well, how does the brain work?
[00:05:28.380 --> 00:05:32.925]  How can we change behavior by altering brain function?
[00:05:33.605 --> 00:05:42.712]  And this has led up to the present day when we have things like the decade of the brain where there's intense study of the behavioral functions of the brain and how it works.
[00:05:44.611 --> 00:05:54.379]  But if you look through her book where she talks about the actual funding, their actual ideas, it's the same thing that started back in 1910.
[00:05:54.820 --> 00:06:05.949]  That is, we're going to recreate man in our image, what we think man should be, how people should think, what they should think, the limitations on their behavior.
[00:06:06.810 --> 00:06:11.634]  It's a true scientific social engineering of human beings.
[00:06:12.574 --> 00:06:19.038]  Well, leading from that, when we start looking at, well, look at some of the programs that have sort of spurred out of this.
[00:06:20.419 --> 00:06:33.508]  You know, the high-tech DNA manipulation, brain manipulation through electrodes or through transmission outside of electrodes to change human thinking.
[00:06:34.088 --> 00:06:41.534]  These are the more sophisticated programs that are a little bit more obvious, but then there's things that are less obvious.
[00:06:41.554 --> 00:06:43.055]  For instance, fluoridating water.
[00:06:44.616 --> 00:06:55.244]  We look at the original justification for fluoridating water back in 1945 when they picked a couple of cities, Grand Rapids, Michigan, and Muskegon.
[00:06:57.149 --> 00:07:06.537]  Grand Rapids was going to be fluoridated, Muskegon was not, and they were going to compare and use the idea that fluoride was preventing cavities.
[00:07:08.178 --> 00:07:19.668]  So even before the study had been completed, they announced that it was a grand success and that fluoridated water produced a 30 to 60 percent reduction in cavities.
[00:07:20.529 --> 00:07:23.671]  What they didn't say was that in the unfluoridated city,
[00:07:24.517 --> 00:07:29.079]  There was a very similar drop in the incidence of cavities as well.
[00:07:29.899 --> 00:07:38.582]  And in fact, throughout the entire world, we began to see in the developed world a tremendous fall in the incidence of dental cavities.
[00:07:40.182 --> 00:07:42.103]  That had nothing to do with fluoride.
[00:07:42.143 --> 00:07:50.026]  What it had to do with was increased intake of calcium, mainly through cheese consumption, and better diets, better oral hygiene.
[00:07:51.506 --> 00:07:53.287]  And a number of studies prove that.
[00:07:54.424 --> 00:07:58.067]  One of which was conducted by the U.S.
[00:07:58.107 --> 00:07:58.947]  Public Health Service.
[00:07:59.408 --> 00:08:01.629]  It was one of the largest American studies at the time.
[00:08:02.109 --> 00:08:11.936]  They looked at 39,000 school children in which they looked at the effect of fluoridation versus non-fluoridation and they found it had no beneficial effect at all.
[00:08:12.677 --> 00:08:20.162]  Well, they hid that document so scientists couldn't examine it and the public and the media would never see it.
[00:08:21.298 --> 00:08:36.697]  Well, Dr. Yamanianis, who was a chemist, filed a Freedom of Information lawsuit, had it released, and then he saw why they wanted to hide it, and that's because it clearly demonstrated fluoride did not reduce cavities.
[00:08:38.068 --> 00:08:55.502]  Since that time, there's been a number of studies, one of which included eight countries, another which included all studies on fluoride, independent studies on fluoride and dental caries for the past 30 years, another study included 400,000 children in India.
[00:08:57.224 --> 00:08:59.105]  All of these studies showed the same thing.
[00:08:59.586 --> 00:09:02.688]  Adding fluoride to water did not reduce cavities at all.
[00:09:03.289 --> 00:09:06.932]  And in fact, several of the studies showed it increased cavities.
[00:09:07.543 --> 00:09:16.286]  And it did so because it weakened the dental layer of the tooth and made it more prone to become cavities.
[00:09:18.046 --> 00:09:32.631]  So now that we've established, and it's admitted by the National Science Foundation study, which was recently completed, that fluoridating water does not reduce cavities, there's no modern evidence whatsoever that fluoridating water
[00:09:33.482 --> 00:09:34.723]  Reduces cavities at all.
[00:09:35.363 --> 00:09:38.346]  So you have to ask the question, why are you still fluoridating water?
[00:09:39.787 --> 00:09:42.329]  Now European countries have caught on very quickly.
[00:09:42.749 --> 00:09:44.130]  None of them fluoridate their water.
[00:09:45.771 --> 00:09:51.816]  Britain fluoridates about 60% of its water and it forced fluoridation on Ireland.
[00:09:53.217 --> 00:09:57.420]  But the mainland European countries do not fluoridate water, do not allow it.
[00:09:59.241 --> 00:10:02.604]  But the United States, we still have the federal government
[00:10:03.400 --> 00:10:20.595]  And inclusion with the American Dental Association, going to various cities, even small cities, using their pressure, their money, taxpayer money, to try to force local city councils to fluoridate the water.
[00:10:21.215 --> 00:10:29.602]  In the state of California, in fact, they've ordered the fluoridation of all waters in every city and village, over 10,000 inhabitants,
[00:10:31.181 --> 00:10:34.342]  Whether they vote to not fluoridate their water or not.
[00:10:35.543 --> 00:10:51.928]  So you have to ask the question, well now that scientifically we've proven that fluoridating water has no effect on reducing cavities, why is the federal government spending so much money and effort to force fluoridation of the rest of the water supply?
[00:10:52.349 --> 00:10:55.610]  And even insisting that bottled water be fluoridated.
[00:10:56.290 --> 00:10:58.871]  That no one would have access to unfluoridated water.
[00:10:59.614 --> 00:11:00.755]  Uh, except the elite.
[00:11:01.576 --> 00:11:17.013]  Well, if we look at, uh, the scientific studies and what is the effect of fluoridation, well, we know fluoridating water, uh, through a number of studies, some of which were ordered by the federal government itself in the earlier days, increases cancer risk.
[00:11:20.756 --> 00:11:28.059]  Burke and Yamin Yanis, two scientists, did one of the largest cancer studies in relationship to fluoridating water supply.
[00:11:28.480 --> 00:11:34.402]  They looked at all cities, ten cities, in the eastern part of the United States.
[00:11:35.063 --> 00:11:40.725]  And they showed that in fluoridated cities, as compared to unfluoridated, there's a 10% increase in cancer.
[00:11:42.626 --> 00:11:46.768]  This was a criticized study, so they repeated it, and they did all cities.
[00:11:47.583 --> 00:11:53.327]  East of the Mississippi, above 10,000 population, comparing fluoridated and unfluoridated.
[00:11:53.767 --> 00:12:01.532]  Now, what they did, they compared the cancer statistics before fluoridation and then 13 to 17 years after fluoridation.
[00:12:02.272 --> 00:12:09.777]  Again, they found there was a 10% increase cancer death incidence in the cities that had been fluoridated.
[00:12:10.297 --> 00:12:13.879]  Now, when you say cancer death, that means people who died of cancer.
[00:12:14.580 --> 00:12:20.223]  You can appreciate there can be a lot more people who develop cancer who didn't die.
[00:12:20.723 --> 00:12:23.004]  So the actual cancer incidence is much higher.
[00:12:24.264 --> 00:12:33.369]  This study was so impressive to some members of Congress, they ordered a study of this link to cancer through the Battelle Research Institute.
[00:12:34.129 --> 00:12:39.351]  These studies showed that, number one, it produced a number of types of cancer.
[00:12:40.432 --> 00:12:42.673]  One, which was a very rare liver cancer.
[00:12:43.707 --> 00:12:49.549]  And it significantly increased the growth of cancer in people who already had cancers.
[00:12:50.329 --> 00:12:53.290]  Well, despite these studies, they're still fluoridating water.
[00:12:54.010 --> 00:12:59.872]  They found out it increased fractures, not only in the elderly, but in younger women.
[00:13:01.252 --> 00:13:05.573]  And it increased hip fractures in older men to a greater extent than the women.
[00:13:06.474 --> 00:13:10.755]  Well, a hip fracture in someone over 65 has a high mortality rate.
[00:13:11.345 --> 00:13:19.070]  So it's a good way, if you wanted to, to increase the mortality of the elderly and get them out of the way, which is in discussion today.
[00:13:20.892 --> 00:13:23.874]  We know that it has profound effects on the brain.
[00:13:25.015 --> 00:13:37.123]  One of the most impressive was done by Dr. Phyllis Mullenix, who was a highly regarded neurotoxicologist, someone who studies the toxicity of different elements on the brain.
[00:13:38.384 --> 00:13:38.964]  Well, she was
[00:13:40.640 --> 00:13:50.222]  She was drafted into doing this when she worked for the Forsyth Dental Research Institute and she had never worked with fluoride, didn't know a lot about it.
[00:13:50.782 --> 00:13:54.563]  Now I know this first hand because I've interviewed her and talked with her and I know her.
[00:13:55.843 --> 00:14:04.465]  And she said when she first was going to do the research product to see if fluoridating water had any effect on the brain's function,
[00:14:05.416 --> 00:14:07.497]  She thought it would be negative.
[00:14:07.597 --> 00:14:11.159]  She didn't think fluoride would have any adverse effects on the brain.
[00:14:12.159 --> 00:14:19.562]  She did one of the largest studies that's been done in animals to see the effect of fluoridating water on their brain function.
[00:14:20.143 --> 00:14:23.284]  And she used a very innovative, modern technique.
[00:14:24.167 --> 00:14:30.371]  And in this technique, she used computers to see the behavior of the animal, so that it was totally objective.
[00:14:30.391 --> 00:14:34.293]  There was no subjective influence by the researchers themselves.
[00:14:34.593 --> 00:14:38.255]  That had never been done before, and all this was high-tech equipment.
[00:14:39.776 --> 00:14:45.119]  She completed her study, and to her surprise, the fluoride produced two main effects.
[00:14:45.259 --> 00:14:50.722]  If you fed the fluoride to a pregnant animal, the offspring then became hyperactive.
[00:14:51.530 --> 00:14:52.751]  In other words, like ADHD.
[00:14:53.772 --> 00:14:59.536]  If you gave the fluoride after birth, the animal became very lethargic.
[00:14:59.997 --> 00:15:01.238]  Sort of like a couch potato.
[00:15:01.278 --> 00:15:02.979]  Didn't really want to do anything.
[00:15:03.319 --> 00:15:04.761]  Became very apathetic acting.
[00:15:06.162 --> 00:15:13.588]  So this was a very clear effect with objective, computerized evaluation of the behavior of these animals.
[00:15:13.828 --> 00:15:14.768]  She used over 500 animals.
[00:15:17.030 --> 00:15:24.656]  She completed this research and she also measured the fluoride levels in the animal's brain and found some very interesting things.
[00:15:24.716 --> 00:15:34.382]  It's that fluoride tends to accumulate in the part of the brain that controls behavior, particularly the hippocampus and the other limbic areas of the brain.
[00:15:35.683 --> 00:15:40.106]  She brought this research to the National Institutes of Health.
[00:15:41.247 --> 00:15:42.508]  They asked her to present this.
[00:15:43.823 --> 00:15:45.445]  And the results of her research.
[00:15:46.326 --> 00:15:53.094]  Well, at the same time, after she wrote up her research, she had presented it in one of the very prestigious journals to be published.
[00:15:54.215 --> 00:15:55.677]  And they didn't know it.
[00:15:56.397 --> 00:16:00.762]  So she presented it to the National Institute of Health, and their response was very cold.
[00:16:01.539 --> 00:16:16.569]  And she said when she was walking through the National Institutes of Health, all the walls were adorned with big posters proclaiming the effectiveness of fluoridation of water and promoting the fluoridation of water.
[00:16:16.629 --> 00:16:19.751]  And she said, this is a very objective audience I'm speaking to.
[00:16:20.872 --> 00:16:26.816]  Well, they were very hostile and very cold to her during her presentation and didn't even ask questions.
[00:16:28.318 --> 00:16:40.002]  So, when she got back to her institute, they asked her about sending this to a journal to be published, and they wanted the name of the journal.
[00:16:40.222 --> 00:16:46.165]  Well, she wouldn't tell them, because she knew they would try to stop the publication, try to influence the journal not to publish it.
[00:16:46.645 --> 00:16:54.047]  So, she wouldn't tell them, and it was published, much to their dismay and anger.
[00:16:56.738 --> 00:17:16.943]  A wide audience of scientists began to look at this research which for the first time proved that fluoride added to water in the concentrations that humans are exposed to was producing profound changes in the brain and altering behavior of young animals exposed to it.
[00:17:17.823 --> 00:17:25.265]  We have to realize at the time women were adding fluoridated water to reconstitute the baby food.
[00:17:25.984 --> 00:17:29.205]  Well, over half of babies get reconstituted baby food.
[00:17:29.225 --> 00:17:30.005]  They're not breastfed.
[00:17:31.586 --> 00:17:40.289]  So this was tens of millions of babies were being exposed to concentrations of fluoride that were used in this experiment.
[00:17:42.049 --> 00:17:46.831]  Where she, after they found that this had been published, they fired her.
[00:17:48.405 --> 00:17:58.153]  And the Forsyte Dental Research Institute, in fact, at about that time had gotten a quarter million dollar grant from the Colgate Company, which fluoridates their toothpaste.
[00:17:58.694 --> 00:18:05.219]  So she was fired from her job, she's never gotten another federal grant, and she was one of the top neurotoxicologists in the world.
[00:18:05.720 --> 00:18:07.661]  She had created this innovative new system.
[00:18:08.581 --> 00:18:14.727]  Well, she went back to her lab to get the rat's brains so that she could continue research on her own.
[00:18:15.688 --> 00:18:22.534]  It turns out they had flooded the lab, claimed there was a break in a water pipe.
[00:18:23.074 --> 00:18:28.259]  It destroyed her computer system and they killed all the rats and incinerated them.
[00:18:29.411 --> 00:18:32.893]  So there is no tissue left to do any studies on.
[00:18:34.094 --> 00:18:36.575]  All of these things look rather suspicious.
[00:18:36.675 --> 00:18:41.278]  So, you know, you have to come to your own conclusion of what does this mean.
[00:18:41.378 --> 00:18:46.521]  Number one, we know that there's numerous health effects of adding fluoride to water.
[00:18:46.982 --> 00:18:49.823]  We know fluoride bioaccumulates in the human body.
[00:18:50.143 --> 00:18:55.627]  That means it just keeps getting higher and higher concentrations the more you drink water.
[00:18:56.542 --> 00:19:03.108]  If you want to produce the highest concentration of a mineral, you don't put it in the food, you put it in the water.
[00:19:03.488 --> 00:19:06.431]  Because people drink a lot of water, particularly in warmer climates.
[00:19:07.051 --> 00:19:10.314]  So that produces the highest level of bioaccumulation.
[00:19:11.055 --> 00:19:12.216]  And that's what we were saying.
[00:19:12.336 --> 00:19:20.784]  Well, Dr. Yamanianis did some studies and looked at the different tissues in the body, found out the highest accumulation was in the thyroid gland.
[00:19:21.638 --> 00:19:26.763]  It had been known that one way to reduce thyroid function was to put fluoride in the water.
[00:19:27.844 --> 00:19:33.389]  That it produced a significant hypothyroidism, or low function of the thyroid gland.
[00:19:34.189 --> 00:19:48.102]  Now not only does that produce lethargy, apathy, weakness, tiredness in adults, but if you do it in pregnant women, the babies are born with low IQs and they never recover.
[00:19:50.037 --> 00:20:00.403]  So even mild reduction of thyroid function in pregnant women has now been shown to produce significant neurobehavioral problems in their offspring.
[00:20:01.743 --> 00:20:12.209]  So we've got some rather profound problems with fluoridation that are now well documented from laboratories all over the world without any question.
[00:20:12.329 --> 00:20:15.791]  For instance, one of them Dr. Varner did out of Europe.
[00:20:16.519 --> 00:20:28.113]  In which he looked at 0.5 parts per million, which is half of what's put in water, and found significant deaths of neurons in the brain and damage to the blood vessels that supply blood to the brain.
[00:20:29.534 --> 00:20:31.557]  He's a highly regarded researcher.
[00:20:32.017 --> 00:20:36.563]  It was published in a very prestigious neurological journal.
[00:20:38.034 --> 00:20:51.300]  So we have all of these studies proving that this is a very hazardous thing to do, that it produces behavioral changes, many of which we're seeing in the populations that are drinking fluoridated water.
[00:20:51.660 --> 00:20:54.461]  We know it bioaccumulates, it gets worse over time.
[00:20:54.862 --> 00:21:02.185]  We know that it's absorbed into the plants and the foods and the concentration in the foods is rising significantly.
[00:21:03.109 --> 00:21:13.460]  Yet we have a government that is still pushing as hard as they can, using taxpayer money, to get all the water supply in the United States fluoridated.
[00:21:15.181 --> 00:21:25.412]  So I leave it to the audience to think for themselves, what could possibly be the justification for doing such a thing?
[00:21:26.294 --> 00:21:38.357]  If you've demonstrated it doesn't reach its objective, that is, reducing cavities, which everybody now has admitted, even the ADA has had to admit it, why is it still being added to the water?
[00:21:39.198 --> 00:21:44.459]  If it has these profound health effects, why is it still being added to the water?
[00:21:45.751 --> 00:21:52.535]  And even the ADA had to admit recently that it is harmful to the baby's brain, and they put out a warning.
[00:21:52.755 --> 00:21:56.177]  Now, this is just on the government sites and on their own site.
[00:21:56.558 --> 00:22:01.360]  Women should not reconstitute their baby food with tap water that's fluoridated.
[00:22:02.041 --> 00:22:05.003]  Well, you don't see that as a headline in your newspaper.
[00:22:05.363 --> 00:22:09.926]  You don't see it on most major news TV stories.
[00:22:10.734 --> 00:22:12.415]  Which would reach most women.
[00:22:13.116 --> 00:22:17.399]  It's just sort of kept under the cover so they can say, well, we did put out the warning.
[00:22:18.219 --> 00:22:20.261]  We just didn't make it a widespread warning.
[00:22:21.161 --> 00:22:30.588]  So a lot of women are still reconstituting their baby's infant formula with fluoridated tap water that even the ADA now admits is harmful to their brains.
[00:22:31.775 --> 00:22:43.142]  So, if we start looking at some of the other things that are being done in this society, for instance, the use of aspartame, widespread use of aspartame, which is also proven to be a brain toxin, without any question.
[00:22:43.783 --> 00:22:47.125]  It's also linked to an increased incidence of cancer.
[00:22:48.526 --> 00:22:51.628]  To any reasonable objective of mine, these studies prove it.
[00:22:52.369 --> 00:23:00.134]  When we look at the effects of MSG, monosodium glutamate, and other food additives that are excitotoxins on brain and behavior,
[00:23:01.355 --> 00:23:04.566]  When we look at the effects on reproduction of these things.
[00:23:04.987 --> 00:23:07.155]  For instance, fluoride reduces reproduction.
[00:23:07.947 --> 00:23:14.193]  It influences sperm mobility, sperm production, and testosterone level in males.
[00:23:14.673 --> 00:23:21.920]  And it bioaccumulates in these organs and gradually reduces the ability to reproduce.
[00:23:23.362 --> 00:23:32.630]  When we look at aluminum, lead, all of these things that are ending up in our water system, our food that are being given as food additives,
[00:23:33.391 --> 00:23:35.252]  We're seeing some common effects.
[00:23:35.292 --> 00:23:41.533]  They have behavioral effects, they have reproductive effects, and they have effects on health like cancer, degenerative brain disorders.
[00:23:42.394 --> 00:23:44.614]  And it's well demonstrated in the scientific literature.
[00:23:45.435 --> 00:23:50.256]  The question you have is why are the regulatory agencies not approaching this?
[00:23:51.016 --> 00:23:52.337]  Why are they still allowing this?
[00:23:53.057 --> 00:23:55.898]  When there's compelling evidence that it's harmful.
[00:23:56.278 --> 00:24:02.980]  Just to be on the safe side, you would think when millions of people are exposed to this every day,
[00:24:04.226 --> 00:24:17.575]  They would at least warn the public that it has effects on your reproduction, has effects on your risk of cancer, has effects on your brain function, your cognitive function, your memory, learning.
[00:24:17.896 --> 00:24:20.377]  It has effects on the development of the brain of the child.
[00:24:20.858 --> 00:24:28.483]  When all these things are known, and endless scientific literature and peer-reviewed journals, why is the public being kept in the dark?
[00:24:30.205 --> 00:24:36.648]  And so, you know, just answer that question yourself, without saying, well, they're doing it on purpose.
[00:24:37.288 --> 00:24:54.376]  You have to say, well, either they're doing it on purpose, or they're the most incredibly stupid and incompetent people in the world, and they don't deserve to be in positions of power, and should be removed from positions of power, and people with good cognitive sense replace them.
[00:24:55.882 --> 00:25:00.024]  There's only two choices you have in this debate.
[00:25:00.124 --> 00:25:11.028]  Either they're incredibly stupid and incompetent, or criminal, or they're doing it on purpose for a reason, which goes back to the Rockefeller design of human engineering.
[00:25:11.909 --> 00:25:18.111]  When we look at vaccinations, this country vaccinates children at a rate higher than anywhere in the entire world.
[00:25:19.032 --> 00:25:24.814]  They get something like 46 different antigen exposures before they start school.
[00:25:26.343 --> 00:25:30.825]  They're getting 26 to 30 by age 1.
[00:25:32.146 --> 00:25:40.831]  Now, I've made the case in a number of articles I've published in Peer Review Journal that this is very harmful to the brain.
[00:25:41.371 --> 00:25:43.632]  I've outlined the mechanism by which it does it.
[00:25:45.033 --> 00:25:52.417]  And yet, the policy continues and every day we see the federal government pushing more vaccinations.
[00:25:53.263 --> 00:26:02.231]  In collusion with the pharmaceutical companies that are making high profits off of it, international organizations are pushing it, and you have to ask why.
[00:26:02.311 --> 00:26:21.327]  Now there's a recent study that's been done by Neil Miller, and in this study he compared the mortality of infants age one and children five years and younger in relationship to the number of vaccines they receive.
[00:26:22.324 --> 00:26:27.965]  It is a direct dose response in every country examined.
[00:26:28.365 --> 00:26:39.568]  For instance, the United States has the highest vaccination rate in the world and it is 44th in the world in infant health.
[00:26:40.908 --> 00:26:44.209]  In other words, we have infant mortality
[00:26:45.151 --> 00:26:47.132]  That's 44th in the world.
[00:26:47.972 --> 00:26:57.895]  Now, for a nation that's supposed to be the leader of health care, why are we so far down the list of infant mortality in terms of high levels of infant mortality?
[00:26:58.535 --> 00:27:00.776]  And it directly correlates to the number of vaccines.
[00:27:01.196 --> 00:27:07.878]  And if you follow the number of vaccines, it's a straight line which shows a dose response
[00:27:08.740 --> 00:27:10.582]  of this toxicity of the vaccine.
[00:27:10.702 --> 00:27:23.812]  And it makes sense, because when you over-vaccinate, it interferes with the development of the brain, and then the child has difficulty learning, they become behavioral problems, and their brain cannot develop normally.
[00:27:25.313 --> 00:27:28.576]  And this is happening on a very, very wide scale.
[00:27:29.557 --> 00:27:35.762]  We're talking about 90% of children in this country are getting this huge number of vaccinations.
[00:27:37.014 --> 00:27:49.362]  And despite the fact that we have this compelling evidence that it is harmful to the developing brain, we have health care officials who are totally ignoring this and continue to promote it.
[00:27:52.124 --> 00:27:55.086]  So we have to ask, where is this going to stop?
[00:27:56.007 --> 00:28:06.274]  How many more toxins are they going to add to the burden to these people, which is going to shorten their lifespan, interfere with their ability to think clearly,
[00:28:09.223 --> 00:28:18.470]  And why would you want your population to be apathetic and unable to think clearly and make decisions as independent thinking minds?
[00:28:19.351 --> 00:28:30.881]  I was one of the first people in the published literature to say, when you remove thimerosal from the vaccine, you're not going to see much of a difference in autism rate.
[00:28:32.378 --> 00:28:36.261]  Everyone else that's working in this field was convinced it was the mercury.
[00:28:36.881 --> 00:28:40.384]  Now there's no question mercury is toxic to the developing brain.
[00:28:40.824 --> 00:28:42.105]  There's no question about that.
[00:28:43.527 --> 00:28:51.873]  But the greatest toxicity is the number of vaccines being given and the fact that you're overstimulating the immune system.
[00:28:52.998 --> 00:29:05.153]  When you powerfully and repeatedly stimulate the immune system, it activates the brain's immune cell, the microglia, and that secretes destructive compounds.
[00:29:06.308 --> 00:29:11.110]  Now, you have to ask again, if this is so well known, why do we keep adding new vaccine?
[00:29:34.315 --> 00:29:45.989]  Because now we're insisting not only do they get the 46 vaccine, but then every four years, many of these vaccines are to be repeated throughout the rest of their life, even into adulthood.
[00:29:46.730 --> 00:29:52.977]  It's been estimated that they're going to propose 150 vaccines for adults throughout your life.
[00:29:54.474 --> 00:29:59.976]  There's no way that the brain can tolerate 115 repetitive vaccinations.
[00:30:00.636 --> 00:30:02.717]  So it's not necessarily the mercury.
[00:30:02.757 --> 00:30:04.658]  The mercury adds to the toxicity.
[00:30:05.218 --> 00:30:09.759]  But it's the fact that the brain is being overstimulated immunologically.
[00:30:10.760 --> 00:30:11.500]  And that's proven.
[00:30:13.281 --> 00:30:16.842]  And they also recently announced a new army plan to develop
[00:30:17.369 --> 00:30:24.392]  DNA vaccines, which would use an electro-stimulation process and supposedly go directly to the cells.
[00:30:25.213 --> 00:30:35.258]  And it would also, part of the project would be so they could deliver multiple vaccines in one quick blast, not have to use new needles for everyone, so they could do things fairly quickly.
[00:30:36.058 --> 00:30:40.761]  But do you have any idea what the potential dangers would be of DNA vaccines?
[00:30:41.961 --> 00:30:49.843]  Well, it is an area that they're looking into, so that they can give it in fewer vaccination exposures.
[00:30:50.503 --> 00:30:59.645]  And that's because they have difficulty getting people to keep coming in, getting these dozens and dozens of vaccines, so it would be a lot more convenient just to give one.
[00:31:00.266 --> 00:31:05.247]  But you're still immunologically stimulating the body
[00:31:06.229 --> 00:31:10.031]  In a very, very powerful way over a prolonged period of time.
[00:31:10.631 --> 00:31:13.713]  If you do that in animals, it damages the brain.
[00:31:14.153 --> 00:31:20.837]  If you do that in animals that are young or during pregnancy, it will reproduce things like Schizophrenia and Autism.
[00:31:22.318 --> 00:31:32.824]  And we know in women, pregnant women, if during their pregnancy they develop a viral infection, the incidence of Schizophrenia and Autism goes up tremendously.
[00:31:33.922 --> 00:31:35.402]  And their offspring as they get older.
[00:31:35.422 --> 00:31:39.284]  Of course, schizophrenia doesn't present until their teenage years.
[00:31:40.064 --> 00:31:49.027]  So there's a long period between the vaccination and the appearance of the schizophrenia, which gave a deniability for a long period of time.
[00:31:49.587 --> 00:31:54.108]  Well, the new research has shown it's not the virus that's causing the schizophrenia.
[00:31:54.688 --> 00:31:56.949]  It's the mother's immune reaction to the virus.
[00:31:58.069 --> 00:32:00.270]  So when her immune system is activated,
[00:32:01.095 --> 00:32:11.782]  It activates the baby's brain's immune system and produces a process called immuno-excitotoxicity that produces abnormal brain development and the schizophrenia and autism.
[00:32:12.603 --> 00:32:20.348]  When you stimulate the body's immune system, it automatically activates the brain's immune system, which is a separate immune system.
[00:32:21.129 --> 00:32:24.411]  It's operated by the microglia-type brain cell.
[00:32:25.353 --> 00:32:33.060]  When that brain cell is activated during a natural infection, it's activated, kills the virus or bacteria, and then it shuts down.
[00:32:34.401 --> 00:32:43.689]  If you immunologically activate it by giving injections, like you do with a vaccine, it turns it on and it doesn't turn off very well.
[00:32:44.773 --> 00:32:50.394]  You give another vaccine a month later, two months later, that cell becomes hyper-reactive.
[00:32:50.814 --> 00:32:54.815]  So the next reaction is infinitely more intense than the first one.
[00:32:55.535 --> 00:32:59.116]  So the brain stays in this state of chronic inflammation.
