[00:00:00.630 --> 00:00:03.292]  Here is part one of our interview with Alan Watt.
[00:03:39.446 --> 00:03:50.992]  ...is bombs, all kinds of acoustic equipment to nullify enemies, scare the hell out of them through voice descal and so on, which was used in Gulf War One and it's all over the British media.
[00:03:51.232 --> 00:03:55.795]  But you can also use shock and awe on your domestic people again.
[00:03:57.335 --> 00:04:02.138]  You do it by crisis after crisis until the public are so terrified
[00:04:04.301 --> 00:04:10.283]  See, the average person has a sort of confidence that they build up where they think, I can manage most things that come my way.
[00:04:11.324 --> 00:04:14.865]  Whatever little crisis in my life, what happens to other people, I can deal with.
[00:04:16.426 --> 00:04:27.970]  When all those around you are getting scared at the same time as you because they're losing their jobs, they're being threatened with pandemics, terrorists everywhere, terrifying people to even get on subways,
[00:04:28.976 --> 00:04:29.496]  And so on.
[00:04:30.117 --> 00:04:32.898]  And all those around you, as I say, are also in the same boat.
[00:04:33.819 --> 00:04:41.044]  You tend to be more easily directed by the powers that be that come out and speak with authority and confidence over you.
[00:04:41.857 --> 00:04:46.340]  That's why they give you a guy like Obama, who's trained in oratory.
[00:04:47.380 --> 00:04:48.561]  He was trained in oratory.
[00:04:48.901 --> 00:04:50.582]  Not in truth, but in oratory.
[00:04:50.882 --> 00:04:52.764]  The technique of persuasion.
[00:04:52.924 --> 00:04:59.027]  Shock and awe, as they say, is a technique of making a person and a whole population punch drunk.
[00:05:00.348 --> 00:05:07.392]  And each one of those fears, you see, you understand, that each person can handle one major crisis in their personal life.
[00:05:07.913 --> 00:05:09.814]  Maybe two at the same time.
[00:05:10.816 --> 00:05:23.909]  It's understood in psychology and many, many studies that if you have maybe three to four crises hitting you personally in your life at the same time, you will literally go into an incredible depression, a reactive depression you can't cope.
[00:05:25.010 --> 00:05:25.811]  That's understood.
[00:05:26.652 --> 00:05:29.114]  Apply that technique on a whole population.
[00:05:31.653 --> 00:05:37.496]  The thing is, there's not one of these crises that we've been told about that you personally can do anything about.
[00:05:37.876 --> 00:05:41.178]  What can you do about terrorism if it really exists all over the place?
[00:05:42.098 --> 00:05:43.559]  It's out of your hands, you're helpless.
[00:05:44.479 --> 00:05:46.380]  What can you do about a coming pandemic?
[00:05:46.800 --> 00:05:48.401]  It's out of your hands, you're helpless.
[00:05:49.222 --> 00:05:54.524]  What can you do about a nuke getting set off in New York Harbour or wherever?
[00:05:54.964 --> 00:05:56.185]  You can't, you're helpless.
[00:05:57.116 --> 00:06:03.478]  The message you're getting is that you're utterly helpless to defend, help or save yourself.
[00:06:03.939 --> 00:06:10.481]  That is complete shock and awe tactic that's been used not only in the US and Canada but across the world.
[00:06:10.721 --> 00:06:15.203]  Same strategy because we're already global with the global society running us all.
[00:06:15.883 --> 00:06:23.426]  Massive psychology and warfare techniques in psychology has been used across the planet to make us succumb
[00:06:25.256 --> 00:06:32.602]  To fear and crises, as I say, and none of which we can actually do anything about on an individual level.
[00:06:32.822 --> 00:06:35.804]  Therefore the leaders are presented to us on screen.
[00:06:36.394 --> 00:06:45.962]  With uniforms or business suits and ties as politicians who speak with confidence, all scripted of course, and they seem to have everything under control.
[00:06:46.543 --> 00:06:53.969]  You're now basically a fearful slave looking up to the powerful master to defend and protect you.
[00:06:54.249 --> 00:06:55.831]  That's the simple technique of it.
[00:06:56.946 --> 00:06:59.348]  I've been speaking about the Rockefeller Foundation.
[00:07:00.549 --> 00:07:09.997]  I was mentioning the fact that in the United States, the Rockefeller Foundation, which also runs, I think it is the Carnegie Foundation today, maybe even the Ford, they're all combined.
[00:07:10.017 --> 00:07:18.745]  The families that are given the intergenerational rights, if you like, or authority to lead the world to amalgamation under global governance.
[00:07:19.085 --> 00:07:23.369]  Mr. Rockefeller also is heavily involved in the world depopulation strategies.
[00:07:24.109 --> 00:07:26.572]  He funds abortion clinics across the planet.
[00:07:27.773 --> 00:07:35.640]  He also funds hundreds of other front foundations that you would think were independent from his, but they're actually front foundations.
[00:07:35.760 --> 00:07:37.161]  He funds them all through his money.
[00:07:37.882 --> 00:07:45.829]  You can trace them all back again to so-called family planning clinics across the entire globe, especially in the third world countries.
[00:07:46.030 --> 00:07:49.453]  It seems that Mr. Rockefeller is intensely worried about overpopulation.
[00:07:50.073 --> 00:07:50.133]  Yes.
[00:08:20.974 --> 00:08:22.414]  So this did not come out of the blue.
[00:08:22.434 --> 00:08:24.715]  They try and get you on board working for them.
[00:08:26.476 --> 00:08:37.800]  What was also more startling was they always give members maybe 15 minutes or 20 minutes to speak, and I was offered that to speak on stage to this world meeting.
[00:08:37.981 --> 00:08:40.742]  The world's citizenship idea is part
[00:08:41.622 --> 00:08:49.448]  of the old idea of Cecil Rhodes up into Lord Milner to the Royal Institute for International Affairs and the Council on Foreign Relations.
[00:08:49.508 --> 00:08:58.035]  Mr. Rockefeller is up on Google in some of his conferences giving out World Citizenship Awards to very famous people.
[00:08:59.896 --> 00:09:03.960]  So they've already bypassed and have bypassed sovereign nations a long time ago.
[00:09:05.482 --> 00:09:08.783]  What other benefits you get from being a world citizen, I'm not certain at all.
[00:09:09.943 --> 00:09:13.284]  But I was allowed, he said I'd be allowed to speak at this conference.
[00:09:14.885 --> 00:09:18.866]  He did not say what to speak about, or he didn't say anything of what not to speak about.
[00:09:19.726 --> 00:09:23.447]  And he also said that this chairman, of course, wrote to me.
[00:09:24.027 --> 00:09:29.288]  He also said that I'd be allowed to participate in the roundtable groups which come after.
[00:09:29.308 --> 00:09:31.009]  The roundtable society
[00:09:31.994 --> 00:09:40.539]  It's very, very important because the Roundtable Societies were set up as far back as the Milner Society and the Rhodes Foundation.
[00:09:40.619 --> 00:09:43.140]  They came out with the first Roundtable Societies.
[00:09:44.121 --> 00:09:51.425]  What they do is take the topics that are discussed at the main meetings, then they split off at different tables.
[00:09:52.639 --> 00:10:05.498]  To specialize in certain aspects of the speeches they've heard and find ways how to implement them into reality through media, promotion, various methods of propaganda and so on.
[00:10:06.834 --> 00:10:18.162]  I did not attend, I was tempted to go just to see if they would ask me not to speak about certain things but it was the middle of winter and the journey to this university would have been pretty pretty hectic anyway and I was so busy.
[00:10:18.842 --> 00:10:23.125]  But you will be approached and that's not the first time I've been approached to do this kind of thing.
[00:10:23.785 --> 00:10:29.169]  You'll find that some people are bought over, I should go back to Lord Bertrand Russell on this topic because
[00:10:30.168 --> 00:10:54.059]  Lord Bertrand Russell said in one of his own books, the same book in fact where he talks about those children who managed to escape the indoctrinations who have intelligence and an ability to communicate to others must be brought on board the system, employed by the system, bribed into the system if possible, that generally works with most people.
[00:10:54.980 --> 00:10:57.541]  He said, otherwise we shall have to eliminate them.
[00:10:58.842 --> 00:11:03.448]  Because they did not want people around who understood an agenda that the general public are unaware of.
[00:11:03.468 --> 00:11:13.962]  They didn't want these people with the ability to communicate information, documented information, in a fashion that people understand out in the community where they could spread this word.
[00:11:13.982 --> 00:11:15.544]  That ties in with Matsi Tong.
[00:11:16.385 --> 00:11:18.605]  Who said he was not afraid of armies.
[00:11:18.806 --> 00:11:25.067]  His worst fear was someone with a good idea, a great idea, a unique idea, and the ability to communicate it.
[00:11:25.927 --> 00:11:29.168]  So that is how they treat, basically, people with information.
[00:11:29.868 --> 00:11:31.668]  First comes the invitation to join them.
[00:11:32.648 --> 00:11:33.408]  Many people do.
[00:11:34.289 --> 00:11:41.670]  As I say, Bertrand Russell backed that up by saying, if they can't be brought on board, they must be literally eliminated from the public arena.
[00:11:43.130 --> 00:11:45.651]  That's how seriously they take this agenda at the top.
[00:11:46.021 --> 00:11:47.021]  They don't mess it around.
[00:11:47.901 --> 00:11:52.482]  The reason I think they don't simply come out and kill you, straightforward, is they don't have to do a messy job.
[00:11:52.802 --> 00:11:55.203]  There's many ways of killing you, especially in this day and age.
[00:11:56.303 --> 00:12:12.926]  But I think, to be honest, they're so arrogant right now, at this moment, they're not too worried about the mass of the general population who are indoctrinated and updated with their indoctrination daily from television, as one example.
[00:12:14.847 --> 00:12:27.135]  About a hundred years ago, this big organization with many branches, they wanted to rule the world basically using Britain as a nucleus of a system, an embryo, which also was going to be joined with the U.S.
[00:12:27.355 --> 00:12:35.060]  under the Anglo-American establishment, wrote about the kind of culture and the changes of culture over a hundred year period that they would actually design.
[00:12:35.360 --> 00:12:39.523]  We're all tribal to an extent, that's why we even bother to vote for a tribal leader.
[00:12:40.063 --> 00:12:42.545]  This is well understood, that's why we're supplied with these leaders.
[00:12:43.525 --> 00:13:00.375]  And because the average man was to become more disengaged from his own destiny, as the expert class arose, it was decided that the males would get their outlet, basically, gradually becoming helpless as males, through sports.
[00:13:00.715 --> 00:13:03.117]  Therefore they'd have a tribal team they could identify with,
[00:13:03.977 --> 00:13:07.158]  They could cheer them on as if they were winning.
[00:13:07.559 --> 00:13:10.380]  In their own personal lives, they were getting nowhere.
[00:13:10.420 --> 00:13:17.643]  They were getting disenfranchised, in a sense, as experts took over decision-making for them in all kinds of fields.
[00:13:17.663 --> 00:13:22.485]  So this was psychology at use, planned before they even implemented the sports.
[00:13:22.825 --> 00:13:26.346]  When radio came along, of course, they used that to the maximum.
[00:13:27.307 --> 00:13:28.187]  Sports for the men.
[00:13:30.528 --> 00:13:32.369]  Radio soaps, basically, for the women.
[00:13:33.658 --> 00:13:38.361]  And then in came television, as I say, with its alpha state, its hypnotic state.
[00:13:39.001 --> 00:13:39.642]  It took off.
[00:13:40.062 --> 00:13:41.122]  It really, really took off.
[00:13:42.863 --> 00:13:44.985]  And men became glued to the sports shows.
[00:13:45.325 --> 00:13:50.068]  The big think tanks, and we've had think tanks to do with always planning the future.
[00:13:51.221 --> 00:14:01.169]  And how do we create societies and even different cultures between, within a hundred years, say, from this type of society to that society to the next society?
[00:14:01.509 --> 00:14:02.570]  How is it implemented?
[00:14:02.890 --> 00:14:08.235]  Again, always through the youth culture, which is easy to do if you have universal education.
[00:14:08.975 --> 00:14:12.759]  You can always mandate the same system, same culture to be taught to the youth.
[00:14:12.859 --> 00:14:21.666]  However, as I say, since the 1960s, once television really, really took off, sports used to only come out on Saturdays.
[00:14:23.027 --> 00:14:28.071]  And over a 10-year period, it gradually came on every night of the week.
[00:14:28.972 --> 00:14:32.295]  Until today, we have even sports channels, sports, sports, sports.
[00:14:32.355 --> 00:14:36.819]  And now you see guys who are sitting at home, who are basically powerless at work, their bosses,
[00:14:37.551 --> 00:14:40.072]  They're powerless on the roads.
[00:14:40.212 --> 00:14:43.152]  There's police and traffic wardens and cops watching them.
[00:14:44.292 --> 00:14:47.653]  They have no means to feel strong.
[00:14:48.193 --> 00:14:52.774]  And so they tend to watch sports as a substitute.
[00:14:52.794 --> 00:14:55.975]  They project themselves into a game which they never participate in.
[00:14:56.455 --> 00:15:01.456]  But as long as their team wins, they feel something's happening in their life that's positive and it's successful.
[00:15:02.436 --> 00:15:06.697]  It's a very good substitute for many, many things as far as the elite are concerned.
[00:15:07.659 --> 00:15:22.069]  No, the big think tanks that involved many professional people knew that they'd have to give something for the males and for the women to also give a substitute too.
[00:15:23.010 --> 00:15:33.857]  The intention being, ultimately, to alter society, drastically alter it so much that even the purpose, for instance, of marriage would lose any appeal.
[00:15:34.057 --> 00:15:40.821]  For the females, they gave them high-fashion, accessible prices for high-fashion clothes.
[00:15:42.663 --> 00:15:46.345]  They brought in... People don't realise they brought in the miniskirt back in the 1920s, during Prohibition.
[00:15:48.246 --> 00:15:52.882]  They brought in cocaine at the same time along with the booze to get young people in.
[00:15:52.902 --> 00:15:55.149]  The idea being...
[00:15:56.051 --> 00:15:59.375]  That if you're doing something illegal, it's very naughty.
[00:16:00.135 --> 00:16:03.419]  Youngsters love to break the rules, get together.
[00:16:03.499 --> 00:16:04.820]  We're all being naughty together.
[00:16:05.421 --> 00:16:16.732]  And sex and booze, coupled with coke being smuggled in at that time, had its desired effects, but not quite the way it was designed to have by those that planned that culture, the Bernays types.
[00:16:16.972 --> 00:16:18.854]  And Bernays was heavily involved in this.
[00:16:20.015 --> 00:16:26.380]  So they came out, as I say, with not sex and rock and roll, but sex in a form of jazz.
[00:16:27.000 --> 00:16:30.082]  The Charlton dance came in, the miniskirt came in.
[00:16:30.823 --> 00:16:33.044]  Sex became rather rampant for the first time.
[00:16:33.545 --> 00:16:36.647]  All the old traditional taboos were broken with one generation.
[00:16:37.387 --> 00:16:40.810]  But there was fallout to this change, this massive change in culture.
[00:16:41.090 --> 00:16:47.935]  The fallout being that they did not have the antibiotics to treat all the sexually transmitted disease that came along.
[00:16:49.075 --> 00:16:58.122]  Secondly, they didn't have the legal abortion clinics to take care of the unwanted children that also were produced by
[00:16:59.232 --> 00:17:00.372]  Hyper-promiscuity.
[00:17:00.773 --> 00:17:05.835]  They opened up big orphanages to try and take care of this, the boys' towns, they had ones for girls too.
[00:17:06.855 --> 00:17:16.439]  But there was so much backlash, especially in the United States, from the old Christian communities, that they had to tone it all down, it kind of flopped, as I say.
[00:17:16.839 --> 00:17:20.920]  Sexually transmitted disease became rampant, so did unwanted pregnancies and abortions.
[00:17:22.301 --> 00:17:24.562]  And so they went back to the drawing board, because remember,
[00:17:25.563 --> 00:17:39.319]  Before this all happened, the big players, the new high priesthood, we'll call them, of the time lords, those who create the future, working think tanks for the big establishment, had a definite mandate.
[00:17:39.339 --> 00:17:42.583]  The only problem was how do you achieve that mandate over a time period?
[00:17:43.324 --> 00:17:44.666]  So they went back to the drawing board
[00:17:45.916 --> 00:17:57.365]  And they've always known, for instance, that wartime, in wartime, more children are produced because people, young people, who might go off to die tomorrow, tend to be far more promiscuous.
[00:17:58.326 --> 00:18:02.990]  They brought this back after World War II, big time, and worked on it steadily.
[00:18:03.370 --> 00:18:14.159]  All our tax money went into one particular area of research, not just for the atomic weaponry and so on, it went into finding ways of finding a contraceptive that was effective.
[00:18:15.359 --> 00:18:26.866]  When they found it and launched it on the scene, at the same time as they launched what they called pop music, along with drugs, LSD, and so on, they brought out the contraceptive.
[00:18:27.126 --> 00:18:36.432]  So then permission was given, in a sense, and promoted from the top down, even from the BBC, which, remember, the BBC is owned by the British government.
[00:18:36.532 --> 00:18:38.334]  It's an arm of the British government.
[00:18:39.034 --> 00:18:43.577]  It talks on behalf of the dominant minority who rule Britain.
[00:18:45.259 --> 00:18:46.780]  So they began to promote all this stuff.
[00:18:46.820 --> 00:18:51.504]  All the DJs they'd bring on television would interview the top pop stars of the day.
[00:18:51.865 --> 00:18:53.366]  They were all stoned at their minds.
[00:18:53.386 --> 00:18:55.027]  Some of them were falling out of chairs.
[00:18:55.468 --> 00:18:58.891]  And the interviewers would say, tee hee, aren't we naughty children?
[00:18:59.411 --> 00:19:01.993]  All aimed at a young generation to emulate.
[00:19:02.173 --> 00:19:02.954]  This is what we do.
[00:19:03.074 --> 00:19:04.675]  Monkey see, monkey do.
[00:19:05.016 --> 00:19:08.098]  Once again, remember, the prime intent was to break the old culture.
[00:19:09.179 --> 00:19:10.720]  We're good to go.
[00:19:33.752 --> 00:19:34.092]  I think so.
[00:19:51.738 --> 00:19:57.463]  He said, the family is no longer in the way when government comes for an individual.
[00:19:58.343 --> 00:20:06.350]  Each individual will be solely responsible to the government itself and no family will stand up around them like a primitive tribe and defend them.
[00:20:07.050 --> 00:20:16.378]  At the same time, the foundations within the United States and Britain and elsewhere were funding what appeared to be far left groups, communist groups.
[00:20:17.899 --> 00:20:20.842]  So much so, as I say, the Reeves Commission went in to look into this from the 50s.
[00:20:22.228 --> 00:20:32.974]  To find out why top capitalists who owned international corporations and banks, international banks, were putting up foundations to fund far-left groups.
[00:20:33.515 --> 00:20:40.699]  What we know now, it was to literally destroy the old culture in order to bring in the new culture, the new society.
[00:20:41.099 --> 00:20:48.643]  So therefore you have the proliferation of sexual activity, the fallout still came from
[00:20:50.231 --> 00:20:50.471]  I think?
[00:21:07.896 --> 00:21:27.080]  If they could get the public to devalue human life, and that's in the writings of Julian Huxley, he says, if we can get society to devalue human life, he says, and take humanity off its pedestal as a supreme being on the planet, then, he said, we can bring in our controlled society with a workable population.
[00:21:27.900 --> 00:21:31.481]  Everything works within culture towards an agenda.
[00:21:31.821 --> 00:21:36.262]  And as Plato said, so long ago, over 2,300 years ago,
[00:21:38.427 --> 00:21:43.009]  He said, culture and cultural changes must be authorized from the top.
[00:21:44.050 --> 00:21:53.234]  If it's grassroots, truly grassroots, then it's outside of the elite's control and ripple effects could occur and it could spread anywhere.
[00:21:53.254 --> 00:21:55.015]  They couldn't control it, contain it anymore.
[00:21:55.075 --> 00:22:06.100]  Therefore, the major changes in culture, which Plato said came through drama and the emulation of actors, actresses, including fashions that they wore and the music they heard,
[00:22:06.500 --> 00:22:09.921]  Had to be strictly regulated and authorised from the top.
[00:22:10.822 --> 00:22:27.648]  The whole science of this, which wasn't always a science, and understood by those in those businesses, was used to the maximum to literally drastically alter culture so radically in the 60s and 70s that they could never return to a past way of living.
[00:22:28.728 --> 00:22:35.551]  We tie that in with another big player, Lord Bertrand Russell, who had experimental schools under royal charter,
[00:22:36.476 --> 00:22:36.976]  We're good to go.
[00:22:57.008 --> 00:23:07.211]  He says the chances, because of study and observation, the chances of them ever bonding with one person for the rest of their life was pretty well obsolete, null and void, wouldn't happen.
[00:23:08.672 --> 00:23:11.732]  Therefore that technique all came into play during the 60s.
[00:23:11.852 --> 00:23:13.753]  It was called free love.
[00:23:15.454 --> 00:23:16.694]  Drugs helped it along the way.
[00:23:19.057 --> 00:23:23.661]  And that was the beginning of what we saw as short-term relationships.
[00:23:25.382 --> 00:23:26.864]  Divorces became more and more common.
[00:23:27.704 --> 00:23:37.112]  Interestingly enough, divorces really took off not because society demanded it or it came from a need or demand from the people.
[00:23:37.853 --> 00:23:42.637]  Divorces took off because the Hollywood stars, and remember too,
[00:23:44.108 --> 00:23:48.629]  The drama industry, the entertainment industry have always said this, the people follow the stars.
[00:23:50.889 --> 00:23:54.470]  And they're the guiding stars in the so-called occult, you see.
[00:23:55.590 --> 00:23:58.231]  We tend to worship wealth and people and famous people.
[00:23:58.791 --> 00:24:01.031]  We want to be like them, we want to identify with them.
[00:24:03.452 --> 00:24:09.133]  The whole idea of divorces came out from Hollywood, the top stars leading the charge for this.
[00:24:09.613 --> 00:24:13.714]  Women started to talk about it, who was getting divorced, what actress from what guy and so on.
[00:24:14.878 --> 00:24:25.263]  And gradually, I put the idea across to them that, well, if they're getting divorced, then maybe so should I. At the same time, the Bourdais techniques were used through all kinds of magazines.
[00:24:25.303 --> 00:24:30.426]  At that time, 97% of all magazine publications were aimed at women.
[00:24:32.059 --> 00:24:41.707]  Because advertisers have said, and it's still taught in marketing schools today, women are far more easy to get to go along with something new than milk meals are.
[00:24:42.088 --> 00:24:47.172]  So within all these magazines and write-ups about their famous actresses, their heroines and so on, the rich ones,
[00:24:48.134 --> 00:24:51.539]  The average women were reading these stories and identifying with them.
[00:24:51.559 --> 00:24:54.904]  They were being told that you can do anything, you can have it all.
[00:24:54.924 --> 00:24:58.510]  You can have a career, you can have a family, you can have a home.
[00:24:58.830 --> 00:25:02.155]  They gave them utter lies and they coined the term superwomen.
[00:25:02.972 --> 00:25:12.420]  So across the whole of Europe and the States and Canada, at the same time, always coordinated at the same time, the media and entertainment industry were pushed promoting stories of superwomen.
[00:25:13.180 --> 00:25:26.231]  And they'd find someone, real or imaginary, we'll never know, who supposedly was a CEO of a company, who had all these children at home, had a great husband, could manage everything and could cook great cuisine, blah, blah.
[00:25:26.871 --> 00:25:29.874]  And that, of course, is a fantasy.
[00:25:30.626 --> 00:25:35.932]  Let's put pressure again on most women to try and live up to the fantasy, as all advertising does.
[00:25:36.833 --> 00:25:44.623]  And most of the stuff we're getting is advertising, or at the very least is basic psychological manipulation.
[00:25:46.024 --> 00:25:47.306]  Bernays techniques again.
[00:25:48.755 --> 00:25:52.880]  Remembering too that he called it the creation of a consumer society.
[00:25:53.521 --> 00:26:00.350]  Well behaved people, as long as there's money going around, they would go into the material world and they would forgo having children.
[00:26:00.550 --> 00:26:06.398]  That's the same thing as Charles Galton Darwin talks about, if we can encourage the woman and the male,
[00:26:06.809 --> 00:26:07.350]  I think so.
[00:26:28.708 --> 00:26:32.930]  Is there for nothing more than their entertainment and never ever was that case?
[00:26:34.871 --> 00:26:39.493]  The greatest social messages are promoted through movies and drama high drama
[00:26:40.492 --> 00:26:53.482]  Through the fixation of emotive sequences, emotional sequences, not logical, factual sequences, but pushing points across in an emotional way which register and fix in the mind.
[00:26:54.482 --> 00:27:01.107]  So emotional content is very, very important, rather than go through an actual discussion or an argument using logic and facts.
[00:27:01.888 --> 00:27:02.628]  There's no debate.
[00:27:03.149 --> 00:27:08.913]  And when you're being downloaded through fiction, your guard is down, the sensor part of your brain
[00:27:09.355 --> 00:27:12.997]  It's not an action as you would in a debate or a lecture.
[00:27:13.638 --> 00:27:18.241]  You're actually in an alpha state, being completely downloaded with new ideas.
[00:27:19.122 --> 00:27:20.302]  Very similar to a computer.
[00:27:21.583 --> 00:27:28.728]  And so therefore, a culture industry, which is called by its own the culture industry,
[00:27:29.963 --> 00:27:33.245]  The Soviet Union had a department called the culture industry.
[00:27:33.285 --> 00:27:36.367]  Their actors and directors were called the cultural leaders.
[00:27:36.828 --> 00:27:52.338]  All you have to do is keep giving them new updates every so often and you can change an entire country or a nation or a block of nations who are all getting the same uploads, upgrades at the same time along certain paths.
[00:27:53.319 --> 00:27:54.900]  Today we call it political correctness.
[00:27:56.302 --> 00:27:58.888]  Most people want to belong to their peer group.
[00:27:58.908 --> 00:28:02.677]  They want to be the same as everyone else when it comes to opinions.
[00:28:04.065 --> 00:28:14.312]  In fact, they judge their own personal sanity by bouncing ideas off their neighbors and friends, who will answer back and agree on these same topics and kind.
[00:28:14.852 --> 00:28:28.260]  It doesn't matter if the topics or what you're given are facts or utter nonsense, as long as everyone agrees at the same time, you'll say, well, I'm sane, and your friends will all agree, because they've had the same information given to them.
[00:28:29.400 --> 00:28:31.783]  We don't only get the same information given to us.
[00:28:32.283 --> 00:28:39.572]  We're led through sequences, even documentaries, to leave you with a predetermined, fixed conclusion on any given topic.
[00:28:40.313 --> 00:28:42.395]  Most folk are once again unaware of this.
[00:28:42.415 --> 00:28:45.298]  They think, I've just been given all the facts on this topic.
[00:28:45.959 --> 00:28:54.067]  And this is the obvious conclusion which is always given to you by the final experts on the particular program.
[00:28:55.008 --> 00:28:56.189]  There's no thinking involved.
[00:28:57.090 --> 00:29:00.353]  We tie this in with Brzezinski.
[00:29:00.894 --> 00:29:08.021]  Brzezinski said in Two Ages, now this guy was way up with the NSA, he's a master geopolitician,
[00:29:09.795 --> 00:29:16.680]  He admits he works in 20, 50 year periods to do with geopolitics in other countries.
[00:29:17.581 --> 00:29:23.085]  But he said himself, the public will shortly be unable to think or reason for themselves.
[00:29:24.586 --> 00:29:34.273]  He was meaning by the form of information that was given to them, the type, the formulas that were in use then in the 1970s.
[00:29:34.693 --> 00:29:38.036]  And eventually he said, they will expect the media
[00:29:40.301 --> 00:29:42.422]  To do all their thinking and reasoning for them.
[00:29:43.642 --> 00:29:45.043]  Well, that's happened today.
[00:29:45.803 --> 00:29:50.524]  That's why people today can't think outside of the programming from television.
[00:29:50.864 --> 00:29:59.066]  I'll give an instance in fact of why TV was so important, to show you how, that it was so important to have it in the homes of ordinary people.
[00:30:00.047 --> 00:30:08.629]  Now most countries in Europe, for instance, up into the 1950s and 60s, and I'll give an example, is Britain.
[00:30:10.148 --> 00:30:13.391]  The working class people did not have credit cards.
[00:30:13.431 --> 00:30:14.892]  You could not get a credit card.
[00:30:16.474 --> 00:30:19.837]  You couldn't get a bank loan without collateral to put something up against it.
[00:30:21.955 --> 00:30:24.517]  So therefore you were at pretty well a fixed income.
[00:30:24.557 --> 00:30:29.540]  There was no extra cash outside of rent, food and so on, clothes for the children, essentials.
[00:30:29.600 --> 00:30:31.621]  There was no extras for luxuries.
[00:30:32.301 --> 00:30:33.902]  There was no credit given to them.
[00:30:34.803 --> 00:30:43.088]  Yet the British government, just like the Chinese government did two years ago, made it a mandate that every household in Britain must get a television set.
[00:30:44.548 --> 00:30:48.171]  And what they did, they made one exception out of all the things that the people could need.
[00:30:48.922 --> 00:30:49.082]  Really?
[00:31:09.858 --> 00:31:10.459]  We're good to go.
[00:31:26.152 --> 00:31:32.236]  And sure enough, the working classes all got these DER, DER was the company that brought them all into Britain.
[00:31:33.476 --> 00:31:36.638]  And the guys came around every weekend, collecting their half-tround five shillings.
[00:31:37.599 --> 00:31:43.242]  And suddenly this, this, and I can remember where I was, it was one of the last areas really to get television.
[00:31:44.723 --> 00:31:46.064]  A real working class area.
[00:31:47.104 --> 00:31:53.728]  I can remember at this high, being taken by my parents to the local park on a weekend.
