[00:00:02.349 --> 00:00:03.490]  This perfect storm.
[00:10:01.964 --> 00:10:04.546]  And now they're just getting rid of standardized testing altogether.
[00:10:04.866 --> 00:10:06.947]  This is how you collapse the civilization.
[00:10:08.308 --> 00:10:10.089]  This is how you collapse the society now.
[00:10:12.813 --> 00:10:25.359]  Coming up at the bottom of the hour, I'm gonna get to the shocking footage, that's some of the most shocking yet, of when two sheriff's deputies are assassinated.
[00:10:25.379 --> 00:10:26.380]  We're gonna play that video.
[00:10:27.581 --> 00:10:34.304]  Their attempted assassination ambush, both shot, both in critical condition, in Los Angeles, for no reason but for being police.
[00:10:34.784 --> 00:10:39.867]  Then Black Lives Matter showed up trying to enter the hospital, screaming, we hope you all die.
[00:10:40.998 --> 00:10:48.623]  And then there was some other police officers that were killed in another area, and the media is celebrating their random execution and their death as well.
[00:10:49.103 --> 00:10:58.889]  So that is all coming up today, and then Roger Stone will be joining us coming up in the second hour from Reno, Nevada.
[00:10:59.450 --> 00:11:03.192]  But what an incredible time to be alive and watching all of this unfold.
[00:11:05.714 --> 00:11:06.194]  Separately,
[00:11:07.773 --> 00:11:28.781]  There's a meme going around the internet saying one day after California legalizes pedophilia, and then it just shows this image of the famous Bay Area skyline with the big pyramidal traveler's insurance building, and it looks like an image of Dante's Inferno.
[00:11:29.361 --> 00:11:35.343]  That's the headline, Newsom signs bill removing automatic penalty for consensual sex acts involving minors.
[00:11:38.117 --> 00:11:40.058]  But children don't have the age of consent.
[00:11:40.078 --> 00:11:41.578]  That's why they can't sign contracts.
[00:11:42.018 --> 00:11:43.719]  That's why they can't join the military.
[00:11:44.119 --> 00:11:46.980]  That's why they can't have sex until they're 18.
[00:11:48.200 --> 00:11:57.904]  It's because people don't want their children being tricked like they do in Eastern Europe, young girls, and put them on a plane, fly them into sex slavery and say, Saudi Arabia.
[00:11:58.684 --> 00:12:03.746]  They've also changed the age of consent to 11 for abortions and vaccinations, where you're
[00:12:04.747 --> 00:12:09.911]  Eleven-year-old can be talked into by the counselor at school to kill their baby or take deadly vaccines.
[00:12:10.332 --> 00:12:12.293]  That's the state coming in and becoming the parents.
[00:12:13.254 --> 00:12:14.555]  And it is so incredibly evil.
[00:12:14.896 --> 00:12:18.158]  California still carries out secret sterilizations, it's come out in the news.
[00:12:18.659 --> 00:12:19.359]  So does Oregon.
[00:12:19.880 --> 00:12:20.640]  It's all eugenics.
[00:12:21.621 --> 00:12:22.662]  And it's all about power.
[00:12:23.443 --> 00:12:24.484]  It's all about control.
[00:12:26.049 --> 00:12:27.650]  So they want this dystopic future.
[00:12:27.670 --> 00:12:31.452]  That's why all the big movies are like Blade Runner and show this hellish future that's coming.
[00:12:32.013 --> 00:12:38.216]  By 2018, supposedly the skies would look like San Francisco's dude back in that 1980s film, Blade Runner.
[00:12:38.236 --> 00:12:41.178]  Yeah, a few years late, but now it's here.
[00:12:41.799 --> 00:12:47.822]  All because they knowingly will not allow any firebreaks to be repaired or built.
[00:12:48.163 --> 00:12:50.284]  They've all grown back up over 30, 40 years.
[00:12:50.584 --> 00:12:52.785]  There's now kindling and dead trees everywhere.
[00:12:53.306 --> 00:12:54.987]  Oh, but also Facebook banned
[00:12:57.090 --> 00:13:08.718]  Facebook banned anyone criticizing the fact that it was arsonists being arrested and saying that's fake news, that it's climate change.
[00:13:08.858 --> 00:13:10.899]  Because when Democrats say something, it's the law.
[00:13:11.340 --> 00:13:15.282]  Even though they just arrested a bunch of arsonists who shot video of them setting the main fires.
[00:13:15.823 --> 00:13:20.906]  In Oregon, in California, they're arresting arsonists who just so happen to be Antifa and BLM.
[00:13:21.146 --> 00:13:23.608]  And that's in local ABC, CBS, NBC News.
[00:13:26.505 --> 00:13:28.506]  So that's all coming up today.
[00:13:28.926 --> 00:13:29.846]  Oh, you're a medical doctor?
[00:13:29.866 --> 00:13:31.387]  Say hydroxychloroquine cures your patients?
[00:13:31.667 --> 00:13:32.668]  Boom, you're taking off YouTube.
[00:13:33.668 --> 00:13:34.769]  Oh, you're the head of a hospital?
[00:13:34.849 --> 00:13:35.409]  They fire you.
[00:13:36.569 --> 00:13:37.650]  And who first reports you?
[00:13:37.730 --> 00:13:38.250]  Big Tech.
[00:13:38.810 --> 00:13:39.611]  They're the minders.
[00:13:40.331 --> 00:13:41.031]  They're the controllers.
[00:13:41.051 --> 00:13:43.912]  This is going to be one hell of a Sunday transmission.
[00:13:43.932 --> 00:13:45.133]  I want to thank you all for tuning in.
[00:13:45.533 --> 00:13:47.294]  Please remember, the only way we reach more people
[00:13:48.772 --> 00:13:55.214]  One way we counter all this corruption is when you spread the word about that local TV station or radio station you're listening to.
[00:13:55.234 --> 00:14:02.976]  And even if you have friends and family outside the area that don't have a local station, tell folks about Infowars.com forward slash show and band out video and share the live link.
[00:14:03.116 --> 00:14:03.596]  Confirmed.
[00:14:03.956 --> 00:14:04.857]  Deep state arsonists.
[00:14:05.797 --> 00:14:08.119]  Behind record-breaking West Coast wildfires.
[00:14:08.159 --> 00:14:09.320]  They set up the climate for it.
[00:14:09.621 --> 00:14:13.284]  They set up not allowing the cutting down of the trees or the dead wood or the kindling.
[00:14:13.724 --> 00:14:18.489]  And then they hype it all up and then their leftist agitators go out and start burning things down.
[00:14:18.509 --> 00:14:23.633]  Then they blame it on you and tell you it's all your fault because you're middle class while they fly around in jumbo jets.
[00:14:23.653 --> 00:14:24.034]  Stay with us.
[00:14:26.989 --> 00:14:31.612]  You know, I'm gonna come back next segment and get into what's really happening with the fires and the rest of the story.
[00:14:31.933 --> 00:14:33.353]  Tucker covers about 90% of it.
[00:14:33.373 --> 00:14:35.175]  I'll give you the rest of it on the other side.
[00:14:35.195 --> 00:14:40.158]  Then I'll get into the police being hunted down and killed and what's really behind that and more 50 days out from the election.
[00:14:40.178 --> 00:14:51.145]  But here's part of Tucker Carlson just a few days ago laying out what's really happening with their claim that it's all climate change when in reality it's their own actions on purpose premeditatedly to destroy civilization as we know it.
[00:14:51.186 --> 00:14:51.526]  Here it is.
[00:14:55.452 --> 00:14:58.536]  Good evening and welcome to a special edition of Tucker Carlson Tonight.
[00:14:58.696 --> 00:15:00.498]  You probably didn't see it live.
[00:15:00.558 --> 00:15:01.439]  Not many people did.
[00:15:01.939 --> 00:15:08.107]  But last month, a former Republican member of Congress called Susan Molinari spoke at the Democratic National Convention.
[00:15:08.667 --> 00:15:10.730]  If you thought about it, it was an odd moment.
[00:15:10.870 --> 00:15:12.972]  Susan Molinari is a very nice person, actually.
[00:15:12.992 --> 00:15:14.594]  People who know her like her.
[00:15:15.535 --> 00:15:19.397]  But it wasn't really clear what she was doing speaking at the Democratic Convention.
[00:15:19.437 --> 00:15:24.620]  Most Democratic voters probably never have heard of Susan Molinari, and her whole speech lasted just a moment.
[00:15:25.080 --> 00:15:26.761]  So what was the point of it, exactly?
[00:15:27.221 --> 00:15:27.942]  Well, here's the point.
[00:15:28.382 --> 00:15:30.903]  Susan Molinari was a top lobbyist for Google.
[00:15:31.243 --> 00:15:33.204]  She was a senior executive at Google until 2018.
[00:15:34.665 --> 00:15:38.348]  She wasn't at the DNC to speak to anyone watching from home on TV.
[00:15:38.868 --> 00:15:41.210]  She was speaking to the Democratic Party itself.
[00:15:41.611 --> 00:15:43.072]  Her message to them was very clear.
[00:15:43.552 --> 00:15:45.333]  Silicon Valley is on your side.
[00:15:45.454 --> 00:15:46.875]  We'll help you win this thing.
[00:15:47.515 --> 00:15:51.879]  By inviting Susan Molinari, Democrats also sent a message back to Silicon Valley.
[00:15:52.379 --> 00:15:54.020]  You have nothing to fear from us.
[00:15:54.521 --> 00:15:56.922]  Elect Joe Biden and you can keep your monopolies.
[00:15:56.963 --> 00:15:59.545]  You can extend your control over American life.
[00:16:00.455 --> 00:16:02.656]  This was a bargain a long time in the making.
[00:16:03.136 --> 00:16:08.717]  Immediately after Donald Trump was elected in 2016, executives at Google held a company-wide meeting.
[00:16:08.817 --> 00:16:10.538]  Really, it was more of a group therapy session.
[00:16:11.018 --> 00:16:15.079]  The company's chief financial officer, Ruth Porat, broke down in tears as she spoke.
[00:16:15.639 --> 00:16:24.582]  She asked how Google could, quote, use the great strength and resources and reach we have to continue to advance really important values, end quote.
[00:16:25.042 --> 00:16:25.902]  What are those values?
[00:16:26.583 --> 00:16:27.503]  They're not your values.
[00:16:28.283 --> 00:16:31.707]  Google co-founder Sergey Brin was also devastated by Trump's victory.
[00:16:31.827 --> 00:16:34.330]  He found the election, quote, deeply offensive.
[00:16:35.031 --> 00:16:38.515]  Watch Brin go full encounter group in front of his employees.
[00:16:39.737 --> 00:16:45.383]  Most people here are pretty upset and pretty sad for
[00:16:47.708 --> 00:16:56.516]  Because of the election, as an immigrant and a refugee, I certainly find this election deeply offensive.
[00:16:56.936 --> 00:16:59.618]  Is there anything positive you see from this election result?
[00:17:03.482 --> 00:17:05.684]  Boy, that's a really tough one right now.
[00:17:06.952 --> 00:17:07.172]  Hmm.
[00:17:07.673 --> 00:17:08.874]  Another oppressed billionaire.
[00:17:09.414 --> 00:17:19.301]  At the same meeting, Brin suggested that Google change its algorithm, the very core of its search business, to promote, quote, better quality of governance and decision-making.
[00:17:20.161 --> 00:17:21.022]  What does that mean?
[00:17:21.823 --> 00:17:24.705]  In other words, they want to subvert democracy.
[00:17:24.725 --> 00:17:27.987]  And everyone in the room knew exactly what he was saying, and they got to work doing it.
[00:17:28.647 --> 00:17:31.429]  Two years later, video of that company-wide meeting leaked.
[00:17:31.489 --> 00:17:33.171]  Any other company would have been ashamed of it.
[00:17:34.008 --> 00:17:41.414]  The head of America's most powerful corporation caught on camera planning to manipulate voting in elections.
[00:17:42.034 --> 00:17:43.055]  But Google was not embarrassed.
[00:17:43.075 --> 00:17:44.196]  They didn't stop either.
[00:17:44.216 --> 00:17:45.978]  No one made them stop, so they continued.
[00:17:46.678 --> 00:17:48.099]  Last year, a new video emerged.
[00:17:48.139 --> 00:17:57.367]  This video showed a woman called Jen Janai, who works in the artificial intelligence unit at Google, confessing to trying to manipulate the 2020 election, the one underway now.
[00:17:57.907 --> 00:18:06.854]  Jenai said, quote, we all got screwed over in 2016, so we're rapidly been like, what happened there, and how do we prevent it from happening again?
[00:18:08.716 --> 00:18:19.305]  Once again, she's speaking about the results of a free and fair Democratic election that Google, the most powerful company in the world, didn't like, so they're trying to make sure it never happens again.
[00:18:20.406 --> 00:18:22.548]  It's brazen, but they're doing it.
[00:18:23.493 --> 00:18:24.214]  Why are they doing it?
[00:18:24.754 --> 00:18:25.615]  Well, imagine you're them.
[00:18:26.015 --> 00:18:29.759]  Imagine we're back in 2016 and you're a tech executive in Northern California.
[00:18:29.779 --> 00:18:30.520]  You're in your 30s.
[00:18:30.540 --> 00:18:33.283]  You're not particularly impressive, though you have all the right credentials.
[00:18:33.743 --> 00:18:37.006]  And yet, somehow, you are now worth hundreds of billions of dollars.
[00:18:37.627 --> 00:18:39.929]  And you look on as Donald Trump wins the White House.
[00:18:39.949 --> 00:18:43.252]  He's running on the most populous Republican platform since Teddy Roosevelt.
[00:18:43.633 --> 00:18:47.456]  On the other side, openly socialist candidates are elected to Congress.
[00:18:48.217 --> 00:18:50.239]  People are tired of oligarchs like you.
[00:18:50.279 --> 00:18:51.760]  You have not improved America.
[00:18:52.100 --> 00:18:53.881]  You know this could be very bad for you.
[00:18:54.242 --> 00:18:57.304]  Someone might tax your stock options or seize your private islands.
[00:18:57.324 --> 00:18:58.365]  So what do you do next?
[00:18:59.261 --> 00:19:00.741]  Well, Silicon Valley had a few ideas.
[00:19:01.482 --> 00:19:07.143]  First, they boosted Democrats who were aligned with Wall Street and multi-billion dollar companies like theirs.
[00:19:07.844 --> 00:19:18.127]  As long as people were distracted by identity politics, as long as they were fighting about unresolvable issues like race and gender, you might be able to distract them long enough that you could pull this off.
[00:19:19.212 --> 00:19:25.720]  You won't talk about the fact that you don't pay taxes if you're busy attacking cops and other powerless members of the working class.
[00:19:26.461 --> 00:19:32.228]  So there's a reason Kamala Harris and Joe Biden are now the standard bearers of the Democratic Party.
[00:19:32.288 --> 00:19:35.311]  It's not because Democratic voters love them so much they didn't.
[00:19:35.812 --> 00:19:36.893]  It's because they're compliant.
[00:19:37.654 --> 00:19:39.816]  Joe Biden has trouble formulating sentences clearly.
[00:19:39.856 --> 00:19:41.878]  He's not posing a threat to tech monopolies.
[00:19:41.918 --> 00:19:45.060]  Of course not, after 50 years of shilling for corporations.
[00:19:45.741 --> 00:19:53.167]  And no politician has demonstrated more clearly her ability to use race tension to divide this country more effectively than Kamala Harris has.
[00:19:53.928 --> 00:19:55.749]  Kamala Harris has applauded the riots.
[00:19:56.150 --> 00:19:56.390]  Watch.
[00:19:58.120 --> 00:20:02.503]  I want to make clear that I know that there are protests still happening in major cities across the United States.
[00:20:02.643 --> 00:20:06.246]  I'm just not seeing the reporting on it that I had for the first few weeks.
[00:20:06.686 --> 00:20:07.167]  That's right.
[00:20:07.267 --> 00:20:08.268]  But they're not going to stop.
[00:20:08.328 --> 00:20:09.288]  They're not going to stop.
[00:20:09.929 --> 00:20:12.251]  This is a movement, I'm telling you.
[00:20:12.271 --> 00:20:17.795]  They're not going to stop before Election Day in November, and they're not going to stop after Election Day.
[00:20:17.935 --> 00:20:21.417]  Everyone should take note of that on both levels.
[00:20:21.538 --> 00:20:23.239]  They're not going to let up, and they should not.
[00:20:25.609 --> 00:20:29.290]  The rioters aren't going to let up, and they should not, says Kamala Harris.
[00:20:29.950 --> 00:20:30.150]  Right.
[00:20:30.650 --> 00:20:35.371]  This is the same Kamala Harris who tweeted that Michael Brown was murdered by cops in Ferguson, Missouri.
[00:20:35.671 --> 00:20:36.492]  He wasn't murdered.
[00:20:36.812 --> 00:20:37.832]  That's not speculation.
[00:20:37.892 --> 00:20:41.313]  Barack Obama's own Justice Department concluded he wasn't murdered.
[00:20:41.713 --> 00:20:42.393]  That's a lie.
[00:20:42.753 --> 00:20:47.494]  But Harris repeated it anyway, and her allies at Twitter allowed her to disseminate that lie nationwide.
[00:20:47.855 --> 00:20:48.935]  They didn't pull that tweet down.
[00:20:49.855 --> 00:20:53.476]  So Silicon Valley is doing all it can to help the Biden-Harris ticket.
[00:20:54.246 --> 00:20:55.327]  And this is just the beginning.
[00:20:55.407 --> 00:21:02.733]  This year, for example, LinkedIn founder Reid Hoffman and other billionaires threw major financial support behind an organization called Acronym.
[00:21:03.273 --> 00:21:08.998]  Reportedly, Acronym has set up bogus news sites and swing states to portray Democrats in a positive light.
[00:21:10.199 --> 00:21:14.762]  Oh, kind of like the propaganda they claimed Russia was propagating in the last election.
[00:21:15.383 --> 00:21:15.563]  Right.
[00:21:15.923 --> 00:21:18.905]  This is the party that loves to complain about the death of local journalism.
[00:21:19.326 --> 00:21:21.828]  But they are funding a propaganda network
[00:21:23.038 --> 00:21:25.319]  To change people's opinions before an election.
[00:21:25.799 --> 00:21:28.080]  And the goal, of course, isn't just to make Democrats look good.
[00:21:28.160 --> 00:21:31.662]  It's to make you terrified, because scared populations are easier to control.
[00:21:32.342 --> 00:21:36.844]  That's why Facebook blocked a video featuring the president pointing out an obvious scientific truth.
[00:21:37.244 --> 00:21:38.505]  And no scientist disagrees with this.
[00:21:38.945 --> 00:21:43.027]  Children are mostly not at risk from the effects of the coronavirus.
[00:21:43.607 --> 00:21:50.010]  According to the scientific journal, The Lancet, the virus is, quote, generally a mild disease in children, including infants.
[00:21:50.570 --> 00:21:52.051]  Fatal outcomes are, quote, rare.
[00:21:53.109 --> 00:22:00.914]  If you knew that, you might have real questions about the lockdowns Joe Biden and the teachers' unions and so many other institutions in this country are pushing.
[00:22:01.954 --> 00:22:02.815]  So you can't know it.
[00:22:02.895 --> 00:22:06.937]  Facebook decided you should not be able to see those data from the Lancet.
[00:22:07.577 --> 00:22:16.843]  Twitter went a step further and had their 27-year-old liberal arts majors lock down the president's campaign account until the campaign deleted video of themselves.
[00:22:16.863 --> 00:22:18.364]  All right, folks, we're a live show.
[00:22:18.384 --> 00:22:19.464]  A lot of crazy stuff happens.
[00:22:19.484 --> 00:22:20.425]  That's part of the fun of it.
[00:22:21.345 --> 00:22:25.469]  They played the wrong clip, but that's actually more important, Tucker, on Silicon Valley.
[00:22:25.889 --> 00:22:36.858]  The part I wanted to get to was how he lays out the history with their own clips of them saying the world's going to end if you don't give total power over to all of them, and then showing how they changed the law to not let you cut any of the firebreaks that are needed.
[00:22:37.319 --> 00:22:38.540]  This is simple, folks.
[00:22:38.560 --> 00:22:41.682]  This is like not grounding the electricity in your house.
[00:22:41.702 --> 00:22:43.084]  You're going to get struck by lightning and burn down.
[00:22:43.784 --> 00:22:45.245]  The Democrats know exactly what they're doing.
[00:22:45.285 --> 00:22:46.306]  It's shutting America down.
[00:22:46.466 --> 00:22:46.947]  We'll be right back.
[00:22:49.187 --> 00:22:49.868]  Welcome back, folks.
[00:22:49.948 --> 00:22:50.989]  I'm Alex Jones, your host.
[00:22:51.049 --> 00:22:52.911]  And listen, I can talk for 10 hours straight.
[00:22:53.452 --> 00:22:54.313]  Everybody knows that.
[00:22:54.833 --> 00:22:58.818]  But I've always said if somebody better comes along, I'd step aside for them.
[00:22:59.378 --> 00:23:03.483]  So I don't normally air two clips of Tucker Carlson in one hour.
[00:23:04.504 --> 00:23:07.187]  But since I mentioned it, I thought we'd get to this report.
