[00:00:00.552 --> 00:00:28.032]  We beseech the governor to think about his family and their future, and all of our family's futures, and to do the right thing, and to do what the Republican legislature already says they want, and call that new emergency session, and so we can expose the total fraud that we've already been discovering, and stop our birthright being stolen by the Communist Chinese agent Joe Biden and the Democratic Party!
[00:02:23.998 --> 00:02:24.318]  USA!
[00:02:24.338 --> 00:02:24.438]  USA!
[00:02:24.458 --> 00:02:24.718]  USA!
[00:02:24.738 --> 00:02:24.798]  USA!
[00:02:24.839 --> 00:02:25.019]  USA!
[00:02:25.339 --> 00:02:25.439]  USA!
[00:02:25.459 --> 00:02:25.679]  USA!
[00:02:25.699 --> 00:02:25.799]  USA!
[00:02:25.819 --> 00:02:25.939]  USA!
[00:02:26.119 --> 00:02:26.239]  USA!
[00:02:26.259 --> 00:02:26.360]  USA!
[00:02:26.400 --> 00:02:26.520]  USA!
[00:02:26.660 --> 00:02:26.800]  USA!
[00:02:27.000 --> 00:02:27.080]  USA!
[00:02:27.100 --> 00:02:27.320]  USA!
[00:02:27.340 --> 00:02:27.420]  USA!
[00:02:27.440 --> 00:02:27.540]  USA!
[00:02:27.560 --> 00:02:27.640]  USA!
[00:02:27.660 --> 00:02:27.720]  USA!
[00:02:27.740 --> 00:02:27.800]  USA!
[00:02:27.820 --> 00:02:28.021]  USA!
[00:02:28.041 --> 00:02:28.121]  USA!
[00:02:28.141 --> 00:02:28.281]  USA!
[00:02:28.301 --> 00:02:28.441]  USA!
[00:02:29.762 --> 00:02:29.842]  USA!
[00:02:30.002 --> 00:02:30.122]  USA!
[00:02:30.142 --> 00:02:30.302]  USA!
[00:02:30.322 --> 00:02:30.422]  USA!
[00:02:30.862 --> 00:02:31.163]  USA!
[00:02:31.263 --> 00:02:31.363]  USA!
[00:02:31.563 --> 00:02:31.663]  USA!
[00:02:32.102 --> 00:02:35.683]  Massive evidence of fraud has been found in this county.
[00:02:36.263 --> 00:02:37.563]  It's been found in other counties.
[00:02:38.724 --> 00:02:42.445]  And every time they find the fraud, it's two to one against Trump.
[00:02:42.825 --> 00:02:44.485]  They stole this election!
[00:02:44.505 --> 00:02:48.286]  And we're not letting them get away with it.
[00:02:48.746 --> 00:02:51.307]  Joe Biden is not president-elect.
[00:02:51.767 --> 00:02:52.947]  That is not an office.
[00:02:53.327 --> 00:02:55.208]  The media cannot declare the winner.
[00:02:55.508 --> 00:03:00.289]  Joe Biden said he would wait until it was certified by the states.
[00:03:01.323 --> 00:03:12.867]  It's not been certified by one state yet because it's a fraud and we're not letting them steal our republic from us!
[00:03:12.907 --> 00:03:14.568]  Trump wanted a landslide.
[00:03:15.068 --> 00:03:26.612]  Trump wanted bigger numbers in Florida and Georgia and Pennsylvania and Michigan and everywhere in Arizona until they closed the polls and secretly kept counting.
[00:03:27.112 --> 00:03:27.912]  They've been caught.
[00:03:28.713 --> 00:03:29.593]  It's been admitted.
[00:03:30.299 --> 00:03:35.801]  And we are here to tell the legislature, put pressure on the governor.
[00:03:36.101 --> 00:03:42.404]  We know the Republican legislature says they want an emergency session, but only the governor can do it!
[00:03:42.944 --> 00:03:49.027]  And if he doesn't, he'll be known as the man that brought down America for the Communist Chinese!
[00:03:50.467 --> 00:03:54.589]  The governor must call an emergency session now!
[00:03:55.996 --> 00:04:00.460]  And be the example to other states to call emergency sessions.
[00:04:01.761 --> 00:04:07.847]  In Detroit, the county officials found total fraud against Trump and that he really won the election.
[00:04:08.587 --> 00:04:13.692]  They found that 120% voted for Biden of Democrats.
[00:04:13.712 --> 00:04:14.673]  That's impossible.
[00:04:15.613 --> 00:04:17.135]  And so they wouldn't certify it.
[00:04:17.155 --> 00:04:18.176]  They got death threats.
[00:04:18.777 --> 00:04:26.720]  And said, fine, we'll certify it, but we are handing this certification over to the auditor of the state.
[00:04:27.721 --> 00:04:28.561]  All right.
[00:04:28.581 --> 00:04:31.622]  Again, ladies and gentlemen, this woman's in front of us flipping us off.
[00:04:31.642 --> 00:04:32.323]  We can't leave, sir.
[00:04:32.363 --> 00:04:32.463]  USA!
[00:04:33.283 --> 00:04:33.443]  USA!
[00:04:33.463 --> 00:04:33.563]  USA!
[00:04:33.583 --> 00:04:33.723]  USA!
[00:04:33.743 --> 00:04:33.863]  USA!
[00:04:33.883 --> 00:04:34.083]  USA!
[00:04:34.103 --> 00:04:34.163]  USA!
[00:04:34.183 --> 00:04:34.243]  USA!
[00:04:34.483 --> 00:04:34.624]  USA!
[00:04:34.644 --> 00:04:34.724]  USA!
[00:04:34.744 --> 00:04:34.904]  USA!
[00:04:34.924 --> 00:04:34.984]  USA!
[00:04:35.004 --> 00:04:35.064]  USA!
[00:04:35.084 --> 00:04:35.324]  USA!
[00:04:35.344 --> 00:04:35.424]  USA!
[00:04:35.464 --> 00:04:35.544]  USA!
[00:04:35.604 --> 00:04:35.844]  USA!
[00:04:35.864 --> 00:04:36.004]  USA!
[00:04:36.024 --> 00:04:36.144]  USA!
[00:04:36.164 --> 00:04:36.224]  USA!
[00:04:36.244 --> 00:04:36.304]  USA!
[00:04:36.324 --> 00:04:36.544]  USA!
[00:04:36.564 --> 00:04:36.704]  USA!
[00:04:36.924 --> 00:04:37.045]  USA!
[00:04:37.065 --> 00:04:37.185]  USA!
[00:04:37.205 --> 00:04:37.325]  USA!
[00:04:37.345 --> 00:04:37.405]  USA!
[00:04:37.425 --> 00:04:37.485]  USA!
[00:04:37.505 --> 00:04:37.685]  USA!
[00:04:37.705 --> 00:04:37.785]  USA!
[00:04:37.805 --> 00:04:37.885]  USA!
[00:04:38.325 --> 00:04:38.465]  USA!
[00:04:38.485 --> 00:04:38.585]  USA!
[00:04:38.605 --> 00:04:38.685]  USA!
[00:04:38.705 --> 00:04:38.825]  USA!
[00:04:38.845 --> 00:04:38.985]  USA!
[00:04:39.005 --> 00:04:39.085]  USA!
[00:04:39.105 --> 00:04:39.225]  USA!
[00:04:39.245 --> 00:04:39.425]  USA!
[00:04:39.445 --> 00:04:39.506]  USA!
[00:04:39.526 --> 00:04:39.606]  USA!
[00:04:39.626 --> 00:04:39.846]  USA!
[00:04:39.946 --> 00:04:40.066]  USA!
[00:04:40.446 --> 00:04:40.546]  USA!
[00:04:40.566 --> 00:04:40.646]  USA!
[00:04:40.706 --> 00:04:40.786]  USA!
[00:04:40.806 --> 00:04:40.926]  USA!
[00:04:40.946 --> 00:04:41.066]  USA!
[00:04:41.086 --> 00:04:41.166]  USA!
[00:04:41.186 --> 00:04:41.306]  USA!
[00:04:41.326 --> 00:04:41.506]  USA!
[00:04:41.526 --> 00:04:41.606]  USA!
[00:04:41.626 --> 00:04:41.806]  USA!
[00:04:41.826 --> 00:04:41.927]  USA!
[00:04:42.007 --> 00:04:42.067]  USA!
[00:04:42.087 --> 00:04:42.207]  USA!
[00:04:42.247 --> 00:04:42.307]  USA!
[00:04:42.327 --> 00:04:42.507]  USA!
[00:04:42.567 --> 00:04:42.647]  USA!
[00:04:42.707 --> 00:04:42.787]  USA!
[00:04:43.347 --> 00:04:43.487]  USA!
[00:04:43.507 --> 00:04:43.567]  USA!
[00:04:43.587 --> 00:04:43.647]  USA!
[00:04:43.667 --> 00:04:43.827]  USA!
[00:04:43.847 --> 00:04:43.927]  USA!
[00:04:43.947 --> 00:04:44.047]  USA!
[00:04:44.067 --> 00:04:44.187]  USA!
[00:04:44.207 --> 00:04:44.347]  USA!
[00:04:44.428 --> 00:04:44.488]  USA!
[00:04:44.508 --> 00:04:44.648]  USA!
[00:04:44.668 --> 00:04:44.748]  USA!
[00:04:44.768 --> 00:04:44.928]  USA!
[00:04:44.948 --> 00:04:45.008]  USA!
[00:04:45.028 --> 00:04:45.268]  USA!
[00:04:45.288 --> 00:04:45.368]  USA!
[00:04:46.108 --> 00:04:46.268]  USA!
[00:04:46.288 --> 00:04:46.348]  USA!
[00:04:46.368 --> 00:04:46.528]  USA!
[00:04:46.568 --> 00:04:46.668]  USA!
[00:04:46.768 --> 00:04:47.049]  USA!
[00:04:47.069 --> 00:04:47.129]  USA!
[00:04:47.209 --> 00:04:47.309]  USA!
[00:04:47.369 --> 00:04:47.449]  USA!
[00:04:47.469 --> 00:04:47.589]  USA!
[00:04:47.609 --> 00:04:47.689]  USA!
[00:04:47.709 --> 00:04:47.849]  USA!
[00:04:48.604 --> 00:04:49.445]  But she's not!
[00:04:49.885 --> 00:04:55.709]  We Americans are the resistance to the globalists!
[00:04:55.729 --> 00:04:58.871]  And the globalists are not getting control of our republic!
[00:04:58.991 --> 00:05:00.412]  I'll be right back with you folks!
[00:05:00.492 --> 00:05:01.333]  We love you!
[00:05:02.894 --> 00:05:07.097]  The governor must call an emergency session of the legislature.
[00:05:07.718 --> 00:05:09.139]  The Democrats are so scared.
[00:05:09.219 --> 00:05:11.280]  Everywhere they spot-check, we found the fraud.
[00:05:11.620 --> 00:05:13.782]  The total fraud has been discovered.
[00:05:14.434 --> 00:05:18.417]  We cannot allow this foreign Chinese funded coup against America!
[00:05:18.917 --> 00:05:20.958]  America is in grave danger!
[00:05:21.399 --> 00:05:23.080]  The world is going under U.N.
[00:05:23.360 --> 00:05:24.221]  martial law!
[00:05:24.641 --> 00:05:29.544]  The depression that comes from this will devastate and kill millions from starvation!
[00:05:30.024 --> 00:05:33.487]  This is a 21st century economic attack!
[00:05:33.847 --> 00:05:36.609]  We must struggle out of the martial law!
[00:05:37.049 --> 00:05:38.890]  America must lead the way!
[00:05:40.311 --> 00:05:42.613]  And Georgia must lead the way!
[00:05:43.069 --> 00:05:49.153]  With a special emergency session to investigate and document all of the fraud.
[00:05:49.793 --> 00:05:52.195]  America is awakening!
[00:05:52.657 --> 00:05:58.839]  To the communist Chinese that are funding organizations to divide our nation!
[00:05:59.219 --> 00:06:13.904]  Governor Kemp, call a special session today or we'll be a thousand strong tomorrow, five thousand strong the next day, ten thousand strong Saturday, and we will occupy Atlanta!
[00:06:13.924 --> 00:06:15.385]  I love you guys!
[00:06:15.485 --> 00:06:16.245]  Love you too!
[00:06:18.006 --> 00:06:19.226]  Stop the steal!
[00:06:20.586 --> 00:06:21.767]  Stop the steal!
[00:06:24.762 --> 00:06:26.763]  Everyone watching, take to the streets!
[00:06:27.444 --> 00:06:28.344]  Leave your jobs!
[00:06:30.806 --> 00:06:31.847]  Take to the streets!
[00:06:35.489 --> 00:06:37.550]  Our election is not transparent!
[00:06:38.031 --> 00:06:40.012]  We're not allowed to check signatures!
[00:06:40.272 --> 00:06:42.193]  We're not allowed to ask questions!
[00:06:42.594 --> 00:06:45.135]  Facebook and Twitter are de-platforming us!
[00:06:45.616 --> 00:06:47.417]  We must come out in the streets!
[00:06:48.024 --> 00:06:48.806]  Chant with me!
[00:06:49.187 --> 00:06:50.549]  Stop the steal!
[00:06:50.970 --> 00:06:52.173]  Stop the steal!
[00:06:52.554 --> 00:06:53.876]  Stop the steal!
[00:06:54.297 --> 00:06:55.620]  Stop the steal!
[00:06:55.981 --> 00:06:57.263]  Stop the steal!
[00:06:57.644 --> 00:06:59.147]  Who's bringing a friend tomorrow?
[00:07:00.592 --> 00:07:05.315]  We'll be 500 strong today, 1,000 tomorrow, 10,000 on Saturday.
[00:07:05.395 --> 00:07:08.276]  Call our governor, Kip.
[00:07:08.336 --> 00:07:12.399]  Call everyone you know that will be in front of the governor's mansion.
[00:07:12.659 --> 00:07:17.641]  We'll be at the Capitol until the state legislator convenes and chooses the electors.
[00:07:17.982 --> 00:07:21.203]  We don't want a rigged election!
[00:07:21.764 --> 00:07:21.904]  USA!
[00:07:22.064 --> 00:07:22.244]  USA!
[00:07:22.264 --> 00:07:22.384]  USA!
[00:07:22.444 --> 00:07:22.624]  USA!
[00:07:23.104 --> 00:07:23.245]  USA!
[00:07:23.265 --> 00:07:23.605]  USA!
[00:07:23.625 --> 00:07:23.825]  USA!
[00:07:29.966 --> 00:07:31.507]  Do you hear us, Governor Pence?
[00:07:32.527 --> 00:07:34.388]  We're going nowhere, Governor Pence.
[00:07:35.269 --> 00:07:36.169]  We'll bring Pence.
[00:07:36.810 --> 00:07:39.631]  This will be Occupy Meets Tea Party.
[00:07:39.671 --> 00:07:40.712]  Who's with us?
[00:07:40.792 --> 00:07:44.133]  Every state, every day.
[00:07:44.353 --> 00:07:46.074]  Every state, every day.
[00:07:46.334 --> 00:07:48.095]  Every state, every day.
[00:07:48.516 --> 00:07:50.917]  Ladies and gentlemen,
[00:07:52.208 --> 00:07:59.374]  Our country is literally fighting for its life from a multinational global takeover.
[00:07:59.394 --> 00:08:09.783]  The Davos Group and the United Nations admit they are in the middle of a takeover of the planet.
[00:08:09.803 --> 00:08:14.406]  They are putting the planet under UN World Government martial law.
[00:08:14.907 --> 00:08:15.848]  It's all official.
[00:08:16.963 --> 00:08:30.426]  We are here with our Declaration of Independence to the globalists, telling them we are not your slaves, we do not accept your stolen election, or your Communist Chinese agent dominated, and we declare 1776 against the New World Order! 1776!
[00:08:43.099 --> 00:08:47.961]  1776!
[00:08:43.119 --> 00:08:47.961]  1776!
[00:08:43.179 --> 00:08:47.961]  In Communist China, their major papers brag that they are conquering America.
[00:08:47.981 --> 00:08:51.443]  The globalists openly funded this election fraud
[00:09:06.590 --> 00:09:25.301]  And are hoping that no legislatures call emergency sessions to properly investigate, because even the spot checks have found votes in every major county by the thousands stolen from Trump and given to the criminal Chinese Communist agent Joe Biden.
[00:09:28.282 --> 00:09:32.885]  Globalism is about countries' leaders selling out their people.
[00:09:33.805 --> 00:09:34.866]  And this is the endgame
[00:09:35.456 --> 00:09:39.120]  Of globalism, totally conquering our nation.
[00:09:40.001 --> 00:09:44.645]  And Georgia has a real chance to save America!
[00:09:48.849 --> 00:09:58.859]  We beseech the governor to think about his family and their future and all of our family's futures, and to do the right thing.
[00:09:59.423 --> 00:10:19.131]  And to do what the Republican legislature already says they want, and call that new emergency session, and so we can expose the total fraud that we've already been discovering, and stop our birthright being stolen by the Communist Chinese agent Joe Biden and the Democratic Party!
[00:10:20.452 --> 00:10:20.792]  Special Session!
[00:10:20.812 --> 00:10:21.153]  Special Session!
[00:10:21.173 --> 00:10:21.473]  Special Session!
[00:10:21.493 --> 00:10:21.793]  Special Session!
[00:10:21.813 --> 00:10:22.133]  Special Session!
[00:10:22.153 --> 00:10:22.494]  Special Session!
[00:10:22.514 --> 00:10:22.874]  Special Session!
[00:10:22.894 --> 00:10:23.234]  Special Session!
[00:10:23.254 --> 00:10:23.574]  Special Session!
[00:10:23.594 --> 00:10:24.075]  Special Session!
[00:10:24.095 --> 00:10:24.475]  Special Session!
[00:10:24.495 --> 00:10:24.795]  Special Session!
[00:10:24.815 --> 00:10:25.115]  Special Session!
[00:10:25.136 --> 00:10:25.436]  Special Session!
[00:10:25.456 --> 00:10:25.936]  Special Session!
[00:10:25.996 --> 00:10:26.396]  Special Session!
[00:10:26.416 --> 00:10:26.757]  Special Session!
[00:10:26.777 --> 00:10:27.197]  Special Session!
[00:10:27.597 --> 00:10:27.938]  Special Session!
[00:10:27.958 --> 00:10:28.278]  Special Session!
[00:10:28.298 --> 00:10:28.598]  Special Session!
[00:10:28.618 --> 00:10:29.139]  Special Session!
[00:10:29.159 --> 00:10:29.499]  Special Session!
[00:10:29.519 --> 00:10:29.859]  Special Session!
[00:10:29.899 --> 00:10:30.339]  Special Session!
[00:10:30.720 --> 00:10:31.080]  Special Session!
[00:10:31.100 --> 00:10:31.420]  Special Session!
[00:10:31.480 --> 00:10:31.961]  Special Session!
[00:10:32.281 --> 00:10:32.681]  Special Session!
[00:10:32.701 --> 00:10:33.001]  Special Session!
[00:10:33.021 --> 00:10:33.502]  Special Session!
[00:10:33.822 --> 00:10:34.222]  Special Session!
[00:10:34.242 --> 00:10:34.603]  Special Session!
[00:10:34.623 --> 00:10:35.003]  Special Session!
[00:10:35.323 --> 00:10:35.723]  Special Session!
[00:10:35.743 --> 00:10:36.084]  Special Session!
[00:10:36.104 --> 00:10:36.524]  Special Session!
[00:10:36.824 --> 00:10:37.205]  Special Session!
[00:10:37.225 --> 00:10:37.525]  Special Session!
[00:10:37.545 --> 00:10:37.865]  Special Session!
[00:10:37.885 --> 00:10:38.205]  Special Session!
[00:10:38.345 --> 00:10:38.726]  Special Session!
[00:10:38.746 --> 00:10:39.066]  Special Session!
[00:10:39.086 --> 00:10:39.446]  Special Session!
[00:10:41.148 --> 00:10:41.508]  Special Session!
[00:10:41.528 --> 00:10:41.948]  Special Session!
[00:10:41.968 --> 00:10:42.408]  Special Session!
[00:10:42.428 --> 00:10:42.829]  Special Session!
[00:10:42.849 --> 00:10:43.449]  Special Session!
[00:10:43.469 --> 00:10:43.930]  Special Session!
[00:10:43.950 --> 00:10:44.410]  Special Session!
[00:10:44.430 --> 00:10:45.351]  Special Session!
[00:10:45.371 --> 00:10:45.811]  Special Session!
[00:10:45.851 --> 00:10:46.592]  Special Session!
[00:10:46.612 --> 00:10:47.412]  Special Session!
[00:10:47.432 --> 00:10:47.953]  Special Session!
[00:10:48.877 --> 00:10:50.918]  They don't count duplicate votes.
[00:10:51.659 --> 00:10:54.201]  They don't verify addresses or signatures.
[00:10:54.761 --> 00:11:00.125]  And in spite of this, they still find every day ballots that were not counted.
[00:11:00.365 --> 00:11:03.367]  The majority of them going for President Trump.
[00:11:09.500 --> 00:11:14.284]  The vote on election day was rigged and now the recount is rigged.
[00:11:14.644 --> 00:11:22.150]  They are trying to certify the results tomorrow so that they could steal this election in Georgia and steal this entire thing.
[00:11:22.551 --> 00:11:24.372]  We're not going to let it happen!
[00:11:24.412 --> 00:11:26.134]  That's right!
[00:11:26.474 --> 00:11:32.679]  We the people are here to keep China Joe and the New World Order.
[00:11:33.099 --> 00:11:34.180]  America first!
[00:11:34.580 --> 00:11:35.241]  America first!
[00:11:44.676 --> 00:11:51.320]  The globalists have been caught red-handed, engaged in massive fraud, and the people know!
[00:11:52.261 --> 00:12:02.587]  And the people will not accept this fraudulent election, and just like in other countries, bare minimum, we need a new election called in the disputed states!
[00:12:05.148 --> 00:12:06.349]  Stop the steal!
[00:12:06.729 --> 00:12:07.850]  Stop the steal!
[00:12:08.210 --> 00:12:09.271]  Stop the steal!
[00:12:20.216 --> 00:12:24.977]  Ryan Kemp, the Republican Governor, is letting this happen!
[00:12:25.497 --> 00:12:29.139]  And the Republican Secretary of State is a criminal!
[00:12:29.499 --> 00:12:32.059]  And he is letting them steal this election!
[00:12:32.180 --> 00:12:36.401]  Because the Governor's Chief of Staff is on the payroll of Dominion!
[00:12:37.472 --> 00:12:37.972]  It's illegal!
[00:12:38.052 --> 00:12:38.652]  It's illegal!
[00:12:38.672 --> 00:12:39.653]  It's illegal!
[00:12:39.713 --> 00:12:40.693]  It's illegal!
[00:12:40.773 --> 00:12:41.373]  It's illegal!
[00:13:00.819 --> 00:13:05.741]  This is just day one, and I want to salute and commend everybody that showed up here today.
[00:13:06.021 --> 00:13:09.822]  It's going to get bigger and bigger as patriots around the country see this.
[00:13:10.522 --> 00:13:22.566]  And I know on Saturday, there's going to be unbelievably 10,000 people, but I know all the millions watching, we love you, and we appreciate you, and we'll never give up on America for this new world order to take over!
[00:13:25.520 --> 00:13:26.080]  Yeah, we need you every day!
[00:13:26.100 --> 00:13:27.241]  Let's let the governor know how often you're coming out!
[00:13:27.261 --> 00:13:27.441]  Every day!
[00:13:27.461 --> 00:13:27.801]  Every day!
[00:13:27.841 --> 00:13:28.081]  Every day!
[00:13:28.101 --> 00:13:28.281]  Every day!
[00:13:28.301 --> 00:13:28.561]  Every day!
[00:13:28.581 --> 00:13:28.821]  Every day!
