[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[00:08:38.968 --> 00:08:42.891]  And, oh, when you use it, we're giving you free cryptocurrency.
[00:08:43.231 --> 00:08:56.301]  Bill Gates has announced it in the white papers, in the reports, in the prospectus to shareholders that, oh, by the way, how do they get kids to go play these video games where you have to buy gold or buy silver to fight in the game?
[00:08:56.741 --> 00:08:57.462]  It's online.
[00:08:58.422 --> 00:08:59.123]  You go play.
[00:08:59.183 --> 00:09:00.964]  You've got to buy weapons to fight.
[00:09:01.004 --> 00:09:01.645]  You've got to buy
[00:09:02.912 --> 00:09:04.513]  We had to put money in to get that.
[00:09:04.973 --> 00:09:06.554]  Well now, how do they sell it to kids?
[00:09:06.574 --> 00:09:20.963]  They go, oh, sign up to play Goblin Killer, you know, Dragon Slayer, whatever these games are called, online, and you pay for the weapons in the virtual reality.
[00:09:22.203 --> 00:09:26.546]  But they'll give you, they'll say, 100 gold coins to sign up now for free.
[00:09:27.366 --> 00:09:31.649]  But they know once you use the 100 gold coins, you're going to put the credit card in or swipe your chip.
[00:09:33.723 --> 00:09:40.288]  It's like crack dealers or heroin dealers famously, you know, in the 50s or 60s would go to elementary schools.
[00:09:40.828 --> 00:09:41.929]  They would go to middle schools.
[00:09:41.969 --> 00:09:43.090]  They'd say, here's some pills.
[00:09:44.351 --> 00:09:45.211]  They'd get you addicted.
[00:09:45.251 --> 00:09:48.634]  They'd say, now go rob your mom's jewelry and I'll give you more.
[00:09:50.955 --> 00:09:52.376]  And that's called priming the pump.
[00:09:53.362 --> 00:10:04.389]  And so our children are having their pump primed with these video games where parents wake up and look at their credit card at the end of the weekend, and there's a $2,000, $3,000, $10,000 bill sometimes.
[00:10:05.669 --> 00:10:09.832]  One time my mother didn't know how this worked, like, eight, nine years ago with her iPhone.
[00:10:10.592 --> 00:10:15.495]  And my son, who was like nine years old then, he said, can I play this dragon game?
[00:10:15.535 --> 00:10:17.336]  I forget the name of it, some where you kill dragons.
[00:10:17.417 --> 00:10:18.517]  And she goes, yeah.
[00:10:18.597 --> 00:10:19.598]  She didn't know it was tied.
[00:10:22.841 --> 00:10:31.618]  To her credit card, and it was a $600 bill that she got a few weeks later.
[00:10:32.800 --> 00:10:34.824]  But again, let me explain this, and I know you already know all this.
[00:10:36.035 --> 00:10:37.437]  You go get this for the vaccine.
[00:10:37.797 --> 00:10:39.519]  It's really a nanotech tracker system.
[00:10:39.779 --> 00:10:42.202]  People do it because they want to be safe from COVID-19.
[00:10:42.402 --> 00:10:46.246]  They've been fear-mongered about that'll be for over a year till they quote, give you the vaccine.
[00:10:46.286 --> 00:10:47.868]  Gates already has patented, already ready.
[00:10:47.908 --> 00:10:49.990]  It's all admitted with the digital ink.
[00:10:50.270 --> 00:10:51.031]  It's nanotech.
[00:10:51.652 --> 00:10:52.813]  And then everybody's like, shut up.
[00:10:52.833 --> 00:10:53.333]  I don't want to hear it.
[00:10:53.353 --> 00:10:54.094]  I just want to be safe.
[00:10:54.515 --> 00:10:55.235]  By the way, I got.
[00:10:56.381 --> 00:10:58.843]  I got $1,000 on my credit on this.
[00:10:59.603 --> 00:11:02.385]  And at first they admit it's gonna be a new cryptocurrency.
[00:11:02.425 --> 00:11:04.046]  It's gonna explode when you've got it.
[00:11:04.387 --> 00:11:05.567]  Oh, I'm a crypto baron.
[00:11:05.607 --> 00:11:08.289]  My thousand I first got, I didn't spend it.
[00:11:08.329 --> 00:11:09.770]  It's worth 5 million now.
[00:11:10.230 --> 00:11:12.892]  And you're in, you're caught, it's over.
[00:11:13.473 --> 00:11:13.853]  It's done.
[00:11:14.093 --> 00:11:14.794]  And that's the plan.
[00:11:16.535 --> 00:11:17.615]  How diabolical.
[00:11:18.796 --> 00:11:22.238]  You take the digital chip under ID2020, Bill Gates' public plan,
[00:11:25.046 --> 00:11:27.987]  Patent number 2020-060606.
[00:11:29.027 --> 00:11:30.228]  It tracks everywhere you go.
[00:11:30.308 --> 00:11:31.508]  That's why they need the 5G.
[00:11:32.409 --> 00:11:33.129]  And the satellites.
[00:11:34.890 --> 00:11:38.451]  And if you do the task exactly as they say, you get more credits put on there.
[00:11:40.812 --> 00:11:44.553]  Oh, the fun part about the vaccine is you get a bank account and money!
[00:11:44.573 --> 00:11:46.134]  Oh, and no one can steal it!
[00:11:46.734 --> 00:11:49.135]  Because the old problem is thieves might cut the chip out.
[00:11:49.615 --> 00:11:51.516]  This just goes into your body.
[00:11:52.509 --> 00:11:55.350]  Most of it stays in the spot, but some is smaller nanotech.
[00:11:55.751 --> 00:11:57.972]  It drifts and gets into other places.
[00:11:58.972 --> 00:12:02.194]  So even if you cut your arm off, you still have the mark in your body.
[00:12:02.654 --> 00:12:03.534]  And I've noticed something.
[00:12:03.594 --> 00:12:09.277]  All these fake Christian churches and online fake Christians are attacking me right now, going, Jones, don't listen to him.
[00:12:09.797 --> 00:12:10.798]  He plays rock and roll.
[00:12:10.838 --> 00:12:11.638]  He's of the devil.
[00:12:12.159 --> 00:12:13.319]  Why the sit in the mark of the beast?
[00:12:13.379 --> 00:12:14.440]  Everything's OK.
[00:12:15.320 --> 00:12:17.041]  The mark is actually this or that.
[00:12:17.921 --> 00:12:20.182]  Open world government, 666 the patent.
[00:12:22.048 --> 00:12:25.410]  Tracking everywhere you go to buy and sell money of a man.
[00:12:25.711 --> 00:12:27.372]  Let he of understanding reckon the number.
[00:12:27.692 --> 00:12:29.593]  It's the number of a man in your body.
[00:12:30.154 --> 00:12:30.434]  Money.
[00:12:31.615 --> 00:12:32.895]  Making you the currency.
[00:12:35.397 --> 00:12:36.838]  And tracking your body activity.
[00:12:36.878 --> 00:12:41.201]  He's got all the patents together with his tracking system, with the chip, under the skin that does it.
[00:12:41.221 --> 00:12:42.482]  It's two different patents that go together.
[00:12:44.326 --> 00:12:46.868]  But don't worry, the churches are there to say, don't listen to him.
[00:12:46.888 --> 00:12:50.011]  Bill Gates is a man of the Lord.
[00:12:51.532 --> 00:12:53.934]  And you need to take it and be safe.
[00:12:55.316 --> 00:13:04.223]  Like Kenneth Copeland said last week, he said, I'm the name of, and I won't say it, I demand this virus die and I demand a vaccine now, Lord!
[00:13:04.244 --> 00:13:11.130]  Unbelievable, we're gonna go to break.
[00:13:12.025 --> 00:13:13.727]  I'm going to come back with a really huge announcement.
[00:13:13.787 --> 00:13:18.491]  The UN has announced that you will quote, never go back to normal, a new way of life.
[00:13:19.132 --> 00:13:20.653]  You will have to have a tracker chip.
[00:13:21.134 --> 00:13:23.516]  You will have to have your cell phone, even leave your home.
[00:13:23.556 --> 00:13:24.196]  It is official.
[00:13:24.257 --> 00:13:28.400]  I will read you the world government masters telling you how to live your life.
[00:13:30.022 --> 00:13:31.083]  Unbelievable.
[00:13:31.243 --> 00:13:34.967]  Separately, ladies and gentlemen, I cannot impress upon you enough
[00:13:36.212 --> 00:13:42.741]  That 10 weeks ago, we've never seen food sales the level they were, and now our great sponsor has caught up on the orders.
[00:13:42.761 --> 00:13:43.863]  They're actually ahead of schedule.
[00:13:44.183 --> 00:13:46.466]  They've gotten out almost everybody's orders.
[00:13:46.726 --> 00:13:51.513]  They had to stop for two weeks a month ago to get caught up and to open some more factories and to secure more food.
[00:13:51.533 --> 00:13:52.795]  They've got it ready to ship to you.
[00:13:54.850 --> 00:13:56.751]  And now we're seeing substantive food sales.
[00:13:56.951 --> 00:13:57.911]  But let me just say something.
[00:13:58.291 --> 00:14:00.732]  I said you need this in case they implode the economy.
[00:14:01.032 --> 00:14:05.714]  You need this unless the globalists get their way and are able to keep a continual shutdown going.
[00:14:06.715 --> 00:14:08.795]  Now I'm telling you, you absolutely need it.
[00:14:09.156 --> 00:14:11.676]  Because we're going to have a depression now, pretty much for certain.
[00:14:11.917 --> 00:14:18.759]  How bad it's going to be is if Trump can, and if we can wake up and say no to this and get past the brainwashing and the fear and get things reopened.
[00:14:18.839 --> 00:14:21.380]  Now, again, it's 10, 15, 20, 30 times lower than what they said.
[00:14:24.551 --> 00:14:26.272]  They're still saying nothing can reopen.
[00:14:26.292 --> 00:14:27.493]  They're trying to block the president.
[00:14:28.574 --> 00:14:33.378]  You need to get your storable food now while you still can at four or five times cheaper than what you're going to get in grocery stores.
[00:14:33.838 --> 00:14:34.759]  Super high quality.
[00:14:35.039 --> 00:14:36.200]  It funds this operation.
[00:14:37.160 --> 00:14:45.767]  I would get your orders in now for the breakdown of civilization and society and then live off the food and things you can get as things unravel and unfold.
[00:14:45.847 --> 00:14:46.807]  Hopefully they turn around.
[00:14:47.128 --> 00:14:51.751]  I'd say about a 70% chance we're going into hell itself in the next six months to a year.
[00:14:51.891 --> 00:14:52.512]  It's very sad.
[00:14:53.232 --> 00:14:54.133]  I would get your food now.
[00:14:54.153 --> 00:14:57.856]  I would get your orders in now because it's going to take months and months and months for this to unravel.
[00:14:58.116 --> 00:15:04.842]  But you're going to start seeing total breakdown and civil unrest right around the election, which is the globalist plan to try to drive Trump for power.
[00:15:04.902 --> 00:15:08.185]  So now is the time to get your storable foods at InfoWarstore.com.
[00:15:08.505 --> 00:15:10.146]  The other big dealers don't have food.
[00:15:10.166 --> 00:15:10.867]  They're lying to you.
[00:15:10.967 --> 00:15:11.327]  We do.
[00:15:12.228 --> 00:15:14.350]  It takes a few weeks to get it out to you, but we have the food.
[00:15:14.390 --> 00:15:15.070]  It's being packaged.
[00:15:15.330 --> 00:15:21.955]  Get your orders in now at InfoWarsTore.com and get stocked up on the supplements and other high quality products you need as well.
[00:15:22.515 --> 00:15:24.277]  Because who knows how long InfoWars will be here?
[00:15:24.317 --> 00:15:25.077]  I mean, I'm serious.
[00:15:25.517 --> 00:15:29.380]  And we ship the day after your order comes in on the supplements at InfoWarsTore.com.
[00:15:29.400 --> 00:15:31.001]  There's a little bit of a wait on the food.
[00:15:31.021 --> 00:15:31.402]  Stay with us.
[00:15:32.522 --> 00:15:40.188]  Imagine if I would have told you, like I did five years ago, that they would release a deadly virus, lockdown civilization,
[00:15:41.260 --> 00:15:47.744]  Come out with a vaccine that had tracker ink in it, digital nanotech that would then control how you could buy or sell.
[00:15:48.765 --> 00:15:57.550]  What if I told you the unelected UN, working closely with the Communist Chinese, would cover up the release of the virus?
[00:16:00.872 --> 00:16:05.455]  And that Nobel Prize winner would come out and say, we've scanned the virus, it's man-made.
[00:16:06.397 --> 00:16:09.739]  That top Indian institutes come out and say we've scanned the virus, it's man-made.
[00:16:10.119 --> 00:16:10.799]  Top U.S.
[00:16:10.859 --> 00:16:13.881]  institutes, we've scanned the virus, it's man-made.
[00:16:18.763 --> 00:16:30.689]  Now there's a big paradox here between people like David Knight, Mike Adams, David Icke, and others who
[00:16:32.162 --> 00:16:32.722]  We're good to go.
[00:17:03.148 --> 00:17:06.169]  We don't have one view like CNN or MSNBC and then parrot it.
[00:17:12.151 --> 00:17:21.213]  Mike Adams thinks, you know, that we need to take all these precautions and the virus is much worse than what we're even hearing and, you know, I think that's a little extreme but I still understand his point of view.
[00:17:22.473 --> 00:17:29.115]  David thinks it's all super exaggerated and that, you know, we're giving up our freedom via a bunch of hysteria.
[00:17:29.815 --> 00:17:31.116]  Everybody's right in their own way.
[00:17:32.130 --> 00:17:33.530]  But what we do know is this.
[00:17:34.210 --> 00:17:41.872]  They're counting every death from a car wreck, gunshot wounds, suicide, drug overdose, cancer, you name it.
[00:17:43.473 --> 00:17:44.573]  This is admitted, by the way.
[00:17:45.533 --> 00:17:49.734]  I had a family ask me, is it really true they're counting every death?
[00:17:50.734 --> 00:17:52.735]  That when someone tests positive for it as that?
[00:17:52.815 --> 00:17:53.315]  I said, yes.
[00:17:53.915 --> 00:17:56.536]  And is it true that most of the tests are for common cold?
[00:17:56.816 --> 00:17:57.736]  That most people have
[00:17:58.629 --> 00:17:59.989]  Quote, genetic material from?
[00:18:00.009 --> 00:18:05.831]  It's not an antibody test, it's a test showing you've been in contact with cold viruses.
[00:18:06.071 --> 00:18:07.491]  The damn things are everywhere!
[00:18:10.092 --> 00:18:13.353]  They're on the surface of counters, they're in the food you eat, they're everywhere!
[00:18:13.373 --> 00:18:22.275]  If you had an electron microscope and looked at the table I'm sitting at, there's millions of them right here.
[00:18:23.455 --> 00:18:26.396]  So, it is a hoax, ladies and gentlemen.
[00:18:29.028 --> 00:18:31.950]  That they said there'd be five million dead and then two million dead.
[00:18:32.090 --> 00:18:37.653]  Well, if you lock everything down for just two weeks, you'll only have a million dead.
[00:18:38.613 --> 00:18:42.015]  And then we lock down for months and there's 30,000 dead.
[00:18:45.457 --> 00:18:45.977]  40,000 dead.
[00:18:47.538 --> 00:18:49.299]  So that's how this operates.
[00:18:49.459 --> 00:18:51.580]  Yes, the virus is real.
[00:18:51.700 --> 00:18:53.341]  How deadly it is, you can discuss all day.
[00:18:56.240 --> 00:19:11.409]  But it's being used to selectively shut down our economy, irrevocably creating a Great Depression, and to drive populists and nationalists out of power, and to discredit capitalism, which is the globalist, deep state, cloward, and pivot plan, that they can't beat capitalism.
[00:19:11.650 --> 00:19:15.652]  Authoritarianism, fascism, and communism can't out-compete capitalism.
[00:19:16.332 --> 00:19:21.536]  And so they've got to destroy capitalism with a race war, or a famine, or a plague.
[00:19:21.896 --> 00:19:23.197]  And that's what they say they'll do?
[00:19:24.693 --> 00:19:26.934]  Or by bankrupting the country with so much welfare.
[00:19:27.814 --> 00:19:28.774]  That's cloward and pivot.
[00:19:30.215 --> 00:19:33.476]  And you're living the admitted attempted takedown.
[00:19:34.156 --> 00:19:39.418]  And no matter what the president does, and no matter how much the projections are off, they still blame him.
[00:19:40.698 --> 00:19:43.139]  Because America was the target of this from the beginning.
[00:19:43.159 --> 00:19:45.339]  So people ask me, well, Alex, you can't have it both ways.
[00:19:45.359 --> 00:19:47.220]  You can't say this is a bio weapon.
[00:19:50.438 --> 00:19:55.202]  But that it's not as deadly as they're saying and that shutting things down is a hoax.
[00:19:55.342 --> 00:19:56.143]  Well, of course I can.
[00:19:56.884 --> 00:20:06.412]  If you're coming out with something that is the common cold but souped up so you own the mutation of it, which Bill and Melinda Gates do,
[00:20:08.103 --> 00:20:25.362]  You then know the trajectory of what it's going to really do, and then you can own all of the responses and the vaccines and the antibodies to this new thing that's going to be bigger than the flu every year and with us, a souped-up cold, so it does kill more people than the regular cold.
[00:20:26.618 --> 00:20:27.959]  And that's why it's manufactured.
[00:20:28.219 --> 00:20:29.420]  That's why it's a bioweapon.
[00:20:29.640 --> 00:20:32.162]  So they can patent it, which they have, so they own it.
[00:20:32.662 --> 00:20:33.223]  And it's come out.
[00:20:33.283 --> 00:20:36.565]  Bill Gates, two years ago, patented a chimera of this.
[00:20:36.885 --> 00:20:39.007]  They transferred it to China.
[00:20:39.067 --> 00:20:50.315]  And I predicted three months ago that they will then, as soon as we don't go forward with a lockdown, they will release more deadly strains in the United States and Europe.
[00:20:54.423 --> 00:20:56.103]  And that's exactly what's been announced.
[00:20:56.163 --> 00:21:01.924]  China has come out and said, oh my gosh, dozens, 30, 40, 50, hundreds of new strains, even more deadly.
[00:21:02.184 --> 00:21:03.065]  Shut down, shut down.
[00:21:03.085 --> 00:21:06.065]  And they've gotten the suits out and show people being welded in again.
[00:21:06.085 --> 00:21:07.145]  They go, America, do this!
[00:21:07.845 --> 00:21:08.525]  You're not opening.
[00:21:08.545 --> 00:21:09.826]  And of course, there's camera crews.
[00:21:09.906 --> 00:21:11.706]  And that's fake.
[00:21:12.026 --> 00:21:12.846]  It's a real virus.
[00:21:12.886 --> 00:21:18.887]  But for the WHO, who's in trouble, who's been caught launching it, China's saying, OK, you're right, don't open again.
[00:21:18.907 --> 00:21:20.928]  Because people went, wait, China reopened?
[00:21:20.968 --> 00:21:21.468]  Shouldn't we?
[00:21:21.728 --> 00:21:22.968]  Oh, no, no, you don't reopen.
[00:21:24.107 --> 00:21:27.128]  Look, we've got deadly new strains.
[00:21:27.188 --> 00:21:28.429]  It's a permanent way of life.
[00:21:28.529 --> 00:21:30.489]  Sorry, the vaccine's two, three years out.
[00:21:30.530 --> 00:21:37.612]  You're going to be locked up until you get a digital blood scan that shows you've already had it on your phone.
[00:21:37.672 --> 00:21:39.293]  And then that means you can go outside and do things.
[00:21:39.313 --> 00:21:47.236]  And now the president said that the WHO gives orders to governments through big tech to decide who's safe to go out in public and who isn't.
[00:21:49.397 --> 00:21:51.978]  China executes you if you put a video out they don't like.
[00:21:52.659 --> 00:21:58.583]  They shot all these videos that were the worst acting I've seen since watching third graders do Peter Pan.
[00:21:58.603 --> 00:22:02.546]  You ever been to a third grade school thing of Peter Pan?
[00:22:03.047 --> 00:22:04.187]  They're better actors than this.
[00:22:05.268 --> 00:22:06.889]  Almost all of it was staged.
[00:22:07.590 --> 00:22:11.713]  You'll have two or three people fall down together on the street at the same time, the welding shut.
[00:22:14.019 --> 00:22:14.980]  It was fake.
[00:22:15.720 --> 00:22:16.801]  It was garbage.
[00:22:16.921 --> 00:22:19.683]  Almost all of it was not real.
[00:22:20.484 --> 00:22:23.887]  But to create the hysteria, that's a psyop.
[00:22:23.907 --> 00:22:28.790]  90% of war, the Pentagon will tell you, in the modern age, is psychological.
[00:22:29.671 --> 00:22:31.572]  And so, there were some deaths.
[00:22:32.133 --> 00:22:33.694]  They use it to shut down Taiwan.
[00:22:33.714 --> 00:22:35.035]  They use it to shut down China.
[00:22:35.455 --> 00:22:36.856]  It is a manufactured virus.
[00:22:36.936 --> 00:22:38.798]  It does have the HIV delivery system.
[00:22:39.884 --> 00:22:41.965]  Uh, it is something that keeps coming back.
[00:22:41.985 --> 00:22:42.606]  Now that's the thing.
[00:22:43.306 --> 00:22:48.009]  It's killing really old people, and people that are really sick.
[00:22:48.489 --> 00:22:49.990]  No young people, which is unheard of.
[00:22:50.351 --> 00:22:55.474]  Viruses always kill young people more than old people, because they have new immune systems and freak out and you have an autoimmune response.
