[00:00:00.189 --> 00:00:00.689]  Iodine.
[00:05:17.032 --> 00:05:20.153]  I'm not gonna violate that, but that's how we know all this, okay?
[00:05:20.793 --> 00:05:22.273]  So I want you to know, I'm standing up.
[00:05:22.674 --> 00:05:23.894]  I need your support and your prayers, though.
[00:05:26.235 --> 00:05:27.775]  We're coming down to the wire now, folks.
[00:05:32.437 --> 00:05:34.717]  Overnight, all the hard-fought liberties are gone.
[00:05:38.199 --> 00:05:39.419]  And the mark of the beast is announced.
[00:05:41.727 --> 00:05:43.488]  And it's just who we told you would do the announcement.
[00:05:44.768 --> 00:05:47.090]  Closest thing to the Antichrist on this planet is Bill Gates.
[00:05:49.871 --> 00:05:50.891]  He should be so easy to beat.
[00:05:54.593 --> 00:05:58.295]  Creepy, evil, medical officer of the New World Order.
[00:06:00.616 --> 00:06:03.837]  Who vacations with Jeffrey Epstein.
[00:06:06.879 --> 00:06:09.740]  Doesn't even have a bachelor's degree.
[00:06:12.062 --> 00:06:30.635]  But runs around policing everyone on the internet and having the media attack the president when he says zinc, the doctors say, really helps you not get COVID-19 or vitamin D3 or vitamin K. Here's Politico, just printed this off about 10 minutes ago.
[00:06:32.836 --> 00:06:36.319]  And look at the ad right here at the top of Politico, K2D3.
[00:06:39.721 --> 00:06:40.582]  What is our winter sun?
[00:06:42.677 --> 00:06:43.157]  K2.
[00:06:43.177 --> 00:06:46.039]  D3.
[00:06:48.621 --> 00:06:53.765]  And my point is, is that when we do it, we're the evil, evil people.
[00:06:54.966 --> 00:06:56.367]  But when they do, it's good.
[00:06:59.025 --> 00:07:10.789]  But I've even seen articles where they're now having the FDA go after people that say take vitamin D3 to boost your immunity when that's on the NIH website.
[00:07:11.390 --> 00:07:15.311]  Because folks, the establishment does not want the people healthy.
[00:07:16.651 --> 00:07:24.214]  They do not want you to know that most of the time that you get colds or the flu, you are debilitated and you have major deficiencies.
[00:07:26.335 --> 00:07:28.656]  And that's what makes me so angry about this is that
[00:07:30.748 --> 00:07:33.330]  These guys are completely transparent what they're doing.
[00:07:36.513 --> 00:07:37.854]  But look what Fauci says right here.
[00:07:48.646 --> 00:08:00.671]  Now I told you nine weeks ago that as this rolled out, monkey see, monkey do, they'd have the leftist cities and counties locked down, set the precedent, say the president, if he doesn't lock everything down, is causing all the death.
[00:08:04.693 --> 00:08:13.997]  But then when he does lock it down and we have a Great Depression, which is probably gonna happen now regardless, we've gone too long, over a month, that's gonna be his fault.
[00:08:14.677 --> 00:08:16.118]  And now the Democrats are proposing
[00:08:17.065 --> 00:08:20.927]  Canceling the election and moving it back a year, but then COVID is going to hit the next year.
[00:08:22.888 --> 00:08:34.254]  And then they're going to call for a Congressional Emergency Commission and a board that rules because Trump isn't legitimate because they had to cancel the election.
[00:08:34.434 --> 00:08:38.776]  And they think by then they would have exhausted him and found a way to get rid of him.
[00:08:39.016 --> 00:08:44.259]  They don't want him vindicated by a second election in 206 days, and they're not going to let it happen.
[00:08:45.305 --> 00:08:54.968]  Unless Trump boldly acts to shut them down by just exposing that they work for the Communist Chinese with a globalist consortium against this country and they're not Americans, they are globalist.
[00:08:56.488 --> 00:09:04.531]  The good news is you see the Pentagon and the Republican leadership coming out and saying China is running the Democratic Party.
[00:09:04.751 --> 00:09:11.193]  Most of the senators have Chinese spies working in their offices as part of agreements with them to be paid off.
[00:09:12.807 --> 00:09:15.389]  You ever wonder why Reddit attacks the president and attacks yours truly?
[00:09:15.489 --> 00:09:16.290]  China bought it.
[00:09:17.671 --> 00:09:20.113]  They didn't invest $100 million, another $500 million.
[00:09:20.393 --> 00:09:21.014]  They bought it.
[00:09:21.094 --> 00:09:21.554]  They run it.
[00:09:22.655 --> 00:09:27.219]  The military of China actually moderates it now.
[00:09:29.961 --> 00:09:32.383]  And if you go on there, they call for Trump's arrest, my arrest.
[00:09:32.423 --> 00:09:34.745]  This is outrageous.
[00:09:36.736 --> 00:09:43.882]  Of the big eight Hollywood movie houses, six are owned by the Chicons.
[00:09:50.407 --> 00:10:02.397]  COVID-19, ladies and gentlemen, is the certificate of vaccination ID program being carried out against humans on this planet.
[00:10:04.741 --> 00:10:17.525]  And once they get you to take that card, that's a global UN run system that will then track everything you do in live time.
[00:10:18.545 --> 00:10:24.987]  One of my friends wears one of those rings so he knows what his heart rate is over the day, how much he does.
[00:10:25.027 --> 00:10:26.487]  It's synced to a computer.
[00:10:28.397 --> 00:10:36.223]  And he got a message saying, hey, we're going to start reporting everybody and their temperatures on this ring to the COVID-19 task force.
[00:10:37.984 --> 00:10:45.370]  Well, iPhones for at least 10 years track all of that as well, off the magnetic waves coming off your body.
[00:10:45.750 --> 00:10:47.892]  That's how advanced this military technology is.
[00:10:51.935 --> 00:10:54.076]  So the robots are already all around you.
[00:10:54.096 --> 00:10:56.378]  They're all spying on you, the assistants, all of it.
[00:10:56.418 --> 00:10:57.039]  And this is a
[00:10:58.115 --> 00:11:02.739]  Anti-human takeover, a revolution against civilization and society.
[00:11:02.759 --> 00:11:12.388]  And all the fools that think you're going to go along with this have to understand you're being taken from a free system into a real dystopic future that's already here.
[00:11:13.709 --> 00:11:14.890]  The future is not coming, it's here.
[00:11:16.872 --> 00:11:19.675]  And as you notice, it's moving very, very quickly.
[00:11:21.929 --> 00:11:26.653]  So Fauci comes out while the clip next segment and he says, yeah, we're discussing having this ID.
[00:11:26.793 --> 00:11:29.876]  That means you've had the vaccines to show that you have immunity.
[00:11:31.717 --> 00:11:34.960]  Now, remember I told you nine, 10 weeks ago, this will be the plan.
[00:11:35.440 --> 00:11:36.801]  You'll have apps on your phones.
[00:11:37.602 --> 00:11:43.267]  You'll have to have a vaccine and it's going to be big corporations and it's going to be grocery stores.
[00:11:45.350 --> 00:11:59.457]  And it's going to be the airlines, the corporations that carry this out, and they're going to say, if you don't have the ID, it's digital, it can be put on your phone, or then in a tattoo, inject it into you, they've now announced officially, that's the plan.
[00:11:59.477 --> 00:12:03.219]  Because there'll be problems with the IDs getting stolen, of course.
[00:12:04.440 --> 00:12:07.081]  And all this has been war-gamed out and prepared.
[00:12:07.101 --> 00:12:14.045]  I remember reading Washtec 23 years ago when they put out that
[00:12:15.313 --> 00:12:18.594]  Weekly Tech Magazine, The Washington Post did.
[00:12:20.054 --> 00:12:35.037]  And in it, they had a CIA futurist from the Pentagon, and they said, we're promoting body piercings and tattoos, because by the year 2020, we gotta find that article, we wanna roll out an implantable medical ID chip for everyone's security.
[00:12:35.778 --> 00:12:38.418]  They're following an exact evil plan.
[00:12:38.438 --> 00:12:41.479]  A lot of soldiers got microchips.
[00:12:42.848 --> 00:12:45.711]  20 plus years ago, they were told it was national security.
[00:12:47.932 --> 00:12:57.921]  I have, he's out now, he's been 35 years in the army, a cousin who told me about a meeting of officers in Texas.
[00:12:59.122 --> 00:13:03.325]  And he said, no, you tell people I told you that, but just don't say my name.
[00:13:04.566 --> 00:13:05.887]  I talked about it a month later.
[00:13:05.907 --> 00:13:08.009]  Didn't even say it was my cousin.
[00:13:08.149 --> 00:13:11.392]  They called him in because they already had everything under AI surveillance then.
[00:13:12.577 --> 00:13:16.619]  And said, you're not gonna get promoted as much because you did that.
[00:13:18.820 --> 00:13:19.480]  Keep your mouth shut.
[00:13:22.362 --> 00:13:25.703]  So, let's understand we've never been in Kansas.
[00:13:25.763 --> 00:13:27.204]  We're on planet Earth, ladies and gentlemen.
[00:13:27.904 --> 00:13:29.425]  And we're certainly not in Kansas anymore.
[00:13:32.106 --> 00:13:38.169]  And I signed a non-disclosure agreement about a year and a half ago up in D.C.
[00:13:43.527 --> 00:13:49.712]  To go ahead and meet with a certain political party.
[00:13:52.255 --> 00:13:53.956]  And it was long meetings.
[00:13:55.818 --> 00:13:56.378]  Multiple days.
[00:13:56.398 --> 00:13:59.121]  I don't care what they have to say.
[00:14:04.249 --> 00:14:05.710]  You see what's going on right now, don't you?
[00:14:05.930 --> 00:14:07.831]  They have a consortium of billionaires.
[00:14:08.312 --> 00:14:09.853]  And they don't just kiddy up to attack me.
[00:14:09.873 --> 00:14:11.894]  They do it to a lot of folks, but I'm one of the main targets.
[00:14:12.614 --> 00:14:14.756]  I mean, I'm literally, like, second only to Trump.
[00:14:19.038 --> 00:14:19.899]  Now there's USA Today.
[00:14:19.919 --> 00:14:21.140]  You will get chipped eventually.
[00:14:21.180 --> 00:14:22.080]  See, they're just getting you ready.
[00:14:22.100 --> 00:14:23.361]  That was last year, a couple years ago.
[00:14:29.616 --> 00:14:38.462]  You know, they told me, they said, you either come out against the Second Amendment and against Trump and don't talk about the Islamic invasion.
[00:14:40.063 --> 00:14:45.867]  Oh, and don't get into, you know, don't criticize the sexualization of kids or we will put your ass in prison.
[00:14:48.830 --> 00:14:53.113]  And they said, or you can come work for us and we want to give you a lot of money.
[00:14:54.393 --> 00:14:55.154]  And you know what I told them?
[00:14:55.855 --> 00:14:59.357]  I said, you're going to burn in hell.
[00:15:02.782 --> 00:15:04.503]  The answer to 1984 is 1776.
[00:15:04.563 --> 00:15:10.047]  I'm your host, Alex Jones.
[00:15:11.869 --> 00:15:17.793]  Alright, I have all this huge breaking news and so much important information and some really informative guests coming up as well.
[00:15:17.813 --> 00:15:30.302]  And I want to respond to the latest attacks in the press against him because there are attacks on all of us.
[00:15:32.210 --> 00:15:36.594]  But I want to just go back to something yesterday that got me really, physically angry.
[00:15:39.077 --> 00:15:46.945]  And it was the stack of news that... I just got off the drudge, the crew goes to a bunch of other sites, just prints me everything, and I just go through it.
[00:15:51.089 --> 00:15:54.092]  And without even trying to find articles about it,
[00:15:56.294 --> 00:15:59.977]  It was AP, Reuters, you name it, going, yeah, a billion extra people went into poverty.
[00:16:00.377 --> 00:16:05.181]  They estimate 2 million will starve to death now who are at the subsistence level in the next year.
[00:16:05.201 --> 00:16:11.425]  And they're just a little paragraph about 2 million they estimate will die.
[00:16:12.546 --> 00:16:15.728]  There's not going to be Fauci up there saying we can't allow this to happen.
[00:16:15.928 --> 00:16:20.852]  There's not going to be anybody caring about people starving to death all over the world in Latin America, Africa, Asia.
[00:16:25.188 --> 00:16:25.768]  Horrible deaths.
[00:16:27.649 --> 00:16:29.310]  Dying from disease because you're debilitated.
[00:16:29.650 --> 00:16:30.550]  Because you're malnourished.
[00:16:30.570 --> 00:16:33.432]  Because you don't have the essential vitamins and minerals and trace elements.
[00:16:35.473 --> 00:16:36.733]  And it's just like an afterthought.
[00:16:36.773 --> 00:16:37.293]  It's funny.
[00:16:37.313 --> 00:16:40.475]  Everybody's wearing their masks.
[00:16:40.535 --> 00:16:45.097]  Everybody's getting into lining up and queuing and enforcing on each other.
[00:16:46.838 --> 00:16:49.679]  For a hundred thousand dead globally.
[00:16:51.500 --> 00:16:52.220]  When the flu
[00:16:55.031 --> 00:16:56.012]  Kills millions every year.
[00:16:56.513 --> 00:17:04.961]  The idea that, oh, when you get a cold now, that's what the coronavirus is, and it's definitely a souped-up cold, that they've got a vaccine for you.
[00:17:05.421 --> 00:17:06.763]  They're making you beg for it first, though.
[00:17:07.543 --> 00:17:10.506]  That when it shows up every year now, we just are locked down.
[00:17:10.546 --> 00:17:15.271]  And I told you, months ago, I said, they're going to announce that, oh, it's a year and a half.
[00:17:16.432 --> 00:17:18.014]  Oh, now it's just going to be forever.
[00:17:18.054 --> 00:17:18.955]  This is the new normal.
[00:17:20.834 --> 00:17:23.775]  No more public gatherings, no more anything.
[00:17:24.276 --> 00:17:25.716]  I mean, this is martial law.
[00:17:26.837 --> 00:17:29.938]  All the preparations, and then with it is the medical tyranny.
[00:17:31.499 --> 00:17:32.840]  Global government's just the beginning.
[00:17:33.220 --> 00:17:39.683]  Once they have total tyranny, they can force the inoculations, the GMO, the 5G on you, and that's the plan.
[00:17:44.013 --> 00:17:51.117]  And you can't go out, and you can't fly on a plane, you can't have a job, you can't go to the grocery store, because the corporations aren't going to let you.
[00:17:51.318 --> 00:17:52.818]  They showed you as the power.
[00:17:53.739 --> 00:18:03.725]  See, libertarians, pure libertarians are like, oh, and the state will wither away, like Marx said, and the corporations and the people's will, well then it'll be a total global democracy.
[00:18:04.546 --> 00:18:05.486]  No, it's the opposite.
[00:18:07.247 --> 00:18:13.051]  You're a human resource that's seen as garbage to be thrown out, negative value, and they're building a system to phase you out.
[00:18:14.394 --> 00:18:16.736]  But to make you more pliable, they dumb you down.
[00:18:18.358 --> 00:18:22.162]  They spiritually get you to sign on to being selfish.
[00:18:23.843 --> 00:18:36.575]  And once you're selfish and don't care about other people, your brain turns off and you don't care about yourself anymore and you become these dull things we see everywhere that the globalists hate and want to kill.
[00:18:38.032 --> 00:18:44.735]  But they help put you into that state so that you don't even really have a soul anymore when they kill you.
[00:18:45.816 --> 00:18:46.516]  It's a process.
[00:18:48.517 --> 00:18:58.522]  Again, the spider first bites you and stuns you, then ties you up, and then slowly lets your juices dissolve, puts its foot on you, its leg,
[00:18:59.938 --> 00:19:03.079]  Little, little hairy foot.
[00:19:03.859 --> 00:19:13.642]  And when he hears the last beats in the heart, right when the spirit leaves, plunges the fangs in ritualistically.
[00:19:16.023 --> 00:19:20.304]  So right at the moment of death, there's a eight-eyed spider sitting on top of you.
[00:19:21.105 --> 00:19:22.005]  And that's what this is.
[00:19:22.485 --> 00:19:28.387]  So right now, it's walking up, and it's got our feet kind of tucked, we're kind of in the way, we're like, it's like,
[00:19:35.265 --> 00:19:37.466]  Swag these in, and then you'll be safe.
[00:19:37.486 --> 00:19:38.507]  You're like, those look like fangs.
[00:19:38.587 --> 00:19:39.147]  Mark of the Beast.
[00:19:39.428 --> 00:19:39.948]  Total control.
[00:19:40.168 --> 00:19:41.729]  No, don't listen to those that say that.
[00:19:41.769 --> 00:19:41.929]  Here.
[00:19:43.290 --> 00:19:45.091]  Ah, liberal.
[00:19:45.831 --> 00:19:49.233]  And it just slips them in, and then pumps a little in.
[00:19:49.574 --> 00:19:50.954]  See, that feels better now.
[00:19:51.535 --> 00:19:52.535]  Go to sleep.
[00:19:53.376 --> 00:19:55.737]  And you, oh, I'll just do what they say.
[00:19:55.757 --> 00:19:56.678]  I won't follow.
[00:19:56.698 --> 00:19:57.458]  I'll go along with it.
[00:19:57.799 --> 00:19:59.540]  And then you wake up, and you're tied up.
[00:20:00.404 --> 00:20:02.246]  And there's this burning feeling now.
[00:20:02.266 --> 00:20:06.189]  And it comes over and says, my pretty, now you're tied up.
[00:20:06.469 --> 00:20:08.231]  I'm dissolving what you were.
[00:20:08.251 --> 00:20:10.233]  I'm rendering you down to nothing.
[00:20:11.234 --> 00:20:13.075]  And I'm going to suck you dry forever.
[00:20:13.095 --> 00:20:15.858]  And I'm going to take you with me to hell.
[00:20:16.779 --> 00:20:19.881]  You think death will free you?
[00:20:19.982 --> 00:20:20.602]  No.
[00:20:21.363 --> 00:20:23.785]  No, you're going to be inside of my
[00:20:28.148 --> 00:20:29.189]  I love you to have children!
[00:20:29.689 --> 00:20:33.132]  Only so we can bring in new innocents and torture them!
[00:20:49.045 --> 00:20:53.174]  Babies in uro with Prozac, which causes total brain damage and everything else.
[00:20:53.455 --> 00:20:59.468]  See, now the spiders want to get fangs in the womb through the placenta.
[00:21:02.264 --> 00:21:08.692]  So the spider goes through your mouth, into your stomach, into your bloodstream, and its fangs lovingly get into your baby now.
[00:21:09.172 --> 00:21:17.442]  See, all of it is about your slow, agonizing destruction, and breaking your will, and making you beg, and just no hope.
[00:21:18.723 --> 00:21:19.865]  The spiders drink.
[00:21:21.428 --> 00:21:33.295]  Pure, absolute abandonment and terror and no hope and just children shivering in the cold waiting for the dungeon door to open for the spiders to come and torture them some more.
[00:21:34.411 --> 00:21:40.374]  It's all about sucking the darkest, most twisted energy off the planet.
[00:21:42.635 --> 00:21:45.036]  And up there are the top generals, the Faucis.
[00:21:45.477 --> 00:21:48.198]  Openly crazed, openly psychotic, openly evil.
[00:21:48.498 --> 00:21:50.399]  Involved in every evil you can imagine.
[00:21:51.040 --> 00:21:52.300]  A ghoul-like creature.
[00:21:54.141 --> 00:21:58.023]  And serving Gates, another little ghoul, a little demon elf.
[00:22:01.585 --> 00:22:03.406]  All scurrying around for their master.
[00:22:04.770 --> 00:22:13.353]  Tie them down, lock them up, stun them, corrupt them, poison them, and prepare for the mass bloodletting.
[00:22:13.433 --> 00:22:16.334]  More blood, more death, more evil.
[00:22:18.955 --> 00:22:23.617]  And the ultimate crime is to go outside, enjoy the sun, and be with your children.
[00:22:23.637 --> 00:22:27.959]  The ultimate crime is to be in the woods, away from the electromagnetic poison.
[00:22:29.158 --> 00:22:36.380]  The artificial, the ultimate crime is to be healthy and strong and vibrant because they don't like that at all.
[00:22:38.444 --> 00:22:53.847]  They want your essence and they want to drink it off because reveling in innocence and destroying innocence and torturing innocence is their God, their spirit, their soul, their religion.
[00:22:54.087 --> 00:23:07.010]  And while you're mesmerized watching your Netflix and your children are mesmerized watching their Netflix, they are slowly being put into a trance so that as their very essence is torn out of them, they are not
[00:23:07.370 --> 00:23:22.959]  Even aware of whatever hit them while these demons of hell revel in your eternal annihilation, pulling you directly down into a vortex of unknown agony for eternity.
[00:23:25.161 --> 00:23:30.844]  But I say that they will be destroyed!
[00:23:30.864 --> 00:23:36.448]  And that the spirit of Jesus Christ is now entering the planet at a level never foreseen!
[00:23:37.651 --> 00:23:42.955]  And our testing will be painful, but soon we will be with God forever.
[00:23:44.897 --> 00:23:45.417]  It is.
[00:23:47.279 --> 00:23:48.900]  Friday, April 10th, the year is 2020.
[00:23:50.612 --> 00:23:53.393]  We're 206 days out from this incredibly important election.
[00:23:53.994 --> 00:23:55.554]  But they're now talking about canceling.
[00:23:56.235 --> 00:24:00.177]  Unless Trump lets people without any IDs mail in their ballots.
[00:24:00.757 --> 00:24:04.218]  And the Democrats will have months and months to fix the election.
[00:24:04.899 --> 00:24:07.480]  Just like they did in 2018.
[00:24:09.861 --> 00:24:10.301]  Wow!
[00:24:11.162 --> 00:24:13.783]  The globalists are counter-striking right now.
[00:24:15.744 --> 00:24:15.944]  But!
[00:24:18.410 --> 00:24:23.415]  You see half the population submitting, going along with all this, roughly.
[00:24:23.435 --> 00:24:25.036]  But a lot of it is through peer pressure.
[00:24:25.056 --> 00:24:25.777]  They hate it as well.
[00:24:27.919 --> 00:24:42.493]  But as they get good at all the new little rules that are given to us every week, phased in, and we're patted on the head and told we're heroes, more and more people are seeing through it, and there is a mass awakening exploding right now.
[00:24:44.554 --> 00:24:53.781]  Especially when the mainstream media and federal regulators and others are out openly telling the president, you don't have a medical degree.
[00:24:53.881 --> 00:24:55.322]  You don't tell them hydroxychloroquine.
[00:24:58.124 --> 00:25:00.606]  You don't tell them zinc protects the cells.
[00:25:00.626 --> 00:25:01.927]  You know, NIH website says it.
[00:25:04.129 --> 00:25:07.631]  And the president even kind of gets sheepish and says, OK, well, we'll look at the study.
[00:25:07.892 --> 00:25:08.772]  They can be proven right.
[00:25:08.852 --> 00:25:10.133]  Of course, they already had a bunch of studies.
[00:25:10.333 --> 00:25:12.275]  They know hydroxychloroquine works great if you have zinc.
[00:25:16.550 --> 00:25:21.172]  And now all these medical doctors are treating thousands of patients, in some cases a piece.
[00:25:22.092 --> 00:25:26.113]  Others, hundreds, they're on ABC News, they're on CBS News, but they're never on national news.
[00:25:27.614 --> 00:25:29.074]  But there's a human relationship, you see.
[00:25:29.514 --> 00:25:30.935]  The local news knows those doctors.
[00:25:32.055 --> 00:25:33.015]  They have them on all the time.
[00:25:33.256 --> 00:25:33.996]  Their kids go to them.
[00:25:34.416 --> 00:25:36.317]  They know they've got people they're treating.
[00:25:37.077 --> 00:25:39.137]  They call them up, come on doctor, tell us what's happening.
[00:25:39.678 --> 00:25:43.679]  Okay, well, 100% of people we give zinc with hydroxychloroquine get better.
[00:25:44.454 --> 00:25:46.876]  You can get really sick if you take hydroxychloroquine by yourself.
[00:25:47.517 --> 00:25:49.018]  Because it can mess up things if you don't have a zinc.
[00:25:49.779 --> 00:25:51.660]  I don't need to be a medical doctor to know that, but here's the thing.
[00:25:52.961 --> 00:25:57.085]  Bill Gates doesn't even have a bachelor's degree.
[00:25:57.105 --> 00:26:00.328]  And I'm not one of these guys that, you know, worships education and all this stuff.
[00:26:00.728 --> 00:26:01.869]  If you go, you're already smart.
[00:26:01.989 --> 00:26:02.870]  You learn some things from it.
[00:26:02.890 --> 00:26:04.251]  You learn how the connections operate.
[00:26:04.291 --> 00:26:05.432]  That's really what you're going to school for.
[00:26:06.753 --> 00:26:08.194]  And then you can be successful.
[00:26:08.234 --> 00:26:09.876]  But Gates didn't go to college.
[00:26:11.203 --> 00:26:15.265]  Because his mother was heading up IBM, and they had a faster path for him.
[00:26:16.465 --> 00:26:28.971]  But the point is, they have Google banned me off the app last week, saying I gave out false corona information, and they linked to a Media Matters video, George Soros is the boss, where I talked about hydroxychloroquine and zinc, and how the president was right.
[00:26:28.991 --> 00:26:38.035]  And I talked about quinine, that now medical doctors are on TV saying, absolutely.
[00:26:39.298 --> 00:26:41.679]  Is something that really boosts your immune system and blocks the virus.
[00:26:42.119 --> 00:26:43.119]  Doesn't mean it's a cure.
[00:26:43.540 --> 00:26:44.540]  I'm not selling this.
[00:26:44.880 --> 00:26:46.341]  Medical doctors are saying it.
[00:26:46.501 --> 00:26:47.161]  It's working.
[00:26:48.901 --> 00:26:53.803]  So why on earth would they not want you to know that?
[00:26:55.124 --> 00:27:01.506]  And what type of country are we that you're not even supposed to be able to talk about it?
[00:27:02.674 --> 00:27:08.141]  Now, I've had Dr. Shiva Adhira on probably 30, 40 times for the political stuff.
[00:27:08.161 --> 00:27:09.903]  He's been involved in a lot of great work in Massachusetts.
[00:27:11.886 --> 00:27:13.829]  But I got him on yesterday.
[00:27:15.658 --> 00:27:17.419]  And I'm always having a lot about politics.
[00:27:17.680 --> 00:27:24.825]  I was almost forgetting he's a PhD, MIT, runs a big, complex, as you call it, natural biotech company.
[00:27:26.867 --> 00:27:27.808]  He's invented a lot of stuff.
[00:27:27.828 --> 00:27:33.292]  I mean, he's a prestigious guy himself, but actually because he was already doing it when he was a teenager, inventing the term email.
[00:27:33.872 --> 00:27:35.594]  On record, look it up, Encyclopedia Britannica.
[00:27:38.156 --> 00:27:44.361]  And so I'm going to go over all the things he's done as a award-winning scientist.
[00:27:45.700 --> 00:27:47.681]  And all the things he's invented in his big companies.
[00:27:49.843 --> 00:27:53.145]  And his International Center of Integrative Systems.
[00:27:56.487 --> 00:27:57.827]  Located in Cambridge, Massachusetts.
[00:27:58.428 --> 00:28:03.111]  I just wanted him to get on to lay out next segment.
[00:28:03.611 --> 00:28:05.412]  We'll hold him a little bit over the next hour if we can.
[00:28:07.133 --> 00:28:09.274]  Why they're trying to suppress people protecting themselves.
