[00:00:00.289 --> 00:00:05.110]  From the front lines of the information war, it's Alex Jones.
[00:06:06.755 --> 00:06:19.063]  They tried to remove him as a Russian agent, then as the Ukrainian corruption, and as impeachment they knew was failing, they launched COVID-19 that is an engineered bioweapon, but still not as deadly as they're saying it is.
[00:06:19.323 --> 00:06:25.567]  They know the trajectory of it, and they know it'll come back year after year, so they're saying it's a permanent shutdown that has to be cycled.
[00:06:26.698 --> 00:06:27.038]  I don't
[00:06:47.176 --> 00:06:47.716]  I don't know.
[00:07:15.084 --> 00:07:15.844]  Does not exist.
[00:07:16.484 --> 00:07:19.885]  So the power to control the economy is the power to destroy.
[00:07:19.905 --> 00:07:22.226]  The power to tax is the power to destroy.
[00:07:22.886 --> 00:07:26.827]  And we are seeing America and the West brought to its knees by the globalists.
[00:07:27.147 --> 00:07:28.508]  How dare you want sovereignty?
[00:07:28.548 --> 00:07:29.908]  How dare you want prosperity?
[00:07:30.408 --> 00:07:31.968]  How dare you want all of this?
[00:07:32.949 --> 00:07:34.509]  How dare you not turn your guns in?
[00:07:34.869 --> 00:07:37.030]  How dare you not sterilize your sons?
[00:07:38.132 --> 00:07:40.173]  And so now they're moving ahead.
[00:07:40.593 --> 00:07:47.817]  The next phase will be trying to remove the president during the depression that they'll blame on him because he still doesn't control the Justice Department.
[00:07:48.818 --> 00:07:55.222]  And they will then also accelerate the prosecution of talk show hosts and people loyal to the president.
[00:07:56.062 --> 00:08:04.467]  I've obviously been told, as I've been telling you the last few months, that I will be indicted by federal and state grand juries in the near future.
[00:08:06.127 --> 00:08:13.152]  I've been told you will roll over against Trump or we will destroy you either with these lawsuits or we will find a way to indict you.
[00:08:14.232 --> 00:08:17.374]  And Democrats walk me in the street and they go, you're going to get arrested.
[00:08:18.135 --> 00:08:23.478]  Because these are authoritarians, folks, and they can have a grand jury indict a ham sandwich.
[00:08:23.518 --> 00:08:25.720]  So understand, they think you're cowards.
[00:08:26.590 --> 00:08:46.203]  And they think that when you see talk show hosts indicted, and you see more Trump supporters like Senator Paul with his ribs kicked in, and you see Congressman Scalise shot up at that baseball game, and you're going to see a lot more of that by the left, they think that as all of that unfolds,
[00:08:47.130 --> 00:08:51.613]  That you're just going to roll over in total abject fear.
[00:08:52.294 --> 00:08:53.635]  They think you're a bunch of cowards.
[00:08:54.295 --> 00:09:02.421]  That you're going to be overwhelmed by the, quote, authorities at the UN, the World Health Organization, telling you when you can leave your house and what you can do.
[00:09:02.461 --> 00:09:12.008]  And then, as you see the tyranny rolling behind this, that you'll stand down during the unending crisis, the unending emergency.
[00:09:12.888 --> 00:09:14.930]  That with it, carries a depression.
[00:09:15.649 --> 00:09:30.238]  But you see, those that are loyal to the bureaucracy controlled by the foreign megabanks and the bureaucrats of the UN backed up by the industrial giant China, you will still have your jobs for now because you will subserve.
[00:09:30.898 --> 00:09:31.879]  You will bow.
[00:09:32.019 --> 00:09:33.340]  You will grovel like good slaves.
[00:09:34.560 --> 00:09:48.005]  And then we're off the edge of the cliff and real tyranny and the Venezuelization, the North Korea-ization, the Chi-com-ization, the Soviet-ization, the true tyranny can begin.
[00:09:48.705 --> 00:09:53.047]  So make no mistake, ladies and gentlemen, read the headlines for yourself.
[00:09:53.087 --> 00:09:56.728]  States unite on reopening economies.
[00:09:57.878 --> 00:09:59.479]  Perfect double speak from NPR.
[00:09:59.819 --> 00:10:02.960]  Science, not politics, will guide decisions.
[00:10:03.461 --> 00:10:07.823]  The scientific dictatorship that Eisenhower warned of that tells you the way it is.
[00:10:08.303 --> 00:10:23.490]  The governors of New York and California, two of the largest economies in the U.S., have formed alliances with respective alliances with states and neighbors to coordinate an eventual easing of COVID-19 shutdowns.
[00:10:24.537 --> 00:10:24.958]  I think?
[00:10:39.637 --> 00:10:42.199]  That literally under Obama allowed us to transfer to China.
[00:10:42.239 --> 00:10:43.139]  That's mainstream news.
[00:10:43.500 --> 00:10:45.081]  Now China's come out and said, don't blame us.
[00:10:45.501 --> 00:10:49.483]  Obama and the NIH and Fauci gave it to us in 2012, 2015.
[00:10:50.044 --> 00:10:58.549]  If we don't listen to the very people that are holding us hostage, if we don't listen to the very people that have taken over our society, well, then the economy will never reopen.
[00:10:59.470 --> 00:11:05.694]  With separate announcements, the governor said they agreed to let science, not politics, determine when to lift the
[00:11:06.761 --> 00:11:08.283]  Social and business restrictions.
[00:11:08.823 --> 00:11:16.711]  Any plan to reopen society must be driven by data and experts and not opinion and policies, New York Governor Andrew Cuomo said.
[00:11:17.031 --> 00:11:19.133]  And of course, Newsom said the exact same thing.
[00:11:19.714 --> 00:11:29.484]  Of course, remember that Cuomo just came out a couple days ago and said that all the projections were wrong and were 9, 10, 15 times higher than what's really done.
[00:11:30.626 --> 00:11:31.046]  They don't care.
[00:11:31.086 --> 00:11:32.487]  They're still going ahead with all this.
[00:11:32.567 --> 00:11:36.148]  Even if it was 100,000 dead by now, we shouldn't allow the total shutdown.
[00:11:36.188 --> 00:11:37.029]  It's unconstitutional.
[00:11:37.349 --> 00:11:39.249]  And the First Amendment violation is shutting down the churches.
[00:11:40.690 --> 00:11:42.111]  But that's where all this is going.
[00:11:42.171 --> 00:11:46.032]  So America is fighting for its very heart, fighting for its very soul.
[00:11:46.472 --> 00:11:50.194]  I'm going to play the Cuomo clip here in a moment, but first I'm going to play
[00:11:51.260 --> 00:12:00.325]  Bill Gates saying just a few days ago that we're going to vaccinate everybody on the planet, and it's going to hurt and maim and, you know, obviously kill 700,000 people.
[00:12:00.365 --> 00:12:05.868]  So it will lead government to indemnify the companies and corporations that carry out the inoculations.
[00:12:05.908 --> 00:12:10.691]  So they're telling you, they're coming at you with his numbers of a vaccine that only hurts one in 10,000.
[00:12:10.731 --> 00:12:18.095]  Well, anybody that's had vaccines knows that it hurts a lot of people and lowers everybody's immunity and has a lot of Trojan horse garbage added to it.
[00:12:18.655 --> 00:12:20.196]  So this is a tyrannical takeover.
[00:12:21.201 --> 00:12:23.824]  I am proud to have stood against these individuals.
[00:12:24.745 --> 00:12:27.848]  I am proud to have stood against their takeover.
[00:12:28.128 --> 00:12:32.373]  We've rallied a lot of people together, and I salute the listeners, and I say God bless you all.
[00:12:33.193 --> 00:12:36.417]  But these are the times that try men's souls, so please pray for him for worse.
[00:12:36.777 --> 00:12:38.119]  Please pray for myself and the crew.
[00:12:38.399 --> 00:12:39.280]  Please pray for America.
[00:12:39.300 --> 00:12:40.461]  Please pray for President Trump.
[00:12:40.861 --> 00:12:41.882]  Trump is the real deal.
[00:12:41.922 --> 00:12:42.843]  He's totally surrounded.
[00:12:43.504 --> 00:12:43.965]  I don't
[00:13:05.405 --> 00:13:07.106]  America can only come up from here.
[00:13:07.547 --> 00:13:10.109]  We've got to start saying no to this mind control.
[00:13:10.469 --> 00:13:14.552]  We've got to start saying no to the endless emergency, the permanent martial law.
[00:13:14.812 --> 00:13:18.375]  We've got to find our soul again and find out who we are and find our courage.
[00:13:18.735 --> 00:13:20.256]  They can't take you all down.
[00:13:20.537 --> 00:13:21.717]  They can't arrest you all.
[00:13:22.478 --> 00:13:26.282]  Well, they let the murderers and rapists out of jails and try to put the patriots in jail.
[00:13:26.582 --> 00:13:29.706]  They can't intimidate everybody, and somebody's got to stand up to them.
[00:13:30.226 --> 00:13:31.187]  And I'm not intimidated.
[00:13:31.267 --> 00:13:33.750]  I'm going to do the right thing until the end, and I will not be silenced.
[00:13:34.191 --> 00:13:39.736]  I will expose the deep state that produced this bioweapon and transferred it to China to do exactly what they're doing now.
[00:13:39.776 --> 00:13:41.518]  They were planning to do this whether Trump got in or not.
[00:13:42.279 --> 00:13:43.100]  This was the takedown.
[00:13:43.140 --> 00:13:44.080]  This was the global government.
[00:13:44.100 --> 00:13:45.441]  This was the worldwide medical tyranny.
[00:13:45.641 --> 00:13:47.042]  This is everything we exposed.
[00:13:47.662 --> 00:13:49.803]  Please, please, please take action.
[00:13:50.164 --> 00:13:51.524]  Please tell everyone to tune in right now.
[00:13:52.045 --> 00:13:53.786]  This is the Modern Paul Revere Transmission.
[00:13:54.938 --> 00:14:01.160]  And if you're watching and listening, you are the hope, you are the future, you are the resistance, you are the spirit of 1776.
[00:14:02.041 --> 00:14:06.763]  The efficacy of vaccines in older people is always a huge challenge.
[00:14:06.963 --> 00:14:11.484]  You know, it turns out the flu vaccine isn't that effective in elderly people.
[00:14:11.724 --> 00:14:18.827]  We clearly need a vaccine that works in the upper age range because they're most at risk of that.
[00:14:19.167 --> 00:14:23.569]  And doing that so that you amp it up so it works in older people and yet
[00:14:24.204 --> 00:14:26.585]  What a time to be alive, ladies and gentlemen.
[00:14:57.079 --> 00:15:21.190]  The enemies of America have been fully exposed and they've exposed themselves by fighting back or trying to stymie or stop this American Revolution 2.0 that's happening, this resurgence of patriotism under President Donald Trump that's happening, this
[00:15:23.118 --> 00:15:26.301]  Ignition of the US economy under President Trump.
[00:15:26.401 --> 00:15:27.942]  They're trying to stop all of it.
[00:15:28.342 --> 00:15:29.984]  They've pulled out all the stops.
[00:15:32.586 --> 00:15:34.787]  And now they've been fully exposed.
[00:15:36.028 --> 00:15:45.436]  And I'm about to lay out for you how academia, media, and politics
[00:15:46.496 --> 00:15:59.384]  Have all been corrupted by the Chinese communists and it's sitting right in front of our face and we have at least one senator who is ready and willing to act.
[00:16:00.585 --> 00:16:03.067]  But let's take a look at this cut and dry.
[00:16:05.448 --> 00:16:14.254]  How Chinese agents are trying to manipulate the will
[00:16:16.201 --> 00:16:19.563]  And the fate of the United States of America.
[00:16:20.763 --> 00:16:26.146]  Let's start in politics with Adam Schiff.
[00:16:27.447 --> 00:16:44.456]  Now, we all know Adam Schiff, the dirtbag, pencil-necked, demon, fraud, liar, who is friends with Ed Buck, who has a rape drug orgy where dead men turn up.
[00:16:45.091 --> 00:16:46.833]  Yeah, Adam Schiff hangs out with that guy.
[00:16:48.535 --> 00:16:50.638]  Yes, the Adam Schiff that made up Russian collusion.
[00:16:51.238 --> 00:16:56.965]  Yes, the Adam Schiff that has committed every fiber of his being to destroying America and President Trump.
[00:16:56.985 --> 00:17:02.191]  Well, Adam Schiff has now fully exposed himself, ladies and gentlemen.
[00:17:02.211 --> 00:17:02.792]  Let me explain.
[00:17:05.899 --> 00:17:07.580]  Headline from Michael Isikoff.
[00:17:07.660 --> 00:17:10.861]  Now, again, it's key to know all these names and players.
[00:17:10.881 --> 00:17:11.782]  Who is Michael Isikoff?
[00:17:12.142 --> 00:17:14.823]  Deep state agent working inside the media for decades.
[00:17:15.703 --> 00:17:19.605]  Spiked the Monica Lewinsky story for the Clintons.
[00:17:20.706 --> 00:17:25.528]  Started the Russian collusion story, which was then used to get a FISA warrant.
[00:17:25.828 --> 00:17:27.569]  Yes, same guy.
[00:17:28.529 --> 00:17:32.371]  And then he publishes this for Yahoo just, I think, two days ago or even yesterday.
[00:17:33.780 --> 00:17:39.963]  Adam Schiff says intelligence committee may conduct Zoom hearings during coronavirus pandemic.
[00:17:41.184 --> 00:17:42.384]  So what is Adam Schiff saying?
[00:17:42.424 --> 00:17:43.925]  Well, we can't meet in person.
[00:17:43.945 --> 00:17:46.766]  We shut down everything and we're making people social distance.
[00:17:46.786 --> 00:17:48.647]  So we'll do digital meetings on Zoom.
[00:17:48.727 --> 00:17:49.508]  Well, what is Zoom?
[00:17:49.548 --> 00:18:00.113]  Of course, it's a Microsoft product that Bill Gates is now pushing to further enrich himself and empower himself in his attempt at a 100% totalitarian surveillance grid.
[00:18:01.766 --> 00:18:11.052]  But so why now is Adam Schiff shifting Intelligence Committee meetings to the Zoom platform?
[00:18:11.573 --> 00:18:20.018]  Well, let me go through a series of headlines here that are all actually from before Adam Schiff's announcement.
[00:18:21.099 --> 00:18:26.723]  So Adam Schiff made this announcement after all of this has already been exposed.
[00:18:28.752 --> 00:18:33.295]  Chinese spies are trying to snoop on Zoom conversations, U.S.
[00:18:33.415 --> 00:18:34.516]  intel experts say.
[00:18:36.758 --> 00:18:40.401]  Zoom under fire for security vulnerabilities ties to China.
[00:18:41.642 --> 00:18:45.484]  Zoom CEO acknowledges security missteps in live streams.
[00:18:46.585 --> 00:18:52.570]  Zoom encryption not suited for secrets has surprising links to China, researchers discover.
[00:18:53.669 --> 00:18:56.911]  Zoom security fears prompt Taiwan government ban.
[00:18:57.011 --> 00:19:00.453]  So it's been banned in Taiwan, which China is trying to take over right now.
[00:19:01.454 --> 00:19:09.599]  Zoom is giving paid users more control over where their calls are routed after it got slammed for mistakenly using data centers in China.
[00:19:10.119 --> 00:19:14.862]  Now again, post all of that.
[00:19:16.053 --> 00:19:23.698]  Adam Schiff says the Intelligence Committee will be conducting Zoom hearings during the coronavirus pandemic.
[00:19:23.838 --> 00:19:27.620]  Ladies and gentlemen, Adam Schiff is openly trying to host U.S.
[00:19:27.780 --> 00:19:31.742]  intelligence classified meetings with China in the room.
[00:19:35.484 --> 00:19:43.692]  I'd like to get up here and start screaming and shouting and smashing things because this is open treason against this country by Adam Schiff, committed again.
[00:19:44.292 --> 00:19:46.674]  And he hasn't faced a single day in jail.
[00:19:47.035 --> 00:19:50.778]  He deserves to rot in jail, his corpse rotting.
[00:19:50.938 --> 00:19:52.099]  He doesn't deserve a funeral.
[00:19:52.280 --> 00:19:53.421]  He doesn't deserve a burial.
[00:19:53.581 --> 00:19:54.562]  He doesn't deserve water.
[00:19:54.782 --> 00:19:55.763]  He doesn't deserve food.
[00:19:55.983 --> 00:19:58.986]  He deserves to sit in a cell and rot until he's dead!
[00:20:01.544 --> 00:20:06.785]  And here he is showing you his true colors, folks, because you see, Adam Schiff has nothing left to lose.
[00:20:07.125 --> 00:20:14.407]  He's already been exposed as an anti-American agent with the Russian collusion investigation, the total hoax that he knowingly went along with.
[00:20:14.807 --> 00:20:21.268]  His connections to Ed Buck and his little drug dungeon, drug sex dungeon, where people turn up dead.
[00:20:21.728 --> 00:20:23.529]  Adam Schiff has nothing left to lose.
[00:20:23.749 --> 00:20:26.249]  He's openly showing you he's an agent of China.
[00:20:26.489 --> 00:20:30.050]  He's openly trying to have meetings with China in the room.
[00:20:32.964 --> 00:20:33.604]  Let's move on.
[00:20:35.125 --> 00:20:38.647]  Now, we're going to go back in time, but it's very important to make these connections now.
[00:20:40.028 --> 00:20:44.711]  Remember, Chinese researcher tried to smuggle biological material out of U.S.
[00:20:44.931 --> 00:20:47.793]  That is Zhang Xiaosong back in December.
[00:20:48.689 --> 00:20:51.731]  Who is Zhao Song connected with?
[00:20:52.211 --> 00:20:57.534]  Harvard University professor and two Chinese nationals charged in three separate Chinese-related cases.
[00:20:57.574 --> 00:20:58.655]  That was in January.
[00:20:58.975 --> 00:21:10.762]  Dr. Charles Lieber of Harvard, who was working with China, working with Obama, and working with them, studying and testing with the COVID virus, the bat virus.
[00:21:11.703 --> 00:21:13.124]  He's been arrested.
[00:21:14.767 --> 00:21:20.569]  Even Snopes basically is admitting, was Charles Lieber arrested for selling COVID-19 coronavirus to China?
[00:21:21.430 --> 00:21:29.493]  Snopes' only defense is they're saying, yes, he was arrested, yes, he was transferring biological material, but we don't know that the COVID-19 came from a lab.
[00:21:29.933 --> 00:21:32.034]  Oh, came from a bat.
[00:21:33.775 --> 00:21:35.435]  But they already knew all this, folks.
[00:21:35.475 --> 00:21:39.597]  Remember Fauci in 2017 saying Trump will face a global pandemic?
[00:21:40.517 --> 00:21:41.878]  Well, the US State Department
[00:21:42.856 --> 00:21:48.980]  Warned of potential SARS-like pandemic after visiting Wuhan lab experimenting with bat coronavirus.
[00:21:49.040 --> 00:21:51.582]  Now, let's continue down this line.
[00:21:51.602 --> 00:21:52.082]  So there you go.
[00:21:52.723 --> 00:21:57.206]  Harvard, Chinese agent transferring biological materials, already been arrested.
[00:21:58.506 --> 00:22:01.428]  But here's the Obama-Fauci deep state connection.
[00:22:02.869 --> 00:22:08.133]  Fauci's NIAID funded Wuhan lab scientists to research bat coronavirus.
[00:22:08.553 --> 00:22:09.614]  All the data is published.
[00:22:10.546 --> 00:22:18.028]  Here's even the statement and the data from the official NIH website from October 16, 2014 under Obama.
[00:22:18.368 --> 00:22:23.069]  Statement on funding pause on certain types of gain-of-function research.
[00:22:23.349 --> 00:22:26.450]  What did we have Dr. Francis Boyle talking about back in January?
[00:22:26.550 --> 00:22:30.331]  Gain-of-function in this bioweapon lab-made virus.
[00:22:31.897 --> 00:22:33.058]  And so that all happened.
[00:22:33.499 --> 00:22:33.739]  U.S.
[00:22:33.759 --> 00:22:38.623]  government gave 3.7 million grant to Wuhan lab that experimented on coronavirus source bats.
[00:22:38.663 --> 00:22:42.647]  And they can deny it, but it became a national story at the time, very controversial.
[00:22:42.667 --> 00:22:45.389]  That's why the NIH published this story.
[00:22:45.810 --> 00:22:47.591]  Here were some of the headlines at the time.
[00:22:48.032 --> 00:22:50.394]  Lab made coronavirus triggers debate.
[00:22:50.994 --> 00:22:54.116]  Engineered bat virus stirs debate over risky research.
[00:22:54.396 --> 00:23:03.100]  So you see the players, you see the game, you see the Chinese connection, you see the treason and the anti-American agenda right in front of your eyes.
[00:23:03.320 --> 00:23:04.341]  It's all exposed.
[00:23:04.621 --> 00:23:05.582]  Will Trump act?
[00:23:06.222 --> 00:23:08.983]  Josh Hawley, Senator from Missouri, is ready to act.
[00:23:09.264 --> 00:23:10.264]  We are ready to act.
[00:23:10.404 --> 00:23:11.985]  But that's not all the Chinese connections.
[00:23:12.005 --> 00:23:13.206]  They're in the mainstream media too.
[00:23:13.266 --> 00:23:13.786]  That's next.
[00:23:14.626 --> 00:23:19.309]  Facing the greatest threat since our founding and the Civil War.
[00:23:20.509 --> 00:23:25.159]  The United States is now in a form of high-tech civil war.
[00:23:26.201 --> 00:23:29.849]  It's soft but being escalated and turned up now.
[00:23:31.169 --> 00:23:44.841]  This is a multinational corporate criminal takeover between the CHICOMs, the EU, the corrupt blue states, the cities, with major global corporations and big tech surveilling the population with AI control.
[00:23:45.542 --> 00:23:48.684]  This is a mass breaking of the American people's will.
[00:23:49.185 --> 00:23:51.167]  They want you to submit and roll over.
[00:23:51.727 --> 00:23:54.851]  If you roll over, it will only get worse.
[00:23:55.291 --> 00:23:58.194]  Mayday, mayday, mayday, mayday.
[00:23:58.535 --> 00:24:01.058]  This is a new world war.
[00:24:01.698 --> 00:24:04.442]  This is next-generational warfare.
[00:24:05.162 --> 00:24:09.447]  The criminals engaged in this believe you're weak and believe they can break your will.
[00:24:10.248 --> 00:24:13.351]  We can defeat them, but this is the main assault.
[00:24:13.831 --> 00:24:15.652]  President Trump is the target.
[00:24:16.193 --> 00:24:17.874]  President Trump is the target.
[00:24:18.575 --> 00:24:24.680]  Once he's removed, they are going to clamp down full martial law forever and release even more deadly viruses.
[00:24:25.734 --> 00:24:27.035]  This is the truth.
[00:24:27.775 --> 00:24:28.976]  This is the reality.
[00:24:29.496 --> 00:24:35.979]  And the credibility of Infowars reading globalist documents on air is so high, they are not going to allow us to be on air much longer.
[00:24:36.580 --> 00:24:40.262]  America must let Congress, the courts, and the state governors know.
[00:24:40.762 --> 00:24:49.607]  An alliance of the people, an alliance of the republic must be formed against the globalists that seek to end the republic and the nation's very existence.
[00:24:50.447 --> 00:24:56.550]  I'm Alex Jones, and this is my emergency message to the people of the world, the President, and the people of America.
[00:24:57.191 --> 00:25:00.553]  And those in the government must now choose which side they're on.
[00:25:01.273 --> 00:25:01.713]  It's here.
[00:25:02.153 --> 00:25:03.614]  Toe-to-toe with the New World Order.
[00:25:03.974 --> 00:25:05.135]  Toe-to-toe with the globalists.
[00:25:05.615 --> 00:25:19.323]  The United States is now under soft martial law, being carried out by the NIH, the World Health Organization, the United Nations, the Blue Cities, and Blue States.
[00:25:20.287 --> 00:25:29.893]  The alliance that's been announced by the West and East Coast against Trump and against the flyover country is a giant criminal power grab.
[00:25:30.851 --> 00:25:53.090]  They have full page articles in the New York Times saying Trump's crazy because he's questioned the NIH saying we need this giant lockdown when it turns out their projections were way overblown and that they themselves have been intimately involved in the level four bioweapons labs that transferred this very virus and systems to the communist Chinese.
[00:25:54.511 --> 00:25:56.753]  The globalists want total submission.
[00:25:58.533 --> 00:26:04.942]  And they are about to move against President Trump because he's trying to block the permanent shutdown and the depression.
[00:26:05.963 --> 00:26:08.226]  America is under economic siege.
[00:26:09.488 --> 00:26:12.612]  I can tell you that Fox News is now turning against President Trump.
[00:26:13.613 --> 00:26:23.043]  And different major talk show hosts on Fox News are so loyal to America and common sense are being threatened and not just threatened with their jobs.
[00:26:23.824 --> 00:26:25.766]  They're being threatened with more than that.
[00:26:26.566 --> 00:26:30.791]  The globalists are making their move to take down the country forever.
[00:26:32.312 --> 00:26:36.376]  They are devastating flyover country while keeping the mega corporations open.
[00:26:37.495 --> 00:26:40.161]  It is time to contact Governor Abbott.
[00:26:40.361 --> 00:26:47.397]  It is time to contact President Trump and other patriot governors, and they must form a public alliance against the shy comms.
[00:26:48.763 --> 00:26:55.808]  And against the globalists in Hollywood and the leftist governors who are enemies of the Republic, ladies and gentlemen.
[00:26:56.489 --> 00:27:02.573]  First, they denied there was a problem with the virus to lull Trump into a sense of complacency.
[00:27:03.334 --> 00:27:07.277]  Then they announced it was the end of the world and demanded he clamp total controls on.
[00:27:07.917 --> 00:27:10.179]  When he went along with that, they said, OK, you've done a good job.
[00:27:10.699 --> 00:27:15.462]  Now they're going to move into the phase of saying he's done a terrible job and needs to be removed from office.
[00:27:16.383 --> 00:27:18.343]  And they're going to then go after everybody.
[00:27:18.363 --> 00:27:22.324]  They're going to get your Second Amendment, your children, everything.
[00:27:23.004 --> 00:27:26.905]  And again, I'm not at liberty to tell you what's going on behind the scenes, ladies and gentlemen.
[00:27:26.985 --> 00:27:31.426]  But in the last few months, I've broken it down here that the globalists are pissed.
[00:27:31.486 --> 00:27:34.046]  And they're mad that all their fake lawsuits against us are failing.
[00:27:34.486 --> 00:27:36.326]  So they run fake news saying that they're winning.
[00:27:36.346 --> 00:27:36.727]  They're not.
[00:27:37.627 --> 00:27:40.067]  So now they're going to move into other realms.
[00:27:40.607 --> 00:27:41.347]  And that's OK.
[00:27:41.787 --> 00:27:44.348]  Because I've understood what the globalists are up to.
[00:27:45.327 --> 00:27:50.318]  I've understood their operations and I've known what I was getting into fighting these tyrants and monsters.
[00:27:50.899 --> 00:27:52.883]  So it's not about Alex Jones, it's about all of us.
[00:27:53.745 --> 00:27:54.867]  Here's my message to the President.
[00:27:56.343 --> 00:27:58.204]  Mr. President, your instincts are dead on.
