[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[00:05:19.691 --> 00:05:21.772]  They're getting ready to take this country down.
[00:05:21.833 --> 00:05:27.976]  Now, Trump can still win, but the way things are going, they're probably going to say he lost and they're going to kill him.
[00:05:29.315 --> 00:05:29.995]  I can smell it.
[00:05:30.015 --> 00:05:33.997]  You know, I told you Fox News would start declaring states first early.
[00:05:34.357 --> 00:05:35.257]  You saw them do it.
[00:05:35.837 --> 00:05:37.538]  I've got these enemies figured out.
[00:05:38.298 --> 00:05:40.439]  I'm gonna tell you what I really think when we come back.
[00:05:40.599 --> 00:05:41.119]  Stay with us.
[00:05:42.580 --> 00:05:46.401]  Well, it's now November 4th, and the election's not over.
[00:05:46.421 --> 00:05:55.305]  78, 79 days, depending on how you count it, of hell has begun.
[00:05:56.536 --> 00:05:59.699]  In fact, even corporate media is calling it the days of hell.
[00:06:01.060 --> 00:06:02.161]  The nightmare is here.
[00:06:02.181 --> 00:06:07.286]  Because they're going to really love demoralizing this country further and splitting it down the middle.
[00:06:07.587 --> 00:06:09.188]  And why shouldn't they try to steal it?
[00:06:09.248 --> 00:06:10.810]  Because they're not going to get in trouble for doing it.
[00:06:12.451 --> 00:06:15.254]  They don't get in trouble flying little kidnapped kids around on airplanes.
[00:06:15.294 --> 00:06:21.440]  They don't get in trouble having the crazy man Bill Gates that says he wants to depopulate the earth announce that he's your doctor.
[00:06:22.739 --> 00:06:27.880]  You're gonna have to have medical passports to travel and to have a job, and it's being rolled out now.
[00:06:29.200 --> 00:06:31.241]  We told you nine months ago it was coming, now it's here.
[00:06:33.601 --> 00:06:37.922]  Like The Shining, with Jack Nicholson hacking through the door with his fire axe.
[00:06:38.483 --> 00:06:48.285]  Except this isn't a movie, this is Bill Gates hacking through with his fire axe of deadly mRNA vaccine, and you read what it does and how it makes
[00:06:49.315 --> 00:06:52.776]  Everyone's sick in one study, 100% get deathly ill.
[00:06:53.377 --> 00:06:55.897]  Another study, 80% get sick, 20% go to the hospital.
[00:06:56.278 --> 00:06:59.719]  He's hacking through the door going, here's Johnny!
[00:07:01.339 --> 00:07:02.560]  And we're just supposed to love it.
[00:07:05.701 --> 00:07:09.622]  They want to visit violence on us and not have us have a way to fight back.
[00:07:11.063 --> 00:07:16.645]  And again, if Hitler would have just had an inoculation program in Europe, he could have killed everybody to make sure the vaccine kills you in 5-10 years.
[00:07:18.148 --> 00:07:19.249]  There's all these new diseases.
[00:07:19.309 --> 00:07:20.310]  No one knows what hits them.
[00:07:20.330 --> 00:07:21.190]  The media covers it up.
[00:07:21.270 --> 00:07:23.312]  I mean, that's really where all this is going.
[00:07:23.352 --> 00:07:25.914]  And Trump was trying to derail this.
[00:07:27.435 --> 00:07:28.496]  Absolute champion.
[00:07:30.437 --> 00:07:31.458]  Working his ass off.
[00:07:31.878 --> 00:07:33.299]  Four, five, six rallies a day.
[00:07:35.561 --> 00:07:36.582]  We have the satellite feed.
[00:07:36.902 --> 00:07:39.304]  Biden's set to have a rally in Atlanta, Georgia.
[00:07:39.344 --> 00:07:40.445]  And how do you know it's a Biden rally?
[00:07:40.745 --> 00:07:41.645]  Because there's no one there.
[00:07:42.946 --> 00:07:44.247]  What do you call an empty parking lot?
[00:07:44.468 --> 00:07:45.128]  A Biden rally.
[00:07:45.148 --> 00:07:46.829]  What do you call an empty church?
[00:07:46.989 --> 00:07:47.630]  A Biden rally.
[00:07:51.400 --> 00:08:03.865]  And that is the creature that the global Chi-Com establishment is about to force on us, just like they're going to force everything else until we start saying no.
[00:08:06.486 --> 00:08:07.226]  But it's crazy.
[00:08:07.306 --> 00:08:08.466]  He can hardly talk.
[00:08:08.947 --> 00:08:12.168]  His son's caught on the laptop with him in total corruption.
[00:08:14.175 --> 00:08:17.077]  Being bought off by the head of Chinese intelligence, and it's all confirmed.
[00:08:17.197 --> 00:08:21.681]  And the FBI is going to do nothing but shine his shoes when he gets into office.
[00:08:22.061 --> 00:08:31.648]  And then within six months, they'll say he's got a brain tumor, or he died of COVID or something, and then he'll fade off into the sunset, and we'll have Kamala.
[00:08:32.449 --> 00:08:35.391]  And God only knows, she'll probably put another woman up there.
[00:08:35.671 --> 00:08:38.213]  So when you criticize her, you're like, you just don't like a strong woman.
[00:08:39.141 --> 00:08:41.423]  That got less than 2% of the Democrat primaries.
[00:08:41.483 --> 00:08:42.663]  I mean, they don't even want her.
[00:08:42.703 --> 00:08:47.306]  It's like force feed, force feed, force feed, force feed, force feed.
[00:08:47.867 --> 00:08:53.250]  I mean, Tulsi Gabbards has enough charm, I don't agree with a lot of her policies, that she probably would have beaten Trump.
[00:08:53.510 --> 00:08:56.993]  But see, she doesn't follow all their orders.
[00:08:57.053 --> 00:08:58.053]  She's anti-war.
[00:08:59.895 --> 00:09:01.796]  She's not devil worshiper material.
[00:09:04.164 --> 00:09:16.688]  And so she can't be in the club because she's not a hunchbacked, crip-keeper, pedophile with a bunch of pedophile kids and a bunch of drug addict trash that literally have sold the country out.
[00:09:16.728 --> 00:09:23.090]  I mean, you could get billions personally from the Chinese for what Biden sold out, but he was doing it for millions.
[00:09:23.150 --> 00:09:25.050]  I mean, he's a cheap thug.
[00:09:26.911 --> 00:09:27.511]  He's a pimp.
[00:09:29.526 --> 00:09:34.468]  And that's who the globalists want, someone ugly and stupid like them.
[00:09:34.488 --> 00:09:39.930]  Because, you know, the globalists have inherited all their wealth, three or four generations down.
[00:09:40.150 --> 00:09:48.033]  They just have bureaucracies that do it all for them, and they have so much money, they're able to buy whatever they damn well want, don't they?
[00:09:48.053 --> 00:09:51.614]  I'm going to tell you what I really think, and I told you what I think.
[00:09:52.855 --> 00:09:54.996]  And I begged all the Q people, I said,
[00:09:55.956 --> 00:09:59.578]  The storm's got to be you, and the storm's got to be us countering them.
[00:09:59.618 --> 00:10:04.120]  You cannot hope for these secret groups because it's not going on.
[00:10:04.920 --> 00:10:11.664]  There are good patriots inside government, but they tell me they're outnumbered, outgunned, surrounded, and they need our help.
[00:10:12.284 --> 00:10:13.885]  Not everything's handled, trust the plant.
[00:10:15.846 --> 00:10:18.787]  And so I know so many people that just said, oh, Alex, relax, you know.
[00:10:19.388 --> 00:10:21.008]  They're real experts on how to handle all this.
[00:10:21.388 --> 00:10:22.209]  It's delusional.
[00:10:26.155 --> 00:10:27.676]  Fucking Raiders, the Lost Ark at the end.
[00:10:28.336 --> 00:10:29.596]  They're the two top guys on it.
[00:10:29.616 --> 00:10:31.837]  They're like, hey, we're going to follow up and research the Ark now that we have it.
[00:10:31.857 --> 00:10:33.798]  And they go, oh, we don't need you anymore.
[00:10:34.218 --> 00:10:35.219]  We've got top men.
[00:10:35.379 --> 00:10:40.141]  And the truth is, they don't have anything.
[00:10:40.561 --> 00:10:41.942]  They go stick it in a damn warehouse.
[00:10:42.642 --> 00:10:47.044]  And so that's where your freedom is going, is into a black hole.
[00:10:49.365 --> 00:10:49.985]  So here's the deal.
[00:10:52.998 --> 00:11:01.566]  They're going to deliver as many ballots as they need in Pennsylvania, and in Michigan, and in North Carolina, and all these places.
[00:11:03.087 --> 00:11:03.507]  Nevada.
[00:11:03.808 --> 00:11:06.951]  Nevada was releasing ballots up to the minute.
[00:11:07.451 --> 00:11:09.092]  Now they go, oh, we're pausing.
[00:11:09.133 --> 00:11:10.514]  We'll tell you who the winner is tomorrow.
[00:11:12.352 --> 00:11:16.674]  So they can broker power deals and get all their stuff together because there's so much fraud.
[00:11:17.615 --> 00:11:22.558]  They don't want to do what happened in Wisconsin, where more people voted for Biden than were registered voters.
[00:11:23.118 --> 00:11:25.179]  He got over 100% of the votes.
[00:11:25.519 --> 00:11:29.882]  I went to even the New York Times' own numbers, the Washington Post's own numbers, and checked them with the federal numbers.
[00:11:31.323 --> 00:11:32.203]  I've got that in the stack.
[00:11:32.263 --> 00:11:33.024]  Did you hear what I just said?
[00:11:33.084 --> 00:11:36.626]  Wisconsin, Joe Biden got over
[00:11:37.639 --> 00:11:38.740]  We're trying to do the math right now.
[00:11:39.220 --> 00:11:48.028]  Over 100% of the vote for registered Democrats.
[00:11:49.829 --> 00:11:53.092]  That's Santa Claus, Easter Bunny, Lucky Charms territory right there.
[00:11:54.333 --> 00:11:55.474]  Because they just don't care.
[00:11:56.474 --> 00:11:57.495]  They don't care anymore.
[00:11:57.535 --> 00:11:59.697]  They tell you there's not men and women.
[00:11:59.777 --> 00:12:00.638]  There's not two genders.
[00:12:01.218 --> 00:12:06.623]  They tell you convicted pedophiles come to your school and your five-year-old bounces on their erection through their pants.
[00:12:08.424 --> 00:12:18.891]  I mean, dudes come to your school with no pants on, with glitter on their penis, and children jump on it, but then listeners will call and complain because I said the P-word.
[00:12:20.652 --> 00:12:33.420]  That's like they say in Full Metal Jacket, Colonel Kurtz is saying, we drop napalm on villages of children, but the generals get mad if the men write cuss words on the sides of their airplanes.
[00:12:36.719 --> 00:12:38.060]  Exactly, that's exactly.
[00:12:44.085 --> 00:12:44.606]  It's sick!
[00:12:46.087 --> 00:12:46.607]  It's sick!
[00:12:49.670 --> 00:12:51.031]  So let me tell you the territory we're in.
[00:12:51.071 --> 00:12:53.253]  I've looked at every outcome in my mind of this.
[00:12:54.574 --> 00:12:57.456]  And again, when you get this knowledge, you just know what they're gonna do.
[00:12:58.037 --> 00:12:58.657]  You know the play.
[00:12:58.677 --> 00:13:05.123]  Like I said yesterday, maybe ask Drew or somebody to get the first hour of the show, look through it on high speed, and
[00:13:07.140 --> 00:13:35.456]  Fine where I said like five times Fox News will announce key states first to give their deception credibility and I said like Michigan or Arizona or Pennsylvania and damn it they did it in two of those states in Nevada and they did it in no not it was in Arizona and it was in Michigan I mean just right on time man right on time so so let me tell you what's gonna happen next
[00:13:37.944 --> 00:13:40.065]  The Supreme Court will probably extend the deadlines more.
[00:13:40.425 --> 00:13:42.266]  One state's got nine days, one's got three days.
[00:13:42.527 --> 00:13:50.091]  They've got all those 80 million ballots, huge stores of them in warehouses, in Democrat Party officials' houses, and the cars are pulling up.
[00:13:50.271 --> 00:13:50.951]  It's all over the news.
[00:13:51.131 --> 00:13:51.732]  Oh, what's that car?
[00:13:51.912 --> 00:13:52.632]  Oh, just get back.
[00:13:52.732 --> 00:13:55.554]  Oh, we just got... Well, where'd that come from?
[00:13:56.294 --> 00:13:59.236]  You'll see.
[00:14:00.957 --> 00:14:02.758]  Because they don't respect this.
[00:14:02.818 --> 00:14:03.418]  My God.
[00:14:03.478 --> 00:14:05.800]  I mean, they've gotten away with anything they want to do.
[00:14:08.311 --> 00:14:11.615]  And then the president comes out and gives an exact statement last night.
[00:14:11.915 --> 00:14:12.736]  I was so tired.
[00:14:13.597 --> 00:14:15.599]  I was cross-eyed at 3 a.m.
[00:14:15.619 --> 00:14:16.180]  when I got home.
[00:14:16.660 --> 00:14:18.102]  And I'm 46, probably 47.
[00:14:18.702 --> 00:14:19.763]  Trump's 74.
[00:14:20.244 --> 00:14:23.808]  He's up at 4 in the morning giving the best, slickest speech I've ever seen him give.
[00:14:24.709 --> 00:14:28.673]  And everything he said was true, dead-on, not exaggerated.
[00:14:31.189 --> 00:14:32.930]  And the media's like, he's a dictator.
[00:14:32.970 --> 00:14:34.991]  Look, exactly what he said and what they do.
[00:14:35.031 --> 00:14:36.552]  He is outrageous.
[00:14:37.013 --> 00:14:44.277]  He's saying he's got, you know, he's five points ahead in this state, seven points ahead here, and two points ahead there, and there's no way.
[00:14:44.677 --> 00:14:50.841]  And they're like, well, we are going to have to have 75% of the ballots in Pennsylvania coming in to be Democrat.
[00:14:50.901 --> 00:14:54.003]  And just magically, there's 76% right now.
[00:14:54.423 --> 00:14:55.364]  It's just perfect.
[00:14:55.384 --> 00:14:57.345]  It's just right what they need.
[00:14:58.715 --> 00:14:59.975]  When Trump's like, investigate that.
[00:15:00.316 --> 00:15:01.436]  This whole thing's illegal.
[00:15:01.596 --> 00:15:02.736]  The whole damn thing's fraudulent.
[00:15:03.297 --> 00:15:04.617]  And you're like, oh, the Supreme Court.
[00:15:04.997 --> 00:15:09.419]  I bet Amy Comey Barrett pulls a dagger out and just stabs Trump right in the neck.
[00:15:09.539 --> 00:15:14.081]  Or one of, you know, Roberts or somebody, because you saw the Supreme Court's allowing all these extensions.
[00:15:15.081 --> 00:15:17.042]  Oh, the mythical conservative Supreme Court.
[00:15:17.942 --> 00:15:19.583]  They're all a bunch of coward lawyers.
[00:15:19.623 --> 00:15:22.964]  That's why they were brought in by the globalists, because they're cowards and not Americans.
[00:15:25.285 --> 00:15:26.225]  I'm here to tell you something.
[00:15:30.905 --> 00:15:33.587]  Infowars, that means you, put Trump in office.
[00:15:34.708 --> 00:15:35.989]  And Trump is only one man.
[00:15:38.491 --> 00:15:40.552]  Right now, this country is on a razor's edge.
[00:15:42.013 --> 00:15:49.319]  And you're gonna see, as I predicted, and as Robert Barnes predicted, betrayals by the Supreme Court against President Trump.
[00:15:51.160 --> 00:15:58.366]  Because he is trying to restore the Republic, he is trying to get us out from under Qaikom control, he is trying to do all of that, but the establishment
[00:16:01.383 --> 00:16:01.883]  Is that right?
[00:16:25.623 --> 00:16:36.273]  You know, United Nations clash with tribes, African Congo tribes, it was one of those countries, Congonese tribes over carbon set-aside sinks.
[00:16:37.503 --> 00:16:42.484]  That was what the article was about, and I'm just reading this article, and I already knew all this stuff, that the U.N.
[00:16:42.504 --> 00:16:44.204]  goes in and just murders whole villages.
[00:16:44.245 --> 00:16:53.126]  I mean, they killed a million Rwandan Christians to take their land, and used the animist devil-worshippers to take over and do it.
[00:16:53.146 --> 00:16:54.527]  I mean, the Clintons ran that.
[00:16:54.547 --> 00:16:55.047]  The U.N.
[00:16:55.087 --> 00:16:57.387]  didn't just let one tribe in to kill the others.
[00:16:57.767 --> 00:17:01.448]  They set up machine guns and killed those that tried to get out for six months straight.
[00:17:02.548 --> 00:17:03.189]  That was Rwanda.
[00:17:05.347 --> 00:17:13.276]  In Central Africa, it was describing these villagers, some of them pygmies, that had been there forever.
[00:17:13.436 --> 00:17:15.178]  It's their land, but they didn't have a deed to it.
[00:17:15.498 --> 00:17:19.623]  And it's everything, oh, we took it from the Native Americans, all the stuff we hear about how bad we are back then.
[00:17:20.143 --> 00:17:25.289]  But the UN, it said, just went in and just slaughtered everyone with army tanks and helicopters.
[00:17:28.348 --> 00:17:30.109]  And I'm reading this in the New York Times.
[00:17:30.149 --> 00:17:31.491]  They're not even hiding it.
[00:17:31.511 --> 00:17:44.140]  It's like, yeah, there's three million Uyghurs in death camps, and yeah, there's a million Christians and Buddhists estimated, you know, in Chinese camps, and yeah, Apple, you know, gets its main supply parts made by the Uyghurs, and they take the Uyghurs' organs.
[00:17:44.160 --> 00:17:44.721]  You can pull that.
[00:17:44.741 --> 00:17:47.063]  It's just like, but America's bad.
[00:17:49.565 --> 00:17:50.585]  And it's just like, what?
[00:17:52.307 --> 00:17:52.527]  What?
[00:17:55.329 --> 00:17:57.271]  And then I see hundreds of articles
[00:17:58.675 --> 00:18:10.362]  Every few days about Muslims just randomly killing Europeans, and little kids, women, just, I mean every day a woman is pushed in front of a subway train in Europe and killed.
[00:18:11.523 --> 00:18:16.646]  Every day I just see, you know, it's a Muslim, they kill them, and if you say, oh that Muslim killed her and screamed Allah Akbar,
[00:18:17.708 --> 00:18:19.149]  It's always a hot woman, too.
[00:18:19.209 --> 00:18:20.349]  I think it really upsets us hot.
[00:18:20.429 --> 00:18:22.771]  Use some hot blonde, you know, all sexy at the train.
[00:18:23.151 --> 00:18:23.551]  Die!
[00:18:23.571 --> 00:18:25.372]  You know, it's just like, that's his dominance.
[00:18:25.432 --> 00:18:26.593]  Kick him down the stairs, whatever.
[00:18:26.933 --> 00:18:30.935]  And if you talk about it, the police come and arrest you in Germany.
[00:18:31.835 --> 00:18:32.216]  In Sweden.
[00:18:33.136 --> 00:18:34.337]  I mean, that's it.
[00:18:34.437 --> 00:18:40.980]  Cops come to your house because you put a Facebook article out about a woman being murdered and you go to jail.
[00:18:41.240 --> 00:18:42.541]  This is just ridiculous.
[00:18:45.097 --> 00:18:46.718]  We're not approaching tyranny.
[00:18:46.818 --> 00:18:47.639]  We are in it.
[00:18:48.219 --> 00:18:52.142]  And everything that's been done in Europe is about five years ahead of us, and that's all coming here now.
[00:18:52.703 --> 00:18:54.304]  And with COVID, it's six months ahead of us.
[00:18:57.326 --> 00:18:58.707]  So, I'm gonna explain something again.
[00:18:59.107 --> 00:19:00.769]  I don't predict any of this.
[00:19:03.445 --> 00:19:08.486]  I understand the criminology and the psychology and the modus operandi of these people.
[00:19:08.586 --> 00:19:09.847]  Again, how did I know?
[00:19:09.867 --> 00:19:10.947]  Did you guys get the clip?
[00:19:11.707 --> 00:19:12.887]  Fox News, it's all over.
[00:19:12.987 --> 00:19:20.249]  Fox in trouble for declaring Arizona when it was not done and when clearly the numbers were going towards Trump.
[00:19:21.730 --> 00:19:23.130]  Now again, what did I say yesterday?
[00:19:24.474 --> 00:19:29.996]  I said, I looked for Fox News to declare key battleground states early first for Biden.
[00:19:30.236 --> 00:19:33.118]  And of course they did it, not just there, but in one other state as well.
[00:19:34.398 --> 00:19:36.219]  This is what these scumbags do.
[00:19:36.239 --> 00:19:37.239]  Yeah, there it is on screen.
[00:19:39.380 --> 00:19:40.501]  This is how they operate.
[00:19:41.381 --> 00:19:42.802]  Now, why did I say it'd be Fox?
[00:19:44.500 --> 00:19:47.004]  Because then it's not seen as bias.
[00:19:47.825 --> 00:19:56.739]  And they get together and have war-gamed all this and got seven media groups together that have interlocking directorates and ownership, and they've war-gamed out the whole thing.
[00:19:57.660 --> 00:19:58.642]  Pullupdreadsreport.com.
[00:20:00.259 --> 00:20:04.721]  It's frozen up there with the delegate count for Biden and the delegate count for Trump.
[00:20:04.761 --> 00:20:09.463]  They froze it at a point when Trump was about to surpass Biden and win just like four years ago.
[00:20:09.684 --> 00:20:15.406]  So they froze it at 238 Biden, 213 Trump for that emblematic image of 50.12, 48.26.
[00:20:19.488 --> 00:20:27.631]  So that you look at that and it says Biden is the winner, then it becomes self-fulfilling prophecy when all the fake ballots they've got warehoused flood in.
[00:20:27.731 --> 00:20:29.971]  It's 2 plus 2 equals 4.
[00:20:30.612 --> 00:20:34.253]  And the ability to be free is to be able to say 2 plus 2 equals 4.
[00:20:34.293 --> 00:20:35.913]  That is such an incredible statement.
[00:20:36.313 --> 00:20:38.034]  I think that's an overly simplistic statement.
[00:20:38.054 --> 00:20:41.335]  First time I read 1984, I laughed at it when I was like 12 years old.
[00:20:41.835 --> 00:20:42.655]  It's not funny now.
[00:20:43.276 --> 00:20:45.176]  Because they actually teach in European and U.S.
[00:20:45.216 --> 00:20:47.257]  schools that 2 plus 2 could equal whatever you want.
[00:20:49.161 --> 00:20:50.341]  And this is a war on logic.
[00:20:52.022 --> 00:20:54.782]  It's like all of the COVID testing they admit is totally fake.
[00:20:55.042 --> 00:20:56.003]  All the numbers are fake.
[00:20:56.043 --> 00:20:57.003]  They just don't care.
[00:20:57.083 --> 00:21:02.264]  It's the victory of fraud over reality.
[00:21:05.245 --> 00:21:08.425]  And so last night we were flipping through all the channels, CBS, Fox, CNN.
[00:21:08.705 --> 00:21:14.687]  It was all just wild different numbers on purpose just to totally spin you around, spin you around, spin you around.
[00:21:14.947 --> 00:21:15.567]  You're all dizzy.
[00:21:15.607 --> 00:21:16.347]  You don't know where you are.
[00:21:17.329 --> 00:21:17.869]  We know where we are.
[00:21:17.909 --> 00:21:19.450]  They put us in a fake COVID lockdown.
[00:21:19.650 --> 00:21:21.091]  They sent out 80 million fake ballots.
[00:21:21.451 --> 00:21:22.112]  They war game.
[00:21:22.132 --> 00:21:23.693]  The Democrats said we will not contest.
[00:21:23.973 --> 00:21:27.515]  It'll look like a red wave.
[00:21:27.575 --> 00:21:28.616]  It's a red mirage.
[00:21:28.976 --> 00:21:35.480]  And then we will magically have the ballots that come in because their people all voted two or three times the names of dead people, dead cats, and they steal it.
[00:21:37.081 --> 00:21:42.044]  And so if America puts up with this, we deserve what we get because let me tell you something.
[00:21:43.669 --> 00:21:57.541]  When they get Joe Biden in and then they select whoever they want to replace him, they're going to plunge the stock market, start huge wars, they're going to trigger more race rioting, and they're going to gut this country because they don't want this country to be powerful.
[00:21:57.741 --> 00:22:03.426]  They want it to be an EU-Chinese axis with the United States as a third party that's been
[00:22:05.165 --> 00:22:05.525]  That's all it is.
[00:22:05.565 --> 00:22:07.366]  You're like, why do they want to do this?
[00:22:07.426 --> 00:22:09.167]  Because they don't like you.
[00:22:09.187 --> 00:22:11.129]  They want to hurt you.
[00:22:11.389 --> 00:22:11.789]  They enjoy it.
[00:22:11.809 --> 00:22:12.890]  They're bad people.
[00:22:12.910 --> 00:22:15.051]  Stop projecting your goodness on them and grow up.
[00:22:34.841 --> 00:22:39.062]  The Rockefellers, the Rothschilds, the whole political class are psychotics.
[00:22:40.122 --> 00:22:42.283]  They're devil-worshipping pedophiles.
[00:22:42.603 --> 00:22:43.863]  They rape children.
[00:22:44.103 --> 00:22:45.563]  They kill children.
[00:22:45.803 --> 00:22:47.184]  They kill countries.
[00:22:47.644 --> 00:22:59.346]  They go into African countries and inject everyone with steroids and cancer viruses, and now, like Bill Gates said, no reason only the Africans should be getting all this, he said in a speech, and opened up the mosquitoes and started laughing.
[00:22:59.906 --> 00:23:02.607]  He wants to kill you just as much as he wants to kill those black people.
[00:23:03.968 --> 00:23:06.909]  Because they don't like strong people.
[00:23:07.129 --> 00:23:08.329]  They want to dominate you.
[00:23:08.529 --> 00:23:09.570]  They want to kill you.
