[00:00:00.289 --> 00:00:05.193]  From the front lines of the information war, it's Alex Jones.
[00:12:47.063 --> 00:12:48.044]  What are we supposed to do then?
[00:12:49.005 --> 00:12:50.626]  I think it's a trap for Trump.
[00:12:51.287 --> 00:12:54.069]  I think Trump is being kept out of the loop.
[00:12:54.449 --> 00:13:00.273]  I think Trump is being misinformed on purpose so that they can blame Trump when the testing begins.
[00:13:00.293 --> 00:13:02.514]  Remember, the testing has not even begun in America.
[00:13:03.115 --> 00:13:07.378]  When the testing begins, we're going to see hundreds, if not thousands of cases almost immediately confirmed.
[00:13:08.098 --> 00:13:09.379]  Trump is going to take the blame.
[00:13:09.399 --> 00:13:12.181]  You're going to see Mitt Romney up there saying, Trump was unprepared.
[00:13:12.502 --> 00:13:13.462]  He doesn't know what he's doing.
[00:13:14.043 --> 00:13:18.446]  You're going to have Senator Schumer saying, Trump took money away from the CDC, which is a lie.
[00:13:18.486 --> 00:13:19.247]  He didn't do that.
[00:13:19.888 --> 00:13:21.649]  Oh, Trump didn't have enough funding.
[00:13:22.109 --> 00:13:25.752]  He just approved, I think, was it a billion or two billion or 2.5 billion?
[00:13:26.433 --> 00:13:32.278]  The number keeps jumping around, but Trump just approved that apparently, or at least a request from the White House to have more funding for this.
[00:13:33.238 --> 00:13:36.321]  Trump is going to get blamed and he, in my opinion,
[00:13:37.608 --> 00:13:48.713]  Even though I'm a Trump supporter, and I hope Trump wins, in November, Trump is putting his political future at risk by downplaying the severity of this outbreak.
[00:13:49.173 --> 00:13:52.795]  And I don't even know exactly what Trump is supposed to say to America.
[00:13:53.535 --> 00:13:54.236]  What do you say?
[00:13:54.256 --> 00:14:03.880]  Oh, the stock market's overbought, pandemic outbreaks are coming, we don't have a vaccine, and maybe China just attacked us.
[00:14:04.340 --> 00:14:05.561]  How do you say that to America?
[00:14:06.641 --> 00:14:08.182]  So I don't know what Trump is supposed to do.
[00:14:09.042 --> 00:14:09.862]  He's in a real bind.
[00:14:11.182 --> 00:14:13.883]  But we'll try to help you survive it here at Infowars.com.
[00:14:14.243 --> 00:14:15.084]  We're going to break right now.
[00:14:15.104 --> 00:14:16.644]  We'll come back with a lot more straight ahead.
[00:14:16.684 --> 00:14:17.264]  I'm Mike Adams.
[00:14:17.304 --> 00:14:18.865]  Thank you for watching.
[00:14:18.905 --> 00:14:21.806]  We're going to talk about Rush Limbaugh, too, when we come back.
[00:14:22.206 --> 00:14:24.087]  Infowars.com, Alex Jones Show.
[00:14:24.407 --> 00:14:25.887]  Stay with us after this break.
[00:14:28.388 --> 00:14:29.308]  What's going on, love?
[00:14:31.789 --> 00:14:34.270]  There's a sick congressman from Illinois in D.C.
[00:14:35.731 --> 00:14:37.752]  He was in Chicago over the holiday.
[00:14:39.813 --> 00:14:41.794]  They're using the pod to fly him home.
[00:14:41.854 --> 00:14:43.895]  Then they're closing down Midway and O'Hare.
[00:14:44.275 --> 00:14:46.236]  The governor there is calling out the National Guard.
[00:14:46.256 --> 00:14:47.376]  They're setting up roadblocks.
[00:14:47.937 --> 00:14:50.538]  They're shutting down the Board of Trade, public transportation.
[00:14:50.658 --> 00:14:53.159]  Even the Teamsters are pulling their drivers off the road.
[00:14:53.199 --> 00:14:54.620]  People are still gonna slip through, you know that.
[00:14:54.640 --> 00:14:55.220]  Yes, they will.
[00:14:55.840 --> 00:14:58.401]  The Secret Service is moving the president underground.
[00:14:59.102 --> 00:15:01.603]  Congress is figuring out how to work online.
[00:15:03.160 --> 00:15:09.266]  When the word goes out, there will be a run on the banks, gas stations, grocery stores, you name it.
[00:15:09.306 --> 00:15:10.167]  People will panic.
[00:15:10.307 --> 00:15:11.849]  The virus will be the least of our worries.
[00:15:12.129 --> 00:15:13.270]  It will tip over now.
[00:15:13.931 --> 00:15:17.894]  We just need to make sure that nobody knows until everybody knows.
[00:15:18.875 --> 00:15:22.018]  That's from the movie Contagion, the last line there.
[00:15:23.015 --> 00:15:26.656]  We just need to make sure nobody knows until everybody knows.
[00:15:27.756 --> 00:15:30.177]  Wow, what foreshadowing of current events.
[00:15:30.817 --> 00:15:32.718]  Just an incredible film to watch there.
[00:15:32.738 --> 00:15:33.958]  Contagion, I believe from the year 2011.
[00:15:34.138 --> 00:15:38.939]  Notably, the hero of the movie Contagion was, of course, the vaccine.
[00:15:39.779 --> 00:15:45.361]  And the bad guy in the movie, played by Jude Law, was someone who promoted herbs.
[00:15:46.348 --> 00:16:04.013]  And someone who was, you might call them today, an anti-vaxxer, played by Jude Law, and they even put false teeth in his mouth to give him kind of a crooked bucktooth look to say that, oh, these herb people, these anti-vax people are a little bit crazy and they have messed up teeth and they look funny.
[00:16:05.134 --> 00:16:11.296]  And at the end of the movie, he was indicted, criminally indicted, because he made money selling an herb when
[00:16:12.856 --> 00:16:14.699]  The vaccine was the hero of the film.
[00:16:14.739 --> 00:16:18.404]  So, of course, a total setup for exactly what we're seeing today.
[00:16:19.245 --> 00:16:21.228]  Now, we've got so much information here.
[00:16:22.848 --> 00:16:25.370]  One thing I want to mention, you've heard of the R-naught value.
[00:16:25.971 --> 00:16:28.373]  It's R followed by a subscript zero.
[00:16:28.413 --> 00:16:29.775]  It's called R-naught.
[00:16:30.215 --> 00:16:37.442]  And the R-naught value, according to mainstream science, describes the characteristics of the multiplying effect of the virus.
[00:16:37.502 --> 00:16:41.046]  How many people it spreads to for every one person that has it.
[00:16:41.706 --> 00:16:45.750]  So if one person spreads it to three people, it's called an R-naught value of three.
[00:16:46.926 --> 00:16:54.088]  This virus is believed to have an R0 value of 6.6, according to some research, which is through the roof.
[00:16:54.548 --> 00:16:58.709]  And this is explaining why we have so many outbreaks happening in Italy and around the world.
[00:16:59.009 --> 00:17:04.931]  In fact, if we can go to this map right now, we've got 1,261 in South Korea now, just exploding there.
[00:17:05.451 --> 00:17:13.093]  Italy confirmed 374 cases off the charts, sustained human-to-human transmission in Italy, Japan 178, and Iran
[00:17:15.202 --> 00:17:17.764]  Just leaping at 139.
[00:17:18.425 --> 00:17:20.467]  Singapore seems to be doing a good job right now.
[00:17:20.487 --> 00:17:22.008]  Taiwan is doing a good job.
[00:17:22.168 --> 00:17:25.871]  I don't trust the numbers out of Thailand and I don't trust the numbers in the United States.
[00:17:26.292 --> 00:17:27.012]  I think the U.S.
[00:17:27.052 --> 00:17:32.237]  has thousands of cases but they're just not yet tested for because of course there are no testing kits available.
[00:17:33.575 --> 00:17:37.881]  But I have a new theory, because I like to interject a little bit of satire into all this.
[00:17:38.021 --> 00:17:41.566]  I think the R-naught value has a new alternative definition.
[00:17:41.586 --> 00:17:43.689]  And you talk about R-naught.
[00:17:44.050 --> 00:17:45.272]  Here's what I think it should mean.
[00:17:46.522 --> 00:17:50.985]  If you keep waiting, you are not gonna be able to buy food.
[00:17:52.186 --> 00:17:57.370]  If you don't take action, you are not gonna be able to make it through this pandemic.
[00:17:57.590 --> 00:17:59.792]  That's my version of the are not value.
[00:18:00.172 --> 00:18:02.874]  You are not gonna be helped by the federal government.
[00:18:03.374 --> 00:18:08.678]  You are not gonna want FEMA at your door with a gun telling you to go to a FEMA camp.
[00:18:08.778 --> 00:18:11.500]  So that's, I'm gonna call this the are not sale.
[00:18:12.441 --> 00:18:21.734]  Like, if you need food supplies right now, MyPatriotSupply is about the only place in America that's got any food left, and it's at InfowarsStore.com.
[00:18:21.775 --> 00:18:28.003]  In fact, last night, a friend of mine who runs another major online retailer, he called me just about in a panic.
[00:18:28.524 --> 00:18:35.487]  And he said all these companies that he had bought from, like Mountain House, they make like the freeze-dried camping food that you buy at Walmart.
[00:18:35.527 --> 00:18:37.128]  He said they're just, they're wiped out.
[00:18:37.148 --> 00:18:38.369]  These other companies are wiped out.
[00:18:38.409 --> 00:18:44.311]  He said he just bought $50,000 worth of food from another supplier to try to fulfill his customer orders.
[00:18:44.592 --> 00:18:45.432]  And he said that's it.
[00:18:45.832 --> 00:18:46.332]  They're done.
[00:18:46.352 --> 00:18:48.673]  And these other companies are not even taking orders anymore.
[00:18:48.713 --> 00:18:49.194]  They're out.
[00:18:49.794 --> 00:18:52.575]  Our own Health Ranger store is out of food.
[00:18:52.895 --> 00:18:54.276]  We're waiting on supplies right now.
[00:18:54.336 --> 00:18:55.757]  We can't get any more food at the moment.
[00:18:56.497 --> 00:18:58.401]  Infowarsstore.com has the food.
[00:18:59.403 --> 00:19:01.828]  MyPatriotSupply has the food.
[00:19:02.569 --> 00:19:06.156]  And I know, I mean, yeah, it's storable food.
[00:19:06.176 --> 00:19:07.258]  It's got a long shelf life.
[00:19:08.311 --> 00:19:12.914]  And people are asking me, like, are you going to eat this food yourself?
[00:19:14.015 --> 00:19:16.376]  If it's that versus starving, you bet I am.
[00:19:16.396 --> 00:19:22.720]  I'm not going to go out to my backyard and just cut grass and juice grass and try to drink wheatgrass all through the pandemic.
[00:19:23.160 --> 00:19:24.441]  I'd love to have some food.
[00:19:24.461 --> 00:19:29.024]  And if you want to have some food, just take advantage of this are not sale.
[00:19:29.064 --> 00:19:30.385]  That's what I'm calling it.
[00:19:30.785 --> 00:19:31.466]  It's a joke.
[00:19:31.506 --> 00:19:32.907]  It's a play on the are not term.
[00:19:33.627 --> 00:19:35.791]  Infowarsstore.com, get your food supplies right now.
[00:19:36.151 --> 00:19:40.358]  There's gonna come a day in America where you can't get anything.
[00:19:41.192 --> 00:19:41.992]  That day is coming.
[00:19:42.432 --> 00:19:46.314]  Nancy Messonnier even warned about that, if you believe what she's saying.
[00:19:46.354 --> 00:19:47.954]  I'll talk about that a little bit more in a second.
[00:19:48.635 --> 00:19:51.296]  In Italy, one day, everything was fine.
[00:19:51.336 --> 00:19:53.376]  You could go to the store, you could get supplies.
[00:19:53.836 --> 00:20:02.800]  And then suddenly, overnight in Italy, because of all those infections, again now, 374 confirmed infections, now you can't get any supplies because you can't travel.
[00:20:03.400 --> 00:20:06.121]  They locked down 10 or 12 towns in Italy.
[00:20:06.781 --> 00:20:09.062]  Overnight, armed roadblocks.
[00:20:10.219 --> 00:20:13.622]  Police with submachine guns on the roads in Italy.
[00:20:14.302 --> 00:20:16.484]  You think that can't happen in America?
[00:20:18.105 --> 00:20:18.765]  Of course it can.
[00:20:19.326 --> 00:20:21.267]  In fact, I think it's inevitable.
[00:20:21.948 --> 00:20:23.789]  Now, we're going to talk about Rush Limbaugh for just a second here.
[00:20:27.808 --> 00:20:34.290]  Amazing caller called into Russia's show yesterday, and I don't know who this caller is, but I thanked the person.
[00:20:34.330 --> 00:20:36.830]  He's well spoken, and he mentioned me.
[00:20:36.890 --> 00:20:40.591]  Let's go to that clip and see what he said and what Russia's response was.
[00:20:40.631 --> 00:20:40.931]  Go ahead.
[00:20:41.632 --> 00:20:42.512]  News.com.
[00:20:42.532 --> 00:20:44.272]  The gentleman's name is Mike Adams.
[00:20:44.532 --> 00:20:48.173]  I don't know if this is credible, but he claims to be using U.S.
[00:20:48.253 --> 00:20:52.154]  government and CDC and other U.S.
[00:20:52.234 --> 00:20:54.755]  government websites and and statistics
[00:20:55.367 --> 00:20:55.547]  It's
[00:21:15.341 --> 00:21:16.162]  People in the U.S.
