[00:00:00.535 --> 00:00:00.895]  Warning.
[00:02:53.330 --> 00:02:55.371]  I've been told at least 20 U.S.
[00:02:55.972 --> 00:02:56.532]  are dead.
[00:02:57.413 --> 00:02:59.094]  We are getting intel right now.
[00:02:59.294 --> 00:03:01.156]  Alex Jones is about to be joining me.
[00:03:01.176 --> 00:03:06.600]  He's speaking to his sources on the ground, gathering more intel, and then we're going to be breaking this live.
[00:03:07.824 --> 00:03:08.524]  Well, let's be clear.
[00:03:09.424 --> 00:03:10.264]  I gotta go deal with this.
[00:03:10.324 --> 00:03:11.085]  I'll be back in a minute.
[00:03:11.105 --> 00:03:19.386]  From our sources, B-52s have been launched from Diego Garcia, just south of the Arabian Sea there.
[00:03:20.366 --> 00:03:22.307]  And I guess they're in the Indian Ocean.
[00:03:22.647 --> 00:03:23.687]  So we can pull that up for folks.
[00:03:23.707 --> 00:03:25.227]  But I'm just, I've got multiple sources.
[00:03:25.267 --> 00:03:26.487]  I'm getting some more stuff collated.
[00:03:26.747 --> 00:03:30.468]  But you can see the Secretary of Defense said two bases have been hit.
[00:03:30.568 --> 00:03:33.369]  Iran has launched missiles into Iraq.
[00:03:33.409 --> 00:03:34.749]  So listen, it's on.
[00:03:35.769 --> 00:03:48.359]  We had a huge denial-of-service attack an hour ago trying to take down our servers, but the backups kicked in, the live feeds, InfoWars.com port slash show, it's on right now, we're covering it live, and we have one of the Pentagon sources set to come on in about 15 minutes.
[00:03:50.541 --> 00:04:01.990]  So, this is, folks, it's about as tough as it gets here to sit here and have to watch this, and there's so many different angles to cover, but
[00:04:04.349 --> 00:04:17.652]  Boy oh boy, you know, you just... I go back to this headline, not because it's Ann Coulter, but because this topic now becomes more relevant than ever.
[00:04:18.773 --> 00:04:22.414]  Headline Ann Coulter says, we thought Trump was different about starting wars.
[00:04:24.214 --> 00:04:25.314]  And we did, and he has been!
[00:04:27.135 --> 00:04:31.256]  But this is now a major... This is now a major...
[00:04:34.042 --> 00:04:41.487]  Moment this is a major Development here that I believe Trump has been set up ladies and gentlemen.
[00:04:42.888 --> 00:04:45.971]  I Believe the globalists in the deep state have set Trump up.
[00:04:46.731 --> 00:05:00.321]  And of course they have and you know This is one of those times where I sit here and I look at all the reporting that Infowars has done that's become so deadly accurate It's why they try to ban us and shut us down and this is one of those times where I just sit here And I'm like, man, I hope we're wrong.
[00:05:02.402 --> 00:05:03.463]  I Hope we're wrong about
[00:05:04.758 --> 00:05:07.761]  The threat of the wide open borders with sleeper cells being here.
[00:05:08.802 --> 00:05:17.450]  I hope we're wrong with the fact that the globalists in the deep state will literally do anything to try to keep Trump from being president in the United States, including starting World War III, assassinating him.
[00:05:18.150 --> 00:05:19.091]  I hope we're wrong about that.
[00:05:22.194 --> 00:05:30.342]  But again, if history repeats itself here, what you're about to see
[00:05:31.437 --> 00:05:37.419]  Is all the neocons in the Republican Party come out calling for more war, pressuring Trump for more war?
[00:05:37.439 --> 00:05:44.281]  You're going to see all the big people on television calling for more war, bigger war, bomb the hell out of everybody.
[00:05:45.401 --> 00:05:47.082]  Let's see if Tucker Carlson is on tonight.
[00:05:47.922 --> 00:05:49.202]  What time does Tucker Carlson go on?
[00:05:49.222 --> 00:05:50.863]  What is it, 8 Central, 7 Central, guys?
[00:05:51.403 --> 00:05:53.164]  Let's see what Tucker Carlson has to say tonight.
[00:05:53.184 --> 00:05:57.305]  He's the only one on Fox News, I think, that's vehemently against furthering the wars.
[00:05:59.468 --> 00:06:10.253]  And look, I'm not even going to try to sit here and ballpark 2020 based off what we're seeing, but you'd be crazy not to think this is going to impact 2020.
[00:06:11.133 --> 00:06:12.994]  And I know we're still a far ways out, but
[00:06:16.068 --> 00:06:17.709]  We're so sick of these wars in the Middle East, man.
[00:06:17.769 --> 00:06:19.030]  I mean, that's really what it comes down to.
[00:06:19.230 --> 00:06:26.417]  And it's so obvious that Trump is set up when they send out a letter saying, we're going to remove ourselves after your vote, and then they say, oh wait, that's a fake letter.
[00:06:26.557 --> 00:06:28.558]  Yeah, this is the plan, but here's the deal.
[00:06:28.879 --> 00:06:31.221]  The globalists are working with the Iranian deep state.
[00:06:31.801 --> 00:06:32.821]  And so we know that now.
[00:06:32.861 --> 00:06:35.382]  There's no way Iran will be launching all these attacks on U.S.
[00:06:35.442 --> 00:06:36.603]  bases from Iran.
[00:06:36.623 --> 00:06:42.364]  It's under international law that means you can strike Iran unless they think they're about to set Trump up inside the U.S.
[00:06:42.664 --> 00:06:44.845]  because normally this would unify folks behind Trump.
[00:06:45.085 --> 00:06:45.945]  He'd vaporize them.
[00:06:46.346 --> 00:06:48.986]  Why are they doing something so dangerous and so unpopular?
[00:06:49.226 --> 00:06:50.447]  I got a few more calls to make.
[00:06:51.007 --> 00:06:53.228]  And I'm coming here to lay it all out, but let me explain something.
[00:06:53.769 --> 00:06:59.132]  It wasn't Iran or the shy comms that hit us with the Nile service attack with some of the biggest traffic we've ever been hit with.
[00:06:59.512 --> 00:07:03.034]  We've got major companies that say we've been hit with the biggest traffic they ever saw six months ago.
[00:07:03.294 --> 00:07:04.394]  This is as big as that.
[00:07:04.875 --> 00:07:06.696]  This is the deep state and
[00:07:07.316 --> 00:07:10.079]  If everybody's spider sense isn't crazy, then there's something wrong with them.
[00:07:10.259 --> 00:07:11.501]  We should probably give you a break.
[00:07:11.521 --> 00:07:12.322]  You're doing a great job.
[00:07:12.682 --> 00:07:17.548]  And let's just cut to what Fox News is saying in a minute or two when they're ready to give you a taste of this.
[00:07:17.588 --> 00:07:22.573]  But we'll be here for hours if we need to, preempting rebroadcast, preempting everything.
[00:07:22.633 --> 00:07:23.414]  Great crews here.
[00:07:24.455 --> 00:07:25.877]  You know, I was supposed to go home and...
[00:07:26.838 --> 00:07:29.018]  Take my daughters for a nighttime starlet hike.
[00:07:29.499 --> 00:07:33.399]  Well, that's not going to happen if, you know, we don't stop the globalists.
[00:07:33.439 --> 00:07:34.680]  It won't happen next month or next year.
[00:07:34.740 --> 00:07:36.760]  So tonight, I'll be here with live coverage.
[00:07:37.060 --> 00:07:42.921]  So everybody, Infowars.com, port slash show, band dot video, Infowars.com has a live feed.
[00:07:42.961 --> 00:07:45.782]  Let's punch it up that I told him to change the headline a minute ago.
[00:07:46.562 --> 00:07:50.083]  Exclusive B-52s launched from Diego Garcia.
[00:07:51.363 --> 00:07:52.343]  Trump set to strike.
[00:07:52.383 --> 00:07:53.323]  Doesn't mean it's going to happen.
[00:07:53.343 --> 00:07:55.464]  He's launched bombers before and pulled them back.
[00:07:56.104 --> 00:07:56.264]  But
[00:07:56.986 --> 00:08:01.649]  I was getting calls an hour plus ago that the launches or missiles are already in the air.
[00:08:02.169 --> 00:08:08.854]  There's going to be Iran's going to hit all these bases and all these public figures and even media individuals and that we were even a target.
[00:08:08.874 --> 00:08:09.714]  I'm not trying to be dramatic.
[00:08:09.734 --> 00:08:11.356]  That was just told this source.
[00:08:12.290 --> 00:08:17.873]  is one of many, but this source called me last Thursday and said it's on Kinetic with Iran.
[00:08:17.913 --> 00:08:20.194]  They're about to take folks out and hours later it happened.
[00:08:21.215 --> 00:08:22.816]  So this is huge.
[00:08:23.356 --> 00:08:28.639]  We're going to be covering it all right now, but the way the listeners get involved at times like this is they share the links.
[00:08:28.779 --> 00:08:29.979]  Here, I'll punch it up myself right here.
[00:08:29.999 --> 00:08:30.960]  Dr. McHam, shot please.
[00:08:31.620 --> 00:08:38.144]  You just go to Infowars.com and we'll show people the live news feed.
[00:08:39.344 --> 00:08:39.925]  I'll do it right now.
[00:08:41.124 --> 00:08:42.224]  Go to InfoWars.com.
[00:08:43.865 --> 00:08:45.526]  You go to the live news feed just like that.
[00:08:46.866 --> 00:08:47.947]  You see that link right there?
[00:08:48.967 --> 00:08:52.689]  Trump launches B-52s from Diego Garcia.
[00:08:52.829 --> 00:08:54.609]  That's all we need to do in the control room.
[00:08:55.230 --> 00:08:55.550]  Okay?
[00:08:55.610 --> 00:08:57.751]  Trump launches B-52s from Diego Garcia.
[00:08:58.191 --> 00:08:59.091]  May strike Iran.
[00:08:59.251 --> 00:08:59.811]  Watch live.
[00:08:59.891 --> 00:09:05.494]  Alex Jones host emergency broadcast covering reports confirming Iran missiles hitting
[00:09:06.542 --> 00:09:11.784]  Multiple US bases in Iraq right now, so we'll update that that's what we're covering.
[00:09:12.465 --> 00:09:14.365]  We can also pull the map here I'll do it on my phone myself.
[00:09:14.986 --> 00:09:26.011]  I'll pull up right now Diego Garcia for folks, and I'll just show that right now hello And then I will come back once I'm done making sure everything's up and I'll get I'll get links out there buddy for life He got a little bit of work.
[00:09:26.031 --> 00:09:29.412]  I got to take care of We will be back in here for you.
[00:09:29.452 --> 00:09:35.275]  There you go right now and the planes reportedly were launched about an hour ago and
[00:09:36.596 --> 00:09:38.157]  I mean, obviously the Iranians know those are coming.
[00:09:38.177 --> 00:09:42.842]  I'm not giving out any secrets here like Geraldo Rivera in the middle of the second Iraq war giving out positions.
[00:09:42.902 --> 00:09:48.126]  But this is a big bold move and all hell is breaking loose.
[00:09:48.747 --> 00:09:51.730]  And of course, there's going to be bombers and stuff launched from other areas, the ships.
[00:09:52.570 --> 00:09:53.191]  If this happens.
[00:09:53.231 --> 00:09:56.593]  But tonight is one where there's a very good chance all that war is going to break out.
[00:09:56.933 --> 00:09:58.214]  We pray that is not the case.
[00:09:58.955 --> 00:10:04.078]  But this source on Thursday, who we're going to call here in about 10 minutes to get on, said it's going kinetic.
[00:10:04.098 --> 00:10:05.359]  They're about to hit the Iranian leadership.
[00:10:05.399 --> 00:10:07.901]  And he says sleeper cells are activated whole nine yards.
[00:10:07.941 --> 00:10:08.901]  He was just in Iraq.
[00:10:08.921 --> 00:10:10.142]  I'm going to leave it at that.
[00:10:10.422 --> 00:10:10.923]  So Owen.
[00:10:11.303 --> 00:10:12.324]  Oh, there you go.
[00:10:13.914 --> 00:10:19.858]  So let's just lay out some of the events that have happened here that have gotten us to this point.
[00:10:19.878 --> 00:10:22.960]  You had the strike of General Soleimani
[00:10:41.044 --> 00:10:52.072]  Which again, he was going to Iraq and somebody gave the US that intel that he was going to Iraq and then he got struck and killed.
[00:10:53.325 --> 00:11:04.030]  You then had a bunch of AstroTurf mourning protests at a funeral, pretending like Soleimani was some hero in that region and there was no conflict there.
[00:11:04.450 --> 00:11:05.311]  Everybody loved him.
[00:11:05.411 --> 00:11:06.732]  Look at the mourners.
[00:11:06.752 --> 00:11:07.232]  Look at the funeral.
[00:11:07.252 --> 00:11:09.173]  Of course, that was fake as well.
[00:11:09.673 --> 00:11:14.235]  Those are AstroTurf funerals, kind of like how the left has AstroTurf protests here.
[00:11:14.595 --> 00:11:16.236]  It's the same thing out there.
[00:11:16.276 --> 00:11:19.418]  But regardless, it doesn't even matter because the narrative is,
[00:11:21.573 --> 00:11:22.593]  Soleimani killed.
[00:11:23.213 --> 00:11:24.434]  Some people think it's good.
[00:11:24.654 --> 00:11:25.914]  Some people think it's bad.
[00:11:26.334 --> 00:11:30.836]  Well, if you're in Iran or Iraq, now you feel that you have to retaliate.
[00:11:31.296 --> 00:11:31.756]  You do.
[00:11:32.516 --> 00:11:34.497]  You strike U.S.
[00:11:34.557 --> 00:11:36.017]  bases in Iraq.
[00:11:36.257 --> 00:11:39.518]  I've read reports up to 20 or more dead U.S.
[00:11:39.658 --> 00:11:40.118]  citizens.
[00:11:41.339 --> 00:11:42.059]  And so now what?
[00:11:42.139 --> 00:11:43.359]  Well, now what does Trump have to do?
[00:11:43.539 --> 00:11:45.900]  I mean, looks like one option, folks.
[00:11:45.920 --> 00:11:49.441]  I mean, I don't see Trump not responding to this.
[00:11:51.738 --> 00:11:55.140]  And then you really cross your fingers and hope.
[00:11:56.581 --> 00:12:00.823]  I mean, I don't want to say it, folks, but I mean, we know how open the border's been.
[00:12:02.624 --> 00:12:05.646]  Barack Obama was running guns across the border, folks.
[00:12:06.947 --> 00:12:12.209]  I mean, this is the same guy that gave Iraq billions of dollars, same guy running guns.
[00:12:12.229 --> 00:12:14.771]  I mean, do you need to do the math here?
[00:12:17.008 --> 00:12:19.129]  Who knows how many sleeper cells could be in this country.
[00:12:19.169 --> 00:12:19.669]  Hopefully none.
[00:12:19.689 --> 00:12:20.409]  I hope there's none!
[00:12:20.929 --> 00:12:21.809]  I don't want anything!
[00:12:22.289 --> 00:12:36.293]  But dammit, we've had a wide open border, and we had a President Hussein Obama that was funding Iran, terror in the Middle East, and running guns across the southern border!
[00:12:39.593 --> 00:12:45.815]  You know, and I'll just say this, because again, I'm not blaming Trump for any of this, but Trump made a major mistake.
[00:12:47.179 --> 00:12:49.320]  By not getting out of these wars a long time ago.
[00:12:49.360 --> 00:12:52.202]  By not de-escalating all of this years ago.
[00:12:52.562 --> 00:12:58.826]  And so, it's not to sit here and praise Ann Coulter, but like, this is why Ann Coulter was so mad!
[00:12:59.567 --> 00:13:01.288]  And I mean, look, I'll give Ann Coulter credit!
[00:13:04.530 --> 00:13:06.031]  She's been saying this all along!
[00:13:06.771 --> 00:13:08.032]  Trump, secure the border!
[00:13:08.252 --> 00:13:10.113]  Trump, end the wars in the Middle East!
[00:13:11.534 --> 00:13:12.275]  Border's still open.
[00:13:12.455 --> 00:13:13.535]  Wars in the Middle East keep going.
[00:13:13.755 --> 00:13:14.296]  Now we're here.
[00:13:17.068 --> 00:13:17.348]  See?
[00:13:19.370 --> 00:13:21.931]  But everybody said Coulter was crazy, even Trump!
[00:13:23.592 --> 00:13:25.053]  But now look at the situation you're in.
[00:13:25.774 --> 00:13:36.421]  You're now faced, you're now put into a corner to start World War III, and the media is going to blame you for it, Trump.
[00:13:37.534 --> 00:13:38.594]  We know it's not your fault.
[00:13:38.694 --> 00:13:40.195]  We know you didn't start any of this crap.
[00:13:40.835 --> 00:13:45.837]  We know you're probably getting set up by the intelligence agencies, like Chuck Schumer said, they have six ways of Sunday of getting back at you.
[00:13:46.177 --> 00:13:47.898]  We know they probably want to assassinate you too.
[00:13:49.199 --> 00:13:54.981]  Again, I'm not blaming Trump, but man, I wish Trump would have had the foresight to see this.
[00:13:55.241 --> 00:13:57.522]  I wish Trump would have been listening to InfoWars.
[00:13:59.823 --> 00:14:00.363]  But guess what?
[00:14:01.929 --> 00:14:08.792]  Now the same places in the media where Trump goes for solace, those are the same people that wanted to start these wars to begin with.
[00:14:09.112 --> 00:14:11.173]  Same people that wanted to start them in 2001.
[00:14:11.433 --> 00:14:12.693]  Same people that wanted to start them in 2003.
[00:14:13.714 --> 00:14:15.854]  Same people that have been supporting them for all these years.
[00:14:18.355 --> 00:14:22.517]  And if Trump goes back there for solace, folks, it's not good.
[00:14:27.339 --> 00:14:29.720]  And I don't know how deep this really goes as far as the setup,
[00:14:30.863 --> 00:14:32.224]  With potential U.S.
[00:14:32.244 --> 00:14:32.944]  people involved?
[00:14:35.285 --> 00:14:44.748]  But I'm telling you, this has all the patterns, all the signs, all the sense of a setup.
[00:14:46.268 --> 00:14:48.729]  Because as you know, folks, war is a racket.
[00:14:50.289 --> 00:14:50.950]  Smedley Butler, 1942.
[00:14:53.491 --> 00:14:54.791]  But this is beyond a racket.
[00:14:54.931 --> 00:14:57.452]  This is using war
[00:14:58.815 --> 00:15:08.880]  As a destabilization maneuver to then re-stabilize the world in a New World Order type of fashion.
[00:15:10.181 --> 00:15:12.402]  This is what they've been doing in the Middle East for decades.
[00:15:12.522 --> 00:15:20.086]  And now they can use this to attempt to demonize President Trump and blame him for all this.
[00:15:21.326 --> 00:15:22.627]  And that's what they're going to do.
[00:15:24.488 --> 00:15:31.155]  And you're gonna have the neocon warhawks from the Republican Party boosting Trump to bomb, bomb, bomb!
[00:15:31.315 --> 00:15:35.580]  Because they probably got stock in Raytheon and Lockheed Martin, Boeing, and everything else.
[00:15:40.204 --> 00:15:40.685]  Ah, man.
[00:15:46.300 --> 00:15:57.528]  So now we just wait and see, but I just don't see a scenario in which the United States doesn't respond to this in a very, very drastic way.
[00:15:59.709 --> 00:16:12.418]  And if you are in Iran and a leader in Iran, you know what is happening and you're probably sitting in the middle of the town square surrounded by thousands of citizens.
[00:16:12.518 --> 00:16:13.039]  You know what I'm saying?
[00:16:14.551 --> 00:16:15.313]  Bomb me, Trump.
[00:16:15.333 --> 00:16:16.014]  That's what they're saying.
[00:16:16.034 --> 00:16:16.996]  They're daring him to do it.
[00:16:19.565 --> 00:16:27.008]  But see, again, it all comes back to Obama funding them, giving them the billions, John Kerry just going over there to meet with them.
[00:16:27.268 --> 00:16:29.829]  Hell, remember John McCain running around in the Middle East?
[00:16:29.849 --> 00:16:32.009]  Remember John McCain running around in Syria?
[00:16:32.289 --> 00:16:34.610]  Folks, they're the ones that have been doing this!
[00:16:34.830 --> 00:16:36.711]  They're the ones profiting off war!
[00:16:36.911 --> 00:16:40.272]  They're the ones using war to destabilize regions for their own agenda!
[00:16:40.512 --> 00:16:41.113]  Not Trump!
[00:16:41.353 --> 00:16:44.954]  And now, they've created the perfect scenario to blame it all on Trump!
[00:16:45.474 --> 00:16:57.819]  And because he's been blocked from reading Infowars, because he's been blocked from reading Alternative News, because he gets surrounded by neocon hawks from the Republican Party and the military and Fox News, he fell into it!
[00:16:57.839 --> 00:17:03.722]  I need to take a deep breath.
[00:17:05.443 --> 00:17:06.263]  Oh boy.
[00:17:06.783 --> 00:17:08.784]  Alex Jones is going to be joining us any second now, folks.
[00:17:08.824 --> 00:17:10.405]  Again, he's getting more intel right now.
[00:17:11.877 --> 00:17:18.282]  It's just the same crap we've been seeing, Alex, and I think Trump stepped into a trap here.
[00:17:18.322 --> 00:17:19.944]  It's like we needed General Ackbar.
[00:17:20.084 --> 00:17:20.624]  It's a trap!
[00:17:20.944 --> 00:17:21.505]  It's a trap!
[00:17:22.185 --> 00:17:24.307]  Well, let's just go ahead and lay out what's going on here.
[00:17:27.330 --> 00:17:33.354]  If Iran, which they are saying has done, has launched a rocket attack from Iran,
[00:17:36.343 --> 00:17:38.324]  The Secretary of State Pompeo said earlier today that
[00:18:06.562 --> 00:18:13.405]  Iran's leaders would be targeted if they launch any more attacks.
[00:18:14.366 --> 00:18:19.889]  But our great investigative journalist, Greg Reese, our special guest at the moment,
[00:18:20.839 --> 00:18:29.503]  He pointed out that if you read the fine print of all this, it's the Quds forces with all their shell companies that have become more powerful than the Ayatollahs.
[00:18:30.043 --> 00:18:31.964]  And there was reportedly a split internally.
[00:18:32.024 --> 00:18:35.486]  Some had said maybe the Ayatollah greenlit with back channels to have him killed.
[00:18:36.066 --> 00:18:40.989]  But the Ayatollah, we know through back channels, was actually working with Kerry and with others.
[00:18:41.009 --> 00:18:45.931]  The Iranians are famously, you know, very duplicitous, very Machiavelli.
[00:18:46.251 --> 00:18:47.252]  They invented the game of chess.
[00:18:48.208 --> 00:18:57.294]  And so we know there's two big splits between the Quds forces that are really the international arm of Iran, and they've got the bank accounts, the power, they're kind of the eyes and ears and feelers out there.
[00:18:57.314 --> 00:18:58.535]  And that's made the mullahs weaker.
[00:18:58.555 --> 00:19:07.461]  They've been very jealous of the general who was killed and the leader of the militia forces, because they are the arteries that go back into the country.
[00:19:07.901 --> 00:19:09.702]  So we're not sure what's going on now.
[00:19:09.862 --> 00:19:14.846]  And yes, we know that B-52s were delivered to the ocean south of
[00:19:16.906 --> 00:19:17.406]  I don't think so.
[00:19:39.031 --> 00:19:39.251]  A lot
[00:19:57.975 --> 00:20:04.197]  Now, we're gonna go over all of this as it unfolds, but they're all over the news saying, look for counter-strikes, look for attacks.
[00:20:04.257 --> 00:20:08.378]  Reportedly, as you said, some say 15, some say 18, some say 20.
[00:20:08.718 --> 00:20:11.179]  We hope none, but we'll just type in, you know, U.S.
[00:20:11.219 --> 00:20:12.079]  troops killed, U.S.
[00:20:12.119 --> 00:20:13.339]  servicemen killed, we're not sure.
[00:20:14.179 --> 00:20:17.420]  But we're gonna continue in there, or I can go off air again and go search it myself.
[00:20:18.561 --> 00:20:21.201]  Pull all that up tonight as we're live, but I know this.
[00:20:22.322 --> 00:20:26.643]  As all this was about to break, we got a giant denial of service attack today.
[00:20:27.898 --> 00:20:29.339]  That was definitely institutional.
[00:20:29.379 --> 00:20:35.864]  So the establishment, it's not Iran launching this, does not want us on air because they know we'll just try to figure out what's going on.
[00:20:36.164 --> 00:20:37.545]  You know, there's fake chemical attacks.
[00:20:37.565 --> 00:20:39.626]  We're not fans of Assad, but there's fake chemical attacks.
[00:20:39.666 --> 00:20:45.010]  And the Islamists, you know, ISIS shoot videos themselves saying Allah Akbar and videotaping it.
[00:20:45.351 --> 00:20:46.271]  We'll say it's false flag.
[00:20:46.291 --> 00:20:46.872]  Turned out it was.
[00:20:48.608 --> 00:20:49.088]  Exactly.
[00:20:49.129 --> 00:20:51.812]  They want Trump getting only establishment intel.
[00:20:52.072 --> 00:20:55.497]  They don't want him getting any alternative intel because they can lead him right down the same path.
[00:20:55.517 --> 00:20:59.161]  And they don't want the people getting used to having wide-spectrum discussions.
[00:20:59.642 --> 00:21:01.084]  They only want talking points.
[00:21:02.315 --> 00:21:06.698]  We've got a special guest we're gonna go to, but I'm actually gonna go check those numbers myself.
[00:21:06.718 --> 00:21:07.978]  I just need to do that first.
[00:21:09.099 --> 00:21:10.740]  And so I wanna go to a live Fox feed.
[00:21:10.780 --> 00:21:13.281]  We talked a lot about that in the last 21 minutes.
[00:21:13.401 --> 00:21:18.284]  I wanna, in a second, go to a live Fox feed, a live Fox business feed.
[00:21:18.304 --> 00:21:23.887]  I'm gonna talk to our guest and then get that guest set up and ready to go on with us.
[00:21:24.448 --> 00:21:26.529]  But let's go ahead and go to a live Fox feed right now.
[00:21:27.790 --> 00:21:40.159]  ...given the intelligence which started to come out tonight at a top-level meeting where the Gang of Eight was given some information about what that intelligence held and we're going to learn more about that potentially tomorrow.
[00:21:41.335 --> 00:22:00.591]  I've talked to several people who were familiar with the beginnings of that layout, even though some of it is classified, and they said it was pretty compelling as far as the amount of planning that had been going on that Soleimani was bouncing around to kind of get ducks in a row for what was to come.
[00:22:00.931 --> 00:22:06.256]  And it's important to point out, as many people have, that Iran had been attacking over several weeks
[00:22:07.817 --> 00:22:08.578]  Not only U.S.
[00:22:08.658 --> 00:22:15.283]  assets, but the Saudi oil refinery, the drone, and there have been multiple attacks in recent months.
[00:22:16.384 --> 00:22:21.428]  The question is the imminence of that attack that Soleimani may have been planning on the ground.
[00:22:21.468 --> 00:22:24.611]  The other thing to look at tonight, Martha, is Hezbollah.
[00:22:25.091 --> 00:22:26.814]  And what happens inside Syria?
[00:22:26.914 --> 00:22:28.616]  What happens inside Beirut?
[00:22:29.417 --> 00:22:39.351]  These are very dangerous places for Americans in particular, because Hezbollah, as we know, is a direct arm of the Iranian Revolutionary Guard and the Quds Force.
[00:22:40.727 --> 00:22:43.928]  We're just looking at some new images that are coming in on the right-hand side of your screen.
[00:22:44.268 --> 00:22:46.888]  Missile launches from Iran going into Iraq.
[00:22:47.508 --> 00:22:51.849]  Brett, thank you so much for sticking around, and I know you'll be watching this all night with the rest of us.
[00:22:51.889 --> 00:22:54.190]  Thank you very much, Brett Baier, in D.C.
[00:22:54.550 --> 00:22:59.531]  So joining me now, Democratic Senator Chris Coons, a member of the Senate Judiciary Committee.
[00:23:00.511 --> 00:23:01.351]  Senator Coons, thank you.
[00:23:01.491 --> 00:23:02.711]  Good to have you with us this evening.
[00:23:03.031 --> 00:23:04.932]  Your reaction to what you're seeing play out.
[00:23:05.932 --> 00:23:06.613]  Thank you, Martha.
[00:23:07.213 --> 00:23:19.621]  Of course, first my reaction is that I hope and pray that there haven't been American casualties on that base in Iraq this evening, that we haven't lost any American lives or the lives of our partners and allies in the region.
[00:23:20.422 --> 00:23:23.384]  And as all of us wait for what the response will be,
[00:23:24.104 --> 00:23:29.208]  I am looking forward to getting a briefing from very senior administration officials tomorrow.
[00:23:29.328 --> 00:23:33.091]  All of us in the Senate will get a classified briefing tomorrow afternoon.
[00:23:33.751 --> 00:23:43.799]  Just an hour ago, I came from a classified briefing from the Homeland Security Department about the possibility of Iran using cyber attacks against the United States.
[00:23:44.479 --> 00:23:53.802]  It is important that we not only be prepared, both at our bases and facilities overseas where our armed forces and our diplomats are housed, but also here in the United States.
[00:23:54.223 --> 00:24:09.848]  And I think the most important part, Martha, about being prepared is for the President to deliver a clear strategy to those of us in Congress who would ultimately be responsible for debating whether we think we should be de-escalating this conflict with Iran or escalating further.
[00:24:10.971 --> 00:24:17.595]  Do you have any information, you know, in terms of what kind of protection these bases have in terms of anti-missile defense?
[00:24:19.837 --> 00:24:21.397]  Specifically, this base, no.
[00:24:21.998 --> 00:24:27.361]  Broadly, there are assets in the region that allow us to have anti-missile capability.
[00:24:27.881 --> 00:24:30.523]  But there are, as you know, thousands and thousands of U.S.
[00:24:31.183 --> 00:24:35.366]  armed forces and diplomats scattered throughout the region in dozens of facilities.
[00:24:36.166 --> 00:24:36.907]  I don't believe
[00:24:37.647 --> 00:24:50.299]  That we've got anti-missile batteries for all of them And I think there are some real challenges here in terms of being able to defend all of our troops and facilities Given Iran's relatively sophisticated ballistic missile capabilities.
