[00:00:02.531 --> 00:00:05.494]  Nurse Erin Marie Olszewski?
[00:02:13.674 --> 00:02:15.054]  We've got to mobilize now.
[00:02:15.375 --> 00:02:16.515]  Total mobilization.
[00:02:16.795 --> 00:02:17.556]  Total commitment.
[00:02:18.664 --> 00:02:24.046]  Absolutely, and the people that are on our side of this, they need to understand the foundation of reality is on our side.
[00:02:24.086 --> 00:02:28.487]  The foundation of reality that God has put in place, it establishes our perspective.
[00:02:28.807 --> 00:02:36.930]  If people are going around and they don't even recognize and acknowledge that God is the creator of everything, then their perspective of reality is going to be
[00:02:37.430 --> 00:02:38.571]  We're good to go.
[00:02:55.365 --> 00:02:55.605]  Okay?
[00:02:55.825 --> 00:02:57.606]  It didn't just happen by accident.
[00:02:57.926 --> 00:03:00.007]  Every atheist on the planet is a liar.
[00:03:00.067 --> 00:03:04.069]  Nobody looks at those stars and thinks, hmm, that just happened by random chance.
[00:03:04.409 --> 00:03:23.437]  So people need to organize and they need to stand on the foundation of reality that God has provided us through Jesus Christ and the people who brought the message forth to the world and understand that we have God on our side because the literal essence of His truth is written in His words and communicated to humanity
[00:03:23.817 --> 00:03:24.757]  That's right, brother.
[00:03:24.777 --> 00:03:26.738]  It is a spiritual war and we see the enemy attacking.
[00:03:26.758 --> 00:03:28.599]  That's because the enemy, it knows it's in trouble.
[00:03:28.619 --> 00:03:29.939]  It's been forced out in the open.
[00:03:29.959 --> 00:03:32.960]  So as negative as this is at one level, I see it as very, very positive at others.
[00:03:48.385 --> 00:03:49.086]  Amen, amen.
[00:03:49.166 --> 00:03:55.451]  And hey, Alex, if I may, could I direct people to one video, and I have no monetary gain in it.
[00:03:55.471 --> 00:03:56.091]  Oh, I don't care, brother.
[00:03:56.111 --> 00:03:56.692]  Direct us to it.
[00:03:56.712 --> 00:03:57.112]  I don't care.
[00:03:57.292 --> 00:03:58.033]  Go ahead.
[00:03:58.233 --> 00:04:01.876]  It's Old Dude Perspective and Numbers on YouTube.
[00:04:02.703 --> 00:04:06.146]  Um, and Old Dude is O-L and then D-U-D-E.
[00:04:06.386 --> 00:04:07.607]  I'm just Old Dude, man.
[00:04:08.228 --> 00:04:12.331]  And I'm just out here trying to raise my family and trying to tell people the truth.
[00:04:12.652 --> 00:04:16.235]  And I've been like a lot of other people, and I kind of got lonely.
[00:04:16.275 --> 00:04:18.937]  And you want to hook up with others and form a resistance, and we love you.
[00:04:18.957 --> 00:04:19.477]  God bless you.
[00:04:19.597 --> 00:04:19.838]  Alright.
[00:04:20.660 --> 00:04:24.142]  We've got our special guest straight ahead out of all these amazing whistleblowers.
[00:04:24.542 --> 00:04:25.903]  Hers was some of the most dynamic.
[00:04:26.143 --> 00:04:27.144]  In fact, probably the most.
[00:04:27.764 --> 00:04:31.286]  In there, showing the evidence, having the will to do it, having the courage.
[00:04:31.686 --> 00:04:34.848]  It's coming up because we're right back where we were six, eight months ago.
[00:04:34.868 --> 00:04:36.269]  Get ready to do it again.
[00:04:37.249 --> 00:04:43.414]  And so I'm going to try to really let her give you the unfiltered perspective because I know they have fought to suppress her information.
[00:04:43.454 --> 00:04:46.176]  Major Whistleblower Nurse from New York on the other side.
[00:04:46.216 --> 00:04:46.856]  I'm Alex Jones.
[00:04:46.876 --> 00:04:47.957]  Tell everybody you know.
[00:04:48.117 --> 00:04:56.683]  Tune in now to m4wars.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com
[00:05:01.274 --> 00:05:03.436]  Winter Sun has been sold out for months.
[00:05:04.337 --> 00:05:05.338]  It's now back in stock.
[00:05:05.398 --> 00:05:08.562]  It's the highest quality vitamin D3 you're going to find anywhere.
[00:05:08.902 --> 00:05:13.527]  You take it under the tongue for maximum absorption or just put it in your mouth and drink it down.
[00:05:14.228 --> 00:05:19.534]  It's absolutely an essential vitamin, meaning if you don't have it and you have a deficiency from it, you will die.
[00:05:20.114 --> 00:05:21.555]  The system doesn't want you to know this.
[00:05:21.575 --> 00:05:28.840]  They don't want you to know that they've lowered the allowance of what they claim you need every day to a level that makes you very, very sickly and easy to control.
[00:05:28.920 --> 00:05:36.426]  But now we have a winner's sum of vitamin D3 and vitamin K that helps it upload better and is also excellent for your immune system at InfoWarsTore.com.
[00:05:36.806 --> 00:05:37.587]  Sold out for months.
[00:05:38.107 --> 00:05:42.472]  I'm still gonna sell it at 50% off because everyone needs it.
[00:05:42.512 --> 00:05:48.618]  Get it for yourself, get it for your husband, your wife, your children, your neighbors, especially folks that work indoors and don't get any sun.
[00:05:49.038 --> 00:05:53.783]  It's absolutely critical to get your Winter Sun, now available again, at InfoWareStore.com.
[00:05:53.843 --> 00:05:57.066]  Again, Winter Sun at InfoWareStore.com is back in stock.
[00:05:58.027 --> 00:06:00.309]  Merry Christmas!
[00:06:14.804 --> 00:06:18.186]  The New World Order systems are dying right now.
[00:06:19.067 --> 00:06:21.809]  That's why they call themselves the New World Order, but they're not.
[00:06:22.889 --> 00:06:25.891]  We've got Nurse Olszewski joining us right now.
[00:06:25.911 --> 00:06:27.372]  Nurse Erin Marie Olszewski.
[00:06:28.994 --> 00:06:31.836]  She has spent her life fighting for freedom for everyday Americans.
[00:06:32.176 --> 00:06:33.176]  Young woman, she joined the U.S.
[00:06:33.216 --> 00:06:35.158]  Army to fight overseas in Operation Iraqi Freedom.
[00:06:36.209 --> 00:06:40.914]  Turning home, she turned her focus, drive, and dedication to defending our most deeply held values in American soil.
[00:06:41.355 --> 00:06:42.896]  She spent years fighting for medical freedom.
[00:06:42.916 --> 00:06:50.425]  In 2020, Erin volunteered with the front lines yet again by traveling nurse assigned to New York's Elmhurst Hospital, which has one of the highest death rates.
[00:06:50.865 --> 00:06:52.727]  We'll still talk about that during the COVID-19 pandemic.
[00:06:53.348 --> 00:06:58.012]  What she found horrified her and inspired a new focus of her advocacy.
[00:06:58.393 --> 00:07:09.563]  Erin's newly published book, The Undercover Epicenter Nurse, reveals how gross negligence, insurance fraud, medical malpractice, and good old-fashioned greed are killing everyday Americans at Elmhurst and beyond.
[00:07:09.963 --> 00:07:16.770]  Her new fight is a fight for return to ethics, transparency, and respect for truth values
[00:07:18.174 --> 00:07:19.055]  And she goes on from there.
[00:07:19.095 --> 00:07:20.496]  We're very, very excited to have her.
[00:07:21.097 --> 00:07:22.238]  She's at Nurse Erin.
[00:07:23.399 --> 00:07:25.080]  Nurse Erin with two E's.
[00:07:25.100 --> 00:07:27.882]  And we really, again, are excited to have her.
[00:07:28.303 --> 00:07:29.644]  We've played her clips many times here.
[00:07:29.664 --> 00:07:32.626]  We'll get to some of those next segment where she actually shows the proof.
[00:07:32.987 --> 00:07:34.388]  Didn't just say it, but wow!
[00:07:34.868 --> 00:07:38.071]  Simply amazing with what really happened.
[00:07:38.472 --> 00:07:39.793]  So thank you for joining us.
[00:07:40.053 --> 00:07:40.914]  How should we start?
[00:07:41.454 --> 00:07:42.774]  Yeah, well, thank you for having me, Alex.
[00:07:42.815 --> 00:07:44.215]  First of all, I really appreciate it.
[00:07:44.255 --> 00:07:50.357]  There's not many that expose the truth like you, and a lot of people don't want to hear my story, especially the left-wing media.
[00:07:50.637 --> 00:07:51.638]  But I guess starting out, I mean...
[00:08:10.012 --> 00:08:12.054]  I guess originally I'm from Florida.
[00:08:12.094 --> 00:08:13.354]  That's where I reside now.
[00:08:13.515 --> 00:08:22.261]  So when this whole pandemic kind of first came crumbling down in March, you know, we were waiting for the wave in Florida and we just didn't see it.
[00:08:22.981 --> 00:08:26.524]  And all the while we're watching New York, you know, just get slammed.
[00:08:26.624 --> 00:08:29.746]  So as nurses, a lot of us were furloughed.
[00:08:29.786 --> 00:08:30.787]  We were looking for work.
[00:08:31.867 --> 00:08:36.268]  And an opportunity presented itself for me to travel to New York to help out.
[00:08:36.288 --> 00:08:38.168]  And so that's what I did.
[00:08:38.188 --> 00:08:43.069]  And, um, what I found there was unheard of.
[00:08:43.669 --> 00:08:46.770]  Um, ultimately what I found there was a whole lot of murder.
[00:08:47.390 --> 00:08:49.350]  And so I had no choice.
[00:08:49.370 --> 00:08:54.371]  Um, you know, in good conscience, I couldn't, you know, be part of the problem.
[00:08:54.411 --> 00:08:55.811]  I needed to be part of the solution.
[00:08:55.831 --> 00:08:58.452]  And that's why I decided to record it.
[00:08:59.348 --> 00:09:01.670]  And prove and share the truth with the people.
[00:09:03.851 --> 00:09:06.193]  And you didn't just make the claim this was basically murder.
[00:09:06.233 --> 00:09:07.153]  You showed the video.
[00:09:07.173 --> 00:09:09.215]  You showed the proof at your own risk.
[00:09:09.255 --> 00:09:14.498]  But whistleblowers are protected when they violate, quote, HIPAA or whatever by the fact that you're exposing a crime.
[00:09:14.998 --> 00:09:19.121]  The fact they didn't come after you, at least from my knowledge, shows how scared they are of this info.
[00:09:19.341 --> 00:09:21.983]  So when you say there's murder going on, walk through it.
[00:09:22.023 --> 00:09:22.883]  You've got the floor here.
[00:09:23.263 --> 00:09:27.126]  What you witnessed, what you saw, when the alarm bells rang, what you documented.
[00:09:28.973 --> 00:09:37.083]  Well, a lot of the public doesn't know, when I first got there, and I've been to war, I've been to Iraq, I know what being on the actual front lines in battle is.
[00:09:37.263 --> 00:09:40.186]  And so getting off the plane in New York, I sat around for three days.
[00:09:41.007 --> 00:09:42.269]  There was nurses that were before
[00:09:42.796 --> 00:09:51.141]  Got there before me that we're sitting there for up to three weeks, and we're getting paid $10,000 a week as nurses, which is a lot of money.
[00:09:52.122 --> 00:09:53.903]  In my opinion, I feel like it was hush money.
[00:09:53.923 --> 00:09:59.126]  A lot of nurses didn't want to say anything because they wanted their paycheck.
[00:09:59.266 --> 00:10:05.830]  But when I first got into the hospital, I was assigned to Elmhurst Hospital, which was ultimately the epicenter of the epicenter.
[00:10:06.950 --> 00:10:15.053]  And what they were doing is essentially admitting pretty much everyone, regardless if they had COVID or not, because there was a price tag.
[00:10:15.734 --> 00:10:20.716]  It was $13,000 to admit them to the floor, $39,000 to put them on a ventilator.
[00:10:20.936 --> 00:10:28.039]  Knowing that ventilators, by the time I got there in early April, had killed absolutely every single one of their patients.
[00:10:28.939 --> 00:10:32.661]  So this was essentially an assembly line to a body bag.
[00:10:32.861 --> 00:10:35.762]  You know, they come into the emergency room, they get admitted,
[00:10:36.124 --> 00:10:38.528]  To the floors regardless if they had COVID or not.
[00:10:47.608 --> 00:10:49.870]  Like Mayberry with Barney Five.
[00:10:50.210 --> 00:10:51.892]  You'd been in combat hospitals.
[00:10:51.912 --> 00:10:53.533]  You'd seen arms and legs blown off.
[00:10:53.614 --> 00:10:55.315]  People shot with RPGs.
[00:10:55.715 --> 00:11:04.383]  You'd seen real trauma, real war, real desperate working 18 hours a day sometimes during battles versus you're sitting around your hotel room getting 10 grand.
[00:11:04.924 --> 00:11:06.886]  So right up front, you're thinking something's weird here.
[00:11:08.847 --> 00:11:09.968]  Yeah, it was a red flag.
[00:11:10.029 --> 00:11:11.570]  I mean, this was not a war zone.
[00:11:12.054 --> 00:11:15.737]  And even when I got into the hospitals, we were well-staffed.
[00:11:15.797 --> 00:11:20.561]  I can imagine in the very beginning they weren't, but by the time I got there, they were well-staffed.
[00:11:21.221 --> 00:11:22.622]  And then it was the treatment.
[00:11:23.483 --> 00:11:28.827]  In my hospital, our governor, Governor Ron DeSantis, did not ban the hydroxychloroquine.
[00:11:29.588 --> 00:11:34.051]  And when we got to New York, I realized that Cuomo did.
[00:11:34.992 --> 00:11:37.434]  And we had saved every single one of our patients.
[00:11:37.514 --> 00:11:39.936]  So when they weren't using alternative treatments,
[00:11:40.769 --> 00:11:44.691]  And the protocol that they were using was ventilators, knowing it was killing every single patient.
[00:11:44.711 --> 00:11:45.892]  That was another red flag.
[00:11:46.452 --> 00:11:47.593]  Why are they banning treatment?
[00:11:47.613 --> 00:11:50.654]  Since when did the government get in between a doctor-patient relationship?
[00:11:50.734 --> 00:11:51.655]  That's unheard of.
[00:11:52.055 --> 00:11:53.496]  And it actually should never happen again.
[00:11:54.336 --> 00:11:56.097]  The hospitals were all liability free.
[00:11:56.157 --> 00:12:01.380]  So regardless of what a doctor, a nurse, any part of the staff members did, they would never be liable.
[00:12:01.420 --> 00:12:02.640]  And they took advantage of that.
[00:12:02.720 --> 00:12:05.742]  They took advantage of a system that wasn't going to hold them liable.
[00:12:06.870 --> 00:12:10.271]  And you know, there was financial incentive to stay quiet.
[00:12:10.371 --> 00:12:14.073]  So I was there, gosh, not even a week.
[00:12:14.473 --> 00:12:17.975]  And I was just devastated.
[00:12:18.515 --> 00:12:27.818]  And I contacted attorneys that I knew in New York and I'm like, I need to do something because there were nurses that were speaking out before me and no one believed them.
[00:12:28.039 --> 00:12:32.880]  You know, so I needed the actual proof and you know, it wouldn't be the first time I've been undercover.
[00:12:32.960 --> 00:12:34.041]  I, I was undercover.
[00:12:34.602 --> 00:12:41.385]  You know, in Iraq too, so maybe that's what kind of motivated me to not be afraid to be able to expose this corruption.
[00:12:42.385 --> 00:12:56.111]  And, you know, ultimately, a lot of these patients, the majority of these patients died unnecessarily, and their families deserve to know the truth, and these patients deserve justice.
[00:12:56.992 --> 00:13:05.237]  And so we've got time to take your time to go through that because you did a great job on Tucker Carlson and other platforms, but those were short interviews.
[00:13:05.677 --> 00:13:15.023]  Walk through then what it was like and how you were quantifying that they were killing people because you show where someone doesn't have COVID, but still they intubate them.
[00:13:15.063 --> 00:13:16.784]  And then days later, a healthy person's dead.
[00:13:16.824 --> 00:13:18.865]  I mean, and of course, even U.S.
[00:13:18.885 --> 00:13:22.647]  Today admits if they intubate somebody, they would get all this extra money.
[00:13:25.109 --> 00:13:25.369]  Well,
[00:13:25.942 --> 00:13:28.624]  Let's just say that you walk in and this happened a lot.
[00:13:28.764 --> 00:13:32.067]  I mean, even today it's happening and people have a lot of anxiety.
[00:13:32.147 --> 00:13:36.030]  They're terrified of this virus that the media is instilling, like this fear.
[00:13:36.050 --> 00:13:39.392]  And they're coming in like, oh my gosh, I'm having difficulty breathing.
[00:13:39.432 --> 00:13:40.073]  What do I do?
[00:13:40.613 --> 00:13:44.116]  And in Florida, we would say, you know, you're all right.
[00:13:44.476 --> 00:13:46.137]  We would test them for the flu first.
[00:13:46.257 --> 00:13:47.598]  Rule out other things.
[00:13:48.239 --> 00:13:49.360]  That's what you're supposed to do.
[00:13:49.880 --> 00:13:50.701]  Not in New York.
[00:13:50.781 --> 00:13:55.204]  So if you walk through the emergency room in New York, you're going to be a COVID quote rule out.
[00:13:55.851 --> 00:13:56.411]  Yeah, absolutely.
[00:14:15.145 --> 00:14:17.286]  You know, there was no accountability.
[00:14:17.526 --> 00:14:23.408]  And even if you said anything, which I tried to go up my chain of command and everybody told me to hush or I would go home.
[00:14:23.488 --> 00:14:25.268]  And they did send quite a few nurses home.
[00:14:25.348 --> 00:14:27.869]  Ultimately, I was sent home as well.
[00:14:28.529 --> 00:14:35.912]  But there were patients, a full code is when you want to be saved, your family wants you to be saved.
[00:14:36.492 --> 00:14:40.193]  Nurses and doctors will perform CPR as long as it takes to save you.
[00:14:40.213 --> 00:14:41.814]  That was not happening.
[00:14:42.284 --> 00:14:49.448]  There were doctors that were writing patients off as dead with the time of death paperwork done before they were even dead.
[00:14:50.048 --> 00:14:53.991]  And then telling us nurses, don't code them, they're going to die anyway.
[00:14:54.171 --> 00:15:04.777]  That's just the most unethical malpractice type of situation that any nurse or any medical professional
[00:15:05.635 --> 00:15:06.716]  Should ever have to be in.
[00:15:06.776 --> 00:15:11.779]  But they felt like, in those certain hospitals that had almost all the deaths, they were allowed to.
[00:15:11.819 --> 00:15:21.044]  Then you've got them sending sick patients to nursing homes, but not letting family go in, and then intubating them there and also getting high death numbers, up to half the deaths in New York.
[00:15:21.124 --> 00:15:23.866]  I mean, this looks like a very organized operation.
[00:15:25.607 --> 00:15:26.348]  Well, it was.
[00:15:26.748 --> 00:15:30.210]  You know, the orders were coming down from Cuomo, essentially.
[00:15:30.860 --> 00:15:32.741]  And they were going to the administrators.
[00:15:32.941 --> 00:15:35.743]  The administrators, they all knew what was going on.
[00:15:35.923 --> 00:15:41.887]  And that's why they would threaten us so hard that if we said anything, we would immediately go home.
[00:15:41.907 --> 00:15:43.288]  You know, we were all on gag orders.
[00:15:43.368 --> 00:15:43.668]  Why?
[00:15:44.309 --> 00:15:46.490]  You know, and this financial incentive... But all of this is so huge.
[00:15:46.530 --> 00:15:46.930]  Stay right there.
[00:15:46.950 --> 00:15:47.691]  Back in a few minutes.
[00:15:47.751 --> 00:15:48.491]  Simply amazing.
[00:15:48.571 --> 00:15:51.774]  One of the main whistleblower nurses videoed it all, documented it all.
[00:15:52.134 --> 00:15:52.974]  She's here explaining.
[00:15:53.174 --> 00:15:54.635]  Most of the nurses were like, this is BS.
[00:15:54.675 --> 00:15:55.356]  They were sent home.
[00:15:55.676 --> 00:15:59.859]  So they bring in people statistically and build an army of folks that will do anything.
[00:16:00.559 --> 00:16:03.661]  Fox has betrayed President Trump as I predicted they would.
[00:16:03.722 --> 00:16:07.524]  They've always been part of the establishment and it's only going to get worse.
[00:16:07.965 --> 00:16:17.372]  If they're able to keep Trump from rightfully taking office for a second term on January 20th, the system is going to drop the hammer harder than ever on this republic.
[00:16:17.412 --> 00:16:18.012]  They are going to explode.
[00:16:18.072 --> 00:16:18.593]  We're good.
[00:16:35.211 --> 00:16:36.352]  Mountain Patriot in Colorado.
[00:16:36.372 --> 00:16:37.572]  Thank you for holding.
[00:16:37.592 --> 00:16:37.972]  How you doing, Alex?
[00:17:04.830 --> 00:17:06.211]  Man, I'm just working as hard as I can.
[00:17:06.231 --> 00:17:07.451]  We're in such a critical time, brother.
[00:17:07.472 --> 00:17:07.812]  How are you?
[00:17:08.192 --> 00:17:08.872]  I love you, man.
[00:17:08.972 --> 00:17:10.933]  I want to make a quick plug.
[00:17:10.953 --> 00:17:13.135]  That DNA Force, I love it.
[00:17:13.175 --> 00:17:29.624]  I've been using it quite a while, and I just went and looked at the ingredients again the other day, and I see that it contains quercetin, which according to some published studies that Dr. Merkula has cited, is an ionophore similar to hydroxychloroquine.
[00:17:30.296 --> 00:17:34.659]  And it helped channel the zinc into the cells, so people might want to take a look at that.
[00:17:35.700 --> 00:17:48.869]  All I know is with DNA Force, we went out and looked at these high-end products that they sell through doctor clinics that aren't prescription, but the doctor sells like 300 bucks a bottle, because there's a lot of expensive products and it's really only cost them like 50 bucks.
[00:17:49.209 --> 00:17:53.893]  And so we basically cloned two different top brands together, and that's what produced this.
[00:17:53.913 --> 00:17:55.374]  So thanks for the plug.
[00:18:53.721 --> 00:19:00.126]  Ho, ho, ho, ho!
[00:19:00.166 --> 00:19:00.946]  Merry Christmas!
[00:19:00.986 --> 00:19:06.871]  The year 2021 is almost here, and so we're launching our New Year's specials right now.
[00:19:07.351 --> 00:19:08.772]  We've got two different big sales.
[00:19:08.792 --> 00:19:15.137]  We've got Super Metal Vitality Turbo Force and Ultra 12, part of the New Year's Resolution Energize Pack, 40% off.
[00:19:15.217 --> 00:19:20.721]  We've got Bodies, Vazzo Beats, and Knockout, part of the New Year's Resolution Revitalize Pack,
[00:19:20.981 --> 00:19:21.281]  I think so.
[00:19:46.221 --> 00:19:55.344]  Again, the year 2021 is here, and I am committed to you to fight against the globalists harder than ever, so thank you so much for keeping InfoWars in the fight.
[00:19:55.484 --> 00:19:57.245]  Without your support, we couldn't do any of it.
[00:20:03.047 --> 00:20:08.929]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:22.529 --> 00:20:28.393]  Nurse Erin Marie Olszewski is our guest with the book that Big Brother doesn't want you to read.
[00:20:28.473 --> 00:20:29.113]  You should get it.
[00:20:29.894 --> 00:20:33.276]  Share it with everyone you know to save lives and to stop this fraud.
[00:20:33.756 --> 00:20:34.997]  Undercover Epicenter.
[00:20:36.898 --> 00:20:38.139]  Undercover Epicenter nurse.
[00:20:38.519 --> 00:20:44.263]  How fraud, negligence, and greed led to unnecessary deaths at Elmhurst Hospital.
[00:20:45.023 --> 00:20:46.544]  And boy, she lays it all out.
[00:20:48.999 --> 00:21:03.725]  So, please continue with what you're laying out, how long you were there, the aftermath of it, and what's in your book and what you expect to see obviously now with this winter when they have more flu, more pneumonia.
[00:21:03.745 --> 00:21:05.986]  They're obviously going to try to attribute all that to COVID.
[00:21:06.006 --> 00:21:07.666]  They said that the lockdown has to go on forever.
[00:21:08.186 --> 00:21:17.030]  They don't want people to know about nutraceuticals or about supplements or about vitamin D. And give us your big picture of what you think is really going on here and what we should all do to stop it.
[00:21:19.997 --> 00:21:20.837]  A lot's going on.
[00:21:22.598 --> 00:21:26.839]  Yes, that's one thing that they banned is any alternative treatments.
[00:21:29.019 --> 00:21:44.722]  They didn't talk about the high-dose IV vitamin C. They didn't talk about the hydroxychloroquine, you know, quercetin, vitamin D, vitamin C, you know, like a lot of these things that people really need to know is everything that they're not talking about.
[00:21:45.563 --> 00:21:47.083]  And for a virus,
[00:21:47.879 --> 00:21:54.280]  With a 99, at this point, 0.9% survival rate, we don't need a vaccine.
[00:21:54.860 --> 00:21:57.141]  And the vaccine is very dangerous.
[00:21:57.841 --> 00:22:01.821]  And ultimately, I think that this has been about control.
[00:22:02.382 --> 00:22:04.722]  I think that this has been about the election.
[00:22:05.442 --> 00:22:10.663]  And I think that this is about, honestly, the New World Order.
[00:22:10.883 --> 00:22:16.264]  You know, they want puppets, and they don't want anybody
[00:22:17.028 --> 00:22:23.289]  Like myself or, you know, any of other whistleblowers to be telling the people the truth.
[00:22:24.289 --> 00:22:38.972]  And ultimately, if we want to secure a safe future for our children and future generations, a lot more people need to stand up and speak up and tell the truth because this is about humanity at the end of the day.
[00:22:39.212 --> 00:22:43.113]  And we need to be able to save lives and get the truth to the people.
[00:22:44.474 --> 00:22:58.445]  What was it like for you as a whistleblower, not at the very start, but I'd say in the first third of people really speaking out, to then watch all these prominent scientists and doctors and nurses, including yourself, being censored by big tech?
[00:22:58.545 --> 00:23:00.727]  I mean, since when do consumer reviews get blocked?
[00:23:01.027 --> 00:23:03.209]  Since when can medical professionals not have their speech?
[00:23:03.469 --> 00:23:04.370]  This is so dangerous.
[00:23:06.112 --> 00:23:07.413]  No, it's extremely dangerous.
[00:23:07.533 --> 00:23:11.196]  And, you know, all these people that you're seeing, you know,
[00:23:12.341 --> 00:23:15.223]  These are medical experts, Fauci being one.
[00:23:16.703 --> 00:23:18.204]  These guys never had boots on the ground.
[00:23:18.244 --> 00:23:20.966]  These guys never actually treated any of these patients.
[00:23:21.006 --> 00:23:23.107]  These guys were not in there.
[00:23:23.127 --> 00:23:23.967]  I was.
[00:23:24.308 --> 00:23:25.868]  We were the ones with boots on the ground.
[00:23:26.549 --> 00:23:29.550]  And for anybody like me, that was actually there.
[00:23:29.991 --> 00:23:37.715]  And that's actually, you know, telling them what they really did in order to create this mass genocide.
[00:23:38.514 --> 00:23:40.176]  Um, you know, we're, we're hushed.
[00:23:40.256 --> 00:23:40.977]  We're censored.
[00:23:40.997 --> 00:23:42.398]  Um, I've been fired.
[00:23:42.518 --> 00:23:43.619]  I was fired in New York.
[00:23:43.699 --> 00:23:50.225]  I was fired from my job here in Florida because they don't want people like me inside there's hospital walls because we're going to tell the truth.
[00:23:50.626 --> 00:23:52.187]  They kicked all the family members out.
[00:23:53.589 --> 00:23:55.731]  It's a free for all in these hospitals right now.
[00:23:55.891 --> 00:24:02.057]  And, and since my expo day came out, I've had so many people from around the world contact me.
[00:24:02.984 --> 00:24:03.844]  Yeah, absolutely.
[00:24:18.895 --> 00:24:22.658]  And be a nurse in this time in history right now.
[00:24:23.378 --> 00:24:29.643]  And well, it seems like a total power grab where we can let COVID patients into the nursing home, but you can't see your mom or dad for six, eight months.
[00:24:30.203 --> 00:24:38.909]  It's such a control thing that all over the world now, uh, you know, you can't see your family members, but, but then they can do whatever they want behind closed doors.
[00:24:38.969 --> 00:24:40.830]  Sounds like a recipe for major abuse.
[00:24:42.311 --> 00:24:44.613]  Well, and why aren't they talking, you know, about.
[00:24:45.049 --> 00:24:53.611]  The increase in suicide, the increase in depression, all of these other things that are happening outside, they're just not discussing.
[00:24:53.991 --> 00:24:55.652]  Everything is COVID.
[00:24:56.012 --> 00:24:57.232]  There's no flu anymore.
[00:24:57.792 --> 00:25:04.674]  There's no other diseases or illnesses right now.
[00:25:04.734 --> 00:25:06.495]  It's just all COVID.
[00:25:07.655 --> 00:25:12.336]  And that has to send a red flag to people.
[00:25:12.837 --> 00:25:13.737]  And I hope it does.
[00:25:14.873 --> 00:25:21.718]  Wake up a whole lot more people to kind of start asking questions, because ultimately we need to be inquisitive.
[00:25:21.838 --> 00:25:23.840]  We need to demand the truth.
[00:25:24.220 --> 00:25:28.383]  And you know, it's just something that the media isn't, isn't giving the people.
[00:25:28.523 --> 00:25:31.545]  And these photos that you're sharing right now, it's just heartbreaking.
[00:25:32.446 --> 00:25:38.090]  And how are we ever going to dig ourselves out of this and, you know, become
[00:25:39.657 --> 00:25:43.419]  Kind of fight this new normal that they're trying to push on everybody.
[00:25:43.640 --> 00:25:45.260]  You know, there's nothing normal about this.
[00:25:45.701 --> 00:25:52.045]  And it's the way they script it all, like, teaching the kids all this weird bizarreness that you can't hold each other or love each other.
[00:25:52.065 --> 00:25:53.485]  Everything's like a cult.
