[00:00:00.449 --> 00:00:01.750]  Vaccines are very safe.
[00:03:24.789 --> 00:03:29.134]  The major health concern which we are seeing are accusations of long-term
[00:03:29.714 --> 00:03:30.515]  Long-term effects.
[00:03:46.047 --> 00:04:03.200]  An adjuvant, a particular adjuvant added to a vaccine antigen did really nothing when administered to a certain population and it's usually the elderly, you know, compared to administering the same formulation to younger age strata.
[00:04:03.620 --> 00:04:12.647]  So these are things which need to be considered as well and further complicate safety and effectiveness evaluation of adjuvants combined with vaccine antigens.
[00:04:13.061 --> 00:04:13.641]  We're good to go!
[00:04:42.984 --> 00:04:52.268]  We have a very wobbly health professional frontline that is starting to question vaccines and the safety of vaccines.
[00:04:52.828 --> 00:05:07.135]  When the frontline professionals are starting to question or they don't feel like they have enough confidence about the safety to stand up to it, to the person asking them the questions.
[00:05:07.708 --> 00:05:16.315]  I mean most medical school curriculums, even nursing curriculums, I mean in medical school you're lucky if you have a half day on vaccines.
[00:05:17.036 --> 00:05:33.209]  What you just saw is only a small sampling of the historic meeting where the UN convened an emergency summit in Switzerland with their top scientists to try to figure out what's happening and how to respond to the public's awakening to what's happening.
[00:05:34.161 --> 00:05:44.750]  And then, of course, Big Pharma, with its horrible history of corruption, is given liability protection for the damage caused with the vaccines, and they go on the news and tell us vaccines never hurt anybody.
[00:05:45.110 --> 00:05:46.271]  It's a conspiracy theory.
[00:05:46.611 --> 00:05:48.893]  Arrest everybody that criticizes it.
[00:05:49.414 --> 00:05:50.595]  Take the children away from them.
[00:05:51.337 --> 00:05:56.398]  I've had hundreds of scientists on, medical doctors, you name it, exposing all of this over the years.
[00:05:56.998 --> 00:06:08.521]  So we're not learning anything new here, but it's the UN admitting that there's a loss of confidence globally by the medical community and that there's been a cover-up and they don't know what to do.
[00:06:09.502 --> 00:06:11.762]  They say they haven't studied, but they have.
[00:06:12.722 --> 00:06:18.744]  Big Pharma uses the UN and other governments as the enforcers of this
[00:06:19.735 --> 00:06:29.644]  But as you heard the UN say, they've never done a study, and they don't have a study on the effects of adjuvants, but they clearly see what they're doing, and top scientists say you shouldn't even use adjuvants.
[00:06:29.984 --> 00:06:32.246]  We know they're causing autoimmune responses.
[00:06:32.686 --> 00:06:34.268]  We know they're causing autoimmune diseases.
[00:06:34.528 --> 00:06:43.516]  He uses fancy terms for allergic responses and autoimmune disease, but that's what he's saying, but not in words that you know or that I know in general that will scare us.
[00:06:44.236 --> 00:06:45.658]  So they're up there talking in code,
[00:06:47.008 --> 00:06:54.214]  Because they're there trying to cover their ass, but those that are really guilty are big pharma, because the adjuvants are only one part of this.
[00:06:55.115 --> 00:07:04.443]  When you have a live anthrax vaccine, and they say, well, it's genetically engineered to be not as harmful, and then it kills a bunch of people that are administered it.
[00:07:04.503 --> 00:07:05.004]  That's what happened.
[00:07:05.244 --> 00:07:12.911]  Or you have the new approved Ebola vaccine, that's live Ebola, but it's been genetically engineered, they say, to not harm you.
[00:07:14.226 --> 00:07:19.467]  Should we go over all the problems there or what Trojan horses have been loaded in on purpose or by accident?
[00:07:19.867 --> 00:07:21.527]  It just goes on and on from there.
[00:07:22.327 --> 00:07:25.248]  So vaccines, we think of just learning immunity to something.
[00:07:26.108 --> 00:07:27.128]  That's a real technology.
[00:07:27.448 --> 00:07:29.469]  It has risk, but it's done a lot of amazing things.
[00:07:29.889 --> 00:07:43.331]  We're talking about all these other sciences rolled in to vaccines, genetic engineering, you name it, being put into us via these vaccines that Big Pharma is testing us like guinea pigs with and we see the response.
[00:07:44.389 --> 00:07:45.209]  Massive deaths.
[00:07:45.330 --> 00:07:46.670]  Massive neurological problems.
[00:07:47.130 --> 00:07:49.572]  Incredible levels of cancer increases.
[00:07:49.712 --> 00:07:51.193]  And the inserts admit that.
[00:07:52.013 --> 00:07:55.775]  But there is a sickening silver lining to this giant black cloud of evil.
[00:07:56.676 --> 00:07:59.257]  And that's that the damage and the death and the carnage
[00:08:00.581 --> 00:08:10.644]  is so huge from vaccines and vaccine-related technologies that they can't cover it up anymore and people are pissed and they know what's going on and the dam is breaking.
[00:08:11.604 --> 00:08:19.106]  Dr. Wakefield did those studies more than 20 years ago proving that antibodies from the MMR shot were in the intestines of these autistic children.
[00:08:20.146 --> 00:08:26.688]  Since then a whole bunch of other studies have been done confirming his research but the media targeted him and said that he was a fraud.
[00:08:27.691 --> 00:08:33.096]  When he was never proven to be a fraud and those that made up the fraud have since been exposed.
[00:08:33.716 --> 00:08:37.640]  But that's what they do to trailblazers that try to warn the people.
[00:08:38.424 --> 00:08:51.432]  The big takeaway here is back in the mid 80s, the United States passed a multi-billion dollar act to put billions of dollars a year into a secret fund to pay people who are damaged by vaccines.
[00:08:51.512 --> 00:09:02.258]  But they believe that only about 1% of those damaged even know about the fund and ever get to the fund through the reporting agency and then jump through the hoops to get the aid they need.
[00:09:03.578 --> 00:09:04.199]  Think about that.
[00:09:04.800 --> 00:09:16.321]  They set up giant vaccine damage funds that operate in secret, but they tell you they're safe and effective and that it's a conspiracy that anybody ever got hurt, and the very same UN head scientist puts out a video
[00:09:17.438 --> 00:09:24.824]  Last year saying vaccines are totally safe and effective never hurt anybody but then she's in a meeting with her colleagues admitting they've covered everything up.
[00:09:25.364 --> 00:09:26.885]  This is scandal beyond scandal.
[00:09:26.905 --> 00:09:41.437]  This is all of our lives we're talking about and only you can make sure the story gets out and is forced to break worldwide and really bring down this giant hoax that is medical tyranny through Big Pharma being given total liability protection
[00:09:42.017 --> 00:09:48.179]  To operate however they want and do whatever they want, a recipe for absolute medical Armageddon.
[00:09:53.661 --> 00:09:59.043]  I wanted to talk about Super Silver whitening toothpaste because I hadn't tried it except for maybe the last week and a half.
[00:09:59.483 --> 00:10:02.984]  And I told Alex, I said, man, this is the best toothpaste I've ever tried.
[00:10:03.044 --> 00:10:05.325]  He's like, well, what are you doing just sitting in here telling me?
[00:10:05.345 --> 00:10:07.125]  You got to get up there and tell people.
[00:10:07.165 --> 00:10:08.766]  So here I am telling people.
[00:10:09.506 --> 00:10:14.250]  Super Silver Whitening Toothpaste is by far the best toothpaste I've ever tried.
[00:10:14.750 --> 00:10:15.791]  And I'm 45 years old.
[00:10:15.991 --> 00:10:17.352]  And I've tried a lot of different toothpaste.
[00:10:17.993 --> 00:10:19.013]  And it's fluoride free.
[00:10:19.674 --> 00:10:22.876]  I think the big difference, the game changer in this is the Coral Calcium.
[00:10:22.916 --> 00:10:26.459]  Because after I brush my teeth with this, they feel so clean.
[00:10:26.539 --> 00:10:30.923]  And the toothpaste, I don't even like rinse out my mouth after I brush my teeth with this.
[00:10:31.203 --> 00:10:33.545]  It feels so good.
[00:10:33.585 --> 00:10:36.387]  It feels like good things are happening in my mouth.
[00:10:36.627 --> 00:10:42.459]  In fact, I find myself brushing my teeth three to four times a day rather than just twice a day now.
[00:10:42.840 --> 00:10:44.503]  Because I like the way it feels.
