[00:00:02.269 --> 00:00:02.769]  99 days.
[00:10:44.898 --> 00:10:45.138]  Really?
[00:10:48.186 --> 00:10:53.889]  Public schools and colleges all over the country, if you try to say man or woman on the entrance form, we'll throw you out!
[00:10:55.130 --> 00:10:55.990]  We live in a cult!
[00:10:57.351 --> 00:10:58.532]  Look at political correctness!
[00:11:02.474 --> 00:11:09.718]  On YouTube, they get strikes on famous chess channels if white knight takes black pawn, because that could be seen as racist.
[00:11:10.919 --> 00:11:12.760]  I was telling a lawyer that the other day, he didn't believe me.
[00:11:12.780 --> 00:11:14.461]  He pulled it up and his mouth fell open.
[00:11:17.011 --> 00:11:28.375]  That's the level of the cult and we've bowed to them so much for so long they think we're going to bow to them again and forever.
[00:11:29.056 --> 00:11:32.477]  But one young man last night in Austin thought that too.
[00:11:32.497 --> 00:11:33.718]  We'll play that when we come back.
[00:11:34.198 --> 00:11:35.798]  He's got his AK-47.
[00:11:36.319 --> 00:11:38.179]  He's too ignorant to know that it's actually like a Mac 90.
[00:11:38.299 --> 00:11:39.540]  It's semi-auto.
[00:11:41.172 --> 00:11:46.734]  And he says, you know, I'd like to kill some police or, you know, if I kill cops, they'll kill me, so we'll see.
[00:11:47.134 --> 00:11:52.016]  He goes, none of these people out here that we're going to be menacing or threatening have got any balls.
[00:11:52.876 --> 00:11:56.457]  And so he said, well, you'll see what he said when we come back.
[00:11:56.717 --> 00:11:57.518]  We'll play that first.
[00:11:58.398 --> 00:12:01.759]  And then he runs out into traffic and blocks people's cars.
[00:12:02.519 --> 00:12:06.300]  And the witnesses say he raised the gun and there's video of him raising it up towards the window.
[00:12:06.321 --> 00:12:10.042]  And then you hear what sounds like rifle shots and then handgun shots.
[00:12:10.862 --> 00:12:17.646]  And some journalists are saying that that's why the news is being suppressed and what happened because it looks like it's like a Somali in Seattle drove through.
[00:12:17.946 --> 00:12:19.407]  They were running around on the road at night.
[00:12:19.427 --> 00:12:20.207]  He hit two women.
[00:12:20.227 --> 00:12:22.269]  They wanted to say it was a white supremacist for days.
[00:12:22.309 --> 00:12:23.669]  They wouldn't say what color he was.
[00:12:23.970 --> 00:12:27.552]  It was a Somali guy that just got on the highway and people ran out in front of him at night.
[00:12:29.333 --> 00:12:30.493]  Then you saw that story go away.
[00:12:32.074 --> 00:12:33.315]  But the point is, is that
[00:12:35.660 --> 00:12:39.442]  You heard, oh, a white supremacist attacked somebody for no reason in Austin last night.
[00:12:39.943 --> 00:12:50.789]  And then we've got all this footage of BLM, mainly white people, and Antifa all over the country, running out in roads and just shooting at vehicles.
[00:12:52.510 --> 00:12:58.934]  Or running up, but I kept saying, man, in a lot of areas of Texas, you run up and surround somebody's car and then point a rifle at them?
[00:13:00.520 --> 00:13:05.905]  It's not going to go well, but that's why the orders from Soros have come down in places like St.
[00:13:05.965 --> 00:13:11.090]  Louis with the McCluskey family, where they broke down their gate, came on their yard, were threatening to kill them.
[00:13:11.110 --> 00:13:11.790]  It's on the video.
[00:13:12.271 --> 00:13:13.412]  They pointed guns at them.
[00:13:13.612 --> 00:13:14.733]  One of them was a prop.
[00:13:14.853 --> 00:13:15.514]  They were lawyers.
[00:13:15.534 --> 00:13:17.456]  It was a prop from a case they had.
[00:13:20.916 --> 00:13:31.702]  And they SWAT teamed them, now they've indicted them, because they want the message that when we come to burn your house, you bow down and don't fight back, so the riots can get steam and really burn down the country.
[00:13:31.942 --> 00:13:46.369]  Because they want the citizens to stand down, and the police to stand down, so they can take full control of all the government buildings, just like the Bolsheviks did in 1917, and refuse fascism, and all the Soros-funded groups admit that's their plan.
[00:13:46.589 --> 00:13:49.351]  And they just overthrew Ukraine five years ago,
[00:13:49.611 --> 00:13:52.052]  With the very same groups, and the very same tactics!
[00:13:54.733 --> 00:14:00.676]  And now, Atlantic Monthly and others are saying, and remember what Maxine Waters said, confront these people everywhere, attack them everywhere!
[00:14:01.377 --> 00:14:04.738]  And now they've gone to the head of DHS's house, and they're threatening him!
[00:14:06.019 --> 00:14:07.339]  Because that's what they do!
[00:14:07.960 --> 00:14:10.141]  They went to Mitch McConnell's house and said, we're gonna murder you!
[00:14:11.221 --> 00:14:15.623]  When Mitch said it was wrong, Twitter censored him, and Mitch McConnell thanked Twitter and got on his knees!
[00:14:16.324 --> 00:14:18.525]  So you're capitulating as asking for this!
[00:14:21.585 --> 00:14:34.365]  The social engineers, the globalists, and their bought-and-paid-for corporate media that's back on the chi-coms and every other America-hating institution are counting on sucker-punching the American people.
[00:14:35.148 --> 00:14:58.706]  But I've been reading the Council on Foreign Relations reports and tracking them since Trump got elected, and they talked about triggering nationwide riots, calling it racial, and then using that as the pretext to have a coup against the president, and then they think everybody will just sit down in fear and accept it, but they need a lockdown in place first, and that's what they're using the virus for, so you're used to being told, stay in your home, do what we say.
[00:14:59.735 --> 00:15:02.377]  We've already put you into that artificial martial law.
[00:15:03.077 --> 00:15:04.678]  So here's the headline for the live show today.
[00:15:04.718 --> 00:15:05.439]  I hope you'll share it.
[00:15:05.479 --> 00:15:07.080]  That's how we reach new people and stop this.
[00:15:07.500 --> 00:15:07.981]  Red alert!
[00:15:08.041 --> 00:15:11.783]  Deep state Dems have already launched a violent plan to overthrow the U.S.
[00:15:11.843 --> 00:15:12.183]  government.
[00:15:12.203 --> 00:15:17.047]  Now let me show you some news articles and I'm going to play the clips proving it all.
[00:15:17.667 --> 00:15:17.987]  Schiff!
[00:15:18.468 --> 00:15:21.790]  Trump will refuse to accept election results and allow peaceful transition.
[00:15:22.110 --> 00:15:28.775]  Though they're the ones gearing up for total violence now with people being killed every couple hours and the media in lockstep covering it up.
[00:15:29.525 --> 00:15:33.767]  Leftist mag issues threat violence and riots will skyrocket if Trump wins election.
[00:15:34.307 --> 00:15:35.328]  That's Atlantic Monthly.
[00:15:35.928 --> 00:15:39.849]  Black Trump supporter executed in broad daylight for holding up a Trump sign in Wisconsin.
[00:15:40.250 --> 00:15:42.871]  Leftist pledge anyone supporting Trump will be murdered.
[00:15:44.672 --> 00:15:46.932]  All they want to do is condemn law enforcement.
[00:15:46.952 --> 00:15:50.334]  DHS Secretary Chad Wolf blasts Democrats on Fox News.
[00:15:50.634 --> 00:15:52.515]  They come to his house, threaten to kill him.
[00:15:53.395 --> 00:15:54.536]  That's right, townhall.com.
[00:15:55.356 --> 00:16:01.599]  Meanwhile, Portland rioters occupy exterior federal courthouse, raise American flag upside down, because they're inverting it.
[00:16:02.040 --> 00:16:02.600]  Actually, it's true.
[00:16:02.680 --> 00:16:04.881]  The country is in crisis.
[00:16:04.921 --> 00:16:05.642]  That's coming up.
[00:16:06.942 --> 00:16:11.245]  Radio host mocks Trump by claiming Seattle's peaceful, then rioters burn down his apartment building.
[00:16:12.805 --> 00:16:19.069]  Video Colorado BLM protester shoots fellow demonstrator while aiming at a car that sped through the crowd.
[00:16:19.109 --> 00:16:21.150]  They just ran on the highway trying to be hit.
[00:16:22.162 --> 00:16:24.683]  And the glass from a Somali hit him so they couldn't say white supremacist.
[00:16:25.003 --> 00:16:25.944]  The guy didn't know what was happening.
[00:16:25.964 --> 00:16:27.165]  He just ran out in front of him at night.
[00:16:28.005 --> 00:16:29.586]  Protests erupt across country.
[00:16:29.646 --> 00:16:32.187]  Black militia member accidentally shoots comrades in parts.
[00:16:32.627 --> 00:16:34.108]  Properly blames white supremacism.
[00:16:35.389 --> 00:16:40.211]  Black Lives Matter activists have their toddlers carry F the police signs and use them as human shields.
[00:16:41.432 --> 00:16:45.014]  Black conservatives stabbed by anti-med during Portland Black Lives Matter riots.
[00:16:45.294 --> 00:16:46.094]  Shocking video.
[00:16:46.114 --> 00:16:47.635]  We're going to play all this next segment.
[00:16:48.706 --> 00:16:49.786]  And the flag upside down.
[00:16:50.447 --> 00:16:53.207]  Austin Protester, allegedly armed with AK-47.
[00:16:53.247 --> 00:16:54.928]  I don't know why it says allegedly.
[00:16:54.948 --> 00:16:56.668]  I mean, he said he had an AK-47.
[00:16:56.708 --> 00:16:58.569]  It was a semi-automatic version of that.
[00:16:58.949 --> 00:17:02.870]  Shot by a driver while blocking traffic and approaching vehicle.
[00:17:03.811 --> 00:17:06.972]  We're gonna get to that first, right now.
[00:17:07.372 --> 00:17:10.073]  Listen to what... By the way, look at this guy's background.
[00:17:10.113 --> 00:17:11.473]  You talk about a creep.
[00:17:12.553 --> 00:17:13.434]  I'm just gonna leave it at that.
[00:17:15.302 --> 00:17:18.243]  You talk about bizarre and stupid.
[00:17:18.803 --> 00:17:21.684]  LARPing out at night, blocking traffic with a gun, pointing it at somebody.
[00:17:22.505 --> 00:17:22.865]  A threat.
[00:17:22.885 --> 00:17:24.125]  People have a right to defend themselves.
[00:17:24.825 --> 00:17:27.887]  But this individual, we've got his name, all the information is on InfoWars.com.
[00:17:28.247 --> 00:17:36.170]  Here's what he said about 10 minutes before he ran out with a mob to stop cars, pointed his gun reportedly at somebody and got shot.
[00:17:36.430 --> 00:17:36.730]  Here it is.
[00:17:40.561 --> 00:17:41.744]  Oh, it's AK-47.
[00:17:41.784 --> 00:17:44.349]  Why'd you got it out tonight?
[00:17:44.790 --> 00:17:49.581]  They don't let us march in the streets anymore, so I got to practice some of our rights.
[00:17:51.548 --> 00:17:55.149]  Do you feel like you'll need to use it?
[00:17:55.209 --> 00:17:55.569]  No.
[00:17:55.589 --> 00:18:00.850]  I think the uh... I mean if I use it against the cops I'm dead.
[00:18:01.290 --> 00:18:11.153]  And I think all the people that hate us and you know want to say sh** to us are too big of a pussies to stop and actually do anything about it.
[00:18:12.233 --> 00:18:13.674]  Why'd you start carrying?
[00:18:13.914 --> 00:18:18.576]  Well, our roommate got arrested and they stopped letting us march anywhere, so I started carrying.
[00:18:18.596 --> 00:18:18.716]  Thanks.
[00:18:42.841 --> 00:18:49.394]  But you hear in the video it sounds like he's shooting first, you hear a rifle shoot, then you hear three shots return that are muffled.
[00:18:50.287 --> 00:18:55.788]  And that's what experts are looking at the tape are saying, but of course it will be covered up by the leftist city of Austin if that is indeed the case.
[00:18:56.168 --> 00:19:00.450]  But regardless, run out in traffic, block somebody, point a gun at them, this is what happens.
[00:19:00.470 --> 00:19:05.571]  We have all these videos that just happened of them shooting at cars and actually shooting people.
[00:19:06.071 --> 00:19:08.231]  And when it happens, it's hardly on the news.
[00:19:08.252 --> 00:19:13.073]  It's a little blip on the radar screen that, oh, peaceful protesters shot somebody else today.
[00:19:13.853 --> 00:19:14.953]  Here's one shock video.
[00:19:15.313 --> 00:19:17.834]  BLM Antifa rioter shoots driver.
[00:19:19.437 --> 00:19:23.618]  Trying to pass protest across the country.
[00:19:23.658 --> 00:19:27.079]  Black militia member accidentally shoots comrades in a park.
[00:19:27.819 --> 00:19:29.840]  And we're showing all this for TV viewers.
[00:19:37.362 --> 00:19:37.862]  Let's do this.
[00:19:37.922 --> 00:19:38.602]  Let's let's do this.
[00:19:39.043 --> 00:19:39.783]  Let's start over.
[00:19:40.543 --> 00:19:44.624]  Let's start over to the beginning and let's roll compilation clip.
[00:19:46.665 --> 00:19:47.085]  One place.
[00:19:47.105 --> 00:19:47.445]  Here it is.
[00:19:50.424 --> 00:19:52.606]  So the guy's driving down the road, and they just shoot at him.
[00:19:53.707 --> 00:19:56.270]  There's your peaceful sorrows, folks.
[00:19:56.290 --> 00:19:57.411]  Now, here's Kentucky yesterday.
[00:19:57.431 --> 00:20:02.375]  And they just fire a shotgun at people.
[00:20:03.456 --> 00:20:07.941]  And they tell everybody to get down.
[00:20:10.063 --> 00:20:15.488]  And these folks are also on video coming up to random cars and saying, I'll kill you, to white people.
[00:20:16.698 --> 00:20:20.123]  Here's some more BLM, mainly white trendies in Aurora, Colorado.
[00:20:20.904 --> 00:20:21.946]  There's chopper footage.
[00:20:21.966 --> 00:20:25.811]  They just run out on the highway and the car doesn't know what to do, so they shoot at it.
[00:20:27.213 --> 00:20:30.278]  Here's the Austin protester with his AK-47.
[00:20:32.492 --> 00:20:46.682]  Who runs out, and again, we've got paused still shots on InfoWars.com from the video showing him with the rifle up to the window of the car with people beating on it, screaming, going, he's white, he's white, trying to pull the white person out.
[00:20:46.702 --> 00:20:48.963]  And it's white people mainly saying and doing it.
[00:20:49.404 --> 00:20:53.807]  It's like when Abe Skrillex famously yells at Owen Schreier and says, you don't have a right to speak!
[00:20:54.027 --> 00:20:55.328]  You're an effing white male!
[00:20:57.162 --> 00:21:04.583]  That's the craziness of you're just downtown Austin driving, and there are people with guns and hatchets and hammers, and they've attacked us with hammers.
[00:21:05.124 --> 00:21:06.944]  And the media goes, well, Jones deserves it!
[00:21:07.004 --> 00:21:07.784]  This is peaceful!
[00:21:08.704 --> 00:21:20.307]  And all these armchair leftists, like the mayor of Portland, went out to support them, burning down the courthouse, and then they attack him because he's an old white dude.
[00:21:20.987 --> 00:21:22.347]  They go, look, he's white!
[00:21:22.727 --> 00:21:26.608]  They don't even know he's the mayor under Soros, commanding them!
[00:21:28.854 --> 00:21:35.278]  They don't even know he's their general come to praise them while they pull down the American flag and hoist it upside down.
[00:21:36.439 --> 00:21:41.982]  Not even knowing they put up the right symbol that America is in grave distress and is in grave crisis.
[00:21:43.383 --> 00:21:51.628]  We're gonna go to break and I'm gonna come back and go through more videos and individual videos of them shooting people in the head with pleasure.
[00:21:52.028 --> 00:21:54.390]  You're just driving your truck, they run out in front of you.
[00:21:54.910 --> 00:21:56.071]  Yeah, here's Utah right here.
[00:21:58.502 --> 00:22:01.464]  And boom, and we've got Colorado, another Colorado.
[00:22:02.345 --> 00:22:07.308]  Oh wait, there's more, not just yesterday's Colorado, we have another Colorado, where they shoot the man.
[00:22:08.069 --> 00:22:10.430]  Last time I heard, he's in critical condition, brain dead.
[00:22:12.592 --> 00:22:19.597]  And it was a liberal white lawyer, did it, and he, in his mugshot, he's so proud of what he did, he shot a Nazi.
[00:22:20.993 --> 00:22:24.916]  And, oh, by the way, when they shot him in the head, he drove a few blocks and passed out.
[00:22:25.257 --> 00:22:28.740]  They went to the police and said, a white supremacist attacked us.
[00:22:29.680 --> 00:22:30.761]  Yes, yes.
[00:22:31.362 --> 00:22:36.226]  That's what happens when they run and jump on your car, right out on the highway in front of a Somali.
[00:22:36.546 --> 00:22:37.707]  Oh, look, there's a car going at you.
[00:22:37.747 --> 00:22:39.088]  Let me run after him.
[00:22:39.108 --> 00:22:41.190]  Two people, you know, one lady gets killed, another one almost does.
[00:22:41.210 --> 00:22:44.853]  They're like, white supremacist, white supremacist, white supremacist.
[00:22:45.013 --> 00:22:45.994]  They're trying to drag him out of the car.
[00:22:46.014 --> 00:22:46.835]  They go, lady's black.
[00:22:47.475 --> 00:22:49.877]  And still they cover it up, they go, Whites are attacking!
[00:22:50.017 --> 00:22:51.258]  Whites are killing me!
[00:22:51.278 --> 00:22:58.244]  Another time.
[00:22:58.344 --> 00:22:59.405]  In the age of wonder.
[00:22:59.785 --> 00:23:00.566]  Another time.
[00:23:14.517 --> 00:23:17.300]  Power of our source is the truth, and it will prevail.
[00:23:38.467 --> 00:23:38.747]  All right.
[00:23:39.268 --> 00:23:43.591]  Anybody can just type into a search engine, Virginia gun rally ends peacefully.
[00:23:43.631 --> 00:23:44.831]  Mother Jones had to admit it.
[00:23:45.152 --> 00:23:46.613]  The Associated Press had to admit it.
[00:23:46.993 --> 00:23:48.034]  The state police estimated 28,000.
[00:23:48.154 --> 00:23:50.596]  I estimated about 40,000 people.
[00:23:51.236 --> 00:23:55.639]  White, black, Hispanic, Asian, old, young, all came out together.
[00:23:55.659 --> 00:24:04.325]  Even though they closed half the Capitol grounds so it wouldn't look like a big crowd, they filled five, six, seven, eight, nine streets in all directions.
[00:24:04.385 --> 00:24:05.026]  It was amazing.
[00:24:06.136 --> 00:24:08.698]  One arrest of somebody getting in a fist fight who was a leftist.
[00:24:10.900 --> 00:24:13.422]  And it totally freaked the globalists out.
[00:24:14.543 --> 00:24:23.630]  And now they gave you COVID-19, and they say conservatives aren't allowed to have demonstrations, but the left and the communists, they can go out and burn and attack and do what they want.
[00:24:23.671 --> 00:24:27.173]  So, no one hurt, incredibly safe, the left scared to death.
[00:24:27.774 --> 00:24:32.298]  Meanwhile, there are so many stabbings and shootings and murders every day.
[00:24:33.228 --> 00:24:39.592]  Of white people at the hands of whites and blacks saying they deserve it because they're white.
[00:24:40.492 --> 00:24:42.574]  And there are black people that are Trump supporters being murdered.
[00:24:42.814 --> 00:24:47.757]  Another man shot multiple times for holding up a Trump sign in Milwaukee and trying to talk to crowds of people.
[00:24:48.417 --> 00:24:56.042]  And folks thought Trump was so bad, they went and they killed him and left us in the news saying, bring in the federal troops, we're ready to kill you!
[00:24:57.708 --> 00:25:06.456]  And there are people on Twitter saying, we're gonna get Jones, bounties for Jones, publicly, who are real people, even though that's soliciting murder.
[00:25:07.437 --> 00:25:08.237]  Murder for hire.
[00:25:08.698 --> 00:25:15.844]  They're making their move, and the Democrat Deep State is saying, you don't submit to us, we'll put you in prison.
[00:25:16.004 --> 00:25:24.432]  When we remove Trump by force, anybody stands with him, including cabinet members, and shows his side, you will be put in prison!
