[00:00:00.250 --> 00:00:05.830]  President Trump, you were about to be approached by Joe Biden and his new COVID-19 commission.
[00:05:37.062 --> 00:05:38.303]  We won't destroy your legacy.
[00:05:39.124 --> 00:05:43.227]  We won't blame you for COVID, but you've got to admit you were wrong.
[00:05:44.082 --> 00:05:48.044]  And you've got to do what Biden says and you've got to let us take control.
[00:05:48.664 --> 00:05:51.305]  President Trump, the mainstream media has choreographed all of this.
[00:05:51.585 --> 00:05:53.526]  They have fraudulently blamed you for COVID-19.
[00:05:53.806 --> 00:05:55.147]  The American people do not believe it.
[00:05:55.187 --> 00:05:55.807]  They know the truth.
[00:05:56.067 --> 00:05:57.168]  They elected you overwhelmingly.
[00:05:57.568 --> 00:06:01.170]  And so this new fifth coup of election fraud is designed to take you out.
[00:06:01.830 --> 00:06:10.734]  If you comply, if you quote, take the olive branch, the neocons and Mitt Romney and George W. Bush and say, okay, I'll follow the recommendations of president-elect
[00:06:11.054 --> 00:06:13.555]  Mr. President, I know you care about America.
[00:06:27.979 --> 00:06:34.481]  And I know you stood against their four previous coups, but now this fifth coup needs your mental will to say no.
[00:06:34.842 --> 00:06:45.565]  Hold the course and let all the election fraud now being documented come out so the American people have a chance to rally behind you and to come to your aid and their own aid and save the Republic.
[00:06:45.866 --> 00:06:47.326]  We are waiting for leadership.
[00:06:47.706 --> 00:06:49.707]  We need the address from the Oval Office.
[00:06:49.947 --> 00:06:52.548]  We need you to reconfirm in the face of Fox News,
[00:06:52.790 --> 00:06:59.694]  And the other sellout traders, that you are never going to concede to fraud and sell out the election system in this country.
[00:07:00.034 --> 00:07:02.336]  We know you're our champion and we stand behind you.
[00:07:02.556 --> 00:07:13.062]  President Trump, you have rightfully pointed out the statistics from the UN itself, that the lockdown was too intense, so strong, and has already caused millions to die and tens of millions are on the verge of starvation.
[00:07:13.642 --> 00:07:21.467]  You have come out and pointed out that you can never defeat a virus by staying locked up in your house, and that only herd immunity and therapeutics is the answer.
[00:07:22.270 --> 00:07:43.683]  And now, President Trump, we have the head of the UK military, their secretary of defense, their chairman of their joint chiefs of their defense staff, General Sir Nick Carter, coming out and saying this lockdown could trigger World War III, and there's an extreme danger of it, and that another lockdown is not needed.
[00:07:44.329 --> 00:07:53.435]  Mr. President, we need you to point out the millions that are starving to death, the collapse of borders, and what this is doing to good governance around the world.
[00:07:53.816 --> 00:07:58.319]  The big megabanks, the big corporations, want to have a crisis to consolidate control.
[00:07:58.579 --> 00:07:59.880]  They want to destroy middle classes.
[00:08:00.260 --> 00:08:10.107]  You've been a champion of the middle classes, and we need you to come out in daily Oval Office announcements behind that resolute desk and be the true Commander-in-Chief.
[00:08:10.802 --> 00:08:16.044]  America is really concerned that you've only been seen two times since the election fraud of November 3rd.
[00:08:16.484 --> 00:08:22.526]  Only you can call out the people of America to support you and to peacefully stand against this tyranny.
[00:08:22.626 --> 00:08:26.068]  Now is the time for all good men and women to come to the aid of their country.
[00:08:26.248 --> 00:08:32.810]  For all of you watching, not just the White House and law enforcement and security agencies around the world, I also want to encourage you to remember
[00:08:33.171 --> 00:08:41.277]  Despite the fact that big tech censorship has basically silenced everyone else's voice, we're still on air at InfoWars.com forward slash show and Band.video.
[00:08:41.317 --> 00:08:50.224]  And we're going to be making major announcements later this evening about massive caravans from all corners of the United States descending on Washington, D.C.
[00:08:50.565 --> 00:08:54.968]  in the next few days led by InfoWars.com and more action we're about to take.
[00:08:55.448 --> 00:08:57.450]  Mr. President, we don't just have your back.
[00:08:57.870 --> 00:09:00.812]  We've got America's back and the cavalry is coming.
[00:09:08.271 --> 00:09:09.152]  The days of hell.
[00:09:10.512 --> 00:09:13.414]  The nightmare is here.
[00:09:13.434 --> 00:09:16.096]  79 days of hell has begun!
[00:09:16.656 --> 00:09:36.548]  Multinational corporations, the mainstream media apparatus, and social media tech giants are all now being deployed by the archaic, inbred, crooked establishment to interfere with the 2020 US elections, remove the populist champion of the people, Donald J. Trump,
[00:09:37.108 --> 00:09:46.819]  And install the decrepit, perverted, traitorous establishment puppet Joe Biden, along with rabid radical hag Kamala Harris.
[00:09:48.001 --> 00:09:55.109]  Keep your heads on a swivel and tune in to 79days.news for tomorrow's news today.
[00:09:57.464 --> 00:09:58.825]  79days.news.
[00:09:59.365 --> 00:10:02.086]  America's last stand.
[00:10:02.427 --> 00:10:03.707]  79days.news.
[00:10:04.267 --> 00:10:05.268]  DNA Force Plus.
[00:10:05.308 --> 00:10:09.510]  If you did one thing for your immune system, it would be get all the essential things.
[00:10:09.710 --> 00:10:11.951]  And that's the clean iodine, X2 or X3.
[00:10:12.051 --> 00:10:13.572]  That's the bio-true selenium.
[00:10:13.692 --> 00:10:15.152]  That is the vitamin D3.
[00:10:15.192 --> 00:10:17.033]  That is the C. That is the zinc.
[00:10:17.073 --> 00:10:18.694]  There's 13 vitamins and minerals that are essential.
[00:10:18.714 --> 00:10:19.234]  Without them, you die.
[00:10:19.314 --> 00:10:20.735]  And studies show you really need the other ones too.
[00:10:21.055 --> 00:10:22.256]  DNA Force goes beyond that.
[00:10:22.356 --> 00:10:33.723]  It helps get all that in the cells and out the cells with PQQ and CoQ10 of the highest quality sources with other ingredients that clean out the cells, that unclog them so all that stuff can get in.
[00:10:33.924 --> 00:10:34.944]  Viruses don't get in.
[00:10:34.984 --> 00:10:35.925]  The good stuff gets in.
[00:10:36.005 --> 00:10:40.088]  As the NIH website says, that if you have all the proper things, they can't replicate like they could.
[00:10:40.128 --> 00:10:42.709]  But I do this because it's essential, like oxygen, like water.
[00:10:51.015 --> 00:10:51.576]  We're good to go.
