[00:00:00.000 --> 00:00:23.280]  MUSIC PLAYS Thank you.
[00:11:13.570 --> 00:11:15.090]  And I will show you the federal filing.
[00:11:15.190 --> 00:11:22.029]  I will show you the quotes in Bloomberg where the U.S. trustee, the new one from the federal government, says, Jones is different.
[00:11:22.029 --> 00:11:23.289]  He doesn't own his name.
[00:11:23.289 --> 00:11:24.629]  He doesn't own his social media.
[00:11:25.559 --> 00:11:26.639]  Now, the courts have ruled.
[00:11:27.240 --> 00:11:28.940]  All the social media rules are clear.
[00:11:29.100 --> 00:11:31.279]  So is X. You have a personal account.
[00:11:31.279 --> 00:11:32.379]  You can't transfer it.
[00:11:32.419 --> 00:11:33.120]  You can't sell it.
[00:11:33.179 --> 00:11:33.679]  You can't do that.
[00:11:33.799 --> 00:11:40.320]  I got real Alex Jones back when Twitter was started, what, 2010 or whatever it was.
[00:11:41.460 --> 00:11:42.559]  Yeah, 2010.
[00:11:42.980 --> 00:11:45.419]  And it's always been my private thing that I put out stuff.
[00:11:45.559 --> 00:11:48.100]  And, of course, I link to stories and info wars, but it's everybody else.
[00:11:48.179 --> 00:11:48.679]  Go look at it.
[00:11:50.000 --> 00:11:50.860]  But they don't care.
[00:11:51.279 --> 00:11:55.980]  So the judge hasn't done this, but the trustee wanted to get more money at the sale.
[00:11:57.480 --> 00:12:01.320]  He just says in the filing, Alex Jones is different, doesn't cite any case law.
[00:12:01.539 --> 00:12:12.500]  He just says that we're going to sell his name and we're going to take over his social media, including real Alex Jones.
[00:12:13.059 --> 00:12:24.919]  Now, that's why within an hour of this breaking, ring, ring, ring, Big, high-powered, well-known lawyer for you-guess-who calls me and says, have you seen this?
[00:12:24.960 --> 00:12:25.480]  I said, no.
[00:12:25.720 --> 00:12:27.480]  And then, bing, bing, bing, my lawyers are calling.
[00:12:28.360 --> 00:12:32.879]  They'd already been interviewed by the news this morning and everything else, but they're good guys, but hadn't gotten around to calling me.
[00:12:34.059 --> 00:12:36.980]  And the call is, hey, do you need some more counsel?
[00:12:38.320 --> 00:12:46.740]  Because obviously, the folks here at X understand this is pointed at Elon Musk and all of you.
[00:12:48.639 --> 00:12:59.159]  So, back when they set the precedent to demonize me, lie about me, take me off everything, steal my identity, then misrepresent who I was, that was a test for everybody else.
[00:12:59.220 --> 00:13:01.299]  They later admitted that on MSNBC, CNN, and everywhere else.
[00:13:01.580 --> 00:13:02.340]  Played the clips many times.
[00:13:03.340 --> 00:13:04.940]  And they said it was never about money.
[00:13:08.039 --> 00:13:10.700]  So, they misrepresented what I said in the past.
[00:13:11.139 --> 00:13:15.299]  I only covered what the internet was doing and not believing in a mass shooting, which everybody's right to do.
[00:13:15.399 --> 00:13:16.379]  Didn't believe Jussie Smollett.
[00:13:18.269 --> 00:13:19.029]  I was attacked either.
[00:13:19.129 --> 00:13:19.929]  I was right about that.
[00:13:20.029 --> 00:13:21.169]  But you're allowed to be wrong.
[00:13:21.389 --> 00:13:23.889]  The point is, is that I wasn't the progenitor of that.
[00:13:24.029 --> 00:13:29.529]  They hired PR firms, later bragged about it, to run all these thousands of stories that I was attacking people and doing things I never did before they sued me.
[00:13:30.409 --> 00:13:31.309]  Then sued me.
[00:13:32.309 --> 00:13:34.730]  Had the judges find me guilty in default.
[00:13:35.850 --> 00:13:37.970]  For not giving them discovery, which none of that was true.
[00:13:38.070 --> 00:13:40.889]  There was no discovery of, what's your marketing plan on Sandy Hook?
[00:13:41.129 --> 00:13:42.529]  Marketing plan on news I cover?
[00:13:43.149 --> 00:13:44.070]  There is no plan.
[00:13:44.470 --> 00:13:47.330]  When we plug products and sponsors, it's 100% clear, here's a sponsor.
[00:13:47.649 --> 00:13:49.710]  When I covered a news article, nothing to do with a sponsor.
[00:13:51.730 --> 00:13:57.070]  So, the judges said, well, you didn't give us your marketing material, you're defaulted.
[00:13:57.269 --> 00:13:59.289]  Because it didn't exist, but that was their whole case.
[00:13:59.830 --> 00:14:01.409]  And I barely even talked about these people.
[00:14:01.549 --> 00:14:06.129]  They attached to my name years before And ran ads everywhere saying he's bullying.
[00:14:06.210 --> 00:14:07.110]  He's being mean right now.
[00:14:07.210 --> 00:14:07.690]  Give us money.
[00:14:07.970 --> 00:14:10.169]  They reportedly raised hundreds of millions of dollars off my name.
[00:14:10.769 --> 00:14:12.529]  And then said I was attached to them.
[00:14:13.090 --> 00:14:16.429]  And then had HBO TV movie cameras in both courts.
[00:14:16.549 --> 00:14:18.730]  And the judge said you can't say you're innocent.
[00:14:18.870 --> 00:14:20.409]  Here's a whole list of things or I'll throw you in jail.
[00:14:22.190 --> 00:14:30.529]  You saw all of that happen over and over and over again.
[00:14:31.860 --> 00:14:33.779]  So now this is bigger than just free speech.
[00:14:33.919 --> 00:14:51.620]  They have filed saying that if a prominent person has private social media under the new Alex Jones case, the federal government has, the Justice Department, that's who controls these trustees, that all of you can have your personal name taken.
[00:14:51.700 --> 00:14:56.820]  They say the name Alex Jones belongs to them in this filing that I will show you.
[00:14:59.580 --> 00:15:02.059]  And it's linked up on Exodus, linked to the Bloomberg article.
[00:15:02.419 --> 00:15:03.600]  Read it for yourself.
[00:15:04.440 --> 00:15:06.340]  They don't cite any law, nothing.
[00:15:06.500 --> 00:15:07.840]  Just, well, Alex Jones is different.
[00:15:08.700 --> 00:15:10.679]  13th Amendment doesn't apply to him.
[00:15:10.879 --> 00:15:11.159]  Read it.
[00:15:11.840 --> 00:15:13.179]  I will read it to you in a moment.
[00:15:13.259 --> 00:15:14.500]  I'll read the whole article and then show you the document.
[00:15:16.700 --> 00:15:20.759]  So, that's where we are right now.
[00:15:21.440 --> 00:15:23.740]  And people didn't really rally to my aid.
[00:15:25.139 --> 00:15:31.279]  When they did all this to me, going back starting eight, nine years ago, and the deplatforming six years ago.
[00:15:32.460 --> 00:15:33.820]  Since then, people figured it out.
[00:15:33.879 --> 00:15:37.200]  They figured out what I actually said and did and went, wow, this guy's been dead on.
[00:15:37.360 --> 00:15:38.320]  And that's another thing they've said.
[00:15:38.419 --> 00:15:40.500]  They said, anything you ever said in the past, we own it.
[00:15:40.559 --> 00:15:43.419]  We're going to take that off the internet because that stuff's beyond evergreen.
[00:15:43.620 --> 00:15:44.799]  It doesn't just stay powerful.
[00:15:44.899 --> 00:15:45.759]  It gets more powerful.
[00:15:45.899 --> 00:15:48.039]  It's ultra green, a term I've coined.
[00:15:50.210 --> 00:15:51.889]  Of course, I've always been free to air.
[00:15:52.190 --> 00:15:55.990]  It'd be like if you published a book and said anybody can publish it, it's free to the world.
[00:15:56.190 --> 00:15:59.889]  They couldn't later say that person's bankrupt and they own that book because the book was given freely.
[00:15:59.970 --> 00:16:09.490]  We have all the documents and letters I put out on the site 20 years ago, 10 years ago, because people wanted to air my stuff on local TV and stuff, and they demanded a letter saying this is free to air.
[00:16:09.629 --> 00:16:10.590]  Everybody can use this.
[00:16:11.330 --> 00:16:13.230]  This is owned by the world.
[00:16:13.409 --> 00:16:14.970]  So we're going to defeat them in court.
[00:16:15.070 --> 00:16:15.889]  That's just going to take funds.
[00:16:18.039 --> 00:16:21.340]  But they're acting like I'm Prince, who signed a 360 record deal.
[00:16:21.360 --> 00:16:24.220]  I think it was with Sony, owning his name, his likeness, everything.
[00:16:24.600 --> 00:16:26.720]  So he had to call himself the artist formerly known as Prince.
[00:16:26.840 --> 00:16:32.559]  They're trying to use entertainment law, which is the closest thing to slavery, 360 deals is what they're called, to apply it to me.
[00:16:32.940 --> 00:16:34.940]  I've never been in the entertainment business.
[00:16:35.039 --> 00:16:38.379]  I'm in the news and information and punditry and analysis and free speech.
[00:16:38.500 --> 00:16:40.240]  Free speech systems is the name of my company.
[00:16:42.360 --> 00:16:44.820]  So this is outrageous.
[00:16:44.820 --> 00:16:46.100]  It's extremely dangerous.
[00:16:50.199 --> 00:16:56.940]  And that's why I have announced the Alex Jones Network, AlexJones.network.
[00:16:57.399 --> 00:17:07.319]  Now, I've got folks that want me to work with them in Florida and in other areas, and big groups want to give me jobs, and that's all fine and dandy, and I appreciate that.
[00:17:07.359 --> 00:17:08.299]  But I have my crew.
[00:17:08.420 --> 00:17:09.559]  I live here in Austin.
[00:17:09.640 --> 00:17:10.619]  My parents live here.
[00:17:10.779 --> 00:17:12.160]  My four children live here.
[00:17:13.289 --> 00:17:17.549]  And in the interim, there's already been a backup studio for years.
[00:17:17.549 --> 00:17:18.490]  We're in that right now.
[00:17:18.789 --> 00:17:22.670]  There's other systems being set up right now that are more elaborate.
[00:17:22.849 --> 00:17:23.849]  I'll just leave it at that.
[00:17:26.490 --> 00:17:36.859]  And that is going to take the public supporting us and supporting our sponsors that aren't free speech and that aren't owned by these people So that we can do this.
[00:17:36.900 --> 00:17:40.039]  Just like when Tucker Carlson got fired, he created the Tucker Carlson Network.
[00:17:40.279 --> 00:17:54.240]  And I intend to keep my show going, the shows we have, and I intend with the folks we're going to work with, because I will work for other folks now, to expand in the face of the enemy because everything we've talked about is so...
[00:17:55.399 --> 00:17:57.660]  Credible now and is exploding everywhere.
[00:17:58.180 --> 00:18:00.720]  That's why they want everything I said in the past gone.
[00:18:01.099 --> 00:18:13.259]  That's why they're fighting like the devil to get it off air because the stuff I said 30 years ago, 20 years ago, 10 years ago, 5 years ago, a year ago, a month ago is all happening now and it's all going mega viral and they are in complete panic mode.
[00:18:15.040 --> 00:18:18.099]  Now, obviously, I'm not going to give up, so this is going to stride and affect them.
[00:18:18.519 --> 00:18:26.480]  It's going to blow up in their face, but they got big money and the Democratic Party and the CIA and the FBI on record running all this and the Justice Department, so they're not going to stop.
[00:18:26.660 --> 00:18:27.039]  Well, that's fine.
[00:18:27.059 --> 00:18:30.160]  We're not going to stop either, and you're not going to stop because you understand you're being targeted.
[00:18:31.240 --> 00:18:36.599]  But just like in World War II, 60% of the whole war happened in one city, Stalingrad.
[00:18:36.819 --> 00:18:37.200]  Look it up.
[00:18:37.869 --> 00:18:40.349]  20-plus million Germans got killed, 20-plus million Russians.
[00:18:41.029 --> 00:18:50.609]  More than half of them, upwards of 60%, and 90% of the war happened between Russia and Germany, look it up, happened in Stalingrad.
[00:18:50.710 --> 00:18:52.150]  That's where they decided to slug it out.
[00:18:52.410 --> 00:18:55.750]  That was where they decided to, boom, the hill to die on.
[00:18:56.549 --> 00:19:03.289]  The globalists have decided Trump is the hill to die on, they've decided I'm the hill to die on, and they've decided Elon Musk is the hill to die on.
[00:19:05.539 --> 00:19:08.380]  But I'm not Trump and I'm not Elon Musk.
[00:19:08.519 --> 00:19:11.079]  I don't have all these resources, though I do reach masses of people.
[00:19:11.299 --> 00:19:16.319]  So they think taking away a website or a shopping cart or something or some equipment isn't going to do anything to us.
[00:19:17.099 --> 00:19:18.680]  And they figured out that's not going to work.
[00:19:18.839 --> 00:19:21.740]  And they didn't ever want to settle for more money than we've ever made.
[00:19:22.299 --> 00:19:24.819]  And I told my lawyer, sure, settle for that giant number.
[00:19:24.859 --> 00:19:25.319]  They'll say no.
[00:19:26.690 --> 00:19:27.390]  And it's in the news.
[00:19:27.490 --> 00:19:30.609]  They came back and said, okay, 70 million.
[00:19:30.670 --> 00:19:31.589]  You want 70 million over 10 years?
[00:19:31.930 --> 00:19:33.349]  Oh, actually, we want 80 million.
[00:19:33.670 --> 00:19:36.230]  And we want you to agree to not talk about the Second Amendment.
[00:19:36.349 --> 00:19:37.029]  And I said, let me guess.
[00:19:37.069 --> 00:19:37.710]  There's a bigger list.
[00:19:37.809 --> 00:19:38.609]  Yeah, there's a bigger list.
[00:19:39.150 --> 00:19:44.710]  They said that in mediation, which you're not supposed to talk about, except then the lawyers told my lawyers that outside of mediation, so I can tell you about it.
[00:19:45.450 --> 00:19:46.589]  Imagine that scandal.
[00:19:47.710 --> 00:19:49.289]  Openly saying, we'll drop all this.
[00:19:49.809 --> 00:19:53.049]  What, do you want me to have a show on MSNBC? Maybe I can...
[00:19:54.289 --> 00:20:00.109]  Co-host with Rachel Maddow and tell you that there's more than two genders and that there's no X and Y chromosomes?
[00:20:00.369 --> 00:20:02.230]  Maybe I can support drag queen story time.
[00:20:02.329 --> 00:20:03.630]  Maybe I can support World War III with Russia.
[00:20:03.950 --> 00:20:05.769]  Maybe I can support the destruction of the dollar.
[00:20:05.890 --> 00:20:08.210]  Maybe I can support giant human trafficking and sex slavery.
[00:20:09.710 --> 00:20:10.109]  Nope.
[00:20:10.250 --> 00:20:10.589]  You know what?
[00:20:10.650 --> 00:20:12.450]  On second thought, hell no, never.
[00:20:13.869 --> 00:20:15.569]  So they also want to make it...
[00:20:17.529 --> 00:20:19.369]  Example out of me to scare other people.
[00:20:19.730 --> 00:20:21.769]  Because they think you're a bunch of cowards like they are.
[00:20:21.910 --> 00:20:22.950]  But instead, it's backfired.
[00:20:23.130 --> 00:20:26.170]  America was asleep to the global tyranny when they were bullying us.
[00:20:27.210 --> 00:20:30.930]  And now America's waking up and the bullying's just pissing people off.
[00:20:31.069 --> 00:20:32.630]  How's the bullying working on Elon Musk?
[00:20:32.769 --> 00:20:34.289]  How's the bullying work on Donald Trump?
[00:20:34.450 --> 00:20:36.529]  So you think you're going to get Alex Jones.
[00:20:36.630 --> 00:20:38.089]  Well, look at your bigger problems you got.
[00:20:38.549 --> 00:20:40.130]  I'm like a hundred foot Godzilla.
[00:20:40.569 --> 00:20:42.450]  Trump's like a ten thousand foot Godzilla.
[00:20:42.849 --> 00:20:43.670]  And globally...
[00:20:45.119 --> 00:20:46.980]  Elon Musk is a 20,000-foot Godzilla.
[00:20:48.140 --> 00:20:50.180]  Tucker Carlson's a 500-foot Godzilla.
[00:20:50.500 --> 00:20:54.680]  And there's all these other giant Godzillas forming against your new world order, destroying you.
[00:20:54.900 --> 00:20:55.759]  So good luck.
[00:20:56.039 --> 00:21:02.759]  But they've been trying to get me the hardest of anybody else in the media.
[00:21:04.519 --> 00:21:08.480]  They have been absolutely going for broke.
[00:21:09.710 --> 00:21:14.450]  With everything they've got, and they're just pissed they haven't hammered this one nail down in.
[00:21:14.609 --> 00:21:16.869]  So they see it as a tug-of-war.
[00:21:16.990 --> 00:21:20.430]  That's why you need to see it as a tug-of-war and share this live video.
[00:21:20.630 --> 00:21:21.950]  Share the report when we archive it.
[00:21:22.509 --> 00:21:26.150]  Share the backup X accounts and media organizations I'll be working with.
[00:21:26.369 --> 00:21:29.089]  I mean, don't they even get if they took real Alex Jones?
[00:21:29.210 --> 00:21:30.390]  It's in the terms of service.
[00:21:30.490 --> 00:21:31.910]  Elon Musk will shut it down like that.
[00:21:32.089 --> 00:21:33.210]  Well, they already know that.
[00:21:34.460 --> 00:21:40.920]  They want to set the precedent to take all of your social media accounts through lawfare.
[00:21:43.279 --> 00:21:44.359]  It's insane.
[00:21:47.619 --> 00:21:58.200]  Now also, I'm going to play a couple of video clips here.
[00:22:01.579 --> 00:22:08.960]  And then I'm going to come back and I'm going to break down all the news and information and read over the documents for you and get into the specifics here.
[00:22:10.160 --> 00:22:14.180]  But I cannot stress to you enough how real this is.
[00:22:14.279 --> 00:22:19.500]  Now, you notice I reported this a couple years ago and no one seemed to care.
[00:22:20.220 --> 00:22:28.279]  And then Biden issued an executive order and off that executive order, the Pentagon put out a policy paper saying they will police America and kill Americans.
[00:22:29.779 --> 00:22:33.619]  Now that's taken weeks since that new document was put out to actually become big news.
[00:22:33.700 --> 00:22:34.500]  It happened in September.
[00:22:35.960 --> 00:22:38.920]  But it's finally there and it's in the documents and people are blown away.
[00:22:38.980 --> 00:22:40.160]  I got a clip of Ron Paul on that.
[00:22:40.660 --> 00:22:42.980]  But that's what I've been telling you forever.
[00:22:43.680 --> 00:22:52.140]  I've been telling you for decades about atrazine, the second most used herbicide that is literally sterilizing people in mass and bending gender.
[00:22:53.809 --> 00:22:55.150]  And it's all now admitted.
[00:22:55.630 --> 00:23:00.309]  The FDA came out a month ago and said, you know, fluoride causes brain damage and we should get out of the water.
[00:23:00.410 --> 00:23:00.869]  We were wrong.
[00:23:01.390 --> 00:23:02.990]  Federal judge says it stays in the water.
[00:23:05.250 --> 00:23:06.569]  And they do this over and over again.
[00:23:06.650 --> 00:23:12.289]  So every subject that other people knew about and were covering too and writing books about and I was interviewing them all.
[00:23:12.690 --> 00:23:15.630]  But my show reached the most people the first.
[00:23:16.390 --> 00:23:18.109]  We popularized reality.
[00:23:18.269 --> 00:23:22.150]  We exposed the globalist master plan, death cult for world government depopulation, all of it.
[00:23:23.140 --> 00:23:29.920]  And they are fundamentally pissed at me going and protesting them at Bilderberg and covering them and ferreting out info and exposing their operations.
[00:23:30.900 --> 00:23:38.500]  And so if you don't back the champions, and I'm not trying to say I'm some perfect guy, but I am a champion of liberty.
[00:23:38.640 --> 00:23:43.000]  I'm seen as a folk hero by people that love freedom, and it's growing all over the world.
[00:23:43.299 --> 00:23:46.380]  And the enemy knows that, so they need to destroy me.
[00:23:47.759 --> 00:23:49.400]  They need to harass my family.
[00:23:49.579 --> 00:23:51.140]  They need to sue my parents.
[00:23:52.019 --> 00:23:52.880]  It's been incredible.
[00:23:53.099 --> 00:23:55.539]  But that only pissed my family off and told me to fight even harder.
[00:23:57.579 --> 00:24:01.500]  So, I'm going to go over all of this.
[00:24:02.980 --> 00:24:05.000]  But just think about mainstream headlines.
[00:24:05.119 --> 00:24:07.539]  U.S. military now authorized to kill Americans on U.S. soil.
[00:24:07.640 --> 00:24:09.039]  And it's not Trump getting ready to do it.
[00:24:09.099 --> 00:24:10.380]  It's the Democrats preparing it.
[00:24:10.700 --> 00:24:14.900]  While they say Trump, last night, Kamala said, is preparing to use the military on the American people.
[00:24:15.700 --> 00:24:18.339]  Well, if they get power and keep control, they will do that.
[00:24:18.519 --> 00:24:20.880]  They know Trump isn't going to do that, so they're saying he is.
[00:24:21.099 --> 00:24:24.839]  Whatever they say Trump's going to do or I'm going to do, they're going to do.
[00:24:25.640 --> 00:24:29.539]  These are real villains, ladies and gentlemen.
[00:24:31.200 --> 00:24:34.519]  And they're going for broke and they're committed to what they're going to do and they'll do anything.
[00:24:34.700 --> 00:24:40.380]  The Democratic Party is now the party of World War III, the party of human trafficking, the party of sex slavery, the children.
[00:24:43.019 --> 00:24:49.019]  And They literally counter my lawyer's arguments that are crystal clear and 100% dead on.
[00:24:49.319 --> 00:24:50.920]  We went and looked at all the case law.
[00:24:51.480 --> 00:25:00.259]  That we get rid of the 13th Amendment to take somebody's likeness and name and their private social media and do that.
[00:25:00.400 --> 00:25:04.180]  But they're in the article saying Alex Jones and in the federal filing is different.
[00:25:04.720 --> 00:25:08.019]  With him, his name belongs to us.
[00:25:08.200 --> 00:25:08.960]  It's a commodity.
[00:25:13.470 --> 00:25:27.240]  So, that's what they're doing and they want to use these AI bot systems they have that have been around forever to be able to go out and expunge everything of me off the internet so that they can claim Ownership of it and try to stop you.
[00:25:27.380 --> 00:25:40.259]  Remember what Drudge came like 10 years ago on air, nine years ago, and said he met with Clarence Thomas and Clarence Thomas told him he'd been in the meetings and the feds were telling him then, oh, we're going to use copyright law where if you even quote an article or link to it, we'll shut you down.
[00:25:40.480 --> 00:25:45.160]  Well, that never got done, so now they're just going to say, well, we're just going to go out and own your likeness.
[00:25:46.660 --> 00:25:54.259]  That's why the Democratic Party spent over $70 million the last six years suing me and doing all this crap and all this insane stuff.
[00:25:56.359 --> 00:26:08.420]  So, we're live right now, and I'm here, and on the 13th, the bad guys are trying to buy InfoWars, and they're saying they're going to shut it down and do all this harassment and stalking of me and the rest of it.
[00:26:09.299 --> 00:26:13.140]  Regardless of whatever happens with that, I intend...
[00:26:14.059 --> 00:26:15.859]  To stay on the air one way or another.
[00:26:16.000 --> 00:26:25.460]  But this attack against me is just a broadside attack on all of you and is a harbinger, and I'm a canary in the coal mine, of the larger things they want to do.
[00:26:25.559 --> 00:26:41.000]  Hell, Hillary's on TV twice the last month, and John Kerry and all of them, Eric Schmidt of Google, I mean, they're all there saying, we want to use UN troops and NATO to censor Americans, and we want to shut everybody down and put them in prison and put people in camps during the next...
[00:26:42.940 --> 00:26:45.759]  Fake pandemic if they criticize our response.
[00:26:45.980 --> 00:26:47.640]  I mean, these are real clips we've played.
[00:26:48.220 --> 00:26:57.960]  This is the normalization of serious, hardcore, totalitarian garbage, and they know I've been the tip of the spear.
[00:26:58.099 --> 00:27:02.859]  Our guests, our crew, our reports, the films, the special reports, the articles.
[00:27:04.180 --> 00:27:05.299]  And they know.
[00:27:07.239 --> 00:27:10.420]  That InfoWars is an internet archive of this critical knowledge.
[00:27:10.599 --> 00:27:11.579]  So go to InfoWars.
[00:27:11.720 --> 00:27:12.240]  You still can.
[00:27:12.359 --> 00:27:12.880]  Download it.
[00:27:13.000 --> 00:27:13.380]  Mirror it.
[00:27:13.460 --> 00:27:13.759]  Save it.
[00:27:13.799 --> 00:27:14.940]  It always belongs to the people.
[00:27:15.079 --> 00:27:16.000]  It belongs to you.
[00:27:16.720 --> 00:27:17.220]  Celebrate it.
[00:27:17.500 --> 00:27:17.900]  Share it.
[00:27:18.039 --> 00:27:20.299]  And this will backfire on these tyrants and we will beat them.
[00:27:20.420 --> 00:27:29.240]  But this is a serious war of wills between these control freak sicko tyrants and the people of America and the world that just want to be free.
[00:27:31.349 --> 00:27:41.190]  They are turning the tyranny up to maximum because they're losing everywhere and populists are being elected all over the globe and the system is in absolute total panic mode.
[00:27:41.970 --> 00:27:50.150]  So I'm working with a lot of new folks and I'm working with folks that don't care if they get targeted and it's all done properly.
