[00:00:00.703 --> 00:00:01.484]  It's Monday night.
[00:09:21.978 --> 00:09:30.577]   Remember, don't worry, be happy, everything's going to be alright.
[00:09:30.575 --> 00:09:31.737]  Over and over, you know what we're told.
[00:09:32.218 --> 00:09:36.405]  Let the technocracy spy on you, let big tech control what you do.
[00:09:36.806 --> 00:09:39.470]  They will never abuse their power, they will never hurt you.
[00:09:40.359 --> 00:09:49.048]  And just as soon as they got their global AI grid in, they used Communist China as the beta test to sell the world on a dystopic martial law lockdown.
[00:09:49.669 --> 00:09:52.672]  When it all started eight, nine months ago, I told you it's never going to end.
[00:09:53.032 --> 00:09:54.394]  They're never going to turn all this power.
[00:09:54.414 --> 00:09:57.877]  They're going to make you have internal passports on your phones.
[00:09:58.962 --> 00:10:00.784]  Leave your house to have a job to travel.
[00:10:01.184 --> 00:10:05.448]  They're going to add more and more restrictions on of how you get that travel pass.
[00:10:05.548 --> 00:10:07.410]  Remember The Running Man?
[00:10:07.430 --> 00:10:11.894]  Schwarzenegger movie in the mid 80s written by Stephen King about a future police state?
[00:10:12.434 --> 00:10:14.396]  Watch that movie and then compare it to today.
[00:10:14.936 --> 00:10:23.224]  We are in the absolute brand, the absolute mold of a classic authoritarian dystopic nightmare.
[00:10:23.264 --> 00:10:25.086]  We've got to reject this now before it's cemented.
[00:10:26.127 --> 00:10:29.948]  You know, something very sad is happening, and it's very sad because it was all avoidable.
[00:10:30.088 --> 00:10:50.153]  Two and a half years ago, when Infowars got banned off of more than 60 major platforms, I warned everybody there was a precedent for the upcoming presidential election, and that they would continue to ratchet down and tighten down the censorship until, effectively, there was a total internet kill switch in place against conservatives, nationalists, and populists.
[00:10:50.273 --> 00:10:50.973]  And now that's happened.
[00:10:51.593 --> 00:11:05.159]  And then I told everybody that they would then start moving to arrest individuals that demonstrate and protest using a second COVID-19 lockdown, and that Trump needed to get out front and fully repudiate COVID-19 as basically an overblown hoax.
[00:11:05.679 --> 00:11:12.341]  He started to do that in the last few months of the campaign, but we have to understand that that's the pincer attack they're going to use.
[00:11:12.702 --> 00:11:20.565]  They're going to use Black Lives Matter and race war to stir up the American people and divide us, and they're going to use economic warfare, shutting down the economy, to try to control us.
[00:11:21.466 --> 00:11:25.686]  I hope people will listen now to my warnings because I'm on air telling people what's coming next.
