[00:00:00.737 --> 00:00:03.498]  I come to you with horrifying and grave news.
[00:06:57.602 --> 00:07:02.886]  They're now coming out and saying, President Trump is to blame for COVID-19, hoping he doesn't challenge it.
[00:07:03.286 --> 00:07:12.513]  Saying that if Trump doesn't give control 70 plus days before he leaves office to Joe Biden, he will be blamed for any future COVID deaths.
[00:07:13.113 --> 00:07:17.576]  Even if President Trump does that, they're going to turn around and say, see, he admits he's wrong.
[00:07:17.956 --> 00:07:19.578]  His previous response was bad.
[00:07:20.078 --> 00:07:20.839]  It's his fault.
[00:07:21.639 --> 00:07:30.244]   If he does turn over the administration, which no president's ever done, Months early, it sets an incredibly dangerous precedent as well.
[00:07:30.584 --> 00:07:42.008]  And now Trump will be signing his legacy on to the endless lockdown and the depression and the worldwide collapse that's being engineered by the globalists to consolidate power and control on record.
[00:07:42.508 --> 00:07:46.009]  And then they're still going to blame Trump and say he's the one to blame.
[00:07:46.450 --> 00:07:52.352]  The only path out of this is the hard core steel truth that will smash through their lies.
[00:07:53.112 --> 00:07:55.173]  And that's that Fauci and the U.N.
[00:07:55.193 --> 00:08:14.101]  when Bill Gates cooked this up, they released it, they created the fear, they got in the United States, they hyped it up, they exaggerated it, they created the hysteria, and now they intend to never turn loose of the weapon they released, and they're going to blame the populist president they launched it on for being the one that allowed it to take place.
[00:08:14.581 --> 00:08:19.544]  That is true destruction and inversion of the truth, and it must be rejected.
[00:08:19.804 --> 00:08:22.245]  Because this is a trillion times bigger than President Trump.
[00:08:22.745 --> 00:08:29.852]  This is about all of our lives and our future and stopping this medical big pharma tyranny takeover that's happening now.
[00:08:30.653 --> 00:08:31.433]  Don't believe me.
[00:08:31.534 --> 00:08:38.060]  Go to Infowars.com and read the quotes from Biden's new UN backed COVID-19 task force.
[00:08:38.520 --> 00:08:40.863]  And above his comments, I have my own comment.
[00:08:41.063 --> 00:08:41.884]  Here's what I had to say.
[00:08:42.648 --> 00:08:50.511]  If you want to have a martial law takeover, you want to use medical systems to do it because those are the most respected, and studies show people will submit to that more.
[00:08:51.312 --> 00:08:56.354]  Then you create a man-made virus that spreads very well, that's not very deadly, but that reinfects.
[00:08:57.414 --> 00:09:02.157]  And then you announce that no one can ever have their freedoms back until it's totally eradicated, and that you take the vaccine.
[00:09:02.737 --> 00:09:04.938]  Then they tell you, sorry, the vaccine's never going to work either.
[00:09:05.735 --> 00:09:09.336]   So you just gotta have restrictions of where you go and what you do forever
[00:09:09.336 --> 00:09:12.936]   with these apps that control and track your whole life, the social credit score.
[00:09:12.936 --> 00:09:15.895]   And that's the takeover. Then they start announcing, "But we are going to send
[00:09:15.895 --> 00:09:19.254]   contact tracers to your house and take you away if you don't submit
[00:09:19.254 --> 00:09:24.475]   to the medical protocols we're going to carry out that don't even protect you." That's a total takeover
[00:09:24.475 --> 00:09:28.774]   plan they can turn on and turn off for every election for total control.
[00:09:28.774 --> 00:09:35.705]   InfoWars has the biggest audiences right now we've ever had despite the censorship. And I'm not happy
[00:09:35.705 --> 00:09:36.455]  about that.
[00:09:36.455 --> 00:09:42.455]   People are tuned in because we predicted they'd steal the election from Trump.
[00:09:40.607 --> 00:09:42.228]  We predicted forced inoculation.
[00:09:42.529 --> 00:09:49.074]  We predicted contact tracers in films I made 13 years ago because we're going off the globalist's own plans.
[00:09:50.031 --> 00:09:53.815]  So President Trump, you must address from the Oval Office this fraud.
[00:09:54.236 --> 00:09:55.557]  You must take on Fauci.
[00:09:55.837 --> 00:09:57.019]  You must take on Gates.
[00:09:57.619 --> 00:10:00.242]  I know they're coming to you and saying, we won't blame you for the deaths.
[00:10:00.723 --> 00:10:03.946]  We'll protect your entire legacy if you roll over to us.
[00:10:04.027 --> 00:10:09.112]  But they want to destroy the American people's legacy and they're going to betray you.
[00:10:09.533 --> 00:10:11.535]  You know they've been lying about you for five years.
[00:10:11.915 --> 00:10:18.940]  You know they're frauds, and the only way out of this is for you to not concede and to expose these criminals now more than you've ever done.
[00:10:19.460 --> 00:10:22.442]  Only you can cut through the censorship and propaganda.
[00:10:23.023 --> 00:10:26.265]  Only you can awaken the sleeping giant, and now is the time.
[00:10:26.585 --> 00:10:32.789]  Because they are, again, in all these news articles announcing permanent lockdowns, forced inoculations, masks forever.
[00:10:33.089 --> 00:10:35.831]  We are going into such an authoritarian nightmare cult.
[00:10:36.412 --> 00:10:38.093]  Please, Mr. President, take action.
[00:10:38.613 --> 00:10:42.583]  The globalists could never take over America with an outside army or even foreign media.
[00:10:43.666 --> 00:10:46.232]  But by controlling big medicine and big pharma...
[00:10:47.472 --> 00:10:48.433]  And by controlling U.S.
[00:10:48.493 --> 00:11:00.722]  media, they are able to have us hide in our houses and stand down while our economy implodes, while our society falls apart, while millions die from not getting cancer treatment and heart treatment and other diseases treatment.
[00:11:01.062 --> 00:11:08.488]  The endgame is a guaranteed universal income under a social credit score where they can dictate every facet of your life.
[00:11:09.148 --> 00:11:10.790]  Everything I warned of isn't coming now.
[00:11:11.210 --> 00:11:11.610]  It's here.
[00:11:12.171 --> 00:11:14.653]  And this is the time to resist and the time to say no.
[00:11:15.293 --> 00:11:17.454]  We have justice and freedom and history on our hands.
[00:11:18.135 --> 00:11:19.776]  And if we don't submit, we will defeat this.
[00:11:20.396 --> 00:11:22.597]  If we submit, things only get worse from here.
[00:11:23.078 --> 00:11:24.398]  I'm Alex Jones thanking you all.
[00:11:24.679 --> 00:11:25.699]  God bless and good luck.
[00:11:25.798 --> 00:11:32.798]  Please take action.
[00:11:33.798 --> 00:11:38.487]   The miraculous properties of turmeric have been admired and even worshipped for thousands of years by ancient
[00:11:38.487 --> 00:11:45.798]  civilizations.
[00:11:45.836 --> 00:11:49.138]  But with modern science, we know why turmeric is so popular.
[00:11:49.579 --> 00:11:56.183]  Its antioxidant effect, its anti-inflammatory effect, everything it does is simply amazing.
[00:11:56.584 --> 00:12:00.066]  And most turmerics out there are simply food products.
[00:12:00.106 --> 00:12:06.150]  They're 3-5% curcuminoid, but we have body's ultimate turmeric formula.
[00:12:07.110 --> 00:12:10.711]  with a 95% curcuminoid level.
[00:12:10.711 --> 00:12:15.670]   And we have other organic products in there that accelerate it and bring it into the cells of the body.
[00:12:15.670 --> 00:12:16.950]  It's been sold out for months.
[00:12:16.950 --> 00:12:17.789]  It's back in stock.
[00:12:17.789 --> 00:12:25.470]   And despite that, Body's Ultimate Turmeric Formula at infowarsstore.com is 50% off with free shipping
[00:12:25.470 --> 00:12:28.470]  and triple patreon points at infowarsstore.com.
[00:12:28.470 --> 00:12:31.230]  It's Body's Ultimate Turmeric Formula.
[00:12:31.230 --> 00:12:36.551]   If you haven't tried it, learn why it's got thousands of five-star reviews at infowarsstore.com.
[00:12:36.551 --> 00:12:39.189]  And you can't lose, it funds the Info War.
[00:12:39.189 --> 00:12:44.470]   I get asked all the time by listeners and by the media, what am I most proud of when it comes to the show?
[00:12:44.432 --> 00:13:01.464]  And it's the fact that InfoWars, more than 25 years ago, doing basic research with what the Club of Rome and the CFR and others were actually saying, developed the hypothesis that communist China had been set up to take our jobs and transfer them to China and then make us economically destitute and position us into debt.
[00:13:02.004 --> 00:13:03.245]  Well, now China owns the debt.
[00:13:03.285 --> 00:13:06.047]  Now China owns Hollywood, all the one-sided trading deals.
[00:13:06.767 --> 00:13:10.929]  It turns out our analysis was absolutely dead on, but again, it wasn't that hard.
[00:13:11.409 --> 00:13:16.971]  The CFR and others admitted what they were doing, but still others didn't want to focus on that issue.
[00:13:17.031 --> 00:13:21.093]  We did, and you focused on it by supporting us and InfoWars.
[00:13:21.553 --> 00:13:32.298]  So when you go to InfoWarsStore.com and get all the great supplements, books, t-shirts, films, water filtration, air filtration, all of it, you're funding the organization that literally helped make up the world of what's really happening.
[00:13:32.618 --> 00:13:34.158]  So that's a big accomplishment for all of you.
[00:13:34.418 --> 00:13:35.439]  I want to thank you for your support.
