[00:00:02.016 --> 00:00:03.437]  Sorry folks, park's closed.
[00:02:57.669 --> 00:02:58.910]  It's only a 100-yard walk.
[00:02:59.450 --> 00:03:00.371]  I'm going to be out there.
[00:03:00.391 --> 00:03:01.972]  I don't care what the city says.
[00:03:02.072 --> 00:03:04.072]  I'm gonna pay for a professional food truck!
[00:03:04.072 --> 00:03:06.072]  Yeah!
[00:03:06.072 --> 00:03:11.072]  Here's to freedom!
[00:03:10.938 --> 00:03:17.938]  And here's to all of you out here in defiance to the tyrant.
[00:03:17.938 --> 00:03:20.938]  Salute you all.
[00:03:20.938 --> 00:03:22.938]  You're amazing.
[00:03:22.938 --> 00:03:27.938]  You guys are badass, don't thank me.
[00:03:28.271 --> 00:03:29.913]  Great job kicking ass, folks!
[00:03:33.957 --> 00:03:34.497]  Actually bought this.
[00:03:34.517 --> 00:03:36.359]  It blocks UHS frequencies.
[00:03:36.579 --> 00:03:41.364]  Snowden and others taught us how mobile phones are constantly spying on us.
[00:03:41.824 --> 00:03:48.090]  Not just tracking and recording our GPS location, but recording audio and video as well.
[00:03:48.691 --> 00:03:50.332]  With or without a battery.
[00:03:51.113 --> 00:03:56.497]  Now, with the InfoWars Privacy Pouch, you can go dark wherever you choose.
[00:03:57.198 --> 00:03:57.658]  Excellent.
[00:03:58.059 --> 00:04:03.203]  Now I have my own compact Faraday cage I can take wherever I want.
[00:04:03.663 --> 00:04:07.606]  And you can, too, at InfoWarStore.com.
[00:04:08.267 --> 00:04:18.335]  Government agencies, identity thieves, tech giants, and now contact tracers are all tracking your every move through your mobile phone.
[00:04:19.015 --> 00:04:23.059]  Now you can have the power to easily cut them off and go dark.
[00:04:23.940 --> 00:04:28.964]  Support the InfoWar and get your InfoWars privacy pouch today.
[00:04:29.645 --> 00:04:40.645]   Infowarsstore.com The answer to 1984 is 1776
[00:04:40.645 --> 00:04:53.225]   Infowars has been banned (upbeat music)
[00:04:53.060 --> 00:04:53.660]  Arrested.
[00:04:56.982 --> 00:04:58.522]  Attacked and threatened.
[00:04:59.743 --> 00:05:01.444]  Because we are effective.
[00:05:01.484 --> 00:05:04.525]  The Great Awakening is here.
[00:05:04.885 --> 00:05:06.586]  Go to Banned.Video.
[00:05:07.186 --> 00:05:09.367]  Download the videos and share.
[00:05:11.288 --> 00:05:20.421]   Support the Information War at InfoWarsStore.com And never give up the fight!
[00:05:20.541 --> 00:05:21.281]  InfoWars.com
