[00:00:00.000 --> 00:00:10.000]  [SOUND]
[00:05:06.829 --> 00:05:10.211]  And will not call out the National Guard so the police are overwhelmed.
[00:05:10.231 --> 00:05:13.493]  This is an attempt to further stall the economy and bring down the country.
[00:05:13.873 --> 00:05:16.475]  And this will hurt the most disadvantaged Americans the most.
[00:05:16.775 --> 00:05:20.757]  And this is a diabolical crime that absolutely must be punished.
[00:05:21.337 --> 00:05:25.159]  The Justice Department has announced its opening criminal investigation of who's behind Antifa.
[00:05:25.680 --> 00:05:27.241]  Soros and Alexander Soros.
[00:05:27.721 --> 00:05:29.822]  And these organizations they fund like refusefascism.org.
[00:05:31.623 --> 00:05:33.704]  Are the groups that run this.
[00:05:34.124 --> 00:05:35.845]  We have all the documents.
[00:05:36.246 --> 00:05:37.646]  We have all the proof.
[00:05:37.926 --> 00:05:39.407]  Friends of Democracy.
[00:05:40.188 --> 00:05:46.911]  These are the organizations that operated under Obama and the Clintons with impunity and are engaging in a massive criminal takeover.
[00:05:47.111 --> 00:05:53.414]  But we've got General Mattis and George W. Bush and all and George Will that said he didn't care about the primaries for Trump.
[00:05:53.434 --> 00:05:56.736]  That it should be overwritten because the plurality of the people didn't matter.
[00:05:56.916 --> 00:05:58.177]  These are monsters.
[00:05:58.777 --> 00:06:02.381]  And they're launching this attack on you and your rights and your freedom.
[00:06:03.262 --> 00:06:04.483]  And they're deadly dangerous.
[00:06:04.763 --> 00:06:05.944]  So see the chessboard.
[00:06:06.545 --> 00:06:08.307]  And see that they're using you as a pawn.
[00:06:09.068 --> 00:06:10.389]  And decide not to play their game.
[00:06:10.669 --> 00:06:12.531]  Expose the entire game.
[00:06:13.072 --> 00:06:13.953]  With the truth.
[00:06:14.553 --> 00:06:15.414]  With the justice.
[00:06:15.815 --> 00:06:16.435]  With freedom.
[00:06:17.256 --> 00:06:22.059]  But I just want listeners to know and I want you to understand that without your support we're not going to be here.
[00:06:22.539 --> 00:06:26.881]  And we are running a sale that absolutely will end on Sunday and then it's over.
[00:06:27.602 --> 00:06:30.703]  It is the Flash 60% Off Sale that I launched on Monday.
[00:06:31.164 --> 00:06:40.469]  It's the biggest sale, not just of this year, but arguably the biggest sale we've ever done because across the board all of these amazing supplements.
[00:06:41.369 --> 00:06:44.333]  Are 60% off right now.
[00:06:44.853 --> 00:06:57.288]  Supermail Vitality, Knockout Sleep Support, Brain Force, Biodry Selenium, Chill Force, Ultimate Krill Oil, Emerge Essentials, Hand Sanitizer, Organic Oils, DNA Force Plus, Living Defense Plus, Turbo Force.
[00:06:57.608 --> 00:06:59.610]  Many of those we've never had at 60% off.
[00:07:01.252 --> 00:07:02.753]  That's how we fund this operation.
[00:07:02.973 --> 00:07:03.853]  They're great products.
[00:07:03.893 --> 00:07:05.194]  Get some t-shirts while you're at it.
[00:07:05.494 --> 00:07:07.455]  It's all there at infowarestore.com.
[00:07:07.675 --> 00:07:10.917]  And that's how you fund the Second American Revolution and get high quality products.
[00:07:11.117 --> 00:07:12.938]  So thank you all for your support.
[00:07:13.038 --> 00:07:14.058]  Please take action now.
[00:07:14.078 --> 00:07:17.320]  Oh, no, no, no.
[00:07:17.380 --> 00:07:18.460]  I don't even know what this is.
[00:07:18.520 --> 00:07:19.141]  How did you get here?
[00:07:20.541 --> 00:07:22.622]  I just caught you, American!
[00:07:22.923 --> 00:07:25.004]  You visited Bandar Video!
[00:07:25.924 --> 00:07:29.146]  Oh, Mark Zuckerberg and others angry at you!
[00:07:29.727 --> 00:07:35.270]  Do what CNN says and do not visit Bandar Video, or I have to hurt you!
[00:07:35.410 --> 00:07:39.093]  Cut little.
[00:07:39.473 --> 00:07:42.715]  It comes from China.
