[00:00:00.000 --> 00:00:08.939]  [outro music]
[00:18:05.820 --> 00:18:12.402]  We've got our nose to the grindstone when it comes to understanding what's unfolding in society and civilization.
[00:18:13.922 --> 00:18:15.984]  But we really are at war with Communist China.
[00:18:16.044 --> 00:18:23.090]  The globalists set up one-sided trade deals the last 50 years to transfer basically 90% of our industry to China.
[00:18:23.731 --> 00:18:24.531]  Same thing with Europe.
[00:18:24.832 --> 00:18:42.707]   So that the political elites that had deals with the Communist Party Could dictate what companies could flourish and what companies couldn't because if you don't have access to the communist Chinese with no environmental standards, no workers comp, slave labor, stealing all of our intellectual properties.
[00:18:43.247 --> 00:18:51.613]  Well, that's like a totally stilted playing field where you're playing football at a 90 degree angle uphill.
[00:18:51.653 --> 00:18:52.194]  You can't win.
[00:18:54.355 --> 00:18:58.538]  And so now we finally got a president in who has totally won the trade war.
[00:18:58.779 --> 00:19:00.680]  So they launched COVID-19 to shut things down.
[00:19:00.720 --> 00:19:02.221]  China was only shut for a month and a half.
[00:19:02.461 --> 00:19:03.462]  We've been shut for three months.
[00:19:04.003 --> 00:19:05.724]  All this is designed to shut us down.
[00:19:06.084 --> 00:19:15.672]  Communist China has been caught running Twitter, literally running all this anti-America, anti-gun, anti-Christian, anti-family, anti-reopen propaganda.
[00:19:17.011 --> 00:19:25.462]  And I've just kept saying, we better just declare we're at war in a 21st century system, economically, culturally, and now militarily with China.
[00:19:25.802 --> 00:19:27.224]  They've taken over the South China Sea.
[00:19:27.264 --> 00:19:28.986]  They're attacking U.S.
[00:19:29.046 --> 00:19:29.527]  embassies.
[00:19:29.627 --> 00:19:31.029]  I mean, we're at war.
[00:19:31.149 --> 00:19:31.810]  They started it.
[00:19:32.050 --> 00:19:33.031]  No one wants the war.
[00:19:33.331 --> 00:19:34.933]  It's like Hitler back in the late 1930s.
[00:19:36.846 --> 00:19:45.931]  It took the West a couple years, when he was invading all these countries, to figure out that appeasement, like Neville Chamberlain was doing, was not going to fix the problem.
[00:19:46.591 --> 00:19:49.252]  So let me just give you the announcement, like I've been giving you for about a year.
[00:19:49.713 --> 00:19:51.473]  We're at war with Communist China.
[00:19:53.054 --> 00:19:56.216]  And they've got infiltrators and collaborators throughout this government.
[00:19:57.056 --> 00:20:06.501]   And they are, when you go and look at the big six movie houses, Production houses in Hollywood, four are dominated by Chinese money and run by them.
[00:20:06.521 --> 00:20:08.121]  The other two are almost bought up by them.
[00:20:10.102 --> 00:20:14.042]  By the time Trump got in, there was like American bandstand was left.
[00:20:14.182 --> 00:20:15.142]  And that doesn't sound big.
[00:20:15.162 --> 00:20:17.523]  It was actually in the top 10 and Trump blocked that.
[00:20:18.483 --> 00:20:18.763]  So.
[00:20:21.524 --> 00:20:28.585]  We are literally at war with the chai comms, the globalists, Hollywood, the controlled corporate media, the communist EU.
[00:20:30.208 --> 00:20:31.649]  And all of their idiot cohorts.
[00:20:33.270 --> 00:20:42.557]  And Trump has announced that they're arresting and expelling tens of thousands of Chinese known agents, university heads, faculty.
[00:20:44.018 --> 00:20:46.841]  Trump bans Chinese students, researchers from entering the U.S.
[00:20:47.301 --> 00:20:48.162]  That's New York Post.
[00:20:48.782 --> 00:20:50.423]  Trump hammers China over Hong Kong.
[00:20:50.463 --> 00:20:52.765]  China responds with, what about Minneapolis?
[00:20:53.325 --> 00:20:57.749]  Well, in Hong Kong, they have a deal that you don't take it over for another 26 years or whatever.
[00:20:59.206 --> 00:21:02.329]  You come in with secret police and burn down newspapers and kill people.
[00:21:03.209 --> 00:21:13.618]  In Minnesota, a bad cop that knew the guy who was a bouncer together, and who knew the other cop, and all this weird stuff, gets on his neck, kills him, and then that's Trump and America's fault?
[00:21:13.839 --> 00:21:14.899]  So let's burn everything down?
[00:21:15.780 --> 00:21:17.181]  And the cop's been arrested and charged?
[00:21:18.462 --> 00:21:19.664]  That's not Communist China.
[00:21:20.024 --> 00:21:21.325]  Guys, pull up Communist China.
[00:21:21.665 --> 00:21:22.886]  Rolls troops and tanks.
[00:21:22.906 --> 00:21:25.749]  Remember just four months ago, our crew was in Hong Kong.
[00:21:27.270 --> 00:21:31.722]  Hundreds of thousands of troops, tanks, shooting women and men.
[00:21:33.727 --> 00:21:35.833]  Chinese soldiers just shooting protesters.
[00:21:38.564 --> 00:21:40.065]  It'd be like Ken stayed on steroids.
[00:21:40.085 --> 00:21:40.545]  We did that.
[00:21:40.925 --> 00:21:48.528]  This is China taking over Hong Kong and threatening to invade Taiwan and the Washington Post.
[00:21:49.428 --> 00:21:50.669]  Oh, Trump's bad.
[00:21:51.109 --> 00:21:54.671]  China's allowed to put three million Uyghurs in slave camps.
[00:21:55.431 --> 00:22:02.794]  China's allowed to invade and shoot women in the chest and men in the chest in China because, oh, a cop did something wrong in Minnesota.
[00:22:04.554 --> 00:22:06.215]  That's what we're talking about.
[00:22:06.255 --> 00:22:08.815]  And you look at how China funds and controls Hollywood.
[00:22:09.215 --> 00:22:14.897]  Every time I see some show about whites being racist and race war, I go, let me see who the movie production house is.
[00:22:15.277 --> 00:22:20.819]  And it'll be produced by a Chinese firm put out through a US company owned by Chinese.
[00:22:21.959 --> 00:22:24.520]  The Chinese are funding race war.
[00:22:24.900 --> 00:22:28.642]  Every channel you turn on, they're funding CNN.
[00:22:28.682 --> 00:22:31.783]  They're funding Twitter on record with massive advertisement.
[00:22:32.003 --> 00:22:35.582]   And it's not called Campaign finance violation.
[00:22:35.602 --> 00:22:37.403]  It's not called espionage.
[00:22:37.443 --> 00:22:41.344]  It's just, oh, well, Communist China is allowed to say and do whatever they want.
[00:22:41.664 --> 00:22:42.524]  So is Iran.
[00:22:42.584 --> 00:22:43.344]  So is everybody else.
[00:22:44.644 --> 00:22:51.966]  But meanwhile, I've learned there's a frontline special coming out in September where they say, I'm a Russian agent.
[00:22:53.166 --> 00:22:55.607]  I've never gotten a dime from the Russians, never been to Russia.
[00:22:58.775 --> 00:23:01.298]  And I'm the Russian agent because I love America.
[00:23:02.159 --> 00:23:07.038]   When you're globalists that have sold your country out, and you know that the people are waking up that you're traitors,
[00:23:07.038 --> 00:23:13.838]  you then point at the patriots and say they're the spies.
[00:23:13.838 --> 00:23:18.399]  Unbelievable.
[00:23:18.399 --> 00:23:27.049]   In every old movie where you catch the spy, you've got him, and as soon as you catch him, they go, "No,
[00:23:27.049 --> 00:23:27.759]  he's the spy!"
[00:23:28.235 --> 00:23:30.075]  Whoever catches the spy, he's the spy.
[00:23:30.496 --> 00:23:31.376]  So who's the spy?
[00:23:31.416 --> 00:23:32.196]  Is it CNN?
[00:23:32.857 --> 00:23:33.857]  Is it MSNBC?
[00:23:33.917 --> 00:23:34.818]  Is it Bill Clinton?
[00:23:34.878 --> 00:23:35.458]  Is it Hillary?
[00:23:35.818 --> 00:23:36.879]  Is it David Rockefeller?
[00:23:36.919 --> 00:23:37.859]  Is it the New World Order?
[00:23:38.299 --> 00:23:39.300]  Is it Bill Gates?
[00:23:39.400 --> 00:23:40.180]  Or is it me?
[00:23:42.361 --> 00:23:43.842]  Who do you think's the Russian, folks?
[00:23:44.102 --> 00:23:45.382]  Who do you think's the Chai Kom?
[00:23:45.582 --> 00:23:46.103]  Who do you think?
[00:23:46.223 --> 00:23:46.983]  No, no, no.
[00:23:47.103 --> 00:23:48.184]  Everybody knows it's not me.
[00:23:48.244 --> 00:23:48.784]  It's not Trump.
[00:23:50.748 --> 00:23:53.911]  In fact, the globalists think we're mentally ill because we're loyal to our country.
[00:23:57.654 --> 00:23:59.616]  And the Russians were always the distraction.
[00:23:59.856 --> 00:24:04.240]  The very same globalists took control of Russia and ran it in the ground and killed the Christians and enslaved them.
[00:24:04.860 --> 00:24:09.625]  And the real globalists went to China and set it up because it was never Christian.
[00:24:10.686 --> 00:24:13.708]  And it's been the engine of evil the entire time.
[00:24:13.808 --> 00:24:16.471]  And now finally, America knows who did it.
[00:24:16.951 --> 00:24:18.412]  America knows who was behind it.
[00:24:18.692 --> 00:24:25.297]  So no matter how many riots, or even if they kill Trump, or even if they kill me, or even if they kill you, they're not going to stop the truth coming out.
[00:24:25.518 --> 00:24:32.243]  So we've hit a point today, really yesterday, I'd say Friday, May 29th, is a demarcation line.
[00:24:33.595 --> 00:24:36.696]  Where we hit the curve where we're never going back.
[00:24:36.756 --> 00:24:39.637]  We broke with the New World Order and we've hit that point.
[00:24:39.757 --> 00:24:41.398]  And I can just announce to them, you're done.
[00:24:42.078 --> 00:24:42.679]  You've lost.
[00:24:43.239 --> 00:24:45.160]  It's like Hitler, 1942.
[00:24:45.860 --> 00:24:49.621]  He still thought he could win, but anybody that is real math knew he was going to lose.
[00:24:49.982 --> 00:24:53.743]  Might take a while, but you're losing and you've lost.
[00:24:55.604 --> 00:24:57.545]  Because the initiative is on our side.
[00:24:57.905 --> 00:24:59.385]  We don't want to conquer anybody.
[00:25:00.906 --> 00:25:03.047]  We want to kick your ass out of our country.
[00:25:04.045 --> 00:25:04.946]  And it's going to happen.
[00:25:05.626 --> 00:25:14.272]  So, you can sit there, and you can play patty cake, and you can play games, and you can persecute people all day long, but your ass is getting handed to you now.
[00:25:18.055 --> 00:25:21.237]  Now, it's in yesterday's stack, and I had it all week long, and I never got to it.
[00:25:21.257 --> 00:25:25.360]  Will you guys pull me the FBI statistics on black-on-white crime that was in yesterday's stack?
[00:25:26.667 --> 00:25:33.410]  And, uh, I never got to, because I'm going to show this and look, it's still very low crime, but it's 10 to one black on white.
[00:25:33.510 --> 00:25:36.691]  I mean, that's a fact because the media promotes it and they say whites deserve it.
[00:25:37.251 --> 00:25:39.913]  And the black leftist leaders say, go get a white person.
[00:25:39.953 --> 00:25:40.773]  Don't rob your own people.
[00:25:40.993 --> 00:25:48.216]  How about you don't rob anybody, but it's mainly black businesses getting burned down in the LA riots.
[00:25:48.296 --> 00:25:53.858]  And now in these riots, there's all these videos of crying business owners, restaurant owners going, why'd you burn down?
[00:25:53.938 --> 00:25:57.098]   I mean, What does that do?
[00:25:58.979 --> 00:26:02.682]  The restaurant owner, whether he was white or black, didn't kill that man.
[00:26:03.683 --> 00:26:08.247]  But again, it's the media gets people pissed and then CNN was praising it.
[00:26:08.528 --> 00:26:10.529]  MSNBC said, this is a protest.
[00:26:10.549 --> 00:26:13.091]  This is nonviolent with burning buildings behind them.
[00:26:14.593 --> 00:26:16.895]  I played that clip on Friday, yesterday.
[00:26:20.718 --> 00:26:23.861]  So this is the media winding up people.
[00:26:24.963 --> 00:26:26.604]  Remember the Homeland Security documents.
[00:26:28.064 --> 00:26:41.529]  Remember those numbers where George Soros' son was trying to create race riots in 2015 in Baltimore, Maryland with white activists in black block uniforms.
