[00:00:00.409 --> 00:00:02.592]  Infowars.com!
[00:02:52.731 --> 00:02:54.312]  He's marking our territory!
[00:02:54.613 --> 00:02:55.994]  This is America!
[00:02:56.594 --> 00:03:01.178]  And the globalists have not conquered us!
[00:03:01.378 --> 00:03:02.019]  USA!
[00:03:05.322 --> 00:03:06.202]  USA!
[00:03:09.345 --> 00:03:09.825]  USA!
[00:03:11.927 --> 00:03:12.688]  They hate that!
[00:03:13.068 --> 00:03:13.428]  Yes!
[00:03:13.949 --> 00:03:17.912]  The flag still stands for freedom, and they can't take that away!
[00:03:18.232 --> 00:03:19.654]  This is America!
[00:03:21.004 --> 00:03:23.410]  They want to take our guns, we've let them know!
[00:03:23.430 --> 00:03:26.016]  And we've let these control freak tyrants know!
[00:03:26.397 --> 00:03:28.041]  We are not their property!
[00:03:29.389 --> 00:03:39.832]  And if they, God bless you, sir, and if they think they are going to take our Second Amendment, we've told them 1776 will commence again!
[00:03:39.852 --> 00:03:41.953]  1776 will commence again!
[00:03:41.773 --> 00:03:56.333]   1776 will commence again. 1776 will commence again if you don't back down. We came here
[00:03:56.333 --> 00:03:57.013]  orderly.
[00:03:57.420 --> 00:04:02.546]  We came here peacefully, despite the governor's attempts to bully us!
[00:04:02.986 --> 00:04:08.172]  And the police and the military stand with us for the oaths they swore!
[00:04:08.693 --> 00:04:12.016]  The truth is, the state of our union is strong!
[00:04:12.938 --> 00:04:15.039]  And the tyrants are panicking!
[00:04:15.619 --> 00:04:18.279]  The tyrants don't know what to do!
[00:04:18.720 --> 00:04:21.140]  The tyrants cannot understand!
[00:04:21.240 --> 00:04:23.241]  They thought they'd won, but no!
[00:04:23.261 --> 00:04:45.232]   You are the modern Paul Revere's old, young, black, white, Asian, Doesn't matter who you are, Native American, if you don't want to be conquered by the globalists and by the chi-coms, and if you want to keep your speech and keep your guns and keep your dignity, then get involved and get engaged.
[00:04:45.512 --> 00:04:52.217]  And you have done that, and America thanks you, Virginia, for standing up to this tyrant.
[00:04:53.157 --> 00:04:55.277]  A lot of people say, what's happened to Virginia?
[00:04:55.818 --> 00:04:59.738]  Well, Texas is about to switch blue because of election fraud!
[00:05:00.058 --> 00:05:03.199]  California used to be more conservative than Texas!
[00:05:03.699 --> 00:05:06.840]  So don't laugh at Virginia and say, what did they do?
[00:05:07.260 --> 00:05:18.062]  The Democrats put in electronic voting machines owned by Soros, no joke, and Bloomberg, who owns a lot of the terminals, and they take your vote!
[00:05:19.568 --> 00:05:20.889]  They want your speech!
[00:05:21.289 --> 00:05:22.550]  They want your guns!
[00:05:23.030 --> 00:05:24.131]  They want your vote!
[00:05:24.572 --> 00:05:25.872]  They want your children!
[00:05:26.193 --> 00:05:27.374]  They want your life!
[00:05:27.874 --> 00:05:37.541]  And we tell Soros, and Northam, and Hillary, and the globalists, and all of them, you're not getting our guns!
[00:05:39.124 --> 00:05:42.846]  You're never getting our guns!
[00:05:43.706 --> 00:05:46.387]  America is awake!
[00:05:47.168 --> 00:05:51.230]  And the beginning of the end for you is here!
[00:05:51.250 --> 00:05:51.230]  1776!
[00:05:51.270 --> 00:05:51.230]  1776!
[00:05:51.090 --> 00:06:13.090]  1776 1776 1776 1776 1776 1776 1776 1776 1776 worldwide.
[00:06:13.090 --> 00:06:20.090]   The truth is the idea of America is real freedom and that dream, if we believe it and make
[00:06:20.090 --> 00:06:22.090]  it happen, will change the world.
[00:06:22.090 --> 00:06:25.090]  Is Communist China the dream?
[00:06:25.090 --> 00:06:27.090]  Was Nazi Germany the dream?
[00:06:27.090 --> 00:06:29.090]  Was Soviet Russia the dream?
[00:06:29.090 --> 00:06:30.090]  No!
[00:06:30.913 --> 00:06:33.114]  America is the dream!
[00:06:33.694 --> 00:06:35.835]  America is the best!
[00:06:36.115 --> 00:06:41.437]  Because we want freedom, and we want justice, and we believe in the average person!
[00:06:41.857 --> 00:06:45.798]  Communists claim they believe in the average person, but you can't run anything!
[00:06:46.118 --> 00:06:48.462]  You can't have guns and you don't have speech!
[00:06:48.922 --> 00:06:51.907]  America empowers the individual!
[00:06:52.428 --> 00:06:54.932]  America puts the people on top!
[00:06:55.312 --> 00:06:56.915]  America loves Jesus!
[00:06:57.336 --> 00:06:59.118]  America loves the unborn!
[00:06:59.399 --> 00:07:01.061]  America loves justice!
[00:07:01.702 --> 00:07:10.511]  And that real America is what the satanic New World Order fears, run by a bunch of pedophiles, by the Clintons, with Jeffrey Epstein.
[00:07:10.992 --> 00:07:15.977]  And the whole world knows Jeffrey Epstein did not kill himself.
[00:07:16.597 --> 00:07:19.540]  Jeffrey Epstein did not kill himself.
[00:07:20.141 --> 00:07:28.376]   He worked for the Clintons in child kidnapping, blackmail rigs, And the world is awake!
[00:07:28.836 --> 00:07:30.497]  The world knows the truth!
[00:07:30.937 --> 00:07:37.700]  Hillary Clinton ran a master pedophile operation!
[00:07:37.720 --> 00:07:42.261]  1776 worldwide is for everybody that wants the renaissance!
[00:07:42.962 --> 00:07:43.482]  That's right!
[00:07:43.662 --> 00:07:44.062]  Ban?
[00:07:44.262 --> 00:07:45.823]  Well, not good!
[00:07:47.009 --> 00:07:50.191]  If there was, we love you.
[00:07:50.211 --> 00:07:50.811]  1776 worldwide.
[00:07:51.151 --> 00:07:54.833]  These scumbags don't want our guns to keep us safe.
[00:07:55.234 --> 00:07:56.975]  They don't want our speech to keep us safe.
[00:07:57.575 --> 00:08:03.739]  They want to plant their globalist flag in our ass, and they want us to submit to their tyranny.
[00:08:04.819 --> 00:08:14.885]  But America is awake, and America is coming together, and I want to salute everybody that successfully came out here.
[00:08:15.948 --> 00:08:30.306]   And conducted a peaceful exercise of the First Amendment And the Second Amendment, and the Deep State tried to say we were terrorists, they tried to demonize us, they all tried to say we were these bad people, but we're not!
[00:08:30.546 --> 00:08:34.908]  We love each other, and we love America, and we love freedom!
[00:08:35.569 --> 00:08:46.194]  And America is coming together under red, the color of our blood, that unifies us all with Christ and justice, and it's a beautiful thing!
[00:08:48.234 --> 00:08:50.215]  Patriots love each other.
[00:08:50.796 --> 00:08:51.997]  We love America.
[00:08:52.417 --> 00:08:53.458]  We love justice.
[00:08:53.958 --> 00:08:54.838]  We love freedom.
[00:08:55.379 --> 00:09:08.127]  And all the globalists have done in trying to suppress us is summon the will of the spirit of 1776 and the Renaissance for these amazing things to be happening.
[00:09:09.008 --> 00:09:17.606]   And we're so thankful We're so thankful the veterans who fought, been wounded, and been maimed, and died, to stand up for this republic.
[00:09:18.106 --> 00:09:24.069]  Because if America hadn't been here, can you imagine what would have happened in the world?
[00:09:24.610 --> 00:09:41.104]   And that's why powerful interests spend all their time demonizing America, and telling us how much we suck, and how bad we are to hate ourselves, so we won't stand up for ourselves with our ideology that is about we the people, That is superior!
[00:09:41.885 --> 00:09:43.487]  Have we ever lived up to it fully?
[00:09:43.547 --> 00:09:43.808]  No!
[00:09:44.228 --> 00:09:48.794]  But our creed, and our idea, and the fact that the flag does stand for freedom!
[00:09:49.014 --> 00:09:53.560]  And these authoritarians, and these globalists, can never take that away!
[00:09:55.401 --> 00:10:11.191]  Listen, we have come here and exercised our birthright that we are free human beings and we see through the globalists and the multinational interests through the deep state that are trying to take we the people's speech as well as our right to self-defense.
[00:10:11.411 --> 00:10:11.811]  InfoWars.com.
[00:10:11.831 --> 00:10:12.411]  InfoWars.com.
[00:10:17.094 --> 00:10:27.742]  Infowars.com is the tip of the First Amendment, the tip of the spear, the tip of the truth and information, but only you can carry it into the future.
[00:10:27.762 --> 00:10:28.803]  USA!
[00:10:29.283 --> 00:10:29.444]  USA!
[00:10:29.864 --> 00:10:30.484]  USA!
[00:10:30.504 --> 00:10:30.725]  USA!
[00:10:30.785 --> 00:10:33.307]  Let them hear it down these halls!
[00:10:33.126 --> 00:10:43.126]  USA. USA. USA. USA. USA. USA. USA. USA. USA. USA. USA. USA.
[00:10:43.126 --> 00:10:45.626]  USA. USA. USA. USA. USA. USA.
[00:10:45.626 --> 00:10:49.206]   Let them hear it down these halls, down these shuttles, down these canyons. USA.
[00:10:48.664 --> 00:10:48.945]  USA!
[00:10:52.995 --> 00:10:58.620]  You have done an incredible job coming here to exercise your First and Second Amendment.
[00:10:58.980 --> 00:11:07.788]  You had a giant rally of probably 50,000 people or more in defiance of the predictions of the corrupt globalist governor.
[00:11:08.187 --> 00:11:18.687]   You have done an incredible job, America, exercising your speech and your Second Amendment.
[00:11:18.687 --> 00:11:22.687]  And you are an example to the world.
[00:11:22.687 --> 00:11:31.687]   And we tell Northam, the Soros, Bloomberg puppet once again, that we know you have body art.
[00:11:31.716 --> 00:11:33.156]  We know you're protected.
[00:11:34.017 --> 00:11:35.737]  We know you live behind walls.
[00:11:36.137 --> 00:11:41.259]  But you want the average person's guns so you can troll them and them be your slaves.
[00:11:41.779 --> 00:11:46.500]  So we tell you again, tyrants, Hitler took the guns!
[00:11:47.160 --> 00:11:49.301]  Hitler took the guns!
[00:11:49.861 --> 00:11:54.843]  Hitler took the guns, and now Northam wants the guns!
[00:11:55.363 --> 00:12:05.347]  So we tell you, Hitler took the guns, Stalin took the guns, Mao took the guns, and if you try to take our firearms, 1776 will commence again!
[00:12:05.386 --> 00:12:12.386]  76 will commence again! Yeah!
[00:12:12.386 --> 00:12:16.026]  [Explosion]
[00:12:16.026 --> 00:12:19.846]   Alex Jones here to tell you about how you can help spread liberty worldwide
[00:12:19.846 --> 00:12:24.546]   while also enjoying what I have found to be the best tasting 100% organic coffee
[00:12:25.288 --> 00:12:33.517]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:12:33.697 --> 00:12:38.362]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:12:38.562 --> 00:12:45.264]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:12:45.344 --> 00:12:52.405]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:12:52.525 --> 00:12:59.387]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:12:59.547 --> 00:13:03.888]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:13:04.028 --> 00:13:07.249]  Available in original or with our immune support infusion blend.
[00:13:07.409 --> 00:13:13.542]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:13:13.722 --> 00:13:15.386]  Available at Infowarslife.com
