[00:00:00.089 --> 00:00:01.470]  We're here from California!
[00:02:54.463 --> 00:03:00.845]  This is human beauty, the fact that we can appreciate the sun, or this monument, or our children, or our husbands, or our wives, or our family.
[00:03:01.205 --> 00:03:01.705]  It's beautiful.
[00:03:01.725 --> 00:03:05.106]  That's a spiritual experience with God's creation and God Himself.
[00:03:05.646 --> 00:03:10.727]  And that's what the enemy wants to cut off and put us in their artificial system so we worship the globalists and not God.
[00:03:10.747 --> 00:03:15.466]   But humanity is awakening and will never be in their Hollywood pedophile prison.
[00:03:15.466 --> 00:03:28.907]   Millions have died in service to this republic from its founding.
[00:03:29.148 --> 00:03:31.609]  And of course, millions died on both sides of World War II.
[00:03:31.649 --> 00:03:36.270]  But we see Harry S. Truman here at the Naval War Memorial in D.C.
[00:03:36.430 --> 00:03:41.631]  Our debt to the heroic men and valiant women for the service of our country can never be repaid.
[00:03:41.931 --> 00:03:43.891]  They have earned our undying gratitude.
[00:03:43.911 --> 00:03:46.592]  America will never forget their sacrifice.
[00:03:47.432 --> 00:03:49.272]  But now we're going under TRICOM control!
[00:03:49.933 --> 00:03:51.313]  A TRICOM globalist agent!
[00:03:52.373 --> 00:03:54.615]  On record on the Chinese payroll is taking our country over.
[00:03:55.355 --> 00:03:57.517]  He says we're a new world order that America shouldn't even exist.
[00:03:58.037 --> 00:03:59.978]  So what about all those veterans and what they paid for?
[00:04:00.479 --> 00:04:03.581]  You say, oh, well, they're just dumb people that serve the military, like Henry Kissinger says.
[00:04:03.601 --> 00:04:08.344]  But if it wasn't for them, we would have been under other authoritarian regimes that wouldn't have had the freedom we had.
[00:04:09.005 --> 00:04:10.065]  That freedom wasn't given.
[00:04:10.085 --> 00:04:10.986]  It was taken by them.
[00:04:11.006 --> 00:04:12.287]  And we're going to take it again.
[00:04:12.307 --> 00:04:13.708]  We're not backing out of the globalists.
[00:04:13.948 --> 00:04:16.630]  We've only begun to fight in the words of the founder of the U.S.
[00:04:16.650 --> 00:04:17.791]  Navy, John Paul Jones.
[00:04:19.858 --> 00:04:24.366]  We always knew that a consortium of megacorporations were trying to take over the United States.
[00:04:24.827 --> 00:04:26.349]  We always knew that one day the U.S.
[00:04:26.369 --> 00:04:27.131]  would go under U.N.
[00:04:27.171 --> 00:04:29.855]  control, that we didn't stand up and educate others and say no.
[00:04:30.899 --> 00:04:33.521]  But they didn't come with blue helmets with the military.
[00:04:34.121 --> 00:04:40.767]  They didn't come with foreign armies and aircraft carriers and fighter jets and bombers and people paratrooping out of the sky like Red Dawn.
[00:04:41.307 --> 00:04:42.628]  They came politically.
[00:04:43.188 --> 00:04:44.910]  They came in the name of fighting racism.
[00:04:45.310 --> 00:04:50.754]  They came in the name of giving everybody free stuff, free houses, free cars, free education.
[00:04:51.275 --> 00:04:59.999]   And now the United Nations is openly running Joe Biden and the Communist Chinese and their COVID COVID-19 response and censoring thousands of medical
[00:04:59.999 --> 00:05:03.959]   doctors and scientists all around the world that speak out and expose it.
[00:05:03.959 --> 00:05:07.598]   And we've seen massive censorship against the American people.
[00:05:07.598 --> 00:05:12.478]   And so now almost everyone's been censored or they've gotten in line, except for InfoWars.
[00:05:12.478 --> 00:05:17.158]   We're one of the last men standing thanks to your support, your word of mouth, and your
[00:05:17.158 --> 00:05:18.158]  prayer.
[00:05:18.158 --> 00:05:22.879]   So please, go to InfoWarsStore.com today and get a classic InfoWars shirt.
[00:05:23.196 --> 00:05:30.343]  Get water filtration, get air filtration, get books, get films, and get the incredible supplements that are the highest quality you're going to find anywhere.
[00:05:30.885 --> 00:05:34.468]  Just like our information is hardcore, our supplements are powerful.
[00:05:34.829 --> 00:05:36.350]  I would check out DNA Force Plus.
[00:05:36.771 --> 00:05:38.052]  I'd check out X2 and X3.
[00:05:38.472 --> 00:05:41.135]  I would check out Vata Mineral Fusion, Ultra 12.
[00:05:41.615 --> 00:05:42.916]  Our fish oil is the highest quality.
[00:05:43.197 --> 00:05:44.318]  There are so many great products.
[00:05:44.578 --> 00:05:50.463]  Whatever you do, spread the word about the broadcast and know the enemy of America is hoping you don't take action.
[00:05:51.244 --> 00:05:58.987]  The main rallying point for modern Paul Revere is InfoWars.com, Band.Video, and NewsWars.com as well.
[00:05:59.408 --> 00:06:02.489]  So again, I know you're taking action, and I salute you.
[00:06:03.049 --> 00:06:07.171]  Don't play it safe, don't roll over, don't be censored, or you're going to lose everything.
[00:06:07.551 --> 00:06:15.755]  Speak out and tell the truth today, and visit InfoWarsStore.com and get incredible products for the biggest sales we've ever had at InfoWarsStore.com.
