[00:00:00.390 --> 00:00:01.953]  America is awake!
[00:05:38.181 --> 00:05:39.803]  I think everybody here knows that.
[00:05:39.983 --> 00:05:41.925]  Your father's a hero!
[00:05:41.945 --> 00:05:42.305]  Thank you.
[00:05:42.345 --> 00:05:42.605]  Thank you.
[00:05:44.031 --> 00:05:50.675]  So, look, last thing I'll say is that the story of General Flynn is so complex.
[00:05:50.695 --> 00:05:52.076]  By the way, everybody's here for you.
[00:05:52.136 --> 00:05:53.697]  I want you to keep going for another 20 minutes.
[00:05:53.717 --> 00:05:54.658]  We've got plenty of time.
[00:05:54.678 --> 00:05:56.619]  We have like an hour of question and answer.
[00:05:56.939 --> 00:06:06.825]  Talk about your father as a patriot and what you guys went through and the vindication now that the whole lie is coming down and Roger Stone, everything.
[00:06:06.865 --> 00:06:08.166]  Just tell them what happened.
[00:06:08.466 --> 00:06:12.149]  Tell them in five minutes what happened, what you guys went through as American patriots.
[00:06:13.504 --> 00:06:15.671]  Yeah.
[00:06:15.691 --> 00:06:15.751]  Um...
[00:06:17.150 --> 00:06:31.216]  I mean, as far as what you can picture, you know, just a regular American military family who essentially wasn't, I mean, we weren't wealthy people to begin with.
[00:06:31.256 --> 00:06:44.382]  I mean, we had, my father and I had a private business after we left the DIA, but we weren't making, we weren't raking in millions of dollars, and then all of a sudden this stuff kind of came down with having to hire lawyers and...
[00:06:48.032 --> 00:06:50.032]  Yeah, well I mean again...
[00:06:50.032 --> 00:06:52.032]  (inaudible)
[00:06:52.032 --> 00:06:56.032]   The deep sea went out with my father because he was outspoken on a number of things.
[00:06:56.032 --> 00:07:02.032]   The main thing was Obama's signature foreign policy which was the Iran deal.
[00:07:02.032 --> 00:07:08.032]   I mean the Iran deal, and I'm not an expert on Iran, but I can tell you that the Iran deal was a big thing that he was
[00:07:08.032 --> 00:07:12.032]  highly against.
[00:07:12.032 --> 00:07:14.032]  And there's a lot of people...
[00:07:14.032 --> 00:07:16.032]  (inaudible)
[00:07:16.483 --> 00:07:28.734]  But the other part of it is he was willing to call out how much the deep state and specifically CIA and FBI had become very, very political organizations.
[00:07:28.875 --> 00:07:32.713]   And that's still, I mean, you see what's going on in the news
[00:07:32.713 --> 00:07:39.473]   and you see what's happening with all these partisans that we just saw with this impeachment process,
[00:07:39.473 --> 00:07:45.514]   with Adam Schiff, all these just political bureaucrats that got up in front of national television.
[00:07:45.514 --> 00:07:52.733]   And it's as clear as day just listening to these people, you know, I mean, like how in the tank they are for the
[00:07:52.733 --> 00:07:53.634]  left.
[00:07:53.634 --> 00:08:01.194]   And I mean, as far as, I mean, I can tell you that my father has wanted to speak out about this stuff,
[00:08:01.194 --> 00:08:07.194]   like ever since day one, but, you know, for obvious reasons, you know, he hasn't been able to.
[00:08:07.268 --> 00:08:19.713]  But, again, I mentioned Sidney Powell and how she's been, you know, a big advocate, and obviously very, very outspoken for us, and, you know, that's... Now, that's a big deal.
[00:08:19.974 --> 00:08:24.596]  After all the persecution you've gone through to come here and speak on these live feeds out here.
[00:08:25.512 --> 00:08:28.294]  Well, but let's get back to the beginning of the few minutes we have left.
[00:08:28.354 --> 00:08:33.397]  I appreciate you coming here today and your courage to do it because I know you've been, you and your family have been persecuted, I've been persecuted, we know what it's like.
[00:08:33.777 --> 00:08:35.518]  We get persecuted because we support America.
[00:08:35.918 --> 00:08:40.121]  We realize that persecution is actually a blessing and we don't see ourselves as victims.
[00:08:40.141 --> 00:08:47.366]   I hope people listen to what this guy is saying because his dad Just like Roger Stone and just like so many other people, they've tried to put his father in prison.
[00:08:47.927 --> 00:08:56.895]  They try to hold years in prison and bankrupting them to lie about President Trump and lie about the populist election we had.
[00:08:57.656 --> 00:08:58.536]  So I hear a lot of talk.
[00:08:58.577 --> 00:08:59.217]  I love you guys.
[00:08:59.638 --> 00:09:00.318]  Just respect.
[00:09:00.598 --> 00:09:02.260]  Everybody just stop talking for one second.
[00:09:03.121 --> 00:09:04.082]  Just one second.
[00:09:05.037 --> 00:09:05.538]  One second.
[00:09:06.139 --> 00:09:08.063]  Just one second in your lives.
[00:09:08.624 --> 00:09:14.013]  His father wanted to serve America and try to defend our republic.
[00:09:17.514 --> 00:09:27.516]  And because he did that, they targeted him because he wanted to put in the Trump administration patriots that would promote freedom worldwide.
[00:09:27.756 --> 00:09:38.658]  They were scared of the army that George Washington founded 245 years ago, finally getting control of the government again from these communists and these globalists.
[00:09:39.058 --> 00:09:42.179]  And then they launched every attack they had.
[00:09:42.859 --> 00:09:46.420]  And now, four years later, all their designs have failed.
[00:09:47.383 --> 00:09:52.407]  But the people like General Flynn are such humble men who just defend their country.
[00:09:52.788 --> 00:09:55.050]  They're not like me, a wicked devil.
[00:09:55.770 --> 00:09:57.472]  They don't see all the angles.
[00:09:58.072 --> 00:10:03.277]  And now that they've been victorious, they are silent in the face of their victory.
[00:10:03.797 --> 00:10:06.139]  We have discredited Obama!
[00:10:06.900 --> 00:10:08.721]  We have discredited Hillary.
[00:10:09.442 --> 00:10:11.163]  We have restored the Republic.
[00:10:11.543 --> 00:10:13.425]  We have defeated the CHICOMS.
[00:10:14.045 --> 00:10:16.387]  America has had a great victory.
[00:10:16.947 --> 00:10:21.130]  But America doesn't have a media to tell you the victory you've had.
[00:10:22.171 --> 00:10:24.693]  So General Flynn faces fake sentencing.
[00:10:25.173 --> 00:10:29.316]  And I say, like I've told Roger Stone, call their bluff.
[00:10:29.735 --> 00:10:32.775]  Because we've done nothing wrong, we're good people.
[00:10:32.775 --> 00:10:34.775]  So, General Flint, son of a gun, God bless you.
[00:10:34.775 --> 00:10:38.115]  [APPLAUSE]
[00:10:38.168 --> 00:10:42.252]  You sit up here, you try to explain how you're this good person.
[00:10:42.673 --> 00:10:44.134]  We know you're good.
[00:10:45.175 --> 00:10:46.777]  We know your father's good.
[00:10:48.018 --> 00:10:55.987]  You don't get attacked by CNN and MSNBC and ABC if you're evil.
[00:10:56.827 --> 00:10:59.130]  You get attacked when you're good.
[00:11:00.091 --> 00:11:00.792]  We know that.
[00:11:02.133 --> 00:11:04.775]  And America is rising now.
[00:11:05.335 --> 00:11:06.476]  And the enemy knows it.
[00:11:07.157 --> 00:11:08.958]  So hey, finish up.
[00:11:09.499 --> 00:11:12.181]  Talk about your... I'm stronger than ever.
[00:11:12.201 --> 00:11:12.921]  Don't be strong.
[00:11:12.941 --> 00:11:14.482]  Tell them the truth.
[00:11:14.943 --> 00:11:15.303]  Close it.
[00:11:16.846 --> 00:11:21.333]  Alright, I mean the last thing I'll say is that we still have a fight in front of us.
[00:11:22.174 --> 00:11:29.486]  We have a couple of motions out there right now that we're still waiting on this Judge Emmett Sullivan to either grant or deny.
[00:11:29.506 --> 00:11:30.648]  There's kind of a battle of...
[00:11:33.280 --> 00:11:33.901]  Oh, absolutely.
[00:11:33.941 --> 00:11:35.743]  There's no question about that.
[00:11:35.783 --> 00:11:39.928]  I think, again, I mentioned the whole boxing round analogy.
[00:11:40.909 --> 00:11:43.091]  To me, it feels like we're at the end of this.
[00:11:43.452 --> 00:11:49.038]  I can just tell you right now that something has got to happen before this election in November.
[00:11:49.439 --> 00:11:50.220]  Something has to happen.
[00:11:51.201 --> 00:11:56.465]  I'm sick and tired of reading about all the potential fixes and what we're going to do here and there.
[00:11:56.485 --> 00:11:58.267]  I want to see people held accountable.
[00:11:58.487 --> 00:12:03.752]  I'm tired, again, I'm tired of these guys running their mouths on Twitter, running their mouths on social media.
[00:12:04.392 --> 00:12:07.115]  I want to see, let's just see one big name arrested.
[00:12:07.215 --> 00:12:07.535]  Just one.
[00:12:07.555 --> 00:12:10.638]  I don't care if it's Brennan or Comey.
[00:12:10.658 --> 00:12:11.118]  Just one of them.
[00:12:15.642 --> 00:12:17.584]  Just one of them, okay?
[00:12:17.624 --> 00:12:29.451]  Because look, behavior is not going to change if we throw around that word accountability, and it just doesn't feel like accountability is happening right now.
[00:12:29.872 --> 00:12:34.415]  Trust me, I'm just as frustrated, if not more, than the next person.
[00:12:35.215 --> 00:12:47.379]   All we can do is continue to do things like this, speak out, and let it be known that you're just as pissed off as I am that, hey, you know, Bill Barr, John Durham, I know you're out there, but let us
[00:12:47.379 --> 00:12:48.920]   know what the hell you're doing.
[00:12:48.920 --> 00:12:49.920]  Give us some...
[00:12:49.920 --> 00:12:50.920]  Yeah, that too.
[00:12:50.920 --> 00:12:58.260]  Will your father go after them for civil rights violations?
[00:12:58.260 --> 00:13:02.219]   I'd love to be able to answer that, but again, I'm going to defer all questions like that
[00:13:03.088 --> 00:13:10.111]  Sidney Powell, if you ever want to contact her, you can always reach her through her website, but she's probably one of the most open, transparent people that you'd ever meet.
[00:13:10.751 --> 00:13:21.016]  She's family to us now, and I'm telling you, just kind of stay tuned, because there's certain things that can't be made public that will be made public.
[00:13:21.556 --> 00:13:22.777]  I hate to even say stuff like that.
[00:13:24.838 --> 00:13:26.459]  At the end of the day, we're going to win.
[00:13:26.479 --> 00:13:27.279]  Let me say this.
[00:13:27.459 --> 00:13:29.361]  By the way, Michael Flynn Jr.
[00:13:29.721 --> 00:13:41.969]  came here humbly today to expose the persecution his father, a noble army officer, has gone through defending this republic and trying to secure our future.
[00:13:42.569 --> 00:13:43.710]  And so, come back over here.
[00:13:44.050 --> 00:13:45.771]  You're a very humble person, just like your father.
[00:13:46.652 --> 00:13:48.253]  You don't have much work ethics.
[00:13:49.174 --> 00:13:54.845]   And I'm here to tell you, we need to stop Being humble about what's happened.
[00:13:54.865 --> 00:13:56.746]  Your dad's been a patriot his whole life.
[00:13:57.206 --> 00:13:58.327]  He stood up to the globalists.
[00:13:58.347 --> 00:13:59.668]  He tried to give Trump good advice.
[00:14:00.048 --> 00:14:00.908]  He was persecuted.
[00:14:00.928 --> 00:14:01.569]  He's a hero.
[00:14:02.489 --> 00:14:03.970]  And we need to celebrate our heroes.
[00:14:04.350 --> 00:14:06.331]  People that got Congressional Medal of Honors, they're wonderful.
[00:14:06.351 --> 00:14:08.833]  People that got Silver Stars, Bronze Stars, they're amazing.
[00:14:08.853 --> 00:14:09.333]  We love them.
[00:14:09.733 --> 00:14:12.095]  But this is the real fight for America right now.
[00:14:12.715 --> 00:14:20.299]   And you're humble about this, but you came up here tonight, I know under major pressure and persecution, To tell the truth.
[00:14:20.319 --> 00:14:28.343]  So in closing, tell the people watching out there on the internet and everybody here in person why you decided to come out and speak up for your father tonight.
[00:14:28.703 --> 00:14:31.524]  I think it's because you know the tide has turned.
[00:14:31.864 --> 00:14:33.225]  The hoax is broken.
[00:14:33.625 --> 00:14:34.865]  We're Americans.
[00:14:35.506 --> 00:14:36.966]  We're not Russian Asians.
[00:14:37.346 --> 00:14:40.248]  We love our children.
[00:14:40.908 --> 00:14:42.308]  We believe in America.
[00:14:42.388 --> 00:14:43.389]  Why did you come out tonight?
[00:14:45.259 --> 00:14:46.901]  I came up here with Ivan Reiglin.
[00:14:47.001 --> 00:14:48.042]  I don't know where he's at.
[00:14:48.102 --> 00:14:49.763]  He's around here somewhere.
[00:14:50.124 --> 00:14:57.290]  Ivan's always dragging, pulling me in five different directions.
[00:14:57.310 --> 00:15:00.453]  We were at CPAC before and I'm going to be there in the next couple of days.
[00:15:02.135 --> 00:15:12.201]   I came here because I knew some of the We've actually never met in person, so it's certainly a great honor to meet Alex Jones.
[00:15:12.581 --> 00:15:19.304]  I know and obviously followed your story, and I certainly appreciate everything that you've been through.
[00:15:19.324 --> 00:15:27.009]   I can't imagine what the de-platforming has done with some of these He's just ridiculous tech companies.
[00:15:27.049 --> 00:15:29.011]  But at the end of the day, like you're still here.
[00:15:29.051 --> 00:15:29.771]  You're still standing.
[00:15:29.811 --> 00:15:32.133]  You're still, you know, you're still doing your thing.
[00:15:32.154 --> 00:15:33.735]  And that's not that's that's important.
[00:15:34.316 --> 00:15:38.600]  And, and trust me, what I will say, because I had this conversation, and this is the last thing I'll say.
[00:15:38.620 --> 00:15:41.222]  I had this conversation with my father all the time.
[00:15:41.242 --> 00:15:45.326]  I said, Look, your your time is not done with with with America.
[00:15:45.526 --> 00:15:53.873]   You know that once this is all said and done, that you're going to be pulled back I don't know what that is.
[00:15:54.713 --> 00:16:00.317]  I'm not going to speak for my father in that regard, but I can tell you that his time is not done.
[00:16:00.377 --> 00:16:08.542]  He will get his ass back out there and speak out about the things that need to be spoken out about.
[00:16:11.786 --> 00:16:13.728]  That's right.
[00:16:13.908 --> 00:16:20.253]  General Flynn bet on America three-plus years ago and tried to put the White House stocked with patriots.
[00:16:20.353 --> 00:16:22.495]  He was attacked as enemy number one.
[00:16:23.016 --> 00:16:26.098]  And now, four years later, we are turning the tide.
[00:16:26.158 --> 00:16:27.319]  His son is here with us tonight.
[00:16:27.540 --> 00:16:28.460]  This is a beautiful time.
[00:16:28.500 --> 00:16:29.041]  God bless you.
[00:16:29.321 --> 00:16:30.622]  Tell your father we're indebted to him.
[00:16:31.243 --> 00:16:31.943]  We appreciate him.
[00:16:33.425 --> 00:16:34.145]  It's powerful.
[00:16:34.505 --> 00:16:34.966]  Amazing.
[00:16:35.807 --> 00:16:37.928]  That's why we came to D.C.
[00:16:38.269 --> 00:16:39.430]  to confront the tyrants.
