[00:00:00.000 --> 00:00:28.079]  [ Music ]
[00:06:40.066 --> 00:06:49.973]  And, uh, it, well, last Friday, I'm up late after Hard Copy came on, and I'm watching C-SPAN 2 on Channel 8 on Tom Warner Cable.
[00:06:50.968 --> 00:06:53.650]  And they're showing Serbian television.
[00:06:53.710 --> 00:06:56.773]  It shows all the dead children and all the dead Kosovo refugees.
[00:06:57.093 --> 00:07:02.497]  Every time they try to go back into Serbian proper or Kosovo proper, as far as the sovereign nation, they're bombed by NATO.
[00:07:02.537 --> 00:07:07.241]  And our pilots are at 30,000 feet because Clinton's told them to stay up there, or the Pentagon has.
[00:07:08.622 --> 00:07:12.604]  Number one, they don't get shot down by any aircraft missiles, but number two, they don't know what they're bombing.
[00:07:12.624 --> 00:07:17.606]  They're just told to target a grid, raise that target, drop that bomb, or fire that cruise missile.
[00:07:17.646 --> 00:07:18.867]  I forgot our cruise missiles are gone.
[00:07:18.887 --> 00:07:21.508]  I collected a shot of all those off and kind of got the new ones.
[00:07:23.589 --> 00:07:24.310]  It's insanity!
[00:07:24.590 --> 00:07:35.295]  And for NATO, NATO over and over again, if you read the archives of what they've done at any of the big news sites, or if you go to InfoWars.com, we've got a lot of them archived from the Washington Post, New York Times,
[00:07:36.363 --> 00:07:40.205]  London Times, London Telegraph, BBC, you name it, we've got it up there for you.
[00:07:40.745 --> 00:07:51.711]  I'm from the so-called Western Alliance, which has become totally criminal, and I'm so sad to see that, because I stand firmly against China and Russia and the rest of those barbarous murderers of their own people and others.
[00:07:52.832 --> 00:07:54.333]  This is all about globalism, though.
[00:07:55.333 --> 00:08:01.017]  And I was watching it, and it said six F-16s dropped eight pressure bombs
[00:08:03.248 --> 00:08:11.033]  Eight different kinds of cluster bombs over Kosovo are refugees that they've had to return in as the Serbian army left their own country, their own province of Kosovo.
[00:08:12.114 --> 00:08:15.436]  And it shows them coming back here, and they said six planes, they said eight bombs.
[00:08:15.696 --> 00:08:25.682]  NATO comes out, Jamie Shea, NATO's spokesperson, ah, this is ridiculous, we're sure that Serbia has been, you know, bombing them themselves using artillery.
[00:08:25.722 --> 00:08:30.585]  Well, quietly, two days later, they admit, yes, six F-16s, the US military did, not NATO,
[00:08:30.976 --> 00:08:34.038]  Yes, 6.016 zips off eight cluster bombs in an hour or so.
[00:08:34.398 --> 00:08:35.559]  It hit the wrong target.
[00:08:36.299 --> 00:08:43.143]  So you see, over and over again, in all these cases, bombing preschool buses, two hospitals, water treatment plants.
[00:08:43.163 --> 00:08:55.031]  Well, two and a half weeks ago, at the NATO Summit in Washington, D.C., where Clinton paraded around like our global leader, who has openly said he wants to be Secretary General of the U.N., he's parading around and
[00:08:57.057 --> 00:09:01.441]  They openly said, we are going to put them through a meat grinder, close quote.
[00:09:02.401 --> 00:09:05.484]  We are going to start targeting civilian targets with psychological warfare.
[00:09:05.604 --> 00:09:06.745]  Headlines, Washington Post.
[00:09:07.665 --> 00:09:13.170]  And then now they make us wonder why they're bombing all these civilian targets, most of it to the coat of arms.
[00:09:13.697 --> 00:09:21.097]  people in Kosovo, and that's to generate the refugees, to give you the pictures, to voice
[00:09:21.097 --> 00:09:25.857]  over the ridiculous stories for Christina Alamancour and all the rest of these people.
[00:09:25.857 --> 00:09:27.778]  By the way, here's the wife of Janey Shea.
[00:09:28.197 --> 00:09:32.076]  a state department uh... and and also pentagon spokesperson out there
[00:09:32.076 --> 00:09:33.417]  stealing his lines daily
[00:09:33.417 --> 00:09:37.157]  but hey, even mother jones, the village voice, the rest of these guys
[00:09:37.157 --> 00:09:40.437]  are finally getting on board, even in the statement today, on the opinion page
[00:09:40.437 --> 00:09:42.197]  they had a UT professor saying
[00:09:42.197 --> 00:09:47.356]  have you read the rambouillet accord? well i read it on the air, or read the five big points
[00:09:47.356 --> 00:09:50.356]  they don't want serbia to just give up
[00:09:50.356 --> 00:09:52.797]  [MUSIC PLAYING]
[00:09:52.697 --> 00:09:59.102]  Kosovo, which is part of their... that's where they held off all the Muslim invaders after the Crusades got pushed back.
[00:10:00.423 --> 00:10:04.927]  Their country, for thousands of years, that they fought for and died for, the Nazis came in.
[00:10:04.947 --> 00:10:08.589]  Until two million Serbs, they defiantly stood it as a haven for Jews and others.
[00:10:09.310 --> 00:10:11.252]  Like Madeleine Albright, who's now bombing them.
[00:10:11.292 --> 00:10:14.274]  It's just insanity to me, from the Nazis.
[00:10:16.603 --> 00:10:31.016]  Rabouillet wants a so-called security force, an international security force with diplomatic immunity to do whatever they want, as they did 500,000 to 800,000 killed in Rwanda alone by UN forces, or at the hands of UN forces, or shepherded into the camps to be killed by the Hutus.
[00:10:32.617 --> 00:10:33.658]  They want diplomatic immunity.
[00:10:33.698 --> 00:10:42.266]  They want a security force for the whole country and to take over Kosovo, which has $5 million a year of clean burning coal, according to the Washington Post and other publications, and gold.
[00:10:43.368 --> 00:10:50.152]  And, of course, we're hearing about how Malarkeyvick is, after he's removed, or maybe he'll be allowed to stay, this evil criminal.
[00:10:50.672 --> 00:11:00.278]  After he's removed, we are going to come in, we, the international banks, I've heard them all say it, and you've watched me in Lincolntown, you'll see it, and come in and help them rebuild.
[00:11:00.718 --> 00:11:01.779]  And that's what it's all about.
[00:11:01.819 --> 00:11:03.520]  It's about a sovereign nation.
[00:11:05.060 --> 00:11:05.961]  That's what we're dealing with.
[00:11:07.970 --> 00:11:10.451]  Now, I hope equipment's all working good.
[00:11:10.471 --> 00:11:14.213]  Again, the reason I'm a little bit wet, and I don't know if you can see that, is because I've been coming through the rain.
[00:11:14.233 --> 00:11:15.113]  It was really raining hard.
[00:11:15.593 --> 00:11:17.554]  And it is May 17th, 1999.
[00:11:17.914 --> 00:11:18.975]  You see this tape, of course.
[00:11:18.995 --> 00:11:21.155]  And it's not May 17th, or no, it's not live.
[00:11:22.236 --> 00:11:24.877]  But if you are watching live, 477-2288.
[00:11:24.957 --> 00:11:28.659]  I know one of the cameras isn't working.
[00:11:28.679 --> 00:11:29.759]  I'm staring at the wrong camera.
[00:11:29.879 --> 00:11:30.459]  I never do that.
[00:11:30.479 --> 00:11:31.880]  Ah, that's the right one.
[00:11:31.900 --> 00:11:36.842]  The lights and stuff aren't working because we've been struck by lightning, and I don't know that the phones are working good.
[00:11:38.066 --> 00:11:41.528]  So again, it's all about psychological warfare, guys.
[00:11:41.889 --> 00:11:43.510]  It's all about conditioning you.
[00:11:43.590 --> 00:11:45.491]  Now, here's the big news.
[00:11:46.552 --> 00:11:50.875]  This is out of the Washington Times, Washington Post, and that grudge of Fox News.
[00:11:52.696 --> 00:11:56.939]  China, in the last week, last week you might have heard the White House website was shut down.
[00:11:56.959 --> 00:11:58.320]  The Pentagon was having some problems.
[00:11:58.440 --> 00:12:00.161]  They said, routine minor problems.
[00:12:00.722 --> 00:12:05.525]  Well, it's been leaked and now admitted to, and the Chinese have published it in their papers, that
[00:12:06.500 --> 00:12:22.843]  They launched an all-out cyber attack, hacker attack, on the federal government, on the Department of Defense, on the State Department, they launched it on the White House, they launched it... Well, it just goes on and on.
[00:12:22.943 --> 00:12:34.886]  And now, in shiny publications, they're saying, yes, our Liberation Army has developed information warfare capabilities designed to cripple high-technology weapons and support systems.
[00:12:35.806 --> 00:12:42.914]  Last week's attacks include Pentagon computer systems, which were disrupted last week by a mass attack by the Chinese.
[00:12:42.954 --> 00:12:47.339]  The official White House website was shut down after an attempt was made to break into the system operating page.
[00:12:47.380 --> 00:12:48.501]  The official website of the U.S.
[00:12:48.541 --> 00:12:50.243]  Embassy in Beijing was crashed.
[00:12:50.844 --> 00:12:51.945]  We told you last week
[00:12:53.126 --> 00:12:56.089]  How they burned part of an embassy.
[00:12:56.129 --> 00:12:57.831]  And you didn't hear about that in the mainstream media.
[00:12:57.851 --> 00:13:06.640]  You had to get it from the South China Post, which is the free market newspaper out of what's west of Taiwan, off the coast of China, where they're doing their missile test.
[00:13:06.740 --> 00:13:13.006]  Also today, North Korea, or yesterday actually, put a satellite into orbit.
[00:13:13.618 --> 00:13:19.564]  And they have their new intercontinental ballistic missiles given to them by China via the transfer by Clinton, and now this is all open.
[00:13:19.864 --> 00:13:22.546]  China says they're going to arm Iran, in fact, with some nuclear weapons.
[00:13:22.587 --> 00:13:23.868]  Too late, you already did.
[00:13:24.849 --> 00:13:25.830]  You see what's happening.
[00:13:26.250 --> 00:13:31.495]  Clinton wallowing with the Chinese government, not the Chinese people, the Chaitans, you can call them.
[00:13:31.515 --> 00:13:32.956]  It's clearly very command and control.
[00:13:32.976 --> 00:13:34.878]  They're not even confident that's a false word of the term.
[00:13:35.379 --> 00:13:38.842]  You've got all this being manifest now on a mass scale.
[00:13:39.597 --> 00:13:41.059]  For the entire population of the world.
[00:13:41.099 --> 00:13:47.885]  You have our forces being made the laughing stock and the hated demons of the world by Clinton.
[00:13:48.065 --> 00:13:51.689]  And he always said he'd avoid the military in his ROTC documents.
[00:13:52.369 --> 00:13:57.575]  He went and protested against this country with his big Karl Marx beard.
[00:13:58.295 --> 00:14:01.819]  He had all his laundry list of rapes all through Europe.
[00:14:02.880 --> 00:14:04.081]  All this in police reports.
[00:14:04.668 --> 00:14:17.271]  All this happening, burning American flags, preaching down with America, visiting Russia in the late 60s, Northern Italy in the early 70s, and Communists start taking over.
[00:14:17.331 --> 00:14:21.052]  Realize the New World War comes out of Europe, and it's quite clear, it's like a teepee.
[00:14:21.132 --> 00:14:25.034]  It's got the so-called Capitalists and the so-called Communists, which are all command and control.
[00:14:25.814 --> 00:14:30.415]  Capitalism is, the way it manifests, and the definition they give you is not free market.
[00:14:31.266 --> 00:14:31.546]  Okay?
[00:14:31.786 --> 00:14:36.810]  It's criminal capital together to screw the little guy to use government regulators to attack their enemies.
[00:14:37.070 --> 00:14:42.434]  So when you vote for big government thinking you're hurting the rich guys, you're voting for a big stick they're going to bash you in the head with.
[00:14:42.874 --> 00:14:44.555]  So just be conscious of that.
[00:14:45.736 --> 00:14:56.404]  So again, China is openly attacking our computer systems, an open act of war, attacking our Pentagon, our Department of Defense computers, attacking our national security computers,
[00:14:57.606 --> 00:15:00.388]  And we've got all these articles on InfoWars.com.
[00:15:00.408 --> 00:15:02.829]  You can read them at your leisure.
[00:15:04.230 --> 00:15:07.312]  A lot of other news that is extremely important.
[00:15:07.412 --> 00:15:11.374]  This comes out of the Tampa Tribune, a mainstream newspaper.
[00:15:11.775 --> 00:15:12.775]  Got this offline.
[00:15:12.855 --> 00:15:14.817]  Soldiers speak same language.
[00:15:15.477 --> 00:15:21.481]  Soldiers from Central Asia and Europe are in Tampa this week to learn how to carry out peacekeeping missions.
[00:15:21.961 --> 00:15:23.702]  A decade ago, it would have been unthinkable.
[00:15:25.427 --> 00:15:30.691]  To have Cold War warriors jumping into combat boots and preparing to do battle.
[00:15:30.811 --> 00:15:30.891]  U.S.
[00:15:30.971 --> 00:15:36.755]  Central Command of MacDill Air Force Base ran the meeting, but most of the participants spoke Russian.
[00:15:37.136 --> 00:15:39.778]  Many of them came from nations that weren't part of the Soviet Union.
[00:15:40.458 --> 00:15:41.559]  It's a different world, indeed.
[00:15:41.599 --> 00:15:45.762]  Military representatives from twelve nations are in Tampa to participate.
[00:15:45.782 --> 00:15:46.483]  Did you hear that?
[00:15:46.503 --> 00:15:47.443]  To participate.
[00:15:47.463 --> 00:15:53.848]  Participating in a week-long seminar sponsored by the Central Command on how to
