[00:00:06.731 --> 00:00:10.573]  A three-year-old Aisley McCarthy was buried today in Elkhorn.
[00:05:25.655 --> 00:05:26.616]  You can read it for yourself.
[00:05:28.136 --> 00:05:32.119]  And you need to feel bad for this family because they were caught up in the ruse.
[00:05:32.159 --> 00:05:36.782]  They were caught up in the medical industrial complex ruse that says, hey, if you get the flu shot, you'll be protected.
[00:05:37.639 --> 00:05:41.884]  But as we've seen time and time again, people who get the flu shot end up getting sick with the flu.
[00:05:42.044 --> 00:05:44.907]  With regard to risk, there is no question, Campbell.
[00:05:45.128 --> 00:05:48.632]  It would be dishonest to say that we know for sure the vaccine is going to be safe for everybody.
[00:05:48.812 --> 00:05:51.875]  Ronan was rushed to Doernbecher Children's Hospital in Portland.
[00:05:52.296 --> 00:05:57.622]  Doctors there tried to save him, but Burgess says he went without oxygen for too long.
[00:05:58.055 --> 00:06:00.657]  ...and suffered brain damage that was irreversible.
[00:06:01.177 --> 00:06:02.758]  He died days later.
[00:06:02.918 --> 00:06:09.942]  She's sharing her story to warn others that the flu shot is not always enough to protect children from the H1N1 virus.
[00:06:10.122 --> 00:06:12.363]  Her nine-year-old daughter was happy and healthy.
[00:06:12.944 --> 00:06:18.247]  But just three days after receiving a flu shot, Mary Sue was paralyzed, diagnosed with a rare disease.
[00:06:18.907 --> 00:06:19.848]  So what happened?
[00:06:20.253 --> 00:06:24.459]  Just a few weeks ago, Amber had gotten a flu shot, but she managed to get the flu anyway.
[00:06:24.799 --> 00:06:30.567]  Within hours of Amber experiencing flu-like symptoms, she landed in the hospital fighting for her life.
[00:06:31.348 --> 00:06:32.330]  I can't even read.
[00:06:32.350 --> 00:06:35.835]  I used to love to read.
[00:06:37.935 --> 00:06:40.136]  I love to sew and crochet.
[00:06:40.156 --> 00:06:41.697]  I can't do that now.
[00:06:42.578 --> 00:06:44.339]  That flu shot did me in.
[00:06:44.519 --> 00:06:45.079]  I'm going to get it.
[00:06:45.420 --> 00:06:45.680]  Yes.
[00:06:45.700 --> 00:06:46.380]  If that helps at all.
[00:06:46.440 --> 00:06:48.161]  But I'll tell you my wife is not getting me as her kids.
[00:06:48.561 --> 00:06:51.423]  Because I've got four of them and when I go home I'm not Dr. Oz, I'm Mr. Oz.
[00:06:52.023 --> 00:06:55.606]  So if you want to protect your immune system you can check out all the products we have at Infowarslife.com.
[00:06:56.426 --> 00:06:57.647]  And I suggest that you do do that.
[00:06:58.047 --> 00:07:07.411]  And if you do find yourself getting sick with the flu, you can do what I do, which is take our Silver Bullet product, which has definitely cut down on major sicknesses that I've felt coming on.
[00:07:07.812 --> 00:07:09.172]  Took that, boom, wipes them out.
[00:07:09.392 --> 00:07:11.733]  But that's just my opinion, and that's just my personal history.
[00:07:12.274 --> 00:07:14.495]  Of course, you need to consult your doctor for anything like this.
[00:07:14.955 --> 00:07:17.456]  This has been Rob Dufour for Infowars.com and Infowars Nightly News.
[00:07:17.796 --> 00:07:21.498]  If you are watching this on YouTube, please consider becoming a member of PrisonPlanet.tv.
[00:07:21.938 --> 00:07:28.261]  Your subscription can be shared with up to 20 people now and we're having a great special to kick off the 20 years that Alex Jones has been on the air.
[00:07:28.601 --> 00:07:31.563]  So come a member today and help us take this fight to the next level.
[00:07:32.344 --> 00:07:34.927]  Every year we make resolutions to lose weight and get in shape.
[00:07:35.028 --> 00:07:36.189]  And the truth is, it's hard.
[00:07:36.449 --> 00:07:37.931]  Even with diet and exercise.
[00:07:38.111 --> 00:07:43.178]  Because of toxic food in our environment that is stressing our bodies more than ever before.
[00:07:43.318 --> 00:07:50.147]  Working with experts in nutrition and biochemistry, I found that super high quality nutraceuticals, in addition to my diet and exercise,
[00:07:50.447 --> 00:07:52.429]  Worthy answers that synergistically worked.
[00:07:52.670 --> 00:07:59.177]  I can see the drastic changes every day with the amount of weight I've lost, my increased stamina, and more of a twinkle in my eye.
[00:07:59.518 --> 00:08:05.445]  That's why we are now so excited to launch the InfoWars Life Resolution Pack, combining three essential formulations.
[00:08:05.905 --> 00:08:13.632]  Oxygen-Based Cleanser Oxy Powder, The Secret 12 Bioavailable Vitamin B12, and your choice of Super Female or Super Male Vitality.
[00:08:13.812 --> 00:08:20.418]  Now all available at a discounted price to you and your family to bring in the new year and make 2015 a true success.
[00:08:20.778 --> 00:08:22.020]  That's Infowarslife.com or 888-253-3139.
[00:08:22.040 --> 00:08:25.102]  2015 is the year to do it and it all starts at Infowarslife.com.
[00:08:43.976 --> 00:08:49.425]  Yes, these men and their hypnotized followers call this a new order.
[00:08:49.445 --> 00:08:52.630]  It is not new, and it is not order.
