[00:00:03.679 --> 00:00:06.260]  So what do you say about the influence?
[00:03:00.472 --> 00:03:03.694]  If that's the charge, I stand guilty, and I am proud of it.
[00:03:04.099 --> 00:03:12.882]  Already we've seen leading members of Congress used to always attend the Speaker of the House of Representatives, ranking Senators would attend.
[00:03:13.703 --> 00:03:17.904]  Now they don't dare because they get mail from their own constituents.
[00:03:19.225 --> 00:03:31.309]  Voters in their own congressional district are in their home state for the Senators saying if you do business with these criminals anymore, we'll never vote for you again.
[00:03:31.769 --> 00:03:32.830]  We'll vote for anybody else.
[00:03:33.710 --> 00:03:37.394]  And they've been politically frightened out of the ballgame.
[00:03:37.454 --> 00:03:49.245]  19th century politician and historian Lord Acton said the issue which has swept down the centuries and which will have to be fought sooner or later is the people versus the banks.
[00:03:49.705 --> 00:03:56.455]  The ruthless and cunning behavior of the attendees of the Bilderberg Conference can be summed up in the Machiavelli quote,
[00:04:04.907 --> 00:04:17.451]  We can see the ripples of secrecy in the Bilderberg Group and that of President Obama's TPP and Adam Weishaupt, founder of the Illuminati's quote, The great strength of our order lies in its concealment.
[00:04:17.611 --> 00:04:25.173]  Let it never appear in any place in its own name, but always concealed by another name and another occupation.
[00:04:25.473 --> 00:04:31.874]  Baron Nathan Mare Rothschild said, I care not what puppet is placed on the throne of England to rule the Empire.
[00:04:32.154 --> 00:04:38.135]  The man that controls Britain's money supply controls the British Empire, and I control the money supply.
[00:04:38.775 --> 00:04:52.458]  And if those quotes aren't creepy enough for you, David Spangler of the United Nations Directory of the Planetary Initiative said, No one will enter the New World Order unless he or she will make a pledge to worship Lucifer.
[00:04:53.138 --> 00:04:59.362]  No one will enter the new age unless he will take a Luciferian initiation.
[00:04:59.782 --> 00:05:03.485]  And it's not as if we have not been warned time and time again.
[00:05:03.625 --> 00:05:11.590]  Congressman Louis T. McFadden in 1932 said, We have in this country one of the most corrupt institutions the world has ever known.
[00:05:11.930 --> 00:05:14.311]  I refer to the Federal Reserve Board.
[00:05:14.431 --> 00:05:20.375]  This evil institution has impoverished the people of the United States and has practically bankrupted our government.
[00:05:20.535 --> 00:05:25.177]  It has done this through the corrupt practices of the moneyed vultures who control it.
[00:05:25.457 --> 00:05:31.219]  Woodrow Wilson, who signed the Federal Reserve into existence, said, I am a most unhappy man.
[00:05:31.379 --> 00:05:33.560]  I've unwittingly ruined my country.
[00:05:33.720 --> 00:05:37.321]  A great industrial nation is controlled by its system of credit.
[00:05:37.681 --> 00:05:39.842]  Our system of credit is concentrated.
[00:05:40.202 --> 00:05:46.064]  The growth of the nation, therefore, and all our activities are in the hands of a few men.
[00:05:46.704 --> 00:05:48.565]  John Bowne for InfoWars.com
[00:05:55.811 --> 00:05:57.111]  Hi, I'm Shane Steiner.
[00:05:57.691 --> 00:06:00.432]  A lot of you have been following my progress using Supermale Vitality.
[00:06:00.652 --> 00:06:03.333]  The last 19 weeks has been an incredible experience.
[00:06:03.713 --> 00:06:08.754]  I was feeling a little down and lethargic during the holidays, and none of the supplements that I was taking were doing any good.
[00:06:08.934 --> 00:06:13.536]  That's when my longtime friend from high school, Alex Jones, introduced me to Supermale Vitality.
[00:06:13.796 --> 00:06:14.976]  I was a little skeptical at first.
[00:06:15.356 --> 00:06:24.063]  Not only would I have the energy to work out and go to the gym, but it was actually the changes were happening in my body a lot more rapidly.
[00:06:24.183 --> 00:06:28.146]  My whole mood, my libido, everything had completely changed.
[00:06:28.607 --> 00:06:35.192]  The concentrated organic herbs, they stimulate your natural systems to produce the natural hormones that you need.
[00:06:35.552 --> 00:06:46.939]  I just really wanted to bulk up and hit it hard and I went in for about the first five weeks and was lifting heavy weight and just really hitting it hard and I gained 20 pounds of muscle immediately.
[00:06:47.099 --> 00:06:49.780]  Since that, I've decided I was going to lose some weight and slim down.
[00:06:49.800 --> 00:06:52.942]  I just changed up my workout a little bit and 35 pounds came off.
[00:06:53.222 --> 00:06:54.283]  Folks, this is not a joke.
[00:06:54.483 --> 00:06:55.264]  This is not a gimmick.
[00:06:55.344 --> 00:06:55.844]  It's real.
[00:06:56.144 --> 00:06:57.025]  Super Male Vitality.
[00:06:57.325 --> 00:06:58.826]  Available at Infowarslife.com.
