[00:00:00.871 --> 00:00:01.651]  It's now official.
[00:04:25.622 --> 00:04:52.525]   Hundreds of thousands of people there, the police stand down, less than a hundred rioters, We now know mainly work for the Feds Antifa and Boogaloo connected groups broke through and then some people excited went to the Capitol and stayed within the velvet ropes and got a tour and now we're being told based on that America is going under a permanent civil emergency martial law and that we need to quote be routed out of
[00:04:53.393 --> 00:04:56.294]  By the Defense Department, the CIA working with the FBI.
[00:04:56.574 --> 00:05:02.436]  And again, the FBI can operate domestically, but when it works with the CIA and or the Defense Department, that is extremely illegal.
[00:05:02.756 --> 00:05:03.677]  That is extremely dangerous.
[00:05:03.697 --> 00:05:10.919]  And that's why even the squad has come out and said this is wrong because they understand what's going on because they're connected to real terrorists.
[00:05:11.279 --> 00:05:20.623]  And so even, you know, mainline, you know, terror connected Democrats who are now given free reign in America are scared because they understand that that could be aimed at them legitimately in the future.
[00:05:21.323 --> 00:05:40.280]  It's very important for me to reach out to any new viewers and listeners at this point and to beg you to go back and research globalist reports and documents from the last few decades so that when you understand this information is real and not my opinion, you'll be forced to either submit to this takeover or take action against it.
[00:05:40.360 --> 00:05:41.581]  I believe you'll take action against it.
[00:05:42.142 --> 00:05:43.743]  It needs your consent.
[00:05:44.524 --> 00:05:45.505]  It needs you to submit.
[00:05:46.653 --> 00:05:54.160]  The Globalists are simply all the old money figuring out how to use technology and high-tech manipulation to control populations.
[00:05:55.281 --> 00:06:03.609]  And back in the 40s, they tasked the Carnegie Endowment, along with the Rockefeller Endowment, to create a world without conflict.
[00:06:03.829 --> 00:06:04.870]  You can go read these documents.
[00:06:05.491 --> 00:06:09.415]  They developed plans like 7277, State Department memorandum, and others.
[00:06:10.015 --> 00:06:11.737]  And much of this has now been declassified.
[00:06:12.557 --> 00:06:16.981]  Back in the seventies by Anthony Sutton that was the head archivist for the House and Senate.
[00:06:17.361 --> 00:06:20.003]  He wrote several big books with those documents in it.
[00:06:21.324 --> 00:06:28.591]  Anthony Sutton also first got the secret Skull and Bones documents from Charlotte Iserby whose father was a member of Skull and Bones.
[00:06:28.631 --> 00:06:30.672]  So that's how we know this plan.
[00:06:31.132 --> 00:06:36.652]   And their argument is they bring in a world government and they get rid of male and female
[00:06:36.652 --> 00:06:42.252]   for most of the commoners and basically chemicalize us from birth
[00:06:42.252 --> 00:06:46.212]   and just keep us, they describe us as dwarf-like servant creatures.
[00:06:46.212 --> 00:06:48.733]  You probably read this in Brave New World.
[00:06:48.733 --> 00:06:50.532]  Huxley wrote that in '32.
[00:06:50.532 --> 00:06:54.532]  His brother ran the UN later, UNESCO, Julian Huxley.
[00:06:54.532 --> 00:07:00.413]   And he later wrote Brave New World revisited in '61 before he died, saying this is actually our plan.
[00:07:00.413 --> 00:07:02.971]  So again, we're in 2021 now.
[00:07:02.971 --> 00:07:05.772]  You can see that we're in the science fiction realm.
[00:07:05.772 --> 00:07:07.972]  We're not in 1932.
[00:07:07.972 --> 00:07:10.851]  And this group has envisioned this and they've done this.
[00:07:11.370 --> 00:07:16.232]  Just like the Wright Brothers, you know, a hundred and something years ago, basically got a Bolswood airplane to take off.
[00:07:16.572 --> 00:07:17.453]  It was bicycle powered.
[00:07:18.033 --> 00:07:22.715]  And then now we've got jets that go Mach 6, or space planes, the rest of it.
[00:07:22.755 --> 00:07:27.317]  So, they envisioned all of this, and they've been slowly setting it up.
[00:07:27.357 --> 00:07:30.058]  And now that they have the technocracy in place, they're trying to carry it out.
[00:07:30.278 --> 00:07:32.419]  And they purposely wanted to get everybody in debt first.
[00:07:33.200 --> 00:07:39.407]   So they've created Now it's about 10 quadrillion dollars, just the United States alone.
[00:07:40.168 --> 00:07:41.409]  Worldwide, no one knows.
[00:07:42.129 --> 00:07:49.815]  But we're talking about thousands and thousands and thousands and thousands and tens of thousands and hundreds of thousands of just trillions of unlimited dollars.
[00:07:49.875 --> 00:07:50.535]  It's all made up.
[00:07:50.595 --> 00:07:51.416]  It's all fraudulent.
[00:07:52.050 --> 00:07:59.170]   and they did this by selling mortgages 10, 20, 30, 40, 50 times, 100 times in some cases.
[00:07:59.170 --> 00:08:04.009]   And now it's so astronomical that no one even knows how much fake money there is.
[00:08:04.009 --> 00:08:08.290]   So you've all heard about African countries where you had to have $5 trillion to buy a
[00:08:08.290 --> 00:08:13.290]   loaf of bread or Weimar Republic Germany in the Great Depression where you had to have
[00:08:13.290 --> 00:08:18.810]   a wheelbarrow of Deutsche Marks, millions of Deutsche Marks to be able to have a meal
[00:08:18.810 --> 00:08:22.889]   and you pay for your meal up front because by the time you finish the meal in two hours
[00:08:22.889 --> 00:08:23.970]  it would be twice as much.
[00:08:23.970 --> 00:08:25.088]  (slurping)
[00:08:25.216 --> 00:08:32.001]  They've artificially created this, and now they need an excuse to pop the bubble, and then take over all the real land and real property.
[00:08:32.875 --> 00:08:39.919]  And they also need to bankrupt all the real businesses to get people dependent on a universal guaranteed income, about $1,200 a month.
[00:08:40.759 --> 00:08:43.981]  And with that comes all the strings and controls that are attached.
[00:08:44.001 --> 00:08:46.403]  They're now announcing, if you don't take the vaccine, you don't get it.
[00:08:47.043 --> 00:08:49.764]  If you don't send your children to the leftist programming, you don't get it.
[00:08:50.205 --> 00:08:51.045]  And that's just in 2021.
[00:08:51.085 --> 00:08:53.146]  This is all being announced.
[00:08:53.186 --> 00:08:54.767]  So this is total control.
[00:08:54.847 --> 00:08:55.668]  They have a name for it.
[00:08:55.728 --> 00:08:56.508]  It's called serfdom.
[00:08:57.048 --> 00:08:57.849]  It's called slavery.
[00:08:59.161 --> 00:09:07.285]  The globalists for over a hundred years literally meet up on top mountains in Switzerland and other areas in Europe and plot the takeover of society.
[00:09:08.066 --> 00:09:14.629]  And much of this again has come out in Senate reports as early as 1977 in the Church Committee reports.
[00:09:15.270 --> 00:09:16.450]  This is the shadow government.
[00:09:16.910 --> 00:09:22.654]  These are the oligarchs and they want a corporate takeover of the very biological function of humans.
[00:09:23.114 --> 00:09:32.365]   You don't just think they want to control the biological Life cycle of corn or of tomatoes where corn and tomatoes can't produce any new corn or tomatoes.
[00:09:32.385 --> 00:09:35.967]  You have to go back to the corporation and buy the seeds from them that only live once.
[00:09:36.528 --> 00:09:43.633]  You don't just think they want to control the salmon that they've spliced with grasshoppers that are twice as big and eat and kill the normal natural salmon.
[00:09:43.973 --> 00:09:44.434]  They want us.
[00:09:45.345 --> 00:09:51.167]  And they want to control that, and they want to be able to have clones and basically stuff right out of Blade Runner.
[00:09:51.227 --> 00:09:57.949]  They want to be able to play God, and they've been doing all this underground, literally and figuratively, for at least 50 years.
[00:09:58.550 --> 00:10:04.752]  And now they're emerging with all of it out in the open, and they want to be able to silence anybody that challenges them.
[00:10:06.152 --> 00:10:08.233]  So, here's the most important point I want to make to everybody.
[00:10:08.813 --> 00:10:10.654]  They're preparing a global financial collapse.
[00:10:11.425 --> 00:10:13.786]  They're going to roll out new digital cryptocurrencies.
[00:10:14.066 --> 00:10:16.047]  China is launching theirs in two months.
[00:10:16.807 --> 00:10:19.848]  The system has bet everything on big tech and the social media.
[00:10:20.188 --> 00:10:21.969]  Those are going to be the new digital countries.
[00:10:22.649 --> 00:10:37.655]  And it's going to be in those digital countries minded and controlled by literal communist trained organizations like the Southern Poverty Law Center and ADL that you'll be programmed to live in a new communist system where the corporations are above you and operate a corporate fascist crony capitalist system.
[00:10:38.345 --> 00:10:40.749]  And so I know this has become a very partisan issue.
[00:10:40.889 --> 00:10:42.572]  I didn't like George Bush because he was pro-war.
[00:10:42.992 --> 00:10:43.653]  I exposed him.
[00:10:44.495 --> 00:10:47.519]  I didn't like Bill Clinton because he was evil or Barack Obama because he was a fraud.
[00:10:47.920 --> 00:10:49.422]  And a lot of Democrats like me and listen to me.
[00:10:50.307 --> 00:10:52.648]  Because they're like, hey, this guy, you know, makes a lot of sense.
[00:10:53.069 --> 00:10:55.650]  Trump came along and I saw him as a chance to beat the globalists.
[00:10:56.030 --> 00:10:59.732]  He had a lot of problems and it became partisan again, but Trump's gone.
[00:11:00.213 --> 00:11:00.473]  Okay.
[00:11:00.533 --> 00:11:04.835]  And so that's a negative thing in some ways, as you're now seeing, it's accelerating the globalist plan.
[00:11:05.536 --> 00:11:08.797]  But at another level, it's time for people to come together and realize how serious this is.
[00:11:09.418 --> 00:11:11.779]  It doesn't matter if it's Mitch McConnell or Chuck Schumer.
[00:11:11.799 --> 00:11:16.622]  These are all very, very bad, very, very empty people put in power by the structure because they're puppets.
[00:11:17.302 --> 00:11:29.567]  And they're preparing a global collapse, they're accelerating a global collapse, and you need to know that if you go along with this, if you go along with wearing the mask and taking the inoculations and all this, you're not having power over the system by joining it.
[00:11:29.747 --> 00:11:37.910]  You are becoming a cog in the system and a slave, and you are greasing the skids for all of our destruction, because this is all about depopulation at the end of the day.
[00:11:38.431 --> 00:11:41.992]  So please, if you're a new viewer or a new listener, check out this information.
[00:11:42.032 --> 00:11:47.748]   Look into the Davos Group, look into the Club of Rome, Look into State Department memorandum 7277.
[00:11:49.669 --> 00:11:52.650]  Look into State Department memorandum 200 from Kissinger.
[00:11:53.611 --> 00:11:56.472]  Look into the Globalist Depopulation Plan.
[00:11:56.512 --> 00:12:00.675]  They call it the good club, billionaire's club, for global government depopulation.
[00:12:01.727 --> 00:12:11.394]  Look into the people that want you to take the inoculations and want to force all this on you, who they are and how they admit that through these mRNA vaccines they want to attack the placenta in women so they can't have children.
[00:12:11.915 --> 00:12:13.176]  Look into Operation Lockstep.
[00:12:13.456 --> 00:12:15.457]  Look into Operation Event 201.
[00:12:16.898 --> 00:12:21.442]  Look into Fauci funding six years ago, the coronavirus research at Wuhan.
[00:12:21.462 --> 00:12:22.182]  That's on record.
[00:12:22.222 --> 00:12:23.243]  Hell, it was big news then.
[00:12:23.263 --> 00:12:24.164]  It was very controversial.
[00:12:24.810 --> 00:12:27.512]  But USA Today goes, oh, it's a conspiracy theory, New York Times.
[00:12:27.892 --> 00:12:29.173]  Don't let them lie to you.
[00:12:29.834 --> 00:12:35.478]  Don't let them cut you off from the truth, because if they were so powerful, if they were invincible, they wouldn't want all of us shut down right now.
[00:12:36.198 --> 00:12:49.808]  The truth is, we have a real shot at turning this around and changing all this, but you've got to do the core research and then say, I'm a human being, I have value, I have rights, and I declare them, and I do not accept this new world order takeover.
[00:12:50.628 --> 00:12:56.325]   Because again, this is a design collapse They create quadrillions upon quadrillions of fake money.
[00:12:56.786 --> 00:13:02.550]  They buy up the world, but then there's so much debt that causes inflation, so they start hyperinflating.
[00:13:02.870 --> 00:13:08.174]  And that's why these two Republicans didn't want to have big deficits, neither did the Democrats, at least they claim.
[00:13:08.194 --> 00:13:11.516]  But now Joe Biden doesn't care, just like Trump doesn't care, because it's too late.
[00:13:12.657 --> 00:13:25.915]   They're going into the hyperinflation mode, and the average person's not gonna be able to afford anything but a coffin-sized apartment, and you're only gonna be able to use the credits on your universal credit score To get a 250-square-foot coffin apartment.
[00:13:26.135 --> 00:13:26.875]  This is all official.
[00:13:26.895 --> 00:13:29.676]  That's why they've been making it cool and saying it's trendy.
[00:13:29.836 --> 00:13:34.557]  All of this is training you to accept less and to have no freedoms.
[00:13:34.577 --> 00:13:38.478]  And they're going to merge the Western world with the Third World into one giant slum.
[00:13:39.378 --> 00:13:46.200]  But the Third World will be corralled into these UN corridors in the Western world where there's authorized human activity.
[00:13:46.280 --> 00:13:47.640]  Everywhere else will be unauthorized.
[00:13:47.900 --> 00:13:48.980]  We'll show you some UN maps.
[00:13:50.020 --> 00:13:52.001]  And from the 90s, by the way.
[00:13:52.981 --> 00:13:54.922]  Dr. Michael Coffin put together with their own documents.
[00:13:55.802 --> 00:13:57.982]  And so, again, this is a dystopia.
[00:13:58.262 --> 00:14:02.544]  All the other areas, all other farmland and rural areas, will be off-limits.
[00:14:03.624 --> 00:14:07.165]  And the cars won't even start, because they're all going to be self-driving.
[00:14:07.445 --> 00:14:18.668]  And you won't be able to even get into those areas via the Global Social Credit Score, wherein Apple and Google and China's own words, if you haven't submitted to them, you won't be able to take one half step outside your front door.
[00:14:18.708 --> 00:14:25.898]   So if you think they're just taking Trump's bank accounts away, Before my bank accounts away, think again.
[00:14:25.958 --> 00:14:29.080]  This is coming for everyone in a big, big way.
[00:14:29.721 --> 00:14:33.444]  People are now figuring out that I didn't say this stuff over the years to just scare you.
[00:14:34.465 --> 00:14:35.826]  I didn't just make this stuff up.
[00:14:36.607 --> 00:14:45.794]  Harry Shearer once in a documentary talked about listening to me and he said, you know, I'll sit there listening to it with my family on a shortwave radio while we're out camping.
[00:14:45.954 --> 00:14:50.398]  And, you know, this guy could be, you know, the most incredible fiction writer ever.
[00:14:51.537 --> 00:14:54.420]  Because the stuff he makes up is just fantastical and so scary.
[00:14:55.300 --> 00:14:56.842]  Well, see, sure, I didn't make it up, dude.
[00:14:56.922 --> 00:14:58.783]  I'm not that smart or that cool.
[00:14:59.564 --> 00:15:07.350]  But when I do read top rich people saying they're gonna do this, and then I watch them carry out each piece of it, I am smart enough to do something about it, buddy.
[00:15:08.271 --> 00:15:11.093]  So, I'm not this master science fiction writer.
[00:15:12.334 --> 00:15:12.675]  I'm not.
[00:15:12.735 --> 00:15:15.417]  I'm just a father and an American and somebody that cares about humanity.
[00:15:16.038 --> 00:15:17.098]  And this stuff's real, okay?
[00:15:18.032 --> 00:15:24.279]  I don't care if you're black, white, old, young, a Muslim, a Jew, a Christian, an agnostic, an atheist, whatever the hell you are, you're a human.
[00:15:24.479 --> 00:15:32.167]  You better start valuing yourself because this world government is 100% real and it's 100% authoritarian and it's 100% anti-human.
[00:15:33.268 --> 00:15:38.208]   And of course, if you think Joe Biden and martial law You're wrong.
[00:15:38.228 --> 00:15:39.428]  This is way bigger than Joe Biden.
[00:15:39.448 --> 00:15:40.889]  He's a husk, a puppet.
[00:15:41.149 --> 00:15:43.869]  But the people behind him that pull the strings are very, very ruthless.
[00:15:44.429 --> 00:15:46.430]  And they want you poor and under their control.
[00:15:46.470 --> 00:15:47.230]  These are monsters.
[00:15:47.770 --> 00:15:48.750]  Look into Klaus Schwab.
[00:15:48.850 --> 00:15:49.650]  Look into Bill Gates.
[00:15:50.390 --> 00:15:54.591]  Look into Jean-Claude Juncker, the heir to the entire Nazi fortune.
[00:15:54.631 --> 00:15:55.731]  He owns Luxembourg.
[00:15:57.331 --> 00:15:58.032]  German royalty.
[00:15:58.872 --> 00:16:02.032]  Look into Prince Charles running the whole operation.
[00:16:02.072 --> 00:16:04.493]  His father saying he wants to be a virus to kill 80% of us.
[00:16:05.373 --> 00:16:05.873]  Prince Philip.
[00:16:06.843 --> 00:16:16.066]  And then realize that it doesn't matter if you're somebody that works at the Southern Poverty Law Center or whether you're somebody that works at the ADL or whether you're somebody that works at Media Matters.
[00:16:17.426 --> 00:16:20.647]  I can get here on an animal level and hate you and get mad at you.
[00:16:21.808 --> 00:16:23.048]  But I realize you're just taking a paycheck.
[00:16:23.488 --> 00:16:24.509]  Okay, so I'm going to say this.
[00:16:24.609 --> 00:16:25.449]  I actually care about you.
[00:16:26.317 --> 00:16:32.179]  Because if we're going to turn this around, I need to reach out to people like you and get you to understand that you're destroying yourself.
[00:16:32.640 --> 00:16:36.961]  I know they're just going to find somebody else to take your job if you grow a conscience and do the right thing.
[00:16:37.802 --> 00:16:39.462]  I'm just speaking to you because your soul matters.
[00:16:39.522 --> 00:16:41.043]  And I'm talking to right-wingers.
[00:16:41.083 --> 00:16:42.163]  And I'm talking to left-wingers.
[00:16:42.503 --> 00:16:46.025]  I'm talking to idiots in the KKK and real white supremacists.
[00:16:46.525 --> 00:16:47.425]  There are some of them out there.
[00:16:48.006 --> 00:16:49.986]  Do you understand this is an attack on humans, period?
[00:16:50.507 --> 00:16:53.648]  Do you understand the so-called left you think you're fighting, George Soros and these people?
[00:16:54.881 --> 00:17:01.350]  Are absolutely ruthless eugenicists that hate everybody and think that we all deserve to basically die under social Darwinistic systems?
[00:17:02.672 --> 00:17:04.674]  I don't care which one of these organizations or groups you're in.
[00:17:05.476 --> 00:17:06.477]  We're all being targeted.
[00:17:06.497 --> 00:17:07.138]  This is stupid.
[00:17:07.999 --> 00:17:08.660]  This is stupid.
[00:17:09.000 --> 00:17:09.501]  This is wrong.
[00:17:10.142 --> 00:17:12.545]  Are some areas of Africa overpopulated or Latin America?
[00:17:12.565 --> 00:17:13.046]  Damn right!
[00:17:13.624 --> 00:17:16.666]  Are they not getting enough nutrition so they grow up with low IQs?
[00:17:16.686 --> 00:17:17.286]  Yeah, it's sad.
[00:17:17.446 --> 00:17:21.689]  I want to build them up, industrialize them, then their population will stabilize, all the studies show.
[00:17:22.310 --> 00:17:29.474]  Instead, if you read deeper into the globalist models, they balloon the third world population to use that as a political weapon to actually take over the planet.
[00:17:29.534 --> 00:17:30.615]  This is so cold-blooded.
[00:17:31.295 --> 00:17:34.617]  So everything you hear the globalists saying they're doing, for one reason, is really for another.
[00:17:35.158 --> 00:17:35.418]  All right.
[00:17:36.488 --> 00:17:39.610]  Owen Schroyer is sitting in this week for me, but I'll be popping in with live reports as well.
[00:17:39.990 --> 00:17:43.371]  Had to take some time off with the family, but these are just incredible times.
[00:17:43.411 --> 00:17:50.775]  And I'm so glad that Tulsi Gabbards and that so many others are coming out and pointing out the elephant in the room that yes, it's martial law, but it's medical martial law.
[00:17:51.055 --> 00:17:52.155]  It's cultural martial law.
[00:17:52.195 --> 00:17:53.796]  It's big tech AI martial law.
[00:17:54.276 --> 00:18:01.700]  And it's all about oppressing and dominating and getting past these barriers that our ancestors fought for thousands of years to develop.
[00:18:03.862 --> 00:18:11.069]  This is an authoritarian revolution taking over the planet.
[00:18:11.510 --> 00:18:12.571]  It is the great reset.
[00:18:12.651 --> 00:18:13.672]  It is the great takeover.
[00:18:13.692 --> 00:18:17.356]  It is the cover for the global collapse to consolidate their control.
[00:18:18.485 --> 00:18:20.965]   and move to the final phase of their takeover where they believe they're going to merge the
[00:18:20.965 --> 00:18:24.244]   machines and become gods. I don't know that's going to come true for these megalomaniacs. I
[00:18:24.244 --> 00:18:28.965]   just know they've been following their plan and so far they've been succeeding. And they believe
[00:18:28.965 --> 00:18:33.685]   that if you don't stand up and say no to them that you deserve what happens to you. Think about that.
[00:18:33.685 --> 00:18:38.805]   Do you deserve what happens to you? Do you really just want to sign over your will and believe
[00:18:38.805 --> 00:18:42.405]   you're on the winning team and get a universal income and do whatever they say?
[00:18:42.560 --> 00:18:50.947]  Do you really think that's good to be like a cow or a pig or a duck that's in a pen that is ignorant to the day it's slaughtered and doesn't control its own destiny?
[00:18:51.127 --> 00:18:51.907]  You're a human being.
[00:18:51.928 --> 00:18:52.588]  You have free will.
[00:18:52.828 --> 00:18:54.449]  We have incredible potential together.
[00:18:55.090 --> 00:19:00.894]  But you've got to decide that you have that potential and you've got to declare that potential and you've got to stand for that potential.
[00:19:01.074 --> 00:19:01.875]  We're all going to make mistakes.
[00:19:01.895 --> 00:19:02.496]  None of us are perfect.
[00:19:02.796 --> 00:19:04.217]  And for my mistakes, I apologize.
[00:19:05.162 --> 00:19:10.646]  For the things I haven't done, I apologize for the fact that I've been so threatened by this, knowing all this news for decades and trying to warn people.
[00:19:11.006 --> 00:19:12.728]  I've been obnoxious in the process, but it doesn't matter.
[00:19:12.988 --> 00:19:16.411]  I've been the man in the arena, and at least we've raised the alarm and done a lot of good.
[00:19:16.971 --> 00:19:21.134]  And in closing, I want to salute our listeners and supporters and the crew and everybody that makes this happen.
[00:19:21.935 --> 00:19:23.256]  Without you, we wouldn't be on air right now.
[00:19:24.016 --> 00:19:29.641]  Without you, we couldn't have warned people how they were planting false flags on the 20th and had Americans stand down and not walk into that trap.
[00:19:30.421 --> 00:19:32.763]  And without you keeping us on air, God knows where we'd be now.
[00:19:32.803 --> 00:19:34.124]  So it's a very great honor.
[00:19:35.696 --> 00:19:47.959]  The Globalists want all of us to be victims.
[00:19:48.159 --> 00:19:55.360]  Everything they do is about debilitating us, dumbing us down, making us sickly, and trying to cut us off from each other, and cut us off from God.
[00:19:55.920 --> 00:19:59.041]  Well, about four years ago, the Jones family began to carry out a ritual.
[00:19:59.657 --> 00:20:06.397]   of health. Every three or four days I get out a scoop of vitamin or fusion or two, put it in a glass pitcher, stir
[00:20:06.397 --> 00:20:12.298]   it up, put some ice in it, put it in the refrigerator, and at least once or twice a day have a refreshing, totally
[00:20:12.298 --> 00:20:18.286]   healthy, nutritious drink full of natural vitamins, minerals, and other key amino acids so your body can upload
[00:20:18.286 --> 00:20:24.307]   it. A lot of multivitamins have good ingredients in them, but it doesn't get absorbed properly. But if it's liquefied,
[00:20:24.307 --> 00:20:29.657]   and if you drink it several times a day, you get a lot better absorption.
[00:20:28.851 --> 00:20:29.571]  I am so healthy.
[00:20:29.631 --> 00:20:30.552]  My children are so healthy.
[00:20:30.572 --> 00:20:31.613]  It's got vitamin D3.
[00:20:31.973 --> 00:20:32.574]  It's got zinc.
[00:20:32.634 --> 00:20:35.476]  It's got everything that is essential in it.
[00:20:35.877 --> 00:20:37.759]  It is a liquid multivitamin.
[00:20:38.319 --> 00:20:45.706]  And it's so important all the time, not just with what's been going on the last year, to have these key vitamins and minerals in your cells, in your body.
[00:20:46.286 --> 00:20:47.447]  That's why it's called essential.
[00:20:48.732 --> 00:20:49.652]  I'm not talking down to you.
[00:20:49.713 --> 00:20:51.453]  I know that you know what essential means.
[00:20:51.493 --> 00:20:52.134]  You'd die without it.
[00:20:52.534 --> 00:20:55.676]  But your friends, your neighbors, your family don't even know this.
[00:20:55.776 --> 00:21:04.260]  So it's important to not just get vitamin refusal for yourself and your family, but to tell other folks about it, or at least tell them that they do need a high quality multivitamin.
[00:21:04.500 --> 00:21:07.861]  There's a lot of synthetic multivitamins out there that are actually toxic and do not help you.
[00:21:08.101 --> 00:21:08.942]  This is not synthetic.
[00:21:08.982 --> 00:21:09.622]  It's high quality.
[00:21:10.002 --> 00:21:17.505]  And because it's so important, we've been even sold out for months, I'm selling it at 50% off, even though we have a limited shipment.
[00:21:17.525 --> 00:21:21.907]  50% off for everybody at infomarkstore.com on Vitamin Mineral Fusion.
[00:21:22.047 --> 00:21:22.827]  Get yours today.
[00:21:23.267 --> 00:21:23.787]  Enjoy it.
[00:21:24.108 --> 00:21:24.468]  Share it.
[00:21:25.288 --> 00:21:36.304]  It's what God gave us, the vitamins and minerals that make up our body, and it's all in there, in Vitamin Mineral Fusion, available at InfoWarsTore.com or by calling toll free, 888-253-3139.
[00:21:37.065 --> 00:21:41.432]  Again, 50% off on Vitamin Mineral Fusion at InfoWarsTore.com right now.
