[00:00:01.235 --> 00:00:02.336]  The human organism.
[00:05:03.638 --> 00:05:04.139]  What sort of tests?
[00:05:04.159 --> 00:05:04.459]  Nice tests.
[00:05:04.278 --> 00:05:10.278]   and actually at the United Nations, that they could use this as a pretext to organize and
[00:05:10.278 --> 00:05:15.278]   control society. Not the real threat of a virus, but the fear of a virus.
[00:05:15.278 --> 00:05:18.278]  I'd like to run some tests on you, Lincoln.
[00:05:18.278 --> 00:05:20.278]  What sort of tests?
[00:05:20.278 --> 00:05:22.278]  Nice tests.
[00:05:22.278 --> 00:05:25.278]  Okay, let's get you comfortable.
[00:05:25.278 --> 00:05:27.278]  Come back.
[00:05:27.278 --> 00:05:33.278]  I thought these were nice tests.
[00:05:33.230 --> 00:05:34.891]  It's a synaptic brain scan.
[00:05:35.371 --> 00:05:49.420]  Totally harmless.
[00:05:50.120 --> 00:05:52.782]  Microsensors will move along your optic nerve.
[00:05:53.562 --> 00:05:58.806]  They'll be uploading readings to us over the next 24 hours, after which you'll pass them through your urine.
[00:05:59.386 --> 00:06:00.207]  Now that might hurt.
[00:06:01.647 --> 00:06:11.250]  Think the Truman Show, think the Matrix, but really in a near-world, near-future context that could actually come true and happen.
[00:06:11.910 --> 00:06:17.572]  This is what happens when corporations can play God and when our genetics have just become a commodity.
[00:06:18.312 --> 00:06:24.934]  Well, then if you decide to make a clone of yourself, even though it's actually you, it doesn't have rights because you decided to do that.
[00:06:25.574 --> 00:06:28.775]  You've now set a precedent where you yourself won't have rights.
[00:06:29.625 --> 00:06:32.566]  Welcome to the next generation of science.
[00:06:33.646 --> 00:06:34.286]  The Agnet.
[00:06:35.606 --> 00:06:41.167]  An organic frame engineered directly into adulthood to match the client's age.
[00:06:42.227 --> 00:06:44.708]  You're looking at stage one of its development.
[00:06:45.748 --> 00:06:52.029]  Within 12 months it will be harvest ready, providing a carrier for your baby, second pair of lungs, fresh skin.
[00:06:53.049 --> 00:06:55.490]  All genetically indistinguishable from your own.
[00:06:56.588 --> 00:07:05.732]  And, in compliance with the eugenics laws of 2015, all our agnates are maintained in a persistent vegetative state.
[00:07:06.632 --> 00:07:08.013]  They never achieve consciousness.
[00:07:08.973 --> 00:07:15.296]  They never think, or suffer, or feel pain, joy, love, hate.
[00:07:16.576 --> 00:07:20.738]  It's a product, ladies and gentlemen, in every way that matters.
[00:07:22.318 --> 00:07:23.599]  Not human.
[00:07:25.151 --> 00:07:30.456]  So we're all busy hearing about Black Lives Matter and Antifun, how Dr. Seuss is bad.
[00:07:31.377 --> 00:07:36.282]  But in China for decades, they've been creating animal-human hybrids.
[00:07:36.703 --> 00:07:41.328]  They've been putting animal and insect DNA in humans to, quote, create super soldiers.
[00:07:41.928 --> 00:07:48.174]  The truth is when they're poisoning some poor soldier with some poisonous gene therapy, they tell him, oh, it's to make you a super soldier.
[00:07:48.795 --> 00:07:52.117]  Like Captain America, they make it very Hollywood, they make it very sexy.
[00:07:52.637 --> 00:08:01.802]  So it's not just a parallel to the fact that you can be put in a prison, put in a cage, under the pretext of being safe from an invisible enemy, like COVID-19.
[00:08:02.243 --> 00:08:05.644]  It's also about humanity becoming a commodity.
[00:08:05.965 --> 00:08:13.169]  And the fact that when we treat unborn children or old people like trash, we actually devalue ourselves and allow it to happen to us.
[00:08:13.869 --> 00:08:15.690]  So, you do reap what you sow.
[00:08:16.171 --> 00:08:16.951]  There is karma.
[00:08:17.311 --> 00:08:19.213]  What comes around, goes around.
[00:08:19.233 --> 00:08:32.061]  And that's the message of the 2005 film, The Island, which you don't see Hollywood producing films like this today, because it goes against the very anti-human ethos that they're putting out.
[00:08:32.342 --> 00:08:33.402]  Tell me what's going on!
[00:08:33.422 --> 00:08:34.663]  They're gonna come looking for you!
[00:08:35.224 --> 00:08:36.765]  You're copies of people.
[00:08:36.985 --> 00:08:39.707]  When one of them gets sick and they need a new part, they take it from you!
[00:08:40.808 --> 00:08:42.371]  I'm sorry, I'm not ready to die.
[00:08:42.712 --> 00:08:47.160]  I know you're new to this whole human thing, but... Backpacks for boys, purses for girls.
[00:08:47.180 --> 00:08:47.762]  Understand?
[00:08:48.243 --> 00:08:49.124]  We're not idiots.
[00:08:49.265 --> 00:08:51.789]  Well, excuse me, miss I'm-so-smart-I-can't-wait-to-go-to-the-island.
[00:08:52.725 --> 00:08:55.286]  That's why they're pushing the whole transgender system.
[00:08:55.846 --> 00:08:59.267]  It's not about a guy wanting to become a girl or a girl wanting to become a guy.
[00:08:59.848 --> 00:09:06.650]  It's about, oh, you're merging with a machine, or, oh, this clone we made that a corporation controls, it has rights.
[00:09:07.390 --> 00:09:22.856]   It's about giving up our identity, giving up our individualism, giving up our humanity, so the corporations can basically produce Blade Runner-style replicants, which they program and they control, who can outlive us, Out fight us and out vote us.
[00:09:23.657 --> 00:09:26.599]  This is humanity reaching that Atlantis moment.
[00:09:27.039 --> 00:09:28.260]  Did Atlantis really exist?
[00:09:28.740 --> 00:09:39.067]  An ancient society on an island in the Atlantic Ocean that Plato wrote about, who he believed was real, that had a source of unlimited power and flying ships in the air, that finally exploded, destroying that civilization?
[00:09:39.447 --> 00:09:39.847]  I don't know.
[00:09:40.408 --> 00:09:46.212]  But the allegory, the parallel, the example, is certainly true today of what we've become.
[00:09:46.972 --> 00:09:48.074]  We are Atlantis.
[00:09:48.455 --> 00:09:50.159]  The whole planet Earth is Atlantis.
[00:09:50.720 --> 00:09:56.211]  And the only question is, will we be able to control this god-like power we've been given, or will we destroy ourselves?
[00:09:57.028 --> 00:09:59.490]  The globalists have decided they can't control that power.
[00:09:59.930 --> 00:10:17.281]  So they want to dumb down the population, drug us, manipulate us, use advanced psychology on us, so we become basically mindless jellyfish, so they can cull the number down to a very limited number of people who will then be under a scientific dictatorship and will transcend, in their statements, to the next level of the silicon life form.
[00:10:18.121 --> 00:10:22.702]  This is the most psychotic, evil, inbred globals in the world that are dreaming this vision.
[00:10:23.202 --> 00:10:25.042]  Do you really want them to control your destiny?
[00:10:25.463 --> 00:10:26.243]  That is the question.
[00:10:27.023 --> 00:10:30.264]  If you're gonna come out of Plato's cave, you must admit you're in a cave.
[00:10:30.644 --> 00:10:33.844]  You must expand yourself to the next level of awareness.
[00:10:34.224 --> 00:10:38.485]  And yes, then discover that is yet another cave, to another cave, to another cave.
[00:10:38.845 --> 00:10:41.586]  But if you won't admit you're being manipulated, you have no hope.
[00:10:42.186 --> 00:10:42.946]  I'm Alex Jones.
[00:10:43.326 --> 00:10:45.867]  If you're watching this transmission, you are the resistance.
[00:10:46.267 --> 00:10:47.007]  I've been chosen.
[00:10:48.510 --> 00:10:52.313]  You've been chosen to survive and carry on part of a new beginning.
[00:10:52.994 --> 00:10:54.214]  You're special.
[00:10:54.595 --> 00:10:57.297]  You have a very special purpose in life.
[00:10:57.337 --> 00:11:00.119]  You've been chosen to survive and carry on part of a new beginning.
[00:11:00.139 --> 00:11:00.479]  You're special.
[00:11:00.499 --> 00:11:03.061]  You've been chosen to survive and carry on part of a new beginning.
[00:11:03.101 --> 00:11:04.222]  You're special.
[00:11:05.143 --> 00:11:07.685]  You've been chosen to survive and carry on part of a new beginning.
[00:11:08.165 --> 00:11:08.786]  You're special.
[00:11:08.806 --> 00:11:12.089]  You've been chosen to survive and carry on part of a new beginning.
[00:11:12.129 --> 00:11:12.489]  You're special.
[00:11:12.328 --> 00:11:14.328]  Bob, carry on.
[00:11:14.328 --> 00:11:18.328]  You want to go to the island.
[00:11:18.328 --> 00:11:36.328]  [Music]
[00:11:36.328 --> 00:11:39.328]  Where the hell did this water come from?
[00:11:39.328 --> 00:11:40.328]  Where did it come from?
[00:11:40.660 --> 00:11:43.362]  Where did it come from?
[00:11:45.443 --> 00:11:51.388]  Infowarsstore.com We can't survive without pure, clean drinking water.
[00:11:51.948 --> 00:11:57.532]  So make sure that it's always available to you with the Alexa Pure Water Filtration System.
[00:11:57.872 --> 00:12:05.138]  This gravity-fed system filters through all the toxins and gets straight to clean, healthy, great-tasting water.
[00:12:06.018 --> 00:12:06.358]  Mmm.
[00:12:07.319 --> 00:12:08.339]  Mmm.
[00:12:08.359 --> 00:12:09.780]  Yummy in my tummy.
[00:12:10.460 --> 00:12:20.465]  Bring the purest, most refreshing water to your home by ordering the Alexa Pure Water Filtration System today from InfoWarsTore.com.
[00:12:21.225 --> 00:12:23.386]  InfoWarsTore.com.
[00:12:24.187 --> 00:12:26.488]  Other systems, just don't compare.
