[00:00:03.979 --> 00:00:06.440]  It's Saturday, January 2nd.
[00:09:48.863 --> 00:09:52.704]  to the delegates being officially seated by the Senate.
[00:09:52.704 --> 00:09:57.664]   And so this is really shaking up to be a huge constitutional crisis.
[00:09:57.664 --> 00:09:59.263]  And joining us is Robert Barnes.
[00:09:59.263 --> 00:10:00.024]  They hit on that first.
[00:10:00.283 --> 00:10:02.044]  Robert, breaking news this Saturday evening.
[00:10:02.324 --> 00:10:05.146]  Give us your expert take on what's unfolding right now.
[00:10:06.465 --> 00:10:25.764]  Well, it's in part thanks to the InfoWars audience and people across the country who've been sending letters and emails and texts and faxes and calls and every means of reaching out to their senators that they wanted an objection to be had until there has been confirmation that this election was an honest vote and there's a transparent audit of the election process.
[00:10:26.184 --> 00:10:46.443]   And that is what Senator Ted Cruz, organizing a dozen senators, including both Tennessee senators, And Senator Tuberville and others across the country, Wyoming and elsewhere, said today that they will not allow and they will object to the certification of any electors from the six contested states, Nevada, Georgia, Arizona, Pennsylvania, Michigan, and Wisconsin,
[00:10:47.083 --> 00:10:58.213]  Until and unless there's an election commission, an emergency election commission appointed that investigates and does a meaningful inquiry and a meaningful audit of the entire vote process.
[00:10:58.593 --> 00:11:14.126]  And that includes not only how the votes were counted and how the votes were cast, but also a signature match audit, a publishing of the ballots that are supposed to be printed, which have not yet been done anywhere, even though those ballots have already been scanned and digitized and are available for publishing.
[00:11:14.526 --> 00:11:17.867]  And also confirmation that only legal voters cast ballot.
[00:11:18.187 --> 00:11:27.170]  You didn't have dead people voting, duplicate votes, all the votes that people like Richard Barris and Matt Brainerd have detailed and documented in these key contested states.
[00:11:27.650 --> 00:11:29.931]  So what they're saying is there has to be an election commission.
[00:11:29.951 --> 00:11:31.471]  This is what happened in 1876.
[00:11:32.231 --> 00:11:39.233]  There was discussion of it all the way back to 1800, which was to form a commission made up of five Republicans and five Democrats.
[00:11:39.353 --> 00:11:41.134]  Sometimes they would have five judges join.
[00:11:41.946 --> 00:11:47.329]  And they would look at every single contested issue, hear evidence, take evidence, listen to evidence.
[00:11:48.010 --> 00:11:51.372]  And until that occurs, they are going to object.
[00:11:51.432 --> 00:11:55.994]  And if that does not occur, if no election commission is formed, then no senators will object.
[00:11:56.535 --> 00:11:59.676]  And we have reason to believe many more senators will be objecting.
[00:11:59.696 --> 00:12:10.983]  And ultimately, most Republicans in the House and most Republicans in the Senate will be objecting to this election as an unconstitutional election until and unless that emergency election commission is formed.
[00:12:11.383 --> 00:12:17.269]  So it was a very smart strategy by Trump's team to say, look, they're not even asking any ballots to be thrown out yet.
[00:12:17.329 --> 00:12:21.713]  They're just saying no ballots should be counted until an honest audit occurs.
[00:12:22.113 --> 00:12:23.795]  All of the states have refused to do it.
[00:12:24.175 --> 00:12:25.837]  All of the courts have refused to do it.
[00:12:26.157 --> 00:12:31.822]  So now it is up to Congress, which is the constitutional body charged with this, to take constitutional action.
[00:12:32.523 --> 00:12:47.814]  So if you are an odds maker, which you are one of the best known and biggest successful political gamblers out there, what would you say the odds were before this happened of Trump having a Hail Mary and winning and overturning this fraud versus now?
[00:12:47.834 --> 00:12:51.117]  I mean, to me, it looks like this is ticked back in Trump's favor.
[00:12:51.157 --> 00:13:01.785]  I still don't think it's a 50-50 shot or even a 30-70 shot, but I think things are starting to swing back a little bit towards Trump, especially as all this bonafide evidence of fraud is documented.
[00:13:03.149 --> 00:13:03.509]  Absolutely.
[00:13:03.529 --> 00:13:10.613]  He went from being a long, long shot to sort of an Ohio State-sized long shot last night against Clemson, and of course they won.
[00:13:11.093 --> 00:13:17.256]  So he went from a Hail Mary from his own 20 to a Hail Mary from the opposing team's 30-yard line.
[00:13:17.616 --> 00:13:20.378]  So it's still a long shot, but it's no longer an impossible shot.
[00:13:20.971 --> 00:13:22.272]  And it has two utilities.
[00:13:22.332 --> 00:13:25.596]  Trump's always believed that you plan for the worst but hope for the best.
[00:13:26.056 --> 00:13:27.397]  This is on a parallel track.
[00:13:27.898 --> 00:13:35.525]  This gives him his best chance to get an objection to have a constitutional vote and only a constitutional vote occur, which would in fact make him the president.
[00:13:35.906 --> 00:13:45.375]  But it has the same sidetrack of making it clear to the world that in fact, if Biden is put in, he's being put in unconstitutionally and fraudulently.
[00:13:45.735 --> 00:13:47.857]  He's being put in based on a stolen election.
[00:13:48.198 --> 00:13:52.182]  He is the second coming of his fraudulency, Rutherford B. Hayes from 1876.
[00:13:53.263 --> 00:14:01.951]  And it sets up Trump and the populist movement to begin to discredit the establishment in the Biden administration and to build for 2024.
[00:14:03.693 --> 00:14:05.554]  So it works both ways.
[00:14:05.754 --> 00:14:10.277]  Hopefully it works so that we have a constitutional election and the constitutionally elected president is put in power.
[00:14:10.637 --> 00:14:21.724]  But if not, it also has a backup strategy, a parallel strategy, where it works to help build the populist movement moving forward and prevent the Chinese Communist takeover of American society and policy directive.
[00:14:23.846 --> 00:14:25.827]  The globalists are trying to conquer this nation.
[00:14:25.847 --> 00:14:26.948]  They're trying to finish us off.
[00:14:27.790 --> 00:14:39.855]  With one fell swoop, but as you said, up front these five states made agreements through their governors with the Democrats to take on these fake ballots and violate state law outside the legislature.
[00:14:40.276 --> 00:14:41.976]  Why didn't the Supreme Court take that up?
[00:14:41.996 --> 00:14:43.637]  Was it just political cowardice?
[00:14:44.758 --> 00:14:52.241]  It was purely political cowardice and the fact that all of those justices believe they owe their obligation to the Bushes and to the McConnells, not to Trump.
[00:14:52.925 --> 00:14:58.109]  It's like we told Trump to be worried about Barrett, told Trump to be worried about some of these other judges.
[00:14:58.269 --> 00:15:00.510]  Unfortunately, he was listening to McConnell.
[00:15:00.590 --> 00:15:03.292]  Now he realizes that McConnell was betraying him all along.
[00:15:03.733 --> 00:15:11.518]  But McConnell's strategy to basically coerce the Republican senators into not objecting has now completely failed.
[00:15:11.938 --> 00:15:16.461]  It failed once Senator Hawley said he would join an objection because under the law they only need one.
[00:15:16.701 --> 00:15:26.968]  But now it's completely failed when more than a dozen senators are joining the objection and exposing McConnell for the fraud that he is by saying, look, all they want is an election commission to investigate.
[00:15:27.568 --> 00:15:33.409]  Who can reasonably object to an election commission clarifying whether the constitutional processes were followed?
[00:15:33.809 --> 00:15:36.210]  And this is, by the way, not news for people out there.
[00:15:36.450 --> 00:15:41.731]  There were objections in 1796 and 1800 that John Adams and Thomas Jefferson adjudicated.
[00:15:41.870 --> 00:15:53.230]   There were additional objections in 1808, 1812, 1820, 1836, 1856, 1868, 1876, and 1960, and 1968.
[00:15:53.230 --> 00:15:55.470]  This is not some radical thing.
[00:15:55.470 --> 00:15:57.071]  And, Robert, what about 2016?
[00:15:57.217 --> 00:15:59.640]  The Democrats tried, but didn't have the votes.
[00:15:59.900 --> 00:16:00.561]  Here's Politico.
[00:16:00.922 --> 00:16:05.507]  House Democrats failed to muster support to challenge Trump's Electoral College win, but they did try it.
[00:16:05.787 --> 00:16:10.673]  So this is completely legal and lawful, what's happening, and not some horrible dictatorial thing that's unfolding.
[00:16:11.781 --> 00:16:12.141]  Absolutely.
[00:16:12.181 --> 00:16:13.942]  In fact, it's what the Constitution calls for.
[00:16:14.342 --> 00:16:20.285]  It calls for the Congress to meaningfully investigate and meaningfully certify whether the election was done in a constitutional manner.
[00:16:20.665 --> 00:16:28.549]  The objection in 1796 was whether Vermont had constitutionally passed its electors because of the way in which the legislature had appointed its electors.
[00:16:28.869 --> 00:16:33.869]   The issue in 1800 was whether Georgia had properly certified their electors.
[00:16:33.869 --> 00:16:37.089]   Often they were technical issues, but when it involves the Constitution, that's called
[00:16:37.089 --> 00:16:38.888]  a constitutional issue.
[00:16:38.888 --> 00:16:44.489]   Similar objections in 1808, 1812, 1820, all of these other elections, including, as you
[00:16:44.489 --> 00:16:49.168]   note, almost every Republican since 1988, a Democrat in the House has objected to.
[00:16:49.168 --> 00:16:54.769]   1988, there were objections, 2000 objections, 2004, the House and the Senate objected.
[00:16:54.769 --> 00:16:58.248]  2016, of course, there are House objections as well.
[00:16:58.248 --> 00:17:02.609]   So this is not new, this is not novel, this is in fact what our Constitution intended
[00:17:02.609 --> 00:17:06.929]   to take place, and now you're seeing mounting support for the President with these senators
[00:17:06.929 --> 00:17:12.149]   saying, "Look, we should not certify a single elector unless the fraud issues have been
[00:17:12.149 --> 00:17:16.929]   meaningfully investigated, and we are put in the position of having to investigate because
[00:17:16.929 --> 00:17:22.249]   the Supreme Court failed to investigate, the state courts failed to investigate, the federal
[00:17:22.249 --> 00:17:27.689]   district courts failed to investigate, and the state executive branches failed to investigate,
[00:17:27.689 --> 00:17:31.249]   and the state legislatures have had limited power because they're not in session.
[00:17:31.249 --> 00:17:35.129]   So it's up to Congress to take meaningful remedy, and calling for this commission as
[00:17:35.129 --> 00:17:40.209]   a condition of certification is a very intelligent political strategy to deploy.
[00:17:40.209 --> 00:17:41.288]  But this is.
[00:17:42.028 --> 00:17:44.990]  Different in that they've got a lot of evidence of fraud.
[00:17:45.050 --> 00:17:47.051]  They've got the legislature's not being involved.
[00:17:47.431 --> 00:17:48.811]  On its face, it should be overturned.
[00:17:49.972 --> 00:17:54.614]  And you've got large numbers of House members, now over 140, already signing on.
[00:17:54.895 --> 00:17:58.957]  And now officially a dozen senators saying they've got serious problems.
[00:17:59.277 --> 00:18:01.358]  It looks like this is snowballing very, very quickly.
[00:18:02.492 --> 00:18:10.379]  And what they need is the tipping factor for the president, potentially, is if there's a million people out there at the Ellipse in Washington, D.C.
[00:18:10.479 --> 00:18:11.480]  on January the 6th.
[00:18:11.900 --> 00:18:13.201]  Because that will get the attention.
[00:18:13.221 --> 00:18:16.264]  There's a bunch of senators who haven't joined yet who are up for election in 2022.
[00:18:17.805 --> 00:18:23.169]  So the if they see all in every single House member, of course, is up for election in 2022, they said.
[00:18:23.910 --> 00:18:34.899]  And so if under those circumstances, if they hear and see that Trump's audience is real, so real that they're then more of them are willing to show up than are willing to show up for a Biden or Obama inauguration.
[00:18:35.319 --> 00:18:41.942]  Then that could help change the political equation to at least force them to say, hey, let's not vote right now.
[00:18:42.202 --> 00:18:43.282]  Let's have this commission.
[00:18:43.322 --> 00:18:45.003]  Let's see what the commission's results are.
[00:18:45.363 --> 00:18:47.684]  There's no inauguration until January 20th.
[00:18:47.704 --> 00:18:52.386]  That gives us the commission 10 days to take and hear evidence and present their conclusions.
[00:18:52.846 --> 00:18:56.828]  And then let's have another vote on, say, January 17th, 18th, or 19th.
[00:18:57.368 --> 00:18:58.349]  And that's, in fact, in 1876.
[00:18:59.229 --> 00:19:02.370]  They didn't decide until two days before inauguration.
[00:19:02.390 --> 00:19:03.991]  And back then, inauguration was in March.
[00:19:04.571 --> 00:19:07.333]  So there's no reason why we have to rush this process.
[00:19:07.633 --> 00:19:16.759]  We should make sure all of the evidence is presented, all of the arguments vetted, and a meaningful honest vote in Congress to make sure we had a meaningful honest vote in the presidential election.
[00:19:17.100 --> 00:19:18.541]  Well, I'll tell you my big issue here.
[00:19:18.561 --> 00:19:24.165]   If I hadn't seen massive evidence of fraud, Then I would say, OK, Joe Biden got elected.
[00:19:24.205 --> 00:19:27.207]  But just at every level, it's ridiculous what happened.
[00:19:27.967 --> 00:19:42.617]  And the mainstream media, the big tech censoring, even Senate committee hearings on fraud with sworn witnesses and Google and Facebook and Twitter blocked it, saying that this election is not contested.
[00:19:42.637 --> 00:19:43.538]  Joe Biden is the winner.
[00:19:44.099 --> 00:19:47.981]  Unprecedented selective Internet kill switch, total power grab.
[00:19:48.442 --> 00:19:50.183]  Then you've got the fact he's a Chicom agent.
[00:19:51.020 --> 00:19:56.540]   all of this, that's why this has a real shot is the evidence and also he's a doddering,
[00:19:56.540 --> 00:20:02.940]   sputtering fool. Gut level, you're a smart political operator, you look at all the angles.
[00:20:02.940 --> 00:20:07.579]   What do you think the establishment's hoping to do with a Biden, Kamala Harris and their two
[00:20:07.579 --> 00:20:12.539]   incredible empty suits, two puppets? I mean, no one likes these people.
[00:20:12.783 --> 00:20:14.583]  They can't get 20 people to come to their rallies.
[00:20:15.204 --> 00:20:23.727]  He does, quote, national televised addresses, 1,000 people tuned in today to Biden in his national address that the entire media pushed.
[00:20:24.067 --> 00:20:26.268]  I mean, you can't make people look at him.
[00:20:26.928 --> 00:20:29.329]  He is literally like a reanimated corpse.
[00:20:29.829 --> 00:20:32.710]  He should be hosting Tales of the Crypt.
[00:20:32.750 --> 00:20:37.232]  He should not be foisted on us, installed as the puppet president.
[00:20:38.669 --> 00:20:43.612]  You have the most compromised potential president in America's history.
[00:20:43.973 --> 00:20:47.035]  What they accused Trump of doing is who Biden is.
[00:20:47.615 --> 00:20:50.017]  Biden is the one compromised by a foreign power.
[00:20:50.357 --> 00:20:55.100]  Biden is the one compromised by that foreign power's interference and intrusion in an American election.
[00:20:55.541 --> 00:21:02.005]  Biden is the person compromised by a foreign power that can truly do economic and social damage to the United States government.
[00:21:02.485 --> 00:21:07.531]  And so Biden and at the worst level really ever historically, we've never had anything quite like this.
[00:21:07.851 --> 00:21:09.373]  And then you look at what happened in the election.
[00:21:09.693 --> 00:21:10.754]  You have two different aspects.
[00:21:10.814 --> 00:21:21.225]  When you have what happened in the vote, people who weren't legally qualified casting ballots, including dead people, duplicate votes, non-residents, non-citizens, people who are registered in other states, people weren't even of age to vote.
[00:21:21.765 --> 00:21:27.407]  Then you had votes being cast illegally by being cast without the signature matching on the ballots.
[00:21:27.748 --> 00:21:36.511]  Then you had the ballots being counted illegally with monitors and independent observers excluded illicitly from all these key counties and key swing states at key times.
[00:21:36.891 --> 00:21:48.176]  But on top of that, as Senator Hawley has noted, we have serious interference in the election enabled by big tech, which has a lot of foreign investors, a lot of foreign owners, both in the Mideast and in China.
[00:21:48.896 --> 00:21:57.542]  You had the biggest big tech suppression of a media scandal in the history of American presidential politics in the Joe Biden, Hunter Biden, Ukraine, China scandal.
[00:21:57.922 --> 00:22:02.445]  You had the biggest big media suppression of a major scandal in America's history.
[00:22:02.885 --> 00:22:16.634]  And you had our own deep state operatives under bar the Justice Department not bringing meaningful prosecution on Spygate, hiding the fact that Biden was under federal criminal investigation, and then lying about what kind of voter fraud inquiry was done.
[00:22:17.034 --> 00:22:25.419]  So you had the biggest political contamination, manipulation, machinations that could possibly take place in the history of American presidential elections.
[00:22:25.759 --> 00:22:30.282]  And even then, they had to get the election within the margin of fraud to try to steal it in the first place.
[00:22:30.722 --> 00:22:34.144]  So if any election is problematic, it is this election.
[00:22:34.504 --> 00:22:38.967]  And if any time our constitutional remedy was needed and required, it is this election.
[00:22:41.598 --> 00:22:42.078]  Well said.
[00:22:42.138 --> 00:23:01.308]  Robert Barnes, now let's shift gears to the pretext for the lockdowns, the pretext for destroying the economy, the pretext for blaming Trump and all the statistical manipulation around COVID-19 that has put the United Nations in charge with Bill Gates of the world's healthcare in a single stroke.
[00:23:01.348 --> 00:23:04.590]  I want to go over some of the latest developments here, some of the headlines.
[00:23:05.210 --> 00:23:05.671]  Abortion.
[00:23:06.567 --> 00:23:19.522]  Was the leading cause of death worldwide in 2020, killing 42.6 million people, more than 25 times what COVID-19 did, and most of those, again, died of something else, not COVID-19.
[00:23:21.735 --> 00:23:31.784]  Continuing here, O Canada police raid house, Gestapo style, after COVID snitch reports over five people in the home.
[00:23:32.304 --> 00:23:38.630]  This is disturbing footage out of Quebec, Canada of New Year's Eve.
[00:23:39.250 --> 00:23:44.850]   We're going to play that in a moment, but first here's maskless crowds shout
[00:23:44.850 --> 00:23:48.690]  COVID is a hoax outside London hospital on New Year's Eve.
[00:23:48.690 --> 00:24:02.530]   And again, more and more of this is happening around the world.
[00:24:02.619 --> 00:24:07.321]  I'm going to show you what's happening in Los Angeles, though, where they're arresting people for being outside at night.
[00:24:07.701 --> 00:24:10.583]  The mayor of Austin tried this with the governor, told him it was illegal.
[00:24:10.903 --> 00:24:11.863]  We went out and protested.
[00:24:11.903 --> 00:24:16.746]  This is a giant naked power grab, but nobody's arrested if you're anti-BLM.
[00:24:17.406 --> 00:24:20.167]  The Democrats put out studies saying that fought COVID.
[00:24:20.187 --> 00:24:21.528]  When they march, it fights COVID.
[00:24:21.728 --> 00:24:24.150]  When we go outside, it spreads COVID.
[00:24:24.170 --> 00:24:26.531]  This is all an exercise in mind control.
[00:24:27.311 --> 00:24:28.652]  But here is the next clip.
[00:24:29.072 --> 00:24:30.013]  A neighbor snitch.
[00:24:30.053 --> 00:24:31.713]  This is in Quebec, Canada.
[00:24:32.154 --> 00:24:33.234]  Go ahead and roll that footage.
[00:24:36.296 --> 00:24:37.576]  No, Senator!
